घोटाले	skandal	घोटाला	skandal	N;NOM;MASC;SG;3	
पूछताछ	araştırma	पूछताछ	araştır	N;NOM;FEM;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
पूछताछ	sorular	पूछताछ	soru	N;NOM;FEM;SG;3	N;NOM;PL;3
सर्पिल	sarmal	सर्पिल	sarmal	N;NOM;FEM;SG;3	
सर्पिल	spiral	सर्पिल	spiral	N;NOM;FEM;SG;3	
परिशिष्ट	apandis	परिशिष्ट	apandis	N;NOM;MASC;SG;3	
वॉकर	walker	वॉकर	walker	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
लेआउट	düzen	लेआउट	düz	N;NOM;MASC;SG;3	
लेआउट	yerleşim	लेआउट	yerleş	N;NOM;MASC;SG;3	
कैदियों	mahkumlar	कैदी	mahkum	N;ACC;MASC;PL;3	N;NOM;PL;3
कैदियों	tutsak	कैदी	tutsak	N;ACC;MASC;PL;3	
कैदियों	esirler	कैदी	esir	N;ACC;MASC;PL;3	N;NOM;PL;3
फिजी	fiji	फिजी	fiji	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
हुक	hook	हुक	hook	N;NOM;MASC;SG;3	
हुक	kroşe	हुक	kroşe	N;NOM;MASC;SG;3	
हुक	kanca	हुक	kan	N;NOM;MASC;SG;3	
रिटर्न	döner	रिटर्न	dön	N;NOM;MASC;SG;3	
रिटर्न	döndürür	रिटर्न	dön	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;POS;CAUS
रिटर्न	iade	रिटर्न	iade	N;NOM;MASC;SG;3	
रिटर्न	dönüş	रिटर्न	dönüş	N;NOM;MASC;SG;3	
रिटर्न	iade	रिटर्न	iade	N;NOM;MASC;SG;3	
प्लैटिनम	platin	प्लैटिनम	plat	N;NOM;MASC;SG;3	
फिल	phil	फिल	phil	PROPN;NOM;MASC;SG;3	
फिलीपींस	filipinler	फिलीपींस	filip	PROPN;NOM;MASC;SG;3	N;NOM;PL;3
दीवारें	duvarları	दीवार	duvar	N;NOM;FEM;PL;3	N;ACC;PL;3
दीवारें	duvar	दीवार	duvar	N;NOM;FEM;PL;3	
सपाट	daire	सपाट	daire		N;NOM;SG;3
नक़ल	kopya	नक़ल	kopya	N;NOM;FEM;SG;3	
नक़ल	kopyası	नक़ल	kopya	N;NOM;FEM;SG;3	
नक़ल	kopyala	नक़ल	kopyal	N;NOM;FEM;SG;3	V;PFV;IMP;SG;2;POS;PRS
नक़ल	kopyalar	नक़ल	kopya	N;NOM;FEM;SG;3	N;NOM;PL;3
नक़ल	kopyaları	नक़ल	kopya	N;NOM;FEM;SG;3	N;ACC;PL;3
केन्या	kenya	केन्या	kenya	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
बर्बाद	israf	बर्बाद	israf	ADJ	
बर्बाद	boşa	बर्बाद	boşa	ADJ	
बर्बाद	ziyan	बर्बाद	ziyan	ADJ	
बर्बाद	atık	बर्बाद	atık	ADJ	
बर्बाद	harcama	बर्बाद	harca	ADJ	
बर्बाद	israf	बर्बाद	israf	ADJ	
कस्टम	gümrük	कस्टम	gümrük	N;NOM;MASC;SG;3	
कस्टम	özel	कस्टम	özel	N;NOM;MASC;SG;3	ADJ
अकादमिक	akademik	अकादमिक	akademik	N;NOM;MASC;SG;3	ADJ
शेन	shane	शेन	shane	PROPN;NOM;MASC;SG;3	
असीम	bitmez	असीम	bit		V;IPFV;IND;SG;3;NEG
असीम	bitmeyen	असीम	bit		V;PFV;IND;NEG;PRS;V.PTCP
एकजुट	araya	एकजुट	ara	ADV	ADJ;DAT;SG;3
दांते	dante	दान्ता	dant	PROPN;NOM;MASC;SG;3	
किंगफिशर	yalıçapkını	किंगफिशर	yalıçapkı	PROPN;NOM;MASC;SG;3	
बगीचे	bahçe	बगीचा	bahçe	N;NOM;MASC;PL;3	N;NOM;SG;3
बगीचे	bahçesi	बगीचा	bahçe	N;NOM;MASC;PL;3	N;NOM;SG;3
बगीचे	garden	बगीचा	garden	N;NOM;MASC;PL;3	N;NOM;SG;3
मुराद	murad	मुराद	murad	PROPN;NOM;FEM;SG;3	
ईमान	faith	ईमान	faith	N;NOM;MASC;SG;3	
ईमान	iman	ईमान	iman	N;NOM;MASC;SG;3	
ईमान	inanç	ईमान	inanç	N;NOM;MASC;SG;3	
केली	kelly	केली	kelly	PROPN;NOM;MASC;SG;3	
लोकगीत	folklor	लोकगीत	folk	N;NOM;MASC;SG;3	
सर्बिया	sırbistan	सर्बिया	sırbistan	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
स्प्रिंगस्टीन	springsteen	स्प्रिंगस्टीन	springs	N;NOM;FEM;SG;3	
धर्मनिरपेक्ष	laik	धर्मनिरपेक्ष	laik	ADJ	
दृष्टिगोचर	görünür	दृष्टिगोचर	görün	PROPN;NOM;MASC;SG;3	
दृष्टिगोचर	görülebilir	दृष्टिगोचर	gör	PROPN;NOM;MASC;SG;3	V;IPFV;POT;SG;3;POS;PASS
तोप	toplar	तोप	top	N;NOM;FEM;SG;3	
तोप	cannon	तोप	cannon	N;NOM;FEM;SG;3	
तोप	top	तोप	top	N;NOM;FEM;SG;3	
दूरभाष	telefon	दूरभाष	telefon	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
दुल्हन	gelin	दुल्हन	gel	N;NOM;FEM;SG;3	
आंत्र	tifo	आंत्र	tifo		N;NOM;SG;3
जस्ता	çinko	जस्ता	çinko	N;NOM;MASC;SG;3	
उड़	uç	उड़	uç	V;ACT	
उड़	sinek	उड़	sinek	V;ACT	
गुजरता	geçiyor	गुजरता	geç	V;IPFV;MASC;SG;V.PTCP;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
माली	maldivler	माली	maldiv	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
माली	bahçıvan	माली	bahçıvan	PROPN;NOM;MASC;SG;3	
माली	mali	माली	mali	PROPN;NOM;MASC;SG;3	
परियोजनाएं	projelerin	परियोजना	proje	N;NOM;FEM;PL;3	N;GEN;PL;3
परियोजनाएं	proje	परियोजना	proje	N;NOM;FEM;PL;3	
परियोजनाएं	projeleri	परियोजना	proje	N;NOM;FEM;PL;3	N;ACC;PL;3
सिएटल	seattle	सिएटल	seat	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
प्रिया	priya	प्रिया	priya	PROPN;NOM;FEM;SG;3	
टायर	lastikler	टायर	lastik	N;NOM;MASC;SG;3	N;NOM;PL;3
टायर	lastikleri	टायर	lastik	N;NOM;MASC;SG;3	N;ACC;PL;3
टायर	tekerlekler	टायर	tekerlek	N;NOM;MASC;SG;3	N;NOM;PL;3
टायर	lastik	टायर	lastik	N;NOM;MASC;SG;3	
टायर	lastikler	टायर	lastik	N;NOM;MASC;SG;3	N;NOM;PL;3
टायर	lastikleri	टायर	lastik	N;NOM;MASC;SG;3	N;ACC;PL;3
टायर	tekerlekler	टायर	tekerlek	N;NOM;MASC;SG;3	N;NOM;PL;3
टायर	lastik	टायर	lastik	N;NOM;MASC;SG;3	
बाँस	bambu	बाँस	bambu	N;NOM;MASC;SG;3	
सुधारक	reformcu	सुधारक	reformcu	PROPN;NOM;MASC;SG;3	
अठारह	eighteen	अठारह	eigh	NUM	N;NOM;SG;3
उत्खनन	kazı	उत्खनन	kazı	N;NOM;MASC;SG;3	
उन्नयन	yükseltme	उन्नयन	yüksel	N;NOM;MASC;SG;3	V;PFV;NOM;IND;SG;2;POS;PRS;V.MSDR;CAUS
उन्नयन	yükselme	उन्नयन	yüksel	N;NOM;MASC;SG;3	
उन्नयन	yükseliş	उन्नयन	yükseliş	N;NOM;MASC;SG;3	
पेंशन	emekli	पेंशन	emekli	N;NOM;FEM;SG;3	
गरिमा	asalet	गरिमा	asalet	N;NOM;FEM;SG;3	
गरिमा	itibar	गरिमा	itibar	N;NOM;FEM;SG;3	
धागे	iplik	धागा	iplik	N;NOM;MASC;PL;3	N;NOM;SG;3
बताना	söyle	बता	söyle	V;MASC;NFIN;ACT	
बताना	anlat	बता	anlat	V;MASC;NFIN;ACT	
सिलेंडर	silindir	सिलेंडर	sil	N;NOM;MASC;SG;3	V;PFV;IND;SG;3;POS;PST;PASS
मैक्सिकन	meksika	मैक्सिकन	meksika		PROPN;NOM;SG;3
देशो	ülkeler	देशो	ülke	N;NOM;MASC;SG;3	N;NOM;PL;3
देशो	ülkelere	देशो	ülke	N;NOM;MASC;SG;3	N;DAT;PL;3
देशो	ülkeleri	देशो	ülke	N;NOM;MASC;SG;3	N;ACC;PL;3
कोलम्बिया	kolombiya	कोलम्बिया	kolombiya	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
विद्रोहियों	isyancı	विद्रोही	isyancı	N;ACC;MASC;PL;3	
विद्रोहियों	asiler	विद्रोही	asi	N;ACC;MASC;PL;3	N;NOM;PL;3
विद्रोहियों	isyancılar	विद्रोही	isyancı	N;ACC;MASC;PL;3	N;NOM;PL;3
कैसा	nasil	कैसा	nasil	PRO	
कैसा	nası	कैसा	nası	PRO	
कैसा	nasıl	कैसा	nasıl	PRO	
स्टीवन	steven	स्टीवन	stev	PROPN;NOM;MASC;SG;3	
टेल	masalı	टेल	masal		N;ACC;SG;3
कबीले	kabile	कबीला	kabile	N;NOM;MASC;PL;3	
कबीले	kabilesi	कबीला	kabile	N;NOM;MASC;PL;3	N;NOM;SG;3
रणनीतिक	taktiksel	रणनीतिक	taktiksel	ADJ;NOM	
रणनीतिक	taktik	रणनीतिक	taktik	ADJ;NOM	
रीड	kamış	रीड	kamış	PROPN;NOM;MASC;SG;3	
रीड	reed	रीड	reed	PROPN;NOM;MASC;SG;3	
पर्यवेक्षण	denetim	पर्यवेक्षण	denetim	N;NOM;MASC;SG;3	
इसरो	isro	इसरो	isro	PROPN;NOM;MASC;SG;3	
एमी	amy	एमी	amy	N;NOM;MASC;SG;3	
एमी	emmy	एमी	emmy	N;NOM;MASC;SG;3	
प्लेटो	plato	प्लेटो	plato	N;NOM;MASC;SG;3	
कनाडाई	kanadalı	कनाडाई	kanadalı	PROPN;NOM;MASC;SG;3	N;ESS;SG;3
रिसाव	sızıntı	रिसाव	sızıntı	N;NOM;MASC;SG;3	
रिसाव	sızıntı	रिसाव	sızıntı	N;NOM;MASC;SG;3	
अनावरण	açıkladı	अनावरण	açıkla	N;NOM;MASC;SG;3	V;PFV;IND;SG;3;POS;PST
निषिद्ध	yasaklanmış	निषिद्ध	yasakla		V;PFV;NFH;IND;SG;3;POS;PST
निषिद्ध	yasaktır	निषिद्ध	yasak		ADJ
निषिद्ध	yasaklanmış	निषिद्ध	yasakla		V;PFV;NFH;IND;SG;3;POS;PST
निषिद्ध	yasaktır	निषिद्ध	yasak		ADJ
रॉन	ron	रॉन	ron	PROPN;NOM;MASC;SG;3	
बरसात	dus	बरसात	dus	N;NOM;FEM;SG;3	
बरसात	duş	बरसात	duş	N;NOM;FEM;SG;3	
बरसात	yağmurlu	बरसात	yağmurlu	N;NOM;FEM;SG;3	
बरसात	yağmur	बरसात	yağmur	N;NOM;FEM;SG;3	
बरसात	rain	बरसात	rain	N;NOM;FEM;SG;3	
बरसात	yagmur	बरसात	yagmur	N;NOM;FEM;SG;3	
बनर्जी	banerjee	बनर्जी	banerje	PROPN;NOM;SG;3	
इंटेल	istihbarat	इंटेल	istihbarat	PROPN;NOM;MASC;SG;3	
फास्ट	hızlı	फास्ट	hızlı		ADJ
यथार्थवाद	gerçekçilik	यथार्थवाद	gerçekçilik	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
यथार्थवाद	gerçeklik	यथार्थवाद	gerçeklik	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
तालिबान	taliban	तालिबान	taliban	PROPN;NOM;MASC;SG;3	
दर्शनशास्त्र	felsefe	दर्शनशास्त्र	felsefe	N;NOM;MASC;SG;3	
स्वादिष्ट	lezzetli	स्वादिष्ट	lezzetli	N;NOM;MASC;SG;3	ADJ
स्वादिष्ट	enfes	स्वादिष्ट	enfes	N;NOM;MASC;SG;3	
स्वादिष्ट	leziz	स्वादिष्ट	leziz	N;NOM;MASC;SG;3	
स्वादिष्ट	lezzetli	स्वादिष्ट	lezzetli	N;NOM;MASC;SG;3	ADJ
स्वादिष्ट	nefis	स्वादिष्ट	nefis	N;NOM;MASC;SG;3	
स्वादिष्ट	enfes	स्वादिष्ट	enfes	N;NOM;MASC;SG;3	
स्वादिष्ट	leziz	स्वादिष्ट	leziz	N;NOM;MASC;SG;3	
स्वादिष्ट	lezzetli	स्वादिष्ट	lezzetli	N;NOM;MASC;SG;3	ADJ
स्वादिष्ट	nefis	स्वादिष्ट	nefis	N;NOM;MASC;SG;3	
ज्वाला	alev	ज्वाला	alev	PROPN;NOM;FEM;SG;3	
ज्वाला	alevi	ज्वाला	alevi	PROPN;NOM;FEM;SG;3	
ईंटों	brick	ईंट	brick	N;ACC;MASC;PL;3	
ईंटों	tuğla	ईंट	tuğ	N;ACC;MASC;PL;3	
कर्ज	borç	कर्ज	borç	N;NOM;MASC;SG;3	
कर्ज	borcu	कर्ज	borcu	N;NOM;MASC;SG;3	
कर्ज	borçlar	कर्ज	borç	N;NOM;MASC;SG;3	N;NOM;PL;3
सलाद	marul	सलाद	marul	N;NOM;MASC;SG;3	
जलन	kıskanç	जलन	kıskanç	N;NOM;FEM;SG;3	
जलन	kışkırtıcı	जलन	kışkırtıcı	N;NOM;FEM;SG;3	
जलन	tahriş	जलन	tahriş	N;NOM;FEM;SG;3	
शौकिया	amatörler	शौकिया	amatör	N;NOM;MASC;SG;3	ADJ;NOM;PL;3
शौकिया	amatörce	शौकिया	amatörce	N;NOM;MASC;SG;3	
शौकिया	amatör	शौकिया	amatör	N;NOM;MASC;SG;3	
अनूठा	sürükleyici	अनूठा	sürükleyici	ADJ;NOM;MASC;SG	N;NOM;SG;3
अनूठा	benzersiz	अनूठा	benzersiz	ADJ;NOM;MASC;SG	V;IPFV;IND;PL;2;POS
अनूठा	tekil	अनूठा	tekil	ADJ;NOM;MASC;SG	
पहेली	yapboz	पहेली	yapboz		N;NOM;SG;3
पहेली	bulmacaları	पहेली	bul		N;ACC;PL;3
पहेली	yapboz	पहेली	yapboz		N;NOM;SG;3
चादर	levha	चादर	levha	N;NOM;FEM;SG;3	
चादर	çarşaf	चादर	çarşaf	N;NOM;FEM;SG;3	
चादर	yaprak	चादर	yaprak	N;NOM;FEM;SG;3	
जामा	jama	जामा	jama		N;NOM;SG;3
फ्रैंकलिन	franklin	फ्रैंकलिन	franklin	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
एथिलीन	etilen	एथिलीन	et	N;NOM;MASC;SG;3	V;PFV;IND;POS;PRS;V.PTCP;PASS
सेकेंड	saniye	सेकेंड	sani	N;NOM;MASC;SG;3	
सेकेंड	saniyeler	सेकेंड	saniye	N;NOM;MASC;SG;3	N;NOM;PL;3
सेकेंड	ikinci	सेकेंड	ikinci	N;NOM;MASC;SG;3	ADJ
सेकेंड	ikincisi	सेकेंड	ikinci	N;NOM;MASC;SG;3	NUM;NOM;SG;3
आयताकार	dikdörtgen	आयताकार	dik	N;NOM;MASC;SG;3	
प्रस्तावना	giriş	प्रस्तावना	giriş	N;NOM;FEM;SG;3	
प्रस्तावना	tanıtım	प्रस्तावना	tanıtım	N;NOM;FEM;SG;3	
मैनहटन	manhattan	मैनहटन	manhat	PROPN;NOM;MASC;SG;3	N;AT+ABL;SG;3
मॉरीशस	mauritius	मॉरीशस	mauritius	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
लावा	lav	लावा	lav	N;NOM;MASC;SG;3	
बाधाओं	engeller	बाधा	engel	N;ACC;FEM;PL;3	
बाधाओं	bariyer	बाधा	bariyer	N;ACC;FEM;PL;3	N;NOM;SG;3
बाधाओं	engeller	बाधा	engel	N;ACC;FEM;PL;3	
परिधान	kostüm	परिधान	kostüm	N;NOM;MASC;SG;3	
परिधान	kostümleri	परिधान	kostüm	N;NOM;MASC;SG;3	N;ACC;PL;3
परिधान	kostümler	परिधान	kostüm	N;NOM;MASC;SG;3	N;NOM;PL;3
परिधान	giysi	परिधान	giy	N;NOM;MASC;SG;3	
परिधान	giyim	परिधान	giyim	N;NOM;MASC;SG;3	
परिधान	giyim	परिधान	giyim	N;NOM;MASC;SG;3	
गोलीबारी	çatışma	गोलीबारी	çatış	N;NOM;FEM;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
गोलीबारी	çekim	गोलीबारी	çekim	N;NOM;FEM;SG;3	
गोलीबारी	atış	गोलीबारी	atış	N;NOM;FEM;SG;3	
पम्प	pompa	पम्प	pompa	N;NOM;MASC;SG;3	
बायर	bayer	बायर	bayer	N;NOM;MASC;SG;3	
नाल	nal	नाल	nal	N;NOM;FEM;SG;3	
लाभप्रद	karlı	लाभप्रद	karlı	ADP	
लाभप्रद	kazançlı	लाभप्रद	kazançlı	ADP	
लाभप्रद	kârlı	लाभप्रद	kârlı	ADP	
रोचेस्टर	rochester	रोचेस्टर	rochester	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
मुलाक़ात	takılma	मुलाक़ात	takıl	N;NOM;FEM;SG;3	
डोनाल्ड	donald	डोनाल्ड	donald	PROPN;NOM;MASC;SG;3	
रमन	raman	रमन	raman	PROPN;NOM;MASC;SG;3	
सीढ़ी	merdiven	सीढ़ी	merdiven	N;NOM;FEM;SG;3	
प्रतिकृति	desen	प्रतिकृति	de	N;NOM;FEM;SG;3	V;PFV;SG;2;POS;PRS
प्रतिकृति	şablon	प्रतिकृति	şablon	N;NOM;FEM;SG;3	
प्रतिकृति	kopyaları	प्रतिकृति	kopya	N;NOM;FEM;SG;3	N;ACC;PL;3
घराने	türler	घरा	tür	V;MASC;NFIN;ACT	N;NOM;PL;3
ताड़	palm	ताड़	palm	N;NOM;MASC;SG;3	PROPN;NOM;SG;3
ताड़	palmiye	ताड़	palmi	N;NOM;MASC;SG;3	
ताड़	avuç	ताड़	avuç	N;NOM;MASC;SG;3	
धमाके	bang	धमाका	bang	N;NOM;MASC;PL;3	
सीटी	islık	सीटी	islık	PROPN;NOM;FEM;SG;3	N;NOM;SG;3
सीटी	düdük	सीटी	düdük	PROPN;NOM;FEM;SG;3	
सीटी	düdüğü	सीटी	düdük	PROPN;NOM;FEM;SG;3	N;NOM;SG;3
कार्टर	carter	कार्टर	carter	PROPN;NOM;MASC;SG;3	
कट्टर	dogmatik	कट्टर	dogmatik	N;NOM;MASC;SG;3	
कट्टर	kuduz	कट्टर	kuduz	N;NOM;MASC;SG;3	
उपनिवेशवाद	koloni	उपनिवेशवाद	koloni	N;NOM;MASC;SG;3	
उपनिवेशवाद	kolonisi	उपनिवेशवाद	koloni	N;NOM;MASC;SG;3	N;ACC;SG;3
सैंडविच	sandviç	सैंडविच	sandviç	N;NOM;MASC;SG;3	
सैंडविच	sandviç	सैंडविच	sandviç	N;NOM;MASC;SG;3	
चिप्स	çip	चिप्स	çip	N;NOM;MASC;SG;3	
चिप्स	fiş	चिप्स	fiş	N;NOM;MASC;SG;3	
चिप्स	cips	चिप्स	cips	N;NOM;MASC;SG;3	
चन्द	arayanlar	चन्द	arayan		N;NOM;PL;3
बिखरे	dağılmış	बिखर	dağıl	V;PFV;MASC;PL;V.PTCP;ACT	
बिखरे	dağınık	बिखर	dağınık	V;PFV;MASC;PL;V.PTCP;ACT	
दार्जिलिंग	darjeeling	दार्जिलिंग	darjeeling	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
वेस्टमिंस्टर	westminster	वेस्टमिंस्टर	westminster	N;NOM;MASC;SG;3	PROPN;NOM;SG;3
शैतान	devil	शैतान	devil	PROPN;NOM;MASC;SG;3	
शैतान	şeytan	शैतान	şeytan	PROPN;NOM;MASC;SG;3	
शैतान	şeytan	शैतान	şeytan	PROPN;NOM;MASC;SG;3	
नैनोट्यूब	nanotüp	नैनोट्यूब	nanot	N;NOM;MASC;SG;3	
शीट	levhalar	शीट	levha		N;NOM;PL;3
उद्धार	kurtarma	उद्धार	kurtarma	N;NOM;MASC;SG;3	
पैकेजिंग	ambalaj	पैकेजिंग	ambalaj	N;NOM;MASC;SG;3	
पैकेजिंग	paketleme	पैकेजिंग	paketle	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
म्यूनिख	münih	म्यूनिख	münih	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
शरीफ	şerif	शरीफ	şerif	PROPN;NOM;MASC;SG;3	
दोहराया	tekrarlanan	दोहरा	tekrarla	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;POS;PRS;V.PTCP;PASS
बोल्ट	sürgülü	बोल्ट	sürgülü	PROPN;NOM;MASC;SG;3	
बोल्ट	bolt	बोल्ट	bolt	PROPN;NOM;MASC;SG;3	
गुम्बद	kubbe	गुम्बद	kubbe	N;NOM;MASC;SG;3	
गुम्बद	kubbeler	गुम्बद	kubbe	N;NOM;MASC;SG;3	N;NOM;PL;3
सेवानिवृत्ति	emekli	सेवानिवृत्ति	emekli	N;NOM;FEM;SG;3	
जश्न	kutlama	जश्न	kutlam	N;NOM;MASC;SG;3	
जश्न	kutlamaları	जश्न	kutla	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
जश्न	kutlamalar	जश्न	kutla	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
जश्न	kutlama	जश्न	kutlam	N;NOM;MASC;SG;3	
जश्न	kutlamalar	जश्न	kutla	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
जश्न	jamboree	जश्न	jamboree	N;NOM;MASC;SG;3	
नोबल	noble	नोबल	noble	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
नोबल	asil	नोबल	asil	PROPN;NOM;MASC;SG;3	
नोबल	soylu	नोबल	soylu	PROPN;NOM;MASC;SG;3	
टायसन	tyson	टायसन	tyson	PROPN;NOM;MASC;SG;3	
लहरों	dalgalar	लहर	dalga	N;ACC;FEM;PL;3	N;NOM;PL;3
लहरों	dalga	लहर	dalga	N;ACC;FEM;PL;3	
संग्रहीत	arşivlenmiş	संग्रहीत	arşivle	N;NOM;MASC;SG;3	V;PFV;NFH;IND;POS;PST;V.PTCP;PASS
सीसा	kurşun	सीसा	kurşun	N;NOM;MASC;SG;3	
सदाबहार	evergreen	सदाबहार	ev	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
कंकाल	iskelet	कंकाल	iskelet	N;NOM;MASC;SG;3	
नाइट्राइट	nitrat	नाइट्राइट	nitrat	N;NOM;MASC;SG;3	
समीर	samir	समीर	samir	PROPN;NOM;MASC;SG;3	
तांबे	bakır	तांबे	bakır	N;NOM;MASC;SG;3	
जिन्ना	cinnah	जिन्ना	cinnah	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
फेरारी	ferrari	फेरारी	ferrari	N;NOM;MASC;SG;3	
माईस्पेस	myspace	माईस्पेस	myspace	N;NOM;MASC;SG;3	
एमआईटी	mit	एमआईटी	mit	PROPN;NOM;MASC;SG;3	
भ्रामक	yanıltıcı	भ्रामक	yanıltıcı	PROPN;NOM;MASC;SG;3	
संभावनाओं	olasılıklar	संभावना	olasılık	N;ACC;FEM;PL;3	N;NOM;PL;3
संभावनाओं	olasılık	संभावना	olasılık	N;ACC;FEM;PL;3	N;NOM;SG;3
संभावनाओं	ihtimaller	संभावना	ihtimal	N;ACC;FEM;PL;3	N;NOM;PL;3
संभावनाओं	olasılıkları	संभावना	olasılık	N;ACC;FEM;PL;3	N;NOM;PL;3
संभावनाओं	olanaklar	संभावना	olanak	N;ACC;FEM;PL;3	N;NOM;PL;3
केक	pasta	केक	pasta	N;NOM;MASC;SG;3	
केक	kek	केक	kek	N;NOM;MASC;SG;3	
साख	goodwill	साख	goodwill	N;NOM;FEM;SG;3	
जिज्ञासा	meraktan	जिज्ञासा	merak	N;NOM;FEM;SG;3	N;AT+ABL;SG;3
जिज्ञासा	merakla	जिज्ञासा	merak	N;NOM;FEM;SG;3	N;INS;SG;3
अन्याय	adaletsizlik	अन्याय	adaletsizlik	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
अन्याय	zulüm	अन्याय	zulüm	PROPN;NOM;MASC;SG;3	
अन्याय	haksızlık	अन्याय	haksızlık	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
अनुसूची	programı	अनुसूची	program	N;NOM;FEM;SG;3	N;ACC;SG;3
अनुसूची	zamanlama	अनुसूची	zamanla	N;NOM;FEM;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
अनुसूची	program	अनुसूची	program	N;NOM;FEM;SG;3	
अनुसूची	plan	अनुसूची	plan	N;NOM;FEM;SG;3	
अनुसूची	planla	अनुसूची	plan	N;NOM;FEM;SG;3	
एनिमेशन	canlandırma	एनिमेशन	canlan	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
एनिमेशन	animasyon	एनिमेशन	animasyon	N;NOM;MASC;SG;3	
एनिमेशन	animasyonlar	एनिमेशन	animasyon	N;NOM;MASC;SG;3	N;NOM;PL;3
देखो	bak	देखो	bak	V;SBJV;SG;FIN;ACT	V;PFV;IMP;SG;2;POS;PRS
इंतजार	bekleyin	इंतजार	bekle	N;NOM;MASC;SG;3	V;PFV;IMP;PL;2;POS;PRS
इंतजार	bekle	इंतजार	bekle	N;NOM;MASC;SG;3	V;PFV;IMP;SG;2;POS;PRS
हिम्मत	cesaret	हिम्मत	cesaret	N;NOM;FEM;SG;3	
हिम्मत	cesaret	हिम्मत	cesaret	N;NOM;FEM;SG;3	
हिम्मत	cüret	हिम्मत	cüret	N;NOM;FEM;SG;3	
प्रमाणपत्र	sertifikaları	प्रमाणपत्र	sertifika	N;NOM;MASC;SG;3	N;NOM;PL;3
प्रमाणपत्र	belgesi	प्रमाणपत्र	belge	N;NOM;MASC;SG;3	
सांकेतिक	sembolik	सांकेतिक	sembolik	PROPN;NOM;MASC;SG;3	
आमदनी	gelir	आमदनी	gel	N;NOM;FEM;SG;3	
टिन	teneke	टिन	tenek		N;NOM;SG;3
चारा	yem	चारा	ye	PROPN;NOM;MASC;SG;3	
चारा	yem	चारा	ye	PROPN;NOM;MASC;SG;3	
ओलिवर	oliver	ओलिवर	oliver	PROPN;NOM;MASC;SG;3	
घनी	kalin	घना	kalin	ADJ;NOM;FEM;SG	
घनी	kalın	घना	kalın	ADJ;NOM;FEM;SG	
जनजातीय	kabile	जनजातीय	kabile	ADJ	
सोर्स	kaynağı	सोर्स	kaynak	N;NOM;MASC;SG;3	
सोर्स	kaynak	सोर्स	kaynak	N;NOM;MASC;SG;3	
पीर	akran	पीर	akran	PROPN;NOM;MASC;SG;3	
विश्लेषक	analist	विश्लेषक	analist	N;NOM;MASC;SG;3	
विश्लेषक	analisti	विश्लेषक	analis	N;NOM;MASC;SG;3	
चेल्सी	chelsea	चेल्सी	chelsea	PROPN;NOM;MASC;SG;3	
बाजरा	darı	बाजरा	darı	PROPN;NOM;MASC;SG;3	
पाम	pam	पाम	pam	PROPN;NOM;MASC;SG;3	
इच्छाओं	arzular	इच्छा	arzu	N;ACC;FEM;PL;3	
रिश्तों	ilişkiler	रिश्ता	ilişki	N;ACC;MASC;PL;3	N;NOM;PL;3
रिश्तों	ilişki	रिश्ता	ilişki	N;ACC;MASC;PL;3	N;NOM;SG;3
संन्यास	emekli	संन्यास	emekli	N;NOM;MASC;SG;3	
पुनर्वास	islah	पुनर्वास	islah	N;NOM;MASC;SG;3	
स्ट्रीम	irmaklar	स्ट्रीम	irmak	N;NOM;MASC;SG;3	N;NOM;PL;3
स्ट्रीम	akış	स्ट्रीम	akış	N;NOM;MASC;SG;3	
