nie	no	nie	no	PART;NEG	ADV;NEG
gleby	sòl	gleba	sòl		N;MASC;SG
gleby	sòls	gleba	sòls		N;MASC;PL
opowieści	contes	opowieść	conte		N;MASC;PL
opowieści	històries	opowieść	història		N;FEM;PL
opowieści	relats	opowieść	relat		N;MASC;PL
gabriel	gabriel	gabriel	gabriel	N;NOM;MASC;SG	
istniał	existia	istnieć	existir	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
istniał	existit	istnieć	existir	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
istniał	existien	istnieć	existir	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
virtuti	virtuti	virtut	virtuti		
kalifornii	califòrnia	kalifornia	califòrnia		ADJ;FEM;SG
kalifornii	california	kalifornia	california		
wsparcia	suport	wsparcie	suport	N;NOM;NEUT;SG	
pasmo	banda	pasmo	banda	N;NOM;NEUT;SG	
end	final	end	final		ADJ;SG
wyznania	confessions	wyznanie	confessió	N;NOM;NEUT;SG	N;FEM;PL
pełne	plens	pełny	ple		ADJ;MASC;PL
pełne	ple	pełny	ple		ADJ;MASC;SG
pełne	plena	pełny	ple		ADJ;FEM;SG
sławomir	sławomir	sławomir	sławomir	N;NOM;MASC;SG	
wymiary	dimensió	wymiar	dimensió	N;NOM;MASC;PL	N;FEM;SG
ślady	traces	ślad	traça	N;NOM;MASC;PL	
władimir	vladímir	władimir	vladímir	N;NOM;MASC;SG	ADJ;MASC;SG
władimir	vladimir	władimir	vladimir	N;NOM;MASC;SG	
poparcie	aval	poparcie	aval	N;NOM;NEUT;SG	
news	notícia	news	notícia		N;FEM;SG
news	notícies	news	notícia		N;FEM;PL
źle	bad	źle	bad	ADV	PROPN
narodowości	nacionalitats	narodowość	nacionalitat	N;GEN;FEM;SG	N;FEM;PL
palatynat	palatinat	palatynat	palatinat	N;NOM;MASC;SG	ADJ;MASC;SG;V.PTCP
ostatnio	darrer	ostatnio	darrer	ADV	ADJ;MASC;SG
ostatnio	últim	ostatnio	últim	ADV	ADJ;MASC;SG
ostatnio	última	ostatnio	últim	ADV	ADJ;FEM;SG
ostatnio	darrera	ostatnio	darrer	ADV	ADJ;FEM;SG
ostatnio	recents	ostatnio	recent	ADV	ADJ;PL
ostatnio	recent	ostatnio	recent	ADV	ADJ;SG
slalom	slalom	slala	slalom	N;NOM;MASC;SG	
diego	diego	diego	diego	PROPN;NOM;MASC;SG	
opery	opera	opera	operar		V;IND;SG;3;PRS;FIN
opery	òpera	opera	òpera		N;FEM;SG
opery	òperes	opera	òpera		N;FEM;PL
poland	polònia	poland	polònia		ADJ;FEM;SG
ofiary	víctima	ofiara	víctima	N;NOM;FEM;PL	N;FEM;SG
odkryto	descobert	odkryć	descobert	V;PFV;IND;0;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
promieniowania	radiacions	promieniować	radiació	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N;FEM;PL
pamięć	memòria	pamięć	memòria	N;NOM;FEM;SG	
chorób	malalties	chorób	malaltia		N;FEM;PL
obecne	presents	obecny	present	ADJ;NOM;NEUT;SG	ADJ;PL
wodny	aquàtics	wodny	aquàtic	ADJ;NOM;MASC;SG	ADJ;MASC;PL
edmund	edmund	edmund	edmund	PROPN;NOM;MASC;SG	
ryan	ryan	ryan	ryan	PROPN;NOM;MASC;SG	PROPN
wykonywania	realitzant	wykonywać	realitzar	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	V;V.MSDR
wykonywania	escèniques	wykonywać	escènic	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	ADJ;FEM;PL
sens	sentit	sens	sentit	V;IND;PRS;FIN	ADJ;MASC;SG;V.PTCP
poprawy	millores	poprawa	millora	N;GEN;FEM;SG	N;FEM;PL
poprawy	milloren	poprawa	millorar	N;GEN;FEM;SG	V;IND;PL;3;PRS;FIN
poprawy	millorar	poprawa	millorar	N;GEN;FEM;SG	V;NFIN
poprawy	millorat	poprawa	millorar	N;GEN;FEM;SG	ADJ;MASC;SG;V.PTCP
poprawy	millora	poprawa	millorar	N;GEN;FEM;SG	V;IND;SG;3;PRS;FIN
istotne	rellevant	istotny	rellevant		ADJ;SG
america	amèrica	america	amèrica	N;NOM;MASC;SG	ADJ;FEM;SG
manuel	manuel	manuel	manuel	PROPN;NOM;MASC;SG	N;MASC;SG
manuel	manel	manuel	manel	PROPN;NOM;MASC;SG	
projekty	dissenya	projekt	dissenyar	N;NOM;MASC;PL	V;IND;SG;3;PRS;FIN
wschodni	est	wschodni	est	ADJ;NOM;MASC;SG	N;MASC;SG
wrocławia	wroclaw	wrocławiać	wroclaw	PROPN;GEN;MASC;SG	
stoczni	drassana	stocznia	drassana		N;FEM;SG
mężczyzna	masculí	mężczyzna	masculí	N;NOM;MASC;SG	ADJ;MASC;SG
mężczyzna	mascle	mężczyzna	mascle	N;NOM;MASC;SG	
mężczyzna	man	mężczyzna	man	N;NOM;MASC;SG	
poitou	poitou	poito	poitou		
wenecji	venècia	wenecja	venècia	PROPN;NOM;FEM;SG	ADJ;FEM;SG
bloku	bloqueja	blok	bloquejar	N;GEN;MASC;SG	V;IND;SG;3;PRS;FIN
młodego	nuvi	młody	nuvi	ADJ;ACC;MASC;SG	
miller	miller	miller	miller	N;NOM;MASC;SG	
nowak	novak	nowak	novak	PROPN;NOM;MASC;SG	
nowak	nowak	nowak	nowak	PROPN;NOM;MASC;SG	PROPN
like	com	lik	com		CONJ
like	like	lik	like		
wykształcenie	educatiu	wykształcenie	educatiu	N;NOM;NEUT;SG	ADJ;MASC;SG
pyrénées	pyrénées	pyrénées	pyrénéa		ADJ;FEM;PL
poświęcona	consagrar	poświęcić	consagrar	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;NFIN
niemcami	alemanya	niemiec	alemany	N;INS;MASC;PL	ADJ;FEM;SG
legenda	llegenda	legenda	llegenda	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
legenda	legend	legenda	legend	N;NOM;FEM;SG	
kopalni	mines	kopalnia	mina		N;FEM;PL
kat	botxí	kat	botxí		N;MASC;SG
kat	penjat	kat	penjar		ADJ;MASC;SG;V.PTCP
kat	kat	kat	kat		PROPN
założono	assumit	założyć	assumit	V;PFV;IND;0;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
tvn	tvn	tvn	tenir	PROPN;NOM;MASC;SG	PROPN
power	potència	power	potència		N;FEM;SG
przeznaczony	destina	przeznaczyć	destinar	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;IND;SG;3;PRS;FIN
wiedza	coneixements	wiedza	coneixement	N;NOM;FEM;SG	N;MASC;PL
centralny	centrals	centralny	central	ADJ;NOM;MASC;SG	ADJ;PL
rzym	roma	rzym	roma	PROPN;NOM;MASC;SG	
sami	sami	sam	sami	ADJ;NOM;MASC;PL	
przekazał	donats	przekazać	donat	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;PL;V.PTCP
zawartość	continguts	zawartość	contingut	N;NOM;FEM;SG	N;MASC;PL
imo	imo	imo	imo		N;MASC;SG
fox	fox	fox	fox		PROPN
fox	guineu	fox	guineu		N;FEM;SG
odmiany	varietat	odmiana	varietat	N;ACC;FEM;PL	N;FEM;SG
wysoki	alta	wysoki	alt		ADJ;FEM;SG
wysoki	high	wysoki	high		N;SG
wysoki	alt	wysoki	alt		ADJ;MASC;SG
lokalne	locals	lokalny	local	ADJ;NOM;NEUT;SG	ADJ;PL
białymstoku	bialystok	białystok	bialystok	ADJ;DAT;MASC;SG	
żywo	viure	żywo	viure		
serbii	sèrbia	serbia	serbi	PROPN;GEN;FEM;SG	ADJ;FEM;SG
fotografii	fotografia	fotografia	fotografiar	N;GEN;FEM;SG	V;IND;SG;3;PRS;FIN
sesji	session	sesja	session	N;GEN;FEM;SG	
sesji	sessions	sesja	sessió	N;GEN;FEM;SG	N;FEM;PL
zebrane	reunides	zebrać	reunit	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;FEM;PL;V.PTCP
zebrane	reunits	zebrać	reunit	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
zebrane	recollides	zebrać	recollit	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;FEM;PL;V.PTCP
zebrane	recollits	zebrać	recollit	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
skrót	abreviatura	skrót	abreviatura	N;NOM;MASC;SG	V;IND;SG;3;PRS;FIN
skrót	drecera	skrót	drecer	N;NOM;MASC;SG	
następcą	successor	następca	successor	N;INS;MASC;SG	
washington	washington	washington	washington	N;NOM;MASC;SG	
henri	henri	henria	henri	PROPN;NOM;MASC;SG	
dance	dansa	danka	dansa		N;FEM;SG
iowa	iowa	iowa	iowa	V;IPFV;IND;SG;PRS;FIN;ACT	N;FEM;SG
koncepcji	conceptes	koncepcja	concepte	N;GEN;FEM;SG	N;MASC;PL
igor	ígor	igor	ígor	PROPN;NOM;MASC;SG	PROPN
igor	igor	igor	igor	PROPN;NOM;MASC;SG	PROPN
nikołaj	nikolai	nikołać	nikolai	PROPN;NOM;MASC;SG	PROPN
nikołaj	nikolai	nikołać	nikolai	PROPN;NOM;MASC;SG	PROPN
górski	muntanya	górski	muntanya	ADJ;NOM;MASC;SG	N;FEM;SG
sprzedaż	vendes	sprzedaż	venda		N;FEM;PL
sprzedaż	surts	sprzedaż	sort		V;IND;SG;1;PRS;FIN
sprzedaż	sale	sprzedaż	sale		INTJ
sprzedaż	venda	sprzedaż	venda		N;FEM;SG
zdolności	habilitats	zdolność	habilitat	N;ACC;FEM;SG	ADJ;FEM;PL;V.PTCP
zdolności	capacitats	zdolność	capacitat	N;ACC;FEM;SG	N;FEM;PL
centre	centre	centry	centre		N;MASC;SG
oficjalne	official	oficjalny	official	ADJ;NOM;NEUT;SG	
bay	badia	bać	badia	V;IPFV;IND;SG;2;PRS;FIN;ACT	N;FEM;SG
helena	helena	helen	helena	PROPN;NOM;FEM;SG	ADJ;FEM;SG
helena	helen	helen	helen	PROPN;NOM;FEM;SG	PROPN
wymiany	permuta	wymiana	permutar		V;IND;SG;3;PRS;FIN
wymiany	intercanvi	wymiana	intercanvi		N;MASC;SG
planety	planeta	planet	planeta	N;NOM;FEM;PL	N;MASC;SG
zarys	contorn	zarys	contorn	N;NOM;MASC;SG	
przypisy	footnotes	przypis	footnota	N;NOM;MASC;PL	
melbourne	melbourne	melbourne	melbourne	PROPN;NOM;MASC;SG	
christopher	cristòfor	christopher	cristòfor	N;NOM;MASC;SG	ADJ;MASC;SG
christopher	christopher	christopher	christopher	N;NOM;MASC;SG	
rzek	rius	rzeka	riu		N;MASC;PL
ląd	land	ląd	land	N;NOM;MASC;SG	PROPN
automatycznie	auto	automatycznie	auto	ADV	
automatycznie	automàtica	automatycznie	automàtic	ADV	ADJ;FEM;SG
automatycznie	automàtic	automatycznie	automàtic	ADV	ADJ;MASC;SG
automatycznie	automàtica	automatycznie	automàtic	ADV	ADJ;FEM;SG
hip	hip	hip	hip		N;MASC;SG
hip	maluc	hip	maluc		N;MASC;SG
zjawiska	fenomen	zjawisko	fenomen	N;NOM;NEUT;PL	N;MASC;SG
iraku	iraquiana	irak	iraquià	PROPN;GEN;MASC;SG	ADJ;FEM;SG
iraku	iraq	irak	iraq	PROPN;GEN;MASC;SG	N;MASC;SG
samochody	cars	samochód	car	N;NOM;MASC;PL	ADJ;MASC;PL
wikimedia	wikimedia	wikimediać	wikimedia	N;ACC;NEUT;SG	
matematyki	matemàtiques	matematyk	matemàtica	N;GEN;FEM;SG	N;FEM;PL
matematyki	mates	matematyk	mata	N;GEN;FEM;SG	
michel	michel	michel	michel	PROPN;NOM;MASC;SG	
kilkadziesiąt	dotzenes	kilkadziesiąt	dotzena	DET;ACC;MASC;PL	ADJ;FEM;PL
patriarcha	patriarca	patriarch	patriarca	N;NOM;MASC;SG	
pieniądze	diner	pieniądz	diner	N;NOM;MASC;PL	N;MASC;SG
skoczek	cavaller	skoczek	cavaller	N;NOM;MASC;SG	
skóry	cuir	skóra	cuir	N;GEN;FEM;SG	
skóry	pells	skóra	pell	N;GEN;FEM;SG	
skóry	aparences	skóra	aparença	N;GEN;FEM;SG	N;FEM;PL
skóry	pell	skóra	pell	N;GEN;FEM;SG	
hamilton	hamilton	hamilton	hamilton		PROPN
uznać	reconèixer	uznać	reconèixer	V;PFV;NFIN;ACT	V;NFIN
wyrok	frase	wyrok	frase	N;NOM;MASC;SG	V;IND;SG;3;PRS;FIN
uległa	dòcil	uległy	dòcil	V;PFV;FEM;IND;SG;PST;FIN;ACT	ADJ;MASC;SG
kodeks	codex	kodeks	codex	N;NOM;MASC;SG	
zatrudniony	contractats	zatrudnić	contractat	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
chiński	xinesos	chiński	xinès	ADJ;NOM;MASC;SG	ADJ;MASC;PL
brązowe	marró	brązowy	marró	ADJ;NOM;NEUT;SG	
brązowe	brown	brązowy	brown	ADJ;NOM;NEUT;SG	PROPN
środowisko	entorn	środowisko	entorn	N;NOM;NEUT;SG	ADV
tramwaje	tramvia	tramwaj	tramvia	N;NOM;MASC;PL	
kanada	canadà	kanada	canadà		ADJ;MASC;SG
dan	donen	dana	donar		V;IND;PL;3;PRS;FIN
waldemar	waldemar	waldemar	waldemar	N;NOM;MASC;SG	
biorąc	tenint	brać	tenir	V;IPFV;PRS;V.CVB;ACT	V;V.MSDR
sprint	esprint	sprint	esprint		N;MASC;SG
krytyk	crític	krytyk	crític	N;NOM;MASC;SG	ADJ;MASC;SG
wyróżnienie	ressalta	wyróżnienie	ressaltar	N;NOM;NEUT;SG	V;IND;SG;3;PRS;FIN
wyróżnienie	ressaltat	wyróżnienie	ressaltar	N;NOM;NEUT;SG	ADJ;MASC;SG;V.PTCP
pseudonim	àlies	pseudonić	àlia	N;NOM;MASC;SG	
złożone	complexes	złożyć	complex	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;FEM;PL
złożone	doblades	złożyć	doblat	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;FEM;PL;V.PTCP
tysiące	milers	tysiące	miler		N;MASC;PL
czterokrotnie	quàdruple	czterokrotnie	quàdruple	ADV	
drobne	minor	drobny	minor	ADJ;NOM;NEUT;SG	
różnice	diferència	różnica	diferència	N;NOM;FEM;PL	N;FEM;SG
królewski	royal	królewski	royal	ADJ;NOM;MASC;SG	
wykorzystuje	usos	wykorzystywać	ús	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
skały	roca	skała	roca	N;ACC;FEM;PL	N;FEM;SG
skały	rock	skała	rock	N;ACC;FEM;PL	N;MASC;SG
specjalny	especials	specjalny	especial	ADJ;NOM;MASC;SG	ADJ;PL
otwarte	oberts	otworzyć	obert	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
otwarte	open	otworzyć	open	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	
otwarte	obre	otworzyć	obrir	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;IND;SG;3;PRS;FIN
producenta	productor	producent	productor		N;MASC;SG
producenta	fabricant	producent	fabricant		V;V.MSDR
mil	milles	milć	milla		N;FEM;PL
mil	kilòmetres	milć	kilòmetre		N;MASC;PL
mil	quilòmetres	milć	quilòmetre		N;MASC;PL
victor	víctor	victor	víctor	PROPN;NOM;MASC;SG	
victor	victor	victor	victor	PROPN;NOM;MASC;SG	
elizabeth	elizabeth	elizabeth	elizabeth	V;IPFV;IND;SG;PRS;FIN;ACT	
elizabeth	elisabet	elizabeth	elisabet	V;IPFV;IND;SG;PRS;FIN;ACT	
fizyk	físic	fizyk	físic	N;NOM;MASC;SG	ADJ;MASC;SG
anime	anime	anima	anime		N;MASC;SG
jersey	jersei	jerszyć	jersei	PROPN;NOM;MASC;SG	N;MASC;SG
jersey	jersey	jerszyć	jersey	PROPN;NOM;MASC;SG	PROPN
płci	gènere	płzcieć	gènere		N;MASC;SG
płci	sexes	płzcieć	sexe		
płci	sexe	płzcieć	sexe		N;MASC;SG
płci	sex	płzcieć	sex		PROPN
nauczycieli	professorat	nauczyciel	professorat	N;ACC;MASC;PL	N;MASC;SG
ernst	ernst	ernst	ernst	PROPN;NOM;MASC;SG	PROPN
wybrzeże	costes	wybrzeże	costa	N;NOM;NEUT;SG	N;FEM;PL
howard	howard	howard	howard	N;NOM;MASC;SG	
przeznaczone	destina	przeznaczyć	destinar	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;IND;SG;3;PRS;FIN
młodości	juvenil	młodość	juvenil	N;GEN;FEM;SG	ADJ;SG
młodości	jovent	młodość	jovent	N;GEN;FEM;SG	
młodości	joventut	młodość	joventut	N;GEN;FEM;SG	
wideo	vídeo	wideo	vídeo		N;MASC;SG
wideo	video	wideo	video		N;MASC;SG
wideo	vídeos	wideo	vídeo		N;MASC;PL
podzielone	dividits	podzielić	dividit	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;MASC;PL;V.PTCP
definicji	definicions	definicja	definició	N;GEN;FEM;SG	N;FEM;PL
road	carretera	road	carretera		N;FEM;SG
leśne	bosc	leśny	bosc	ADJ;NOM;NEUT;SG	N;MASC;SG
old	antic	old	antic		ADJ;MASC;SG
przodu	front	przód	front	N;GEN;MASC;SG	
kijowie	kíev	kij	kíev	N;ACC;MASC;SG	PROPN
ważki	dragonflies	ważka	dragonflia		
traktatu	tractat	traktat	tractat	N;GEN;MASC;SG	ADJ;MASC;SG;V.PTCP
marc	marc	marc	marc	PROPN;NOM;MASC;SG	
przypadek	cas	przypadek	cas	N;NOM;MASC;SG	
płynie	fluxos	płynąć	flux	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
płynie	cabals	płynąć	cabal	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
argumenty	argument	argument	argument	N;NOM;MASC;PL	N;MASC;SG
boczne	laterals	boczny	lateral	ADJ;NOM;NEUT;SG	ADJ;PL
nadwozia	cos	nadwóziać	cos		N;MASC;SG
nadwozia	carrosseria	nadwóziać	carrosseria		N;FEM;SG
analiza	analytics	analiza	analytic	N;NOM;FEM;SG	ADJ;MASC;PL
jordan	jordània	jordany	jordània		ADJ;FEM;SG
żelaza	planxa	żelazo	planxa		N;FEM;SG
głowa	head	głowa	head	N;NOM;FEM;SG	
katastrofy	catàstrofes	katastrofa	catàstrofe	N;GEN;FEM;SG	N;FEM;PL
katastrofy	desastres	katastrofa	desastre	N;GEN;FEM;SG	N;MASC;PL
serce	cor	serce	cor	N;NOM;NEUT;SG	
lesie	woods	las	wood	N;GEN;MASC;SG	
różnica	diff	różnica	diff	N;NOM;FEM;SG	
różnica	diferencial	różnica	diferencial	N;NOM;FEM;SG	ADJ;SG
naturalnych	natural	naturalny	natural	ADJ;GEN;MASC;PL	ADJ;SG
ucieczki	escapar	ucieczka	escapar	N;ACC;FEM;SG	V;NFIN
ucieczki	fuga	ucieczka	fuga	N;ACC;FEM;SG	V;IND;SG;3;PRS;FIN
ucieczki	escape	ucieczka	escape	N;ACC;FEM;SG	
minimum	mínim	minimum	mínim		ADJ;MASC;SG
minimum	mínima	minimum	mínim		ADJ;FEM;SG
minimum	mínims	minimum	mínim		ADJ;MASC;PL
inżynierii	enginyeria	inżynieria	enginyeria		N;FEM;SG
marta	marta	marta	marta	PROPN;NOM;FEM;SG	
marta	martha	marta	martha	PROPN;NOM;FEM;SG	
kontakty	contacte	kontakt	contacte	N;NOM;MASC;PL	
graczy	gamers	gracz	gamer	N;ACC;MASC;PL	
agencji	organismes	agencja	organisme	N;GEN;FEM;SG	N;MASC;PL
agencji	agències	agencja	agència	N;GEN;FEM;SG	N;FEM;PL
bronił	defensat	bronić	defensat	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
krytyków	crítics	krytyk	crític	N;ACC;MASC;PL	ADJ;MASC;PL
administracyjne	administratius	administracyjny	administratiu	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
tommy	tommy	tommy	tommy		PROPN
nepalu	nepal	nepal	nepal	PROPN;NOM;MASC;SG	ADJ;SG
chrześcijan	cristians	chrześcijanin	cristià		N;MASC;PL
flagi	banderes	flaga	bandera	N;ACC;FEM;SG	N;FEM;PL
flagi	indicadors	flaga	indicador	N;ACC;FEM;SG	N;MASC;PL
pekinie	pequín	pekin	pequín	N;DAT;MASC;SG	
pekinie	beijing	pekin	beijing	N;DAT;MASC;SG	
kierowcy	controladors	kierowca	controlador	N;ACC;MASC;SG	N;MASC;PL
kierowcy	conductors	kierowca	conductor	N;ACC;MASC;SG	N;MASC;PL
kierowcy	xofers	kierowca	xofer	N;ACC;MASC;SG	N;MASC;PL
urzędnik	official	urzędnik	official	N;NOM;MASC;SG	
chiny	xina	chiny	xina		N;FEM;SG
chiny	xinès	chiny	xinès		ADJ;MASC;SG
chiny	xinesos	chiny	xinès		ADJ;MASC;PL
mniejszości	minoria	mniejszość	minoria	N;GEN;FEM;SG	
mniejszości	minories	mniejszość	minoria	N;GEN;FEM;SG	N;FEM;PL
zastosowania	aplicacions	zastosowanie	aplicació	N;GEN;NEUT;SG	N;FEM;PL
zastosowania	usos	zastosowanie	ús	N;GEN;NEUT;SG	N;MASC;PL
arts	arts	arts	art		N;FEM;PL
josef	josef	joskof	josef	PROPN;NOM;MASC;SG	PROPN
josef	yosef	joskof	yosef	PROPN;NOM;MASC;SG	N;MASC;SG
pablo	pablo	pablo	pablo	PROPN;NOM;MASC;SG	
allen	allen	allen	allar	PROPN;NOM;MASC;SG	PROPN
kelly	kelly	kelly	kelly	PROPN;NOM;MASC;SG	PROPN
pełna	plens	pełny	ple	ADJ;NOM;FEM;SG	ADJ;MASC;PL
nosił	portaven	nosić	portar	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
arab	arab	arab	arab	PROPN;NOM;MASC;SG	
wsparcie	suport	wesprzeć	suport	N;NOM;NEUT;SG	
last	darrer	last	darrer		ADJ;MASC;SG
last	últim	last	últim		ADJ;MASC;SG
last	última	last	últim		ADJ;FEM;SG
last	darrera	last	darrer		ADJ;FEM;SG
orła	àguila	orzeł	àguila		ADJ;SG
orła	àliga	orzeł	àliga		N;FEM;SG
czerwona	red	czerwony	red	ADJ;NOM;FEM;SG	
pacyfiku	pacífic	pacyfik	pacífic	N;GEN;MASC;SG	ADJ;MASC;SG
pacyfiku	pacific	pacyfik	pacific	N;GEN;MASC;SG	
dodatek	apèndix	dodatek	apèndix	N;NOM;MASC;SG	
dodatek	additiu	dodatek	additiu	N;NOM;MASC;SG	ADJ;MASC;SG
jury	jurat	jury	jurat		N;MASC;SG
przygotowania	preparatius	przygotowanie	preparatiu	N;NOM;NEUT;SG	ADJ;MASC;PL
księżyca	lluna	księżyc	lluna	N;GEN;MASC;SG	
odpowiednie	apropiat	odpowiedni	apropiar	V;PFV;IND;SG;FIN;ACT	ADJ;MASC;SG;V.PTCP
odpowiednie	correspongui	odpowiedni	correspondre	V;PFV;IND;SG;FIN;ACT	V;SBJV;SG;3;PRS;FIN
kult	culte	kult	culte	N;NOM;MASC;SG	
kult	secta	kult	secta	N;NOM;MASC;SG	
kult	culte	kult	culte	N;NOM;MASC;SG	
zielony	green	zielony	grear		
tim	tim	ten	tim	PROPN;NOM;MASC;SG	PROPN
siłę	força	siła	força	N;ACC;FEM;SG	
wta	wta	wtać	wta	PROPN;NOM;FEM;SG	N;MASC;SG
honda	honda	honda	honda		N;MASC;SG
jonathan	jonathan	jonathan	jonathan	N;NOM;MASC;SG	
ibn	ibn	ibn	ibn	PROPN;NOM;MASC;SG	PROPN
doprowadziło	led	doprowadzić	led	V;PFV;NEUT;IND;SG;PST;FIN;ACT	
soccerway	soccerway	soccerway	soccerway	N;ACC;MASC;SG	
dyscypliny	disciplina	dyscyplina	disciplina	N;GEN;FEM;PL	N;FEM;SG
biblii	bíblia	biblia	bíblia		N;FEM;SG
dorosłych	adult	dorosły	adult	ADJ;GEN;MASC;PL	ADJ;MASC;SG
dorosłych	adults	dorosły	adult	ADJ;GEN;MASC;PL	N;MASC;PL
księżniczka	princess	księżniczka	princess	N;NOM;FEM;SG	
dół	down	dół	down	N;NOM;MASC;SG	
dół	bottom	dół	bottom	N;NOM;MASC;SG	PROPN
dół	fons	dół	fon	N;NOM;MASC;SG	N;MASC;PL
białystok	białystok	białystok	białystok		N;MASC;SG
kościuszki	kosciuszko	kościuszka	kosciuszko		ADJ;MASC;SG
technik	tècnic	technik	tècnic	V;IPFV;IMP;SG;2;FIN;ACT	ADJ;MASC;SG
żył	vivia	żyć	viure	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
żył	viscut	żyć	viure	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
pracownicy	personal	pracownik	personal	N;NOM;MASC;PL	ADJ;SG
piktogram	pictograma	piktogram	pictograma	N;NOM;MASC;SG	ADJ;MASC;SG
kamery	webcam	kamera	webcam	N;ACC;FEM;PL	
kamery	càmera	kamera	càmera	N;ACC;FEM;PL	
starosta	starosta	starosta	starosta	N;NOM;MASC;SG	ADJ;SG
dodatku	apèndix	dodatek	apèndix	N;GEN;MASC;SG	
dodatku	additiu	dodatek	additiu	N;GEN;MASC;SG	ADJ;MASC;SG
legendy	llegendes	legenda	llegenda		N;FEM;PL
legendy	llegenda	legenda	llegenda		V;IND;SG;3;PRS;FIN
legendy	legend	legenda	legend		
palestyny	palestina	palestyna	palestí	N;GEN;FEM;SG	ADJ;FEM;SG
alberta	alberta	albert	alberta		N;FEM;SG
alberta	albert	albert	albert		
poświęcił	sacrificat	poświęcić	sacrificar	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
finansowych	financer	finansowy	financer	ADJ;GEN;MASC;PL	ADJ;MASC;SG
finansowych	financera	finansowy	financer	ADJ;GEN;MASC;PL	ADJ;FEM;SG
zasobów	recurs	zasób	recurs	N;GEN;MASC;PL	N;MASC;SG
środek	centra	środek	centrar	N;NOM;MASC;SG	V;IND;SG;3;PRS;FIN
środek	center	środek	center	N;NOM;MASC;SG	
znaleziono	trobat	znaleźć	trobar	V;PFV;IND;0;PST;FIN;ACT	ADJ;MASC;SG;V.PTCP
produkty	producte	produkt	producte	N;NOM;MASC;PL	N;MASC;SG
adrian	adrian	adrian	adriar	PROPN;NOM;MASC;SG	
ruiny	ruïna	ruina	ruïna	N;ACC;FEM;PL	N;FEM;SG
martina	martina	martina	martinar		
powietrze	air	powietrze	air	N;NOM;NEUT;SG	PROPN
boy	noi	boy	noi		N;MASC;SG
carlo	carlo	carlo	carlo		PROPN
odpowiedzialny	responsable	odpowiedzialny	responsable	ADJ;NOM;MASC;SG	N;SG
lotniska	aeroports	lotnisko	aeroport	N;NOM;NEUT;SG	N;MASC;PL
indywidualny	individu	indywidualny	individu	ADJ;NOM;MASC;SG	N;MASC;SG
indywidualny	individuals	indywidualny	individual	ADJ;NOM;MASC;SG	ADJ;PL
gigant	gegant	gigant	gegant		ADJ;SG
szymon	szymon	szymon	szymó	PROPN;NOM;MASC;SG	PROPN
szymon	simó	szymon	simó	PROPN;NOM;MASC;SG	
szymon	simon	szymon	simon	PROPN;NOM;MASC;SG	PROPN
szymon	simón	szymon	simón	PROPN;NOM;MASC;SG	
