gestapo	الجستابو	gestapo	جِستَابُو	N;INDF;NEUT;SG	
stjålet	مسروق	stjæle	مَسرُوق	V;INDF;SG;PST;V.PTCP	
stjålet	المسروقة	stjæle	مَسرُوق	V;INDF;SG;PST;V.PTCP	N;NOM;DEF;SG
variable	المتغير	variable	مُتَغَيِّر	ADJ;PL	N;NOM;DEF;SG
variable	متغير	variable	مُتَغَيِّر	ADJ;PL	ADJ;NOM;INDF;MASC;SG
variable	متغيرة	variable	مُتَغَيِّر	ADJ;PL	ADJ;NOM;INDF;FEM;SG
bekendtgørelse	المرسوم	bekendtgørelse	مَرسُوم	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
bekendtgørelse	الاعلان	bekendtgørelse	إِعلَان	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
bekendtgørelse	الاشعار	bekendtgørelse	شَعَر	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
bekendtgørelse	اشعار	bekendtgørelse	شَعر	N;INDF;MASC+FEM;SG	N;NOM;INDF;PL
bekendtgørelse	المرسوم	bekendtgørelse	مَرسُوم	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
konto	الحساب	konto	حِسَاب	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
roning	التجديف	roning	تَجدِيف	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
flying	طيران	flying	طَيَرَان		N;NOM;INDF;SG
flying	الطيران	flying	طَيَرَان		N;NOM;DEF;SG
flying	تطير	flying	طَار		V;IPFV;FEM;IND;SG;3;FIN;ACT
woods	الغابات	woods	غَابَة		N;NOM;DEF;PL
woods	غابات	woods	غَابَة		N;NOM;INDF;PL
indian	هندية	indian	هِندِيّ	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
indian	هندي	indian	هِندِيّ	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
indian	الهندية	indian	الهندية	N;INDF;MASC+FEM;SG	
indian	الهندي	indian	هِندِيّ	N;INDF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
ligheder	التشابه	lighed	تَشَابُه	N;INDF;MASC+FEM;PL	
ligheder	تشابه	lighed	تَشَابُه	N;INDF;MASC+FEM;PL	N;NOM;INDF;SG
kontrast	التباين	kontrast	تَبَايُن	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
toulouse	تولوز	toulous	تَولَز		
fjern	ازل	fjern	أَزل	V;IMP	
fjern	ازالة	fjern	إِزَالَة	V;IMP	N;NOM;INDF;SG
økologisk	الايكولوجية	økologisk	إِيكُولُوجِيّ	ADV	ADJ;NOM;DEF;FEM;SG
økologisk	الايكولوجي	økologisk	إِيكُولُوجِيّ	ADV	
økologisk	العضوية	økologisk	عُضوِيَّة	ADV	N;NOM;DEF;SG
økologisk	عضوية	økologisk	عُضوِيَّة	ADV	N;NOM;INDF;SG
økologisk	عضوي	økologisk	عُضوِيّ	ADV	
forvirring	الخلط	forvirring	خَلط	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
forvirring	التشويش	forvirring	تَشوِيش	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
forvirring	الارتباك	forvirring	اِرتِبَاك	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
defensive	دفاعية	defensive	دِفَاعِيّ	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
defensive	دفاعي	defensive	دِفَاعِيّ	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
underholdning	للترفيه	underholdning	للترفيه	N;INDF;MASC+FEM;SG	N;GEN;DEF;SG
underholdning	الترفيه	underholdning	تَرفِيه	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
parentes	قوسين	parente	قوسين	V;NFIN;PASS	N;ACC;INDF;DU
parentes	اقواس	parente	قَوس	V;NFIN;PASS	N;NOM;INDF;PL
parentes	قوسين	parente	قوسين	V;NFIN;PASS	N;ACC;INDF;DU
landmand	فارمر	landmand	فارمر	N;INDF;MASC+FEM;SG	
landmand	المزارع	landmand	مَزرَعَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
landmand	مزارع	landmand	مَزرَعَة	N;INDF;MASC+FEM;SG	N;NOM;INDF;PL
granater	القذائف	granat	قَذِيفَة	N;INDF;NEUT;PL	N;NOM;DEF;PL
iført	ارتداء	iføre	اِرتِدَاء	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
liechtenstein	ليختنشتاين	liechtenstein	ليختنشتاين	N;INDF;MASC+FEM;SG	
rugby	الرجبي	rugby	رَجَبِيّ	N;INDF;MASC+FEM;SG	
neutralt	محايد	neutralt	محايد	ADJ;INDF;NEUT;SG	N;NOM;INDF;SG
neutralt	محايدا	neutralt	مُحَايِد	ADJ;INDF;NEUT;SG	N;ACC;INDF;SG
igor	ايغور	igor	ايغور		
igor	ايجور	igor	إِيجُور		
egnede	مناسبة	egne	مُنَاسَبَة	V;PL;PST;V.PTCP	N;NOM;INDF;SG
zero	صفر	zero	صفر		
zero	صفرا	zero	صفرا		N;ACC;INDF;SG
zero	الصفر	zero	صِفر		N;NOM;DEF;SG
bløde	ناعمة	blød	نَاعِمَة	ADJ;PL	ADJ;NOM;INDF;FEM;SG
bløde	الناعمة	blød	نَاعِمَة	ADJ;PL	N;NOM;DEF;SG
bløde	لينة	blød	لَينَة	ADJ;PL	ADJ;NOM;INDF;FEM;SG
bløde	ناعم	blød	نَاعِم	ADJ;PL	
giftige	سامة	giftig	سامة	ADJ;PL	N;NOM;INDF;SG
giftige	سمية	giftig	سمية	ADJ;PL	
giftige	سامة	giftig	سامة	ADJ;PL	N;NOM;INDF;SG
værelser	الغرف	værelse	غُرفَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
behold	احتفظ	behold	اِحتَفَظ	N;INDF;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
sprint	spr	sprinte	خَذَل		
beregning	الحساب	beregning	حِسَاب	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
roms	روم	roms	روم	PROPN;GEN	
roms	روما	roms	رُومَا	PROPN;GEN	
håret	شعر	hår	شعر	N;DEF;NEUT;SG	
standarden	قياسي	standard	قِيَاسِيّ	N;DEF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
standarden	معيار	standard	مُعِير	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
betingelse	الحالة	betingelse	حَالَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
betingelse	الشرط	betingelse	شَرط	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
spektrum	الطيف	spektrum	طَيف	N;INDF;NEUT;SG	N;NOM;DEF;SG
spektrum	طيف	spektrum	طيف	N;INDF;NEUT;SG	
begå	ارتكاب	begå	اِرتِكَاب	V;NFIN;ACT	N;NOM;INDF;SG
kenny	كيني	kenny	كِينِيّ		
amatør	هاو	amatør	هاو	N;INDF;MASC+FEM;SG	
amatør	الهواة	amatør	هَوَاة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
reden	عش	red	عَشّ	N;DEF;MASC+FEM;SG	
pleje	العناية	pleje	عِنَايَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
pleje	الاهتمام	pleje	اِهتِمَام	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
pleje	اهتم	pleje	اِهتَمّ	N;INDF;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
pleje	العناية	pleje	عِنَايَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
pleje	الرعاية	pleje	رِعَايَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
carbon	الكربون	carbon	الكربون		
carbon	كربون	carbon	كربون		
carbon	الكربوني	carbon	الكربوني		
værktøjer	الادوات	værktøj	أَدَاة	N;INDF;NEUT;PL	N;NOM;DEF;PL
kulstof	الكربون	kulstof	الكربون	N;INDF;NEUT;SG	
kulstof	كربون	kulstof	كربون	N;INDF;NEUT;SG	
kulstof	الكربوني	kulstof	الكربوني	N;INDF;NEUT;SG	
segl	فقمات	segl	فَقم	N;INDF;NEUT;SG	N;NOM;INDF;PL
segl	الاختام	segl	خُتم	N;INDF;NEUT;SG	N;NOM;DEF;PL
segl	الختم	segl	خِتمَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
segl	ختم	segl	خَتَم	N;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
segl	فقمة	segl	فِقمَة	N;INDF;NEUT;SG	
overvældende	ساحق	overvældende	سَاحِق	ADJ	N;NOM;INDF;SG
lover	الوعود	love	وَعد	V;IND;PRS;FIN;ACT	N;NOM;DEF;PL
lover	وعود	love	وَعد	V;IND;PRS;FIN;ACT	
lover	عدني	love	عدني	V;IND;PRS;FIN;ACT	ADJ;NOM;INDF;MASC;SG
lover	الوعد	love	وَعد	V;IND;PRS;FIN;ACT	N;NOM;DEF;SG
lover	دك	love	دَك	V;IND;PRS;FIN;ACT	
lover	واعدة	love	وَاعِد	V;IND;PRS;FIN;ACT	ADJ;NOM;INDF;FEM;SG
lover	واعد	love	وَاعِد	V;IND;PRS;FIN;ACT	
seng	الفراش	seng	فِرَاش	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
seng	السرير	seng	سَرِير	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
rover	روفر	rove	رُوفِر	N;INDF;MASC+FEM;SG	
mulighederne	احتمالات	mulighed	اِحتِمَال	N;DEF;MASC+FEM;PL	N;NOM;INDF;PL
mulighederne	امكانيات	mulighed	إِمكَانِيَّة	N;DEF;MASC+FEM;PL	N;NOM;INDF;PL
variabel	المتغير	variabel	مُتَغَيِّر	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
variabel	متغير	variabel	مُتَغَيِّر	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
variabel	متغيرة	variabel	مُتَغَيِّر	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
vingerne	اجنحة	vinge	اجنحة	N;DEF;MASC+FEM;PL	
adresser	العناوين	adresse	عُنوَان	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
india	انديا	india	أَندِيّ		
india	الهند	india	هِند		N;NOM;DEF;SG
india	بالهند	india	بِ		N;NOM;DEF;SG
medtaget	المدرجة	medtage	مَدرَجَة	V;INDF;SG;PST;V.PTCP	N;NOM;DEF;SG
medtaget	مدرج	medtage	مُدَرِّج	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
arc	قوس	arc	قَوس		N;NOM;INDF;SG
æra	العصر	æra	عَصر	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
æra	الحقبة	æra	حِقبَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
kabel	كيبل	kabel	كيبل	N;INDF;NEUT;SG	
kabel	الكابل	kabel	كَابِل	N;INDF;NEUT;SG	N;NOM;DEF;SG
kabel	كابل	kabel	كَابِلَ	N;INDF;NEUT;SG	
tilføjer	add	tilføje	صَذَث	V;IND;PRS;FIN;ACT	
tilføjer	اضف	tilføje	اضف	V;IND;PRS;FIN;ACT	N;NOM;INDF;SG
tilføjer	اضافة	tilføje	إِضَافَة	V;IND;PRS;FIN;ACT	N;NOM;INDF;SG
basen	قاعدة	base	قَاعِدَة	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
strasbourg	ستراسبورغ	strasbourg	ستراسبورغ		
caen	ca	caen	هُوَ		
jessica	جيسيكا	jessica	جِيسِيكَا	N;INDF;MASC+FEM;SG	
lópez	لوبيز	lópez	لوبيز		
skærmen	شاشة	skærm	شَاشَة	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
klokke	بيل	klokke	بِيل	N;INDF;MASC+FEM;SG	
klokke	الجرس	klokke	جَرَس	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
portland	بورتلاند	portland	بُورتلَاند		
optegnelser	السجلات	optegnelse	سِجِلّ	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
optegnelser	المحاضر	optegnelse	مُحَاضِر	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
smerte	الالم	smerte	أَلم	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
smerte	الم	smerte	إِلم	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
bælte	الحزام	bælte	حِزَام	N;INDF;NEUT;SG	N;NOM;DEF;SG
rumænsk	الروماني	rumænsk	رُومَانِيّ	ADJ;INDF;SG	ADJ;NOM;DEF;MASC;SG
rumænsk	رومانيا	rumænsk	رُومَانِيَا	ADJ;INDF;SG	
rumænsk	الرومانية	rumænsk	رُومَانِيّ	ADJ;INDF;SG	ADJ;NOM;DEF;FEM;SG
gibson	جبسون	gibson	جبسون	N;INDF;MASC+FEM;SG	
gibson	جيبسون	gibson	جِيبسُون	N;INDF;MASC+FEM;SG	
gibson	غيبسون	gibson	غيبسون	N;INDF;MASC+FEM;SG	
natural	الطبيعية	natural	طَبِيعِيّ		ADJ;NOM;DEF;FEM;SG
natural	الطبيعي	natural	طَبِيعِيّ		ADJ;NOM;DEF;MASC;SG
natural	طبيعي	natural	طَبِيعِيّ		ADJ;NOM;INDF;MASC;SG
natural	طبيعية	natural	طَبِيعِيّ		ADJ;NOM;INDF;FEM;SG
doktor	الدكتور	doktor	دُكتُور	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
doktor	دكتور	doktor	دُكتُور	N;INDF;MASC+FEM;SG	
doktor	الطبيب	doktor	طَبِيب	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
doktor	دكتورة	doktor	دُكتُورَة	N;INDF;MASC+FEM;SG	
samtaler	الاحاديث	samtale	حَدِيث	N;INDF;MASC+FEM;PL	
samtaler	المحادثات	samtale	مُحَادَثَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
samtaler	المقابلات	samtale	مُقَابَلَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
efterretninger	الاستخبارات	efterretning	اِستِخبَار	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
efterretninger	الذكاء	efterretning	ذَكَاء	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
efterretninger	المخابرات	efterretning	مُخَابَرَات	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
efterretninger	ذكاء	efterretning	ذَكَاء	N;INDF;MASC+FEM;PL	
efterretninger	انتل	efterretning	أَنتَل	N;INDF;MASC+FEM;PL	
statuen	تمثال	statue	تِمثَال	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
mislykket	فشل	mislykke	فَشَل	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
væg	الحائط	væg	حَائِط	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
væg	وول	væg	وُول	N;INDF;MASC+FEM;SG	
væg	الجدار	væg	جِدَار	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
tankegang	العقلية	tankegang	عَقلِيَّة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
tankegang	عقلية	tankegang	عقلية	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
inspektør	المفتش	inspektør	مُفَتِّش	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
fantastisk	العظيم	fantastisk	عَظِيم	ADJ;INDF;SG	ADJ;NOM;DEF;MASC;SG
fantastisk	مدهش	fantastisk	مدهش	ADJ;INDF;SG	
rosenberg	روزنبرغ	rosenberg	رُوزنبرغ	N;INDF;MASC+FEM;SG	
kay	كاي	kay	كَاي		
jesse	جيسي	jesse	جيسي		
indianere	الهنود	indianer	هِندِيّ	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
integration	الاندماج	integration	اِندِمَاج	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
integration	التكامل	integration	تَكَامُل	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
integration	الدمج	integration	دَمج	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
gun	مسدس	gun	مُسَدَّس		N;NOM;INDF;SG
mir	مير	mir	مير		
grus	الحصى	grus	حَصِيَّة	N;INDF;NEUT;SG	
brikker	بيادق	brik	بَيدَق	N;INDF;MASC+FEM;PL	
brikker	البلاط	brik	بَلَاط	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
brikker	بلاط	brik	بَلَاط	N;INDF;MASC+FEM;PL	N;NOM;INDF;SG
brikker	القطع	brik	قِطعَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
brikker	قطع	brik	قَطَع	N;INDF;MASC+FEM;PL	V;PFV;MASC;SG;3;ACT
tallene	ارقام	tal	رَقم	N;DEF;NEUT;PL	N;NOM;INDF;PL
religiøst	الدينية	religiøst	دِينِيّ	ADV	ADJ;NOM;DEF;FEM;SG
religiøst	دينية	religiøst	دِينِيّ	ADV	ADJ;NOM;INDF;FEM;SG
religiøst	الديني	religiøst	دِينِيّ	ADV	ADJ;NOM;DEF;MASC;SG
religiøst	متدين	religiøst	متدين	ADV	ADJ;NOM;INDF;MASC;DU
buffalo	بافالو	buffalo	بافالو		
buffalo	الجاموس	buffalo	جَامُوس		
lucy	لوسى	lucy	لوسى		
lucy	لوسي	lucy	لوسي		
paraguay	باراغواي	paraguay	باراغواي		
nominerede	المرشحون	nominere	مُرَشَّح	V;PL;PST;V.PTCP	N;NOM;DEF;PL
nominerede	رشح	nominere	رَشَح	V;PL;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
nominerede	رشحت	nominere	رشحت	V;PL;PST;V.PTCP	V;PFV;FEM;SG;3;ACT
mørkt	ظلام	mørk	ظَلَام	ADJ;INDF;NEUT;SG	N;NOM;INDF;SG
mørkt	الظلام	mørk	ظَلَام	ADJ;INDF;NEUT;SG	N;NOM;DEF;SG
bestræbelser	الجهود	bestræbelse	جَهد	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
amanda	اماندا	amanda	أَمَاندَا	N;INDF;MASC+FEM;SG	
udsmykning	ديكور	udsmykning	ديكور	N;INDF;MASC+FEM;SG	
udsmykning	زينة	udsmykning	زينة	N;INDF;MASC+FEM;SG	
udsmykning	الديكور	udsmykning	الديكور	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
udsmykning	ديكور	udsmykning	ديكور	N;INDF;MASC+FEM;SG	
udsmykning	الديكور	udsmykning	الديكور	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
vindue	النافذة	vindue	نَافِذ	N;INDF;NEUT;SG	N;NOM;DEF;SG
nægter	ارفض	nægte	ارفض	V;IND;PRS;FIN;ACT	
synlig	مرئي	synlig	مرئي	ADJ;INDF;MASC+FEM;SG	N;NOM;INDF;SG
synlig	ظاهر	synlig	ظاهر	ADJ;INDF;MASC+FEM;SG	
væsner	المخلوقات	væsne	مَخلُوق	N;INDF;MASC+FEM;PL	ADJ;NOM;DEF;FEM;PL
væsner	مخلوقات	væsne	مُخلَوِق	N;INDF;MASC+FEM;PL	ADJ;NOM;INDF;FEM;PL
hyundai	هونداي	hyundai	هُوندَاي	N;INDF;MASC+FEM;SG	
bukarest	بوخارست	bukarest	بُوخرَست	ADJ;RL	
dyrkning	المتزايد	dyrkning	مُتَزَايِد	N;INDF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
dyrkning	ينمو	dyrkning	نَمَا	N;INDF;MASC+FEM;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
chief	الرئيس	chief	رَئِيس	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
chief	الزعيم	chief	زَعِيم	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
bemærkninger	الملاحظات	bemærkning	مُلَاحَظَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
bemærkninger	الملاحظات	bemærkning	مُلَاحَظَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
bemærkninger	التعليقات	bemærkning	تَعلِيق	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
spider	عنكبوت	spide	عُنكُبُوت	N;INDF;MASC+FEM;SG	
spider	سبايدر	spide	سبَايدَر	N;INDF;MASC+FEM;SG	
spider	العنكبوت	spide	العنكبوت	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
voldelige	عنيف	voldelig	عَنِيف	ADJ;PL	ADJ;NOM;INDF;MASC;SG
voldelige	عنف	voldelig	عُنف	ADJ;PL	N;NOM;INDF;SG
voldelige	عنيفة	voldelig	عَنِيف	ADJ;PL	ADJ;NOM;INDF;FEM;SG
veninde	حبيبه	veninde	حبيبه	N;INDF;MASC+FEM;SG	PRO;NOM;MASC;SG;3
veninde	الصديق	veninde	صَدِيق	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
veninde	صديقي	veninde	صديقي	N;INDF;MASC+FEM;SG	
enzymer	الانزيمات	enzymer	اِنزِيمَات	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
studierne	الاستوديوهات	studium	اِستَودَيُوه	N;DEF;NEUT;PL	
studierne	استوديوهات	studium	استوديوهات	N;DEF;NEUT;PL	
studierne	استديوهات	studium	اِستَدَاو	N;DEF;NEUT;PL	
studierne	ستوديوهات	studium	ستوديوهات	N;DEF;NEUT;PL	N;NOM;INDF;PL
belysning	الاضاءة	belysning	إِضَاءَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
høvding	الرئيس	høvding	رَئِيس	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
høvding	الزعيم	høvding	زَعِيم	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
højhed	سمو	højhed	سُمُوّ	N;INDF;MASC+FEM;SG	
koder	شفرة	kode	شَفرَة	N;INDF;MASC+FEM;PL	N;NOM;INDF;SG
koder	الكود	kode	الكود	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
koder	رمز	kode	رَمز	N;INDF;MASC+FEM;PL	N;NOM;INDF;SG
koder	الرمز	kode	رَمز	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
koder	كود	kode	كود	N;INDF;MASC+FEM;PL	
koder	الرموز	kode	رَمز	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
udelukket	استبعاد	udelukke	اِستِبعَاد	V;INDF;SG;PST;V.PTCP	N;NOM;INDF;SG
udelukket	مستبعدة	udelukke	مُستَبعَدَة	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;FEM;SG
overgreb	الهجوم	overgreb	هُجُوم	N;INDF;NEUT;SG	N;NOM;DEF;SG
overgreb	الاعتداء	overgreb	اِعتِدَاء	N;INDF;NEUT;SG	N;NOM;DEF;SG
overgreb	الاساءة	overgreb	اِسَّاء	N;INDF;NEUT;SG	N;NOM;DEF;SG
laboratorium	المختبر	laboratorium	مُختَبَر	N;INDF;NEUT;SG	N;NOM;DEF;SG
laboratorium	المختبر	laboratorium	مُختَبَر	N;INDF;NEUT;SG	N;NOM;DEF;SG
laboratorium	المعمل	laboratorium	مُعمَل	N;INDF;NEUT;SG	N;NOM;DEF;SG
isolerede	معزول	isolere	مَعزُول	V;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
isolerede	معزولة	isolere	مَعزُول	V;PL;PST;V.PTCP	ADJ;NOM;INDF;FEM;SG
isolerede	عزل	isolere	عزل	V;PL;PST;V.PTCP	
isolerede	منعزل	isolere	مُنعَزِل	V;PL;PST;V.PTCP	
lastbiler	الشاحنات	lastbil	شَاحِنَة	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
urne	الجرة	urne	جُرَّة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
isabella	ايزابيلا	isabella	ايزابيلا		
forberedelse	التحضير	forberedelse	تَحضِير	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
forberedelse	الاعداد	forberedelse	إِعدَاد	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
forberedelse	التحضير	forberedelse	تَحضِير	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
forberedelse	الاعداد	forberedelse	إِعدَاد	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
forberedelse	الاستعدادات	forberedelse	اِستِعدَاد	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
forberedelse	التحضيرات	forberedelse	تَحضِير	N;INDF;MASC+FEM;SG	N;NOM;DEF;PL
forpligtet	ملتزم	forpligte	مُلتَزَم	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
forpligtet	ملتزمة	forpligte	مُلتَزِم	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;FEM;SG
sarajevo	سراييفو	sarajevo	سَرَايِيفُو		
dommeren	قاضي	dommer	قاضي	N;DEF;MASC+FEM;SG	
dommeren	قاضية	dommer	قَاضِي	N;DEF;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
dommeren	قاض	dommer	قَاضِي	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
lidelser	المعاناة	lidelse	مُعَانَاة	N;INDF;MASC+FEM;PL	N;NOM;DEF;SG
lidelser	معاناة	lidelse	مُعَانَاة	N;INDF;MASC+FEM;PL	N;NOM;INDF;SG
kejserinde	الامبراطورة	kejserinde	أُمبِرطَاطُورَة	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
summen	مبلغ	sum	مَبلَغ	N;DEF;MASC+FEM;SG	N;NOM;INDF;SG
stores	متاجر	stores	مُتَأَجِّر	V;NFIN;PASS	N;NOM;INDF;PL
stores	المخازن	stores	مَخزَن	V;NFIN;PASS	N;NOM;DEF;PL
stores	محلات	stores	مَحَلّ	V;NFIN;PASS	N;NOM;INDF;PL
stores	المتاجر	stores	مُتَأَجِّر	V;NFIN;PASS	N;NOM;DEF;PL
stores	مخازن	stores	مَخزَن	V;NFIN;PASS	N;NOM;INDF;PL
vasa	vasa	vasa	صِزَّة		
santos	سانتوس	santos	سانتوس		
somme	السوم	somme	سُوم	ADJ	N;NOM;DEF;SG
farvede	ملون	farvet	مِلوَن	ADJ;PL	ADJ;NOM;INDF;MASC;SG
farvede	ملونة	farvet	مُلَوَّن	ADJ;PL	ADJ;NOM;INDF;FEM;SG
giant	عملاقة	giant	عِملَاق	N;INDF;NEUT;SG	ADJ;NOM;INDF;FEM;SG
giant	العملاق	giant	عِملَاق	N;INDF;NEUT;SG	N;NOM;DEF;SG
seine	السين	seine	سَين	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
familjebok	familj	familjebok	ثُشفَأفِيس	N;INDF;NEUT;SG	
petri	بتري	petri	بتري		
animation	المتحركة	animation	مُتَحَرِّك	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
mystisk	الغموض	mystisk	غُمُوض	ADJ;INDF;SG	N;NOM;DEF;SG
mystisk	غموض	mystisk	غُمُوض	ADJ;INDF;SG	N;NOM;INDF;SG
mystisk	اللغز	mystisk	لَغز	ADJ;INDF;SG	N;NOM;DEF;SG
mystisk	لغز	mystisk	لغز	ADJ;INDF;SG	
forudsætninger	الافتراضات	forudsætning	اِفتِرَاض	N;INDF;MASC+FEM;PL	N;NOM;DEF;PL
afsløre	فضح	afsløre	فَضح	V;NFIN;ACT	
hule	الكهف	hule	كَهف	N;INDF;MASC+FEM;SG	N;NOM;DEF;SG
hule	عرين	hule	عَرِين	N;INDF;MASC+FEM;SG	
hule	جوف	hule	جوف	N;INDF;MASC+FEM;SG	
hule	الجوف	hule	جَوف	N;INDF;MASC+FEM;SG	
keramik	الفخار	keramik	فِخَار	N;INDF;NEUT;SG	N;NOM;DEF;SG
keramik	السيراميك	keramik	سِيرَامِيك	N;INDF;NEUT;SG	N;NOM;DEF;SG
bark	bar	bark	ثَظِي	N;INDF;NEUT;SG	
rogers	روجرز	roge	رُوجرِز	N;GEN;INDF;MASC+FEM;PL	
alma	الما	alma	أَلِمّ	N;INDF;MASC+FEM;SG	
