और	och	और	och		CONJ
वेस्ट	västra	वेस्ट	onstra	PROPN;NOM;MASC;SG;3	ADJ;NOM;DEF;SG
वेस्ट	väst	वेस्ट	väst	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
वेस्ट	väster	वेस्ट	väster	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
वेस्ट	västerut	वेस्ट	västerut	PROPN;NOM;MASC;SG;3	ADV
प्रतिष्ठित	noble	प्रतिष्ठित	noble	ADJ	N;NOM;INDF;NEUT;SG
प्रतिष्ठित	hedrade	प्रतिष्ठित	hedra	ADJ	V;IND;PST;V.PTCP;ACT
न्यूनतम	minimera	न्यूनतम	minimera	PROPN;NOM;SG;3	V;IMP;FIN;ACT
न्यूनतम	lägst	न्यूनतम	låg	PROPN;NOM;SG;3	ADJ;NOM;INDF;RL
न्यूनतम	lägsta	न्यूनतम	låg	PROPN;NOM;SG;3	ADJ;NOM;DEF;RL
न्यूनतम	minimalt	न्यूनतम	minimal	PROPN;NOM;SG;3	ADJ;NOM;INDF;NEUT;SG
न्यूनतम	minst	न्यूनतम	lite	PROPN;NOM;SG;3	ADV;RL
न्यूनतम	minimum	न्यूनतम	minimum	PROPN;NOM;SG;3	N;NOM;INDF;NEUT;SG
न्यूनतम	minsta	न्यूनतम	liten	PROPN;NOM;SG;3	ADJ;NOM;DEF;RL
न्यूनतम	min	न्यूनतम	jag	PROPN;NOM;SG;3	PRO;DEF;MASC+FEM;SG
प्रतिभा	talanger	प्रतिभा	talang	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;PL
प्रशंसा	prisa	प्रशंसा	prisa	N;NOM;FEM;SG;3	V;IMP;FIN;ACT
प्रशंसा	lovord	प्रशंसा	lovord	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;PL
सीट	sittplats	सीट	sittplats	N;NOM;FEM;SG;3	V;V.CVB;PASS
उत्सव	festivalen	उत्सव	festival	N;NOM;MASC;SG;3	N;NOM;DEF;NEUT;PL
कपड़े	klädesplagg	कपड़ा	klädesplagg	N;NOM;MASC;PL;3	N;NOM;INDF;NEUT;SG
सालों	years	साल	years	N;NOM;MASC;PL;3	N;NOM;INDF;MASC+FEM;SG
सालों	år	साल	år	N;NOM;MASC;PL;3	N;NOM;INDF;NEUT;SG
हजारों	tusental	हजार	tusental	N;ACC;MASC;PL;3	N;NOM;INDF;NEUT;SG
हजारों	tusentals	हजार	tusental	N;ACC;MASC;PL;3	N;GEN;INDF;NEUT;PL
खनिज	fossila	खनिज	fossil	N;NOM;MASC;SG;3	ADJ;NOM;PL
खनिज	mineraler	खनिज	mineral	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
खनिज	mineralämnen	खनिज	mineralämne	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
लम्बी	långa	लंबा	lång	ADJ;NOM;FEM;SG	ADJ;NOM;PL
लम्बी	långt	लंबा	långt	ADJ;NOM;FEM;SG	ADV
लम्बी	long	लंबा	long	ADJ;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
लम्बी	länge	लंबा	länge	ADJ;NOM;FEM;SG	ADV
बुद्धि	underrättelser	बुद्धि	underrättelse	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;PL
फ्रांसीसी	franska	फ्रांसीसी	fransk	ADJ;NOM	N;NOM;INDF;MASC+FEM;SG
फ्रांसीसी	fransmän	फ्रांसीसी	fransman	ADJ;NOM	N;NOM;INDF;MASC+FEM;PL
कठोर	hårt	कठोर	hård	ADJ	ADV
प्रणालियों	system	प्रणाली	system	N;ACC;MASC;PL;3	N;NOM;INDF;NEUT;SG
प्रणालियों	systems	प्रणाली	system	N;ACC;MASC;PL;3	N;NOM;INDF;NEUT;SG
विकार	sjukdomar	विकार	sjukdom	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
विकार	störningar	विकार	störning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
घटक	sammansatt	घटक	sammansatt	N;NOM;MASC;SG;3	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
घटक	sammansatta	घटक	sammansatta	N;NOM;MASC;SG;3	ADJ;NOM;PL;PST;V.PTCP
ऑस्ट्रेलियाई	aussie	ऑस्ट्रेलियाई	aussie	PROPN;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
ऑस्ट्रेलियाई	australisk	ऑस्ट्रेलियाई	australisk	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC+FEM;SG
ऑस्ट्रेलियाई	australiska	ऑस्ट्रेलियाई	australisk	PROPN;NOM;MASC;SG;3	ADJ;NOM;PL
वर्गों	torg	वर्ग	torg	N;ACC;MASC;PL;3	N;NOM;INDF;NEUT;SG
वर्गों	rutor	वर्ग	ruta	N;ACC;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
वर्गों	avsnitt	वर्ग	avsnitt	N;ACC;MASC;PL;3	N;NOM;INDF;NEUT;SG
वर्गों	sektioner	वर्ग	sektion	N;ACC;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
काल्पनिक	hypotetiskt	काल्पनिक	hypotetisk	N;NOM;MASC;SG;3	ADJ;NOM;INDF;NEUT;SG
काल्पनिक	hypotetiska	काल्पनिक	hypotetisk	N;NOM;MASC;SG;3	ADJ;NOM;PL
काल्पनिक	hypotetisk	काल्पनिक	hypotetisk	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC+FEM;SG
प्रयत्न	insatser	प्रयत्न	insats	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
प्रयत्न	ansträngningar	प्रयत्न	ansträngning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
प्रजाति	djurart	प्रजाति	djur	N;NOM;FEM;SG;3	ADJ;NOM;INDF;MASC+FEM;SG
प्रजाति	arter	प्रजाति	art	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;PL
इस्लामी	islamisk	इस्लामी	islamisk		ADJ;NOM;INDF;MASC+FEM;SG
इस्लामी	islamistiska	इस्लामी	islamistisk		ADJ;NOM;PL
इस्लामी	islamiska	इस्लामी	islamisk		ADJ;NOM;PL
इस्लामी	islamska	इस्लामी	islamsk		ADJ;NOM;PL
इस्लामी	islamism	इस्लामी	islamism		N;NOM;INDF;MASC+FEM;SG
शहरी	urbanisering	शहरी	urbanisering	PROPN;NOM	N;NOM;INDF;MASC+FEM;SG
शहरी	urban	शहरी	urban	PROPN;NOM	N;NOM;INDF;MASC+FEM;SG
शहरी	urbana	शहरी	urbana	PROPN;NOM	ADJ;NOM;PL
शहरी	tätort	शहरी	tätor	PROPN;NOM	N;NOM;INDF;MASC+FEM;SG
बातें	talesätt	बात	talesätt	N;NOM;FEM;PL;3	N;NOM;INDF;NEUT;SG
बातें	ordspråk	बात	ordspråk	N;NOM;FEM;PL;3	N;NOM;INDF;NEUT;SG
नदियाँ	vattendrag	नदी	vattendrag	N;NOM;FEM;PL;3	N;NOM;INDF;NEUT;SG
नदियाँ	rivers	नदी	rivars	N;NOM;FEM;PL;3	PROPN;GEN
मानवीय	human	मानवीय	huma	ADJ	N;NOM;INDF;MASC+FEM;SG
शास्त्रीय	klassiska	शास्त्रीय	klassisk	PROPN;NOM;SG;3	ADJ;NOM;PL
शास्त्रीय	klassisk	शास्त्रीय	klassisk	PROPN;NOM;SG;3	ADJ;NOM;INDF;MASC+FEM;SG
शास्त्रीय	klassiskt	शास्त्रीय	klassisk	PROPN;NOM;SG;3	ADJ;NOM;INDF;NEUT;SG
सैन	san	सैन	san	PROPN;NOM;MASC;SG;3	PROPN;NOM
अग्नि	fire	अग्नि	fire	PROPN;NOM;FEM;SG;3	N;NOM;INDF;NEUT;SG
अग्नि	brand	अग्नि	brand	PROPN;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
अग्नि	eld	अग्नि	eld	PROPN;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
अग्नि	agni	अग्नि	agni	PROPN;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
ग्रेट	jättebra	ग्रेट	jättebra		N;NOM;INDF;NEUT;SG
ग्रेट	härligt	ग्रेट	härlig		ADJ;NOM;INDF;NEUT;SG
ग्रेट	toppen	ग्रेट	topp		N;NOM;DEF;MASC+FEM;SG
श्रम	labour	श्रम	labour	N;NOM;MASC;SG;3	PROPN;NOM
श्रम	arbetarnas	श्रम	arbetare	N;NOM;MASC;SG;3	N;GEN;DEF;MASC+FEM;PL
आयरलैंड	island	आयरलैंड	island	PROPN;NOM;MASC;SG;3	PROPN;NOM
आयरलैंड	irland	आयरलैंड	irland	PROPN;NOM;MASC;SG;3	PROPN;NOM
आयरलैंड	ireland	आयरलैंड	ireland	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
निकटतम	närmaste	निकटतम	nära	N;NOM;MASC;SG;3	ADJ;NOM;DEF;RL
निकटतम	närmast	निकटतम	nära	N;NOM;MASC;SG;3	ADV;RL
निकटतम	närmsta	निकटतम	nära	N;NOM;MASC;SG;3	ADJ;NOM;DEF;RL
उसको	honom	वह	han	PRO;SG;3	PRO;ACC;DEF;MASC+FEM;SG
असफल	underkänt	असफल	underkänd	ADP	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
असफल	misslyckas	असफल	misslycka	ADP	V;NFIN;PASS
असफल	misslyckades	असफल	misslyckad	ADP	V;IND;PST;FIN;PASS
असफल	misslyckad	असफल	misslyckad	ADP	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
असफल	misslyckad	असफल	misslyckad	ADP	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
असफल	underlåtenhet	असफल	underlåtenhet	ADP	N;NOM;INDF;MASC+FEM;SG
असफल	misslyckande	असफल	misslycka	ADP	ADJ;NOM;PRS;V.PTCP
चन्द्र	chandra	चन्द्र	chandra	PROPN;NOM;MASC;SG;3	PROPN;NOM
चन्द्र	måne	चन्द्र	måne	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
चन्द्र	månen	चन्द्र	måne	PROPN;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
चन्द्र	moon	चन्द्र	moon	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
गाँधी	gandhi	गाँधी	gandhi	PROPN;NOM;MASC;SG;3	PROPN;NOM
अनुप्रयोग	tillämpningar	अनुप्रयोग	tillämpning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
अनुप्रयोग	ansökningar	अनुप्रयोग	ansökning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
अनुप्रयोग	applikationer	अनुप्रयोग	applikation	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
बचने	undvikande	बच	undvikande	V;NFIN;ACT	ADJ;NOM;PRS;V.PTCP
बेहद	extremt	बेहद	extrem	CONJ	ADV
सचिव	sekreterare	सचिव	sekreterare	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
ब्रांड	varumärken	ब्रांड	varumärke	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
ब्रांड	märken	ब्रांड	märke	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
डिज़ाइन	designa	डिज़ाइन	desigen	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
डिज़ाइन	utforma	डिज़ाइन	utforma	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
आवास	livsmiljöer	आवास	livsmiljö	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
आवास	habitat	आवास	habitad	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
आवास	bostäder	आवास	bostad	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
ज़िला	valdistrikt	ज़िला	valdistrikt	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
यांत्रिक	mekaniskt	यांत्रिक	mekanisk	N;NOM;MASC;SG;3	ADJ;NOM;INDF;NEUT;SG
यांत्रिक	mekaniska	यांत्रिक	mekanisk	N;NOM;MASC;SG;3	ADJ;NOM;PL
यांत्रिक	mekanisk	यांत्रिक	mekanisk	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC+FEM;SG
खड़े	står	खडा	stå	ADJ;NOM;MASC;PL	V;IND;PRS;FIN;ACT
खड़े	stående	खडा	stående	ADJ;NOM;MASC;PL	N;NOM;INDF;NEUT;SG
न्यायाधीश	domare	न्यायाधीश	dom	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
लाइव	leva	लाइव	leva	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
लाइव	levande	लाइव	levande	N;NOM;MASC;SG;3	ADJ;NOM;PRS;V.PTCP
कवियों	poeter	कवी	poet	N;ACC;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
स्थितियों	situationer	स्थिति	situation	N;ACC;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
स्थितियों	situationerna	स्थिति	situation	N;ACC;FEM;PL;3	N;NOM;DEF;MASC+FEM;PL
करेंगे	will	कर	will	V;MASC;IND;PL;3;FUT;FIN;ACT	V;IMP;FIN;ACT
करेंगे	kommer	कर	komma	V;MASC;IND;PL;3;FUT;FIN;ACT	V;IND;PRS;FIN;ACT
मलयालम	malayalam	मलयालम	malayalam	PROPN;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;SG
जाय	muskot	जा	muskot	V;SBJV;FIN;ACT	N;NOM;INDF;MASC+FEM;SG
मुंगेर	munger	मुंगेर	munge	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
हालाँकि	fastän	हालाँकि	fastän	CONJ	ADV
पीटर	petrus	पीटर	petrus	PROPN;NOM;MASC;SG;3	PROPN;NOM
पीटर	peter	पीटर	peter	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
खराब	bad	खराब	be	ADJ	V;IMP;FIN;ACT
संवाद	dialoger	संवाद	dialog		N;NOM;INDF;MASC+FEM;PL
संवाद	dialogen	संवाद	dialog		N;NOM;DEF;MASC+FEM;SG
संवाद	dialog	संवाद	dialag		N;NOM;INDF;MASC+FEM;SG
प्रीमियर	premier	प्रीमियर	premie	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
चित्रित	målade	चित्रित	måla	ADJ	V;PST;V.PTCP;ACT
चित्रित	målas	चित्रित	målas	ADJ	V;NFIN;PASS
चित्रित	avbildas	चित्रित	avbilda	ADJ	V;NFIN;PASS
मोहम्मद	mohamed	मोहम्मद	mohamed	PROPN;NOM;MASC;SG;3	PROPN;NOM
फसल	beskära	फसल	beskära	N;NOM;FEM;SG;3	V;IMP;FIN;ACT
वापसी	retur	वापसी	retur	N;NOM;FEM;SG;3	V;IMP;FIN;ACT
वापसी	återvända	वापसी	återvända	N;NOM;FEM;SG;3	V;IMP;FIN;ACT
वापसी	returnera	वापसी	returnera	N;NOM;FEM;SG;3	V;IMP;FIN;ACT
वापसी	tillbakadragande	वापसी	tillbakadragande	N;NOM;FEM;SG;3	ADJ;NOM;PRS;V.PTCP
प्रोत्साहित	uppmuntra	प्रोत्साहित	uppmuntra	ADJ	V;IMP;FIN;ACT
प्रोत्साहित	uppmuntrar	प्रोत्साहित	uppmuntra	ADJ	V;IND;PRS;FIN;ACT
प्रोत्साहित	uppmuntran	प्रोत्साहित	uppmuntran	ADJ	N;NOM;INDF;MASC+FEM;SG
प्रोत्साहित	uppmuntra	प्रोत्साहित	uppmuntra	ADJ	V;IMP;FIN;ACT
प्रोत्साहित	uppmuntrar	प्रोत्साहित	uppmuntra	ADJ	V;IND;PRS;FIN;ACT
प्रोत्साहित	uppmuntrade	प्रोत्साहित	uppmuntrad	ADJ	V;IND;PST;V.PTCP;ACT
प्रोत्साहित	uppmuntrat	प्रोत्साहित	uppmuntrad	ADJ	V;V.CVB;ACT
प्रोत्साहित	främjade	प्रोत्साहित	främja	ADJ	V;IND;PST;FIN;ACT
प्रोत्साहित	uppmuntras	प्रोत्साहित	uppmuntra	ADJ	V;NFIN;PASS
सूरज	sön	सूरज	sön	PROPN;NOM;MASC;SG;3	N
सूरज	sun	सूरज	sun	PROPN;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
सूरज	sol	सूरज	sol	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
लाइसेंस	licenserna	लाइसेंस	licens	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;PL
लाइसेंस	licenser	लाइसेंस	licens	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
सेन	sen	सेन	sen	PROPN;NOM;SG;3	ADV
छः	sexa	छः	sexa	NUM	N;NOM;INDF;MASC+FEM;SG
छः	six	छः	six	NUM	PROPN;NOM
मिशन	beskickningar	मिशन	beskickning	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
लंबा	tall	लंबा	tall	ADJ;MASC;SG	N;NOM;INDF;MASC+FEM;SG
लंबा	långa	लंबा	lång	ADJ;MASC;SG	ADJ;NOM;PL
लंबा	långt	लंबा	långt	ADJ;MASC;SG	ADV
लंबा	long	लंबा	long	ADJ;MASC;SG	N;NOM;INDF;MASC+FEM;SG
लंबा	länge	लंबा	länge	ADJ;MASC;SG	ADV
विशेषज्ञ	specialist	विशेषज्ञ	specialist	N;NOM;MASC;PL;3	N;NOM;INDF;MASC+FEM;SG
विशेषज्ञ	sakkunniga	विशेषज्ञ	sakkunnig	N;NOM;MASC;PL;3	ADJ;NOM;PL
विशेषज्ञ	experten	विशेषज्ञ	expert	N;NOM;MASC;PL;3	N;NOM;DEF;MASC+FEM;SG
विशेषज्ञ	sakkunnig	विशेषज्ञ	sakkunnig	N;NOM;MASC;PL;3	N;NOM;INDF;MASC+FEM;SG
विशेषज्ञ	expert	विशेषज्ञ	expert	N;NOM;MASC;PL;3	N;NOM;INDF;MASC+FEM;SG
उपाय	rättsmedel	उपाय	rättsmedel	N;NOM;MASC;PL;3	N;NOM;INDF;NEUT;SG
उपाय	åtgärda	उपाय	åtgärda	N;NOM;MASC;PL;3	V;IMP;FIN;ACT
उपाय	botemedel	उपाय	botemedel	N;NOM;MASC;PL;3	N;NOM;INDF;NEUT;SG
उपाय	avhjälpa	उपाय	avhjälpa	N;NOM;MASC;PL;3	V;IMP;FIN;ACT
आकाश	himlarna	आकाश	himlare	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;PL
आकाश	himlar	आकाश	himla	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
शासकों	härskare	शासक	härskare	N;ACC;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
तिब्बत	tibet	तिब्बत	tibet	PROPN;NOM;MASC;SG;3	PROPN;NOM
स्थानांतरित	flyttade	स्थानांतरित	flytta	ADJ	V;IND;PST;FIN;ACT
स्थानांतरित	rörd	स्थानांतरित	rörd	ADJ	N;NOM;INDF;MASC+FEM;SG
बचाव	försvara	बचाव	försvara	N;NOM;MASC;SG;3	V;IMP;NFIN;ACT
बचाव	rädda	बचाव	rädda	N;NOM;MASC;SG;3	V;IMP;NFIN;ACT
बचाव	förebyggande	बचाव	förebygga	N;NOM;MASC;SG;3	ADJ;NOM;PRS;V.PTCP
बचाव	förebygga	बचाव	förebygga	N;NOM;MASC;SG;3	V;IMP;NFIN;ACT
देखभाल	omtänksam	देखभाल	omtänksam	N;NOM;FEM;SG;3	ADJ;NOM;INDF;MASC+FEM;SG
पर्यटकों	turister	पर्यटक	turist	N;ACC;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
पर्यटकों	turisterna	पर्यटक	turist	N;ACC;MASC;PL;3	N;NOM;DEF;MASC+FEM;PL
ईरानी	irani	ईरानी	irani	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
ईरानी	iran	ईरानी	iran	PROPN;NOM;MASC;SG;3	PROPN;NOM
ईरानी	iranska	ईरानी	iransk	PROPN;NOM;MASC;SG;3	ADJ;NOM;PL
ईरानी	iransk	ईरानी	iransk	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC+FEM;SG
ईरानी	iranier	ईरानी	irani	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
सिंगापुर	sundbyberg	सिंगापुर	sundbyberg	PROPN;NOM;MASC;SG;3	PROPN;NOM
सिंगापुर	singapore	सिंगापुर	singapore	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
मादा	kvinnliga	मादा	kvinnlig	N;NOM;MASC;SG;3	ADJ;NOM;PL
मादा	kvinnligt	मादा	kvinnlig	N;NOM;MASC;SG;3	ADJ;NOM;INDF;NEUT;SG
खरीद	köpa	खरीद	köpa	N;NOM;FEM;SG;3	V;IMP;NFIN;ACT
खरीद	inköp	खरीद	inköp	N;NOM;FEM;SG;3	N;NOM;INDF;NEUT;PL
उत्सर्जन	utsläpp	उत्सर्जन	utsläpp	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
निवासियों	invånare	निवासी	invånare	N;ACC;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
निवासियों	innevånare	निवासी	innevånare	N;ACC;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
निवासियों	invånare	निवासी	invånare	N;ACC;MASC;PL;3	N;NOM;INDF;MASC+FEM;PL
निवासियों	boende	निवासी	boende	N;ACC;MASC;PL;3	N;NOM;INDF;NEUT;SG
निवासियों	bosatta	निवासी	bosatt	N;ACC;MASC;PL;3	ADJ;NOM;PL;PST;V.PTCP
क्षति	skador	क्षति	skada	N;NOM;FEM;SG;3	N;NOM;INDF;MASC+FEM;PL
दोष	klandra	दोष	klandra		V;IMP;FIN;ACT
अवतार	inkarnation	अवतार	inkarnation	N;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;PL
हाथी	elefanter	हाथी	elefant	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
शैक्षिक	akademisk	शैक्षिक	akademisk	N;NOM	ADJ;NOM;INDF;MASC+FEM;SG
शैक्षिक	akademiska	शैक्षिक	akademisk	N;NOM	ADJ;NOM;PL
शैक्षिक	akademiskt	शैक्षिक	akademisk	N;NOM	ADJ;NOM;INDF;NEUT;SG
शैक्षिक	pedagogiskt	शैक्षिक	pedagogisk	N;NOM	ADJ;NOM;INDF;NEUT;SG
शैक्षिक	pedagogisk	शैक्षिक	pedagogisk	N;NOM	ADJ;NOM;INDF;MASC+FEM;SG
युगल	par	युगल	par	PROPN;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
युगल	dubbelgångare	युगल	dubbelgångare	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
युगल	par	युगल	par	PROPN;NOM;MASC;SG;3	N;NOM;INDF;NEUT;SG
युगल	paret	युगल	par	PROPN;NOM;MASC;SG;3	N;NOM;DEF;NEUT;SG
ग्रीक	grekiskt	ग्रीक	grekisk		ADJ;NOM;INDF;NEUT;SG
ग्रीक	grek	ग्रीक	grek		N;NOM;INDF;MASC+FEM;SG
ग्रीक	grekisk	ग्रीक	grekisk		ADJ;NOM;INDF;MASC+FEM;SG
ग्रीक	grekiska	ग्रीक	grekisk		ADJ;NOM;PL
टीका	vacciner	टीका	vaccin	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
सुविधाओं	bekvämligheter	सुविधा	bekvämlighet	N;ACC;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
रिलीज	frisläppande	रिलीज	frisläppande	N;NOM;MASC;SG;3	ADJ;NOM;PRS;V.PTCP
रिलीज	släpp	रिलीज	släpp	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
रिलीज	släppa	रिलीज	släppa	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
रिलीज	utsläpp	रिलीज	utsläpp	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
रिलीज	utgåvor	रिलीज	utgåva	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
अदालत	court	अदालत	court	N;NOM;FEM;SG;3	PROPN;NOM
इस्पात	steel	इस्पात	steel	N;NOM;MASC;SG;3	PROPN;NOM
अकार्बनिक	oorganiskt	अकार्बनिक	oorganisk	N;NOM;MASC;SG;3	ADJ;NOM;INDF;NEUT;SG
अकार्बनिक	oorganiska	अकार्बनिक	oorganisk	N;NOM;MASC;SG;3	ADJ;NOM;PL
झारखंड	jharkhand	झारखंड	jharkhand	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
समझौता	kompromisser	समझौता	kompromiss	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
समझौता	kompromissa	समझौता	kompromiss	N;NOM;MASC;SG;3	V;IMP;FIN;ACT
जंगली	vilda	जंगली	vilja	N;NOM;MASC;SG;3	ADJ;NOM;PL
जंगली	vild	जंगली	vilja	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC+FEM;SG
जंगली	savage	जंगली	savag	N;NOM;MASC;SG;3	PROPN;NOM
जंगली	vilda	जंगली	vilja	N;NOM;MASC;SG;3	ADJ;NOM;PL
जरूरी	krävs	जरूरी	kräva	ADJ	V;IND;PRS;FIN;PASS
शनि	saturn	शनि	satur	PROPN;NOM;MASC;SG;3	PROPN;NOM
शनि	saturnus	शनि	saturnus	PROPN;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
शनि	sat	शनि	sit	PROPN;NOM;MASC;SG;3	V;IMP;FIN;ACT
शनि	satt	शनि	sitta	PROPN;NOM;MASC;SG;3	V;IMP;FIN;ACT
शनि	suttit	शनि	sutta	PROPN;NOM;MASC;SG;3	V;V.CVB;ACT
शनि	lör	शनि	löra	PROPN;NOM;MASC;SG;3	N
श्वेत	vita	श्वेत	vit		ADJ;NOM;PL
श्वेत	white	श्वेत	white		N;NOM;INDF;MASC+FEM;SG
श्वेत	vit	श्वेत	vit		ADJ;NOM;INDF;MASC+FEM;SG
श्वेत	vitt	श्वेत	vitt		ADJ;NOM;INDF;NEUT;SG
बातों	saker	बात	sak	N;ACC;FEM;PL;3	N;NOM;INDF;MASC+FEM;PL
बिलियन	miljarder	बिलियन	miljard	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
एकीकृत	enhetlig	एकीकृत	enhetlig	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC+FEM;SG
एकीकृत	enad	एकीकृत	enad	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC+FEM;SG
एकीकृत	enat	एकीकृत	enat	N;NOM;MASC;SG;3	ADJ;NOM;INDF;NEUT;SG
एकीकृत	integrerade	एकीकृत	integrera	N;NOM;MASC;SG;3	ADJ;NOM;PL;PST;V.PTCP
एकीकृत	integrerad	एकीकृत	integrerad	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
एकीकृत	integrerat	एकीकृत	integrerad	N;NOM;MASC;SG;3	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
पत्रकार	journalisten	पत्रकार	journalist	N;NOM;MASC;PL;3	N;NOM;DEF;MASC+FEM;SG
पत्रकार	journalist	पत्रकार	journalist	N;NOM;MASC;PL;3	N;NOM;INDF;MASC+FEM;SG
वस्त्र	textilier	वस्त्र	textilie	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
वस्त्र	kläder	वस्त्र	kläder	N;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;PL
