maurice	maurice	maurizar	maurice	PROPN	
nasa	nasa	nasa	nasa	N;FEM;SG	PROPN
masiva	massive	masivo	massive	ADJ;FEM;SG	ADJ;PL
mercurio	mercury	mercurio	mercury	N;MASC;SG	
gilbert	gilbert	gilbert	gilbert	PROPN	N;INDF;MASC+FEM;SG
escobar	escobar	escobar	escobar	PROPN	
regulación	regulerer	regulación	regulere	N;FEM;SG	V;IND;PRS;FIN;ACT
regulación	regulerende	regulación	regulere	N;FEM;SG	V;PRS;V.PTCP
alturas	heights	altura	heights	N;FEM;PL	N;INDF;MASC+FEM;SG
creencia	tro	creencia	tro	N;FEM;SG	V;NFIN;ACT
aterrizaje	lander	aterrizaje	land	N;MASC;SG	V;IND;PRS;FIN;ACT
campbell	campbell	campbell	campbell	N;SG	
danny	danny	danny	danny	N;MASC;SG	
pretendía	tiltænkt	pretender	tiltænkt	V;IND;SG;3;IPFV;FIN	V;INDF;SG;PST;V.PTCP
pretendía	påtænkte	pretender	påtænke	V;IND;SG;3;IPFV;FIN	V;DEF;SG;PST;V.PTCP
pretendía	tilsigtet	pretender	tilsigt	V;IND;SG;3;IPFV;FIN	N;DEF;NEUT;SG
pretendía	påtænkt	pretender	påtænke	V;IND;SG;3;IPFV;FIN	V;INDF;SG;PST;V.PTCP
nigeria	nigerianske	nigeria	nigeriansk	N;FEM;SG	ADJ;PL
nigeria	nigeria	nigeria	nigeria	N;FEM;SG	
constantinopla	konstantinopel	constantinopla	konstantinopel	ADJ;FEM;SG	N;INDF;MASC+FEM;SG
extrema	ekstreme	extremo	ekstrem	ADJ;FEM;SG	ADJ;PL
gibraltar	gibraltar	gibraltar	gibraltar	V;NFIN	ADJ;INDF;SG
gibraltar	gibraltars	gibraltar	gibraltar	V;NFIN	PROPN;GEN
sentimiento	føler	sentimiento	føle	N;MASC;SG	V;IND;PRS;FIN;ACT
cargas	afgifter	carga	afgift	N;FEM;PL	ADV
complutense	complutense	complutense	complutense	ADJ;SG	N;INDF;MASC+FEM;SG
suficientes	nok	suficiente	nok	ADJ;PL	ADV
suficientes	tilstrækkeligt	suficiente	tilstrækkeligt	ADJ;PL	ADV
suficientes	tilstrækkelig	suficiente	tilstrækkelig	ADJ;PL	ADJ;INDF;MASC+FEM;SG
when	da	when	da	N	ADV
when	når	when	når	N	CONJ
when	hvornår	when	hvornår	N	ADV
márquez	márquez	márquez	márquem	PROPN	N;INDF;MASC+FEM;SG
márquez	marquez	márquez	marquez	PROPN	
place	place	place	place	N	
non	non	non	non	N	
reality	realiteter	reality	realiteter	N;MASC;SG	N;INDF;MASC+FEM;PL
fuga	fuga	fuga	fuga	N;FEM;SG	
fuga	flygte	fuga	flygte	N;FEM;SG	V;NFIN;ACT
fuga	undslippe	fuga	undslippe	N;FEM;SG	V;NFIN;ACT
cleveland	cleveland	cleveland	cleveland	N;MASC;SG	
dorada	gylden	dorado	gyld	ADJ;FEM;SG;V.PTCP	N;DEF;MASC+FEM;SG
dorada	gyldne	dorado	gylden	ADJ;FEM;SG;V.PTCP	ADJ;PL
dorada	golden	dorado	gold	ADJ;FEM;SG;V.PTCP	N;DEF;MASC+FEM;SG
dorada	guld	dorado	guld	ADJ;FEM;SG;V.PTCP	N;INDF;NEUT;SG
dorada	gold	dorado	gold	ADJ;FEM;SG;V.PTCP	
afueras	udkanten	afueras	udkant	N;FEM;PL	N;DEF;MASC+FEM;SG
experto	sagkyndig	experto	sagkyndig	N;MASC;SG	ADJ;INDF;MASC+FEM;SG
frontal	front	frontal	front	ADJ;SG	N;INDF;MASC+FEM;SG
frontal	foran	frontal	foran	ADJ;SG	ADV
frontal	forside	frontal	forside	ADJ;SG	V;IMP
frontal	frontal	frontal	frontal	ADJ;SG	N;INDF;MASC+FEM;SG
frontal	frontalt	frontal	frontalt	ADJ;SG	ADV
borgoña	burgund	borgoña	burgund	N;FEM;SG	
borgoña	burgundy	borgoña	burgundy	N;FEM;SG	
huevo	æg	huevo	æg	N;MASC;SG	N;INDF;NEUT;PL
huevo	æg	huevo	æg	N;MASC;SG	N;INDF;NEUT;PL
tragedia	tragisk	tragedia	tragisk	N;FEM;SG	ADJ;INDF;SG
tragedia	tragiske	tragedia	tragisk	N;FEM;SG	ADJ;PL
tragedia	tragedier	tragedia	tragedie	N;FEM;SG	N;INDF;MASC+FEM;PL
beta	beta	beta	beta	N;FEM;SG	
azteca	azteca	azteca	azteca	N;SG	
azteca	aztekisk	azteca	aztekisk	N;SG	ADJ;INDF;SG
patrones	mønsteret	patrón	mønstere	N;MASC;PL	N;DEF;NEUT;SG
patrones	mønster	patrón	mønster	N;MASC;PL	N;INDF;NEUT;SG
patrones	arbejdsgiveren	patrón	arbejdsgiver	N;MASC;PL	N;DEF;MASC+FEM;SG
how	hvordan	how	hvordan	PROPN	ADV
boeing	boeing	boeing	boeing	N;MASC;SG	
aliado	allieret	aliado	alliere	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
aliado	allied	aliado	allied	ADJ;MASC;SG;V.PTCP	
aliado	allierede	aliado	alliere	ADJ;MASC;SG;V.PTCP	V;PL;PST;V.PTCP
aliado	allieret	aliado	alliere	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
aliado	allierede	aliado	alliere	ADJ;MASC;SG;V.PTCP	V;PL;PST;V.PTCP
aliado	forbundsfælle	aliado	forbundsfælle	ADJ;MASC;SG;V.PTCP	N;INDF;MASC+FEM;SG
aliado	ally	aliado	ally	ADJ;MASC;SG;V.PTCP	N;INDF;MASC+FEM;SG
ama	ama	amar	ama	V;IND;SG;3;PRS;FIN	
ama	herskerinde	amar	herskerinde	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;SG
ama	elskerinde	amar	elskerinde	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;SG
ama	fruen	amar	frue	V;IND;SG;3;PRS;FIN	N;DEF;MASC+FEM;SG
ama	frue	amar	frue	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;SG
literarios	litterære	literario	litterære	N;MASC;PL	ADJ;PL
literarios	litterær	literario	litterær	N;MASC;PL	ADJ;INDF;MASC+FEM;SG
luchó	sloges	luchar	sloge	V;IND;SG;3;PST;FIN	V;IND;PRS;FIN;PASS
viejos	gammelt	viejo	gammel	ADJ;MASC;PL	ADJ;INDF;NEUT;SG
viejos	old	viejo	old	ADJ;MASC;PL	
viejos	gammel	viejo	gammel	ADJ;MASC;PL	ADJ;INDF;MASC+FEM;SG
traducciones	oversat	traducción	oversat	N;FEM;PL	V;INDF;SG;PST;V.PTCP
traducciones	oversættelse	traducción	oversættelse	N;FEM;PL	N;INDF;MASC+FEM;SG
pulgadas	tomme	pulgado	tom	N;FEM;PL	ADJ;PL
arnold	arnold	arnold	arnold	PROPN	
ladrillo	brick	ladrillo	brick	N;MASC;SG	
calvo	skaldede	calvo	skalde	N;MASC;SG	V;PL;PST;V.PTCP
calvo	skaldet	calvo	skaldet	N;MASC;SG	ADJ;INDF;SG
calvo	calvo	calvo	calvo	N;MASC;SG	
barbara	barbara	barbar	barbara	N;FEM;SG	
compartir	deling	compartir	deling	V;NFIN	N;INDF;MASC+FEM;SG
compartir	dele	compartir	del	V;NFIN	N;INDF;MASC+FEM;PL
compartir	del	compartir	del	V;NFIN	N;INDF;MASC+FEM;SG
compartir	andel	compartir	andel	V;NFIN	N;INDF;MASC+FEM;SG
compartir	deling	compartir	deling	V;NFIN	N;INDF;MASC+FEM;SG
niñas	girls	niña	girls	N;FEM;PL	
probar	test	probar	test	V;NFIN	N;INDF;MASC+FEM;SG
probar	afprøvning	probar	afprøvning	V;NFIN	N;INDF;MASC+FEM;SG
probar	prøvning	probar	prøvning	V;NFIN	N;INDF;MASC+FEM;SG
mónica	monica	mónico	monica	N;FEM;SG	
mónica	mónica	mónico	mónica	N;FEM;SG	
arroyos	vandløb	arroyo	vandløb	N;MASC;PL	N;INDF;NEUT;SG
arroyos	strømme	arroyo	strømme	N;MASC;PL	V;NFIN;ACT
arroyos	brooks	arroyo	brooks	N;MASC;PL	
sabio	sage	sabio	sage	N;MASC;SG	ADJ
sabio	klog	sabio	klog	N;MASC;SG	ADJ;INDF;MASC+FEM;SG
sabio	klogt	sabio	klog	N;MASC;SG	ADJ;INDF;NEUT;SG
madison	madison	madison	madison	N;MASC;SG	
caridad	velgørende	caridad	velgørende	N;FEM;SG	ADJ
caridad	velgørende	caridad	velgørende	N;FEM;SG	ADJ
caridad	charity	caridad	charity	N;FEM;SG	
leftarm	leftarm	leftarm	leftarm	INTJ	
llave	tast	llave	taste	N;FEM;SG	V;IMP
exclusiva	eksklusive	exclusivo	eksklusiv	ADJ;FEM;SG	ADJ;PL
exclusiva	eneret	exclusivo	eneret	ADJ;FEM;SG	N;INDF;MASC+FEM;SG
merced	merced	merced	merced		
armados	væbnet	armado	væbne	ADJ;MASC;PL;V.PTCP	N;DEF;NEUT;SG
armados	armeret	armado	armere	ADJ;MASC;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
armados	bevæbnet	armado	bevæbne	ADJ;MASC;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
manuscritos	manuskriptet	manuscrito	manuskript	N;MASC;PL	N;DEF;NEUT;SG
manuscritos	manuskript	manuscrito	manuskript	N;MASC;PL	N;INDF;NEUT;SG
rivas	rivas	riva	rivas	N;FEM;PL	
major	major	major	major	N	
demonio	devil	demonio	devil	N;MASC;SG	
note	bemærk	notar	bemærke	N	V;IMP
emitida	udsendte	emitido	udsende	ADJ;FEM;SG;V.PTCP	V;PL;PST;V.PTCP
emitida	udsendes	emitido	udsende	ADJ;FEM;SG;V.PTCP	V;IND;PRS;FIN;PASS
carrillo	carrillo	carrillo	carrillo	N;MASC;SG	
nazis	nazist	nazi	nazist	N;PL	N;INDF;MASC+FEM;SG
nazis	nazi	nazi	nazi	N;PL	
nazis	nazistiske	nazi	nazistisk	N;PL	ADJ;PL
valdivia	valdivia	valdivia	valdivia	PROPN	
luisiana	louisiana	luisiano	louisiana	ADJ;FEM;SG	N;INDF;MASC+FEM;SG
malo	bad	malo	bede	ADJ;MASC;SG	V;IND;PST;FIN;ACT
malo	dårligt	malo	dårligt	ADJ;MASC;SG	ADV
materias	materiale	materia	materiale	N;FEM;PL	N;INDF;NEUT;SG
materias	fag	materia	fag	N;FEM;PL	N;INDF;NEUT;SG
urbanas	urban	urbano	urban	ADJ;FEM;PL	
básicas	basal	básico	basal	ADJ;FEM;PL	N;INDF;MASC+FEM;SG
básicas	basic	básico	basic	ADJ;FEM;PL	
gases	benzin	gas	benzin	N;MASC;PL	N;INDF;MASC+FEM;SG
gases	gas	gas	gas	N;MASC;PL	N;INDF;MASC+FEM;SG
ferroviario	jernbaner	ferroviario	jernbane	ADJ;MASC;SG	N;INDF;MASC+FEM;PL
ferroviario	jernbane	ferroviario	jernbane	ADJ;MASC;SG	N;INDF;MASC+FEM;SG
ferroviario	jernbanen	ferroviario	jernban	ADJ;MASC;SG	N;DEF;MASC+FEM;SG
potencias	beføjelse	potencia	beføjelse	N;FEM;PL	N;INDF;MASC+FEM;SG
potencias	powers	potencia	powe	N;FEM;PL	N;INDF;MASC+FEM;SG
ejemplar	kopiering	ejemplar	kopiering	V;NFIN	N;INDF;MASC+FEM;SG
ejemplar	kopi	ejemplar	kopi	V;NFIN	N;INDF;MASC+FEM;SG
ejemplar	kopier	ejemplar	kopie	V;NFIN	N;INDF;MASC+FEM;PL
ejemplar	forbilledligt	ejemplar	forbilledligt	V;NFIN	ADV
ejemplar	eksemplarisk	ejemplar	eksemplarisk	V;NFIN	ADV
ejemplar	eksemplariske	ejemplar	eksemplarisk	V;NFIN	ADJ;PL
ejemplar	forbilledlig	ejemplar	forbilledlig	V;NFIN	ADJ;INDF;MASC+FEM;SG
separadas	adskilt	separado	adskille	ADJ;FEM;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
separadas	separeret	separado	separere	ADJ;FEM;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
express	express	express	express	N;MASC	
express	udtrykke	express	udtrykke	N;MASC	V;NFIN;ACT
portugueses	portugisiske	portugués	portugisk	N;MASC;PL	ADJ;PL
portugueses	portugisisk	portugués	portugisisk	N;MASC;PL	ADJ;INDF;SG
normales	normalt	normal	normalt	ADJ;PL	ADV
normales	normal	normal	normal	ADJ;PL	ADJ;INDF;MASC+FEM;SG
estelar	star	estelar	star	ADJ;SG	
estelar	stjerne	estelar	stjer	ADJ;SG	N;INDF;MASC+FEM;SG
estelar	stjernen	estelar	stjerne	ADJ;SG	N;DEF;MASC+FEM;SG
montaje	redigerer	montaje	redigere	N;MASC;SG	V;IND;PRS;FIN;ACT
considerando	betragtning	considerar	betragtning	V;V.MSDR	N;INDF;MASC+FEM;SG
enviados	afsendt	enviar	afsende	ADJ;MASC;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
enviados	sendes	enviar	sende	ADJ;MASC;PL;V.PTCP	V;IND;PRS;FIN;PASS
enviados	sendte	enviar	sende	ADJ;MASC;PL;V.PTCP	V;IND;PST;FIN;ACT
enviados	sendt	enviar	sende	ADJ;MASC;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
enviados	budbringere	enviar	budbringere	ADJ;MASC;PL;V.PTCP	N;INDF;MASC+FEM;PL
enviados	udsendinge	enviar	udsending	ADJ;MASC;PL;V.PTCP	N;INDF;MASC+FEM;PL
kent	kent	kent	kent	N;MASC;SG	
larry	larry	larry	larry	PROPN	
asesinados	myrdet	asesinado	myrde	ADJ;MASC;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
asesinados	myrdede	asesinado	myrde	ADJ;MASC;PL;V.PTCP	V;PL;PST;V.PTCP
asesinados	dræbte	asesinado	dræbe	ADJ;MASC;PL;V.PTCP	V;PL;PST;V.PTCP
asesinados	dræbt	asesinado	dræbe	ADJ;MASC;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
asesinados	myrdet	asesinado	myrde	ADJ;MASC;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
combatientes	jagerfly	combatiente	jagerfly	N;PL	N;INDF;MASC+FEM;SG
prince	prince	prince	prince	N	
activamente	aktivt	activamente	aktiv	ADV	ADJ;INDF;NEUT;SG
giuseppe	giuseppe	giuseppe	giuseppe	PROPN	N;INDF;MASC+FEM;SG
pura	pura	puro	pura	ADJ;FEM;SG	
pura	rene	puro	ren	ADJ;FEM;SG	ADJ;PL
forestal	skovbrug	forestal	skovbrug	ADJ;SG	N;INDF;NEUT;SG
forestal	skovbruget	forestal	skovbrug	ADJ;SG	N;DEF;NEUT;SG
forestal	skov	forestal	skov	ADJ;SG	N;INDF;MASC+FEM;SG
forestal	forest	forestal	forest	ADJ;SG	
forestal	skoven	forestal	skov	ADJ;SG	N;DEF;MASC+FEM;SG
forestal	skove	forestal	skov	ADJ;SG	N;INDF;MASC+FEM;PL
viola	viola	violar	viola	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;SG
track	track	track	track	N;SG	
track	spore	track	spor	N;SG	V;NFIN;ACT
honda	honda	honda	honda	N;FEM;SG	
loira	loire	loira	loire	N;MASC;SG	N;INDF;MASC+FEM;PL
muertes	trafikdræbte	muerte	trafikdræbt	N;FEM;PL	ADJ;PL
román	romerske	román	romersk	N;MASC;SG	ADJ;PL
intenso	intensivt	intenso	intensivt	ADJ;MASC;SG	ADV
intenso	intenst	intenso	intenst	ADJ;MASC;SG	ADV
intenso	intense	intenso	intense	ADJ;MASC;SG	ADJ;PL
vaya	wow	ir	wow	V;SBJV;SG;3;PRS;FIN	
alvarado	alvarado	alvarado	alvarado	N;MASC;SG	
ibáñez	ibáñez	ibáñez	ibáñez	N;MASC;SG	
litros	gallon	litro	gallon	N;MASC;PL	N;INDF;MASC+FEM;SG
litros	liter	litro	liter	N;MASC;PL	N;INDF;MASC+FEM;SG
litros	liter	litro	liter	N;MASC;PL	N;INDF;MASC+FEM;SG
litros	liters	litro	liter	N;MASC;PL	N;INDF;MASC+FEM;SG
penales	strafferet	penal	straffere	ADJ;PL	V;INDF;SG;PST;V.PTCP
penales	forbryder	penal	forbryder	ADJ;PL	N;INDF;MASC+FEM;SG
penales	kriminel	penal	kriminel	ADJ;PL	ADJ;INDF;MASC+FEM;SG
shows	viser	show	vise	N;MASC;PL	V;IND;PRS;FIN;ACT
shows	shows	show	shows	N;MASC;PL	N;INDF;NEUT;SG
constituido	udgjorde	constituido	udgjorde	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
constituido	stiftet	constituido	stift	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
constituido	dannet	constituido	danne	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
consulado	konsulater	consulado	konsulat	N;MASC;SG	N;INDF;NEUT;PL
consulado	konsulater	consulado	konsulat	N;MASC;SG	N;INDF;NEUT;PL
ingresar	login	ingresar	login	V;NFIN	N;INDF;NEUT;SG
próximos	kommende	próximo	komme	ADJ;MASC;PL	V;PRS;V.PTCP
editada	redigerede	editado	redigere	ADJ;FEM;SG;V.PTCP	V;IND;PST;FIN;ACT
editada	redigeret	editado	redigere	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
prisionero	fange	prisionero	fange	N;MASC;SG	V;NFIN;ACT
disparo	skyde	disparo	skyde	N;MASC;SG	V;NFIN;ACT
disparo	skyder	disparo	skyde	N;MASC;SG	V;IND;PRS;FIN;ACT
disparo	skød	disparo	skød	N;MASC;SG	V;IND;PST;FIN;ACT
disparo	shot	disparo	shot	N;MASC;SG	
disparo	skudt	disparo	skyde	N;MASC;SG	V;INDF;SG;PST;V.PTCP
extenso	ekstensivt	extenso	ekstensivt	ADJ;MASC;SG	N;INDF;NEUT;SG
golpes	slagtilfælde	golpe	slagtilfælde	N;MASC;PL	N;INDF;NEUT;SG
golpes	strøg	golpe	strøg	N;MASC;PL	N;INDF;NEUT;SG
golpes	blæser	golpe	blæse	N;MASC;PL	V;IND;PRS;FIN;ACT
golpes	slag	golpe	slag	N;MASC;PL	N;INDF;NEUT;SG
mega	mega	mega	mega	N;SG	
atacó	angrebet	atacar	angreb	V;IND;SG;3;PST;FIN	N;DEF;NEUT;SG
herbert	herbert	herbert	herbert	PROPN	N;INDF;MASC+FEM;SG
dinosaurios	dinosaur	dinosaurio	dinosaur	N;MASC;PL	N;INDF;MASC+FEM;SG
dinosaurios	dinosaurus	dinosaurio	dinosaurus	N;MASC;PL	N;INDF;MASC+FEM;SG
extranjera	udlænding	extranjero	udlænding	ADJ;FEM;SG	N;INDF;MASC+FEM;SG
caña	reed	caña	reed	N;FEM;SG	
caña	ke	caña	ke	N;FEM;SG	
ética	etiske	ética	etisk	N;FEM;SG	ADJ;PL
ética	etisk	ética	etisk	N;FEM;SG	ADJ;INDF;SG
ética	etisk	ética	etisk	N;FEM;SG	ADJ;INDF;SG
encontrados	fundne	encontrado	fundne	ADJ;MASC;PL;V.PTCP	V;NFIN;ACT
encontrados	fandt	encontrado	finde	ADJ;MASC;PL;V.PTCP	V;IND;PST;FIN;ACT
encontrados	fundet	encontrado	finde	ADJ;MASC;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
formatos	formatering	formato	formatering	N;MASC;PL	N;INDF;MASC+FEM;SG
respuestas	respons	respuesta	respons	N;FEM;PL	N;INDF;MASC+FEM;SG
respuestas	svar	respuesta	svar	N;FEM;PL	N;INDF;NEUT;SG
respuestas	svar	respuesta	svar	N;FEM;PL	N;INDF;NEUT;SG
cooper	cooper	cooper	coope	PROPN	N;INDF;MASC+FEM;SG
duero	douro	duero	douro	N;MASC;SG	
august	august	augusto	august	PROPN	N;INDF;MASC+FEM;SG
típicos	typisk	típico	typisk	ADJ;MASC;PL	ADV
lento	langsomme	lento	langsom	ADJ;MASC;SG	ADJ;PL
lento	langsomt	lento	langsomt	ADJ;MASC;SG	ADV
apoyado	støttede	apoyar	støtte	ADJ;MASC;SG;V.PTCP	V;IND;PST;FIN;ACT
apoyado	understøttet	apoyar	understøtte	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
apoyado	støttet	apoyar	støtte	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
apoyado	understøttede	apoyar	understøttet	ADJ;MASC;SG;V.PTCP	V;PL;PST;V.PTCP
independientemente	uafhængig	independientemente	uafhængig	ADV	ADJ;INDF;MASC+FEM;SG
independientemente	selvstændigt	independientemente	selvstændigt	ADV	ADJ;INDF;NEUT;SG
astronómico	astronomiske	astronómico	astronomisk	ADJ;MASC;SG	ADJ;PL
col	kål	col	kål		N;INDF;MASC+FEM;PL
col	kol	col	kol		N;INDF;MASC+FEM;SG
ludwig	ludwig	ludwig	ludwig	PROPN	N;INDF;MASC+FEM;SG
velázquez	velasquez	velázquez	velasquez	N;MASC;SG	
líbano	libanesiske	líbano	libanesisk	N;MASC;SG	ADJ;PL
líbano	libanon	líbano	libanon	N;MASC;SG	PROPN
túnez	tunesien	túnez	tunesien	N;MASC;SG	PROPN
túnez	tunesisk	túnez	tunesisk	N;MASC;SG	ADJ;INDF;SG
túnez	tunesien	túnez	tunesien	N;MASC;SG	PROPN
túnez	tunesiske	túnez	tunesisk	N;MASC;SG	ADJ;PL
túnez	tunis	túnez	tunis	N;MASC;SG	
incluidas	omfattet	incluir	omfatte	ADJ;FEM;PL;V.PTCP	N;DEF;NEUT;SG
incluidas	inkluderet	incluir	inkludere	ADJ;FEM;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
incluidas	omfattede	incluir	omfatte	ADJ;FEM;PL;V.PTCP	V;IND;PST;FIN;ACT
incluidas	inkluderede	incluir	inkludere	ADJ;FEM;PL;V.PTCP	V;PL;PST;V.PTCP
incluidas	medtaget	incluir	medtage	ADJ;FEM;PL;V.PTCP	V;INDF;SG;PST;V.PTCP
four	fire	four	fire	N	NUM
four	four	four	four	N	
pescado	fiske	pescado	fisk	N;MASC;SG	V;NFIN;ACT
republicanos	republikanske	republicano	republikansk	N;MASC;PL	ADJ;PL
republicanos	republikaner	republicano	republikane	N;MASC;PL	N;INDF;MASC+FEM;SG
magic	magic	magic	magic	N	
magic	magiske	magic	magisk	N	ADJ;PL
magic	magisk	magic	magisk	N	ADJ;INDF;SG
artísticas	kunstnerisk	artístico	kunstnerisk	ADJ;FEM;PL	ADV
electrones	elektron	electrón	elektron	N;MASC;PL	N;INDF;MASC+FEM;SG
wood	wood	wood	wood	N	
avances	forskud	avance	forskud	N;MASC;PL	N;INDF;NEUT;SG
avances	gennembrud	avance	gennembrud	N;MASC;PL	N;INDF;NEUT;SG
avances	progress	avance	progress	N;MASC;PL	N;INDF;MASC+FEM;SG
avances	fremgang	avance	fremgang	N;MASC;PL	N;INDF;MASC+FEM;SG
vacaciones	holiday	vacaciones	holiday	N;FEM;PL	
vacaciones	ferie	vacaciones	ferie	N;FEM;PL	N;INDF;MASC+FEM;SG
vacaciones	helligdag	vacaciones	helligdag	N;FEM;PL	N;INDF;MASC+FEM;SG
vacaciones	ferie	vacaciones	ferie	N;FEM;PL	N;INDF;MASC+FEM;SG
vacaciones	ferie	vacaciones	ferie	N;FEM;PL	N;INDF;MASC+FEM;SG
murallas	væg	muralla	væg	N;FEM;PL	N;INDF;MASC+FEM;SG
murallas	wall	muralla	wall	N;FEM;PL	
murallas	væggen	muralla	væg	N;FEM;PL	N;DEF;MASC+FEM;SG
murallas	mur	muralla	mur	N;FEM;PL	N;INDF;MASC+FEM;SG
murallas	murer	muralla	mure	N;FEM;PL	N;INDF;MASC+FEM;SG
sainte	sainte	sainte	saint	N;FEM;SG	
eta	eta	eta	eta	PROPN	
cóndor	condor	cóndor	condor	N;MASC;SG	
coronado	kronet	coronado	kron	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
coronado	krones	coronado	krone	ADJ;MASC;SG;V.PTCP	V;NFIN;PASS
coronado	coronado	coronado	coronado	ADJ;MASC;SG;V.PTCP	
esperando	ventetid	esperar	ventetid	V;V.MSDR	N;INDF;MASC+FEM;SG
esperando	håbet	esperar	håb	V;V.MSDR	N;DEF;NEUT;SG
específicas	specifik	especifico	specifik	ADJ;FEM;PL	ADJ;INDF;MASC+FEM;SG
específicas	specifikt	especifico	specifikt	ADJ;FEM;PL	ADV
robles	oaks	roble	oaks	N;MASC;PL	N;INDF;MASC+FEM;SG
robles	robles	roble	roble	N;MASC;PL	
bienestar	velbefindende	bienestar	velbefindende	N;MASC;SG	V;PRS;V.PTCP
suplente	alternativt	suplente	alternativt	N;SG	ADV
sueca	svenske	sueca	svensk	N;FEM;SG	ADJ;PL
philippe	philippe	philippe	philippe	PROPN	
asesinatos	drab	asesinato	drab	N;MASC;PL	N;INDF;NEUT;SG
asesinatos	attentatet	asesinato	attentat	N;MASC;PL	N;DEF;NEUT;SG
asesinatos	mord	asesinato	mord	N;MASC;PL	N;INDF;NEUT;SG
asesinatos	attentat	asesinato	attentat	N;MASC;PL	N;INDF;NEUT;SG
asesinatos	mord	asesinato	mord	N;MASC;PL	N;INDF;NEUT;SG
asesinatos	mord	asesinato	mord	N;MASC;PL	N;INDF;NEUT;SG
fieles	loyal	fiel	loyal	N;PL	ADJ;INDF;MASC+FEM;SG
fieles	loyale	fiel	lobal	N;PL	ADJ;PL
fieles	loyalt	fiel	loyale	N;PL	ADV
fieles	trofaste	fiel	trofaste	N;PL	ADJ;PL
fieles	trofast	fiel	trofast	N;PL	ADJ;INDF;SG
southern	sydlige	southern	sydlig	N	ADJ;PL
concha	shell	concha	shell	N;FEM;SG	
concha	skal	concha	skulle	N;FEM;SG	V;IND;PRS;FIN;ACT
correctamente	korrekt	correctamente	korrekt	ADV	ADJ;INDF;SG
perdida	tab	perdido	tab	ADJ;FEM;SG;V.PTCP	N;INDF;NEUT;SG
perdida	tabte	perdido	tabe	ADJ;FEM;SG;V.PTCP	V;IND;PST;FIN;ACT
perdida	mistede	perdido	miste	ADJ;FEM;SG;V.PTCP	V;IND;PST;FIN;ACT
perdida	lost	perdido	lost	ADJ;FEM;SG;V.PTCP	
perdida	tabt	perdido	tabe	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
perdida	mistet	perdido	miste	ADJ;FEM;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
significativo	meningsfuldt	significativo	meningsfuldt	ADJ;MASC;SG	ADV
significativo	meningsfyldt	significativo	meningsfyldt	ADJ;MASC;SG	N;DEF;NEUT;SG
significativo	betydelige	significativo	betydelig	ADJ;MASC;SG	ADJ;PL
desastre	katastrofer	desastre	katastrofe	N;MASC;SG	N;INDF;MASC+FEM;PL
warren	warren	warren	warren	PROPN	
elías	elías	elía	elías	N;FEM;PL	
elías	elijah	elía	elijah	N;FEM;PL	
elías	elias	elía	elias	N;FEM;PL	N;INDF;MASC+FEM;SG
ltd	ltd	ltd	ltd	N	
identificado	identificeret	identificado	identificere	ADJ;MASC;SG;V.PTCP	V;INDF;SG;PST;V.PTCP
identificado	identificerede	identificado	identificere	ADJ;MASC;SG;V.PTCP	V;PL;PST;V.PTCP
ejecutar	run	ejecutar	run	V;NFIN	
ejecutar	løb	ejecutar	løb	V;NFIN	N;INDF;NEUT;SG
studio	studio	studio	studio	N;MASC;SG	
calificación	kvalifikationer	calificación	kvalifikation	N;FEM;SG	N;INDF;MASC+FEM;PL
dramática	drama	dramático	drama	ADJ;FEM;SG	N;INDF;NEUT;SG
dramática	dramatik	dramático	dramatik	ADJ;FEM;SG	N;INDF;MASC+FEM;SG
dramática	dramatiske	dramático	dramatisk	ADJ;FEM;SG	ADJ;PL
antoine	antoine	antoinar	antoin	N;MASC;SG	
armadura	panser	armadura	panse	N;FEM;SG	N;INDF;MASC+FEM;PL
