और	és	और	és		CONJ
मैरी	mária	मैरी	mária	PROPN;NOM;FEM;SG;3	
तैयारी	előkészületek	तैयारी	előkészület	N;NOM;FEM;SG;3	N;NOM;PL
तैयारी	készülnek	तैयारी	készül	N;NOM;FEM;SG;3	V;INDF;IND;PL;3;PRS;FIN;ACT
तैयारी	készül	तैयारी	készül	N;NOM;FEM;SG;3	V;INDF;IND;SG;3;PRS;FIN;ACT
तैयारी	előkészítő	तैयारी	előkészítő	N;NOM;FEM;SG;3	ADJ;NOM;SG
फाउंडेशन	alap	फाउंडेशन	alap	PROPN;NOM;MASC;SG;3	
फाउंडेशन	alapítvány	फाउंडेशन	alapítvány	PROPN;NOM;MASC;SG;3	N;NOM;SG
विक्टोरिया	viktória	विक्टोरिया	viktória	PROPN;NOM;MASC;SG;3	N;NOM;SG
विक्टोरिया	victoria	विक्टोरिया	victoria	PROPN;NOM;MASC;SG;3	N;NOM;SG
कार्यकर्ता	dolgozó	कार्यकर्ता	dolgozó	N;NOM;MASC;PL;3	ADJ;NOM;SG
कार्यकर्ता	munkavállaló	कार्यकर्ता	munkavállaló	N;NOM;MASC;PL;3	N;NOM;SG
कार्यकर्ता	munkás	कार्यकर्ता	munkás	N;NOM;MASC;PL;3	N;NOM;SG
रोजगार	foglalkoztatási	रोजगार	foglalkoztatási	N;NOM;MASC;SG;3	ADJ;NOM;SG
पब्लिक	nyilvános	पब्लिक	nyilvános	N;NOM;MASC;SG;3	ADJ;NOM;SG
पब्लिक	nyilvánosan	पब्लिक	nyilvános	N;NOM;MASC;SG;3	ADJ;FRML;SG
पब्लिक	publikus	पब्लिक	publikus	N;NOM;MASC;SG;3	
बोल	bol	बोल	bol	V;ACT	
कान	kan	कान	kan	N;NOM;MASC;SG;3	
कान	fülek	कान	fül	N;NOM;MASC;SG;3	N;NOM;PL
परिवारों	családok	परिवार	családok	N;ACC;MASC;PL;3	N;NOM;PL
मेले	korrekt	मेला	korrekt	N;NOM;MASC;SG;3	
मेले	tisztességes	मेला	tisztességes	N;NOM;MASC;SG;3	ADJ;NOM;SG
मेले	fair	मेला	fair	N;NOM;MASC;SG;3	
मेले	igazságos	मेला	igazságos	N;NOM;MASC;SG;3	
शांत	józanul	शांत	józanul	ADJ	
शांत	józan	शांत	józan	ADJ	
उद्घाटन	nyílások	उद्घाटन	nyílás	N;NOM;MASC;SG;3	N;NOM;PL
चीज़	sajtok	चीज़	sajt	N;NOM;FEM;SG;3	N;NOM;PL
प्रोग्रामिंग	programozási	प्रोग्रामिंग	programozási	N;NOM;FEM;SG;3	ADJ;NOM;SG
रेड	razzia	रेड	razzia	PROPN;NOM;MASC;SG;3	N;NOM;SG
रेड	rajtaütés	रेड	rajtaütés	PROPN;NOM;MASC;SG;3	N;NOM;SG
रेड	piros	रेड	piros	PROPN;NOM;MASC;SG;3	
रेड	piroska	रेड	piroska	PROPN;NOM;MASC;SG;3	
रेड	vörös	रेड	vörös	PROPN;NOM;MASC;SG;3	
सृजन	létrehozása	सृजन	létrehozás		N;NOM;SG
सृजन	alkotás	सृजन	alkotás		N;NOM;SG
सृजन	teremtés	सृजन	teremtés		N;NOM;SG
सृजन	kreativitás	सृजन	kreativitás		N;NOM;SG
वकील	jogász	वकील	jogász	N;NOM;MASC;PL;3	N;NOM;SG
वकील	ügyvéd	वकील	ügyvéd	N;NOM;MASC;PL;3	N;NOM;SG
अनाज	gabonát	अनाज	gabona	N;NOM;MASC;SG;3	N;ACC;SG
विलियम्स	williams	विलियम्स	williams	PROPN;NOM;MASC;SG;3	
यूनियन	union	यूनियन	union	N;NOM;FEM;SG;3	
यूनियन	unió	यूनियन	unió	N;NOM;FEM;SG;3	PROPN;NOM;SG
यूनियन	unión	यूनियन	unió	N;NOM;FEM;SG;3	
यूनियन	uniós	यूनियन	uniós	N;NOM;FEM;SG;3	ADJ;NOM;SG
भावनाओं	érzések	भावना	érzés	N;ACC;FEM;PL;3	N;NOM;PL
भावनाओं	érzelmek	भावना	érzelem	N;ACC;FEM;PL;3	N;NOM;PL
भावनाओं	érzelem	भावना	érzelem	N;ACC;FEM;PL;3	N;NOM;SG
बच	bach	बच	bach	V;ACT	
यौगिकों	vegyületek	यौगिक	vegyület	N;ACC;MASC;PL;3	N;NOM;PL
सेनानी	harcosok	सेनानी	harcos	N;NOM;MASC;SG;3	N;NOM;PL
सेनानी	vadászok	सेनानी	vadász	N;NOM;MASC;SG;3	N;NOM;PL
रणनीति	stratégiák	रणनीति	stratégia	N;NOM;FEM;SG;3	N;NOM;PL
रणनीति	stratégiát	रणनीति	stratégia	N;NOM;FEM;SG;3	N;ACC;SG
लेन	lane	लेन	lane	N;NOM;MASC;SG;3	
शत्रु	ellenséges	शत्रु	ellenséges	N;NOM;MASC;SG;3	ADJ;NOM;SG
शत्रु	ellenségek	शत्रु	ellenség	N;NOM;MASC;SG;3	N;NOM;PL
शत्रु	ellenségei	शत्रु	ellenség	N;NOM;MASC;SG;3	N;NOM;PL
एक्शन	akció	एक्शन	akció	N;NOM;MASC;SG;3	
अनुच्छेद	bekezdés	अनुच्छेद	bekezdés	PROPN;NOM;MASC;SG;3	
अनुच्छेद	bekezdés	अनुच्छेद	bekezdés	PROPN;NOM;MASC;SG;3	
अनुच्छेद	bekezdések	अनुच्छेद	bekezdés	PROPN;NOM;MASC;SG;3	N;NOM;PL
आधा	fele	आधा	fél	NUM	N;NOM;SG
धन्यवाद	köszönöm	धन्यवाद	köszönöm		V;DEF;IND;SG;1;PRS;FIN;ACT
धन्यवाद	köszi	धन्यवाद	köszi		V;DEF;IND;SG;1;PRS;FIN;ACT
धन्यवाद	koszi	धन्यवाद	koszi		N;NOM;SG
बेल	szőlő	बेल	szőlő		N;NOM;SG
बेल	harang	बेल	harang		N;NOM;SG
सेंट्रल	központi	सेंट्रल	központi	PROPN;NOM;MASC;SG;3	ADJ;NOM;SG
घातक	halálos	घातक	halálos	ADJ	
तस्वीर	képet	तस्वीर	kép	N;NOM;FEM;SG;3	N;ACC;SG
पहल	kezdeményezés	पहल	kezdeményezés		N;NOM;SG
वाहनों	járművek	वाहन	jármű	N;ACC;MASC;PL;3	N;NOM;PL
सच	igaz	सच	igaz	N;NOM;MASC;SG;3	
सच	igazi	सच	igazi	N;NOM;MASC;SG;3	
इण्डिया	india	इण्डिया	india	PROPN;NOM;MASC;SG;3	
प्राधिकरण	hatóságok	प्राधिकरण	hatóság	N;NOM;MASC;SG;3	N;NOM;PL
प्राधिकरण	engedély	प्राधिकरण	engedély	N;NOM;MASC;SG;3	
कीट	rovarok	कीट	rovar	N;NOM;MASC;SG;3	N;NOM;PL
कीट	rovarok	कीट	rovar	N;NOM;MASC;SG;3	N;NOM;PL
गाना	énekelni	गाना	énekel	N;NOM;MASC;SG;3	V;NFIN;ACT
गाना	énekel	गाना	én	N;NOM;MASC;SG;3	V;INDF;IND;SG;3;PRS;FIN;ACT
गाना	dalt	गाना	dalt	N;NOM;MASC;SG;3	N;ACC;SG
गाना	song	गाना	song	N;NOM;MASC;SG;3	
धातुओं	fémek	धातुा	fém	N;ACC;MASC;PL;3	N;NOM;PL
अतीत	elmúlt	अतीत	elmúlt		V;INDF;IND;SG;3;PST;FIN;ACT
अतीत	múlt	अतीत	múlt		N;NOM;SG
अतीत	múltbeli	अतीत	múltbeli		ADJ;NOM;SG
समाजवादी	szocialista	समाजवादी	szocialista	PROPN;NOM;MASC;SG;3	
समाजवादी	szocialisták	समाजवादी	szocialista	PROPN;NOM;MASC;SG;3	N;NOM;PL
समाजवादी	szocializmus	समाजवादी	szocializmus	PROPN;NOM;MASC;SG;3	N;NOM;SG
वाणिज्य	kereskedelmi	वाणिज्य	kereskedelmi	N;NOM;MASC;SG;3	ADJ;NOM;SG
आखिरी	utoljára	आखिरी	utoljára	ADJ	ADV
आखिरी	utolsónak	आखिरी	utolsó	ADJ	ADV
आखिरी	last	आखिरी	last	ADJ	
आखिरी	utolsó	आखिरी	utolsó	ADJ	
धूम्रपान	dohányzó	धूम्रपान	dohányzó	N;NOM;MASC;SG;3	ADJ;NOM;SG
ब्याज	érd	ब्याज	érd	N;NOM;MASC;SG;3	
ब्याज	kamatok	ब्याज	kamat	N;NOM;MASC;SG;3	N;NOM;PL
घोड़े	lovakat	घोड़ा	lovak	N;NOM;MASC;PL;3	N;ACC;PL
घोड़े	lovas	घोड़ा	lovas	N;NOM;MASC;PL;3	
घोड़े	ló	घोड़ा	ló	N;NOM;MASC;PL;3	N;NOM;SG
माला	maldív	माला	maldív	PROPN;NOM;FEM;SG;3	
माला	garland	माला	garland	PROPN;NOM;FEM;SG;3	
माला	mala	माला	mala	PROPN;NOM;FEM;SG;3	
लेखा	számviteli	लेखा	számviteli	N;NOM;MASC;SG;3	ADJ;NOM;SG
तेलुगु	telugu	तेलुगु	telugu	PROPN;NOM;MASC;SG;3	N;NOM;SG
दीवारों	falak	दीवार	fal	N;ACC;FEM;PL;3	N;NOM;PL
दीवारों	graffiti	दीवार	graffiti	N;ACC;FEM;PL;3	N;NOM;SG
ऊतक	szövetek	ऊतक	szövet	N;NOM;MASC;SG;3	N;NOM;PL
रात्रि	éj	रात्रि	éj	N;NOM;FEM;SG;3	
रात्रि	este	रात्रि	este	N;NOM;FEM;SG;3	ADV
रात्रि	éjjel	रात्रि	éjjel	N;NOM;FEM;SG;3	
बेस	bess	बेस	bess	N;NOM;MASC;SG;3	
बेस	alap	बेस	alap	N;NOM;MASC;SG;3	
बेस	bass	बेस	bass	N;NOM;MASC;SG;3	
चोटी	pinnacle	चोटी	pinnacle	N;NOM;FEM;SG;3	
सफलतापूर्वक	sikeresen	सफलतापूर्वक	sikeres	ADV	ADJ;FRML;SG
सतत	következetesen	सतत	következetes		ADJ;FRML;SG
ऊष्मा	melegség	ऊष्मा	melegség	N;NOM;FEM;SG;3	
कारों	autók	कार	autó	N;ACC;FEM;PL;3	N;NOM;PL
कारों	kocsik	कार	kocsik	N;ACC;FEM;PL;3	N;NOM;PL
बृहस्पति	jupiter	बृहस्पति	jupiter	PROPN;NOM;MASC;SG;3	
प्रोत्साहन	ösztönző	प्रोत्साहन	ösztönző	N;NOM;MASC;SG;3	ADJ;NOM;SG
टीमों	csapatok	टीम	csapat	N;ACC;FEM;PL;3	N;NOM;PL
मामला	case	मामला	case	N;NOM;MASC;SG;3	
इंदिरा	indira	इंदिरा	indira	PROPN;NOM;FEM;SG;3	
निष्क्रिय	fogyatékkal	निष्क्रिय	fogyaték		N;INS;SG
निष्क्रिय	kikapcsolva	निष्क्रिय	kikapcsolva		ADV;V.CVB
निष्क्रिय	fogyatékos	निष्क्रिय	fogyatékos		ADJ;NOM;SG
लौह	vasat	लौह	vasat		N;ACC;SG
सोनी	sony	सोनी	sony	PROPN;NOM;SG;3	
रॉय	roy	रॉय	roy	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG
बनावट	textúrák	बनावट	textúra	N;NOM;FEM;SG;3	N;NOM;PL
गायन	énekelni	गायन	énekel	N;NOM;MASC;SG;3	V;NFIN;ACT
गायन	énekel	गायन	én	N;NOM;MASC;SG;3	V;INDF;IND;SG;3;PRS;FIN;ACT
आवेदन	kérelem	आवेदन	kérel	N;NOM;MASC;SG;3	
आवेदन	alkalmazások	आवेदन	alkalmazás	N;NOM;MASC;SG;3	N;NOM;PL
आवेदन	kérelmek	आवेदन	kérelem	N;NOM;MASC;SG;3	N;NOM;PL
विश्वविद्यालयों	egyetemek	विश्वविद्यालय	egyetem	N;ACC;MASC;PL;3	N;NOM;PL
विश्वविद्यालयों	university	विश्वविद्यालय	university	N;ACC;MASC;PL;3	
विश्वविद्यालयों	egyetem	विश्वविद्यालय	egyetem	N;ACC;MASC;PL;3	N;NOM;SG
उठाने	emelő	उठा	emelő	V;MASC;NFIN;ACT	
उठाने	emelés	उठा	emelés	V;MASC;NFIN;ACT	N;NOM;SG
साउथ	dél	साउथ	dél	PROPN;NOM;MASC;SG;3	
साउथ	délre	साउथ	délre	PROPN;NOM;MASC;SG;3	ADV
साउथ	déli	साउथ	déli	PROPN;NOM;MASC;SG;3	
गहन	mély	गहन	mély	ADJ;NOM	
बाघ	tigris	बाघ	tigris	N;NOM;MASC;SG;3	
बाघ	tiger	बाघ	tiger	N;NOM;MASC;SG;3	
टिकट	jegyek	टिकट	jegy	N;NOM;MASC;SG;3	N;NOM;PL
टिकट	jegyeket	टिकट	jegy	N;NOM;MASC;SG;3	N;ACC;PL
टिकट	jegyet	टिकट	jegy	N;NOM;MASC;SG;3	N;ACC;SG
पैरों	lábak	पैर	láb	N;ACC;MASC;PL;3	N;NOM;PL
पैरों	láb	पैर	láb	N;ACC;MASC;PL;3	N;NOM;SG
पैरों	lábát	पैर	lába	N;ACC;MASC;PL;3	N;ACC;SG
पैरों	lábak	पैर	láb	N;ACC;MASC;PL;3	N;NOM;PL
पैरों	lábai	पैर	láb	N;ACC;MASC;PL;3	N;NOM;PL
पैरों	láb	पैर	láb	N;ACC;MASC;PL;3	N;NOM;SG
ब्लॉग	blog	ब्लॉग	blog	N;NOM;MASC;SG;3	
ब्लॉग	blogok	ब्लॉग	blogok	N;NOM;MASC;SG;3	N;NOM;PL
सड़कों	utakon	सड़क	út	N;ACC;FEM;PL;3	N;ON+ESS;PL
सड़कों	utak	सड़क	út	N;ACC;FEM;PL;3	N;NOM;PL
उद्देश्यों	vállalkozó	उद्देश्य	vállalkozó	N;ACC;MASC;PL;3	N;NOM;SG
जाल	nettó	जाल	nettó	N;NOM;MASC;SG;3	
मिलान	egyezik	मिलान	egyezik	N;NOM;MASC;SG;3	V;INDF;IND;SG;3;PRS;FIN;ACT
मिलान	milan	मिलान	milan	N;NOM;MASC;SG;3	
मिलान	milánói	मिलान	milánó	N;NOM;MASC;SG;3	
मिलान	egyező	मिलान	egyező	N;NOM;MASC;SG;3	
मिलान	egyezik	मिलान	egyezik	N;NOM;MASC;SG;3	V;INDF;IND;SG;3;PRS;FIN;ACT
प्रावधान	rendelkezések	प्रावधान	rendelkezés	N;NOM;MASC;SG;3	N;NOM;PL
सदस्यता	tagsági	सदस्यता	tagsági	N;NOM;FEM;SG;3	ADJ;NOM;SG
रिकार्ड	rekord	रिकार्ड	rekord	N;NOM;MASC;SG;3	
साझा	osztott	साझा	osztott		V;INDF;IND;SG;3;PST;FIN;ACT
साझा	megosztotta	साझा	megoszt		V;DEF;IND;SG;3;PST;FIN;ACT
साझा	megosztott	साझा	megosztott		V;INDF;IND;SG;3;PST;FIN;ACT
साझा	megosztva	साझा	megosztva		ADV;V.CVB
साझा	részvények	साझा	részvény		N;NOM;PL
साझा	részvény	साझा	részvény		N;NOM;SG
साझा	részesedés	साझा	részesedés		N;NOM;SG
अधिकृत	engedélyezett	अधिकृत	engedélyezett	PROPN;NOM;SG;3	V;INDF;IND;SG;3;PST;FIN;ACT
अधिकृत	engedélyezve	अधिकृत	engedélyezve	PROPN;NOM;SG;3	ADV;V.CVB
सापेक्ष	relatív	सापेक्ष	relatív	N;NOM;MASC;SG;3	
सापेक्ष	viszonylagos	सापेक्ष	viszonylagos	N;NOM;MASC;SG;3	
सापेक्ष	rokon	सापेक्ष	rokon	N;NOM;MASC;SG;3	
विफल	elbukott	विफल	elbukott	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
विफल	sikertelen	विफल	sikertelen	ADJ	
संदेह	kétséges	संदेह	kétséges	N;NOM;MASC;SG;3	ADJ;NOM;SG
संदेह	kétség	संदेह	kétség	N;NOM;MASC;SG;3	
संदेह	kétségek	संदेह	kétség	N;NOM;MASC;SG;3	N;NOM;PL
संदेह	kétségei	संदेह	kétség	N;NOM;MASC;SG;3	N;NOM;PL
संदेह	kétség	संदेह	kétség	N;NOM;MASC;SG;3	
संदेह	kétségek	संदेह	kétség	N;NOM;MASC;SG;3	N;NOM;PL
आग्रह	kérésére	आग्रह	kérés	N;NOM;MASC;SG;3	N;ON+ALL;SG
आग्रह	kérésre	आग्रह	kérés	N;NOM;MASC;SG;3	N;ON+ALL;SG
आग्रह	kérelem	आग्रह	kérel	N;NOM;MASC;SG;3	
रिंग	gyűrűt	रिंग	gyűrű	N;NOM;FEM;SG;3	N;ACC;SG
रिंग	gyűrűvel	रिंग	gyűrű	N;NOM;FEM;SG;3	N;INS;SG
रिंग	ring	रिंग	ring	N;NOM;FEM;SG;3	
रिंग	gyűrűs	रिंग	gyűrűs	N;NOM;FEM;SG;3	
आपसी	kölcsönös	आपसी	kölcsönös	ADJ;NOM	
पवन	szél	पवन	szél	PROPN;NOM;MASC;SG;3	N;NOM;SG
पवन	szelet	पवन	szelet	PROPN;NOM;MASC;SG;3	N;NOM;SG
छूट	kedvezmények	छूट	kedvezmény	N;NOM;FEM;SG;3	N;NOM;PL
अमीर	emírség	अमीर	emírség	N;NOM;MASC;SG;3	
अमीर	emir	अमीर	emir	N;NOM;MASC;SG;3	
अमीर	gazdag	अमीर	gazdag	N;NOM;MASC;SG;3	
अमीर	gazdagok	अमीर	gazdag	N;NOM;MASC;SG;3	N;NOM;PL
अमीर	rich	अमीर	rich	N;NOM;MASC;SG;3	
समतल	lapos	समतल	lapos	N;NOM;MASC;SG;3	
समतल	sík	समतल	sík	N;NOM;MASC;SG;3	
समतल	sík	समतल	sík	N;NOM;MASC;SG;3	
समतल	repülővel	समतल	repülő	N;NOM;MASC;SG;3	N;INS;SG
समतल	repülő	समतल	repülő	N;NOM;MASC;SG;3	
बस्ती	városban	बस्ती	város	N;NOM;FEM;SG;3	N;IN+ESS;SG
बस्ती	town	बस्ती	town	N;NOM;FEM;SG;3	
कठिनाई	nehézségek	कठिनाई	nehézség	N;NOM;FEM;SG;3	N;NOM;PL
कठिनाई	nehézséget	कठिनाई	nehézség	N;NOM;FEM;SG;3	N;ACC;SG
पुर्तगाली	portugália	पुर्तगाली	portugália	PROPN;NOM;MASC;SG;3	N;NOM;SG
पुर्तगाली	portugál	पुर्तगाली	portugál	PROPN;NOM;MASC;SG;3	
जड़	gyökér	जड़	gyökér		N;NOM;SG
जड़	gyökerek	जड़	gyöker		N;NOM;PL
बौद्धिक	intellektuális	बौद्धिक	intellektuális	PROPN;NOM;SG;3	N;NOM;SG
बौद्धिक	szellemi	बौद्धिक	szellemi	PROPN;NOM;SG;3	
बोस	bose	बोस	bose	PROPN;NOM;MASC;SG;3	
निकलता	bordák	निकल	borda	V;IPFV;MASC;SG;V.PTCP;ACT	N;NOM;PL
निकलता	oldalas	निकल	oldalas	V;IPFV;MASC;SG;V.PTCP;ACT	
निकलता	borda	निकल	borda	V;IPFV;MASC;SG;V.PTCP;ACT	N;NOM;SG
स्वर्ग	mennyben	स्वर्ग	menny	N;NOM;MASC;SG;3	ADV
स्वर्ग	menny	स्वर्ग	menny	N;NOM;MASC;SG;3	
स्वर्ग	paradise	स्वर्ग	paradis	N;NOM;MASC;SG;3	
शासित	uralkodott	शासित	uralkodik	ADJ;NOM	V;INDF;IND;SG;3;PST;FIN;ACT
चोपड़ा	chopra	चोपड़ा	chop	PROPN;NOM;SG;3	N;NOM;SG
प्रोटोकॉल	jegyzőkönyvek	प्रोटोकॉल	jegyzőkönyv	N;NOM;MASC;SG;3	N;NOM;PL
व्यय	tölti	व्यय	tölt	N;NOM;MASC;SG;3	V;DEF;IND;SG;3;PRS;FIN;ACT
व्यय	költ	व्यय	költ	N;NOM;MASC;SG;3	V;INDF;IND;SG;3;PRS;FIN;ACT
व्यय	kiadások	व्यय	kiadás	N;NOM;MASC;SG;3	N;NOM;PL
तिब्बती	tibeti	तिब्बती	tibet	ADJ;NOM	
तिब्बती	tibet	तिब्बती	tibet	ADJ;NOM	
आत्महत्या	öngyilkos	आत्महत्या	öngyilkos	N;NOM;FEM;SG;3	
संजय	sanjay	संजय	sanjay	PROPN;NOM;MASC;SG;3	N;NOM;SG
अतिथि	vendégek	अतिथि	vendég	N;NOM;MASC;SG;3	N;NOM;PL
लें	vedd	ले	vedd	V;SBJV;PL;3;FIN;ACT	V;DEF;IMP;SG;1;PRS;FIN;ACT
शानदार	mesés	शानदार	mesés	ADJ	
डाक	mail	डाक	mail	N;NOM;FEM;SG;3	
डाक	levelek	डाक	levél	N;NOM;FEM;SG;3	N;NOM;PL
डाक	posta	डाक	posta	N;NOM;FEM;SG;3	
प्रतिद्वंद्वी	rivális	प्रतिद्वंद्वी	rivális	N;NOM;MASC;SG;3	
प्रतिद्वंद्वी	ellenfelek	प्रतिद्वंद्वी	ellenfelek	N;NOM;MASC;SG;3	N;NOM;PL
मनु	manu	मनु	manu	PROPN;NOM;MASC;SG;3	
वेदों	védák	वेद	véda	N;ACC;MASC;PL;3	N;NOM;PL
उठाया	felemelt	उठा	felemelt	V;PFV;MASC;SG;V.PTCP;ACT	
उठाया	felvetett	उठा	felvet	V;PFV;MASC;SG;V.PTCP;ACT	
उठाया	emelt	उठा	emelt	V;PFV;MASC;SG;V.PTCP;ACT	
क्रिस	chris	क्रिस	chris	PROPN;NOM;MASC;SG;3	
क्रिस	kris	क्रिस	kris	PROPN;NOM;MASC;SG;3	
क्रिस	cris	क्रिस	cris	PROPN;NOM;MASC;SG;3	
परिचित	ismerős	परिचित	ismerős	ADP	
परिचित	ismerősök	परिचित	ismerős	ADP	N;NOM;PL
इंडोनेशिया	indonéziában	इंडोनेशिया	indonézia	PROPN;NOM;MASC;SG;3	N;IN+ESS;SG
इंडोनेशिया	indonézia	इंडोनेशिया	indonézia	PROPN;NOM;MASC;SG;3	
इंडोनेशिया	indonéz	इंडोनेशिया	indonéz	PROPN;NOM;MASC;SG;3	
अब्दुल	abdul	अब्दुल	azdul	PROPN;NOM;MASC;SG;3	
तत्काल	azonnal	तत्काल	azonnal	ADV	
तत्काल	sürgősen	तत्काल	sürgős	ADV	ADJ;FRML;SG
तत्काल	azonnal	तत्काल	azonnal	ADV	
तत्काल	instant	तत्काल	instant	ADV	
तत्काल	azonnali	तत्काल	azonnali	ADV	
तत्काल	azonnali	तत्काल	azonnali	ADV	
तत्काल	sürgős	तत्काल	sürgős	ADV	
पहलुओं	szempontok	पहलू	szempont	N;ACC;MASC;PL;3	N;NOM;PL
पहलुओं	szempontjai	पहलू	szempont	N;ACC;MASC;PL;3	N;NOM;PL
गेट	kaput	गेट	kap	N;NOM;MASC;SG;3	N;ACC;SG
बाबू	apu	बाबू	apu	PROPN;NOM;MASC;SG;3	
पैदल	gyalogos	पैदल	gyalogos	ADJ	
पैदल	járdán	पैदल	járda	ADJ	N;ON+ESS;SG
पैदल	járda	पैदल	járda	ADJ	N;NOM;SG
पैदल	pedál	पैदल	pedál	ADJ	N;NOM;SG
संतान	utódok	संतान	utód	N;NOM;FEM;SG;3	N;NOM;PL
जर्नल	lapjában	जर्नल	lap	N;NOM;MASC;SG;3	N;IN+ESS;SG
गुप्ता	gupta	गुप्ता	gup	PROPN;NOM;SG;3	
लाखों	milliók	लाख	millió	N;ACC;MASC;PL;3	
लाखों	millió	लाख	millió	N;ACC;MASC;PL;3	NUM;NOM;SG
भाप	gőzzel	भाप	gőz	N;NOM;FEM;SG;3	
बेस्ट	legjobbak	बेस्ट	jó	PROPN;NOM;MASC;SG;3	N;NOM;PL
बेस्ट	legjobb	बेस्ट	jó	PROPN;NOM;MASC;SG;3	
बेस्ट	best	बेस्ट	best	PROPN;NOM;MASC;SG;3	
भ्रूण	magzatot	भ्रूण	magzat	N;NOM;MASC;SG;3	N;ACC;SG
भंग	feloldani	भंग	felold		V;NFIN;ACT
चेक	csehország	चेक	csehország	N;NOM;MASC;SG;3	
चेक	cseh	चेक	cseh	N;NOM;MASC;SG;3	ADJ;NOM;SG
चेक	csekket	चेक	csekket	N;NOM;MASC;SG;3	N;ACC;SG
ब्राजील	brazília	ब्राजील	brazília	PROPN;NOM;MASC;SG;3	
राग	melody	राग	melody	N;NOM;MASC;SG;3	
पंजीकृत	bejegyzett	पंजीकृत	bejegyzett	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
पंजीकृत	regisztrált	पंजीकृत	regisztrált	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
पंजीकृत	nyilvántartott	पंजीकृत	nyilvántartott	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
सिंध	szindh	सिंध	szindh	PROPN;NOM;MASC;SG;3	
वैध	érvényes	वैध	érvényes		ADJ;NOM;SG
वैध	érvényessége	वैध	érvényesség		N;NOM;SG
वैध	érvényességi	वैध	érvényességi		ADJ;NOM;SG
टॉम	tomi	टॉम	tomi	PROPN;NOM;MASC;SG;3	
टॉम	tom	टॉम	tom	PROPN;NOM;MASC;SG;3	
संकल्प	határozatok	संकल्प	határozat	N;NOM;MASC;SG;3	N;NOM;PL
संकल्प	állásfoglalások	संकल्प	állásfoglalás	N;NOM;MASC;SG;3	N;NOM;PL
जूनियर	junior	जूनियर	junior	PROPN;NOM;MASC;SG;3	
बादशाह	kinga	बादशाह	kinga	N;NOM;MASC;SG;3	
रचनात्मक	alkotó	रचनात्मक	alkotó	ADJ	
रचनात्मक	kreatív	रचनात्मक	kreatív	ADJ	
मुखपृष्ठ	otthon	मुखपृष्ठ	otthon	N;NOM;MASC;SG;3	
मुखपृष्ठ	itthon	मुखपृष्ठ	itthon	N;NOM;MASC;SG;3	
मुखपृष्ठ	haza	मुखपृष्ठ	haza	N;NOM;MASC;SG;3	
प्रस्तुति	bemutató	प्रस्तुति	bemutató	N;NOM;FEM;SG;3	
धरोहर	örökség	धरोहर	örökség		N;NOM;SG
भूल	feledés	भूल	feledés	PROPN;NOM;FEM;SG;3	
अद्वितीय	egyedülálló	अद्वितीय	egyedülálló	PROPN;NOM;MASC;SG;3	
अद्वितीय	páratlan	अद्वितीय	páratlan	PROPN;NOM;MASC;SG;3	
अद्वितीय	egyedi	अद्वितीय	egyedi	PROPN;NOM;MASC;SG;3	
सरकारों	kormányok	सरकार	kormány	N;ACC;FEM;PL;3	N;NOM;PL
खतरनाक	veszélyes	खतरनाक	veszélyes	ADJ	
त्यौहार	fesztiválok	त्यौहार	fesztivál	N;NOM;MASC;SG;3	N;NOM;PL
त्यौहार	ünnepélyes	त्यौहार	ünnepélyes	N;NOM;MASC;SG;3	
परिमाण	paraméterei	परिमाण	paraméter	N;NOM;MASC;SG;3	N;NOM;PL
परिमाण	paraméterek	परिमाण	paraméter	N;NOM;MASC;SG;3	N;NOM;PL
संक्रमित	fertőzöttek	संक्रमित	fertőzött	N;NOM;MASC;SG;3	N;NOM;PL
संक्रमित	fertőzött	संक्रमित	fertőz	N;NOM;MASC;SG;3	V;INDF;IND;SG;3;PST;FIN;ACT
संक्रमित	megfertőződött	संक्रमित	megfertőződik	N;NOM;MASC;SG;3	V;INDF;IND;SG;3;PST;FIN;ACT
देखना	megtekintés	देख	megtekintés	V;MASC;NFIN;ACT	N;NOM;SG
देखना	megtekintése	देख	megtekintés	V;MASC;NFIN;ACT	N;NOM;SG
देखना	óra	देख	óra	V;MASC;NFIN;ACT	N;NOM;SG
ख़ास	speciális	खक़ास	speciális		ADJ;NOM;SG
माँग	igény	माँग	igény	N;NOM;FEM;SG;3	
स्पेनिश	spanyolul	स्पेनिश	spanyolul	PROPN;NOM;MASC;SG;3	
स्पेनिश	spanyolok	स्पेनिश	spanyol	PROPN;NOM;MASC;SG;3	N;NOM;PL
स्पेनिश	spanyol	स्पेनिश	spanyol	PROPN;NOM;MASC;SG;3	
महारानी	queen	महारानी	ő	N;NOM;FEM;SG;3	
महारानी	dáma	महारानी	dáma	N;NOM;FEM;SG;3	
निरीक्षण	ellenőrzési	निरीक्षण	ellenőrzési	N;NOM;MASC;SG;3	ADJ;NOM;SG
जिम्मेदारी	felelősséget	जिम्मेदारी	felelősség	N;NOM;FEM;SG;3	N;ACC;SG
भारतीयों	indiánok	भारतीय	indián	N;ACC;MASC;PL;3	N;NOM;PL
