усвояване	الاستيعاب	усвояване	اِستِيعَاب	N;INDF;NEUT;SG	N;NOM;DEF;SG
позволено	المسموح	позволя-(си)	مَسمُوح	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;NOM;DEF;MASC;SG
работен	يعمل	работен	عَمِل	ADJ;INDF;MASC;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
работен	اعمل	работен	عَمَل	ADJ;INDF;MASC;SG	
филипс	فيليبس	филипс	فِيلِيبس	PROPN;INDF;MASC;SG	
филипс	فيليبس	филипс	فِيلِيبس	PROPN;INDF;MASC;SG	
тъмен	ظلام	тъмен	ظَلَام	ADJ;INDF;MASC;SG	N;NOM;INDF;SG
тъмен	الظلام	тъмен	ظَلَام	ADJ;INDF;MASC;SG	N;NOM;DEF;SG
прозорци	windo	прозорец	مُثَثَّذ	N;INDF;MASC;PL	
прозорци	النوافذ	прозорец	نَافِذ	N;INDF;MASC;PL	N;NOM;DEF;PL
прозорци	ويندوز	прозорец	ويندوز	N;INDF;MASC;PL	
полицай	الشرطي	полицай	شَرطِيّ	N;INDF;MASC;SG	N;NOM;DEF;SG
полицай	الضابط	полицай	ضَابِط	N;INDF;MASC;SG	N;NOM;DEF;SG
полицай	ضابطة	полицай	ضَابِط	N;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
бомбардировки	قصف	бомбардировка	قَصف	N;INDF;FEM;PL	N;NOM;INDF;SG
бомбардировки	القصف	бомбардировка	قَصف	N;INDF;FEM;PL	N;NOM;DEF;SG
бомбардировки	التفجير	бомбардировка	تَفجِير	N;INDF;FEM;PL	N;NOM;DEF;SG
бомбардировки	قصف	бомбардировка	قَصف	N;INDF;FEM;PL	N;NOM;INDF;SG
бомбардировки	القصف	бомбардировка	قَصف	N;INDF;FEM;PL	N;NOM;DEF;SG
бомбардировки	تفجير	бомбардировка	تَفجِير	N;INDF;FEM;PL	N;NOM;INDF;SG
сант	سانت	сант	سَان	PROPN;INDF;MASC;SG	
одобрен	معتمدة	одобря	مُعتَمَد	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;NOM;INDF;FEM;SG
одобрен	المعتمدة	одобря	مُعتَمَد	V;PFV;INDF;MASC;SG;V.PTCP;PASS	ADJ;NOM;DEF;FEM;SG
монархията	ملكية	монархия	مِلكِيَّة	N;DEF;FEM;SG	N;NOM;INDF;SG
упражнения	التمارين	упражнение	تَمرِين	N;INDF;NEUT;PL	N;NOM;DEF;PL
упражнения	التمرين	упражнение	تَمرِين	N;INDF;NEUT;PL	N;NOM;DEF;SG
упражнения	تمرين	упражнение	تَمرِين	N;INDF;NEUT;PL	N;NOM;INDF;SG
свине	الخنازير	свина	خِنَازِير	N;INDF;MASC;PL	
цивилизации	الحضارات	цивилизация	حَضَارَة	N;INDF;FEM;PL	N;NOM;DEF;PL
цивилизации	الحضارات	цивилизация	حَضَارَة	N;INDF;FEM;PL	N;NOM;DEF;PL
алонсо	الونسو	алонсо	اَلوُنسُو	PROPN;INDF;MASC;SG	
худ	هود	худ	هود	N;INDF;MASC;SG	
худ	القلنسوة	худ	قُلنسُوَّة	N;INDF;MASC;SG	N;NOM;DEF;SG
отстъпление	التراجع	отстъпление	تَرَاجُع	N;INDF;NEUT;SG	N;NOM;DEF;SG
монтаж	التركيب	монтаж	تَركِيب	N;INDF;MASC;SG	N;NOM;DEF;SG
монтаж	التثبيت	монтаж	تَثبِيت	N;INDF;MASC;SG	N;NOM;DEF;SG
монтаж	المونتاج	монтаж	مُونتَاج	N;INDF;MASC;SG	N;NOM;DEF;SG
монтаж	المتصاعدة	монтаж	مُتَصَاعِد	N;INDF;MASC;SG	ADJ;NOM;DEF;FEM;SG
монтаж	التعديل	монтаж	تَعدِيل	N;INDF;MASC;SG	N;NOM;DEF;SG
монтаж	التحرير	монтаж	تَحرِير	N;INDF;MASC;SG	N;NOM;DEF;SG
мастърс	الماجستير	мастърс	الماجستير	N;INDF;MASC;SG	N;NOM;DEF;SG
плати	الدفع	платя	دَفع	V;PFV;IND;SG;3;PST;FIN;ACT	N;NOM;DEF;SG
плати	الاجر	платя	أَجر	V;PFV;IND;SG;3;PST;FIN;ACT	N;NOM;DEF;SG
плати	ادفع	платя	أَدفَع	V;PFV;IND;SG;3;PST;FIN;ACT	V;MASC;IMP;SG;FIN
квадрат	مربعة	квадрат	مُرَبَّع	N;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
квадрат	مربع	квадрат	مُرَبَّع	N;INDF;MASC;SG	ADJ;NOM;INDF;MASC;SG
квадрат	المربع	квадрат	مُرَبَّع	N;INDF;MASC;SG	N;NOM;DEF;SG
фернандес	فرنانديز	фернандес	فرنانديز	N;INDF;MASC;SG	
фернандес	فيرنانديز	фернандес	فيرنانديز	N;INDF;MASC;SG	
ауди	اودي	ауди	أَودَى	N;INDF;NEUT;SG	
доминик	دومينيك	доминик	دُومِينِيك	PROPN;INDF;MASC;SG	
хорхе	خورخي	хорхе	خُورخِيّ	PROPN;INDF;MASC;SG	
субект	الموضوع	субект	مَوضُوع	N;INDF;MASC;SG	N;NOM;DEF;SG
собствениците	مالكو	собственик	مَالكُو	N;DEF;MASC;PL	N;NOM;INDF;PL
гласна	مصوت	гласен	مَصَّى	N;INDF;FEM;SG	ADJ;NOM;INDF;MASC;SG
обитатели	ساكن	обитател	سَاكِن	N;INDF;MASC;PL	ADJ;NOM;INDF;MASC;SG
обитатели	السكان	обитател	سَاكِن	N;INDF;MASC;PL	N;NOM;DEF;PL
обитатели	المقيمون	обитател	مُقَيَّم	N;INDF;MASC;PL	N;NOM;DEF;PL
обитатели	المقيمين	обитател	مُقِيم	N;INDF;MASC;PL	ADJ;ACC;DEF;MASC;PL
обитатели	شاغلي	обитател	شاغلي	N;INDF;MASC;PL	
хермес	هرمس	хермес	هرمس	N;INDF;MASC;SG	
хермес	هيرميس	хермес	هَيرَمِيس	N;INDF;MASC;SG	
хиляда	الف	хиляда	الف	NUM;INDF;PL	
хиляда	الالف	хиляда	الالف	NUM;INDF;PL	N;NOM;DEF;SG
преобразуване	تحول	преобразуване	تَحَوَّل	N;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
преобразуване	التحويل	преобразуване	تَحوِيل	N;INDF;NEUT;SG	N;NOM;DEF;SG
преобразуване	تحول	преобразуване	تَحَوَّل	N;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
преобразуване	التحول	преобразуване	تَحَوُّل	N;INDF;NEUT;SG	N;NOM;DEF;SG
преобразуване	التحويل	преобразуване	تَحوِيل	N;INDF;NEUT;SG	N;NOM;DEF;SG
преобразуване	تحول	преобразуване	تَحَوَّل	N;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
преобразуване	التحول	преобразуване	تَحَوُّل	N;INDF;NEUT;SG	N;NOM;DEF;SG
телефони	الهواتف	телефон	هَاتِف	N;INDF;MASC;PL	N;NOM;DEF;SG
корема	بطن	корем	بَطن	N;DEF;MASC;SG	
корема	بطن	корем	بَطن	N;DEF;MASC;SG	
корема	بطني	корем	بطني	N;DEF;MASC;SG	
подкрепления	التعزيزات	подкрепление	تَعزِيز	N;INDF;NEUT;PL	N;NOM;DEF;PL
следващо	التالية	следвам	تَالِي	ADV	
следващо	القادم	следвам	قَادِم	ADV	ADJ;NOM;DEF;MASC;SG
следващо	التالي	следвам	تَالِي	ADV	ADJ;NOM;DEF;MASC;SG
следващо	التالى	следвам	تَالِي	ADV	
уан	وانج	уан	وانج	PROPN;INDF;MASC;SG	
уан	وانغ	уан	وانغ	PROPN;INDF;MASC;SG	
вдигане	الرفع	вдигане	رَفع	N;INDF;NEUT;SG	N;NOM;DEF;SG
предварителен	تمهيدي	предварителен	تَمهِيدِيّ	ADJ;INDF;MASC;SG	
предварителен	اولي	предварителен	أَوَّلِيّ	ADJ;INDF;MASC;SG	
хюго	هيوغو	хой	هيوغو	N;INDF;MASC;SG	
хюго	هوغو	хой	هُوغُو	N;INDF;MASC;SG	
хюго	هوجو	хой	هُوجُو	N;INDF;MASC;SG	
розово	الوردي	розово	وَردِيّ	ADV	N;NOM;DEF;SG
розово	وردي	розово	وردي	ADV	
розово	وردية	розово	وَردِيّ	ADV	ADJ;NOM;INDF;FEM;SG
федерико	فيدريكو	федерико	فيدريكو	PROPN;INDF;MASC;SG	
каспийско	قزوين	каспийски	قَزوِين	ADV	N;NOM;INDF;SG
ерата	عصر	ера	عَصر	N;DEF;FEM;SG	N;NOM;INDF;SG
ерата	عهد	ера	عَهد	N;DEF;FEM;SG	N;NOM;INDF;SG
ерата	حقبة	ера	حِقبَة	N;DEF;FEM;SG	N;NOM;INDF;SG
албърт	البرت	албърт	أَلبِرت	PROPN;INDF;MASC;SG	
електрони	الالكترونات	електрон	الالكترونات	N;INDF;MASC;PL	N;NOM;DEF;PL
камерата	كاميرا	камера	كَامِيرَا	N;DEF;FEM;SG	
жул	جولز	жул	جولز	N;INDF;MASC;SG	
елени	غزال	елен	غزال	N;INDF;MASC;PL	
елени	ايل	елен	ايل	N;INDF;MASC;PL	
елени	الغزال	елен	غَزَال	N;INDF;MASC;PL	N;NOM;DEF;SG
елени	الغزلان	елен	غُزلَان	N;INDF;MASC;PL	N;NOM;DEF;SG
елени	الرنة	елен	رِنَة	N;INDF;MASC;PL	N;NOM;DEF;SG
хипотези	الفرضيات	хипотеза	فَرضِيَّة	N;INDF;FEM;PL	N;NOM;DEF;PL
хипотези	المدخلات	хипотеза	مُدخِلَة	N;INDF;FEM;PL	N;NOM;DEF;PL
хипотези	الافتراضات	хипотеза	اِفتِرَاض	N;INDF;FEM;PL	N;NOM;DEF;PL
хипотези	فرضية	хипотеза	فَرضِيَّة	N;INDF;FEM;PL	N;NOM;INDF;SG
хипотези	الفرضية	хипотеза	فَرضِيَّة	N;INDF;FEM;PL	N;NOM;DEF;SG
норман	نورمان	норман	نُورَمَان	N;INDF;MASC;SG	
бордо	بوردو	бордо	بوردو	ADV	
концертите	حفلات	концерт	حَفلَة	N;DEF;MASC;PL	N;NOM;INDF;PL
кръстена	عمدت	кръстя	عَمَد	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;PFV;FEM;SG;3;ACT
фейсбук	fac	фейсбук	حَاه	N;INDF;MASC;SG	
фейсбук	فيسبوك	фейсбук	فيسبوك	N;INDF;MASC;SG	
фейсбук	الفيسبوك	фейсбук	الفيسبوك	N;INDF;MASC;SG	N;NOM;DEF;SG
грижа	اهتم	грижа	اِهتَمّ	N;INDF;FEM;SG	V;PFV;MASC;SG;3;ACT
грижа	العناية	грижа	عِنَايَة	N;INDF;FEM;SG	N;NOM;DEF;SG
грижа	الرعاية	грижа	رِعَايَة	N;INDF;FEM;SG	N;NOM;DEF;SG
никол	نيكول	никол	نِيكُول	PROPN;INDF;FEM;SG	
приготвяне	التحضير	приготвяне	تَحضِير	N;INDF;NEUT;SG	N;NOM;DEF;SG
приготвяне	الاعداد	приготвяне	إِعدَاد	N;INDF;NEUT;SG	N;NOM;DEF;SG
приготвяне	التحضير	приготвяне	تَحضِير	N;INDF;NEUT;SG	N;NOM;DEF;SG
приготвяне	الاعداد	приготвяне	إِعدَاد	N;INDF;NEUT;SG	N;NOM;DEF;SG
отклонение	الانحراف	отклонение	اِنحِرَاف	N;INDF;NEUT;SG	N;NOM;DEF;SG
спазване	الامتثال	спазване	اِمتِثَال	N;INDF;NEUT;SG	N;NOM;DEF;SG
пазарна	سوق	пазарен	سُوق	ADJ;INDF;FEM;SG	N;NOM;INDF;SG
пазарна	السوق	пазарен	سُوق	ADJ;INDF;FEM;SG	N;NOM;DEF;SG
джейми	جايمي	джейма	جايمي	PROPN;INDF;MASC;SG	
спомен	الذاكرة	спомен	الذاكرة	N;INDF;MASC;SG	N;NOM;DEF;SG
спомен	الذكرى	спомен	ذِكرَى	N;INDF;MASC;SG	N;NOM;DEF;SG
чаша	زجاجي	чаша	زجاجي	N;INDF;FEM;SG	ADJ;NOM;INDF;MASC;SG
чаша	الزجاج	чаша	زُجَاج	N;INDF;FEM;SG	N;NOM;DEF;SG
чаша	قدح	чаша	قَدح	N;INDF;FEM;SG	
чаша	القدح	чаша	قَدح	N;INDF;FEM;SG	N;NOM;DEF;SG
чаша	كاس	чаша	كَاس	N;INDF;FEM;SG	
чаша	الكاس	чаша	كَاسّ	N;INDF;FEM;SG	
чаша	الكوب	чаша	كُوب	N;INDF;FEM;SG	N;NOM;DEF;SG
навара	نافار	навар	نافار	PROPN;INDF;FEM;SG	
костенурка	تورتل	костенурк	تَوَرُّل	N;INDF;FEM;SG	
костенурка	السلحفاة	костенурк	سُلحَفَاة	N;INDF;FEM;SG	N;NOM;DEF;SG
костенурка	السلحفاة	костенурк	سُلحَفَاة	N;INDF;FEM;SG	N;NOM;DEF;SG
искания	الطلبات	искане	طَلَب	N;INDF;NEUT;PL	N;NOM;DEF;PL
искания	المطالب	искане	مَطلَب	N;INDF;NEUT;PL	N;NOM;DEF;PL
динамика	الدينامية	динамика	دِينَامِيّ	N;INDF;FEM;SG	N;NOM;DEF;SG
динамика	ديناميات	динамика	دِينَامِيّ	N;INDF;FEM;SG	N;NOM;INDF;PL
динамика	الديناميات	динамика	دِينَامِيّ	N;INDF;FEM;SG	N;NOM;DEF;PL
динамика	الديناميكية	динамика	دِينَامِيكِيّ	N;INDF;FEM;SG	
участвала	شاركت	участвам	شَارَك	V;IPFV;INDF;FEM;SG;PST;V.PTCP;ACT	V;PFV;FEM;SG;3;ACT
меко	ناعمة	меко	نَاعِمَة	ADV	ADJ;NOM;INDF;FEM;SG
меко	الناعمة	меко	نَاعِمَة	ADV	N;NOM;DEF;SG
меко	لينة	меко	لَينَة	ADV	ADJ;NOM;INDF;FEM;SG
меко	ناعم	меко	نَاعِم	ADV	
саманта	سامانثا	самант	سامانثا	N;INDF;FEM;SG	
победени	هزم	победя	هَزم	V;PFV;INDF;PL;V.PTCP;PASS	V;PFV;MASC;SG;3;ACT
победени	هزمت	победя	هَزم	V;PFV;INDF;PL;V.PTCP;PASS	V;PFV;FEM;SG;3;ACT
предположения	الافتراضات	предположение	اِفتِرَاض	N;INDF;NEUT;PL	N;NOM;DEF;PL
соня	سونيا	соня	سونيا	N;INDF;FEM;SG	
вземане	مستحق	вземане	مُستَحِقّ	N;INDF;NEUT;SG	ADJ;NOM;INDF;MASC;SG
вземане	المستحق	вземане	مُستَحِقّ	N;INDF;NEUT;SG	N;NOM;DEF;SG
дребен	صغيره	дребен	صغيره	ADJ;INDF;MASC;SG	PRO;NOM;FEM;SG;3
дребен	صغر	дребен	صَغَر	ADJ;INDF;MASC;SG	N;NOM;INDF;SG
изследователите	باحثين	изследовател	بَاحِث	N;DEF;MASC;PL	N;NOM;INDF;PL
изгрев	الشروق	изгрев	شُرُوق	N;INDF;MASC;SG	N;NOM;DEF;SG
изгрев	شروق	изгрев	شَرق	N;INDF;MASC;SG	N;NOM;INDF;PL
кос	الشحرور	кос	شُحرُور	N;INDF;MASC;SG	
горан	غوران	горан	غُورَان	PROPN;INDF;MASC;SG	
зло	الشر	зло	شَرّ	N;INDF;NEUT;SG	N;NOM;DEF;SG
зло	شر	зло	شَرّ	N;INDF;NEUT;SG	
вертикално	الراسي	вертикално	رَاسِي	ADV	
вертикално	راسي	вертикално	راسي	ADV	
вертикално	عمودي	вертикално	عمودي	ADV	ADJ;NOM;INDF;MASC;SG
вертикално	عمودية	вертикално	عمودية	ADV	ADJ;NOM;INDF;FEM;SG
акцент	اللهجات	акцент	لَهجَة	N;INDF;MASC;SG	N;NOM;DEF;PL
акцент	التشديد	акцент	تَشدِيد	N;INDF;MASC;SG	N;NOM;DEF;SG
наруто	ناروتو	наруто	ناروتو	N;INDF;NEUT;SG	
сделка	المعاملة	сделка	مُعَامَلَة	N;INDF;FEM;SG	N;NOM;DEF;SG
сделка	المعاملات	сделка	مُعَامَلَة	N;INDF;FEM;SG	N;NOM;DEF;PL
сделка	الصفقة	сделка	صَفقَة	N;INDF;FEM;SG	N;NOM;DEF;SG
сделка	التعامل	сделка	تَعَامُل	N;INDF;FEM;SG	N;NOM;DEF;SG
сделка	الاتفاق	сделка	اِتِّفَاق	N;INDF;FEM;SG	N;NOM;DEF;SG
сделка	الصفقة	сделка	صَفقَة	N;INDF;FEM;SG	N;NOM;DEF;SG
вдъхновение	الهام	вдъхновение	هَامّ	N;INDF;NEUT;SG	
вдъхновение	الالهام	вдъхновение	أَلهَام	N;INDF;NEUT;SG	N;NOM;DEF;SG
рог	هورن	рог	هُورن	N;INDF;MASC;SG	
рог	بوق	рог	بُوق	N;INDF;MASC;SG	
рог	القرن	рог	قَرن	N;INDF;MASC;SG	N;NOM;DEF;SG
разширена	مددت	разширя-(се)	مَدَّد	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;PFV;FEM;SG;3;ACT
разширена	مدد	разширя-(се)	مُدَّة	V;PFV;INDF;FEM;SG;V.PTCP;PASS	N;NOM;INDF;SG
разширена	موسعة	разширя-(се)	مُوسِع	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;FEM;SG
разширена	موسع	разширя-(се)	مُوَسَّع	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG
разширена	موسعة	разширя-(се)	مُوسِع	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;FEM;SG
разширена	موسع	разширя-(се)	مُوَسَّع	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG
разширена	الموسع	разширя-(се)	مَوسِع	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;NOM;DEF;MASC;SG
главите	رؤوس	глава	رَأس	N;DEF;FEM;PL	N;NOM;INDF;PL
главите	الرؤوس	глава	رُؤُوس	N;DEF;FEM;PL	N;NOM;DEF;SG
инициативи	المبادرات	инициатива	مُبَادَرَة	N;INDF;FEM;PL	N;NOM;DEF;PL
концепции	المفاهيم	концепция	مَفهُوم	N;INDF;FEM;PL	N;NOM;DEF;PL
активисти	النشطاء	активист	نَشِيط	N;INDF;MASC;PL	N;NOM;DEF;PL
активисти	الناشطين	активист	نَاشِط	N;INDF;MASC;PL	N;NOM;DEF;PL
положителен	الايجابي	положителен	إِيجَابِيّ	ADJ;INDF;MASC;SG	ADJ;NOM;DEF;MASC;SG
положителен	الايجابية	положителен	إِيجَابِيّ	ADJ;INDF;MASC;SG	ADJ;NOM;DEF;FEM;SG
положителен	موجب	положителен	مُوجِب	ADJ;INDF;MASC;SG	N;NOM;INDF;SG
орбитален	المداري	орбитален	مَدَارِي	ADJ;INDF;MASC;SG	ADJ;NOM;DEF;MASC;SG
ханибал	هانيبال	ханибал	هانيبال	N;INDF;MASC;SG	
руди	رودي	рудя-(се)	رُودِي	N;INDF;FEM;PL	
руди	الخامات	рудя-(се)	خَامَة	N;INDF;FEM;PL	N;NOM;DEF;PL
татари	تتار	татари	تَار	N;INDF;FEM;PL	
посетителите	زوار	посетител	زَارّ	N;DEF;MASC;PL	N;NOM;INDF;PL
посетителите	الزائرين	посетител	زَائِر	N;DEF;MASC;PL	ADJ;ACC;DEF;MASC;PL
национализъм	قومية	национализъм	قَومِيّ	N;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
национализъм	القومية	национализъм	قَومِيّ	N;INDF;MASC;SG	ADJ;NOM;DEF;FEM;SG
капела	كابيلا	капел	كابيلا	N;INDF;FEM;SG	
капела	شابل	капел	شَابِل	N;INDF;FEM;SG	
откритие	الاكتشاف	откритие	اِكتِشَاف	N;INDF;NEUT;SG	N;NOM;DEF;SG
пакт	حلف	пакт	حِلف	N;INDF;MASC;SG	
пакт	الحلف	пакт	حِلف	N;INDF;MASC;SG	N;NOM;DEF;SG
пакт	الميثاق	пакт	مِيثَاق	N;INDF;MASC;SG	N;NOM;DEF;SG
специализация	الاقامة	специализация	إِقَامَة	N;INDF;FEM;SG	N;NOM;DEF;SG
рани	جرح	рана	جُرح	N;INDF;FEM;PL	N;NOM;INDF;SG
рани	الجرح	рана	جُرح	N;INDF;FEM;PL	N;NOM;DEF;SG
рани	راني	рана	راني	N;INDF;FEM;PL	
рани	الجروح	рана	جُرح	N;INDF;FEM;PL	N;NOM;DEF;SG
вот	التصويت	вот	تَصوِيت	N;INDF;MASC;SG	N;NOM;DEF;SG
вот	صوتوا	вот	صَوت	N;INDF;MASC;SG	V;PFV;MASC;PL;3;ACT
вот	اصوات	вот	صَوت	N;INDF;MASC;SG	N;NOM;INDF;PL
вот	الاصوات	вот	صَوت	N;INDF;MASC;SG	N;NOM;DEF;PL
ислямски	الاسلامي	ислямски	إِسلَامِيّ	ADJ;INDF;MASC;SG	ADJ;NOM;DEF;MASC;SG
ислямски	الاسلامية	ислямски	إِسلَامِيّ	ADJ;INDF;MASC;SG	ADJ;NOM;DEF;FEM;SG
кандидатурата	ترشيح	кандидатура	تَرشِيح	N;DEF;FEM;SG	N;NOM;INDF;SG
алтернативни	البديل	алтернативен	بَدِيل	ADJ;INDF;PL	N;NOM;DEF;SG
алтернативни	بديل	алтернативен	بَدِيل	ADJ;INDF;PL	N;NOM;INDF;SG
алтернативни	بديلة	алтернативен	بَدِيلَة	ADJ;INDF;PL	N;NOM;INDF;SG
падане	السقوط	падане	سُقُوط	N;INDF;NEUT;SG	N;NOM;DEF;SG
падане	اسقط	падане	أَسقَط	N;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
падане	السقوط	падане	سُقُوط	N;INDF;NEUT;SG	N;NOM;DEF;SG
падане	الخريف	падане	خَرِيف	N;INDF;NEUT;SG	N;NOM;DEF;SG
фактите	وقائع	факт	وَقِيعَة	N;DEF;MASC;PL	N;NOM;INDF;PL
фактите	حقائق	факт	حَقِيقَة	N;DEF;MASC;PL	N;NOM;INDF;PL
дей	داي	дей	داي	PROPN;INDF;MASC;SG	
привличане	الجذب	привличане	جَذب	N;INDF;NEUT;SG	N;NOM;DEF;PL
свидетели	الشهود	свидетел	شَاهِد	N;INDF;MASC;PL	N;NOM;DEF;PL
свидетели	شاهد	свидетел	شَاهَد	N;INDF;MASC;PL	
свидетели	شاهدة	свидетел	شَاهِدَة	N;INDF;MASC;PL	ADJ;NOM;INDF;FEM;SG
свидетели	الشاهد	свидетел	شَاهِد	N;INDF;MASC;PL	N;NOM;DEF;SG
поръчки	العقود	поръчка	عَقد	N;INDF;FEM;PL	N;NOM;DEF;PL
поръчки	مشتريات	поръчка	مُشتَرَى	N;INDF;FEM;PL	ADJ;NOM;INDF;FEM;PL
поръчки	الشراء	поръчка	شِرَاء	N;INDF;FEM;PL	N;NOM;DEF;SG
поръчки	المشتريات	поръчка	مُشتَرَى	N;INDF;FEM;PL	N;NOM;DEF;PL
поръчки	الطلبات	поръчка	طَلَب	N;INDF;FEM;PL	N;NOM;DEF;PL
поръчки	الاوامر	поръчка	الاوامر	N;INDF;FEM;PL	N;NOM;DEF;PL
йони	الايونات	сона	الايونات	N;INDF;FEM;PL	N;NOM;DEF;PL
лари	لارى	лара	لارى	PROPN;INDF;MASC;SG	
лари	لاري	лара	لاري	PROPN;INDF;MASC;SG	
терористи	الارهابيين	терорист	إِرهَابِيّ	N;INDF;MASC;PL	N;NOM;DEF;PL
активист	ناشطة	активист	نَاشِطَة	N;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
активист	الناشطة	активист	نَاشِطَة	N;INDF;MASC;SG	N;NOM;DEF;SG
пациентите	مرضى	пациент	مَرِيض	N;DEF;MASC;PL	N;NOM;INDF;PL
засегнати	المتضررة	засегна-(се)	مُتَضَرِّر	V;PFV;INDF;PL;V.PTCP;PASS	ADJ;NOM;DEF;FEM;SG
засегнати	يتاثر	засегна-(се)	تَاثَر	V;PFV;INDF;PL;V.PTCP;PASS	V;IPFV;MASC;IND;SG;3;FIN;ACT
съжалявам	اسف	съжалявам-(се)	أَسف	V;IPFV;IND;SG;1;PRS;FIN;ACT	
съжалявам	الاسف	съжалявам-(се)	أَسف	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;NOM;DEF;SG
съжалявам	عذرا	съжалявам-(се)	عَذَر	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;ACC;INDF;SG
фондове	صندوق	фонд	صُندُوق	N;INDF;MASC;PL	N;NOM;INDF;SG
фондове	الصندوق	фонд	صُندُوق	N;INDF;MASC;PL	N;NOM;DEF;SG
кол	كول	кол	كُول	N;INDF;MASC;SG	
кол	co	кол	هُوَ	N;INDF;MASC;SG	
кол	الكحل	кол	كَحل	N;INDF;MASC;SG	N;NOM;DEF;SG
подарък	الحاضر	подарък	حَاضِر	N;INDF;MASC;SG	
подарък	الحالي	подарък	حَالِيّ	N;INDF;MASC;SG	ADJ;NOM;DEF;MASC;SG
подарък	الهدية	подарък	هَدِيَّة	N;INDF;MASC;SG	N;NOM;DEF;SG
подарък	هديه	подарък	هَدِيه	N;INDF;MASC;SG	
участващи	المشاركة	участвам	مُشَارَكَة	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT	N;NOM;DEF;SG
електроенергия	الكهرباء	електроенергия	كَهرَبَاء	N;INDF;FEM;SG	N;NOM;DEF;SG
регистрирана	مسجل	регистрирам	مُسَجَّل	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG
регистрирана	مسجلة	регистрирам	مُسَجَّل	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;NOM;INDF;FEM;SG
регистрирано	مسجل	регистрирам	مُسَجَّل	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;NOM;INDF;MASC;SG
регистрирано	مسجلة	регистрирам	مُسَجَّل	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	ADJ;NOM;INDF;FEM;SG
умишлено	مقصود	умишлено	مَقصُود	ADV	ADJ;NOM;INDF;MASC;SG
умишлено	مقصودة	умишлено	مَقصُود	ADV	ADJ;NOM;INDF;FEM;SG
умишлено	المتعمد	умишлено	مُتَعَمِّد	ADV	
умишлено	متعمد	умишлено	متعمد	ADV	
клинтън	كلينتون	клинтън	كلِينتُون	PROPN;INDF;MASC;SG	
клинтън	كلنتون	клинтън	كلنتون	PROPN;INDF;MASC;SG	
намерения	النوايا	намерение	نِيَّة	N;INDF;NEUT;PL	N;NOM;DEF;PL
намерения	القصد	намерение	قَصد	N;INDF;NEUT;PL	N;NOM;DEF;SG
намерения	نية	намерение	نِيَّة	N;INDF;NEUT;PL	N;NOM;INDF;SG
намерения	النية	намерение	نِيَّة	N;INDF;NEUT;PL	N;NOM;DEF;SG
намерения	نية	намерение	نِيَّة	N;INDF;NEUT;PL	N;NOM;INDF;SG
намерения	النية	намерение	نِيَّة	N;INDF;NEUT;PL	N;NOM;DEF;SG
рик	ريك	рик	ريك	N;INDF;MASC;SG	
изпълнено	اعدم	изпълня-(се)	أَعدَم	V;PFV;INDF;NEUT;SG;V.PTCP;PASS	V;PFV;MASC;SG;3;ACT
цялостен	شمولية	цялостен	شُمُولِيَّة	ADJ;INDF;MASC;SG	N;NOM;INDF;SG
жестоко	قاسي	жестоко	قاسي	ADV	ADJ;NOM;INDF;MASC;SG
жестоко	ضروب	жестоко	ضَرب	ADV	N;NOM;INDF;SG
гостите	ضيوف	гост	ضيوف	N;DEF;MASC;PL	N;NOM;INDF;SG
вируси	الفيروس	вирус	فَيرُوس	N;INDF;MASC;PL	N;NOM;DEF;SG
вируси	فيروس	вирус	فَيرُوس	N;INDF;MASC;PL	
вируси	فيرس	вирус	فَيرَس	N;INDF;MASC;PL	
вируси	الفيروسات	вирус	فَيرُوس	N;INDF;MASC;PL	N;NOM;DEF;PL
стенопис	جدارية	стенопис	جِدَارِيّ	N;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
