और	in	और	in		CONJ
हानिकारक	škodljiva	हानिकारक	škodljiv	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
शिल्प	plovilo	शिल्प	plovilo		N;NOM;NEUT;SG
हिन्दुस्तान	hindustan	हिन्दुस्तान	hindustan	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
पीला	rumena	पीला	rumen	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
पीला	rumeni	पीला	rume	N;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
पीला	rumene	पीला	rumen	N;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
पीला	rumen	पीला	rumen	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
पीला	rumeno	पीला	rumen	N;NOM;MASC;SG;3	ADV
सीधी	naravnost	सीधा	naravnost	ADJ;FEM;SG	ADV
सीधी	ravne	सीधा	raven	ADJ;FEM;SG	N;NOM;FEM;PL
किलो	kilo	किलो	kilo	N;NOM;MASC;SG;3	N;ACC;FEM;SG
बादल	oblaki	बादल	oblak	PROPN;NOM;MASC;SG;3	N;NOM;MASC;PL
बादल	oblak	बादल	oblak	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
बादल	cloud	बादल	cloud	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
चंद्रमा	mesec	चंद्रमा	mesec	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
चंद्रमा	luna	चंद्रमा	luna	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
चंद्रमा	luni	चंद्रमा	luniti	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
चंद्रमा	moon	चंद्रमा	moon	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
कोयला	oglja	कोयला	oglje	N;NOM;MASC;SG;3	N;GEN;NEUT;SG
पादप	rastline	पादप	rastlina	N;NOM;MASC;SG;3	N;NOM;FEM;PL
चौड़ाई	širino	चौड़ाई	širina	N;NOM;FEM;SG;3	N;ACC;FEM;SG
मान्य	veljavna	मान्य	veljaven		ADJ;NOM;FEM;SG
मान्य	veljaven	मान्य	veljaven		ADJ;NOM;INDF;MASC;SG
मान्य	veljavni	मान्य	veljaven		ADJ;NOM;MASC;PL
मान्य	veljavno	मान्य	veljaven		ADJ;NOM;NEUT;SG
अनुसूचित	predvideno	अनुसूचित	predviden	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG;V.PTCP
अनुसूचित	načrtovana	अनुसूचित	načrtovan	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG;V.PTCP
अनुसूचित	načrtovano	अनुसूचित	načrtovan	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG;V.PTCP
सम्पन्न	končano	संपन्न	končan		ADJ;NOM;NEUT;SG;V.PTCP
सम्पन्न	končala	संपन्न	končati		V;PFV;FEM;SG;V.PTCP
सम्पन्न	končana	संपन्न	končan		ADJ;NOM;FEM;SG;V.PTCP
सम्पन्न	storjeno	संपन्न	storjen		ADJ;NOM;NEUT;SG;V.PTCP
सम्पन्न	končano	संपन्न	končan		ADJ;NOM;NEUT;SG;V.PTCP
सम्पन्न	opravljeno	संपन्न	opravljen		ADJ;NOM;NEUT;SG;V.PTCP
सम्पन्न	narejeno	संपन्न	narejen		ADJ;NOM;NEUT;SG;V.PTCP
हॉलीवुड	hollywood	हॉलीवुड	hollywood	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
शहीद	mučenik	शहीद	mučenik	ADJ	N;NOM;MASC;SG
तेज़	hitrejše	तेज़	hiter		ADJ;NOM;CMPR;NEUT;SG
तेज़	hitrejši	तेज़	hiter		ADJ;NOM;DEF;CMPR;MASC;SG
तेज़	hitreje	तेज़	hitro		ADV;CMPR
तेज़	hitri	तेज़	hiter		ADJ;NOM;DEF;MASC;SG
तेज़	hiter	तेज़	hiter		ADJ;NOM;INDF;MASC;SG
तेज़	hitra	तेज़	hiter		ADJ;NOM;FEM;SG
तेज़	hitro	तेज़	hitro		ADV
अर्ध	navidezno	अर्ध	navidezen		ADV
अल्प	planina	अल्प	planina		N;NOM;FEM;SG
अल्प	alp	अल्प	alp		PROPN;NOM;FEM;SG
अल्प	rahle	अल्प	rahle		ADJ;NOM;FEM;PL
अल्प	rahlo	अल्प	rahlo		ADV
अल्प	rahla	अल्प	rahel		ADJ;NOM;FEM;SG
अल्प	rahel	अल्प	rahel		ADJ;NOM;INDF;MASC;SG
नाक	nosom	नाक	nos	N;NOM;FEM;SG;3	N;DAT;MASC;PL
नाक	nosu	नाक	nos	N;NOM;FEM;SG;3	N;DAT;MASC;SG
बाई	bai	बाई	bai		N;NOM;MASC;SG
राणा	rana	राणा	ran	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
निवेदन	zahteva	निवेदन	zahtevati	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
निवेदन	prošnje	निवेदन	prošnja	N;NOM;MASC;SG;3	N;NOM;FEM;PL
निवेदन	zaprosila	निवेदन	zaprositi	N;NOM;MASC;SG;3	V;PFV;FEM;SG;V.PTCP
निवेदन	zahteve	निवेदन	zahteva	N;NOM;MASC;SG;3	N;NOM;FEM;PL
निवेदन	zahteva	निवेदन	zahtevati	N;NOM;MASC;SG;3	V;IND;SG;3;PRS;FIN
ब्रायन	brian	ब्रायन	brian	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
ब्रायन	bryan	ब्रायन	bryan	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
अनुभाग	poglavji	अनुभाग	poglavje	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
अनुभाग	oddelki	अनुभाग	oddelek	N;NOM;MASC;SG;3	N;NOM;MASC;PL
बीसवीं	twentieth	बीसवां	twentieth	PROPN;NOM;FEM;SG;3	N;NOM;MASC;SG
रंगीन	pisane	रंगीन	pisan		ADJ;NOM;FEM;PL
रंगीन	barvne	रंगीन	barven		ADJ;NOM;FEM;PL
रंगीन	barvito	रंगीन	barvit		ADJ;NOM;NEUT;SG
रंगीन	pisano	रंगीन	pisan		ADJ;NOM;NEUT;SG
अपेक्षित	pričakovani	अपेक्षित	pričakovan	ADP	ADJ;NOM;MASC;SG;V.PTCP
अपेक्षित	pričakovana	अपेक्षित	pričakovan	ADP	ADJ;NOM;FEM;SG;V.PTCP
अपेक्षित	pričakovan	अपेक्षित	pričakovan	ADP	ADJ;NOM;INDF;MASC;SG;V.PTCP
अपेक्षित	pričakovali	अपेक्षित	pričakovati	ADP	V;IPFV;MASC;PL;V.PTCP
अपेक्षित	pričakovano	अपेक्षित	pričakovan	ADP	ADJ;NOM;NEUT;SG;V.PTCP
मूलभूत	temeljno	मूलभूत	temeljen	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
मूलभूत	temeljna	मूलभूत	temeljen	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
मूलभूत	privzeto	मूलभूत	privzet	N;NOM;MASC;SG;3	ADV
मूलभूत	osnovno	मूलभूत	osnoven	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
मूलभूत	osnovni	मूलभूत	osnoven	N;NOM;MASC;SG;3	ADJ;NOM;MASC;PL
मूलभूत	intrinzično	मूलभूत	intrinzično	N;NOM;MASC;SG;3	ADV
विभागों	oddelki	विभाग	oddelek	N;ACC;MASC;PL;3	N;NOM;MASC;PL
अदा	plača	अदा	plača	ADJ	N;NOM;FEM;SG
अदा	plačilo	अदा	plačilo	ADJ	N;NOM;NEUT;SG
जिम	telovadnici	जिम	telovadnica	N;NOM;MASC;SG;3	N;DAT;FEM;SG
जिम	jim	जिम	on	N;NOM;MASC;SG;3	PROPN;NOM;MASC;PL
जिम	jima	जिम	on	N;NOM;MASC;SG;3	PRO;DAT;MASC;DU;3
एटा	eta	एटा	Eta	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
पूछा	vprašali	पूछ	vprašati	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;MASC;PL;V.PTCP
कहानियां	zgodb	कहानी	zgodba	N;NOM;FEM;PL;3	N;GEN;FEM;PL
उत्पादित	proizvedena	उत्पादित	proizveden	PROPN;NOM;SG;3	ADJ;NOM;FEM;SG;V.PTCP
उत्पादित	proizvedeno	उत्पादित	proizveden	PROPN;NOM;SG;3	ADJ;NOM;NEUT;SG;V.PTCP
उत्पादित	proizveden	उत्पादित	proizveden	PROPN;NOM;SG;3	ADJ;NOM;INDF;MASC;SG;V.PTCP
क्रिसमस	božič	क्रिसमस	božič	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
रखें	obdrži	रख	obdržiti	V;SBJV;PL;FIN;ACT	V;PFV;IND;SG;3;PRS;FIN
रखें	ohrani	रख	ohran	V;SBJV;PL;FIN;ACT	V;PFV;IND;SG;3;PRS;FIN
गार्डन	garden	गार्डन	garden	N;NOM;MASC;SG;3	
कार्टून	risanko	कार्टून	risanka	N;NOM;MASC;SG;3	N;ACC;FEM;SG
फ़्रांस	francijo	फाररांस	francija	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
फ़्रांस	francija	फाररांस	francija	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
फ़्रांस	france	फाररांस	franca	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
छंद	rime	छंद	rima	N;NOM;MASC;SG;3	N;NOM;FEM;PL
छंद	rima	छंद	rima	N;NOM;MASC;SG;3	N;GEN;MASC;SG
ठंडा	mraz	ठंडा	mraz	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
नाडु	nadu	नाडु	nad	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
पत्थरों	kamne	पत्थर	kamen	N;ACC;MASC;PL;3	ADJ;ACC;FEM;PL
पत्थरों	kamni	पत्थर	kamen	N;ACC;MASC;PL;3	N;NOM;MASC;PL
अक्ष	sekire	अक्ष	sekira	N;NOM;MASC;SG;3	N;NOM;FEM;PL
इमारतें	stavb	इमारत	stavba	N;NOM;FEM;PL;3	N;GEN;FEM;PL
पन्ने	strani	पन्ना	stran	N;NOM;MASC;SG;3	N;NOM;FEM;PL
एपिसोड	epizode	एपिसोड	epizoda	N;NOM;MASC;SG;3	N;NOM;FEM;PL
एपिसोड	epizod	एपिसोड	epizod	N;NOM;MASC;SG;3	N;GEN;FEM;PL
एपिसोड	epizodo	एपिसोड	epizoda	N;NOM;MASC;SG;3	N;ACC;FEM;SG
एपिसोड	epizode	एपिसोड	epizoda	N;NOM;MASC;SG;3	N;NOM;FEM;PL
डोमेन	področja	डोमेन	področje	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
मैक	mac	मैक	maca	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
मैक	maca	मैक	maca	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
आकलन	ocene	आकलन	ocena	N;NOM;MASC;SG;3	N;NOM;FEM;PL
आकलन	ocen	आकलन	ocena	N;NOM;MASC;SG;3	N;GEN;FEM;PL
आकलन	domneve	आकलन	domneva	N;NOM;MASC;SG;3	N;NOM;FEM;PL
मध्यकालीन	srednjeveški	मध्यकालीन	srednjeveški	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
पसंदीदा	priljubljeno	पसंदीदा	priljubljen	N;NOM;MASC;SG;3	ADV
पसंदीदा	najljubša	पसंदीदा	uljub	N;NOM;MASC;SG;3	ADJ;NOM;RL;FEM;SG
पसंदीदा	najljubši	पसंदीदा	ujub	N;NOM;MASC;SG;3	ADJ;NOM;DEF;RL;MASC;SG
पसंदीदा	priljubljeni	पसंदीदा	priljubljen	N;NOM;MASC;SG;3	ADJ;NOM;MASC;PL
पसंदीदा	priljubljeno	पसंदीदा	priljubljen	N;NOM;MASC;SG;3	ADV
पसंदीदा	najljubša	पसंदीदा	uljub	N;NOM;MASC;SG;3	ADJ;NOM;RL;FEM;SG
पसंदीदा	najljubši	पसंदीदा	ujub	N;NOM;MASC;SG;3	ADJ;NOM;DEF;RL;MASC;SG
पसंदीदा	priljubljene	पसंदीदा	priljubljen	N;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
पसंदीदा	najljubših	पसंदीदा	ljub	N;NOM;MASC;SG;3	ADJ;GEN;RL;MASC;PL
पसंदीदा	najljubše	पसंदीदा	uljub	N;NOM;MASC;SG;3	ADJ;NOM;RL;NEUT;SG
मुकदमा	toži	मुकदमा	tožiti	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN
मुकदमा	sue	मुकदमा	sue	N;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
कार्ल	carl	कार्ल	carl	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
वियतनाम	vietnam	वियतनाम	vieten	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
तुलनात्मक	primerjalno	तुलनात्मक	primerjalno	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
तुलनात्मक	primerjalne	तुलनात्मक	primerjalen	N;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
तुलनात्मक	primerjalna	तुलनात्मक	primerjalen	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
उत्पादक	produktivno	उत्पादक	produktivno	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
उत्पादक	proizvajalca	उत्पादक	proizvajalec	N;NOM;MASC;SG;3	N;ANIM;ACC;MASC;SG
आयरिश	irske	आयरिश	irski	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
आयरिश	irsko	आयरिश	irski	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
आयरिश	irski	आयरिश	irska	PROPN;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
आयरिश	irci	आयरिश	irca	PROPN;NOM;MASC;SG;3	N;NOM;MASC;PL
राजकुमारी	princesa	राजकुमारी	princes	PROPN;NOM;FEM;SG;3	N;NOM;FEM;SG
राजकुमारी	princess	राजकुमारी	princess	PROPN;NOM;FEM;SG;3	
राजकुमारी	princeske	राजकुमारी	princeski	PROPN;NOM;FEM;SG;3	N;NOM;FEM;PL
राजकुमारी	princeska	राजकुमारी	princeski	PROPN;NOM;FEM;SG;3	N;NOM;FEM;SG
अनुचित	krivično	अनुचित	krivičen	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
अनुचित	nepošteno	अनुचित	nepošteno	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
अनुचित	nepravično	अनुचित	nepravično	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
अनुचित	nepošten	अनुचित	nepošten	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
अनुचित	neprimerna	अनुचित	neprimeren	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
अनुचित	neustrezno	अनुचित	neustrezno	PROPN;NOM;MASC;SG;3	ADV
अनुचित	neprimerno	अनुचित	neprimerno	PROPN;NOM;MASC;SG;3	ADV
कल	jutri	कल	jutri	N;NOM;MASC;SG;3	ADV
कल	včeraj	कल	včeraj	N;NOM;MASC;SG;3	ADV
इनकार	zanikati	इनकार	zanikati	N;NOM;MASC;SG;3	V;PFV;NFIN
प्रतिकूल	sovražni	प्रतिकूल	sovražen	PROPN;NOM;SG;3	ADJ;NOM;MASC;SG
प्रतिकूल	sovražna	प्रतिकूल	sovražen	PROPN;NOM;SG;3	ADJ;NOM;FEM;SG
प्रतिकूल	sovražno	प्रतिकूल	sovražno	PROPN;NOM;SG;3	ADV
नींद	spi	नींद	spati	N;NOM;FEM;SG;3	V;IPFV;IND;SG;3;PRS;FIN
नींद	spati	नींद	spati	N;NOM;FEM;SG;3	V;IPFV;NFIN
बाँध	jez	बाँध	jez	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रभुत्व	prevlado	प्रभुत्व	prevlada	N;NOM;MASC;SG;3	N;ACC;FEM;SG
प्रभुत्व	prevlada	प्रभुत्व	prevladati	N;NOM;MASC;SG;3	V;PFV;IND;SG;3;PRS;FIN
बेहतरीन	best	बेहतरीन	best	ADJ	
बेहतरीन	odlično	बेहतरीन	odlično	ADJ	ADV
तालिका	preglednica	तालिका	preglednica		N;NOM;FEM;SG
तालिका	razpredelnica	तालिका	razpredelnica		N;NOM;FEM;SG
तालिका	miza	तालिका	miza		N;NOM;FEM;SG
तालिका	tabela	तालिका	tabela		N;NOM;FEM;SG
तालिका	katalog	तालिका	kataloga		N;NOM;MASC;SG
तालिका	kataloga	तालिका	kataloga		N;GEN;MASC;SG
वायुमंडल	atmosfero	वायुमंडल	atmosfer	N;NOM;MASC;SG;3	N;ACC;FEM;SG
यथार्थ	resničen	यथार्थ	resničen	ADV	ADJ;NOM;INDF;MASC;SG
यथार्थ	resnična	यथार्थ	resničen	ADV	ADJ;NOM;FEM;SG
यथार्थ	prava	यथार्थ	pravi	ADV	ADJ;NOM;FEM;SG
यथार्थ	realno	यथार्थ	realen	ADV	ADJ;NOM;NEUT;SG
रहस्य	skrivnosti	रहस्य	skrivnost	N;NOM;MASC;SG;3	N;NOM;FEM;PL
रहस्य	skrivna	रहस्य	skriven	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
रहस्य	skrivno	रहस्य	skrivno	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
फसलों	pridelkov	फसल	pridelek	N;ACC;FEM;PL;3	N;GEN;MASC;PL
फसलों	poljščine	फसल	poljščina	N;ACC;FEM;PL;3	N;NOM;FEM;PL
फसलों	pridelki	फसल	pridelek	N;ACC;FEM;PL;3	N;NOM;MASC;PL
वृत्त	krogi	वृत्त	krog	N;NOM;MASC;SG;3	N;NOM;MASC;PL
वृत्त	kroge	वृत्त	krog	N;NOM;MASC;SG;3	N;ACC;MASC;PL
वृत्त	krogov	वृत्त	krog	N;NOM;MASC;SG;3	N;GEN;MASC;PL
रुपए	inr	रुपया	inra	N;NOM;MASC;SG;3	
पूरक	dopolnila	पूरक	dopolniti	N;NOM;MASC;SG;3	V;PFV;FEM;SG;V.PTCP
पूरक	dopolnilo	पूरक	dopolniti	N;NOM;MASC;SG;3	V;PFV;NEUT;SG;V.PTCP
पूरक	dopolnjujejo	पूरक	dopolnjevati	N;NOM;MASC;SG;3	V;IPFV;IND;PL;3;PRS;FIN
पूरक	dodatki	पूरक	dodatek	N;NOM;MASC;SG;3	N;NOM;MASC;PL
पूरक	dopolnila	पूरक	dopolniti	N;NOM;MASC;SG;3	V;PFV;FEM;SG;V.PTCP
पूरक	dopolnilni	पूरक	dopolnilen	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
पूरक	dopolnilne	पूरक	dopolnilen	N;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
स्पेस	vesoljska	स्पेस	vesoljski	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
नाटकीय	dramatično	नाटकीय	dramatičen	ADJ;NOM	ADV
वाशिंगटन	washington	वाशिंगटन	washington	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
बर्लिन	berlin	बर्लिन	berlin	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
रद्द	odpovedal	रद्द	odpovedati	ADJ	V;PFV;MASC;SG;V.PTCP
पैटर्न	vzorci	पैटर्न	vzorec	N;NOM;MASC;SG;3	N;NOM;MASC;PL
गोल्डन	zlat	गोल्डन	zlat	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
गोल्डन	zlato	गोल्डन	zlat	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
गोल्डन	zlata	गोल्डन	zlat	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
गोल्डन	zlate	गोल्डन	zlat	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
गोल्डन	zlati	गोल्डन	zlat	PROPN;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
प्रभु	gospod	प्रभु	gospod	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
खण्ड	poglavji	खण्ड	poglavje	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
खण्ड	oddelki	खण्ड	oddelek	N;NOM;MASC;SG;3	N;NOM;MASC;PL
खण्ड	segmentih	खण्ड	segment	N;NOM;MASC;SG;3	N;ESS;MASC;PL
नेत्र	očesu	नेत्र	oko	N;NOM;MASC;SG;3	N;DAT;NEUT;SG
लायक	vreden	लायक	vreden	ADP	ADJ;NOM;INDF;MASC;SG
लायक	vredna	लायक	vreden	ADP	ADJ;NOM;FEM;SG
लायक	vredno	लायक	vreden	ADP	ADJ;NOM;NEUT;SG
लायक	vredne	लायक	vreden	ADP	ADJ;NOM;FEM;PL
विनोद	vinod	विनोद	vinoda	PROPN;NOM;MASC;SG;3	
सांता	božiček	सांत	božiček	PROPN;NOM;FEM;SG;3	N;NOM;MASC;SG
सांता	santa	सांत	santa	PROPN;NOM;FEM;SG;3	N;NOM;FEM;SG
संगणक	računalniško	संगणक	računalniški	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
संगणक	računalniška	संगणक	računalniški	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
रूचि	interesi	रूचि	interes	N;NOM;FEM;SG;3	N;NOM;MASC;PL
रूचि	obresti	रूचि	obresti	N;NOM;FEM;SG;3	N;NOM;FEM;PL
रेगिस्तान	puščavi	रेगिस्तान	puščava	N;NOM;MASC;SG;3	N;DAT;FEM;SG
रेगिस्तान	puščave	रेगिस्तान	puščava	N;NOM;MASC;SG;3	N;NOM;FEM;PL
व्यायाम	vaje	व्यायाम	vaja	N;NOM;MASC;SG;3	N;NOM;FEM;PL
एट	pojedel	एट	pojesti	PROPN;NOM;MASC;SG;3	V;PFV;MASC;SG;V.PTCP
एट	jedli	एट	jesti	PROPN;NOM;MASC;SG;3	V;IPFV;MASC;PL;V.PTCP
एट	jedla	एट	jesti	PROPN;NOM;MASC;SG;3	V;IPFV;FEM;SG;V.PTCP
एट	pojedla	एट	pojesti	PROPN;NOM;MASC;SG;3	V;PFV;FEM;SG;V.PTCP
एट	jedel	एट	jesti	PROPN;NOM;MASC;SG;3	V;IPFV;MASC;SG;V.PTCP
भीतरी	notranji	भीतरी	notranji	N;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
भीतरी	notranje	भीतरी	notranji	N;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
भीतरी	notranja	भीतरी	notranji	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
पूर्ववर्ती	predhodnik	पूर्ववर्ती	predhodnik	ADJ	N;NOM;MASC;SG
सेनाओं	armade	सेना	armada	N;ACC;FEM;PL;3	N;NOM;FEM;PL
सेनाओं	vojske	सेना	vojska	N;ACC;FEM;PL;3	N;NOM;FEM;PL
इंजीनियर	inženir	इंजीनियर	inženir	N;NOM;MASC;PL;3	N;NOM;MASC;SG
रोल	roll	रोल	roll		N;NOM;MASC;SG
रहमान	rahman	रहमान	rahman	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
रहमान	usmiljen	रहमान	usmiljen	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
मुफ्त	svoboden	मुफ्त	svoboden	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
मुफ्त	prosto	मुफ्त	prosto	N;NOM;MASC;SG;3	ADV
मुफ्त	svobodna	मुफ्त	svoboden	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
मुफ्त	brezplačno	मुफ्त	brezplačno	N;NOM;MASC;SG;3	ADV
मुफ्त	brezplačna	मुफ्त	brezplačen	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
तूफान	storm	तूफान	storm	N;NOM;MASC;SG;3	
बलि	obglavljenje	बलि	obglavljenje		N;NOM;NEUT;SG
वर्णमाला	abecedni	वर्णमाला	abeceden	N;NOM;FEM;SG;3	ADJ;NOM;MASC;SG
लम्बा	visoki	लम्बा	visok	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;PL
टर्मिनल	terminalu	टर्मिनल	terminal	N;NOM;MASC;SG;3	N;DAT;MASC;SG
उद्धृत	citiral	उद्धृत	citirati	PROPN;NOM;MASC;SG;3	V;MASC;SG;V.PTCP
दुबई	dubaj	दुबई	dubaj	PROPN;NOM;MASC;SG;3	
दुबई	dubaju	दुबई	dubaj	PROPN;NOM;MASC;SG;3	N;DAT;MASC;SG
भूत	duh	भूत	duh		N;NOM;MASC;SG
भूत	duhov	भूत	duh		N;GEN;MASC;PL
भूत	duhovi	भूत	duh		N;NOM;MASC;PL
भूत	prikazni	भूत	prikazen		N;NOM;MASC;PL
भूत	duhove	भूत	duh		N;ACC;MASC;PL
चिंतन	meditacijo	चिंतन	meditacija	N;NOM;MASC;SG;3	N;ACC;FEM;SG
चिंतन	razglabljanja	चिंतन	razglabljanje	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
क्यूबा	kubo	क्यूबा	kuba	PROPN;NOM;MASC;SG;3	PROPN;ACC;FEM;SG
क्यूबा	kubi	क्यूबा	kubiti	PROPN;NOM;MASC;SG;3	N;DAT;FEM;SG
क्यूबा	kuba	क्यूबा	kub	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
संश्लेषण	sintezo	संश्लेषण	sinteza	N;NOM;MASC;SG;3	N;ACC;FEM;SG
मूत्र	urina	मूत्र	urin	N;NOM;MASC;SG;3	N;GEN;MASC;SG
मूत्र	urinom	मूत्र	urin	N;NOM;MASC;SG;3	N;DAT;MASC;PL
संस्कृतियों	kulture	संस्कृति	kultura	N;ACC;FEM;PL;3	N;NOM;FEM;PL
संस्कृतियों	kultur	संस्कृति	kultura	N;ACC;FEM;PL;3	N;GEN;FEM;PL
उपासना	čaščenje	उपासना	čaščenje	V;SG;FIN;ACT	N;NOM;NEUT;SG
उपासना	častijo	उपासना	častiti	V;SG;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN
अनंत	neskončne	अनंत	neskončen		ADJ;NOM;FEM;PL
अनंत	neskončno	अनंत	neskončno		ADV
अनंत	neskončna	अनंत	neskončen		ADJ;NOM;FEM;SG
अनंत	neskončen	अनंत	neskončen		ADJ;NOM;INDF;MASC;SG
अनंत	neskončnost	अनंत	neskončnost		N;NOM;FEM;SG
अनंत	neskončno	अनंत	neskončno		ADV
अनंत	neskončnosti	अनंत	neskončnost		N;GEN;FEM;SG
बालों	dlake	बाल	dlaka	N;ACC;MASC;PL;3	N;NOM;FEM;PL
बालों	lasje	बाल	las	N;ACC;MASC;PL;3	N;NOM;MASC;PL
बालों	dlake	बाल	dlaka	N;ACC;MASC;PL;3	N;NOM;FEM;PL
कुत्ते	psov	कुत्ता	pes	N;NOM;MASC;SG;3	N;GEN;MASC;PL
कुत्ते	psi	कुत्ता	pes	N;NOM;MASC;SG;3	N;NOM;MASC;PL
कुत्ते	psih	कुत्ता	pes	N;NOM;MASC;SG;3	N;NOM;FEM;PL
कुत्ते	pse	कुत्ता	pes	N;NOM;MASC;SG;3	N;NOM;MASC;PL
कुत्ते	dog	कुत्ता	dog	N;NOM;MASC;SG;3	
कुत्ते	pasja	कुत्ता	pasja	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
कुत्ते	pasji	कुत्ता	pasja	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
मुँह	ust	मुँह	usta	N;NOM;MASC;SG;3	N;GEN;NEUT;PL
मुँह	usta	मुँह	usta	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
कम्युनिस्ट	komunistično	कम्युनिस्ट	komunističen	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
कम्युनिस्ट	komunistična	कम्युनिस्ट	komunističen	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
