το	os	ο	o	DET;NOM;DEF;NEUT;SG	PRO;ACC;MASC;PL;3
συστηματική	sistémicas	συστηματικός	sistémico	ADJ;NOM;FEM;SG	N;FEM;PL
συστηματική	sistémica	συστηματικός	sistémico	ADJ;NOM;FEM;SG	N;FEM;SG
συστηματική	sistémicos	συστηματικός	sistémico	ADJ;NOM;FEM;SG	ADJ;MASC;PL
συστηματική	sistemáticas	συστηματικός	sistemático	ADJ;NOM;FEM;SG	N;FEM;PL
συστηματική	sistemáticos	συστηματικός	sistemático	ADJ;NOM;FEM;SG	ADJ;MASC;PL
συστηματική	sistemática	συστηματικός	sistemática	ADJ;NOM;FEM;SG	N;FEM;SG
ίχνη	traces	ίχνος	trace	N;NOM;NEUT;PL	N;MASC;SG
ίχνη	traço	ίχνος	traço	N;NOM;NEUT;PL	N;MASC;SG
ίχνη	trace	ίχνος	trace	N;NOM;NEUT;PL	V;SBJV;SG;3;PRS;FIN
διαστάσεων	dimensional	διάσταση	dimensional	N;GEN;FEM;PL	ADJ;MASC;SG
δημοσίευση	publicar	δημοσίευση	publicar	N;NOM;FEM;SG	V;NFIN
δημοσίευση	postando	δημοσίευση	postar	N;NOM;FEM;SG	V;V.MSDR
δημοσίευση	postar	δημοσίευση	postar	N;NOM;FEM;SG	V;NFIN
δημοσίευση	publicando	δημοσίευση	publicar	N;NOM;FEM;SG	V;V.MSDR
δημοσίευση	publicar	δημοσίευση	publicar	N;NOM;FEM;SG	V;NFIN
δημοσίευση	publique	δημοσίευση	publique	N;NOM;FEM;SG	V;SBJV;SG;3;PRS;FIN
δημοσίευση	publica	δημοσίευση	publicar	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
δημοσίευση	publicados	δημοσίευση	publicar	N;NOM;FEM;SG	V;MASC;PL;V.PTCP
δημοσίευση	publicou	δημοσίευση	publicar	N;NOM;FEM;SG	V;IND;SG;3;PST;FIN
δημοσίευση	publicadas	δημοσίευση	publicar	N;NOM;FEM;SG	V;FEM;PL;V.PTCP
δημοσίευση	publicada	δημοσίευση	publicar	N;NOM;FEM;SG	V;FEM;SG;V.PTCP
δημοσίευση	publicado	δημοσίευση	publicar	N;NOM;FEM;SG	V;MASC;SG;V.PTCP
δημοσίευση	postar	δημοσίευση	postar	N;NOM;FEM;SG	V;NFIN
δημοσίευση	publicar	δημοσίευση	publicar	N;NOM;FEM;SG	V;NFIN
παρέμειναν	permaneceu	παραμένω	permanecer	V;PFV;IND;PL;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
βιβλιοθήκες	bibliotecas	βιβλιοθήκη	biblioteca	V;PFV;IND;PL;2;PST;FIN;PASS	N;FEM;PL
ευρύ	ampla	ευρύς	ampla	N;NOM;NEUT;SG	ADJ;FEM;SG
ευρύ	amplo	ευρύς	amplo	N;NOM;NEUT;SG	ADJ;MASC;SG
κόμικς	quadrinhos	κόμικός	quadrinho	ADV	N;MASC;PL
κόμικς	comics	κόμικός	comics	ADV	N;MASC;SG
κόμικς	gibis	κόμικός	gibil	ADV	N;MASC;PL
γνώσεις	conhecimento	γνώση	conhecimento	N;NOM;FEM;PL	N;MASC;SG
απαραίτητη	necessários	απαραίτητος	necessário	ADJ;NOM;FEM;SG	ADJ;MASC;PL
απαραίτητη	necessario	απαραίτητος	necessario	ADJ;NOM;FEM;SG	N;MASC;SG
επιθετικός	agressividade	επιθετικός	agressividade	ADJ;NOM;MASC;SG	N;FEM;SG
επιθετικός	agressivas	επιθετικός	agressivo	ADJ;NOM;MASC;SG	ADJ;FEM;PL
επιθετικός	agressivos	επιθετικός	agressivo	ADJ;NOM;MASC;SG	ADJ;MASC;PL
επιθετικός	atacante	επιθετικός	atacante	ADJ;NOM;MASC;SG	N;MASC;SG
επιθετικός	striker	επιθετικός	striker	ADJ;NOM;MASC;SG	N;MASC;SG
πετρούπολη	petersburgo	πετρούπολη	petersburgo	PROPN;ACC;FEM;SG	N;MASC;SG
πνευματικά	espiritual	πνευματικά	espiritual	ADV	ADJ;MASC;SG
πνευματικά	espirituais	πνευματικά	espiritual	ADV	ADJ;MASC;PL
λαρούς	larousse	λαρός	larousse	PROPN;NOM;MASC;SG	N;FEM;SG
άλμα	saltar	άλμα	saltar	N;NOM;NEUT;SG	V;NFIN
άλμα	pula	άλμα	pular	N;NOM;NEUT;SG	V;IND;SG;3;PRS;FIN
άλμα	pular	άλμα	pular	N;NOM;NEUT;SG	V;NFIN
πολιτικούς	políticos	πολιτικός	político	ADJ;NOM;MASC;PL	N;MASC;PL
πολιτικούς	politicos	πολιτικός	politico	ADJ;NOM;MASC;PL	N;MASC;PL
θέα	ver	θέα	ver	N;NOM;FEM;SG	V;NFIN
θέα	visualizar	θέα	visualizar	N;NOM;FEM;SG	V;NFIN
ουκρανίας	ucrânia	ουκρανία	ucrânia	PROPN;GEN;FEM;SG	N;FEM;SG
ουκρανίας	ucraniana	ουκρανία	ucraniano	PROPN;GEN;FEM;SG	N;FEM;SG
ουκρανίας	ucranianos	ουκρανία	ucraniano	PROPN;GEN;FEM;SG	N;MASC;PL
ουκρανίας	ucraniano	ουκρανία	ucraniano	PROPN;GEN;FEM;SG	N;MASC;SG
ηθική	ética	ηθικός	ética	ADJ;NOM;FEM;SG	N;FEM;SG
ηθική	ética	ηθικός	ética	ADJ;NOM;FEM;SG	N;FEM;SG
ηθική	morais	ηθικός	moral	ADJ;NOM;FEM;SG	N;MASC;PL
ηθική	moral	ηθικός	moral	ADJ;NOM;FEM;SG	N;FEM;SG
ηθική	moral	ηθικός	moral	ADJ;NOM;FEM;SG	N;FEM;SG
ηθική	moral	ηθικός	moral	ADJ;NOM;FEM;SG	N;FEM;SG
ηθική	moralidade	ηθικός	moralidade	ADJ;NOM;FEM;SG	N;FEM;SG
ξύλο	madeiras	ξύλο	madeira	N;NOM;NEUT;SG	N;FEM;PL
ανάγνωση	lidos	ανάγνωση	ler	N;NOM;FEM;SG	V;MASC;PL;V.PTCP
ανάγνωση	ler	ανάγνωση	ler	N;NOM;FEM;SG	V;NFIN
ανάγνωση	leia	ανάγνωση	ler	N;NOM;FEM;SG	V;SBJV;SG;3;PRS;FIN
ανάγνωση	lê	ανάγνωση	ler	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
ανάγνωση	ler	ανάγνωση	ler	N;NOM;FEM;SG	V;NFIN
ανάγνωση	lendo	ανάγνωση	ler	N;NOM;FEM;SG	V;V.MSDR
αλή	ali	αλή	ali	PROPN;NOM;MASC;SG	ADV
μαθηματικός	matemático	μαθηματικός	matemático	ADJ;NOM;MASC;SG	N;MASC;SG
λίβερπουλ	liverpool	λίβερπουλ	liverpool	PROPN;NOM;FEM;SG	N;MASC;SG
μιλάνο	milão	μιλάνος	milão	PROPN;NOM;NEUT;SG	N;MASC;SG
μιλάνο	milan	μιλάνος	milan	PROPN;NOM;NEUT;SG	N;MASC;SG
μιλάνο	milão	μιλάνος	milão	PROPN;NOM;NEUT;SG	N;MASC;SG
μιλάνο	milano	μιλάνος	milano	PROPN;NOM;NEUT;SG	N;MASC;SG
νεότερη	younger	νέος	younger	ADJ;NOM;CMPR;FEM;SG	N;MASC;SG
λακωνίας	lacônia	λακωνία	lacônia	PROPN;GEN;FEM;SG	N;FEM;SG
εξελίχθηκε	evoluíram	εκελίχνω	evoluir	V;PFV;IND;SG;3;PST;FIN;PASS	V;IND;PL;3;FIN
λάρισα	larisa	λάρισα	larisar	PROPN;ACC;FEM;SG	N;FEM;SG
λάρισα	larissa	λάρισα	larissa	PROPN;ACC;FEM;SG	N;FEM;SG
αργά	atrasada	αργά	atrasar	ADV	V;FEM;SG;V.PTCP
αργά	tardia	αργά	tardio	ADV	N;FEM;SG
αργά	atrasados	αργά	atrasar	ADV	V;MASC;PL;V.PTCP
αργά	atrasado	αργά	atrasar	ADV	V;MASC;SG;V.PTCP
αργά	slow	αργά	slow	ADV	N;MASC;SG
αργά	lento	αργά	lento	ADV	ADJ;MASC;SG
αργά	lenta	αργά	lento	ADV	ADJ;FEM;SG
τοπίο	paisagens	τοπίο	paisagem	N;NOM;NEUT;SG	N;FEM;PL
τοπίο	paisagens	τοπίο	paisagem	N;NOM;NEUT;SG	N;FEM;PL
επιτέθηκε	atacaram	επιτίθεμαι	atacar	V;PFV;IND;SG;3;PST;FIN;PASS	V;IND;PL;3;FIN
επιτέθηκε	atacados	επιτίθεμαι	atacar	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;PL;V.PTCP
ιερός	sagrado	ιερός	sagrado	ADJ;NOM;MASC;SG	N;MASC;SG
ιερός	sagrados	ιερός	sagrado	ADJ;NOM;MASC;SG	N;MASC;PL
ιερός	sagrada	ιερός	sagrada	ADJ;NOM;MASC;SG	N;FEM;SG
όγκο	volumes	όγκος	volume	N;ACC;MASC;SG	N;MASC;PL
ξεχωριστά	separado	ξεχωριστώ	separar	ADV	V;MASC;SG;V.PTCP
ξεχωριστά	separe	ξεχωριστώ	separe	ADV	V;SBJV;SG;3;PRS;FIN
ξεχωριστά	separado	ξεχωριστώ	separar	ADV	V;MASC;SG;V.PTCP
ξεχωριστά	separados	ξεχωριστώ	separar	ADV	V;MASC;PL;V.PTCP
ξεχωριστά	separar	ξεχωριστώ	separar	ADV	V;NFIN
μουσικούς	músicos	μουσικός	músico	ADJ;ACC;MASC;PL	N;MASC;PL
άγνωστη	desconhecida	άγνωστος	desconhecer	ADJ;NOM;FEM;SG	V;FEM;SG;V.PTCP
άγνωστη	desconhecidos	άγνωστος	desconhecer	ADJ;NOM;FEM;SG	V;MASC;PL;V.PTCP
άγνωστη	desconhecidas	άγνωστος	desconhecer	ADJ;NOM;FEM;SG	V;FEM;PL;V.PTCP
άγνωστη	desconhecido	άγνωστος	desconhecer	ADJ;NOM;FEM;SG	V;MASC;SG;V.PTCP
κατάλληλη	apropriada	κατάλληλος	apropriar	ADJ;NOM;FEM;SG	V;FEM;SG;V.PTCP
κατάλληλη	adequados	κατάλληλος	adequado	ADJ;NOM;FEM;SG	ADJ;MASC;PL
κατάλληλη	apropriados	κατάλληλος	apropriado	ADJ;NOM;FEM;SG	V;MASC;PL;V.PTCP
κατάλληλη	apropriado	κατάλληλος	apropriar	ADJ;NOM;FEM;SG	V;MASC;SG;V.PTCP
κατάλληλη	adequados	κατάλληλος	adequado	ADJ;NOM;FEM;SG	ADJ;MASC;PL
εξώφυλλο	cubra	εξώφυλλο	cubrar	N;NOM;NEUT;SG	V;SBJV;SG;3;PRS;FIN
εξώφυλλο	cobrir	εξώφυλλο	cobrir	N;NOM;NEUT;SG	V;NFIN
ναυτικών	marinheiros	ναυτικός	marinheiro	ADJ;GEN;NEUT;PL	N;MASC;PL
ναυτικών	marítimos	ναυτικός	marítimo	ADJ;GEN;NEUT;PL	N;MASC;PL
ανθρώπινο	humanas	ανθρώπινος	humano	ADJ;NOM;NEUT;SG	N;FEM;PL
ανθρώπινο	human	ανθρώπινος	human	ADJ;NOM;NEUT;SG	N;MASC;SG
τζόουνς	jones	τζόουνς	jone	PROPN;NOM;MASC;SG	N;MASC;SG
αντόνιο	antónio	αντόνιο	antónio		N;MASC;SG
αντόνιο	antônio	αντόνιο	antônio		N;MASC;SG
αντόνιο	antonio	αντόνιο	antonio		N;MASC;SG
σουδάν	sudão	σουδάν	sudão		N;MASC;SG
θρησκευτικές	religiosa	θρησκευτικός	religioso	ADJ;NOM;FEM;PL	ADJ;FEM;SG
θρησκευτικές	religioso	θρησκευτικός	religioso	ADJ;NOM;FEM;PL	ADJ;MASC;SG
λατρεία	cultos	λατρεία	culto	N;NOM;FEM;SG	N;MASC;PL
λατρεία	adorar	λατρεία	adorar	N;NOM;FEM;SG	V;NFIN
σύμβαση	convenções	σύμβαση	convenção	N;ACC;FEM;SG	N;FEM;PL
κακή	bad	κακός	bad	ADJ;NOM;FEM;SG	N;MASC;SG
ιταλικό	italiana	ιταλικός	italiana	ADJ;NOM;NEUT;SG	N;FEM;SG
ιταλικό	italianos	ιταλικός	italiano	ADJ;NOM;NEUT;SG	N;MASC;PL
ιταλικό	italiano	ιταλικός	italiano	ADJ;NOM;NEUT;SG	N;MASC;SG
τυχαία	random	τυχαίος	randar	ADV	N;MASC;SG
τυχαία	aleatório	τυχαίος	aleatório	ADV	N;MASC;SG
τυχαία	aleatória	τυχαίος	aleatório	ADV	ADJ;FEM;SG
τυχαία	aleatórios	τυχαίος	aleatório	ADV	ADJ;MASC;PL
τυχαία	acidentais	τυχαίος	acidental	ADV	ADJ;MASC;PL
τυχαία	acidental	τυχαίος	acidental	ADV	ADJ;MASC;SG
πετρελαίου	óleos	πετρέλαιο	óleos	N;GEN;NEUT;SG	N;MASC;PL
ντράμερ	baterista	ντράμερ	baterista		N;MASC;SG
μέτρησης	medir	μέτρηση	medir	N;GEN;FEM;SG	V;NFIN
μέτρησης	medindo	μέτρηση	medir	N;GEN;FEM;SG	V;V.MSDR
σικελίας	sicilia	σικελία	sicilia	PROPN;GEN;FEM;SG	N;MASC;SG
σικελίας	sicília	σικελία	sicília	PROPN;GEN;FEM;SG	N;FEM;SG
συνεχείς	contínua	συνεχής	contínuo	ADJ;NOM;FEM;PL	N;FEM;SG
συνεχείς	contínuo	συνεχής	contínuo	ADJ;NOM;FEM;PL	N;MASC;SG
συνεχείς	contínuos	συνεχής	contínuo	ADJ;NOM;FEM;PL	N;MASC;PL
επισκέπτες	convidadas	επισκέπτης	convidar	N;NOM;MASC;PL	V;FEM;PL;V.PTCP
συσκευή	aparelhos	συσκευή	aparelho	N;NOM;FEM;SG	N;MASC;PL
κονγκό	congo	κονγκός	congo	PROPN;NOM;NEUT;SG	N;MASC;SG
κονγκό	congolês	κονγκός	congolês	PROPN;NOM;NEUT;SG	N;MASC;SG
πρόποδες	sopé	πρόποδος	sopé	N;NOM;MASC;PL	N;MASC;SG
εβραίοι	judaica	εβραίος	judaica	ADJ;NOM;MASC;PL	N;FEM;SG
εβραίοι	judeus	εβραίος	judeu	ADJ;NOM;MASC;PL	N;MASC;PL
εβραίοι	judia	εβραίος	judia	ADJ;NOM;MASC;PL	N;FEM;SG
εβραίοι	judeu	εβραίος	judeu	ADJ;NOM;MASC;PL	N;MASC;SG
εβραίοι	judaico	εβραίος	judaico	ADJ;NOM;MASC;PL	N;MASC;SG
εβραίοι	judeus	εβραίος	judeu	ADJ;NOM;MASC;PL	N;MASC;PL
κατάρρευση	colapsar	κατάρρευση	colapsar	N;ACC;FEM;SG	V;NFIN
εισήχθη	introduzidas	εισάγω	introduzir	V;PFV;IND;SG;3;PST;FIN;PASS	V;FEM;PL;V.PTCP
εισήχθη	introduzidos	εισάγω	introduzir	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;PL;V.PTCP
εισήχθη	admitidos	εισάγω	admitir	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;PL;V.PTCP
επιχείρημα	argumentar	επιχείρημα	argumentar	N;NOM;NEUT;SG	V;NFIN
επιχείρημα	argumentos	επιχείρημα	argumento	N;NOM;NEUT;SG	N;MASC;PL
χρήσεις	usa	χρήση	usar	N;NOM;FEM;PL	V;IND;SG;3;PRS;FIN
μετατροπή	converteu	μετατροπή	converter	N;ACC;FEM;SG	V;IND;SG;3;PST;FIN
μετατροπή	convertido	μετατροπή	converter	N;ACC;FEM;SG	V;MASC;SG;V.PTCP
μετατροπή	convertida	μετατροπή	converter	N;ACC;FEM;SG	V;FEM;SG;V.PTCP
μετατροπή	convertidas	μετατροπή	converter	N;ACC;FEM;SG	V;FEM;PL;V.PTCP
μετατροπή	convertidos	μετατροπή	converter	N;ACC;FEM;SG	V;MASC;PL;V.PTCP
μετατροπή	converte	μετατροπή	convertar	N;ACC;FEM;SG	V;IND;SG;3;PRS;FIN
μετατροπή	converter	μετατροπή	converter	N;ACC;FEM;SG	V;NFIN
μετατροπή	converta	μετατροπή	convertar	N;ACC;FEM;SG	V;SBJV;SG;3;PRS;FIN
γεωγραφικά	geográficos	γεωγραφικά	geográfico	ADV	N;MASC;PL
γεωγραφικά	geográfico	γεωγραφικά	geográfico	ADV	ADJ;MASC;SG
γεωγραφικά	geográfica	γεωγραφικά	geográfico	ADV	ADJ;FEM;SG
γεωγραφικά	geográfico	γεωγραφικά	geográfico	ADV	ADJ;MASC;SG
γεωγραφικά	geográfica	γεωγραφικά	geográfico	ADV	ADJ;FEM;SG
επιχειρήματα	argumentação	επιχείρημα	argumentação	N;NOM;NEUT;PL	N;FEM;SG
άγνωστα	desconhecida	άγνωστος	desconhecer	ADV	V;FEM;SG;V.PTCP
άγνωστα	desconhecidos	άγνωστος	desconhecer	ADV	V;MASC;PL;V.PTCP
άγνωστα	desconhecidas	άγνωστος	desconhecer	ADV	V;FEM;PL;V.PTCP
άγνωστα	desconhecido	άγνωστος	desconhecer	ADV	V;MASC;SG;V.PTCP
εκπομπές	emissão	εκπομπή	emissão	N;NOM;FEM;PL	N;FEM;SG
νεαρός	jovem	νεαρός	jovem	N;NOM;MASC;SG	ADJ;MASC;SG
νεαρός	jovens	νεαρός	jovem	N;NOM;MASC;SG	N;MASC;PL
πολεμικές	marcial	πολεμικός	marcial	ADJ;NOM;FEM;PL	N;MASC;SG
πολεμικές	marciais	πολεμικός	marcial	ADJ;NOM;FEM;PL	N;MASC;PL
γραμμένο	escritas	γραμμένος	escrever	V;PFV;NOM;NEUT;SG;V.PTCP;PASS	V;FEM;PL;V.PTCP
γραμμένο	escritos	γραμμένος	escrever	V;PFV;NOM;NEUT;SG;V.PTCP;PASS	V;MASC;PL;V.PTCP
γραμμένο	escrita	γραμμένος	escrita	V;PFV;NOM;NEUT;SG;V.PTCP;PASS	N;FEM;SG
πέτρα	pedras	πέτρο	pedra	N;NOM;FEM;SG	N;FEM;PL
δολοφονήθηκε	assassinadas	δολοφονώ	assassinar	V;PFV;IND;SG;3;PST;FIN;PASS	V;FEM;PL;V.PTCP
δολοφονήθηκε	assassinados	δολοφονώ	assassinar	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;PL;V.PTCP
αναγνωρίστηκε	reconhecidos	αναγνωρίζω	reconhecer	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;PL;V.PTCP
αναγνωρίστηκε	identificadas	αναγνωρίζω	identificar	V;PFV;IND;SG;3;PST;FIN;PASS	V;FEM;PL;V.PTCP
αναγνωρίστηκε	identificados	αναγνωρίζω	identificar	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;PL;V.PTCP
αναγνωρίστηκε	reconheci	αναγνωρίζω	reconhecer	V;PFV;IND;SG;3;PST;FIN;PASS	V;IND;SG;1;PST;FIN
αναγνωρίστηκε	reconhecidas	αναγνωρίζω	reconhecer	V;PFV;IND;SG;3;PST;FIN;PASS	V;FEM;PL;V.PTCP
αναγνωρίστηκε	reconhecidos	αναγνωρίζω	reconhecer	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;PL;V.PTCP
νίκο	nico	νίκος	nico	PROPN;ACC;MASC;SG	N;MASC;SG
νίκο	niko	νίκος	niko	PROPN;ACC;MASC;SG	N;MASC;SG
καταστήματα	comércio	κατάστημα	comércio	N;NOM;NEUT;PL	N;MASC;SG
μόνιμη	permanentes	μόνιμος	permanente	ADJ;NOM;FEM;SG	ADJ;MASC;PL
κροατία	croácia	κροατία	croácia	PROPN;ACC;FEM;SG	N;FEM;SG
παντρευτεί	qua	παντρεύω	qua	V;PFV;NFIN;PASS	N;MASC;SG
βασίλη	claus	βασίλη	claus	PROPN;NOM;MASC;SG	N;MASC;SG
τζων	john	τζων	john		PROPN;MASC;SG
τζων	joão	τζων	joão		N;MASC;SG
τζων	joao	τζων	joao		N;MASC;SG
αρχιτέκτονα	arquitetos	αρχιτέκτονας	arquiteto	N;ACC;MASC;SG	N;MASC;PL
ουίλιαμ	william	ουίλιαμ	williar		N;MASC;SG
ουίλιαμ	willian	ουίλιαμ	willian		N;MASC;SG
ουίλιαμ	guilherme	ουίλιαμ	guilherme		N;MASC;SG
ντελ	del	ντελ	del		N;MASC;SG
ντελ	dell	ντελ	dell		N;MASC;SG
αμυντικός	defensor	αμυντικός	defensor	ADJ;NOM;MASC;SG	N;MASC;SG
αμυντικός	defender	αμυντικός	defender	ADJ;NOM;MASC;SG	V;NFIN
αμυντικός	defensora	αμυντικός	defensora	ADJ;NOM;MASC;SG	N;FEM;SG
αμυντικός	zagueiro	αμυντικός	zagueiro	ADJ;NOM;MASC;SG	N;MASC;SG
αμυντικός	defensiva	αμυντικός	defensivo	ADJ;NOM;MASC;SG	N;FEM;SG
αμυντικός	defensivos	αμυντικός	defensivo	ADJ;NOM;MASC;SG	N;MASC;PL
ηχώ	ecos	ηχώ	eco	N;NOM;FEM;SG	N;MASC;PL
απόσπασμα	citar	απόσπασμα	citar	N;NOM;NEUT;SG	V;NFIN
απόσπασμα	extrair	απόσπασμα	extrair	N;NOM;NEUT;SG	V;NFIN
πέναλτι	penalidade	πέναλτι	penalidade		N;FEM;SG
πέναλτι	penalização	πέναλτι	penalização		N;FEM;SG
πέναλτι	sanção	πέναλτι	sanção		N;FEM;SG
πέναλτι	pena	πέναλτι	pena		N;FEM;SG
κατανόηση	entendendo	κατανόηση	entender	N;ACC;FEM;SG	V;V.MSDR
κατανόηση	compreender	κατανόηση	compreender	N;ACC;FEM;SG	V;NFIN
κατανόηση	compreendendo	κατανόηση	compreender	N;ACC;FEM;SG	V;V.MSDR
ναζί	nazista	ναζί	nazista	N;NOM;MASC;PL	N;MASC;SG
ναζί	nazi	ναζί	nazi	N;NOM;MASC;PL	N;MASC;SG
αστέρια	stars	αστέριος	star	N;NOM;NEUT;PL	N;MASC;SG
δημοσιεύτηκε	publicados	δημοσιεύω	publicar	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;PL;V.PTCP
δημοσιεύτηκε	publicadas	δημοσιεύω	publicar	V;PFV;IND;SG;3;PST;FIN;PASS	V;FEM;PL;V.PTCP
δημοσιεύτηκε	postei	δημοσιεύω	postar	V;PFV;IND;SG;3;PST;FIN;PASS	V;IND;SG;1;PST;FIN
λευκή	brancos	λευκός	branco	ADJ;NOM;FEM;SG	N;MASC;PL
λευκή	branco	λευκός	branco	ADJ;NOM;FEM;SG	N;MASC;SG
λευκή	white	λευκός	white	ADJ;NOM;FEM;SG	N;MASC;SG
λευκή	brancas	λευκός	branco	ADJ;NOM;FEM;SG	N;FEM;PL
λευκή	branca	λευκός	branco	ADJ;NOM;FEM;SG	N;FEM;SG
λουί	luiz	λουί	luiz	PROPN;NOM;MASC;SG	PROPN;MASC;SG
λουί	luis	λουί	lui	PROPN;NOM;MASC;SG	N;MASC;SG
λουί	luís	λουί	luís	PROPN;NOM;MASC;SG	N;MASC;SG
λουί	louis	λουί	loul	PROPN;NOM;MASC;SG	N;MASC;SG
διαταγή	encomendar	διαταγή	encomendar	N;ACC;FEM;SG	V;NFIN
πολιτιστική	culturais	πολιτιστικός	cultural	ADJ;NOM;FEM;SG	ADJ;MASC;PL
περιορισμένη	limitados	περιορίζω	limitar	V;PFV;NOM;FEM;SG;V.PTCP;PASS	V;MASC;PL;V.PTCP
περιορισμένη	limitadas	περιορίζω	limitar	V;PFV;NOM;FEM;SG;V.PTCP;PASS	V;FEM;PL;V.PTCP
περιορισμένη	limited	περιορίζω	limited	V;PFV;NOM;FEM;SG;V.PTCP;PASS	N;MASC;SG
περιορισμένη	restrita	περιορίζω	restritar	V;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ;FEM;SG
περιορισμένη	restritos	περιορίζω	restrito	V;PFV;NOM;FEM;SG;V.PTCP;PASS	V;MASC;PL;V.PTCP
μετακίνηση	mover	μετακίνηση	mover	N;ACC;FEM;SG	V;NFIN
μετακίνηση	movendo	μετακίνηση	mover	N;ACC;FEM;SG	V;V.MSDR
μετακίνηση	movimentos	μετακίνηση	movimento	N;ACC;FEM;SG	N;MASC;PL
ουάσινγκτον	washington	ουάσινγκτον	washington		N;MASC;SG
πω	say	λέγω	say	V;PFV;IND;SG;1;FIN;ACT	N;MASC;SG
πω	digam	λέγω	dizer	V;PFV;IND;SG;1;FIN;ACT	V;SBJV;PL;3;PRS;FIN
πω	diga	λέγω	dizer	V;PFV;IND;SG;1;FIN;ACT	V;SBJV;SG;3;PRS;FIN
πω	diz	λέγω	dizer	V;PFV;IND;SG;1;FIN;ACT	V;IND;SG;3;PRS;FIN
φύλλο	folhas	φύλλο	folha	N;NOM;NEUT;SG	N;FEM;PL
ελληνιστική	helenística	ελληνιστικός	helenístico	ADJ;NOM;FEM;SG	N;FEM;SG
εφαρμόζεται	aplicados	εφαρμόζω	aplicar	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;MASC;PL;V.PTCP
εφαρμόζεται	aplicadas	εφαρμόζω	aplicar	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;FEM;PL;V.PTCP
εφαρμόζεται	aplicou	εφαρμόζω	aplicar	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;IND;SG;3;PST;FIN
εφαρμόζεται	aplicável	εφαρμόζω	aplicável	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ;MASC;SG
εφαρμόζεται	aplicáveis	εφαρμόζω	aplicável	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ;MASC;PL
μικρότερες	menor	μικρός	pequeno	ADJ;NOM;CMPR;FEM;PL	ADJ;MASC;SG
περιλαμβάνεται	incluídas	περιλαμβάνω	incluir	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;FEM;PL;V.PTCP
περιλαμβάνεται	incluídos	περιλαμβάνω	incluir	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;MASC;PL;V.PTCP
διαπραγματεύσεις	negociação	διαπραγμάτευση	negociação	N;NOM;FEM;PL	N;FEM;SG
διαπραγματεύσεις	negociando	διαπραγμάτευση	negociar	N;NOM;FEM;PL	V;V.MSDR
διαπραγματεύσεις	negociar	διαπραγμάτευση	negociar	N;NOM;FEM;PL	V;NFIN
διαπραγματεύσεις	negociação	διαπραγμάτευση	negociação	N;NOM;FEM;PL	N;FEM;SG
νεκροί	morta	νεκρός	morto	ADJ;NOM;MASC;PL	N;FEM;SG
νεκροί	morto	νεκρός	morrer	ADJ;NOM;MASC;PL	V;MASC;SG;V.PTCP
νεκροί	mortos	νεκρός	morto	ADJ;NOM;MASC;PL	N;MASC;PL
νεκροί	dead	νεκρός	dead	ADJ;NOM;MASC;PL	N;MASC;SG
μεσογείου	mediterrânico	μεσόγειος	mediterrânico	PROPN;GEN;FEM;SG	ADJ;MASC;SG
μεσογείου	mediterrâneo	μεσόγειος	mediterrâneo	PROPN;GEN;FEM;SG	ADJ;MASC;SG
μεσογείου	mediterrânica	μεσόγειος	mediterrânica	PROPN;GEN;FEM;SG	N;FEM;SG
ψηλά	high	ψηλώ	high	ADV	N;MASC;SG
ψηλά	altos	ψηλώ	alto	ADV	N;MASC;PL
ψηλά	altas	ψηλώ	alto	ADV	ADJ;FEM;PL
ψηλά	alta	ψηλώ	alta	ADV	N;FEM;SG
επικράτεια	territórios	επικράτεια	território	N;NOM;FEM;SG	N;MASC;PL
εξωτερικά	externas	εξωτερικά	externo	ADV	N;FEM;PL
εξωτερικά	externo	εξωτερικά	externo	ADV	ADJ;MASC;SG
εξωτερικά	externos	εξωτερικά	externo	ADV	ADJ;MASC;PL
εξωτερικά	externa	εξωτερικά	externo	ADV	N;FEM;SG
μύθο	mitos	μύθος	mito	N;NOM;MASC;SG	N;MASC;PL
επώνυμο	apelidos	επώνυμο	apelido	N;NOM;NEUT;SG	N;MASC;PL
κορέας	coréia	κορέας	coréia	PROPN;GEN;FEM;SG	N;MASC;SG
κορέας	korea	κορέας	korea	PROPN;GEN;FEM;SG	N;MASC;SG
