stregone	ساحر.	stregone	ساحر.	N;MASC;SG	PROPN;NOM;MASC;SG;3
medley	مخلوط	medley	مخلوط	N;MASC	ADJ
medley	آمیزہ	medley	آمیزہ	N;MASC	ADJ
calce	کھالوں	calce	کھال	N;FEM;SG	N;ACC;MASC;PL;3
pilot	جہازی	pilot	جہازی	N	PROPN;NOM;MASC;SG;3
pilot	ناخدا.	pilot	ناخدا.	N	PROPN;NOM;MASC;SG;3
le	وفاداری	il	وفاداری	DET;DEF;FEM;PL	ADJ
immensa	عظیم	immenso	عظیم	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
immensa	لامحدود.	immenso	لامحدود.	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
etico	اعلیٰ.	etico	اعلیٰ.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
etico	اخلاقیات	etico	اخلاقیات	ADJ;MASC;SG	N;NOM;MASC;PL;3
riservate	to	riservare	to	V;FEM;PL;PST;V.PTCP	
riservate	خاموش	riservare	خاموش	V;FEM;PL;PST;V.PTCP	ADJ
surf	کف.	surf	کف.	N;MASC	
mite	جوش	mita	جوش	ADJ;SG	N;NOM;MASC;SG;3
mite	سزا	mita	سزا	ADJ;SG	N;NOM;MASC;SG;3
mite	بردبار.	mita	بردبار.	ADJ;SG	PROPN;NOM;MASC;SG;3
mite	بیماری	mita	بیماری	ADJ;SG	N;NOM;FEM;SG;3
mite	دبّو	mita	دبّو	ADJ;SG	PROPN;NOM;MASC;SG;3
mite	ٹھس	mita	ٹھس	ADJ;SG	
mite	جوش	mita	جوش	ADJ;SG	N;NOM;MASC;SG;3
mite	سزا	mita	سزا	ADJ;SG	N;NOM;MASC;SG;3
mite	بردبار.	mita	بردبار.	ADJ;SG	PROPN;NOM;MASC;SG;3
mite	بیماری	mita	بیماری	ADJ;SG	N;NOM;FEM;SG;3
mite	دبّو	mita	دبّو	ADJ;SG	PROPN;NOM;MASC;SG;3
mite	ٹھس	mita	ٹھس	ADJ;SG	
vergogna	(	vergogna	(	N;FEM;SG	
vergogna	ندامت	vergogna	ندامت	N;FEM;SG	PROPN;NOM;MASC;SG;3
vergogna	(	vergogna	(	N;FEM;SG	
coop	محبس.	coop	محبس.	N;FEM;SG	PROPN;NOM;MASC;SG;3
diciannove	xix	diciannove	xix	NUM	
mortal	شدید	mortal	شدید	N;MASC;SG	ADJ
mortal	نفر	mortal	نفر	N;MASC;SG	
mortal	جانی	mortal	جا	N;MASC;SG	V;FEM;SG;NFIN;ACT
mortal	ممکن	mortal	ممکن	N;MASC;SG	ADJ
mortal	سخت	mortal	سخت	N;MASC;SG	ADJ
mortal	شدید	mortal	شدید	N;MASC;SG	ADJ
mortal	نفر	mortal	نفر	N;MASC;SG	
mortal	جانی	mortal	جا	N;MASC;SG	V;FEM;SG;NFIN;ACT
mortal	ممکن	mortal	ممکن	N;MASC;SG	ADJ
mortal	بشر	mortal	بشر	N;MASC;SG	PROPN;NOM;MASC;SG;3
mortal	سخت	mortal	سخت	N;MASC;SG	ADJ
fornitore	دینے	fornitore	دے	N;MASC;SG	V;NFIN;ACT
fornitore	کفیل.	fornitore	کفیل.	N;MASC;SG	PROPN;NOM;MASC;SG;3
montare	آراستہ	montare	آراستہ	V;NFIN	ADJ
montare	منصب	montare	منصب	V;NFIN	N;NOM;MASC;SG;3
etnici	کفّار.	etnico	کفّار.	N;MASC;PL	PROPN;NOM;MASC;SG;3
lone	خالی	lona	خالی	N	ADJ
lone	سونی	lona	سو	N	PROPN;NOM;MASC;SG;3
merce	تجارتی	merce	تجارتی	N;FEM;SG	ADJ
magistrale	ماہرانہ	magistrale	ماہرانہ	N;MASC;SG	ADJ
magistrale	اُستادانہ.	magistrale	اُستادانہ.	N;MASC;SG	ADJ
aggregati	مجتمع	aggregare	مجتمع	V;MASC;PL;PST;V.PTCP	ADJ
aggregati	روڑی	aggregare	روڑی	V;MASC;PL;PST;V.PTCP	PROPN;NOM;MASC;SG;3
aggregati	شامل	aggregare	شامل	V;MASC;PL;PST;V.PTCP	ADJ
allegra	آمادہ	allegro	آمادہ	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
conformità	to	conformità	to	N;FEM	
melody	نغمگی.	melody	نغمگی.	N	PROPN;NOM;MASC;SG;3
melody	موسیقیت.	melody	موسیقیت.	N	PROPN;NOM;MASC;SG;3
interagire	تعامل.	interagire	تعامل.	V;NFIN	
riempire	کافی	riempire	کافی	V;NFIN	ADJ
riempire	کافی	riempire	کافی	V;NFIN	ADJ
utilizzabili	بکارآمد.	utilizzabile	بکارآمد.	ADJ;PL	PROPN;NOM;MASC;SG;3
ordinare	آیونک	ordinare	آیونک	V;NFIN	PROPN;NOM;MASC;SG;3
ordinare	کارنتھین	ordinare	کارنتھین	V;NFIN	PROPN;NOM;MASC;SG;3
ordinare	قسم	ordinare	قسم	V;NFIN	N;NOM;MASC;SG;3
ordinare	(	ordinare	(	V;NFIN	
ordinare	فرمان	ordinare	فرمان	V;NFIN	N;NOM;MASC;SG;3
ordinare	آیونک	ordinare	آیونک	V;NFIN	PROPN;NOM;MASC;SG;3
ordinare	کارنتھین	ordinare	کارنتھین	V;NFIN	PROPN;NOM;MASC;SG;3
ordinare	ترتیب	ordinare	ترتیب	V;NFIN	N;NOM;FEM;SG;3
ordinare	قسم	ordinare	قسم	V;NFIN	N;NOM;MASC;SG;3
ordinare	(	ordinare	(	V;NFIN	
divano	تاننا.	divare	تاننا.	N;MASC;SG	
ergo	پس.	ergo	پس.	INTJ;POS	
ergo	لہٰذا	ergo	لہٰذا	INTJ;POS	CONJ
monopoli	احتکار	monopoli	احتکار	N;MASC;PL	N;NOM;MASC;SG;3
monopoli	اجارہ.	monopoli	اجارہ.	N;MASC;PL	PROPN;NOM;MASC;SG;3
coraggioso	جری.	coraggioso	جری.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
coraggioso	حریص.	coraggioso	حریص.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
coraggioso	للکارنا	coraggioso	للکارنا	ADJ;MASC;SG	V;SG;NFIN;ACT
coraggioso	جری	coraggioso	جری	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
coraggioso	بہادر	coraggioso	بہادر	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
coraggioso	للکارنا	coraggioso	للکارنا	ADJ;MASC;SG	V;SG;NFIN;ACT
conteggio	گننا	conteggio	گننا	N;MASC;SG	V;MASC;SG;ACT
intestino	قعر	intestino	قعر	N;MASC;SG	
intimo	(	intimo	(	ADJ;MASC;SG	
intimo	نجی	intimo	نجی	ADJ;MASC;SG	N;NOM;MASC;SG;3
intimo	خلقی.	intimo	خلقی.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
intimo	یگانگت.	intimo	یگانگت.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
intimo	(	intimo	(	ADJ;MASC;SG	
intimo	نجی	intimo	نجی	ADJ;MASC;SG	N;NOM;MASC;SG;3
intimo	خلقی.	intimo	خلقی.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
intimo	یگانگت.	intimo	یگانگت.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
bone	ہڈی	bone	ہڈی	N	ADJ
bone	فولاد.	bone	فولاد.	N	ADJ
bone	ہاڑ.	bone	ہاڑ.	N	
fiaba	مشہور	fiabare	مشہور	N;FEM;SG	ADJ
fiaba	روایتی.	fiabare	روایتی.	N;FEM;SG	PROPN;NOM;MASC;PL;3
fiaba	روایات.	fiabare	روایات.	N;FEM;SG	V;IPFV;MASC;SG;V.PTCP;ACT
tesa	کشیدہ.	teso	کشیدہ.	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
tesa	تنت	teso	تنت	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
tesa	تاننا	teso	تان	ADJ;FEM;SG	V;SG;NFIN;ACT
muti	بندشہ	muto	بندشہ	N;MASC;PL	PROPN;NOM;MASC;SG;3
muti	بندشہ	muto	بندشہ	N;MASC;PL	PROPN;NOM;MASC;SG;3
muti	خاموش	muto	خاموش	N;MASC;PL	ADJ
output	پیداوار.	output	پیداوار.	N;MASC	PROPN;NOM;MASC;SG;3
output	جواب.	output	جواب.	N;MASC	PROPN;NOM;MASC;SG;3
otturatore	مانع.	otturatore	مانع.	N;MASC;SG	PROPN;NOM;MASC;SG;3
confermati	محکم	confermare	محکم	V;MASC;PL;PST;V.PTCP	PROPN;NOM;MASC;SG;3
confermati	عادی	confermare	عادی	V;MASC;PL;PST;V.PTCP	ADJ
confermati	پکا	confermare	پک	V;MASC;PL;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
schermata	تپش	schermare	تپش	N;FEM;SG	V;ACT
schermata	غلّے	schermare	غلّہ	N;FEM;SG	
schermata	پوشیدگی	schermare	پوشیدگی	N;FEM;SG	PROPN;NOM;MASC;SG;3
schermata	بھنگوں	schermare	بھنگ	N;FEM;SG	N;ACC;MASC;PL;3
schermata	ہوا	schermare	ہو	N;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
schermata	روک.	schermare	روک.	N;FEM;SG	
schermata	تپش	schermare	تپش	N;FEM;SG	V;ACT
schermata	غلّے	schermare	غلّہ	N;FEM;SG	
schermata	پوشیدگی	schermare	پوشیدگی	N;FEM;SG	PROPN;NOM;MASC;SG;3
schermata	بھنگوں	schermare	بھنگ	N;FEM;SG	N;ACC;MASC;PL;3
schermata	ہوا	schermare	ہو	N;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
schermata	روک.	schermare	روک.	N;FEM;SG	
rime	کہر.	rime	کہر.	N;FEM;PL	
rime	پالا.	rime	پالا.	N;FEM;PL	PROPN;NOM;MASC;SG;3
rime	دُھند	rime	دُھند	N;FEM;PL	PROPN;NOM;MASC;SG;3
rime	قافیہ.	rime	قافیہ.	N;FEM;PL	PROPN;NOM;MASC;SG;3
rime	(	rime	(	N;FEM;PL	
squali	خطرناک	squale	خطرناک	N;MASC;PL	ADJ
eleven	xi	eleven	xi	N	
eleven	xi	eleven	xi	N	
eleven	گیارہ	eleven	گیارہ	N	NUM
manipolazione	کارستانی	manipolazione	کارستانی	N;FEM;SG	ADJ;NOM
usura	off	usura	off	N;FEM;SG	
usura	اوڑھنا	usura	اوڑھنا	N;FEM;SG	V;MASC;SG;NFIN;ACT
usura	away	usura	away	N;FEM;SG	PROPN;NOM;MASC;SG;3
usura	(	usura	(	N;FEM;SG	
usura	well	usura	well	N;FEM;SG	PROPN;NOM;MASC;SG;3
usura	اجیرن	usura	اجیرن	N;FEM;SG	ADJ
usura	پہناوا	usura	پہناوا	N;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
usura	off	usura	off	N;FEM;SG	
usura	اوڑھنا	usura	اوڑھنا	N;FEM;SG	V;MASC;SG;NFIN;ACT
usura	away	usura	away	N;FEM;SG	PROPN;NOM;MASC;SG;3
usura	(	usura	(	N;FEM;SG	
usura	well	usura	well	N;FEM;SG	PROPN;NOM;MASC;SG;3
usura	اجیرن	usura	اجیرن	N;FEM;SG	ADJ
usura	پہناوا	usura	پہناوا	N;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
usura	پہننا	usura	پہن	N;FEM;SG	V;MASC;SG;NFIN;ACT
tutore	سرپرست.	tutore	سرپرست.	N;MASC;SG	PROPN;NOM;MASC;SG;3
siero	توڑ.	siero	توڑ.	N;MASC;SG	
siero	خوناب	siero	خوناب	N;MASC;SG	
rifiutare	فالتو	rifiutare	فالتو	V;NFIN	N;NOM;MASC;SG;3
rifiutare	ردّی.	rifiutare	ردّی.	V;NFIN	PROPN;NOM;MASC;SG;3
rifiutare	فالتو	rifiutare	فالتو	V;NFIN	N;NOM;MASC;SG;3
rifiutare	ردّی.	rifiutare	ردّی.	V;NFIN	PROPN;NOM;MASC;SG;3
rifiutare	پھوک	rifiutare	پھوک	V;NFIN	
biologici	بنیادی.	biologico	بنیادی.	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
biologici	(	biologico	(	ADJ;MASC;PL	
tata	دایہ	tato	دایہ	N;FEM;SG	PROPN;NOM;MASC;SG;3
dominare	آواز	dominare	آواز	V;NFIN	PROPN;NOM;MASC;SG;3
dominare	(	dominare	(	V;NFIN	
ninfa	حسینہ	ninfa	حسینہ	N;FEM;SG	PROPN;NOM;MASC;SG;3
importazione	مدّعا	importazione	مدّعا	N;FEM;SG	
attico	منڈپ.	attico	منڈپ.	N;MASC;SG	PROPN;NOM;MASC;SG;3
attico	مسقف.	attico	مسقف.	N;MASC;SG	PROPN;NOM;MASC;SG;3
attico	اٹاری.	attico	اٹاری.	N;MASC;SG	PROPN;NOM;MASC;SG;3
grafo	ترسیم.	grafo	ترسیم.	N;MASC;SG	PROPN;NOM;MASC;SG;3
lontananza	بُعد.	lontananza	بُعد.	N;FEM;SG	PROPN;NOM;MASC;SG;3
lontananza	دُوری	lontananza	دُوری	N;FEM;SG	PROPN;NOM;MASC;SG;3
lontananza	بُعد.	lontananza	بُعد.	N;FEM;SG	PROPN;NOM;MASC;SG;3
osseo	ہڈی	osseo	ہڈی	N;MASC;SG	ADJ
osseo	فولاد.	osseo	فولاد.	N;MASC;SG	ADJ
osseo	ہاڑ.	osseo	ہاڑ.	N;MASC;SG	
tributi	نذر	tributo	نذر	N;MASC;PL	N;NOM;MASC;SG;3
tributi	ستائش	tributo	ستائش	N;MASC;PL	ADJ
hat	دلانا.	hat	دلاناؤ	N	V;MASC;SG;NFIN;ACT
pavone	اترانے	pavona	اترانہ	N;FEM;SG	V;NFIN
loop	چھلّا	loop	چھل	N;MASC	PROPN;NOM;MASC;SG;3
loop	back	loop	back	N;MASC	
loop	گھیرنا.	loop	گھیرنا.	N;MASC	PROPN;NOM;MASC;SG;3
loop	کنڈا	loop	کنڈا	N;MASC	
loop	کنڈل.	loop	کنڈل.	N;MASC	PROPN;NOM;MASC;SG;3
densa	گنجان	densa	گنجان	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
densa	گاڑھا	densa	گاڑھا	ADJ;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
densa	گنجان	densa	گنجان	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
densa	گاڑھا	densa	گاڑھا	ADJ;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
densa	کثیف	densa	کثیف	ADJ;FEM;SG	N;NOM;MASC;SG;3
densa	گھنا	densa	گھنا	ADJ;FEM;SG	
disprezzo	استہزا	disprezzo	استہزا	N;MASC;SG	PROPN;NOM;MASC;SG;3
disprezzo	طنز.	disprezzo	طنز.	N;MASC;SG	PROPN;NOM;MASC;SG;3
disprezzo	ذلّت	disprezzo	ذلّت	N;MASC;SG	PROPN;NOM;MASC;SG;3
disprezzo	تنفر.	disprezzo	تنفر.	N;MASC;SG	PROPN;NOM;MASC;SG;3
sacca	پتلون	saccare	پتلون	N;FEM;SG	V;MASC;SG;ACT
sacca	تحقیرکرنا	saccare	تحقیرکرنا	N;FEM;SG	V;NFIN;ACT
sacca	پاجامہ	saccare	پاجامہ	N;FEM;SG	PROPN;NOM;MASC;SG;3
sacca	پھلانا	saccare	پھلانا	N;FEM;SG	V;MASC;SG;V.PTCP;ACT
ionico	روانی.	ionico	روانی.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
ionico	آیونی.	ionico	آیونی.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
asino	بیوقوف.	asino	بیوقوف.	N;MASC;SG	PROPN;NOM;MASC;SG;3
verbali	زبانی	verbale	زبانی	N;MASC;PL	ADJ
verbali	توہین	verbale	توہین	N;MASC;PL	N;NOM;MASC;SG;3
verbali	فعلیہ.	verbale	فعلیہ.	N;MASC;PL	PROPN;NOM;MASC;SG;3
verbali	باتونی	verbale	باتونی	N;MASC;PL	N;NOM;MASC;SG;3
verbali	فعلی	verbale	فعلی	N;MASC;PL	ADJ
trasparenza	زجاجیہ.	trasparenza	زجاجیہ.	N;FEM;SG	PROPN;NOM;MASC;SG;3
polmoni	شش.	polmone	شش.	N;MASC;PL	PROPN;NOM;MASC;SG;3
polmoni	پھیپھڑا	polmone	پھیپھڑا	N;MASC;PL	PROPN;NOM;MASC;SG;3
crimson	سرخ	crimson	سرخ	N	ADJ
rigorosamente	یقینا.	rigorosamente	یقینا.	ADV	
smile	روشن	smile	روشن	N;MASC	ADJ
smile	مسکرانا	smile	مسکرانا	N;MASC	PROPN;NOM;MASC;SG;3
smile	بہلانا.	smile	بہلانا.	N;MASC	
smile	out	smile	out	N;MASC	
smile	تبسّم	smile	تبسّم	N;MASC	PROPN;NOM;MASC;SG;3
smile	ہنسی.	smile	ہنسی.	N;MASC	PROPN;NOM;MASC;SG;3
ione	رواں.	iona	رواں.	N;MASC;SG	
ione	اِیون	iona	اِیون	N;MASC;SG	PROPN;NOM;MASC;SG;3
israeliani	اسرائیلی.	israeliano	اسرائیلی.	N;MASC;PL	ADJ;NOM
cinzia	ریتیلا.	cinziare	ریتیلا.	N;FEM;SG	PROPN;NOM;MASC;SG;3
large	مفصّل	large	مفصّل	N;MASC;SG	PROPN;NOM;MASC;SG;3
large	جامع.	large	جامع.	N;MASC;SG	PROPN;NOM;MASC;SG;3
large	بڑا	large	بڑا	N;MASC;SG	ADJ;NOM;MASC;SG
large	مفصّل	large	مفصّل	N;MASC;SG	PROPN;NOM;MASC;SG;3
large	جامع.	large	جامع.	N;MASC;SG	PROPN;NOM;MASC;SG;3
cospirazione	سازباز	cospirazione	سازباز	N;FEM;SG	PROPN;NOM;MASC;SG;3
ausiliari	کمک.	ausiliario	کمک.	N;MASC;PL	
ausiliari	اضافی.	ausiliario	اضافیؤ	N;MASC;PL	PROPN;NOM;MASC;SG;3
bellissimo	دلکش	bello	دلکش	ADJ;AB;MASC;SG	PROPN;NOM;MASC;SG;3
bellissimo	نفیس	bello	نفیس	ADJ;AB;MASC;SG	
bright	روشن	bright	روشن	N	ADJ
bright	ہوشیار	bright	ہوشیار	N	PROPN;NOM;MASC;SG;3
bright	فطین	bright	فطین	N	
bright	طباع	bright	طباع	N	
bright	ذہین	bright	ذہین	N	ADJ
bright	چونچال	bright	چونچال	N	PROPN;NOM;MASC;SG;3
bright	منور	bright	منور	N	PROPN;NOM;MASC;SG;3
timone	چلانا	timone	چلا	N;MASC;SG	V;MASC;SG;NFIN;ACT
sfidare	مقابلے	sfidare	مقابلہ	V;NFIN	N;NOM;MASC;SG;3
pomodoro	ٹماٹر.	pomodoro	ٹماٹر	N;MASC;SG	PROPN;NOM;MASC;SG;3
attitudine	لیاقت	attitudine	لیاقت	N;FEM;SG	PROPN;NOM;MASC;SG;3
sogna	واہمہ	sognare	واہمہ	V;IND;SG;3;PRS;FIN	
sogna	غفلت	sognare	غفلت	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG;3
sogna	آدرش	sognare	آدرش	V;IND;SG;3;PRS;FIN	
sogna	سرخوشی	sognare	سرخوشی	V;IND;SG;3;PRS;FIN	ADJ
reclutamento	بھرتی	reclutamento	بھر	N;MASC;SG	V;IPFV;FEM;SG;V.PTCP;ACT
diplomato	طیلسانی	diplomare	طیلسانی	V;MASC;SG;PST;V.PTCP	ADJ;NOM
accuratezza	درستی	accuratezza	درستی	N;FEM;SG	ADJ
regolatore	ضابط	regolatore	ضابط	N;MASC;SG	PROPN;NOM;MASC;SG;3
pen	playwright	pen	playwright	N	PROPN;NOM;MASC;SG;3
pen	essayist	pen	essayist	N	PROPN;NOM;MASC;SG;3
pen	editors	pen	editors	N	PROPN;NOM;MASC;SG;3
pen	بند	pen	بند	N	ADJ
pen	لکھنا	pen	لکھ	N	V;MASC;SG;NFIN;ACT
pen	قلم	pen	قلم	N	
pen	بند	pen	بند	N	ADJ
pen	لکھنا	pen	لکھ	N	V;MASC;SG;NFIN;ACT
vigna	تاکستان	vigna	تاکستان	N;FEM;SG	PROPN;NOM;MASC;SG;3
cameriere	بیرا.	cameriere	بیرا.	N;MASC;SG	
cameriere	سینی	cameriere	سینی	N;MASC;SG	ADJ;NOM
urla	شوخ	urlo	شوخ	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG;3
aquile	شکرہ	aquila	شکرہ	N;FEM;PL	PROPN;NOM;MASC;SG;3
aquile	عقاب	aquila	عقاب	N;FEM;PL	N;NOM;MASC;SG;3
mutazioni	تبدیلی	mutazione	تبدیلی	N;FEM;PL	N;NOM;FEM;SG;3
costruttiva	متبادر	costruttivo	متبادر	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
costruttiva	ترکیب	costruttivo	ترکیب	ADJ;FEM;SG	N;NOM;FEM;SG;3
negare	مکرنا	negare	مکر	V;NFIN	PROPN;NOM;MASC;SG;3
bancarotta	عاری	bancarotta	عاری	N;FEM;SG	ADJ
bancarotta	دوالہ	bancarotta	دوالہ	N;FEM;SG	PROPN;NOM;MASC;SG;3
vuoti	ویران	vuoto	ویران	N;MASC;PL	V;ACT
vuoti	تھوتھا	vuoto	تھوتھا	N;MASC;PL	V;PFV;FEM;SG;V.PTCP;ACT
vuoti	عبث	vuoto	عبث	N;MASC;PL	N;NOM;MASC;SG;3
vuoti	بھوکا	vuoto	بھوکا	N;MASC;PL	V;PFV;MASC;SG;V.PTCP;ACT
vuoti	نرا	vuoto	نرا	N;MASC;PL	V;MASC;SG;V.PTCP;ACT
vuoti	ویران	vuoto	ویران	N;MASC;PL	V;ACT
vuoti	تہی	vuoto	تہی	N;MASC;PL	
vuoti	تھوتھا	vuoto	تھوتھا	N;MASC;PL	V;PFV;FEM;SG;V.PTCP;ACT
vuoti	عبث	vuoto	عبث	N;MASC;PL	N;NOM;MASC;SG;3
vuoti	بھوکا	vuoto	بھوکا	N;MASC;PL	V;PFV;MASC;SG;V.PTCP;ACT
vuoti	نرا	vuoto	نرا	N;MASC;PL	V;MASC;SG;V.PTCP;ACT
vuoti	سُونا	vuoto	سُونا	N;MASC;PL	PROPN;NOM;MASC;SG;3
vuoti	خالی	vuoto	خالی	N;MASC;PL	ADJ
vuoti	کھوکھلا	vuoto	کھوکھلا	N;MASC;PL	V;PFV;MASC;SG;V.PTCP;ACT
succo	جوہر.	succo	جوہر.	N;MASC;SG	PROPN;NOM;MASC;SG;3
succo	جوہر.	succo	جوہر.	N;MASC;SG	PROPN;NOM;MASC;SG;3
cork	کاگ	cork	کاگ	N;MASC	
gentiluomo	مہذّب	gentiluomo	مہذّب	N;MASC;SG	PROPN;NOM;MASC;SG;3
cooperative	کاروبار	cooperativa	کاروبار	N;FEM;PL	N;NOM;MASC;SG;3
legna	ہیزم	legna	ہیزم	N;FEM;SG	
legna	بن.	legna	بن.	N;FEM;SG	
gala	کھیلوں	gala	کھیل	N;FEM;SG	N;ACC;MASC;PL;3
gala	تہوار.	gala	تہوار.	N;FEM;SG	
dodge	behind	dodere	behind	N;MASC	PROPN;NOM;MASC;SG;3
dodge	جھپکی.	dodere	جھپکی.	N;MASC	PROPN;NOM;MASC;SG;3
dodge	جھکائی	dodere	جھکائی	N;MASC	V;PFV;FEM;SG;V.PTCP;ACT
dodge	دُبکنا	dodere	دُبکنا	N;MASC	V;SG;NFIN;ACT
burro	خوشامد	burro	خوشامد	N;MASC;SG	PROPN;NOM;MASC;SG;3
burro	چاپلوسی.	burro	چاپلوسی.	N;MASC;SG	PROPN;NOM;MASC;SG;3
parassita	گھٹیا	parassito	گھٹیا	N;MASC;SG	ADJ
umile	رتبہ	umile	رتبہ	ADJ;SG	N;NOM;MASC;SG;3
umile	وقعت	umile	وقعت	ADJ;SG	N;NOM;MASC;SG;3
umile	گرانا	umile	گرانا	ADJ;SG	V;MASC;SG;NFIN;ACT
umile	حقیر	umile	حقیر	ADJ;SG	N;NOM;MASC;SG;3
umile	کِہین	umile	کِہین	ADJ;SG	
umile	عاجزی	umile	عاجزی	ADJ;SG	PROPN;NOM;MASC;SG;3
umile	تحقیر	umile	تحقیر	ADJ;SG	N;NOM;MASC;SG;3
umile	مسکین	umile	مسکین	ADJ;SG	PROPN;NOM;MASC;SG;3
umile	عاجز	umile	عاجز	ADJ;SG	N;NOM;MASC;SG;3
allargamento	مکبّر.	allargamento	مکبّر.	N;MASC;SG	PROPN;NOM;MASC;SG;3
insolita	نرالا.	insolito	نرالاؤ	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
insolita	امتیازی.	insolito	امتیازی.	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
insolita	استثنائی	insolito	استثنائی	ADJ;FEM;SG	N;NOM;MASC;SG;3
pooh	چھچّی.	pooh	چھچّی.	N;MASC;PL	PROPN;NOM;MASC;SG;3
piega	مڑنے	piegare	مڑ	N;FEM;SG	V;NFIN
piega	موڑنا	piegare	موڑ	N;FEM;SG	V;NFIN;ACT
piega	دہرا	piegare	دہرا	N;FEM;SG	V;MASC;SG;V.PTCP;ACT
piega	over	piegare	over	N;FEM;SG	PROPN;NOM;MASC;SG;3
navetta	نال	navetta	نال	N;FEM;SG	
reciproco	متلازم	reciproco	متلازم	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
reciproco	معکوس	reciproco	معکوس	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
reciproco	متلازم	reciproco	متلازم	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
reciproco	معکوس	reciproco	معکوس	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
abili	طاق.	abile	طاق.	ADJ;PL	PROPN;NOM;MASC;SG;3
clandestina	خُفیہ	clandestino	خُفیہ	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
sad	المناک	sad	المناک	N;MASC;SG	PROPN;NOM;MASC;SG;3
sad	شرمناک	sad	شرمناک	N;MASC;SG	ADJ
sad	مدّھم	sad	مدّھم	N;MASC;SG	PROPN;NOM;MASC;SG;3
sad	رنجیدہ	sad	رنجیدہ	N;MASC;SG	ADJ
sad	المناک	sad	المناک	N;MASC;SG	PROPN;NOM;MASC;SG;3
sad	شرمناک	sad	شرمناک	N;MASC;SG	ADJ
sad	مدّھم	sad	مدّھم	N;MASC;SG	PROPN;NOM;MASC;SG;3
deformazione	خرابی.	deformazione	خرابی.	N;FEM;SG	PROPN;NOM;MASC;SG;3
deformazione	جھوک.	deformazione	جھوک.	N;FEM;SG	
insolito	نرالا.	insolito	نرالاؤ	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
insolito	امتیازی.	insolito	امتیازی.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
insolito	استثنائی	insolito	استثنائی	ADJ;MASC;SG	N;NOM;MASC;SG;3
affascinato	دلدادہ	affascinare	دلدادہ	V;MASC;SG;PST;V.PTCP	ADJ
affascinato	مسحور	affascinare	مسحور	V;MASC;SG;PST;V.PTCP	ADJ
affascinato	دلدادہ	affascinare	دلدادہ	V;MASC;SG;PST;V.PTCP	ADJ
informare	خوبی	informare	خوبی	V;NFIN	N;NOM;MASC;SG;3
informare	of	informare	of	V;NFIN	
biciclette	بائیسکل	bicicletta	بائیسکل	N;FEM;PL	PROPN;NOM;MASC;SG;3
magra	پتلا	magro	پتلا	ADJ;FEM;SG	N;NOM;MASC;SG;3
magra	تنگ	magro	تنگ	ADJ;FEM;SG	V;ACT
magra	دُبلا	magro	دُبلا	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
magra	چمرخ.	magro	چمرخ.	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
magra	وزن	magro	وزن	ADJ;FEM;SG	N;NOM;MASC;SG;3
magra	عّیار.	magro	عّیار.	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
magra	back	magro	back	ADJ;FEM;SG	
magra	میلان	magro	میلان	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
magra	on	magro	on	ADJ;FEM;SG	
