der	на	der	на	DET;NOM;DEF;MASC;SG	ADP
einfachen	прости	einfach	прост	ADJ;ACC;SG	ADJ;INDF;PL
einfachen	простичко	einfach	простичка	ADJ;ACC;SG	ADV
veranstaltung	събитието	veranstaltung	събитие	ADJ	N;DEF;NEUT;SG
veranstaltung	събитие	veranstaltung	събитие	ADJ	N;INDF;NEUT;SG
hinten	гръб	hinten	гръб	ADV	N;INDF;MASC;SG
hinten	задна	hinten	заден	ADV	ADJ;INDF;FEM;SG
hinten	заден	hinten	заден	ADV	ADJ;INDF;MASC;SG
hinten	задни	hinten	заден	ADV	ADJ;INDF;PL
japanischer	японско	japanisch	японски	ADJ	ADV
japanischer	японци	japanisch	японец	ADJ	N;INDF;MASC;PL
japanischer	японец	japanisch	японец	ADJ	N;INDF;MASC;SG
niederlanden	нидерландия	niederlinden	нидерланд	ADJ	N;INDF;FEM;SG
niederlanden	холандия	niederlinden	холандия	ADJ	PROPN;INDF;FEM;SG
verletzt	контузен	verletzen	контузен	V;V.PTCP	N;INDF;MASC;SG
krankheit	болест	krankheit	болест	ADJ	N;INDF;FEM;SG
krankheit	заболяване	krankheit	заболяване	ADJ	N;INDF;NEUT;SG
krankheit	заболявания	krankheit	заболяване	ADJ	N;INDF;NEUT;PL
krankheit	болест	krankheit	болест	ADJ	N;INDF;FEM;SG
krankheit	болести	krankheit	болест	ADJ	N;INDF;FEM;PL
krankheit	заболяване	krankheit	заболяване	ADJ	N;INDF;NEUT;SG
krankheit	заболявания	krankheit	заболяване	ADJ	N;INDF;NEUT;PL
krankheit	болести	krankheit	болест	ADJ	N;INDF;FEM;PL
krankheit	заболявания	krankheit	заболяване	ADJ	N;INDF;NEUT;PL
krankheit	болестите	krankheit	болест	ADJ	N;DEF;FEM;PL
krankheit	болест	krankheit	болест	ADJ	N;INDF;FEM;SG
krankheit	болести	krankheit	болест	ADJ	N;INDF;FEM;PL
erweiterte	уголемени	erweitern	уголям	V;IND;SG;3;PST;FIN	N;INDF;MASC;PL
erweiterte	разширени	erweitern	разширя-(се)	V;IND;SG;3;PST;FIN	V;PFV;INDF;PL;V.PTCP;PASS
erweiterte	разширени	erweitern	разширя-(се)	V;IND;SG;3;PST;FIN	V;PFV;INDF;PL;V.PTCP;PASS
erweiterte	напреднали	erweitern	напредна	V;IND;SG;3;PST;FIN	V;PFV;INDF;PL;PST;V.PTCP;ACT
strecken	маршрутите	strecken	маршрут	V;NFIN	N;DEF;MASC;PL
strecken	пътища	strecken	път	V;NFIN	N;INDF;MASC;PL
strecken	маршрути	strecken	маршрут	V;NFIN	N;INDF;MASC;PL
strecken	разтягане	strecken	разтягане	V;NFIN	N;INDF;NEUT;SG
premierminister	прайм	premierminister	прайм	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
premierminister	премиер	premierminister	премиер	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
premierminister	премиера	premierminister	премиер	PROPN;NOM;MASC;SG	N;DEF;MASC;SG
unser	нашият	unser	наш	PRO;NOM;MASC;SG	DET;DEF;MASC;SG;1
unser	наша	unser	наш	PRO;NOM;MASC;SG	DET;INDF;FEM;SG;1
unser	нашия	unser	наш	PRO;NOM;MASC;SG	DET;DEF;MASC;SG;1
unser	нашата	unser	наш	PRO;NOM;MASC;SG	DET;DEF;FEM;SG;1
unser	нашите	unser	наш	PRO;NOM;MASC;SG	DET;DEF;PL;1
unser	наша	unser	наш	PRO;NOM;MASC;SG	DET;INDF;FEM;SG;1
unser	наше	unser	наш	PRO;NOM;MASC;SG	DET;INDF;NEUT;SG;1
unser	наши	unser	наш	PRO;NOM;MASC;SG	DET;INDF;PL;1
unser	нашата	unser	наш	PRO;NOM;MASC;SG	DET;DEF;FEM;SG;1
unser	нашите	unser	наш	PRO;NOM;MASC;SG	DET;DEF;PL;1
navy	флот	navy	флот	PROPN;NOM;SG	N;INDF;MASC;SG
jung	младо	jung	млад	ADJ	N;INDF;NEUT;SG
jung	йънг	jung	йънг	ADJ	PROPN;INDF;MASC;SG
jung	юнг	jung	юнг	ADJ	PROPN;INDF;FEM;SG
nationalpark	парк	nationalpark	парк	ADJ	N;INDF;MASC;SG
johnson	джонсън	johnson	джонсън	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
jesus	исус	jesus	исус	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
via	виа	via	видя-(се)		N;INDF;MASC;SG
via	via	via	via		ADJ
via	чрез	via	чрез		ADP
königsberg	кьонигсберг	königsberg	кьонигсберг	ADJ	N;INDF;MASC;SG
königsberg	калининград	königsberg	калининград	ADJ	N;INDF;MASC;SG
foundation	основи	foundation	основа	PROPN;NOM;SG	N;INDF;FEM;PL
foundation	фондация	foundation	фондация	PROPN;NOM;SG	N;INDF;FEM;SG
foundation	основа	foundation	основа	PROPN;NOM;SG	N;INDF;FEM;SG
flügel	пиано	flügeln	пиано	ADJ	ADV
flügel	пияно	flügeln	пиян	ADJ	ADV
flügel	крилата	flügeln	крило	ADJ	N;DEF;NEUT;PL
flügel	крила	flügeln	крило	ADJ	N;INDF;NEUT;PL
flügel	крилца	flügeln	крилца	ADJ	N;INDF;NEUT;PL
flügel	крилете	flügeln	криля	ADJ	N;DEF;MASC;PL
flügel	криле	flügeln	крило	ADJ	N;INDF;NEUT;PL
flügel	крилото	flügeln	крило	ADJ	N;DEF;NEUT;SG
flügel	крило	flügeln	крило	ADJ	N;INDF;NEUT;SG
flügel	уинг	flügeln	уинг	ADJ	PROPN;INDF;MASC;SG
rezeption	портиер	Rezeption	портиер		N;INDF;MASC;SG
rezeption	прием	Rezeption	прием		N;INDF;MASC;SG
rezeption	приемане	Rezeption	приемане		N;INDF;NEUT;SG
rezeption	рецепция	Rezeption	рецепция		N;INDF;FEM;SG
kämpfen	сражения	kämpfen	сражение	V;NFIN	N;INDF;NEUT;PL
kämpfen	битки	kämpfen	битка	V;NFIN	N;INDF;FEM;PL
kämpfen	битките	kämpfen	битка	V;NFIN	N;DEF;FEM;PL
kämpfen	боеве	kämpfen	боеве	V;NFIN	N;INDF;MASC;PL
kämpfen	сбивания	kämpfen	сбиване	V;NFIN	N;INDF;NEUT;PL
kämpfen	битки	kämpfen	битка	V;NFIN	N;INDF;FEM;PL
kämpfen	борба	kämpfen	борба	V;NFIN	N;INDF;FEM;SG
kämpfen	борба	kämpfen	борба	V;NFIN	N;INDF;FEM;SG
kämpfen	борба	kämpfen	борба	V;NFIN	N;INDF;FEM;SG
kämpfen	битка	kämpfen	битка	V;NFIN	N;INDF;FEM;SG
kämpfen	бой	kämpfen	бой	V;NFIN	N;INDF;MASC;SG
baum	баум	baum	баум		N;INDF;MASC;SG
baum	трий	baum	трий		N;INDF;FEM;SG
baum	дървото	baum	дърво		N;DEF;NEUT;SG
baum	дръвче	baum	дръвче		N;INDF;NEUT;SG
baum	дърво	baum	дърво		N;INDF;NEUT;SG
abhängig	зависимо	abhängig	зависимо	ADJ	ADV
abhängig	зависим	abhängig	завися	ADJ	N;INDF;MASC;SG
abhängig	пристрастена	abhängig	пристрастя	ADJ	V;PFV;INDF;FEM;SG;V.PTCP;PASS
abhängig	условно	abhängig	условно	ADJ	ADV
abhängig	пристрастена	abhängig	пристрастя	ADJ	V;PFV;INDF;FEM;SG;V.PTCP;PASS
abhängig	наркоман	abhängig	наркоман	ADJ	N;INDF;MASC;SG
abhängig	зависим	abhängig	завися	ADJ	N;INDF;MASC;SG
gewissen	съвестта	gewiß	съвест		N;DEF;FEM;SG
gewissen	съвест	gewiß	съвест		N;INDF;FEM;SG
steve	стив	steven	стив	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
steve	стийв	steven	стийв	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
ohio	охайо	ohio	оха	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
pariser	парижки	pariser	парижки	PROPN;NOM;SG	ADJ;INDF;MASC;SG
maximilian	максимилиан	maximilian	максимилиан	PROPN	N;INDF;MASC;SG
mario	марио	mario	марио	PROPN;NOM;SG	PROPN;INDF;MASC;SG
wahrheit	истина	wahrheit	истина		N;INDF;FEM;SG
wahrheit	истината	wahrheit	истина		N;DEF;FEM;SG
istanbul	истанбул	istanbul	истанбул	PROPN;NOM;NEUT;SG	N;INDF;MASC;SG
uwe	уве	uwe	уве	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
unabhängigkeit	независимост	unabhängigkeit	независимост	ADJ;SG	N;INDF;FEM;SG
gipfel	връх	gipfel	връх	ADV	N;INDF;MASC;SG
gipfel	пика	gipfel	пикам	ADV	N;INDF;FEM;SG
gipfel	пик	gipfel	пик	ADV	N;INDF;MASC;SG
gipfel	върхове	gipfel	връх	ADV	N;INDF;MASC;PL
pop	поп	pop	поп	PROPN;NOM;SG	N;INDF;MASC;SG
pop	pop	pop	pop	PROPN;NOM;SG	NUM;INDF;PL
beeinflusst	влияния	beeinflussen	влияние	V;V.PTCP	N;INDF;NEUT;PL
vermeiden	избягване	vermeiden	избягване	V;NFIN	N;INDF;NEUT;SG
vermeiden	избягване	vermeiden	избягване	V;NFIN	N;INDF;NEUT;SG
vermeiden	избягване	vermeiden	избягване	V;NFIN	N;INDF;NEUT;SG
vermeiden	предотвратяване	vermeiden	предотвратяване	V;NFIN	N;INDF;NEUT;SG
church	църква	church	църква	PROPN	N;INDF;FEM;SG
church	чърч	church	чърч	PROPN	PROPN;INDF;MASC;SG
church	църквата	church	църква	PROPN	N;DEF;FEM;SG
bauer	бауър	Bauer	бауър	ADJ	N;INDF;MASC;SG
bauer	бауер	Bauer	бауер	ADJ	PROPN;INDF;MASC;SG
bauer	селянин	Bauer	селянин	ADJ	N;INDF;MASC;SG
bauer	селянка	Bauer	селянка	ADJ	N;INDF;FEM;SG
bauer	пешка	Bauer	пешка	ADJ	N;INDF;FEM;SG
bauer	пионка	Bauer	пионка	ADJ	N;INDF;FEM;SG
aktive	активна	aktiv	активна	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
aktive	активно	aktiv	активно	ADJ;NOM;FEM;PL	ADV
aktive	активен	aktiv	активен	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
denkmalschutz	паметник	denkmalschutz	паметник	ADJ	N;INDF;MASC;SG
denkmalschutz	наследство	denkmalschutz	наследство	ADJ	N;INDF;NEUT;SG
rosa	розово	rosa	розово	PROPN	ADV
rosa	розов	rosa	розов	PROPN	ADJ;INDF;MASC;SG
rosa	розова	rosa	розова	PROPN	ADJ;INDF;FEM;SG
rosa	розови	rosa	розов	PROPN	ADJ;INDF;PL
rosa	роза	rosa	роза	PROPN	N;INDF;FEM;SG
rosa	роса	rosa	рос	PROPN	N;INDF;FEM;SG
bundes	федерален	bund	федерален		ADJ;INDF;MASC;SG
bundes	федерално	bund	федерален		ADV
bundes	федерална	bund	федерален		ADJ;INDF;FEM;SG
luxemburg	люксембург	luxemburg	люксембург	PROPN;NOM;NEUT;SG	N;INDF;MASC;SG
keinem	никой	kein	никой	PRO;ACC;INDF;MASC;SG;NEG	PRO;NOM;MASC;SG
extrem	изключително	extrem	изключително	ADJ	ADV
extrem	извънредно	extrem	извънредно	ADJ	ADV
extrem	крайно	extrem	крайно	ADJ	ADV
extrem	екстремно	extrem	екстремно	ADJ	ADV
ford	форд	ford	форд	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
begleitet	съпътстващи	begleiten	съпътствам	V;V.PTCP	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
begleitet	придружаващи	begleiten	придружавам	V;V.PTCP	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
viertel	четвърт	viertel	четвърт		ADJ;INDF;FEM;SG
viertel	тримесечие	viertel	тримесечие		N;INDF;NEUT;SG
viertel	махала	viertel	махала		N;INDF;FEM;SG
viertel	квартал	viertel	квартал		N;INDF;MASC;SG
viertel	квартала	viertel	квартал		N;DEF;MASC;SG
viertel	квартал	viertel	квартал		N;INDF;MASC;SG
viertel	съседство	viertel	съседство		N;INDF;NEUT;SG
viertel	квартали	viertel	квартал		N;INDF;MASC;PL
politischer	политически	politisch	политически	ADJ	ADV
politischer	политическо	politisch	политически	ADJ	ADV
unterricht	поуки	unterrichten	поука		N;INDF;FEM;PL
unterricht	уроци	unterrichten	урок		N;INDF;MASC;PL
unterricht	преподаването	unterrichten	преподаване		N;DEF;NEUT;SG
unterricht	преподаване	unterrichten	преподаване		N;INDF;NEUT;SG
unterricht	обучение	unterrichten	обучение		N;INDF;NEUT;SG
unterricht	образование	unterrichten	образование		N;INDF;NEUT;SG
unterricht	възпитание	unterrichten	възпитание		N;INDF;NEUT;SG
unterricht	инструкция	unterrichten	инструкция		N;INDF;FEM;SG
unterricht	инструкции	unterrichten	инструкция		N;INDF;FEM;PL
unterricht	класна	unterrichten	класен		ADJ;INDF;FEM;SG
victoria	виктория	victoria	виктория	PROPN;NOM;MASC;SG	N;INDF;FEM;SG
unklar	неясно	unklar	неясно	ADJ	ADV
unklar	несигурно	unklar	несигурно	ADJ	ADV
unklar	несигурен	unklar	несигурен	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
erworben	придобит	erwerben	придобит	V;V.PTCP	N;INDF;MASC;SG
erworben	заслужил	erwerben	заслужил	V;V.PTCP	N;INDF;MASC;SG
fakten	фактите	fakten	факт	V;NFIN	N;DEF;MASC;PL
fakten	факти	fakten	факт	V;NFIN	N;INDF;MASC;PL
trennung	раздяла	trennung	раздяла	V;SG;FIN	N;INDF;FEM;SG
trennung	скъсване	trennung	скъсване	V;SG;FIN	N;INDF;NEUT;SG
trennung	сегрегация	trennung	сегрегация	V;SG;FIN	N;INDF;FEM;SG
trennung	разделение	trennung	разделение	V;SG;FIN	N;INDF;NEUT;SG
trennung	раздяла	trennung	раздяла	V;SG;FIN	N;INDF;FEM;SG
trennung	отделяне	trennung	отделяне	V;SG;FIN	N;INDF;NEUT;SG
trennung	разделяне	trennung	разделяне	V;SG;FIN	N;INDF;NEUT;SG
budapest	будапеща	budapest	будапеща	PROPN;NOM;NEUT;SG	PROPN;INDF;FEM;SG
unterstützte	поддържани	unterstützen	поддържам	V;IND;SG;3;PST;FIN	V;IPFV;INDF;PL;V.PTCP;PASS
unterstützte	подпомагани	unterstützen	подпомагам	V;IND;SG;3;PST;FIN	V;IPFV;INDF;PL;V.PTCP;PASS
charlotte	шарлот	charlotte	шарлот	PROPN;NOM;SG	N;INDF;FEM;SG
charlotte	шарлота	charlotte	шарлота	PROPN;NOM;SG	N;INDF;FEM;SG
charlotte	шарлът	charlotte	шарл	PROPN;NOM;SG	N;DEF;MASC;SG
uss	uss	uss	uss	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
dirigent	диригент	dirigent	диригент	ADJ	N;INDF;MASC;SG
dirigent	проводник	dirigent	проводник	ADJ	N;INDF;MASC;SG
aufmerksam	замислен	aufmerksam	замисля-(се)	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
kommando	командоси	kommando	командос	N;NOM;NEUT;SG	N;INDF;MASC;PL
little	малка	little	малък	PROPN	ADJ;INDF;FEM;SG
little	малки	little	малък	PROPN	ADJ;INDF;PL
little	малък	little	малък	PROPN	ADJ;INDF;MASC;SG
little	литъл	little	литъл	PROPN	N;INDF;MASC;SG
little	малко	little	малко	PROPN	ADV;INDF;PL
vorteil	преимущества	vorteil	преимущество	ADV	N;INDF;NEUT;PL
vorteil	предимства	vorteil	предимство	ADV	N;INDF;NEUT;PL
vorteil	предимство	vorteil	предимство	ADV	N;INDF;NEUT;SG
vorteil	преимущество	vorteil	преимущество	ADV	N;INDF;NEUT;SG
schöne	прекрасна	schön	прекрасна	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
schöne	красива	schön	красив	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
schöne	прекрасен	schön	прекрасен	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
schöne	красиво	schön	красиво	ADJ;NOM;FEM;PL	ADV
schöne	прекрасен	schön	прекрасен	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
schöne	разкошно	schön	разкошно	ADJ;NOM;FEM;PL	ADV
schöne	великолепна	schön	великолепен	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
schöne	прекрасна	schön	прекрасна	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
schöne	прекрасен	schön	прекрасен	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
schöne	прекрасна	schön	прекрасна	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
schöne	хубав	schön	хубав	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
schöne	хубава	schön	хубав	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
schöne	хубаво	schön	хубаво	ADJ;NOM;FEM;PL	ADV
schöne	мило	schön	мило	ADJ;NOM;FEM;PL	ADV
güter	стоки	gut	стока		N;INDF;FEM;PL
güter	блага	gut	благам-(се)		N;INDF;FEM;SG
willen	пожелае	willen	пожелая	ADV	V;PFV;IND;SG;3;PST;FIN;ACT
expedition	експедиция	expedition	експедиция		N;INDF;FEM;SG
oldenburg	олденбург	oldenburg	олденбург	PROPN;NOM;NEUT;SG	N;INDF;MASC;SG
gerät	устройство	geraten	устройство	V;V.PTCP	N;INDF;NEUT;SG
gerät	устройството	geraten	устройство	V;V.PTCP	N;DEF;NEUT;SG
gerät	уред	geraten	уред	V;V.PTCP	N;INDF;MASC;SG
gerät	апарати	geraten	апарат	V;V.PTCP	N;INDF;MASC;PL
gerät	апарат	geraten	апарат	V;V.PTCP	N;INDF;MASC;SG
gerät	апаратура	geraten	апаратура	V;V.PTCP	N;INDF;FEM;SG
berge	планините	bergen	планини		N;DEF;FEM;PL
berge	планини	bergen	планина		N;INDF;FEM;PL
berge	хълмове	bergen	хълм		N;INDF;MASC;PL
berge	хилс	bergen	хилс		PROPN;INDF;MASC;SG
berge	планински	bergen	планински		ADJ;INDF;MASC;SG
berge	планина	bergen	планина		N;INDF;FEM;SG
berge	планината	bergen	планина		N;DEF;FEM;SG
grundlagen	основи	grundlagen	основа	V;NFIN	N;INDF;FEM;PL
grundlagen	основи	grundlagen	основа	V;NFIN	N;INDF;FEM;PL
grundlagen	фондации	grundlagen	фондация	V;NFIN	N;INDF;FEM;PL
grundlagen	основи	grundlagen	основа	V;NFIN	N;INDF;FEM;PL
grundlagen	основни	grundlagen	основен	V;NFIN	ADJ;INDF;PL
grundlagen	основи	grundlagen	основа	V;NFIN	N;INDF;FEM;PL
grundlagen	бази	grundlagen	база	V;NFIN	N;INDF;FEM;PL
wilson	уилсън	wilson	уилсън	PROPN;NOM;SG	PROPN;INDF;MASC;SG
einstellung	нагласи	einstellung	нагласа	N;NOM;FEM;SG	N;INDF;FEM;PL
varianten	вариант	variant	вариант	V;NFIN	N;INDF;MASC;SG
varianten	варианти	variant	вариант	V;NFIN	N;INDF;MASC;PL
varianten	вариации	variant	вариация	V;NFIN	N;INDF;FEM;PL
varianten	версиите	variant	версия	V;NFIN	N;DEF;FEM;PL
varianten	версии	variant	версия	V;NFIN	N;INDF;FEM;PL
bielefeld	билефелд	bielefeld	билефелд	PROPN	N;INDF;MASC;SG
altar	олтар	altar	олтар	ADV	N;INDF;MASC;SG
altar	олтара	altar	олтар	ADV	N;DEF;MASC;SG
tief	дълбоко	tief	дълбоко	ADJ	ADV
tief	дълбоко	tief	дълбоко	ADJ	ADV
runden	закръгляване	rund	закръгляване	ADJ	N;INDF;NEUT;SG
runden	обиколки	rund	обиколка	ADJ	N;INDF;FEM;PL
runden	кръгло	rund	кръг	ADJ	ADV
runden	кръгове	rund	кръг	ADJ	N;INDF;MASC;PL
runden	рунда	rund	рунд	ADJ	N;DEF;MASC;SG
runden	кръгла	rund	кръгъл	ADJ	N;INDF;FEM;SG
runden	рунд	rund	рунд	ADJ	N;INDF;MASC;SG
runden	кръгло	rund	кръг	ADJ	ADV
runden	кръг	rund	кръг	ADJ	N;INDF;MASC;SG
california	калифорния	california	калифорния	PROPN;NOM;SG	ADJ;DEF;MASC;SG
california	калифорнийски	california	калифорнийски	PROPN;NOM;SG	ADJ;INDF;MASC;SG
utc	utc	utc	utc		PROPN;INDF;MASC;SG
zeitschriften	списание	zeitschreifen	списание	V;NFIN	N;INDF;NEUT;SG
zeitschriften	списанията	zeitschreifen	списание	V;NFIN	N;DEF;NEUT;PL
zeitschriften	списания	zeitschreifen	списание	V;NFIN	N;INDF;NEUT;PL
zeitschriften	дневници	zeitschreifen	дневник	V;NFIN	N;INDF;MASC;PL
zeitschriften	дневниците	zeitschreifen	дневник	V;NFIN	N;DEF;MASC;PL
zeitschriften	списания	zeitschreifen	списание	V;NFIN	N;INDF;NEUT;PL
illinois	илинойс	illinois	илинойс	PROPN;NOM;SG	N;INDF;MASC;SG
chronik	дневника	chronik	дневник		N;DEF;MASC;SG
chronik	хрониките	chronik	хроника		N;DEF;FEM;PL
chronik	кроникъл	chronik	кроникъл		N;INDF;MASC;SG
fach	купе	fach	купе		N;INDF;NEUT;SG
fach	отделение	fach	отделение		N;INDF;NEUT;SG
reformation	реформацията	Reformation	реформация	PROPN	N;DEF;FEM;SG
aussehen	появата	aussehen	поява	V;NFIN	N;DEF;FEM;SG
aussehen	появяване	aussehen	появяване	V;NFIN	N;INDF;NEUT;SG
aussehen	поява	aussehen	поява	V;NFIN	N;INDF;FEM;SG
gefängnis	затвор	gefängnis	затвор	ADJ	N;INDF;MASC;SG
gefängnis	затвори	gefängnis	затворя-(се)	ADJ	V;PFV;IND;SG;3;PST;FIN;ACT
gefängnis	затворите	gefängnis	затвор	ADJ	N;DEF;MASC;PL
gefängnis	затвор	gefängnis	затвор	ADJ	N;INDF;MASC;SG
gefängnis	затворът	gefängnis	затвор	ADJ	N;DEF;MASC;SG
gefängnis	затвор	gefängnis	затвор	ADJ	N;INDF;MASC;SG
gefängnis	затвора	gefängnis	затвор	ADJ	N;DEF;MASC;SG
drama	драмата	drama	драма	ADJ	N;DEF;FEM;SG
drama	драма	drama	драма	ADJ	N;INDF;FEM;SG
marc	марк	marcen	марк	PROPN;NOM;SG	PROPN;INDF;MASC;SG
maschine	машинка	maschine	машинка	ADJ	N;INDF;FEM;SG
maschine	машина	maschine	машина	ADJ	N;INDF;FEM;SG
maschine	двигатели	maschine	двигател	ADJ	N;INDF;MASC;PL
maschine	двигател	maschine	двигател	ADJ	N;INDF;MASC;SG
maschine	машини	maschine	машина	ADJ	N;INDF;FEM;PL
maschine	машини	maschine	машина	ADJ	N;INDF;FEM;PL
manuel	мануел	manuel	мануел	PROPN;NOM;SG	PROPN;INDF;MASC;SG
highway	магистрала	highway	магистрала	PROPN	N;INDF;FEM;SG
highway	магистралата	highway	магистрала	PROPN	N;DEF;FEM;SG
renaissance	ренесанса	renaissanc	ренесанс	PROPN;NOM;SG	N;DEF;MASC;SG
renaissance	възраждане	renaissanc	възраждане	PROPN;NOM;SG	N;INDF;NEUT;SG
renaissance	ренесанс	renaissanc	ренесанс	PROPN;NOM;SG	N;INDF;MASC;SG
ahnung	предчувствие	ahnung	предчувствие		N;INDF;NEUT;SG
sturm	бури	sturm	буря		N;INDF;FEM;PL
sturm	бурите	sturm	буря		N;DEF;FEM;PL
sturm	буря	sturm	буря		N;INDF;FEM;SG
sturm	сторм	sturm	сторм		N;INDF;MASC;SG
sturm	бурята	sturm	буря		N;DEF;FEM;SG
umstritten	спорно	umstritten	спорен	ADJ	ADV
geschwindigkeit	темпо	geschwindigkeit	темпо	ADJ	N;INDF;NEUT;SG
geschwindigkeit	скорост	geschwindigkeit	скорост	ADJ	N;INDF;FEM;SG
geschwindigkeit	бързина	geschwindigkeit	бързина	ADJ	N;INDF;FEM;SG
geschwindigkeit	спийд	geschwindigkeit	спийд	ADJ	N;INDF;MASC;SG
geschwindigkeit	пасе	geschwindigkeit	пасе	ADJ	N;INDF;MASC;SG
geschwindigkeit	темпо	geschwindigkeit	темпо	ADJ	N;INDF;NEUT;SG
geschwindigkeit	темп	geschwindigkeit	темп	ADJ	N;INDF;MASC;SG
bob	боб	bob	боб	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
exemplare	образци	exemplar	образец	ADJ	N;INDF;MASC;PL
exemplare	екземпляри	exemplar	екземпляр	ADJ	N;INDF;MASC;PL
exemplare	копия	exemplar	копие	ADJ	N;INDF;NEUT;PL
jesu	исус	jesu	исус	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
ungarischen	унгарски	ungarisch	унгарски	ADJ;PL	ADJ;INDF;MASC;SG
beschränkt	ограничено	beschränken	огранича	ADJ;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
beschränkt	ограничена	beschränken	огранича-(се)	ADJ;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
beschränkt	ограничен	beschränken	огранича-(се)	ADJ;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
beschränkt	ограничени	beschränken	огранича-(се)	ADJ;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
beschränkt	ограничено	beschränken	огранича	ADJ;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
beschränkt	ограничена	beschränken	огранича-(се)	ADJ;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
beschränkt	limited	beschränken	limited	ADJ;V.PTCP	PROPN;INDF;MASC;SG
beschränkt	ограничен	beschränken	огранича-(се)	ADJ;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
beschränkt	ограничени	beschränken	огранича-(се)	ADJ;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
davis	дейвис	davis	дейвис	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
bernard	бернард	bernerd	бернард	PROPN	N;INDF;MASC;SG
bernard	бернар	bernerd	бернар	PROPN	PROPN;INDF;MASC;SG
bernard	бърнард	bernerd	бърнард	PROPN	N;INDF;MASC;SG
jerusalem	йерусалим	jerusal	йерусалим	ADJ;DAT;MASC;SG	N;INDF;MASC;SG
jerusalem	ерусалим	jerusal	ерусалим	ADJ;DAT;MASC;SG	N;INDF;MASC;SG
traditionellen	традиционно	traditionell	традиционен	ADJ;NOM;MASC;PL	ADV
traditionellen	традиционен	traditionell	традиционен	ADJ;NOM;MASC;PL	ADJ;INDF;MASC;SG
traditionellen	традиционна	traditionell	традиционен	ADJ;NOM;MASC;PL	ADJ;INDF;FEM;SG
naja	еее	naja	ее	ADV	INTJ
erfolgreichen	успешно	erfolgreich	успешно	ADJ	ADV
erfolgreichen	триумфално	erfolgreich	триумфален	ADJ	ADV
kino	филми	kino	филм	N;NOM;NEUT;SG	N;INDF;MASC;PL
kino	кината	kino	кино	N;NOM;NEUT;SG	N;DEF;NEUT;PL
kino	филмова	kino	филмов	N;NOM;NEUT;SG	ADJ;INDF;FEM;SG
übergang	преход	übergehen	преход	ADV	N;INDF;MASC;SG
beteiligte	дарители	beteiligen	дарител	V;IND;SG;3;PST;FIN	N;INDF;MASC;PL
beteiligte	участниците	beteiligen	участник	V;IND;SG;3;PST;FIN	N;DEF;MASC;PL
beteiligte	участници	beteiligen	участник	V;IND;SG;3;PST;FIN	N;INDF;MASC;PL
ball	топка	ball	топка	PROPN	N;INDF;FEM;SG
ball	бал	ball	бал	PROPN	N;INDF;MASC;SG
ball	бол	ball	бол	PROPN	N;INDF;MASC;SG
woiwodschaft	войводство	woiwodschaft	войводство	ADJ	N;INDF;NEUT;SG
lernen	учене	lernen	учене	V;NFIN	N;INDF;NEUT;SG
tunnel	тунел	tunnel	тунел		N;INDF;MASC;SG
tunnel	тунели	tunnel	тунел		N;INDF;MASC;PL
tunnel	тунелите	tunnel	нунел		N;DEF;MASC;PL
