par	glede	par	glede		ADV
uzsāk	prične	uzsākt	pričeti	V;IMP;SG;2;POS;FIN;ACT	V;PFV;IND;SG;3;PRS;FIN
jūtas	utah	justies	uta	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	PROPN;NOM;MASC;SG
jūtas	občutki	justies	občutek	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	N;NOM;MASC;PL
jūtas	čustev	justies	čustvo	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	N;GEN;NEUT;PL
jūtas	čustva	justies	čustvo	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	N;NOM;NEUT;PL
jūtas	občutke	justies	občutek	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	N;ACC;MASC;PL
reģionālās	regionalno	reģionāla	regionalen	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
reģionālās	regionalna	reģionāla	regionalen	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
reģionālās	regionalni	reģionāla	regionalen	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
bull	bik	bull	bik		N;NOM;MASC;SG
bull	bull	bull	bull		N;NOM;MASC;SG
bruņinieku	vitezi	bruņinieks	vitezi	N;ACC;MASC;SG	N;NOM;MASC;PL
eiropa	evropo	eiropa	evropa	N;NOM;FEM;SG	N;ACC;FEM;SG
eiropa	evropi	eiropa	evropa	N;NOM;FEM;SG	N;DAT;FEM;SG
domājams	domnevno	domāt	domnevno	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS	ADV
tērauda	jekla	tērauds	jeklo	N;NOM;MASC;SG	N;NOM;NEUT;PL
tērauda	jeklena	tērauds	jeklen	N;NOM;MASC;SG	ADJ;NOM;FEM;SG
tērauda	jeklene	tērauds	jeklen	N;NOM;MASC;SG	ADJ;NOM;FEM;PL
tērauda	jekleni	tērauds	jeklen	N;NOM;MASC;SG	ADJ;NOM;MASC;SG
tērauda	jekleno	tērauds	jeklen	N;NOM;MASC;SG	ADV
pieminekļu	monumentalnega	piemineklis	monumentalen	N;GEN;MASC;PL	ADJ;GEN;NEUT;SG
gemini	dvojček	gemināt	dvojček		N;NOM;MASC;SG
gemini	gemini	gemināt	gemina		N;NOM;MASC;SG
warriors	vojščaki	warriors	vojščak	N;NOM;MASC;SG	N;NOM;MASC;PL
warriors	bojevniki	warriors	bojevnik	N;NOM;MASC;SG	N;NOM;MASC;PL
warriors	bojevnike	warriors	bojevnik	N;NOM;MASC;SG	N;ACC;MASC;PL
formulas	formula	formula	formul	N;NOM;FEM;PL	N;NOM;FEM;SG
formulas	formulo	formula	formula	N;NOM;FEM;PL	N;ACC;FEM;SG
aicināja	vabljeni	aicināt	vabljen	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;MASC;PL;V.PTCP
aicināja	vabljen	aicināt	vabljen	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
aicināja	povabljeni	aicināt	povabljen	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;MASC;PL;V.PTCP
aicināja	vabljena	aicināt	vabljen	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP
braukšanas	vožnje	braukšana	vožnja	N;NOM;FEM;SG	N;NOM;FEM;PL
braukšanas	vožnjo	braukšana	vožnja	N;NOM;FEM;SG	N;ACC;FEM;SG
ask	vprašajte	ask	vprašati	N	V;PFV;IMP;PL;2;FIN
domas	misli	doma	misliti	N;NOM;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN
xiii	xiii	kis	xiie		N;NOM;MASC;SG
kokiem	dreves	koks	drevo	N;DAT;MASC;PL	N;GEN;NEUT;PL
kokiem	drevje	koks	drevje	N;DAT;MASC;PL	N;NOM;NEUT;SG
kokiem	drevesa	koks	drevo	N;DAT;MASC;PL	N;NOM;NEUT;PL
kazahstānas	kozak	kazahstāna	kozak	PROPN;NOM;FEM;SG	N;NOM;MASC;SG
kriss	chris	kriss	chris	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
kriss	kris	kriss	kris	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
bakalaura	samec	bakalaurs	samec	N;GEN;MASC;SG	N;NOM;MASC;SG
bakalaura	samski	bakalaurs	samski	N;GEN;MASC;SG	ADJ;NOM;MASC;PL
žurnālu	dnevnik	žurnāls	dnevnik	N;ACC;MASC;SG	N;NOM;MASC;SG
žurnālu	log	žurnāls	log	N;ACC;MASC;SG	N;NOM;MASC;SG
žurnālu	deblo	žurnāls	deblo	N;ACC;MASC;SG	N;NOM;NEUT;SG
draudzi	kongregacija	draudzi	kongregacija	N;ACC;FEM;SG	N;NOM;FEM;SG
plašas	široka	plaša	širok	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
plašas	široko	plaša	široko	ADJ;NOM;FEM;PL	ADV
plašas	obsežna	plaša	obsežen	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
plašas	obširno	plaša	obširen	ADJ;NOM;FEM;PL	ADV
plašas	obsežno	plaša	obsežno	ADJ;NOM;FEM;PL	ADV
kartē	zemljevid	karte	zemljevid	N;ESS;FEM;SG	N;NOM;MASC;SG
izgatavots	proizvedeno	izgatavot	proizveden	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
izgatavots	proizveden	izgatavot	proizveden	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
izgatavots	izdelano	izgatavot	izdelan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
izgatavots	izdelan	izgatavot	izdelan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
izgatavots	izdelane	izgatavot	izdelan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
izgatavots	narejena	izgatavot	narejen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
izgatavots	narejeni	izgatavot	narejen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
izgatavots	narejen	izgatavot	narejen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
izgatavots	narejeno	izgatavot	narejen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
amerikā	ameriki	amerika	amerika	N;ESS;FEM;SG	N;DAT;FEM;SG
amerikā	amerika	amerika	amerika	N;ESS;FEM;SG	N;NOM;FEM;SG
amerikā	ameriko	amerika	amerika	N;ESS;FEM;SG	N;ACC;FEM;SG
amerikā	america	amerika	america	N;ESS;FEM;SG	N;NOM;FEM;SG
fam	fam	fam	fam		N;NOM;MASC;SG
air	roda	air	rod		N;NOM;MASC;SG
air	rod	air	rod		N;NOM;MASC;SG
piezīme	opomba	piezīme	opomba		N;NOM;FEM;SG
jebkura	katerekoli	jebkura	katerioli	PRO;NOM;FEM;SG	DET;NOM;FEM;PL
jebkura	katerokoli	jebkura	katerolol	PRO;NOM;FEM;SG	DET;NOM;NEUT;SG
jebkura	katerikoli	jebkura	katerikoli	PRO;NOM;FEM;SG	DET;NOM;MASC;SG
nometnes	taborišče	nometne	taborišče	N;NOM;FEM;PL	N;NOM;NEUT;SG
nometnes	kamp	nometne	kamp	N;NOM;FEM;PL	N;NOM;MASC;SG
nometnes	camp	nometne	camp	N;NOM;FEM;PL	N;NOM;MASC;SG
nometnes	tabor	nometne	tabor	N;NOM;FEM;PL	N;NOM;MASC;SG
nometnes	taboriščih	nometne	taborišče	N;NOM;FEM;PL	N;ESS;NEUT;PL
kukaiņi	insektov	kukainis	insekt	N;NOM;MASC;PL	N;GEN;MASC;PL
kukaiņi	žuželka	kukainis	žuželka	N;NOM;MASC;PL	N;NOM;FEM;SG
san	saa	san	saa		
san	sps	san	sps		PROPN;NOM;MASC;SG
san	san	san	san		PROPN;NOM;MASC;SG
uzbūvēts	zgrajeno	uzbūvēt	zgrajen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
uzbūvēts	zgrajen	uzbūvēt	zgrajen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
uzbūvēts	zgrajeni	uzbūvēt	zgrajen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
uzbūvēts	zgrajena	uzbūvēt	zgrajen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
drīkst	maj	drīkstēt	maj	V;FH;IND;3;POS;PRS;FIN;ACT	
drīkst	maja	drīkstēt	maj	V;FH;IND;3;POS;PRS;FIN;ACT	N;GEN;MASC;SG
decembrim	december	decembris	december	N;DAT;MASC;SG	N;NOM;MASC;SG
decembrim	decembra	decembris	december	N;DAT;MASC;SG	N;GEN;MASC;SG
park	parkiraj	park	parkiraj		N;NOM;MASC;SG
park	park	park	park		N;NOM;MASC;SG
nepieciešami	potreben	nepieciešams	potreben	ADJ;NOM;MASC;PL	ADJ;NOM;INDF;MASC;SG
nepieciešami	potrebna	nepieciešams	potreben	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
nepieciešami	potrebovali	nepieciešams	potrebovati	ADJ;NOM;MASC;PL	V;IPFV;MASC;PL;V.PTCP
nepieciešami	zahtevana	nepieciešams	zahtevan	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG;V.PTCP
nepieciešami	zahtevan	nepieciešams	zahtevan	ADJ;NOM;MASC;PL	ADJ;NOM;INDF;MASC;SG;V.PTCP
nepieciešami	zahtevano	nepieciešams	zahtevan	ADJ;NOM;MASC;PL	ADJ;NOM;NEUT;SG;V.PTCP
nepieciešami	potrebno	nepieciešams	potreben	ADJ;NOM;MASC;PL	ADJ;NOM;NEUT;SG
balsis	glasov	balss	glas	N;NOM;FEM;PL	N;GEN;MASC;PL
balsis	glasovanja	balss	glasovanje	N;NOM;FEM;PL	N;GEN;NEUT;SG
balsis	glasov	balss	glas	N;NOM;FEM;PL	N;GEN;MASC;PL
balsis	glasove	balss	glas	N;NOM;FEM;PL	N;ACC;MASC;PL
mazākas	manjše	maza	majhen	ADJ;NOM;CMPR;FEM;PL	ADJ;NOM;CMPR;NEUT;SG
mazākas	manjša	maza	majhen	ADJ;NOM;CMPR;FEM;PL	ADJ;NOM;CMPR;FEM;SG
mazākas	manjši	maza	majhen	ADJ;NOM;CMPR;FEM;PL	ADJ;NOM;DEF;CMPR;MASC;SG
zirga	konjsko	zirgs	konjski	N;GEN;MASC;SG	ADV
zirga	konj	zirgs	konj	N;GEN;MASC;SG	N;NOM;MASC;SG
zirga	konja	zirgs	konj	N;GEN;MASC;SG	N;ANIM;ACC;MASC;SG
queen	kraljico	queen	kraljica		N;ACC;FEM;SG
queen	queen	queen	queen		
queen	kraljica	queen	kraljica		N;NOM;FEM;SG
saint	sveti	saint	svet		ADJ;NOM;DEF;MASC;SG
saint	svetnik	saint	svetnik		N;NOM;MASC;SG
saint	svetnica	saint	svetnica		N;NOM;FEM;SG
saint	saint	saint	saint		PROPN;NOM;MASC;SG
starptautiski	mednarodne	starptautiski	mednaroden	ADV	ADJ;NOM;FEM;PL
starptautiski	mednarodni	starptautiski	mednaroden	ADV	ADJ;NOM;MASC;SG
starptautiski	mednarodna	starptautiski	mednaroden	ADV	ADJ;NOM;FEM;SG
starptautiski	mednarodno	starptautiski	mednaroden	ADV	ADJ;NOM;NEUT;SG
starptautiski	mednarodno	starptautiski	mednaroden	ADV	ADJ;NOM;NEUT;SG
koloniju	kolonije	kolonija	kolonija	N;ACC;FEM;SG	N;NOM;FEM;PL
koloniju	kolonija	kolonija	kolonija	N;ACC;FEM;SG	N;NOM;FEM;SG
atšķirība	razliko	atšķirība	razlika	N;NOM;FEM;SG	N;ACC;FEM;SG
atšķirība	razlike	atšķirība	razlika	N;NOM;FEM;SG	N;NOM;FEM;PL
nīderlande	nizozemsko	nīderlande	nizozemski	PROPN;NOM;FEM;SG	ADJ;NOM;NEUT;SG
nīderlande	nizozemski	nīderlande	nizozemski	PROPN;NOM;FEM;SG	ADJ;NOM;MASC;SG
nīderlande	nizozemskem	nīderlande	nizozemski	PROPN;NOM;FEM;SG	ADJ;DAT;MASC;SG
nīderlande	nizozemska	nīderlande	nizozemski	PROPN;NOM;FEM;SG	ADJ;NOM;FEM;SG
stokholmas	stockholm	stokholma	stockholm	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG
tramvajs	tramvajski	tramvajs	tramvajski	N;NOM;MASC;SG	ADJ;NOM;MASC;SG
ziemo	prezimovanje	ziema	prezimovanje	V;FH;IND;3;POS;PRS;FIN;ACT	N;NOM;NEUT;SG
reģ	reg	reģ	reg	N	
atvērts	odprto	atvērts	odprt	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
atvērts	odprto	atvērts	odprt	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
āda	usnje	āda	usnji	N;NOM;FEM;SG	
āda	koži	āda	koža	N;NOM;FEM;SG	N;DAT;FEM;SG
āda	kože	āda	koža	N;NOM;FEM;SG	N;GEN;FEM;SG
āda	kožo	āda	koža	N;NOM;FEM;SG	N;ACC;FEM;SG
links	povezave	links	povezava	N;NOM;MASC;SG	N;NOM;FEM;PL
dārzā	garden	dārzs	garden	N;ESS;MASC;SG	
dārzā	vrt	dārzs	vrt	N;ESS;MASC;SG	N;NOM;MASC;SG
izvēlēts	izbrano	izvēlēt	izbran	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
izvēlēts	izbranih	izvēlēt	izbran	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;GEN;MASC;PL;V.PTCP
izvēlēts	izbrani	izvēlēt	izbran	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
izvēlēts	izbrane	izvēlēt	izbran	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
izvēlēts	izbrana	izvēlēt	izbran	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
izvēlēts	izbran	izvēlēt	izbran	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
tallinā	talinu	tallina	talin	PROPN;ESS;FEM;SG	N;DAT;MASC;SG
krājumu	stalež	krājums	stalež	N;ACC;MASC;SG	N;NOM;MASC;SG
krājumu	zaloge	krājums	zaloga	N;ACC;MASC;SG	N;NOM;FEM;PL
krājumu	zaloga	krājums	zaloga	N;ACC;MASC;SG	N;NOM;FEM;SG
bezmaksas	svoboden	bezmaksa	svoboden	N;NOM;FEM;PL	ADJ;NOM;INDF;MASC;SG
bezmaksas	prosto	bezmaksa	prosto	N;NOM;FEM;PL	ADV
bezmaksas	free	bezmaksa	free	N;NOM;FEM;PL	N;NOM;MASC;SG
bezmaksas	svobodna	bezmaksa	svoboden	N;NOM;FEM;PL	ADJ;NOM;FEM;SG
bezmaksas	brezplačno	bezmaksa	brezplačno	N;NOM;FEM;PL	ADV
bezmaksas	brezplačna	bezmaksa	brezplačen	N;NOM;FEM;PL	ADJ;NOM;FEM;SG
xiv	xiv	xiv	xiv	NUM	N;NOM;MASC;SG
kanāda	kanada	kanāda	kanada	PROPN;NOM;FEM;SG	N;NOM;FEM;SG
kanāda	kanado	kanāda	kanada	PROPN;NOM;FEM;SG	N;ACC;FEM;SG
jumta	dežnik	jumts	dežnik	N;GEN;MASC;SG	N;NOM;MASC;SG
fernando	fernando	fernando	fernanda	PROPN	N;NOM;MASC;SG
lietošana	use	lietošana	usa	N;NOM;FEM;SG	
lietošana	uporabi	lietošana	uporaba	N;NOM;FEM;SG	N;DAT;FEM;SG
west	zahodna	west	zahoden		ADJ;NOM;FEM;SG
west	zahod	west	zahod		N;NOM;MASC;SG
west	zahodno	west	zahodno		ADV
rindā	vrsta	rinda	vrsta	N;ESS;FEM;SG	N;NOM;FEM;SG
rindā	vrstica	rinda	vrstica	N;ESS;FEM;SG	N;NOM;FEM;SG
lauvas	levi	lauva	lev	N;NOM;FEM;PL	ADJ;NOM;MASC;SG
lauvas	leve	lauva	lev	N;NOM;FEM;PL	ADJ;NOM;FEM;PL
für	für	für	für		
gravitācijas	gravitacijsko	gravitācija	gravitacijski	N;NOM;FEM;PL	ADJ;NOM;NEUT;SG
gravitācijas	gravitacija	gravitācija	gravitacija	N;NOM;FEM;PL	N;NOM;FEM;SG
gravitācijas	gravitacijo	gravitācija	gravitacija	N;NOM;FEM;PL	N;ACC;FEM;SG
gravitācijas	težnost	gravitācija	težnost	N;NOM;FEM;PL	N;NOM;FEM;SG
pelēkā	sive	pelēks	siv	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
pelēkā	grey	pelēks	grey	ADJ;NOM;FEM;SG	
publicists	publiciste	publicists	publicist	N;NOM;MASC;SG	N;ACC;MASC;PL
samazināts	znižana	samazināt	znižan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
samazināts	zmanjšana	samazināt	zmanjšan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
samazināts	zmanjšan	samazināt	zmanjšan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
samazināts	zmanjšan	samazināt	zmanjšan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
samazināts	zmanjšana	samazināt	zmanjšan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
samazināts	znižana	samazināt	znižan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
samazināts	zmanjšano	samazināt	zmanjšan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
samazināts	zmanjšani	samazināt	zmanjšan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
augstā	visoko	augsts	visoko	ADJ;NOM;FEM;SG	ADV
sniegs	snega	sniegs	sneg	N;NOM;MASC;SG	N;GEN;MASC;SG
slimnīca	bolniška	slimnīca	bolniški	N;NOM;FEM;SG	ADJ;NOM;FEM;SG
kategorija	kategorijo	kategorija	kategorija	N;NOM;FEM;SG	N;ACC;FEM;SG
foundation	fundacija	foundation	fundacija		N;NOM;FEM;SG
foundation	temelj	foundation	temelj		N;NOM;MASC;SG
foundation	sklad	foundation	sklad		N;NOM;MASC;SG
foundation	temelje	foundation	temelj		N;ACC;MASC;PL
grādi	stopinj	grāds	stopinja	N;NOM;MASC;PL	N;GEN;FEM;SG
cietoksnis	trdnjavo	cietoksnis	trdnjava	N;NOM;MASC;SG	N;ACC;FEM;SG
citādi	drugi	citādi	drug	ADV	ADJ;NOM;MASC;SG
citādi	drugo	citādi	drug	ADV	ADJ;NOM;NEUT;SG
citādi	druga	citādi	drug	ADV	ADJ;NOM;FEM;SG
citādi	druge	citādi	drug	ADV	ADJ;NOM;FEM;PL
citādi	sicer	citādi	sicer	ADV	PART
sarkanais	red	sarkans	red	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
dots	dano	dot	dan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG
dots	danih	dot	dan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;GEN;MASC;PL
samazināt	zmanjšanje	samazināt	zmanjšanje	V;POS;NFIN	N;NOM;NEUT;SG
samazināt	znižanje	samazināt	znižanje	V;POS;NFIN	N;NOM;NEUT;SG
samazināt	zmanjšanje	samazināt	zmanjšanje	V;POS;NFIN	N;NOM;NEUT;SG
nepārtraukti	neprekinjen	nepārtraukti	neprekinjen	ADV	ADJ;NOM;INDF;MASC;SG
ķēniņš	king	ķēniņš	king	N;NOM;MASC;SG	
debesīs	nebes	debess	nebes	N;ESS;FEM;PL	N;NOM;NEUT;SG
debesīs	nebesa	debess	nebo	N;ESS;FEM;PL	N;NOM;FEM;SG
atjaunošanu	obnovitev	atjaunošana	obnovitev	N;ACC;FEM;SG	N;NOM;FEM;SG
atjaunošanu	obnavljanje	atjaunošana	obnavljanje	N;ACC;FEM;SG	N;NOM;NEUT;SG
atjaunošanu	obnova	atjaunošana	obnova	N;ACC;FEM;SG	N;NOM;FEM;SG
nosūtīts	poslan	nosūtīt	poslan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
nosūtīts	poslana	nosūtīt	poslan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
nosūtīts	poslani	nosūtīt	poslan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
nosūtīts	poslano	nosūtīt	poslan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
nosūtīts	poslane	nosūtīt	poslan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
piekrita	dogovorjena	piekrist	dogovorjen	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP
piekrita	dogovorjeni	piekrist	dogovorjen	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;MASC;PL;V.PTCP
piekrita	dogovorjeno	piekrist	dogovorjen	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;NEUT;SG;V.PTCP
vienāda	uniforma	vienāda	uniforma	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
vienāda	uniformo	vienāda	uniforma	ADJ;NOM;FEM;SG	N;ACC;FEM;SG
vienāda	enaka	vienāda	enak	ADJ;NOM;FEM;SG	DET;NOM;FEM;SG
vienāda	enaki	vienāda	enak	ADJ;NOM;FEM;SG	DET;NOM;MASC;PL
vienāda	enako	vienāda	enako	ADJ;NOM;FEM;SG	ADV
atbrīvots	sproščeno	atbrīvot	sproščeno	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
atbrīvots	izpuščeni	atbrīvot	izpuščen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
atbrīvots	izpuščen	atbrīvot	izpuščen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
atbrīvots	izpuščena	atbrīvot	izpuščen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
atbrīvots	izvzeti	atbrīvot	izvzeti	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
atbrīvots	izvzete	atbrīvot	izvzeti	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
atbrīvots	izvzeta	atbrīvot	izvzeti	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
atbrīvots	izvzeti	atbrīvot	izvzeti	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
mežs	gozda	mežs	gozd	N;NOM;MASC;SG	N;GEN;MASC;SG
mežs	gozdni	mežs	gozden	N;NOM;MASC;SG	ADJ;NOM;MASC;SG
mežs	gozdovi	mežs	gozd	N;NOM;MASC;SG	N;NOM;MASC;PL
mars	mars	mars	mars	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
mclaren	mclaren	mclaren	mclaren	PROPN;NOM;FEM;SG	N;NOM;MASC;SG
olimpiskā	olimpijski	olimpiska	olimpijski	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;PL
olimpiskā	olympic	olimpiska	olympica	ADJ;NOM;FEM;SG	N;NOM;MASC;SG
dara	dara	darīt	dar	V;FH;IND;3;POS;PRS;FIN;ACT	PROPN;NOM;FEM;SG
velsas	welsh	velsties	Welsh	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG
velosipēdu	koles	velosipēds	kolo	N;ACC;MASC;SG	N;GEN;NEUT;SG
velosipēdu	kolesa	velosipēds	koleso	N;ACC;MASC;SG	N;NOM;NEUT;PL
velosipēdu	kolo	velosipēds	kolo	N;ACC;MASC;SG	N;NOM;NEUT;SG
uzbrūk	napada	uzbrukt	napad	V;FH;IND;3;POS;PRS;FIN;ACT	N;NOM;MASC;SG
kariem	vojne	karš	vojna	N;DAT;MASC;PL	N;NOM;FEM;PL
kariem	vojn	karš	vojna	N;DAT;MASC;PL	N;GEN;FEM;PL
turpinājums	nadaljevalo	turpinājums	nadaljevati	N;NOM;MASC;SG	V;IPFV;NEUT;SG;V.PTCP
pilis	gradove	pils	grad	N;NOM;FEM;PL	N;ACC;MASC;PL
eiropiešu	evropejci	eiropietis	evropejec	N;GEN;MASC;PL	N;NOM;MASC;PL
vāks	pokrovom	vākt	pokrov	N;NOM;MASC;SG	N;DAT;MASC;PL
kazaņas	kazan	kazaņa	kazan	N;NOM;FEM;PL	PROPN;NOM;MASC;SG
septiņi	seven	septiņi	seven	NUM;NOM;MASC;PL	
brazīlija	brazilija	brazīlija	brazilij	PROPN;NOM;FEM;SG	N;NOM;FEM;SG
kristiāns	christian	kristiāns	christian	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
kristiāns	krščanski	kristiāns	krščanski	PROPN;NOM;MASC;SG	ADJ;NOM;MASC;SG
kristiāns	kristjan	kristiāns	kristjan	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
izmeklēšanas	poizvedbe	izmeklēšana	poizvedba	N;NOM;FEM;SG	N;NOM;FEM;PL
izmeklēšanas	preiskave	izmeklēšana	preiskava	N;NOM;FEM;SG	N;NOM;FEM;PL
izmeklēšanas	preiskave	izmeklēšana	preiskava	N;NOM;FEM;SG	N;NOM;FEM;PL
olimpiskais	olimpijski	olimpisks	olimpijski	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;PL
olimpiskais	olympic	olimpisks	olympica	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
aizliedza	prepovedan	aizliegt	prepovedan	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
aizliedza	prepovedana	aizliegt	prepovedan	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP
aizliedza	prepovedani	aizliegt	prepovedan	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;MASC;PL;V.PTCP
paris	paris	paris	paris		
paris	pariz	paris	pariz		N;NOM;MASC;SG
paris	pariški	paris	pariški		ADJ;NOM;DEF;MASC;SG
sienu	obzidje	siena	obzidje	N;ACC;FEM;SG	N;NOM;NEUT;SG
sienu	zid	siena	zid	N;ACC;FEM;SG	N;NOM;MASC;SG
sienu	stena	siena	stena	N;ACC;FEM;SG	N;NOM;FEM;SG
