lokalizacji	местоположения	lokalizacja	местоположение	N;GEN;FEM;SG	N;INDF;NEUT;PL
marine	морски	mariny	морски		ADJ;INDF;MASC;SG
marine	пехотинец	mariny	пехотинец		N;INDF;MASC;SG
marine	морска	mariny	морски		ADJ;INDF;FEM;SG
tymczasowy	временни	tymczasowy	временен	ADJ;NOM;MASC;SG	ADJ;INDF;PL
tymczasowy	временно	tymczasowy	временно	ADJ;NOM;MASC;SG	ADV
tymczasowy	междинно	tymczasowy	междинно	ADJ;NOM;MASC;SG	ADV
tymczasowy	временни	tymczasowy	временен	ADJ;NOM;MASC;SG	ADJ;INDF;PL
satelita	сателитно	satelita	сателитен	N;NOM;MASC;SG	ADV
satelita	сателитен	satelita	сателитен	N;NOM;MASC;SG	ADJ;INDF;MASC;SG
satelita	сателитна	satelita	сателитен	N;NOM;MASC;SG	ADJ;INDF;FEM;SG
era	епоха	era	епоха		N;INDF;FEM;SG
era	епоха	era	епоха		N;INDF;FEM;SG
era	ерата	era	ера		N;DEF;FEM;SG
era	ера	era	ера		N;INDF;FEM;SG
lang	ланг	lang	ланг		PROPN;INDF;FEM;SG
królowie	кингс	król	кингс	N;NOM;MASC;PL	N;INDF;MASC;SG
pascal	паскал	pascal	паскал		N;INDF;MASC;SG
szóste	шесто	szósty	шесто		ADJ;INDF;NEUT;SG
szóste	шести	szósty	шести		ADJ;INDF;MASC;SG
szóste	шеста	szósty	шест		ADJ;INDF;FEM;SG
gridcolor	gridcolor	gridcolor	gridcolor		PROPN;INDF;MASC;SG
pacjenta	търпелив	pacjent	търпелив	N;ACC;MASC;SG	ADJ;INDF;MASC;SG
potrzebna	необходимост	potrzebny	необходимост	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
potrzebna	нужда	potrzebny	нужда	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
potrzebna	потребност	potrzebny	потребност	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
uderzenie	удари	uderzenie	удар	N;NOM;NEUT;SG	N;INDF;MASC;PL
popełnił	отдадена	popełnić	отдам-(се)	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
popełnił	извършено	popełnić	извърша	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
popełnił	извършени	popełnić	извърша	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
popełnił	обвързан	popełnić	обвържа	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
popełnił	ангажиран	popełnić	ангажирам	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
piaski	пясък	piasek	пясък		N;INDF;MASC;SG
piaski	сандс	piasek	сандс		N;INDF;FEM;SG
piaski	пясъци	piasek	пясък		N;INDF;MASC;PL
annie	ани	annie	ани		PROPN;INDF;FEM;SG
secret	секретно	secret	секретен		ADV
secret	тайна	secret	тайна		N;INDF;FEM;SG
secret	таен	secret	таен		N;INDF;MASC;SG
secret	тайната	secret	тайна		N;DEF;FEM;SG
secret	тайно	secret	тайно		ADV
polecenia	команди	polecenie	команд	N;NOM;NEUT;SG	N;INDF;MASC;PL
polecenia	командите	polecenie	команд	N;NOM;NEUT;SG	N;DEF;MASC;PL
aleksandrii	александрия	aleksandria	александрия	N;GEN;FEM;SG	PROPN;INDF;FEM;SG
ska	ска	sko	ска		N;INDF;MASC;SG
zaangażowany	замесена	zaangażować	замеся	ADJ;NOM;MASC;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
zaangażowany	замесен	zaangażować	замеся	ADJ;NOM;MASC;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
zaangażowany	отдадена	zaangażować	отдам-(се)	ADJ;NOM;MASC;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
zaangażowany	извършено	zaangażować	извърша	ADJ;NOM;MASC;SG	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
zaangażowany	извършени	zaangażować	извърша	ADJ;NOM;MASC;SG	V;PFV;INDF;PL;V.PTCP;PASS
zaangażowany	обвързан	zaangażować	обвържа	ADJ;NOM;MASC;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
zaangażowany	ангажиран	zaangażować	ангажирам	ADJ;NOM;MASC;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
zakończony	прекъсната	zakończyć	прекъсна-(се)	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
zakończony	прекратен	zakończyć	прекратя	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
zakończony	прекратена	zakończyć	прекратя	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
zakończony	прекратено	zakończyć	прекратя	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
częste	обща	częsty	общ		ADJ;INDF;FEM;SG
częste	общ	częsty	общ		ADJ;INDF;MASC;SG
częste	общи	częsty	общ		ADJ;INDF;PL
częste	чести	częsty	честя-(се)		N;INDF;FEM;PL
jelita	черва	jelita	черва		N;INDF;NEUT;PL
jelita	черва	jelita	черва		N;INDF;NEUT;PL
jelita	черво	jelita	черво		N;INDF;NEUT;SG
jelita	червата	jelita	черва		N;DEF;FEM;SG
jelita	черва	jelita	черва		N;INDF;NEUT;PL
jelita	черво	jelita	черво		N;INDF;NEUT;SG
jelita	чревни	jelita	чревен		ADJ;INDF;PL
jelita	черва	jelita	черва		N;INDF;NEUT;PL
jelita	вътрешности	jelita	вътрешност		N;INDF;FEM;PL
jelita	червата	jelita	черва		N;DEF;FEM;SG
cbs	cbs	cbs	cbs		PROPN;INDF;MASC;SG
przedstawiono	представени	przedstawić	представя-(се)	V;PFV;IND;0;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
przedstawiono	представено	przedstawić	представя-(се)	V;PFV;IND;0;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
przedstawiono	представена	przedstawić	представя-(се)	V;PFV;IND;0;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
przedstawiono	представен	przedstawić	представя-(се)	V;PFV;IND;0;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
square	квадратна	squary	квадратен		ADJ;INDF;FEM;SG
square	квадратни	squary	квадратен		ADJ;INDF;PL
square	квадратен	squary	квадратен		ADJ;INDF;MASC;SG
square	квадрат	squary	квадрат		N;INDF;MASC;SG
square	площад	squary	площад		N;INDF;MASC;SG
odrębne	отделни	odrębny	отделен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
odrębne	разделени	odrębny	разделя-(се)	ADJ;NOM;NEUT;SG	V;PFV;INDF;PL;V.PTCP;PASS
odrębne	отделно	odrębny	отделно	ADJ;NOM;NEUT;SG	ADV
odrębne	отделени	odrębny	отделя-(се)	ADJ;NOM;NEUT;SG	V;PFV;INDF;PL;V.PTCP;PASS
obydwa	двете	obydwa	два	V;IPFV;IND;SG;PST;FIN;ACT	NUM;DEF;FEM;PL
czaszki	черепът	czaszki	череп	N;ACC;FEM;PL	N;DEF;MASC;SG
czaszki	череп	czaszki	череп	N;ACC;FEM;PL	N;INDF;MASC;SG
czaszki	черепа	czaszki	череп	N;ACC;FEM;PL	N;DEF;MASC;SG
fischer	фишер	fischer	фишер		N;INDF;MASC;SG
fischer	фишър	fischer	фишър		N;INDF;MASC;SG
białek	протеини	białek	протея		N;INDF;MASC;PL
białek	протеините	białek	протеин		N;DEF;MASC;PL
publiczny	публично	publiczny	публично	ADJ;NOM;MASC;SG	ADV
publiczny	публични	publiczny	публичен	ADJ;NOM;MASC;SG	ADJ;INDF;PL
publiczny	обществено	publiczny	обществен	ADJ;NOM;MASC;SG	ADV
publiczny	обществени	publiczny	обществен	ADJ;NOM;MASC;SG	ADJ;INDF;PL
mail	mail	mail	mail		PROPN;INDF;MASC;SG
mail	поща	mail	поща		N;INDF;FEM;SG
kogo	кой	kto	кой	PRO;ACC;MASC;SG	PRO;NOM;MASC;SG
heaven	рай	heaven	рай		N;INDF;MASC;SG
heaven	раят	heaven	рай		ADV
heaven	рая	heaven	рай		N;INDF;MASC;SG
heaven	небето	heaven	небе		N;DEF;NEUT;SG
cen	cen	cen	cen		PROPN;INDF;MASC;SG
piła	пиене	pić	пиена		N;INDF;NEUT;SG
piła	пиеш	pić	пия		V;IPFV;IND;SG;2;PRS;FIN;ACT
piła	пия	pić	пия		V;IPFV;IND;SG;1;PRS;FIN;ACT
piła	пиенето	pić	пиене		N;DEF;NEUT;SG
piła	пие	pić	пия		V;IPFV;IND;SG;3;PRS;FIN;ACT
piła	трион	pić	трион		N;INDF;MASC;SG
piła	видях	pić	видя-(се)		V;PFV;IND;SG;1;PST;FIN;ACT
śniegu	снежна	śnieg	снежен	N;GEN;MASC;SG	ADJ;INDF;FEM;SG
damian	деймиън	damian	деймиън	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
damian	дамян	damian	дамян	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
istoty	същества	istota	същество	N;ACC;FEM;SG	N;INDF;NEUT;PL
istoty	твари	istota	твар	N;ACC;FEM;SG	N;INDF;MASC;PL
istoty	създания	istota	създане	N;ACC;FEM;SG	N;INDF;NEUT;PL
istoty	същества	istota	същество	N;ACC;FEM;SG	N;INDF;NEUT;PL
toledo	толедо	toledo	толедо		N;INDF;MASC;SG
cannes	кан	cannes	кан		PROPN;INDF;MASC;SG
informacyjny	информативно	informacyjny	информативно	ADJ;NOM;MASC;SG	ADV
teologiczne	теологични	teologiczny	теологичен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
ograniczona	ограничено	ograniczony	огранича	ADJ;NOM;FEM;SG	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
ograniczona	ограничена	ograniczony	огранича-(се)	ADJ;NOM;FEM;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
ograniczona	limited	ograniczony	limited	ADJ;NOM;FEM;SG	PROPN;INDF;MASC;SG
ograniczona	ограничен	ograniczony	огранича-(се)	ADJ;NOM;FEM;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ograniczona	ограничени	ograniczony	огранича-(се)	ADJ;NOM;FEM;SG	V;PFV;INDF;PL;V.PTCP;PASS
ograniczona	ограничено	ograniczony	огранича	ADJ;NOM;FEM;SG	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
ograniczona	ограничена	ograniczony	огранича-(се)	ADJ;NOM;FEM;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
ograniczona	ограничен	ograniczony	огранича-(се)	ADJ;NOM;FEM;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ograniczona	ограничени	ograniczony	огранича-(се)	ADJ;NOM;FEM;SG	V;PFV;INDF;PL;V.PTCP;PASS
kontynuować	продължи	kontynuować	продължа	V;IPFV;NFIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
dem	dem	dem	dem		N;INDF;MASC;PL
management	мениджмънт	management	мениджмънт		N;INDF;MASC;SG
management	управление	management	управление		N;INDF;NEUT;SG
split	разделим	split	разделя-(се)		V;PFV;IND;PL;1;PRS;FIN;ACT
split	разделен	split	разделя-(се)		V;PFV;INDF;MASC;SG;V.PTCP;PASS
split	сплит	split	сплит		N;INDF;MASC;SG
split	разделяне	split	разделяне		N;INDF;NEUT;SG
kenneth	кенет	kenneth	кенет	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
sosna	пайн	sosna	пайн		PROPN;INDF;MASC;SG
sosna	бор	sosna	бор		N;INDF;MASC;SG
pete	пийт	pete	пийт	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
pete	пит	pete	пит	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
suche	суха	suchy	сух		ADJ;INDF;FEM;SG
suche	сухи	suchy	сух		ADJ;INDF;PL
suche	сухо	suchy	сухо		ADV
suche	сух	suchy	сух		ADJ;INDF;MASC;SG
ward	уорд	warda	уорд	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
baz	баз	baza	баз		PROPN;INDF;MASC;SG
owłosione	космати	owłosić	космат	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	N;INDF;MASC;PL
owłosione	космат	owłosić	косма	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	N;INDF;MASC;SG
struga	струга	struga	струг		N;INDF;MASC;SG
eduardo	едуардо	eduardo	едуардо	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
sweet	сладък	sweet	сладък		ADJ;INDF;MASC;SG
sweet	мило	sweet	мило		ADV
sweet	сладко	sweet	сладко		ADV
sweet	сладки	sweet	сладък		N;INDF;FEM;PL
sweet	сладка	sweet	сладка		ADJ;INDF;FEM;SG
skierowane	насочено	skierować	насоча-(се)	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
skierowane	насочени	skierować	насоча-(се)	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
rycerz	найт	rycerz	найт	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
zapewnienia	уверения	zapewnić	уверение	N;GEN;NEUT;SG	N;INDF;NEUT;PL
watson	уотсън	watson	уотсън		PROPN;INDF;MASC;SG
wprowadzona	въведен	wprowadzić	въведа	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
wprowadzona	въведено	wprowadzić	въведа	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
wprowadzona	въведена	wprowadzić	въведа	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
wprowadzona	въведени	wprowadzić	въведа	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
funkcjonowanie	функциониращи	funkcjonowanie	функционирам	N;NOM;NEUT;SG	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
funkcjonowanie	функциониращ	funkcjonowanie	функционирам	N;NOM;NEUT;SG	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
funkcjonowanie	функционираща	funkcjonowanie	функционирам	N;NOM;NEUT;SG	ADJ;IPFV;INDF;FEM;SG;PRS;V.PTCP;ACT
białoruś	беларус	białoruś	беларус		PROPN;INDF;MASC;SG
socjalistyczna	социалист	socjalistyczny	социалист	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
widział	трион	widzieć	трион	V;IPFV;MASC;IND;SG;PST;FIN;ACT	N;INDF;MASC;SG
widział	видях	widzieć	видя-(се)	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;IND;SG;1;PST;FIN;ACT
oznaczony	маркирани	oznaczyć	маркирам	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
oznaczony	маркиран	oznaczyć	маркирам	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
oznaczony	отбелязани	oznaczyć	отбележа	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
oznaczony	отбелязан	oznaczyć	отбележа	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
oznaczony	маркирани	oznaczyć	маркирам	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
oznaczony	маркирана	oznaczyć	маркирам	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
oznaczony	белязани	oznaczyć	бележа	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;IPFV;INDF;PL;V.PTCP;PASS
oznaczony	маркиран	oznaczyć	маркирам	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
oznaczony	белязан	oznaczyć	бележа	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
control	контролиране	control	контролиране		N;INDF;NEUT;SG
control	контрол	control	контрол		N;INDF;MASC;SG
chóru	хор	chór	хор		N;INDF;MASC;SG
chóru	хор	chór	хор		N;INDF;MASC;SG
starcia	сблъсъци	starcie	сблъсък	N;NOM;NEUT;SG	N;INDF;MASC;PL
maroka	марокански	marok	марокански	PROPN;GEN;MASC;SG	ADJ;INDF;MASC;SG
athletic	атлетичен	athletic	атлетичен		ADJ;INDF;MASC;SG
aresztowania	арестувани	aresztowanie	арестувам	N;GEN;NEUT;SG	V;PFV;INDF;PL;V.PTCP;PASS
aresztowania	арести	aresztowanie	арест	N;GEN;NEUT;SG	N;INDF;MASC;PL
okien	windows	okno	windows		N;INDF;MASC;SG
okien	прозорци	okno	прозорец		N;INDF;MASC;PL
okien	прозорците	okno	прозорец		N;DEF;MASC;PL
karen	карен	karen	карен	PROPN;NOM;FEM;SG	N;INDF;FEM;SG
karen	керън	karen	керън	PROPN;NOM;FEM;SG	PROPN;INDF;FEM;SG
karen	карън	karen	карън	PROPN;NOM;FEM;SG	PROPN;INDF;FEM;SG
odpowiedni	уместно	odpowiedni	уместно	ADJ;NOM;MASC;SG	ADV
odpowiedni	подходящи	odpowiedni	подходящ	ADJ;NOM;MASC;SG	ADJ;INDF;PL
odpowiedni	подходящо	odpowiedni	подходящ	ADJ;NOM;MASC;SG	ADV
odpowiedni	подходящи	odpowiedni	подходящ	ADJ;NOM;MASC;SG	ADJ;INDF;PL
odpowiedni	подходящо	odpowiedni	подходящ	ADJ;NOM;MASC;SG	ADV
śledztwo	разследван	śledztwo	разследвам	N;NOM;NEUT;SG	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
enwiki	enwiki	enwik	enwiki		N;INDF;FEM;SG
wrc	wrc	wrzeć	wrc		PROPN;INDF;MASC;SG
praktyczny	практично	praktyczny	практичен	ADJ;NOM;MASC;SG	ADV
praktyczny	практическо	praktyczny	практически	ADJ;NOM;MASC;SG	ADV
ograniczony	ограничено	ograniczyć	огранича	ADJ;NOM;MASC;SG	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
ograniczony	ограничена	ograniczyć	огранича-(се)	ADJ;NOM;MASC;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
ograniczony	limited	ograniczyć	limited	ADJ;NOM;MASC;SG	PROPN;INDF;MASC;SG
ograniczony	ограничен	ograniczyć	огранича-(се)	ADJ;NOM;MASC;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ograniczony	ограничени	ograniczyć	огранича-(се)	ADJ;NOM;MASC;SG	V;PFV;INDF;PL;V.PTCP;PASS
ograniczony	ограничено	ograniczyć	огранича	ADJ;NOM;MASC;SG	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
ograniczony	ограничена	ograniczyć	огранича-(се)	ADJ;NOM;MASC;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
ograniczony	ограничен	ograniczyć	огранича-(се)	ADJ;NOM;MASC;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ograniczony	ограничени	ograniczyć	огранича-(се)	ADJ;NOM;MASC;SG	V;PFV;INDF;PL;V.PTCP;PASS
arabskie	арабин	arabski	арабин	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
lewo	ляво	lewo	ляв		ADV
lewo	ляв	lewo	ляв		N;INDF;MASC;SG
lewo	наляво	lewo	наляво		ADV
dno	дъното	dno	дъно		N;DEF;NEUT;SG
dno	отдолу	dno	отдолу		ADV
dno	дъно	dno	дъно		N;INDF;NEUT;SG
kopenhadze	копенхаген	kopenhadz	копенхаген	PROPN;DAT;MASC;SG	N;DEF;MASC;SG
wyścigi	състезателни	wyścig	състезателен	N;NOM;MASC;PL	ADJ;INDF;PL
holland	холандия	holland	холандия		PROPN;INDF;FEM;SG
holland	холанд	holland	холанд		N;INDF;MASC;SG
halle	хали	hall	хали		N;INDF;MASC;PL
dotarły	пристигнал	dotrzeć	пристигна	V;PFV;FEM;IND;PL;PST;FIN;ACT	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
dotarły	пристигна	dotrzeć	пристигна	V;PFV;FEM;IND;PL;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
sumy	сума	suma	сума		N;INDF;FEM;SG
sumy	сумата	suma	сума		N;DEF;FEM;SG
sumy	sum	suma	sum		PROPN;INDF;MASC;SG
sumy	сбор	suma	сбор		N;INDF;MASC;SG
sumy	сум	suma	сум		V;IPFV;IND;SG;1;PRS;FIN;ACT
sumy	суми	suma	сума		N;INDF;FEM;PL
bractwa	братствата	bractwo	братство	N;ACC;NEUT;SG	N;DEF;NEUT;PL
tajemnica	секретно	tajemnica	секретен	N;NOM;FEM;SG	ADV
tajemnica	тайно	tajemnica	тайно	N;NOM;FEM;SG	ADV
targ	пазарна	targa	пазарен	N;NOM;MASC;SG	ADJ;INDF;FEM;SG
targ	пазарен	targa	пазарен	N;NOM;MASC;SG	ADJ;INDF;MASC;SG
połączony	свързани	połączyć	свържа	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
połączony	свързан	połączyć	свържа	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
połączony	свързано	połączyć	свържа	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
połączony	свързана	połączyć	свържа	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
kraina	земи	kraina	земя	N;NOM;FEM;SG	N;INDF;FEM;PL
szeregi	редиците	szereg	редица	N;ACC;MASC;SG	N;DEF;FEM;PL
szeregi	редици	szereg	редица	N;ACC;MASC;SG	N;INDF;FEM;PL
szeregi	серии	szereg	серия	N;ACC;MASC;SG	N;INDF;FEM;PL
potrzebny	необходимост	potrzebny	необходимост	ADJ;NOM;MASC;SG	N;INDF;FEM;SG
potrzebny	нужда	potrzebny	нужда	ADJ;NOM;MASC;SG	N;INDF;FEM;SG
potrzebny	потребност	potrzebny	потребност	ADJ;NOM;MASC;SG	N;INDF;FEM;SG
mig	миг	mig	миг		N;INDF;MASC;SG
oryginalna	оригинални	oryginalny	оригинален	ADJ;NOM;FEM;SG	ADJ;INDF;PL
oryginalna	оригинал	oryginalny	оригинал	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
oryginalna	оригинално	oryginalny	оригинален	ADJ;NOM;FEM;SG	ADV
kanały	канал	kanał	канал	N;NOM;MASC;PL	N;INDF;MASC;SG
kanały	каналът	kanał	канал	N;NOM;MASC;PL	N;DEF;MASC;SG
konklawe	конклава	konklawy	конклав	ADJ;NOM;NEUT;SG	N;DEF;MASC;SG
boczny	странично	boczny	странично	ADJ;NOM;MASC;SG	ADV
zoo	зоопарковете	zoo	зоопарк		N;DEF;MASC;PL
zoo	зоопарк	zoo	зоопарк		N;INDF;MASC;SG
zoo	зоопарка	zoo	зоопарка		N;DEF;MASC;SG
pokryta	покрито	pokryć	покрия-(се)	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
pokryta	обхванат	pokryć	обхвана	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;IND;PL;3;PRS;FIN;ACT
pokryta	покрити	pokryć	покрия-(се)	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
pokryta	покрита	pokryć	покрия-(се)	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
turner	търнър	turner	търнър		PROPN;INDF;MASC;SG
ambasady	посолства	ambasada	посолство	N;GEN;FEM;SG	N;INDF;NEUT;PL
jefferson	джеферсън	jefferson	джеферсън	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
spartak	спартак	spartak	спартак		N;INDF;MASC;SG
teodora	теодора	teodor	теодор		N;INDF;FEM;SG
albrecht	албрехт	albrecht	албрехт	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
kolonie	колонии	kolonie	колония	N;NOM;FEM;SG	N;INDF;FEM;PL
joão	жоао	joão	жоао	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
heinz	хайнц	heinz	хайнц	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
wygrana	победи	wygrać	победа	N;NOM;FEM;SG	N;INDF;FEM;PL
wygrana	печеля	wygrać	печеля	N;NOM;FEM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
wygrana	спечели	wygrać	спечеля	N;NOM;FEM;SG	V;PFV;IND;SG;3;PST;FIN;ACT
wygrana	печелиш	wygrać	печеля	N;NOM;FEM;SG	V;IPFV;IND;SG;2;PRS;FIN;ACT
lekkie	леки	lekki	лек	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
que	que	que	que		PROPN
rachel	рейчъл	rachel	рейчъл	PROPN;NOM;FEM;SG	PROPN;INDF;FEM;SG
flotylli	флотилия	flotylla	флотилия	N;GEN;FEM;SG	ADJ;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
skarb	ценно	skarb	ценен	N;ACC;MASC;SG	ADV
skarb	скъпоценен	skarb	скъпоценен	N;ACC;MASC;SG	ADJ;INDF;MASC;SG
skarb	безценни	skarb	безценен	N;ACC;MASC;SG	ADJ;INDF;PL
skarb	скъпоценни	skarb	скъпоценен	N;ACC;MASC;SG	ADJ;INDF;PL
skarb	безценно	skarb	безценно	N;ACC;MASC;SG	ADV
skarb	съкровища	skarb	съкровище	N;ACC;MASC;SG	N;INDF;NEUT;PL
ogrody	гардънс	ogród	гардънс	N;NOM;MASC;PL	N;INDF;MASC;SG
piąta	пети	piąty	пети		ADJ;INDF;MASC;SG
piąta	пето	piąty	пети		ADJ;INDF;NEUT;SG
piąta	пета	piąty	пети		ADJ;INDF;FEM;SG
procedury	процедура	procedura	процедура	N;ACC;FEM;PL	N;INDF;FEM;SG
disco	дискотека	disco	дискотека		N;INDF;FEM;SG
disco	диско	disco	диско		N;INDF;MASC;SG
sumę	sum	suma	sum	N;ACC;FEM;SG	PROPN;INDF;MASC;SG
sumę	сум	suma	сум	N;ACC;FEM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
uczestniczyło	участвали	uczestniczyć	участвам	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IPFV;INDF;PL;PST;V.PTCP;ACT
uczestniczyło	участваха	uczestniczyć	участвам	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IPFV;IND;PL;3;PST;FIN;ACT
prawny	правно	prawny	правен	ADJ;NOM;MASC;SG	ADV
prawny	правни	prawny	правен	ADJ;NOM;MASC;SG	ADJ;INDF;PL
prawny	правен	prawny	правя-(се)	ADJ;NOM;MASC;SG	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
prawny	законно	prawny	законен	ADJ;NOM;MASC;SG	ADV
