und	si	und	sine	CONJ	
vergeben	iertare	vergeben	iertare	V;V.PTCP	N;INDF;FEM;SG
vergeben	iertarea	vergeben	iertare	V;V.PTCP	N;DEF;FEM;SG
besetzt	ocupat	besetzen	ocupa	V;V.PTCP	ADJ;INDF;MASC;SG
besetzt	ocupate	besetzen	ocupat	V;V.PTCP	ADJ;INDF;FEM;PL
besetzt	ocupata	besetzen	ocupata	V;V.PTCP	ADJ;DEF;FEM;SG
besetzt	ocupată	besetzen	ocupa	V;V.PTCP	ADJ;INDF;FEM;SG
besetzt	ocupat	besetzen	ocupa	V;V.PTCP	ADJ;INDF;MASC;SG
besetzt	ocupate	besetzen	ocupat	V;V.PTCP	ADJ;INDF;FEM;PL
besetzt	ocupată	besetzen	ocupa	V;V.PTCP	ADJ;INDF;FEM;SG
tabelle	tabelul	tabell	tabel	N;NOM;FEM;SG	N;DEF;MASC;SG
tabelle	masă	tabell	masă	N;NOM;FEM;SG	N;INDF;FEM;SG
tabelle	masa	tabell	masă	N;NOM;FEM;SG	N;DEF;FEM;SG
tabelle	tabelele	tabell	tabel	N;NOM;FEM;SG	N;DEF;FEM;PL
tabelle	tabele	tabell	tabel	N;NOM;FEM;SG	N;INDF;FEM;PL
tabelle	mese	tabell	masă	N;NOM;FEM;SG	N;INDF;FEM;PL
traf	met	treffen	met	V;IND;SG;3;PST;FIN	N
zuschauer	vizualizator	zuschauer	vizualizator	ADV	ADJ;INDF;MASC;SG
zuschauer	audiență	zuschauer	audiență	ADV	N;INDF;FEM;SG
zuschauer	audiența	zuschauer	audiență	ADV	N;DEF;FEM;SG
zuschauer	spectatorii	zuschauer	spectator	ADV	N;DEF;MASC;PL
zuschauer	spectatori	zuschauer	spectator	ADV	N;INDF;MASC;PL
zuschauer	spectator	zuschauer	spectator	ADV	N;INDF;MASC;SG
zuschauer	telespectatori	zuschauer	telespectator	ADV	N;INDF;MASC;PL
zuschauer	telespectatorii	zuschauer	telespectator	ADV	N;DEF;MASC;PL
zuschauer	spectatori	zuschauer	spectator	ADV	N;INDF;MASC;PL
schwedischen	suedeza	schwedisch	suedeză	ADJ;NOM	ADJ;DEF;FEM;SG
schwedischen	suedeză	schwedisch	suedeză	ADJ;NOM	N;INDF;FEM;SG
arnold	arnold	arnold	arnold	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
bestehenden	existând	bestehend	exista	ADJ	V;V.MSDR
reaktion	reactie	Reaktion	reactie	ADJ	N;INDF;FEM;SG
reaktion	reacția	Reaktion	reacție	ADJ	N;DEF;FEM;SG
reaktion	reacție	Reaktion	reacție	ADJ	N;INDF;FEM;SG
reaktion	reacţie	Reaktion	reacţie	ADJ	N;INDF;FEM;SG
reaktion	răspuns	Reaktion	răspuns	ADJ	N;INDF;MASC;SG
reaktion	răspunsul	Reaktion	răspuns	ADJ	N;DEF;MASC;SG
reaktion	reacțiile	Reaktion	reacție	ADJ	N;DEF;FEM;PL
reaktion	reacții	Reaktion	reacție	ADJ	N;INDF;FEM;PL
reaktion	reactii	Reaktion	reactie	ADJ	N;INDF;FEM;PL
sozialen	socială	sozial	social	ADJ;NOM;MASC;PL	ADJ;INDF;FEM;SG
sozialen	sociala	sozial	socială	ADJ;NOM;MASC;PL	N;DEF;FEM;SG
sozialen	socializare	sozial	socializare	ADJ;NOM;MASC;PL	N;INDF;FEM;SG
sozialen	social	sozial	social	ADJ;NOM;MASC;PL	ADV
wahlen	sondaje	wahlen	sondaj	V;NFIN	N;INDF;FEM;PL
wahlen	electorale	wahlen	electoral	V;NFIN	ADJ;INDF;FEM;PL
wahlen	electoral	wahlen	electoral	V;NFIN	ADJ;INDF;MASC;SG
wahlen	electorală	wahlen	electoral	V;NFIN	ADJ;INDF;FEM;SG
wahlen	alegeri	wahlen	alegere	V;NFIN	N;INDF;FEM;PL
wahlen	alegerile	wahlen	alegere	V;NFIN	N;DEF;FEM;PL
wahlen	alegeri	wahlen	alegere	V;NFIN	N;INDF;FEM;PL
schriftstellerin	romancier	schriftstellerin	romancier	ADJ;NOM;FEM	N;INDF;MASC;SG
schriftstellerin	scriitorul	schriftstellerin	scriitor	ADJ;NOM;FEM	N;DEF;MASC;SG
schriftstellerin	scriitor	schriftstellerin	scriitor	ADJ;NOM;FEM	N;INDF;MASC;SG
party	party	party	party	PROPN	N;INDF;MASC;SG
party	petrecere	party	petrecere	PROPN	N;INDF;FEM;SG
party	partid	party	partid	PROPN	N;INDF;MASC;SG
entfernen	îndepărtarea	entfernen	îndepărtare	V;NFIN	N;DEF;FEM;SG
entfernen	ștergere	entfernen	ștergere	V;NFIN	N;INDF;FEM;SG
entfernen	îndepărtare	entfernen	îndepărtare	V;NFIN	N;INDF;FEM;SG
entfernen	îndepărtarea	entfernen	îndepărtare	V;NFIN	N;DEF;FEM;SG
ausgestattet	mobilat	ausstatten	mobila	V;V.PTCP	ADJ;INDF;MASC;SG
ausgestattet	montat	ausstatten	montat	V;V.PTCP	ADJ;INDF;MASC;SG
ausgestattet	montate	ausstatten	monta	V;V.PTCP	ADJ;INDF;FEM;PL
ausgestattet	echipată	ausstatten	echipa	V;V.PTCP	ADJ;INDF;FEM;SG
ausgestattet	echipate	ausstatten	echipa	V;V.PTCP	ADJ;INDF;FEM;PL
ausgestattet	echipat	ausstatten	echipa	V;V.PTCP	ADJ;INDF;MASC;SG
bestandteil	componenta	bestandteil	componenta	ADJ	N;DEF;FEM;SG
bestandteil	componentă	bestandteil	componentă	ADJ	N;INDF;FEM;SG
bestandteil	ingredientul	bestandteil	ingredient	ADJ	N;DEF;MASC;SG
bestandteil	ingredient	bestandteil	ingredient	ADJ	N;INDF;MASC;SG
automatisch	auto	automatisch	auto	ADJ	
automatisch	automatic	automatisch	automatic	ADJ	N;INDF;MASC;SG
automatisch	automat	automatisch	automat	ADJ	ADV
automatisch	automat	automatisch	automat	ADJ	ADV
harry	harry	harry	harry	PROPN;NOM;MASC;SG	PROPN
eingetragen	înregistrate	eintragen	înregistra	V;V.PTCP	ADJ;INDF;FEM;PL
eingetragen	înregistrată	eintragen	înregistrat	V;V.PTCP	ADJ;INDF;FEM;SG
eingetragen	înregistrat	eintragen	înregistrat	V;V.PTCP	ADJ;INDF;MASC;SG
eingetragen	inregistrat	eintragen	inregistra	V;V.PTCP	ADJ;INDF;MASC;SG
regionen	regiuni	regionen	regiune	V;NFIN	N;INDF;FEM;PL
regionen	regiunilor	regionen	regiune	V;NFIN	N;DEF;FEM;PL
regionen	regiunile	regionen	regiune	V;NFIN	N;DEF;FEM;PL
außen	exterioare	außen	exterior	ADV	ADJ;INDF;FEM;PL
außen	exterior	außen	exterior	ADV	N;INDF;MASC;SG
außen	extern	außen	extern	ADV	ADJ;INDF;MASC;SG
außen	externe	außen	extern	ADV	ADJ;INDF;FEM;PL
außen	externi	außen	extern	ADV	ADJ;INDF;MASC;PL
außen	externă	außen	extern	ADV	ADJ;INDF;FEM;SG
außen	exterior	außen	exterior	ADV	N;INDF;MASC;SG
außen	exterioare	außen	exterior	ADV	ADJ;INDF;FEM;PL
außen	exteriorul	außen	exterior	ADV	N;DEF;MASC;SG
außen	exterioară	außen	exterior	ADV	ADJ;INDF;FEM;SG
außen	exterior	außen	exterior	ADV	N;INDF;MASC;SG
diverse	diverse	divers	divers	N;NOM;FEM;PL	ADJ;INDF;FEM;PL
diverse	asortate	divers	asorta	N;NOM;FEM;PL	ADJ;INDF;FEM;PL
verfassung	constituționale	verfassung	constituțional	N;NOM;FEM;SG	ADJ;INDF;FEM;PL
verfassung	constituţia	verfassung	constitugie	N;NOM;FEM;SG	N;DEF;FEM;SG
verfassung	constitutie	verfassung	constitutie	N;NOM;FEM;SG	N;INDF;FEM;SG
verfassung	constituție	verfassung	constituție	N;NOM;FEM;SG	N;INDF;FEM;SG
verfassung	constituția	verfassung	constituție	N;NOM;FEM;SG	N;DEF;FEM;SG
getrennt	separat	trennen	separat	V;V.PTCP	ADJ;INDF;MASC;SG
getrennt	separate	trennen	separat	V;V.PTCP	ADJ;INDF;FEM;PL
getrennt	separat	trennen	separat	V;V.PTCP	ADJ;INDF;MASC;SG
getrennt	deconectat	trennen	deconectat	V;V.PTCP	ADJ;INDF;MASC;SG
getrennt	separat	trennen	separat	V;V.PTCP	ADJ;INDF;MASC;SG
getrennt	separată	trennen	separa	V;V.PTCP	ADJ;INDF;FEM;SG
getrennt	separate	trennen	separat	V;V.PTCP	ADJ;INDF;FEM;PL
entfernung	distanta	entfernung	distantă	ADJ	N;DEF;FEM;SG
entfernung	distanţă	entfernung	distanţă	ADJ	N;INDF;FEM;SG
entfernung	distanța	entfernung	distanță	ADJ	N;DEF;FEM;SG
entfernung	distanță	entfernung	distanță	ADJ	N;INDF;FEM;SG
entfernung	distanțe	entfernung	distanță	ADJ	N;INDF;FEM;PL
entfernung	distante	entfernung	distant	ADJ	N;INDF;FEM;PL
entfernung	îndepărtare	entfernung	îndepărtare	ADJ	N;INDF;FEM;SG
entfernung	îndepărtarea	entfernung	îndepărtare	ADJ	N;DEF;FEM;SG
beendet	încheiat	beenden	încheia	V;V.PTCP	ADJ;INDF;MASC;SG
beendet	finalizat	beenden	finaliza	V;V.PTCP	ADJ;INDF;MASC;SG
beendet	completat	beenden	completa	V;V.PTCP	ADJ;INDF;MASC;SG
beendet	finalizată	beenden	finaliza	V;V.PTCP	ADJ;INDF;FEM;SG
beendet	încheiat	beenden	încheia	V;V.PTCP	ADJ;INDF;MASC;SG
beendet	terminat	beenden	termina	V;V.PTCP	ADJ;INDF;MASC;SG
beendet	întrerupt	beenden	întrerupt	V;V.PTCP	ADJ;INDF;MASC;SG
gefahr	riscul	gefahren	risc		N;DEF;MASC;SG
gefahr	risc	gefahren	risc		N;INDF;MASC;SG
gefahr	riscuri	gefahren	risc		N;INDF;FEM;PL
gefahr	amenințare	gefahren	amenințare		N;INDF;FEM;SG
gefahr	amenintare	gefahren	amenintare		N;INDF;FEM;SG
gefahr	hazard	gefahren	hazard		N;INDF;MASC;SG
gefahr	pericol	gefahren	pericol		N;INDF;MASC;SG
gefahr	pericolul	gefahren	pericol		N;DEF;MASC;SG
gefahr	primejdie	gefahren	primejdie		N;INDF;FEM;SG
gefahr	pericol	gefahren	pericol		N;INDF;MASC;SG
minister	ministru	minister	ministru		N;INDF;MASC;SG
minister	ministrul	minister	ministru		N;DEF;MASC;SG
minister	ministerială	minister	ministerial		ADJ;INDF;FEM;SG
minister	miniștri	minister	ministru		N;INDF;MASC;PL
minister	miniștrii	minister	ministru		N;DEF;MASC;PL
bedarf	nevoie	bedarf	nevoie		N;INDF;FEM;SG
bedarf	nevoile	bedarf	nevoie		N;DEF;FEM;PL
bedarf	nevoi	bedarf	nevoie		N;INDF;FEM;PL
bedarf	obligatoriu	bedarf	obligatoriu		ADV
bedarf	necesare	bedarf	necesar		ADJ;INDF;FEM;PL
bedarf	necesară	bedarf	necesar		ADJ;INDF;FEM;SG
bedarf	necesar	bedarf	necesar		ADV
bedarf	cererea	bedarf	cerere		N;DEF;FEM;SG
bedarf	cerere	bedarf	cerere		N;INDF;FEM;SG
mitarbeit	colaborarea	mitarbeit	colaborare	N;NOM;SG	N;DEF;FEM;SG
mitarbeit	colaborare	mitarbeit	colaborare	N;NOM;SG	N;INDF;FEM;SG
mitarbeit	cooperare	mitarbeit	cooperare	N;NOM;SG	N;INDF;FEM;SG
mitarbeit	cooperarea	mitarbeit	cooperare	N;NOM;SG	N;DEF;FEM;SG
leopold	leopold	leopold	leopold	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
interessant	interesant	interessant	interesant	ADJ	ADV
sowjetischen	sovietică	sowjetisch	sovietic	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;SG
sowjetischen	sovietici	sowjetisch	sovietic	ADJ;NOM;MASC;SG	ADJ;INDF;MASC;PL
sowjetischen	sovietice	sowjetisch	sovietic	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;PL
hochschullehrer	profesori	hochschullehrer	profesor	ADJ	N;INDF;MASC;PL
generation	generaţie	generation	generaţie	ADJ	N;INDF;FEM;SG
generation	generație	generation	generație	ADJ	N;INDF;FEM;SG
generation	generarea	generation	generare	ADJ	N;DEF;FEM;SG
generation	generatie	generation	generatie	ADJ	N;INDF;FEM;SG
wunsch	dorinta	wunsch	dorintă		N;DEF;FEM;SG
wunsch	dorința	wunsch	dorință		N;DEF;FEM;SG
wunsch	dorință	wunsch	dorință		N;INDF;FEM;SG
wunsch	doresc	wunsch	dori		V;IND;PL;3;PRS;FIN
drittel	treimi	Drittel	treime	ADJ;NOM	
verurteilt	condamnat	verurteilen	condamna	V;V.PTCP	ADJ;INDF;MASC;SG
verurteilt	condamnată	verurteilen	condamna	V;V.PTCP	ADJ;INDF;FEM;SG
verurteilt	condamnat	verurteilen	condamna	V;V.PTCP	ADJ;INDF;MASC;SG
verurteilt	condamnate	verurteilen	condamna	V;V.PTCP	ADJ;INDF;FEM;PL
waffen	armele	waffen	armă		N;DEF;FEM;PL
waffen	arme	waffen	armă		N;INDF;FEM;PL
waffen	armă	waffen	armă		N;INDF;FEM;SG
waffen	arma	waffen	armă		N;DEF;FEM;SG
waffen	armament	waffen	armament		N;INDF;MASC;SG
waffen	armele	waffen	armă		N;DEF;FEM;PL
waffen	arme	waffen	armă		N;INDF;FEM;PL
waffen	bratele	waffen	brate		N;DEF;FEM;PL
waffen	brațe	waffen	braț		N;INDF;FEM;PL
dietrich	dietrich	dietrich	dietrich	PROPN	PROPN
schweren	heavy	schwer	heavy	ADJ;SG	N;INDF;MASC;SG
schweren	greu	schwer	greu	ADJ;SG	ADV
schweren	grele	schwer	greu	ADJ;SG	ADJ;INDF;FEM;PL
schweren	grei	schwer	grei	ADJ;SG	ADJ;INDF;MASC;PL
schweren	severe	schwer	sever	ADJ;SG	ADJ;INDF;FEM;PL
geb	nascut	geb	naște	V;V.PTCP	ADJ;INDF;MASC;SG
geb	născută	geb	naște	V;V.PTCP	ADJ;INDF;FEM;SG
geb	născut	geb	naște	V;V.PTCP	ADJ;INDF;MASC;SG
schneider	schneider	schneider	schneider	PROPN	N;INDF;MASC;SG
schneider	croitor	schneider	croitor	PROPN	N;INDF;MASC;SG
schneider	croitori	schneider	croitor	PROPN	N;INDF;MASC;PL
fassung	versiunea	fassung	versiune	PROPN	N;DEF;FEM;SG
fassung	versiune	fassung	versiune	PROPN	N;INDF;FEM;SG
neubau	reconstrui	neubau	reconstrui	ADV	V;IND;SG;3;PRS;FIN
neubau	reconstruiesc	neubau	reconstrui	ADV	V;IND;PL;3;PRS;FIN
gemeinschaft	bursă	gemeinschaft	bursă	ADJ	N;INDF;FEM;SG
gemeinschaft	comunitate	gemeinschaft	comunitate	ADJ	N;INDF;FEM;SG
gemeinschaft	comunitatea	gemeinschaft	comunitate	ADJ	N;DEF;FEM;SG
weiße	albi	weiß	alb	ADJ;NOM;FEM;PL	
weiße	albă	weiß	alb	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
weiße	alb	weiß	alb	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
auszeichnung	distincție	auszeichnung	distincție	N;NOM;FEM;SG	N;INDF;FEM;SG
auszeichnung	distincția	auszeichnung	distincție	N;NOM;FEM;SG	N;DEF;FEM;SG
auszeichnung	onoruri	auszeichnung	onor	N;NOM;FEM;SG	N;INDF;FEM;PL
auszeichnung	premiul	auszeichnung	premiu	N;NOM;FEM;SG	N;DEF;MASC;SG
zugang	accesez	zugang	accesaz	N	V;IND;SG;1;PRS;FIN
garten	grădinărit	garten	grădinări	V;NFIN	N;INDF;MASC;SG
garten	grădină	garten	grădină	V;NFIN	N;INDF;FEM;SG
garten	grădina	garten	grădină	V;NFIN	N;DEF;FEM;SG
garten	gradina	garten	gradină	V;NFIN	N;DEF;FEM;SG
garten	grădini	garten	grădină	V;NFIN	N;INDF;FEM;PL
garten	grădinile	garten	grădină	V;NFIN	N;DEF;FEM;PL
garten	gardens	garten	gardens	V;NFIN	N;INDF;MASC;SG
weisen	înțelept	weisen	înțelept	V;NFIN	ADJ;INDF;MASC;SG
weisen	sage	weisen	sagă	V;NFIN	N;INDF;MASC;SG
weisen	salvie	weisen	salvie	V;NFIN	N;INDF;FEM;SG
auftritt	aspectul	auftreten	aspect	V;IND;SG;3;PRS;FIN	N;DEF;MASC;SG
auftritt	aspect	auftreten	aspect	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
oberhalb	deasupra	oberhalb	deasupra	ADV	ADP;GEN
thüringen	turingia	thüringen	turingie	PROPN;NOM;NEUT;SG	PROPN
tonnen	tona	tonnen	tonă	N;NOM;FEM;PL	N;DEF;FEM;SG
tonnen	tona	tonnen	tonă	N;NOM;FEM;PL	N;DEF;FEM;SG
tonnen	tonă	tonnen	tonă	N;NOM;FEM;PL	N;INDF;FEM;SG
afrika	afrika	afrika	afrika	PROPN;NOM;MASC;SG	PROPN
afrika	africa	afrika	africa	PROPN;NOM;MASC;SG	N;DEF;FEM;SG
wagner	wagner	wagner	wagner	PROPN;NOM;MASC;SG	PROPN
bedingungen	termenii	bedingung	termen	V;NFIN	N;DEF;MASC;PL
bedingungen	termeni	bedingung	termen	V;NFIN	N;INDF;MASC;PL
bedingungen	condițiile	bedingung	condiție	V;NFIN	N;DEF;FEM;PL
bedingungen	condiții	bedingung	condiție	V;NFIN	N;INDF;FEM;PL
bedingungen	conditii	bedingung	conditie	V;NFIN	N;INDF;FEM;PL
bedingungen	conditiile	bedingung	conditie	V;NFIN	N;DEF;FEM;PL
niederlande	netherland	niederlinde	netherland	PROPN;NOM;FEM;SG	N;INDF;MASC;SG
niederlande	olanda	niederlinde	olanda	PROPN;NOM;FEM;SG	PROPN
niederlande	olanda	niederlinde	olanda	PROPN;NOM;FEM;SG	PROPN
niederlande	holland	niederlinde	holland	PROPN;NOM;FEM;SG	PROPN
hafen	harbor	hafen	harbor		PROPN
hafen	portul	hafen	port		N;DEF;MASC;SG
hafen	port	hafen	port		N;INDF;MASC;SG
hafen	harbour	hafen	harbour		N;INDF;MASC;SG
hafen	porturile	hafen	port		N;DEF;FEM;PL
hafen	porturi	hafen	port		N;INDF;FEM;PL
entschied	decisă	entscheiden	decide	V;IND;SG;3;PST;FIN	ADJ;INDF;FEM;SG
entschied	decis	entscheiden	decide	V;IND;SG;3;PST;FIN	N;INDF;MASC;SG
entschied	hotărât	entscheiden	hotărî	V;IND;SG;3;PST;FIN	ADJ;INDF;MASC;SG
entschied	optat	entscheiden	optat	V;IND;SG;3;PST;FIN	ADJ;INDF;MASC;SG
tut	toot	tun	toot	V;IND;SG;3;PRS;FIN	
tut	tut	tun	tut	V;IND;SG;3;PRS;FIN	
ermöglicht	activate	ermöglichen	activa	V;V.PTCP	ADJ;INDF;FEM;PL
ermöglicht	activat	ermöglichen	activat	V;V.PTCP	ADJ;INDF;MASC;SG
ermöglicht	activată	ermöglichen	activa	V;V.PTCP	ADJ;INDF;FEM;SG
verbindungen	legături	verbindung	legătură	V;NFIN	N;INDF;FEM;PL
verbindungen	conexiuni	verbindung	conexiune	V;NFIN	N;INDF;FEM;PL
verbindungen	conectivitate	verbindung	conectivitate	V;NFIN	N;INDF;FEM;SG
verbindungen	linkuri	verbindung	link	V;NFIN	N;INDF;FEM;PL
verbindungen	legaturi	verbindung	legatură	V;NFIN	N;INDF;FEM;PL
verbindungen	linkurile	verbindung	link	V;NFIN	N;DEF;FEM;PL
verbindungen	legături	verbindung	legătură	V;NFIN	N;INDF;FEM;PL
verbindungen	compuși	verbindung	compus	V;NFIN	N;INDF;MASC;PL
kontrolle	control	kontroll	control	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
kontrolle	controlează	kontroll	controla	ADJ;NOM;FEM;SG	V;IND;3;PRS;FIN
kontrolle	controlul	kontroll	control	ADJ;NOM;FEM;SG	N;DEF;MASC;SG
kontrolle	monitorizarea	kontroll	monitorizare	ADJ;NOM;FEM;SG	N;DEF;FEM;SG
kontrolle	monitorizare	kontroll	monitorizare	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
kontrolle	inspecția	kontroll	inspecție	ADJ;NOM;FEM;SG	N;DEF;FEM;SG
kontrolle	inspecție	kontroll	inspecție	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
kontrolle	controalele	kontroll	control	ADJ;NOM;FEM;SG	N;DEF;FEM;PL
kontrolle	controale	kontroll	control	ADJ;NOM;FEM;SG	N;INDF;FEM;PL
kontrolle	supervizare	kontroll	supervizare	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
kontrolle	supraveghere	kontroll	supraveghere	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
kontrolle	supravegherea	kontroll	supraveghere	ADJ;NOM;FEM;SG	N;DEF;FEM;SG
emil	emile	emil	emile	PROPN;NOM;MASC;SG	PROPN
emil	emil	emil	emil	PROPN;NOM;MASC;SG	PROPN
schwerpunkt	focalizare	schwerpunkt	focalizare	ADJ	N;INDF;FEM;SG
schwerpunkt	focalizare	schwerpunkt	focalizare	ADJ	N;INDF;FEM;SG
schwerpunkt	axă	schwerpunkt	axă	ADJ	N;INDF;FEM;SG
schwerpunkt	axa	schwerpunkt	axa	ADJ	N;DEF;FEM;SG
reiches	reich	reich	reich	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
reiches	bogata	reich	bogat	ADJ;NOM;NEUT;SG	ADJ;DEF;FEM;SG
reiches	bogată	reich	bogat	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;SG
reiches	rich	reich	rich	ADJ;NOM;NEUT;SG	PROPN
langsam	lent	langsam	lent	ADJ	ADV
langsam	încet	langsam	încet	ADJ	ADV
norwegen	oslo	norwegen	oslo	PROPN	PROPN
norwegen	norvegia	norwegen	norvegie	PROPN	N;DEF;FEM;SG
angeblich	presupusa	angeblich	presupus	ADJ	N;DEF;FEM;SG
angeblich	chipurile	angeblich	chipurile	ADJ	N;DEF;FEM;PL
sebastian	sebastian	sebastian	sebastian	PROPN;NOM;SG	N;INDF;MASC;SG
initiative	initiativa	initiativ	initiativă	N;NOM;FEM;SG	N;DEF;FEM;SG
initiative	inițiativă	initiativ	inițiativă	N;NOM;FEM;SG	N;INDF;FEM;SG
initiative	inițiativa	initiativ	inițiativă	N;NOM;FEM;SG	N;DEF;FEM;SG
maßnahmen	acţiune	maßnahmen	acţiune	V;NFIN	N;INDF;FEM;SG
maßnahmen	actiune	maßnahmen	actiune	V;NFIN	N;INDF;FEM;SG
maßnahmen	acțiune	maßnahmen	acțiune	V;NFIN	N;INDF;FEM;SG
maßnahmen	măsuri	maßnahmen	măsură	V;NFIN	N;INDF;FEM;PL
maßnahmen	măsurile	maßnahmen	măsură	V;NFIN	N;DEF;FEM;PL
maßnahmen	masuri	maßnahmen	mas	V;NFIN	N;INDF;FEM;PL
maßnahmen	acțiunile	maßnahmen	acțiune	V;NFIN	N;DEF;FEM;PL
maßnahmen	acțiuni	maßnahmen	acțiune	V;NFIN	N;INDF;FEM;PL
aktivitäten	activitati	aktivität	activitati	V;NFIN	N;INDF;FEM;PL
aktivitäten	activitățile	aktivität	activitate	V;NFIN	N;DEF;FEM;PL
aktivitäten	activități	aktivität	activitate	V;NFIN	N;INDF;FEM;PL
aktivitäten	activitatea	aktivität	activitate	V;NFIN	N;DEF;FEM;SG
aktivitäten	activitate	aktivität	activitate	V;NFIN	N;INDF;FEM;SG
oscar	oscar	oscar	oscar	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
medaille	medalia	medaill	medalie	N;NOM;FEM;SG	N;DEF;FEM;SG
medaille	medalie	medaill	medalie	N;NOM;FEM;SG	N;INDF;FEM;SG
großteil	vrac	großteil	vrac	ADV	N;INDF;MASC;SG
freiheit	libertate	freiheit	libertate		N;INDF;FEM;SG
freiheit	libertatea	freiheit	libertate		N;DEF;FEM;SG
freiheit	freedom	freiheit	freedom		N;INDF;MASC;SG
freiheit	libertate	freiheit	libertate		N;INDF;FEM;SG
freiheit	liberty	freiheit	liberty		N;INDF;MASC;SG
route	traseu	rouen	traseu	PROPN;NOM;SG	N;INDF;MASC;SG
route	rută	rouen	rută	PROPN;NOM;SG	N;INDF;FEM;SG
route	ruta	rouen	ruta	PROPN;NOM;SG	N;DEF;FEM;SG
route	traseul	rouen	traseu	PROPN;NOM;SG	N;DEF;MASC;SG
route	itinerariul	rouen	itinerariu	PROPN;NOM;SG	N;DEF;MASC;SG
doppel	dublează	doppel	dubla		V;IND;3;PRS;FIN
doppel	duble	doppel	dublu		N;INDF;FEM;PL
doppel	dubla	doppel	dublu		ADJ;DEF;FEM;SG
doppel	dublă	doppel	dublu		ADJ;INDF;FEM;SG
doppel	dublu	doppel	dublu		ADJ;INDF;MASC;SG
doppel	duble	doppel	dublu		N;INDF;FEM;PL
baron	baron	baron	baron	PROPN	N;INDF;MASC;SG
verschieben	tură	verscheiben	tură	V;NFIN	N;INDF;FEM;SG
verschieben	tura	verscheiben	tură	V;NFIN	N;DEF;FEM;SG
verschieben	mutare	verscheiben	mutare	V;NFIN	N;INDF;FEM;SG
verschieben	mutarea	verscheiben	mutare	V;NFIN	N;DEF;FEM;SG
projekte	project	projekt	project	ADJ;NOM;PL	N;INDF;MASC;SG
projekte	proiectului	projekt	proiect	ADJ;NOM;PL	N;DEF;MASC;SG
projekte	proiectul	projekt	proiect	ADJ;NOM;PL	N;DEF;MASC;SG
projekte	proiect	projekt	proiect	ADJ;NOM;PL	N;INDF;MASC;SG
projekte	proiectele	projekt	proiect	ADJ;NOM;PL	N;DEF;FEM;PL
projekte	proiecte	projekt	proiect	ADJ;NOM;PL	N;INDF;FEM;PL
felix	felix	felix	felix	PROPN;NOM;MASC;SG	PROPN
kamera	cam	kamera	cam	PROPN	ADV
priester	popă	priest	popă	ADJ	N;INDF;MASC;SG
priester	preot	priest	preot	ADJ	N;INDF;MASC;SG
priester	preotul	priest	preot	ADJ	N;DEF;MASC;SG
priester	preoti	priest	preoti	ADJ	N;INDF;MASC;PL
priester	popii	priest	popă	ADJ	N;DEF;MASC;PL
priester	preotii	priest	preotie	ADJ	N;DEF;MASC;PL
charakter	personaj	charakter	personaj	ADJ	N;INDF;MASC;SG
charakter	caracterul	charakter	caracter	ADJ	N;DEF;MASC;SG
charakter	caracter	charakter	caracter	ADJ	N;INDF;MASC;SG
erklärte	declarată	erklären	declarat	V;IND;SG;3;PST;FIN	ADJ;INDF;FEM;SG
erklärte	declarate	erklären	declara	V;IND;SG;3;PST;FIN	ADJ;INDF;FEM;PL
erklärte	declarat	erklären	declara	V;IND;SG;3;PST;FIN	ADJ;INDF;MASC;SG
erklärte	explicate	erklären	explica	V;IND;SG;3;PST;FIN	ADJ;INDF;FEM;PL
erklärte	explicat	erklären	explica	V;IND;SG;3;PST;FIN	ADJ;INDF;MASC;SG
erklärte	explicată	erklären	explica	V;IND;SG;3;PST;FIN	ADJ;INDF;FEM;SG
erklärte	proclamat	erklären	proclama	V;IND;SG;3;PST;FIN	ADJ;INDF;MASC;SG
big	mare	bigen	mare		ADJ;INDF;MASC;SG
big	mari	bigen	mare		ADJ;INDF;PL
big	big	bigen	big		N;INDF;MASC;SG
street	street	streen	street	PROPN	N;INDF;MASC;SG
street	strada	streen	stradă	PROPN	N;DEF;FEM;SG
street	stradă	streen	stradă	PROPN	N;INDF;FEM;SG
ausgeführt	executate	ausführen	executa	V;V.PTCP	ADJ;INDF;FEM;PL
ausgeführt	executată	ausführen	executa	V;V.PTCP	ADJ;INDF;FEM;SG
ausgeführt	executat	ausführen	executa	V;V.PTCP	ADJ;INDF;MASC;SG
ausgeführt	exportat	ausführen	exportat	V;V.PTCP	ADJ;INDF;MASC;SG
ausgeführt	exportate	ausführen	exportat	V;V.PTCP	ADJ;INDF;FEM;PL
