категорія	kategorii	категорія	kategoria	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
зазнав	cierpiała	зазнати	cierpieć	V;PFV;MASC;IND;SG;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
золото	złota	золото	złoty	N;INAN;NOM;NEUT;SG	
золото	złoto	золото	złoto	N;INAN;NOM;NEUT;SG	
золото	gold	золото	gold	N;INAN;NOM;NEUT;SG	
золото	złoty	золото	złoty	N;INAN;NOM;NEUT;SG	
характеристика	charakterystyczne	характеристика	charakterystyczny	N;INAN;NOM;FEM;SG	ADJ;NOM;NEUT;SG
шляхи	trasy	шлях	trasa	N;INAN;NOM;MASC;PL	N;ACC;FEM;PL
шляхи	tras	шлях	tras	N;INAN;NOM;MASC;PL	N;GEN;FEM;PL
шляхи	ścieżki	шлях	ścieżka	N;INAN;NOM;MASC;PL	N;ACC;FEM;PL
шляхи	ścieżek	шлях	ścieżka	N;INAN;NOM;MASC;PL	N;GEN;FEM;PL
липень	lipca	липень	lipiec	N;INAN;NOM;MASC;SG	
липень	lipiec	липень	lipiec	N;INAN;NOM;MASC;SG	
вночі	nite	вночі	nity	ADV	
берега	brzeg	берег	brzeg	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
співробітників	pracownicy	співробітник	pracownik	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
росте	rosnące	рости	rosnąć	V;IPFV;IND;SG;3;PRS;FIN	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
росте	rosnący	рости	rosnąć	V;IPFV;IND;SG;3;PRS;FIN	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
росте	uprawa	рости	uprawa	V;IPFV;IND;SG;3;PRS;FIN	
росте	uprawy	рости	uprawa	V;IPFV;IND;SG;3;PRS;FIN	N;GEN;FEM;SG
сербії	serbii	сербія	serbia	PROPN;INAN;GEN;FEM;SG	PROPN;GEN;FEM;SG
сербії	serbia	сербія	serbia	PROPN;INAN;GEN;FEM;SG	N;NOM;FEM;SG
пан	pang	пан	pang	N;ANIM;NOM;MASC;SG	
аргентини	argentyna	аргентина	argentyna	PROPN;INAN;NOM;FEM;SG	
аргентини	argentyna	аргентина	argentyna	PROPN;INAN;NOM;FEM;SG	
аргентини	argentyny	аргентина	argentyna	PROPN;INAN;NOM;FEM;SG	
користувачі	użytkowników	користувач	użytkownik	N;ANIM;NOM;MASC;PL	N;ACC;MASC;PL
користувачі	użytkownikom	користувач	użytkownik	N;ANIM;NOM;MASC;PL	N;DAT;MASC;PL
прямо	prosto	прямо	prosto	ADV	
написати	piszcie	написати	pisać	V;PFV;NFIN	V;IPFV;IMP;PL;2;FIN;ACT
написати	pisać	написати	pisać	V;PFV;NFIN	V;IPFV;NFIN;ACT
написати	pisz	написати	pisać	V;PFV;NFIN	V;IPFV;IMP;SG;2;FIN;ACT
написати	komponować	написати	komponować	V;PFV;NFIN	V;IPFV;NFIN;ACT
литви	litwy	литва	litwa	PROPN;INAN;NOM;FEM;SG	PROPN;GEN;FEM;SG
литви	litwa	литва	litwa	PROPN;INAN;NOM;FEM;SG	
зустріч	spotkania	зустріч	spotkanie	N;INAN;NOM;FEM;SG	N;NOM;NEUT;PL
зустріч	łaskawy	зустріч	łaskawy	N;INAN;NOM;FEM;SG	ADJ;NOM;MASC;SG
зустріч	miłosierny	зустріч	miłosierny	N;INAN;NOM;FEM;SG	ADJ;NOM;MASC;SG
жити	live	жити	liv	V;IPFV;NFIN	
жити	żywo	жити	żywo	V;IPFV;NFIN	
коледж	studia	коледж	studia	N;INAN;NOM;MASC;SG	N;NOM;NEUT;PL
діаметр	średnicy	діаметр	średnica	N;INAN;NOM;MASC;SG	N;GEN;FEM;SG
валентина	valentina	валентин	valentina	N;ANIM;NOM;FEM;SG	
валентина	walentynki	валентин	walentynka	N;ANIM;NOM;FEM;SG	N;NOM;FEM;PL
валентина	valentine	валентин	valentine	N;ANIM;NOM;FEM;SG	
покарання	kary	покарання	kara	N;INAN;NOM;NEUT;SG	N;ACC;FEM;PL
занадто	tez	занадто	tez	ADV	
занадто	też	занадто	też	ADV	PART
занадто	too	занадто	too	ADV	
занадто	zbyt	занадто	zbyt	ADV	PART
становище	sytuacje	становище	sytuacja	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
становище	sytuacji	становище	sytuacja	N;INAN;NOM;NEUT;SG	N;DAT;FEM;SG
звичайний	plain	звичайний	plain	ADJ;NOM;MASC;SG	
звичайний	regularnie	звичайний	regularnie	ADJ;NOM;MASC;SG	ADV
звичайний	normalnie	звичайний	normalnie	ADJ;NOM;MASC;SG	ADV
бачу	patrz	бачити	patrzeć	V;IPFV;IND;SG;1;PRS;FIN	V;IPFV;IMP;SG;2;FIN;ACT
бачу	zobacz	бачити	zobaczyć	V;IPFV;IND;SG;1;PRS;FIN	V;PFV;IMP;SG;2;FIN;ACT
продукти	produktów	продукт	produkt	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
боїв	rajstopy	бій	rajstopa	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
існувало	istniały	існувати	istnieć	V;IPFV;NEUT;IND;SG;PST;FIN	V;IPFV;FEM;IND;PL;PST;FIN;ACT
ріки	rzek	ріка	rzeka	N;INAN;NOM;FEM;PL	
ріки	rzeki	ріка	rzeka	N;INAN;NOM;FEM;PL	
ріки	rivers	ріка	rivers	N;INAN;NOM;FEM;PL	V;IPFV;IND;SG;2;PRS;FIN;ACT
племен	plemion	племено	plemion	N;INAN;GEN;FEM;PL	
племен	plemiona	племено	plemię	N;INAN;GEN;FEM;PL	N;NOM;NEUT;SG
племен	szczepy	племено	szczepy	N;INAN;GEN;FEM;PL	N;NOM;MASC;PL
дослідник	explorer	дослідник	explorer	N;ANIM;NOM;MASC;SG	
дослідник	śledczy	дослідник	śledczy	N;ANIM;NOM;MASC;SG	
офіцерів	funkcjonariusze	офіцер	funkcjonariusz	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
офіцерів	oficerowie	офіцер	oficer	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
ганна	hannah	ганний	hannah	PROPN;ANIM;NOM;FEM;SG	
ганна	hanna	ганний	hanna	PROPN;ANIM;NOM;FEM;SG	PROPN;NOM;FEM;SG
ганна	hanny	ганний	hanny	PROPN;ANIM;NOM;FEM;SG	
ганна	hanny	ганний	hanny	PROPN;ANIM;NOM;FEM;SG	
ганна	hanna	ганний	hanna	PROPN;ANIM;NOM;FEM;SG	PROPN;NOM;FEM;SG
волосся	włosy	волосся	włos	N;INAN;NOM;NEUT;SG	N;NOM;MASC;PL
волосся	sierść	волосся	sierść	N;INAN;NOM;NEUT;SG	
волосся	włosów	волосся	włos	N;INAN;NOM;NEUT;SG	N;GEN;MASC;PL
східних	oriental	східний	oriental	ADJ;GEN;PL	N;NOM;MASC;SG
існував	istniały	існувати	istnieć	V;IPFV;MASC;IND;SG;PST;FIN	V;IPFV;FEM;IND;PL;PST;FIN;ACT
гармат	armaty	гармат	armata	N;INAN;GEN;FEM;PL	N;ACC;FEM;SG
наша	nasi	наш	nasz	DET;NOM;FEM;SG;1	DET;NOM;MASC;PL;1
наша	our	наш	our	DET;NOM;FEM;SG;1	
клітин	rozróżnienie	клітина	rozróżnienie	N;INAN;GEN;FEM;PL	N;NOM;NEUT;SG
клітин	zróżnicowanie	клітина	zróżnicowanie	N;INAN;GEN;FEM;PL	N;NOM;NEUT;SG
шкіри	skóry	шкіра	skóra	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
шкіри	skórę	шкіра	skóra	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
шкіри	skóra	шкіра	skóra	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
інтересів	zainteresowania	інтерес	zainteresowanie	N;INAN;GEN;MASC;PL	N;NOM;NEUT;PL
лабораторії	laboratoriów	лабораторія	laboratorie	N;INAN;NOM;FEM;PL	
лабораторії	laboratorium	лабораторія	laboratorium	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
різноманітні	różnych	різноманітний	różny	ADJ;NOM;PL	ADJ;GEN;MASC;PL
різноманітні	różne	різноманітний	różny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
різноманітні	rozmaite	різноманітний	rozmaity	ADJ;NOM;PL	
перу	peru	пера	peru	PROPN;INAN;NOM;FEM;SG	PROPN;NOM;MASC;SG
найбільшим	największych	найбільший	duży	ADJ;INS;RL;NEUT;SG	ADJ;GEN;CMPR;MASC;PL
найбільшим	największa	найбільший	duży	ADJ;INS;RL;NEUT;SG	ADJ;NOM;CMPR;FEM;SG
найбільшим	największe	найбільший	duży	ADJ;INS;RL;NEUT;SG	ADJ;NOM;CMPR;NEUT;SG
найбільшим	największy	найбільший	duży	ADJ;INS;RL;NEUT;SG	ADJ;NOM;CMPR;MASC;SG
суверенітету	suwerenność	суверенітет	suwerenność	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
фортеця	twierdza	фортеця	twierdzać	N;INAN;NOM;FEM;SG	
фортеця	fortecy	фортеця	fortek	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
суспільство	society	суспільство	societa	N;INAN;NOM;NEUT;SG	
суспільство	społeczeństwa	суспільство	społeczeństwo	N;INAN;NOM;NEUT;SG	N;GEN;NEUT;SG
рис	ryż	риса	ryż	N;INAN;GEN;FEM;PL	N;NOM;MASC;SG
рис	ryżu	риса	ryż	N;INAN;GEN;FEM;PL	
мартін	marcin	мартін	marcin	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
мартін	martin	мартін	martin	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
допомогти	pomoc	допомогти	pomoc	V;PFV;NFIN	V;IPFV;IND;SG;2;FIN;ACT
допомогти	pomocy	допомогти	pomoc	V;PFV;NFIN	N;GEN;FEM;SG
громадського	publiczne	громадський	publiczny	ADJ;GEN;MASC;SG	ADJ;NOM;NEUT;SG
громадського	public	громадський	publica	ADJ;GEN;MASC;SG	
громадського	publiczna	громадський	publiczny	ADJ;GEN;MASC;SG	ADJ;NOM;FEM;SG
громадського	społeczeństwo	громадський	społeczeństwo	ADJ;GEN;MASC;SG	N;NOM;NEUT;SG
громадського	publiczny	громадський	publiczny	ADJ;GEN;MASC;SG	ADJ;NOM;MASC;SG
нехай	pozwól	нехай	pozwolić		V;PFV;IMP;SG;2;FIN;ACT
церков	kościoły	церков	kościół	N;INAN;GEN;FEM;PL	N;NOM;MASC;PL
виставка	exposition	виставка	exposition	N;INAN;NOM;FEM;SG	
виставка	wystawę	виставка	wystawa	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
виставка	targi	виставка	targa	N;INAN;NOM;FEM;SG	N;NOM;MASC;PL
виставка	wystawy	виставка	wystawa	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
рейн	ren	рейн	ren		
рейн	renie	рейн	rena		
рейн	rhein	рейн	rhein		PROPN;NOM;MASC;SG
виявляється	najwidoczniej	виявлятися	dydotocznie	V;IPFV;IND;SG;3;PRS;FIN	ADV;CMPR
виявляється	najwyraźniej	виявлятися	wyraźnie	V;IPFV;IND;SG;3;PRS;FIN	ADV;RL
виявляється	widocznie	виявлятися	widocznie	V;IPFV;IND;SG;3;PRS;FIN	ADV
районної	regionalnych	районний	regionalny	ADJ;GEN;FEM;SG	ADJ;GEN;MASC;PL
районної	regionalne	районний	regionalny	ADJ;GEN;FEM;SG	ADJ;NOM;NEUT;SG
районної	regionalny	районний	regionalny	ADJ;GEN;FEM;SG	ADJ;NOM;MASC;SG
районної	regionalna	районний	regionalny	ADJ;GEN;FEM;SG	ADJ;NOM;FEM;SG
критерії	kryterium	критерій	kryterium	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
загрози	zagrożenia	загроза	zagrożenie	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
загрози	groźby	загроза	groźba	N;INAN;NOM;FEM;PL	
загрози	gróźb	загроза	gróźb	N;INAN;NOM;FEM;PL	
провідних	prowadząca	провідний	prowadząca	ADJ;GEN;PL	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;ACT
провідних	prowadzący	провідний	prowadzić	ADJ;GEN;PL	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
провідних	prowadzące	провідний	prowadzić	ADJ;GEN;PL	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
провідних	prowadzenie	провідний	prowadzenie	ADJ;GEN;PL	N;NOM;NEUT;SG;POS;V.MSDR
провідних	prowadząc	провідний	prowadzić	ADJ;GEN;PL	V;IPFV;PRS;V.CVB;ACT
антон	anton	антон	anton	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
європейський	europejskiej	європейський	europejski	ADJ;NOM;MASC;SG	ADJ;GEN;FEM;SG
європейський	european	європейський	european	ADJ;NOM;MASC;SG	
пристрій	urządzenia	пристрій	urządzenie	N;INAN;NOM;MASC;SG	N;NOM;NEUT;PL
пристрій	drive	пристрій	driv	N;INAN;NOM;MASC;SG	
пристрій	prowadzić	пристрій	prowadzić	N;INAN;NOM;MASC;SG	V;IPFV;NFIN;ACT
зірка	star	зірка	star	N;ANIM;NOM;FEM;SG	
зірка	gwiezdne	зірка	gwiezdny	N;ANIM;NOM;FEM;SG	
зірка	gwiazdy	зірка	gwiazda	N;ANIM;NOM;FEM;SG	N;ACC;FEM;PL
угоду	porozumienie	угода	porozumienie	N;INAN;ACC;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
угоду	umowa	угода	umowa	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
угоду	porozumienia	угода	porozumienie	N;INAN;ACC;FEM;SG	N;NOM;NEUT;SG
половина	pół	половина	pół	N;INAN;NOM;FEM;SG	
половина	połowa	половина	połowy	N;INAN;NOM;FEM;SG	
князівство	księstwa	князівство	księstwo	N;INAN;NOM;NEUT;SG	N;GEN;NEUT;SG
пітер	piotra	пітер	piotr	PROPN;ANIM;NOM;MASC;SG	
пітер	peter	пітер	peter	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
пітер	piotruś	пітер	piotruś	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
пітер	piotrze	пітер	piotr	PROPN;ANIM;NOM;MASC;SG	N;VOC;MASC;SG
пітер	piotr	пітер	piotr	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
прес	prasa	пресовий	prasa		N;NOM;FEM;SG
прес	prasie	пресовий	prasa		N;DAT;FEM;SG
прес	naciśnij	пресовий	naciśnąć		V;PFV;IMP;SG;2;FIN;ACT
прес	prasy	пресовий	prasa		
ділянка	obszarze	ділянка	obszarz	N;INAN;NOM;FEM;SG	N;ACC;MASC;SG
галина	halina	галина	halina	N;ANIM;NOM;FEM;SG	PROPN;NOM;FEM;SG
вищу	wyżej	вищий	wysoko	ADJ;ACC;RL;FEM;SG	ADV;CMPR
вищу	wyższe	вищий	wysoki	ADJ;ACC;RL;FEM;SG	ADJ;NOM;CMPR;NEUT;SG
вищу	wyższy	вищий	wysoki	ADJ;ACC;RL;FEM;SG	ADJ;NOM;CMPR;MASC;SG
вищу	wyższa	вищий	wysoki	ADJ;ACC;RL;FEM;SG	ADJ;NOM;CMPR;FEM;SG
виникають	doświadcza	виникати	doświadcza	V;IPFV;IND;PL;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
уздовж	wzdłuż	уздовж	wzdłuż	ADP;GEN	
вироби	produktów	виріб	produkt	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
високі	wysoka	високий	wysoki	ADJ;NOM;PL	
високі	wysokie	високий	wysoki	ADJ;NOM;PL	V;PFV;IND;SG;FIN;ACT
високі	high	високий	high	ADJ;NOM;PL	
високі	wysoki	високий	wysoki	ADJ;NOM;PL	
високі	wysoko	високий	wysoko	ADJ;NOM;PL	ADV
викликає	powodujące	викликати	powodować	V;IPFV;IND;SG;3;PRS;FIN	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
викликає	spowodowanie	викликати	spowodować	V;IPFV;IND;SG;3;PRS;FIN	N;PFV;NOM;NEUT;SG;POS;V.MSDR
викликає	powołanie	викликати	powołać	V;IPFV;IND;SG;3;PRS;FIN	N;PFV;NOM;NEUT;SG;POS;V.MSDR
суми	kwoty	сума	kwota	N;INAN;NOM;FEM;PL	N;ACC;FEM;PL
суми	kwoty	сума	kwota	N;INAN;NOM;FEM;PL	N;ACC;FEM;PL
суми	sumy	сума	suma	N;INAN;NOM;FEM;PL	
суми	kwot	сума	kwot	N;INAN;NOM;FEM;PL	
підрозділ	podpunkt	підрозділ	podpunkt	N;INAN;NOM;MASC;SG	V;IPFV;IND;SG;PRS;FIN;ACT
підрозділ	podsekcja	підрозділ	podsekcja	N;INAN;NOM;MASC;SG	
серпень	sierpnia	серпень	sierpień	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
серпень	augusta	серпень	augusta	N;INAN;NOM;MASC;SG	
серпень	sierpień	серпень	sierpienie	N;INAN;NOM;MASC;SG	
обертання	rotacji	обертання	rotacja	N;INAN;NOM;NEUT;SG	N;GEN;FEM;SG
греція	grecji	греція	grecja	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
мексики	meksyk	мексик	meksyk	PROPN;INAN;GEN;FEM;SG	N;NOM;MASC;SG
засновників	założycieli	засновник	założyciel	N;ANIM;ACC;MASC;PL	V;PFV;MASC;IND;PL;PST;FIN;ACT
засновників	założyciele	засновник	założyciel	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
зборів	zgromadzenie	збір	zgromadzenie	N;INAN;GEN;MASC;PL	N;PFV;NOM;NEUT;SG;POS;V.MSDR
зборів	montaż	збір	montaż	N;INAN;GEN;MASC;PL	
посилань	łącza	посилання	łączyć	N;INAN;GEN;NEUT;PL	
посилань	linki	посилання	linka	N;INAN;GEN;NEUT;PL	N;NOM;FEM;PL
посилань	odnośniki	посилання	odnośnik	N;INAN;GEN;NEUT;PL	N;ACC;MASC;PL
рідше	nieliczne	рідше	nieliczny	ADV;CMPR	ADJ;NOM;NEUT;SG
рона	rhone	рон	rhony		
підготовку	preparaty	підготовка	preparat	N;INAN;ACC;FEM;SG	N;NOM;MASC;PL
підготовку	przetwory	підготовка	przetwór	N;INAN;ACC;FEM;SG	N;NOM;MASC;PL
підготовку	przygotowania	підготовка	przygotowanie	N;INAN;ACC;FEM;SG	N;NOM;NEUT;SG
жертв	ofiarami	жертва	ofiara	N;INAN;GEN;FEM;PL	N;INS;FEM;PL
жертв	ofiar	жертва	ofiara	N;INAN;GEN;FEM;PL	
жертв	ofiary	жертва	ofiara	N;INAN;GEN;FEM;PL	N;NOM;FEM;PL
екіпаж	załogi	екіпаж	załoga	N;INAN;NOM;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
екіпаж	ekipy	екіпаж	ekipa	N;INAN;NOM;MASC;SG	N;NOM;FEM;PL
живлення	moc	живлення	moc	N;INAN;NOM;NEUT;SG	
живлення	power	живлення	power	N;INAN;NOM;NEUT;SG	
старі	stare	старий	stary	ADJ;NOM;PL	
старі	stary	старий	stary	ADJ;NOM;PL	ADJ;NOM;MASC;SG
старі	old	старий	old	ADJ;NOM;PL	
старі	stara	старий	stary	ADJ;NOM;PL	
короткі	krótki	короткий	krótki	ADJ;NOM;PL	ADJ;NOM;MASC;SG
короткі	krótkie	короткий	krótki	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
короткі	short	короткий	short	ADJ;NOM;PL	
короткі	krótko	короткий	krótko	ADJ;NOM;PL	ADV
короткі	krótka	короткий	krótki	ADJ;NOM;PL	ADJ;NOM;FEM;SG
короткі	jot	короткий	jot	ADJ;NOM;PL	
кореї	korea	корія	korea	PROPN;INAN;NOM;FEM;SG	PROPN;NOM;FEM;SG
федерація	federacji	федерація	federacja	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
нквс	nkwd	нквс	nkwd	PROPN;INAN;NOM;FEM;SG	PROPN;NOM;MASC;SG
порту	porto	порт	porto	N;INAN;GEN;MASC;SG	PROPN;NOM;MASC;SG
свідчать	tępy	свідчити	tęp	V;IPFV;IND;PL;3;PRS;FIN	ADJ;NOM;MASC;SG
фракції	oligarchia	фракція	oligarchia	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
каталонії	katalonii	каталонія	katalonia	PROPN;INAN;NOM;FEM;SG	
каталонії	katalonia	каталонія	katalonia	PROPN;INAN;NOM;FEM;SG	N;NOM;FEM;SG
даного	zważywszy	даний	zważyć	ADJ;PFV;GEN;MASC;SG;V.PTCP;PASS	V;PFV;PST;V.CVB;ACT
даного	podane	даний	podać	ADJ;PFV;GEN;MASC;SG;V.PTCP;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
даного	podana	даний	podać	ADJ;PFV;GEN;MASC;SG;V.PTCP;PASS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
областях	regiony	область	regić	N;INAN;ESS;FEM;PL	N;NOM;MASC;PL
областях	rejony	область	rejon	N;INAN;ESS;FEM;PL	N;NOM;MASC;PL
областях	regionów	область	region	N;INAN;ESS;FEM;PL	N;GEN;MASC;PL
опадів	opady	опад	opad	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
останнє	ostatnio	останній	ostatnio	ADJ;NOM;NEUT;SG	ADV
останнє	last	останній	last	ADJ;NOM;NEUT;SG	
останнє	ostatnia	останній	ostatni	ADJ;NOM;NEUT;SG	
архітектурні	gmachu	архітектурний	gmach	ADJ;NOM;PL	N;GEN;MASC;SG
раунд	okrągła	раунд	okrągnąć	N;INAN;NOM;MASC;SG	ADJ;NOM;FEM;SG
раунд	okrągły	раунд	okrągnąć	N;INAN;NOM;MASC;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
раунд	okrągł	раунд	okrągnąć	N;INAN;NOM;MASC;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
ізраїлю	izrael	ізраїля	izrael	PROPN;INAN;GEN;MASC;SG	PROPN;NOM;MASC;SG
надія	hope	надія	hopy	N;INAN;NOM;FEM;SG	
надія	oby	надія	oby	N;INAN;NOM;FEM;SG	
серця	serduszka	серце	serduszko	N;INAN;GEN;NEUT;SG	N;NOM;NEUT;SG
серця	hearts	серце	hearts	N;INAN;GEN;NEUT;SG	
серця	serc	серце	serc	N;INAN;GEN;NEUT;SG	
серця	serca	серце	serce	N;INAN;GEN;NEUT;SG	N;NOM;NEUT;SG
кислоти	kwas	кислота	kwas	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
кислоти	kwasów	кислота	kwas	N;INAN;NOM;FEM;PL	N;GEN;MASC;PL
розуміння	zrozumienia	розуміння	zrozumienie	N;INAN;NOM;NEUT;SG	N;GEN;NEUT;SG
прикладом	precedens	приклад	precedens	N;INAN;INS;MASC;SG	N;NOM;MASC;SG
прикладом	precedensu	приклад	precedens	N;INAN;INS;MASC;SG	N;GEN;MASC;SG
вищі	wyżej	вищий	wysoko	ADJ;NOM;RL;PL	ADV;CMPR
вищі	wyższe	вищий	wysoki	ADJ;NOM;RL;PL	ADJ;NOM;CMPR;NEUT;SG
вищі	wyższy	вищий	wysoki	ADJ;NOM;RL;PL	ADJ;NOM;CMPR;MASC;SG
вищі	wyższa	вищий	wysoki	ADJ;NOM;RL;PL	ADJ;NOM;CMPR;FEM;SG
пройшла	organizowane	пройти	organizować	V;PFV;FEM;IND;SG;PST;FIN	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
пройшла	gospodarzem	пройти	gospodarz	V;PFV;FEM;IND;SG;PST;FIN	N;INS;MASC;SG
таксі	taxi	таксі	taxi	INTJ	
таксі	taksówka	таксі	taksówka	INTJ	N;NOM;FEM;SG
таксі	taksówki	таксі	taksówka	INTJ	N;NOM;FEM;PL
таксі	taksówka	таксі	taksówka	INTJ	N;NOM;FEM;SG
таксі	kabina	таксі	kabina	INTJ	N;NOM;FEM;SG
таксі	kabiny	таксі	kabina	INTJ	N;ACC;FEM;PL
таксі	taksówkę	таксі	taksówka	INTJ	N;ACC;FEM;SG
золоті	złote	золотий	złoty	ADJ;NOM;PL	
золоті	golden	золотий	golden	ADJ;NOM;PL	
золоті	złoty	золотий	złoty	ADJ;NOM;PL	
золоті	złota	золотий	złoty	ADJ;NOM;PL	
золоті	złota	золотий	złoty	ADJ;NOM;PL	
золоті	złoto	золотий	złoto	ADJ;NOM;PL	
золоті	gold	золотий	gold	ADJ;NOM;PL	
золоті	złoty	золотий	złoty	ADJ;NOM;PL	
витрати	wydawanie	витрата	wydawać	N;INAN;NOM;MASC;PL	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
витрати	wydatek	витрата	wydatek	N;INAN;NOM;MASC;PL	N;NOM;MASC;SG
російську	rosyjski	російський	rosyjski	ADJ;ACC;FEM;SG	ADJ;NOM;MASC;SG
російську	rosyjska	російський	rosyjski	ADJ;ACC;FEM;SG	ADJ;NOM;FEM;SG
російську	rosyjskie	російський	rosyjski	ADJ;ACC;FEM;SG	ADJ;NOM;NEUT;SG
російську	rosjanin	російський	rosjanin	ADJ;ACC;FEM;SG	N;NOM;MASC;SG
днк	okazy	днк	okaz	N;INAN;NOM;FEM;SG	N;NOM;MASC;PL
днк	okazów	днк	okaz	N;INAN;NOM;FEM;SG	N;GEN;MASC;PL
днк	dna	днк	dno	N;INAN;NOM;FEM;SG	
критики	krytyka	критика	krytyka	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
критики	krytyki	критика	krytyk	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
критики	krytykę	критика	krytyka	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
ярослава	jaroslava	ярославий	jaroslav	PROPN;ANIM;NOM;FEM;SG	PROPN;ACC;MASC;SG
ярослава	jarosław	ярославий	jarosław	PROPN;ANIM;NOM;FEM;SG	PROPN;NOM;MASC;SG
блокування	zamknij	блокування	zamknąć	N;INAN;NOM;NEUT;SG	V;PFV;IMP;SG;2;FIN;ACT
блокування	zablokuj	блокування	zablokować	N;INAN;NOM;NEUT;SG	V;PFV;IMP;SG;2;FIN;ACT
блокування	zamek	блокування	zamek	N;INAN;NOM;NEUT;SG	
класи	klas	клас	klasa	N;INAN;NOM;MASC;PL	
класи	klasy	клас	klasa	N;INAN;NOM;MASC;PL	N;GEN;FEM;SG
культурний	kultury	культурний	kultura	ADJ;NOM;MASC;SG	N;GEN;FEM;SG
встановити	ustaw	встановити	ustawa	V;PFV;NFIN	V;IPFV;IMP;SG;2;FIN;ACT
встановити	set	встановити	set	V;PFV;NFIN	
встановити	zestaw	встановити	zestawić	V;PFV;NFIN	N;NOM;MASC;SG
встановити	komplet	встановити	komplet	V;PFV;NFIN	N;NOM;MASC;SG
встановити	instalacji	встановити	instalacja	V;PFV;NFIN	N;GEN;FEM;SG
встановити	instalacja	встановити	instalacja	V;PFV;NFIN	N;NOM;FEM;SG
листопад	listopada	листопад	listopada	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
листопад	listopadzie	листопад	listopad	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
листопад	listopad	листопад	listopad	N;INAN;NOM;MASC;SG	
виданий	wydawane	виданий	wydawać	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
виданий	wydano	виданий	wydać	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS	V;PFV;IND;0;PST;FIN;ACT
центрів	centra	центр	centra	N;INAN;GEN;MASC;PL	N;NOM;NEUT;PL
центрів	ośrodki	центр	ośrodek	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
