loại	kategória	loại	kategória	N	
kéo	olló	kéo	olló	V	N;NOM;SG
kéo	ollót	kéo	olló	V	N;ACC;SG
kéo	puff	kéo	puff	V	
đen	fekete	đen	feket	ADJ	
đen	black	đen	black	ADJ	
trục	shaft	trục	shaf	N	
mực	tintahal	mực	tintahal	N	
trời	sky	trời	sky	N	
trời	ég	trời	ég	N	
ngắn	rövid	ngắn	rövid	ADJ	
ngắn	röviden	ngắn	röviden	ADJ	
trả	fizető	trả	fizető	V	
trả	fizetés	trả	fizetés	V	N;NOM;SG
luôn	mindig	luôn	mindig		ADV
côn	még	côn	még	N	ADV
thạch	shi	thạch	shi	N	
phúc	boldog	phúc	boldog	N	
sâu	mély	sâu	mély	ADJ	
khó	nehéz	khó	nehéz	ADJ	
khó	kemény	khó	kemény	ADJ	
khó	nehéz	khó	nehéz	ADJ	
khó	bonyolult	khó	bonyolult	ADJ	
cục	elnökség	cục	elnökség		N;NOM;SG
cục	fbi	cục	fbi		N;NOM;SG
kịch	drama	kịch	drama	N	
kịch	drámai	kịch	drámai	N	ADJ;NOM;SG
kịch	elrendezett	kịch	elrendezett	N	V;INDF;IND;SG;3;PST;FIN;ACT
phường	ward	phường	ward	N	
ngọc	jewel	ngọc	jewel	N	
club	klub	club	klub		N;NOM;SG
tải	terhelés	tải	terhelés	V	N;NOM;SG
tải	terhelés	tải	terhelés	V	N;NOM;SG
tải	betöltése	tải	betöltés	V	N;NOM;SG
wikipedia	wikipédia	wikipedia	wikipédia	V	N;NOM;SG
phật	legyőzni	phật	legyőz	N	V;NFIN;ACT
nghi	gyanús	nghi	gyanús	V	
nghi	kétséges	nghi	kétséges	V	ADJ;NOM;SG
thừa	maradék	thừa	maradék	ADJ	
thừa	maradékot	thừa	maradék	ADJ	N;ACC;SG
thừa	maradékok	thừa	maradék	ADJ	N;NOM;PL
thừa	reno	thừa	reno	ADJ	
thừa	felesleges	thừa	felesleges	ADJ	
thừa	örökölt	thừa	örököl	ADJ	
thừa	örökölte	thừa	örököl	ADJ	V;DEF;IND;SG;3;PST;FIN;ACT
vốn	érd	vốn	érd	N	
buộc	force	buộc	force	V	
buộc	erő	buộc	erő	V	N;NOM;SG
caps	sapkát	caps	sapka		N;ACC;SG
đăng	poszt	đăng	poszt	V	N;NOM;SG
đăng	posta	đăng	posta	V	
đăng	post	đăng	post	V	
đăng	bejegyzést	đăng	bejegyzés	V	N;ACC;SG
đăng	bejegyzésre	đăng	bejegyzés	V	N;ON+ALL;SG
đăng	bejegyzés	đăng	bejegyzés	V	N;NOM;SG
đăng	közzététel	đăng	közzététel	V	N;NOM;SG
đăng	közzététel	đăng	közzététel	V	N;NOM;SG
kiếm	kard	kiếm	kard	V	N;NOM;SG
kiếm	kardok	kiếm	kard	V	N;NOM;PL
kiếm	kard	kiếm	kard	V	N;NOM;SG
bụng	hasi	bụng	hasi	ADJ	N;NOM;SG
bụng	has	bụng	has	ADJ	
bụng	gyomor	bụng	gyomor	ADJ	N;NOM;SG
bụng	has	bụng	has	ADJ	
bụng	belly	bụng	belly	ADJ	
bụng	hasa	bụng	hasa	ADJ	N;NOM;SG
bụng	has	bụng	has	ADJ	
nuôi	pet	nuôi	pet	V	
nuôi	háziállat	nuôi	háziállat	V	N;NOM;SG
nuôi	kisállat	nuôi	kisállat	V	
nuôi	emelés	nuôi	emelés	V	N;NOM;SG
nuôi	elfogadva	nuôi	elfogadva	V	ADV;V.CVB
đầy	full	đầy	full	ADJ	
đầy	teljes	đầy	teljes	ADJ	
xóa	eltávolítás	xóa	eltávolítás	V	N;NOM;SG
xóa	eltávolítása	xóa	eltávolítás	V	N;NOM;SG
xóa	törlés	xóa	törlés	V	
xóa	törlése	xóa	törlés	V	N;NOM;SG
xóa	törlés	xóa	törlés	V	
kính	glass	kính	glass	N	
trao	odaítélése	trao	odaítélés	V	N;NOM;SG
cạnh	amellett	cạnh	amellett	N	ADV
cạnh	mellett	cạnh	mellett	N	ADP
cạnh	mellé	cạnh	mellé	N	ADP
cạnh	edge	cạnh	edge	N	
khá	meglehetősen	khá	meglehetős		ADJ;FRML;SG
vừa	közepes	vừa	közepes		ADJ;NOM;SG
vừa	közepes	vừa	közepes		ADJ;NOM;SG
vừa	mérsékelt	vừa	mérsékel		V;INDF;IND;SG;3;PST;FIN;ACT
thử	vizsgálati	thử	vizsgálati	V	N;NOM;SG
thử	vizsgálat	thử	vizsgálat	V	N;NOM;SG
thử	próba	thử	pró	V	N;NOM;SG
thử	teszt	thử	tesz	V	N;NOM;SG
brasil	brazília	brasil	brazília	N	
brasil	brasil	brasil	brasil	N	
john	john	john	john	N	
lược	átfogó	lược	átfogó	N	
lược	combs	lược	combs	N	
paris	párizs	paris	párizs		N;NOM;SG
paris	párizsban	paris	párizs		PROPN;IN+ESS;SG
tội	bűnös	tội	bűnös	N	
tội	ártatlan	tội	ártatlan	N	
tầng	szintű	tầng	szintű	N	
liệt	lamb	liệt	lamb	N	
liệt	bárány	liệt	bárány	N	
liệt	lebénult	liệt	lebénul	N	V;INDF;IND;SG;3;PST;FIN;ACT
băng	ice	băng	ice	N	
mua	beszerzés	mua	beszerzés	V	N;NOM;SG
mua	vásárlás	mua	vásárlás	V	N;NOM;SG
mua	vétel	mua	vétel	V	N;NOM;SG
bật	engedélyezve	bật	engedélyezve	V	ADV;V.CVB
tái	újjáépíteni	tái	újjáépít		V;NFIN;ACT
khối	csonka	khối	csonka	N	
dấu	keresztbe	dấu	keresztbe	N	
hiến	feláldozta	hiến	feláldoz	N	V;DEF;IND;SG;3;PST;FIN;ACT
chiếu	sakk	chiếu	sakk	V	N;NOM;SG
chùa	temple	chùa	temple	N	
york	yorkban	york	york	N	PROPN;IN+ESS;SG
york	york	york	york	N	
york	yorki	york	yorki	N	
tháp	tower	tháp	tower	N	
huấn	vitathatatlanul	huấn	vitathatatlan	V	ADJ;FRML;SG
huấn	elméleti	huấn	elméleti	V	ADJ;NOM;SG
vườn	garden	vườn	garden	N	
group	csoport	group	csoport		N;NOM;SG
group	csoportban	group	csoport		N;IN+ESS;SG
tần	qin	tần	qin	N	
tần	tone	tần	tone	N	
loạt	régió	loạt	régió		N;NOM;SG
loạt	régiók	loạt	régió		N;NOM;PL
loạt	terület	loạt	terület		N;NOM;SG
loạt	környék	loạt	környék		N;NOM;SG
team	csapat	team	csapat		N;NOM;SG
xanh	kék	xanh	kék	N	
xanh	blue	xanh	blue	N	
khóa	zár	khóa	zár	N	V;INDF;IND;SG;3;PRS;FIN;ACT
khóa	zár	khóa	zár	N	V;INDF;IND;SG;3;PRS;FIN;ACT
khóa	zárva	khóa	zárva	N	ADV;V.CVB
khóa	bezárva	khóa	bezárva	N	ADV;V.CVB
khóa	kulcsfontosságú	khóa	kulcsfontosságú	N	ADJ;NOM;SG
khóa	key	khóa	key	N	
suy	gondolatai	suy	gondolat	V	N;NOM;PL
suy	gondolat	suy	gondolat	V	N;NOM;SG
suy	gondolatok	suy	gondolat	V	N;NOM;PL
thuốc	tabletták	thuốc	tablet	N	V;DEF;IND;PL;3;PST;FIN;ACT
thiệu	shao	thiệu	shao	V	N;NOM;SG
đích	rendeltetési	đích	rendeltetési		ADJ;NOM;SG
đích	cél	đích	cél		N;NOM;SG
đúng	jobbra	đúng	jobbra	ADJ	ADV
đúng	igaz	đúng	igaz	ADJ	
đúng	igazi	đúng	igazi	ADJ	
đúng	helyes	đúng	helyes	ADJ	
đúng	korrekt	đúng	korrekt	ADJ	
siêu	metaadatok	siêu	metaadat		N;NOM;PL
trách	hibás	trách	hibás	V	
iucn	iucn	iucn	iucn	N	PROPN;NOM;SG
vây	fin	vây	fin	V	
vây	ellenálló	vây	ellenálló	V	
vây	rezisztencia	vây	rezisztencia	V	N;NOM;SG
vây	ellenállás	vây	ellenállás	V	N;NOM;SG
van	szelep	van	szelep	V	N;NOM;SG
van	billentyű	van	billentyű	V	N;NOM;SG
van	furgon	van	furgon	V	N;NOM;SG
van	szelep	van	szelep	V	N;NOM;SG
van	szelepek	van	szelep	V	N;NOM;PL
cường	hiper	cường	hiper	N	
đương	oszlopok	đương	oszlop		N;NOM;PL
bom	bomba	bom	bomba	N	
bom	bom	bom	bom	N	
bom	bomba	bom	bomba	N	
ngựa	lovas	ngựa	lovas	N	
ương	cia	ương	cia	N	PROPN;NOM;SG
vân	bla	vân	bla	N	
vân	mégis	vân	mégis	N	CONJ
tai	fül	tai	fül		N;NOM;SG
tai	füle	tai	fül		N;NOM;SG
tai	fülek	tai	fül		N;NOM;PL
tai	fül	tai	fül		N;NOM;SG
tai	füle	tai	fül		N;NOM;SG
bước	lépés	bước	lépés		N;NOM;SG
bước	lépcső	bước	lépcső		N;NOM;SG
bước	lépcső	bước	lépcső		N;NOM;SG
bước	lépcsők	bước	lépcső		N;NOM;PL
bước	lépések	bước	lépés		N;NOM;PL
bước	lépés	bước	lépés		N;NOM;SG
bước	lépéseket	bước	lépés		N;ACC;PL
séc	csehország	séc	csehország	N	
séc	cseh	séc	cseh	N	ADJ;NOM;SG
canada	kanada	canada	kanada	N	PROPN;NOM;SG
canada	kanadai	canada	kanadai	N	ADJ;NOM;SG
vinh	megtisztelő	vinh	megtisztelő	N	ADJ;NOM;SG
vinh	megtiszteltetés	vinh	megtiszteltetés	N	
vinh	megtiszteltetés	vinh	megtiszteltetés	N	
tuyệt	nagyszerű	tuyệt	nagyszerű	ADJ	
tuyệt	király	tuyệt	király	ADJ	
tuyệt	menő	tuyệt	menő	ADJ	
hôn	csók	hôn	csók	V	N;NOM;SG
hôn	csók	hôn	csók	V	N;NOM;SG
hôn	puszi	hôn	puszi	V	N;NOM;SG
hôn	csók	hôn	csók	V	N;NOM;SG
hôn	puszi	hôn	puszi	V	N;NOM;SG
hôn	kiss	hôn	kiss	V	
trừ	kivéve	trừ	kivév	V	
trừ	mínusz	trừ	mínusz	V	N;NOM;SG
ship	hajóval	ship	hajó	V	N;INS;SG
ship	hajó	ship	hajó	V	N;NOM;SG
ship	hajón	ship	hajó	V	
xương	bones	xương	bones	N	
california	kaliforniai	california	kaliforniai		V;DEF;IND;SG;3;PRS;NFIN;ACT
california	kaliforniában	california	kalifornia		N;IN+ESS;SG
đẹp	gyönyörű	đẹp	gyönyörű	ADJ	
đẹp	szep	đẹp	szep	ADJ	
đẹp	szép	đẹp	szép	ADJ	
cai	józanul	cai	józanul	N	
cai	józan	cai	józan	N	
cai	cai	cai	cai	N	
cai	tiszta	cai	tiszta	N	
cai	clean	cai	clean	N	
hơi	enyhén	hơi	enyhén		
hơi	kissé	hơi	kissé		
hơi	kevéssé	hơi	kevéssé		
phút	min	phút	min	N	
loạn	lázadás	loạn	lázadás	V	N;NOM;SG
loạn	lázadás	loạn	lázadás	V	N;NOM;SG
loạn	felkelés	loạn	felkelés	V	N;NOM;SG
loạn	lázadás	loạn	lázadás	V	N;NOM;SG
khủng	terrorista	khủng	terrorista	ADJ	N;NOM;SG
khủng	terroristák	khủng	terrorista	ADJ	N;NOM;PL
cấm	tilalom	cấm	tilalom	V	
cấm	tilos	cấm	tilos	V	
cấm	tilos	cấm	tilos	V	
ủng	bakancs	ủng	bakancs	V	N;NOM;SG
ủng	csizma	ủng	csizma	V	N;NOM;SG
nâng	emelés	nâng	emelés	V	N;NOM;SG
nâng	emelés	nâng	emelés	V	N;NOM;SG
nâng	emelő	nâng	emelő	V	
nâng	emelés	nâng	emelés	V	N;NOM;SG
hủy	törölve	hủy	törölve	V	N;NOM;SG
hủy	törölve	hủy	törölve	V	N;NOM;SG
hủy	törölt	hủy	töröl	V	
hủy	lemondás	hủy	lemondás	V	
hủy	megszakítás	hủy	megszakítás	V	
hủy	törlés	hủy	törlés	V	
cảng	port	cảng	por	N	
cảng	harbour	cảng	harbour	N	
tách	poharak	tách	pohar	V	N;NOM;PL
tách	poharakat	tách	pohara	V	N;ACC;PL
tách	kupa	tách	kupa	V	N;NOM;SG
tách	csésze	tách	csésze	V	N;NOM;SG
tách	cup	tách	cup	V	
tách	pohár	tách	pohár	V	N;NOM;SG
tách	bögre	tách	bögre	V	N;NOM;SG
bạch	fehér	bạch	fehér	N	
phê	kávét	phê	kávét		N;ACC;SG
phê	kávé	phê	kávé		N;NOM;SG
hoá	megemésztett	hoá	megemésztett	N	V;INDF;IND;SG;3;PST;FIN;ACT
liền	kontinens	liền	kontinens		N;NOM;SG
liền	szárazföld	liền	szárazföld		N;NOM;SG
cắt	vágó	cắt	vágó	V	
cắt	vágás	cắt	vágás	V	N;NOM;SG
cắt	vágás	cắt	vágás	V	N;NOM;SG
cắt	termés	cắt	termés	V	N;NOM;SG
cắt	növény	cắt	növény	V	N;NOM;SG
cắt	vágás	cắt	vágás	V	N;NOM;SG
cắt	vágások	cắt	vágás	V	N;NOM;PL
bạc	silver	bạc	silver	N	
bạc	ezüst	bạc	ezüst	N	V;INDF;IND;SG;3;PST;FIN;ACT
trịnh	zheng	trịnh	zheng	N	
trịnh	cheng	trịnh	cheng	N	
trịnh	cseng	trịnh	cseng	N	V;INDF;IND;SG;3;PRS;FIN;ACT
tán	terjed	tán	terjed	N	V;INDF;IND;SG;3;PRS;FIN;ACT
đền	temple	đền	temple	N	
web	web	web	web	N	
web	nettó	web	nettó	N	
chỉnh	tuning	chỉnh	tuning	V	N;NOM;SG
đỉnh	felül	đỉnh	felül	N	
đỉnh	top	đỉnh	top	N	
đỉnh	csúcs	đỉnh	csúcs	N	
đỉnh	felső	đỉnh	felső	N	
đỉnh	legfelső	đỉnh	legfelső	N	
ngăn	megelőzése	ngăn	megelőzés	V	N;NOM;SG
sur	sur	sur	sur	NUM	
bày	képernyőn	bày	képernyő	V	N;ON+ESS;SG
bày	képernyő	bày	képernyő	V	N;NOM;SG
voi	elefántok	voi	elefánt		N;NOM;PL
voi	elefántok	voi	elefánt		N;NOM;PL
nghĩ	gondolkodás	nghĩ	gondolkodás	V	N;NOM;SG
nghĩ	gondolkodó	nghĩ	gondolkodó	V	
nghĩ	gondolat	nghĩ	gondolat	V	N;NOM;SG
nguy	veszély	nguy	veszély	V	N;NOM;SG
quyển	notebook	quyển	notebo		N;NOM;SG
quyển	füzet	quyển	fűz		N;NOM;SG
rắn	snake	rắn	snake	N	
sắt	vas	sắt	vas	N	
thác	rapids	thác	rapids	N	
thác	elhagyott	thác	el+hagyott	N	V;INDF;IND;SG;3;PST;FIN;ACT
thác	elhagyatott	thác	elhagyatott	N	V;INDF;IND;SG;3;PST;FIN;ACT
thác	leadott	thác	leadott	N	
thác	elesik	thác	elesik	N	V;INDF;IND;SG;3;PRS;FIN;ACT
thác	falls	thác	falls	N	
tường	wall	tường	wall	N	
tường	falat	tường	fal	N	
sung	sung	sung	sung	V	
sung	modul	sung	modul	V	N;NOM;SG
game	game	game	gam	N	
thiến	kasztrált	thiến	kasztrál	V	
gửi	küldő	gửi	küldő	V	
gửi	elküldése	gửi	elküldés	V	N;NOM;SG
gửi	küldése	gửi	küldés	V	N;NOM;SG
gửi	beadvány	gửi	beadvány	V	N;NOM;SG
gửi	benyújtására	gửi	benyújtás	V	N;ON+ALL;SG
gửi	benyújtása	gửi	benyújtás	V	N;NOM;SG
ngầm	implicit	ngầm	implicit	N	
thụ	energiák	thụ	energia	V	N;NOM;PL
thụ	többlet	thụ	többlet	V	
cựu	korábbi	cựu	korábbi	N	ADJ;NOM;CMPR;SG
com	com	com	com	N	
nhớ	kisasszony	nhớ	kisasszony	V	N;NOM;SG
thoát	kilépés	thoát	kilépés	V	
thoát	kilépő	thoát	kilépő	V	
thoát	kijárat	thoát	kijárat	V	N;NOM;SG
thoát	szökés	thoát	szökés	V	N;NOM;SG
thoát	menekülés	thoát	menekülés	V	N;NOM;SG
đẩy	push	đẩy	push	V	
vạn	eredetű	vạn	eredetű	ADJ	
vạn	eredet	vạn	eredet	ADJ	N;NOM;SG
vạn	eredete	vạn	eredet	ADJ	N;NOM;SG
vạn	származás	vạn	származás	ADJ	N;NOM;SG
trại	camp	trại	camp	N	
thuyền	hajós	thuyền	hajós	N	
lượt	fordulj	lượt	fordul		V;INDF;IND;SG;1;PRS;FIN;ACT
lượt	kirándulás	lượt	kirándulás		N;NOM;SG
lượt	utazás	lượt	utazás		N;NOM;SG
lượt	kiruccanás	lượt	kiruccanás		N;NOM;SG
tan	tan	tan	tan	V	
vuông	square	vuông	sóuar	ADJ	
vuông	szögletes	vuông	szögletes	ADJ	
vuông	tér	vuông	tér	ADJ	N;NOM;SG
vuông	négyzet	vuông	négyzet	ADJ	
nửa	fele	nửa	fél	NUM	N;NOM;SG
đan	kötés	đan	kötés		N;NOM;SG
đan	kiváló	đan	kiváló		ADJ;NOM;SG
united	united	united	united	N	
united	egyesült	united	egyesül	N	V;INDF;IND;SG;3;PST;FIN;ACT
iii	iii	iii	iii	NUM	
hung	hung	hung	hung	N	
hung	magyarul	hung	magyar	N	
hung	magyar	hung	magyar	N	ADJ;NOM;SG
hung	hungarian	hung	hungarian	N	
ngụy	wei	ngụy	wei	V	
ngụy	bűnbak	ngụy	bűn	V	N;NOM;SG
sài	sai	sài	sai	N	
sài	chai	sài	chai	N	
league	league	league	leag	N	
thẳng	egyenesen	thẳng	egyenesen	ADJ	
thẳng	egyenes	thẳng	egyenes	ADJ	
vịnh	szoros	vịnh	szoros	N	
vịnh	bay	vịnh	bay	N	
cup	cup	cup	cup	N	
illinois	illinois	illinois	illinois	N	
bậc	alul	bậc	alul	N	
bậc	alsó	bậc	alsó	N	
ngược	visszafelé	ngược	visszafelé	V	
ngược	hátrafelé	ngược	hátrafelé	V	
ngược	visszafelé	ngược	visszafelé	V	
ngược	hátrafelé	ngược	hátrafelé	V	
ngược	fordítva	ngược	fordítva	V	ADV;V.CVB
ngược	szemben	ngược	szemben	V	
ngược	ellentétes	ngược	ellentétes	V	
london	londonban	london	london		N;IN+ESS;SG
london	london	london	london		N;NOM;SG
điền	tian	điền	tian	V	
sáu	hat	sáu	hat	NUM	
quỹ	alap	quỹ	alap	N	
quỹ	alap	quỹ	alap	N	
tặng	ajándék	tặng	ajándék	V	N;NOM;SG
tắc	kullancs	tắc	kullancs	V	N;NOM;SG
dọc	függőlegesen	dọc	függőleges	N	ADJ;FRML;SG
dọc	függőlegesen	dọc	függőleges	N	ADJ;FRML;SG
dạy	tanítás	dạy	tanítás	V	
máu	véres	máu	véres	N	
máu	blood	máu	blood	N	
tránh	elkerülése	tránh	elkerülés	V	N;NOM;SG
tránh	elkerülése	tránh	elkerülés	V	N;NOM;SG
sớm	korán	sớm	korán	ADJ	
sớm	korai	sớm	korai	ADJ	
sớm	hamarosan	sớm	hamarosan	ADJ	ADV
sớm	nemsokára	sớm	nemsoka	ADJ	N;ON+ALL;SG
săn	hunt	săn	hunt	N	
săn	vadászik	săn	vadászik	N	V;INDF;IND;SG;3;PRS;FIN;ACT
săn	vadászni	săn	vadász	N	V;NFIN;ACT
săn	vadász	săn	vadász	N	
tàng	parc	tàng	parc	N	
hungary	hungary	hungary	hungary	N	
hungary	magyarul	hungary	magyar	N	
hungary	magyar	hungary	magyar	N	ADJ;NOM;SG
hungary	hungarian	hungary	hungarian	N	
tắt	fogyatékkal	tắt	fogyaték		N;INS;SG
tắt	kikapcsolva	tắt	kikapcsolva		ADV;V.CVB
tắt	fogyatékos	tắt	fogyatékos		ADJ;NOM;SG
tắt	le	tắt	le		ADV
tắt	kikapcsolva	tắt	kikapcsolva		ADV;V.CVB
quê	gazda	quê	gazda	N	
quê	farmer	quê	farmer	N	
chấm	pontokat	chấm	pont	V	N;ACC;PL
chấm	pontok	chấm	pont	V	N;NOM;PL
chấm	dot	chấm	dot	V	
chấm	pont	chấm	pont	V	
chấm	point	chấm	point	V	
gòn	gon	gòn	gon	N	
tĩnh	statikus	tĩnh	statikus	N	
tri	próféta	tri	próféta		N;NOM;SG
trích	másolat	trích	másolat	V	N;NOM;SG
trích	másolatot	trích	másolat	V	N;ACC;SG
body	test	body	test		N;NOM;SG
body	testem	body	test		N;NOM;SG
body	holttest	body	holttes		N;NOM;SG
cẩm	hívd	cẩm	hívd	N	V;DEF;IMP;SG;1;PRS;FIN;ACT
hài	vicces	hài	vicces	N	
trồng	telepítési	trồng	telepítési	V	N;NOM;SG
trồng	üzem	trồng	üz	V	N;NOM;SG
trồng	növény	trồng	növény	V	N;NOM;SG
increment	növekedés	increment	növekedés	V	N;NOM;SG
mexico	mexikó	mexico	mexikó	N	
ngang	horizontális	ngang	horizontális	ADJ	N;NOM;SG
ngang	vízszintes	ngang	vízszintes	ADJ	
nhẹ	enyhe	nhẹ	enyhe		
nhẹ	könnyű	nhẹ	könnyű		
nhẹ	vékony	nhẹ	vékony		
nhẹ	vézna	nhẹ	véz		
nhẹ	sovány	nhẹ	sovány		
đáp	föld	đáp	föld	V	N;NOM;SG
đáp	földterület	đáp	földterület	V	N;NOM;SG
đáp	szárazföld	đáp	szárazföld	V	N;NOM;SG
đáp	telek	đáp	tél	V	N;NOM;SG
đáp	földterületek	đáp	földterület	V	N;NOM;PL
khô	szárazon	khô	száraz	V	
khô	száraz	khô	száraz	V	
ném	dobás	ném	dobás	V	N;NOM;SG
xúc	sértés	xúc	sértés	V	N;NOM;SG
xúc	sértés	xúc	sértés	V	N;NOM;SG
rơi	vízesés	rơi	vízesés	V	N;NOM;SG
rơi	falls	rơi	falls	V	
rơi	fell	rơi	fell	V	
rơi	esés	rơi	esés	V	N;NOM;SG
rơi	őszi	rơi	őszi	V	
rơi	zuhanás	rơi	zuhanás	V	N;NOM;SG
rơi	ősszel	rơi	ősszel	V	ADV
rơi	ősz	rơi	ősz	V	
rơi	esés	rơi	esés	V	N;NOM;SG
rơi	zuhanás	rơi	zuhanás	V	N;NOM;SG
kém	bad	kém	bad	ADJ	
kém	rosz	kém	rosz	ADJ	
kém	rossz	kém	rossz	ADJ	
kém	rosszul	kém	rossz	ADJ	
huyền	epikus	huyền	epikus	N	
tổn	trauma	tổn	trauma	V	N;NOM;SG
triết	marla	triết	marla	N	
mời	meghívó	mời	meghívó	V	N;NOM;SG
mời	meghívás	mời	meghívás	V	N;NOM;SG
mời	meghívást	mời	meghívás	V	N;ACC;SG
mời	meghívva	mời	meghívva	V	ADV;V.CVB
mời	meghívó	mời	meghívó	V	N;NOM;SG
mời	meghívás	mời	meghívás	V	N;NOM;SG
mời	meghívást	mời	meghívás	V	N;ACC;SG
mời	meghívó	mời	meghívó	V	N;NOM;SG
mời	meghívókat	mời	meg+hívó	V	N;ACC;PL
mời	meghívás	mời	meghívás	V	N;NOM;SG
chinh	kereszt	chinh	kereszt		N;NOM;SG
hoà	holland	hoà	holland		
hoà	dutch	hoà	dutch		
pennsylvania	pennsylvania	pennsylvania	pennsylvania		V;SG;3;NFIN;ACT
trinh	virgin	trinh	virgin	N	
trinh	szűz	trinh	szűz	N	
thiệt	real	thiệt	real	PART	
thiệt	valós	thiệt	valós	PART	ADJ;NOM;SG
thiệt	igazi	thiệt	igazi	PART	
thiệt	valódi	thiệt	valódi	PART	
lang	lang	lang	lang	N	
lang	hall	lang	hall	N	
lào	lao	lào	lao	N	
lào	laosz	lào	laosz	N	PROPN;NOM;SG
tào	cao	tào	cao	N	
chữa	ellenszer	chữa	ellenszer	V	N;NOM;SG
chữa	gyógymód	chữa	gyógymód	V	N;NOM;SG
chữa	gyógyír	chữa	gyógyír	V	N;NOM;SG
lỗi	rossz	lỗi	rossz	N	
lỗi	helytelen	lỗi	helytelen	N	
lỗi	bogár	lỗi	bogár	N	
background	háttér	background	háttér		N;NOM;SG
background	háttere	background	háttér		N;NOM;SG
background	háttérben	background	háttér		N;IN+ESS;SG
ngọt	édes	ngọt	édes	ADJ	
ngọt	édesség	ngọt	édesség	ADJ	N;NOM;SG
ngọt	sörfőzde	ngọt	sörfőzde	ADJ	N;NOM;SG
thăm	látogatás	thăm	látogatás	V	N;NOM;SG
bảy	hetes	bảy	hetes	NUM	N;NOM;SG
bảy	hét	bảy	hét	NUM	N;NOM;SG
sóc	mókus	sóc	mókus	V	
sóc	mókusok	sóc	mókus	V	N;NOM;PL
chặn	tömb	chặn	tömb	V	N;NOM;SG
chặn	blokkoló	chặn	blokkoló	V	
chặn	blokk	chặn	blokk	V	N;NOM;SG
thôi	lemondani	thôi	le+mond	PART	V;NFIN;ACT
ống	pipa	ống	pipa	N	
phước	áldott	phước	áldott	N	V;INDF;IND;SG;3;PST;FIN;ACT
cừu	bárány	cừu	bárány	N	
cừu	birkák	cừu	birka	N	
cừu	birka	cừu	birka	N	
cừu	lamb	cừu	lamb	N	
cừu	bárány	cừu	bárány	N	
cừu	bárány	cừu	bárány	N	
trống	üres	trống	üres	V	
trống	üresen	trống	üres	V	ADJ;FRML;SG
trống	dobok	trống	dob	V	N;NOM;PL
trống	üresek	trống	üres	V	ADJ;NOM;PL
trống	üres	trống	üres	V	
trống	üresen	trống	üres	V	ADJ;FRML;SG
indonesia	indonéz	indonesia	indonéz	N	
indonesia	indonézia	indonesia	indonézia	N	
indonesia	indonézia	indonesia	indonézia	N	
indonesia	indonéz	indonesia	indonéz	N	
nhánh	branch	nhánh	branch	N	
nhiễm	fertőzöttek	nhiễm	fertőzött	V	N;NOM;PL
tàn	maradvány	tàn	maradvány	ADJ	N;NOM;SG
đuổi	hajsza	đuổi	hajszú	V	N;NOM;SG
đuổi	üldözés	đuổi	üldözés	V	N;NOM;SG
đuổi	chase	đuổi	chase	V	
mưa	esik	mưa	esik	N	V;INDF;IND;SG;3;PRS;FIN;ACT
mưa	rain	mưa	rain	N	
mưa	eső	mưa	eső	N	
bách	komoly	bách	komoly	N	
bách	súlyos	bách	súlyos	N	
hấp	párolt	hấp	párol	V	N;NOM;SG
cụm	klaszter	cụm	klaszter	N	
hút	füst	hút	füst	V	N;NOM;SG
george	györgy	george	györgy		N;NOM;SG
air	levegő	air	levegő		N;NOM;SG
cam	orange	cam	orang	N	
cam	narancssárga	cam	narancssárga	N	
cam	cam	cam	cam	N	
họp	gyűlés	họp	gyűlés	V	N;NOM;SG
họp	találkozás	họp	találkozás	V	N;NOM;SG
họp	találkozó	họp	találkozó	V	N;NOM;SG
họp	megbeszélés	họp	megbeszélés	V	N;NOM;SG
usd	ötven	usd	ötven	N	
usd	fifty	usd	fifty	N	
may	may	may	may	ADJ	
may	május	may	május	ADJ	N;NOM;SG
may	májusban	may	május	ADJ	N;IN+ESS;SG
may	varrás	may	varrás	ADJ	N;NOM;SG
may	szerencse	may	szerencse	ADJ	
may	szerencsés	may	szerencsés	ADJ	
chép	másolat	chép	másolat	V	N;NOM;SG
chép	másolatot	chép	másolat	V	N;ACC;SG
kia	ott	kia	ott	PROPN	ADV
robert	róbert	robert	róber		N;NOM;SG
đinh	ding	đinh	ding	N	
đinh	csing	đinh	csing	N	
đinh	lánc	đinh	lánc	N	
iowa	iowa	iowa	iowa	N	
ohio	ohio	ohio	ohio	N	
dặm	miles	dặm	miles	N	
hoang	wild	hoang	wild	ADJ	
hoang	vadon	hoang	vad	ADJ	
hoang	vadak	hoang	vad	ADJ	N;NOM;PL
hoang	vad	hoang	vad	ADJ	
hoang	hoang	hoang	hoang	ADJ	
pop	pop	pop	pop	N	
đâu	hol	đâu	hol	PROPN	ADV
đâu	ahol	đâu	ahol	PROPN	ADV
sắp	majdnem	sắp	majdnem		
sắp	hamarosan	sắp	hamarosan		ADV
sắp	nemsokára	sắp	nemsoka		N;ON+ALL;SG
sắp	közelgő	sắp	közelgő		ADJ;NOM;SG
cân	súlya	cân	súly	V	N;NOM;SG
cân	súly	cân	súly	V	N;NOM;SG
cân	testtömeg	cân	testtömeg	V	N;NOM;SG
cân	testsúly	cân	testsúly	V	N;NOM;SG
cân	tömeg	cân	tömeg	V	N;NOM;SG
tận	terminál	tận	terminál	ADP	N;NOM;SG
