से	от	से	от		ADP
रेड	ред	रेड	ред	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
रेड	червена	रेड	червен	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
रेड	червен	रेड	червен	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
रेड	червени	रेड	червен	PROPN;NOM;MASC;SG;3	ADJ;INDF;PL
रेड	червено	रेड	червено	PROPN;NOM;MASC;SG;3	ADV
स्व	селф	स्व	селф		N;INDF;FEM;SG
सृजन	създаване	सृजन	създаване		N;INDF;NEUT;SG
सृजन	създаването	सृजन	създаване		N;DEF;NEUT;SG
सृजन	творчество	सृजन	творчество		N;INDF;NEUT;SG
सृजन	творчеството	सृजन	творчество		N;DEF;NEUT;SG
वकील	адвокатка	वकील	адвокатка	N;NOM;MASC;PL;3	N;INDF;FEM;SG
वकील	адвокат	वकील	адвокат	N;NOM;MASC;PL;3	N;INDF;MASC;SG
वकील	юрист	वकील	юрист	N;NOM;MASC;PL;3	N;INDF;MASC;SG
अनाज	зърна	अनाज	зърна-(се)	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
विलियम्स	уилиамс	विलियम्स	уилиамс	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
विलियम्स	уилямс	विलियम्स	уилямс	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
बच	бах	बच	съм	V;ACT	PROPN;INDF;MASC;SG
उर्जा	energy	उर्जा	energy	N;NOM;FEM;SG;3	INTJ
सेनानी	бойците	सेनानी	боец	N;NOM;MASC;SG;3	N;DEF;MASC;PL
सेनानी	бойци	सेनानी	боец	N;NOM;MASC;SG;3	N;INDF;MASC;PL
सेनानी	изтребители	सेनानी	изтребител	N;NOM;MASC;SG;3	N;INDF;MASC;PL
रणनीति	стратегии	रणनीति	стратегия	N;NOM;FEM;SG;3	N;INDF;FEM;PL
लेन	лейн	लेन	лейн	N;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
बुलाया	наречен	बुला	нарека-(се)	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
बुलाया	наречена	बुला	нарека-(се)	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
बाढ़	наводнения	बाढ़	наводнение	N;NOM;FEM;SG;3	N;INDF;NEUT;PL
बाढ़	наводнения	बाढ़	наводнение	N;NOM;FEM;SG;3	N;INDF;NEUT;PL
शत्रु	врагове	शत्रु	враг	N;NOM;MASC;SG;3	N;INDF;MASC;PL
शत्रु	враждебна	शत्रु	враждебен	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
शत्रु	враждебни	शत्रु	враждебен	N;NOM;MASC;SG;3	ADJ;INDF;PL
शत्रु	враждебно	शत्रु	враждебно	N;NOM;MASC;SG;3	ADV
शत्रु	враждебен	शत्रु	враждебен	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
शत्रु	врагове	शत्रु	враг	N;NOM;MASC;SG;3	N;INDF;MASC;PL
शत्रु	враговете	शत्रु	враг	N;NOM;MASC;SG;3	N;DEF;MASC;PL
एक्शन	действия	एक्शन	действие	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
अनुच्छेद	параграф	अनुच्छेद	параграф	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
अनुच्छेद	абзац	अनुच्छेद	абзац	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
अनुच्छेद	параграфи	अनुच्छेद	параграф	PROPN;NOM;MASC;SG;3	N;INDF;MASC;PL
आधा	наполовина	आधा	наполовина	NUM	ADV
आधा	половината	आधा	половина	NUM	N;DEF;FEM;SG
धन्यवाद	мерси	धन्यवाद	мерся		V;IPFV;IMP;SG;2;FIN
धन्यवाद	благодаря	धन्यवाद	благодаря		V;IPFV;IND;SG;1;PRS;FIN;ACT
बेल	бел	बेल	бел		PROPN;INDF;MASC;SG
बेल	лоза	बेल	лоза		N;INDF;FEM;SG
बेल	бел	बेल	бел		PROPN;INDF;MASC;SG
बेल	камбана	बेल	камбана		N;INDF;FEM;SG
बेल	звънче	बेल	звънче		N;INDF;NEUT;SG
बेल	звънец	बेल	звънец		N;INDF;MASC;SG
सेंट्रल	централно	सेंट्रल	централен	PROPN;NOM;MASC;SG;3	ADV
सेंट्रल	централен	सेंट्रल	централен	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
सेंट्रल	централа	सेंट्रल	централа	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
सेंट्रल	централни	सेंट्रल	централен	PROPN;NOM;MASC;SG;3	ADJ;INDF;PL
सेंट्रल	централна	सेंट्रल	централен	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
घातक	смъртоносно	घातक	смъртоносно	ADJ	ADV
पहल	инициатива	पहल	инициатива		N;INDF;FEM;SG
परे	отвъд	परे	отвъд		ADP
सच	верни	सच	верен	N;NOM;MASC;SG;3	ADJ;INDF;PL
सच	вярно	सच	верен	N;NOM;MASC;SG;3	ADV
पाउंड	лири	पाउंड	лира	N;NOM;MASC;SG;3	N;INDF;FEM;PL
इण्डिया	индия	इण्डिया	индия	PROPN;NOM;MASC;SG;3	PROPN;INDF;FEM;SG
प्राधिकरण	властите	प्राधिकरण	власт	N;NOM;MASC;SG;3	N;DEF;FEM;PL
प्राधिकरण	власти	प्राधिकरण	власт	N;NOM;MASC;SG;3	N;INDF;FEM;PL
प्राधिकरण	органи	प्राधिकरण	орган	N;NOM;MASC;SG;3	N;INDF;MASC;PL
प्राधिकरण	правомощия	प्राधिकरण	правомощие	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
कीट	насекоми	कीट	насекомя	N;NOM;MASC;SG;3	N;INDF;MASC;PL
कीट	насекомите	कीट	насекомя	N;NOM;MASC;SG;3	N;DEF;MASC;PL
कीट	насекоми	कीट	насекомя	N;NOM;MASC;SG;3	N;INDF;MASC;PL
गाना	пея	गाना	пея	N;NOM;MASC;SG;3	V;IPFV;IND;SG;1;PRS;FIN;ACT
गाना	пее	गाना	пея	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
गाना	пеейки	गाना	пеейки	N;NOM;MASC;SG;3	N;INDF;FEM;PL
अतीत	минали	अतीत	мина-(се)		V;PFV;INDF;PL;PST;V.PTCP;ACT
अतीत	минало	अतीत	минало		N;INDF;NEUT;SG
समाजवादी	социалист	समाजवादी	социалист	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
समाजवादी	социалистическа	समाजवादी	социалистически	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
समाजवादी	социализъм	समाजवादी	социализъм	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
वेतन	заплати	वेतन	заплата	N;NOM;MASC;SG;3	N;INDF;FEM;PL
आखिरी	последно	आखिरी	последно	ADJ	ADV
शिवाजी	шиваджи	शिवाजी	шиваджа	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
ब्याज	лихви	ब्याज	лихва	N;NOM;MASC;SG;3	N;INDF;FEM;PL
घोड़े	конче	घोड़ा	конче	N;NOM;MASC;PL;3	N;INDF;NEUT;SG
घोड़े	кон	घोड़ा	кон	N;NOM;MASC;PL;3	N;INDF;MASC;SG
माला	малдивите	माला	малдив	PROPN;NOM;FEM;SG;3	N;DEF;MASC;PL
माला	гарланд	माला	гарланд	PROPN;NOM;FEM;SG;3	N;INDF;MASC;SG
माला	мала	माला	мала	PROPN;NOM;FEM;SG;3	PROPN;INDF;FEM;SG
तेलुगु	телугу	तेलुगु	телугу	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
ऊतक	тъкани	ऊतक	тъкан	N;NOM;MASC;SG;3	N;INDF;MASC;PL
फलन	функции	फलन	функция	N;NOM;MASC;SG;3	N;INDF;FEM;PL
चंद्र	лунен	चंद्र	лунен	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
सतत	последователен	सतत	последователен		ADJ;INDF;MASC;SG
सतत	последователна	सतत	последователен		ADJ;INDF;FEM;SG
सतत	последователни	सतत	последователен		ADJ;INDF;PL
सतत	непрекъсната	सतत	непрекъсен		ADJ;INDF;FEM;SG
सतत	непрекъснати	सतत	непрекъснат		ADJ;INDF;PL
सतत	непрекъснат	सतत	непрекъснат		ADJ;INDF;MASC;SG
बृहस्पति	юпитер	बृहस्पति	юпитер	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
प्रोत्साहन	стимули	प्रोत्साहन	стимул	N;NOM;MASC;SG;3	N;INDF;MASC;PL
प्रोत्साहन	стимули	प्रोत्साहन	стимул	N;NOM;MASC;SG;3	N;INDF;MASC;PL
इंदिरा	индира	इंदिरा	индирам	PROPN;NOM;FEM;SG;3	N;INDF;FEM;SG
निष्क्रिय	инертен	निष्क्रिय	инертен		ADJ;INDF;MASC;SG
निष्क्रिय	изключване	निष्क्रिय	изключване		N;INDF;NEUT;SG
निष्क्रिय	изключен	निष्क्रिय	изключа		V;PFV;INDF;MASC;SG;V.PTCP;PASS
निष्क्रिय	увреждания	निष्क्रिय	увреждане		N;INDF;NEUT;PL
निष्क्रिय	изключени	निष्क्रिय	изключа		V;PFV;INDF;PL;V.PTCP;PASS
निष्क्रिय	изключено	निष्क्रिय	изключа		V;PFV;INDF;NEUT;SG;V.PTCP;PASS
निष्क्रिय	инвалид	निष्क्रिय	инвалид		N;INDF;MASC;SG
निष्क्रिय	изключена	निष्क्रिय	изключа		V;PFV;INDF;FEM;SG;V.PTCP;PASS
निष्क्रिय	неактивни	निष्क्रिय	неактивен		ADJ;INDF;PL
लौह	желязо	लौह	желяз		N;INDF;NEUT;SG
लौह	железен	लौह	железен		ADJ;INDF;MASC;SG
लौह	желязна	लौह	железен		ADJ;INDF;FEM;SG
लौह	железни	लौह	железен		ADJ;INDF;PL
सोनी	sony	सोनी	sony	PROPN;NOM;SG;3	PROPN;INDF;MASC;SG
सोनी	сони	सोनी	сона	PROPN;NOM;SG;3	N;INDF;FEM;PL
रॉय	рой	रॉय	рой	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
बनावट	текстури	बनावट	текстура	N;NOM;FEM;SG;3	N;INDF;FEM;PL
गायन	пея	गायन	пея	N;NOM;MASC;SG;3	V;IPFV;IND;SG;1;PRS;FIN;ACT
गायन	пее	गायन	пея	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
गायन	пеейки	गायन	пеейки	N;NOM;MASC;SG;3	N;INDF;FEM;PL
गायन	гласните	गायन	гласен	N;NOM;MASC;SG;3	N;DEF;FEM;PL
आवेदन	приложения	आवेदन	приложение	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
आवेदन	заявления	आवेदन	заявление	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
आवेदन	молби	आवेदन	молба	N;NOM;MASC;SG;3	N;INDF;FEM;PL
सकल	гадно	सकल	гаден		ADV
सकल	бруто	सकल	брут		N;INDF;MASC;SG
कमाई	приходи	कमाई	приход	N;NOM;FEM;SG;3	N;INDF;MASC;PL
कमाई	доходи	कमाई	доход	N;NOM;FEM;SG;3	N;INDF;MASC;PL
कमाई	печалби	कमाई	печалба	N;NOM;FEM;SG;3	N;INDF;FEM;PL
विश्वविद्यालयों	университет	विश्वविद्यालय	университет	N;ACC;MASC;PL;3	N;INDF;MASC;SG
विश्वविद्यालयों	university	विश्वविद्यालय	university	N;ACC;MASC;PL;3	PROPN;INDF;MASC;SG
विश्वविद्यालयों	университета	विश्वविद्यालय	университет	N;ACC;MASC;PL;3	N;DEF;MASC;SG
साहिब	сахиб	साहिब	сахиб	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
उठाने	повдигане	उठा	повдигане	V;MASC;NFIN;ACT	N;INDF;NEUT;SG
उठाने	вдигане	उठा	вдигане	V;MASC;NFIN;ACT	N;INDF;NEUT;SG
साउथ	южно	साउथ	южен	PROPN;NOM;MASC;SG;3	ADV
साउथ	южен	साउथ	южен	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
साउथ	юг	साउथ	юг	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
साउथ	южна	साउथ	южен	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
गहन	дълбоко	गहन	дълбоко	ADJ;NOM	ADV
बाघ	тайгър	बाघ	тайгър	N;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
टिकट	билетите	टिकट	билет	N;NOM;MASC;SG;3	N;DEF;MASC;PL
टिकट	билети	टिकट	билет	N;NOM;MASC;SG;3	N;INDF;MASC;PL
ब्लॉग	блогове	ब्लॉग	блог	N;NOM;MASC;SG;3	N;INDF;MASC;PL
उद्देश्यों	предприемач	उद्देश्य	предприемач	N;ACC;MASC;PL;3	N;INDF;MASC;SG
जाल	нето	जाल	нето	N;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
मिलान	съвпада	मिलान	съвпадам	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
मिलान	мачове	मिलान	мач	N;NOM;MASC;SG;3	N;INDF;MASC;PL
मिलान	съвпадения	मिलान	съвпадя	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
मिलान	милано	मिलान	милано	N;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
मिलान	милан	मिलान	милан	N;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
प्रावधान	разпоредби	प्रावधान	разпоредба	N;NOM;MASC;SG;3	N;INDF;FEM;PL
प्रावधान	провизии	प्रावधान	провизия	N;NOM;MASC;SG;3	N;INDF;FEM;PL
साझा	споделено	साझा	споделя		V;PFV;INDF;NEUT;SG;V.PTCP;PASS
साझा	споделена	साझा	споделя		V;PFV;INDF;FEM;SG;V.PTCP;PASS
साझा	споделени	साझा	споделя		V;PFV;INDF;PL;V.PTCP;PASS
साझा	акции	साझा	акция		N;INDF;FEM;PL
साझा	дялове	साझा	дял		N;INDF;MASC;PL
अधिकृत	разрешена	अधिकृत	разреша	PROPN;NOM;SG;3	V;PFV;INDF;FEM;SG;V.PTCP;PASS
अधिकृत	оторизиран	अधिकृत	оторизирам	PROPN;NOM;SG;3	V;PFV;INDF;MASC;SG;V.PTCP;PASS
अधिकृत	упълномощен	अधिकृत	упълномощя	PROPN;NOM;SG;3	V;PFV;INDF;MASC;SG;V.PTCP;PASS
सापेक्ष	относителна	सापेक्ष	относителен	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
सापेक्ष	относително	सापेक्ष	относително	N;NOM;MASC;SG;3	ADV
विफल	неуспешно	विफल	неуспешно	ADJ	ADV
विफल	неуспех	विफल	неуспех	ADJ	N;INDF;MASC;SG
संदेह	съмнения	संदेह	съмнение	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
संदेह	съмнения	संदेह	съмнение	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
किरण	киран	किरण	киран	PROPN;NOM;FEM;SG;3	N;INDF;MASC;SG
रिंग	пръстен	रिंग	пръстен	N;NOM;FEM;SG;3	ADJ;INDF;MASC;SG
आपसी	взаимно	आपसी	взаимно	ADJ;NOM	ADV
पवन	вятърна	पवन	вятърна	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
पवन	вятър	पवन	вятър	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
पवन	вятъра	पवन	вятър	PROPN;NOM;MASC;SG;3	N;DEF;MASC;SG
छूट	отстъпки	छूट	отстъпка	N;NOM;FEM;SG;3	N;INDF;FEM;PL
छूट	отстъпки	छूट	отстъпка	N;NOM;FEM;SG;3	N;INDF;FEM;PL
छूट	намаления	छूट	намаление	N;NOM;FEM;SG;3	N;INDF;NEUT;PL
अमीर	богато	अमीर	богат	N;NOM;MASC;SG;3	ADV
अमीर	богат	अमीर	богат	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
अमीर	богата	अमीर	богат	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
अमीर	богати	अमीर	богат	N;NOM;MASC;SG;3	ADJ;INDF;PL
समतल	плоски	समतल	плоска	N;NOM;MASC;SG;3	ADJ;INDF;PL
समतल	плоско	समतल	плоско	N;NOM;MASC;SG;3	ADV
समतल	плосък	समतल	плосък	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
कठिनाई	затруднено	कठिनाई	затрудня-(се)	N;NOM;FEM;SG;3	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
कठिनाई	затруднения	कठिनाई	затруднение	N;NOM;FEM;SG;3	N;INDF;NEUT;PL
कठिनाई	трудности	कठिनाई	трудност	N;NOM;FEM;SG;3	N;INDF;FEM;PL
पुर्तगाली	португалски	पुर्तगाली	португалски	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
जड़	корени	जड़	корен		N;INDF;MASC;PL
जड़	корен	जड़	корен		N;INDF;MASC;SG
जड़	корени	जड़	корен		N;INDF;MASC;PL
बौद्धिक	интелектуалец	बौद्धिक	интелектуалец	PROPN;NOM;SG;3	N;INDF;MASC;SG
बौद्धिक	интелектуална	बौद्धिक	интелектуален	PROPN;NOM;SG;3	ADJ;INDF;FEM;SG
बौद्धिक	интелектуално	बौद्धिक	интелектуално	PROPN;NOM;SG;3	ADV
बोस	босе	बोस	босе	PROPN;NOM;MASC;SG;3	N;INDF;NEUT;SG
बोस	бос	बोस	бос	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
निकलता	ребра	निकल	ребро	V;IPFV;MASC;SG;V.PTCP;ACT	N;INDF;NEUT;PL
निकलता	ребрата	निकल	ребра	V;IPFV;MASC;SG;V.PTCP;ACT	N;DEF;NEUT;PL
स्वर्ग	раят	स्वर्ग	рай	N;NOM;MASC;SG;3	ADV
स्वर्ग	раят	स्वर्ग	рай	N;NOM;MASC;SG;3	ADV
शासित	постанови	शासित	постановя	ADJ;NOM	V;PFV;IND;SG;3;PST;FIN;ACT
चोपड़ा	чопра	चोपड़ा	чопра	PROPN;NOM;SG;3	N;INDF;MASC;SG
अहमदाबाद	ахмедабад	अहमदाबाद	ахмедабад	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
प्रोटोकॉल	протоколите	प्रोटोकॉल	протокол	N;NOM;MASC;SG;3	N;DEF;MASC;PL
प्रोटोकॉल	протоколи	प्रोटोकॉल	протоколя-(се)	N;NOM;MASC;SG;3	N;INDF;MASC;PL
व्यय	прекарва	व्यय	прекарвам-(се)	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
व्यय	харчи	व्यय	харча-(се)	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
व्यय	разходи	व्यय	разход	N;NOM;MASC;SG;3	N;INDF;MASC;PL
माया	мая	माया	мая		N;INDF;FEM;SG
तिब्बती	тибет	तिब्बती	тибет	ADJ;NOM	N;INDF;MASC;SG
आत्महत्या	самоубийства	आत्महत्या	самоубийство	N;NOM;FEM;SG;3	N;INDF;NEUT;PL
अतिथि	гостите	अतिथि	гост	N;NOM;MASC;SG;3	N;DEF;MASC;PL
अतिथि	гости	अतिथि	гост	N;NOM;MASC;SG;3	N;INDF;MASC;PL
लें	вземете	ले	взема	V;SBJV;PL;3;FIN;ACT	V;PFV;IMP;PL;2;FIN
लें	вземи	ले	взема	V;SBJV;PL;3;FIN;ACT	V;PFV;IMP;SG;2;FIN
शानदार	брилянтно	शानदार	брилянтен	ADJ	ADV
शानदार	приказно	शानदार	приказно	ADJ	ADV
शानदार	превъзходно	शानदार	превъзходно	ADJ	ADV
डाक	mail	डाक	mail	N;NOM;FEM;SG;3	PROPN;INDF;MASC;SG
डाक	пощенски	डाक	пощенски	N;NOM;FEM;SG;3	ADJ;INDF;MASC;SG
प्रतिद्वंद्वी	противниците	प्रतिद्वंद्वी	противник	N;NOM;MASC;SG;3	N;DEF;MASC;PL
प्रतिद्वंद्वी	противници	प्रतिद्वंद्वी	противник	N;NOM;MASC;SG;3	N;INDF;MASC;PL
प्रतिद्वंद्वी	опоненти	प्रतिद्वंद्वी	опонент	N;NOM;MASC;SG;3	N;INDF;MASC;PL
मनु	ману	मनु	ману	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
संयोग	съвпадение	संयोग	съвпадение		N;INDF;NEUT;SG
संयोग	съвпадения	संयोग	съвпадя		N;INDF;NEUT;PL
उठाया	отгледани	उठा	отгледам	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;PL;V.PTCP;PASS
उठाया	отгледана	उठा	отгледам	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
उठाया	повдигнат	उठा	повдигна-(се)	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
उठाया	отгледан	उठा	отгледам	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
उठाया	повдигнати	उठा	повдигна-(се)	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;PL;V.PTCP;PASS
क्रिस	крис	क्रिस	крис	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
क्रिस	крис	क्रिस	крис	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
क्रिस	крис	क्रिस	крис	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
परिचित	позната	परिचित	познат	ADP	ADJ;INDF;FEM;SG
परिचित	познати	परिचित	познат	ADP	ADJ;INDF;PL
परिचित	познат	परिचित	познат	ADP	N;INDF;MASC;SG
परिचित	познато	परिचित	познато	ADP	ADV
परिचित	запознат	परिचित	запозная-(се)	ADP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
परिचित	познати	परिचित	познат	ADP	ADJ;INDF;PL
परिचित	позната	परिचित	познат	ADP	ADJ;INDF;FEM;SG
परिचित	познати	परिचित	познат	ADP	ADJ;INDF;PL
परिचित	запознанство	परिचित	запознанство	ADP	N;INDF;NEUT;SG
परिचित	познат	परिचित	познат	ADP	N;INDF;MASC;SG
इंडोनेशिया	индонезия	इंडोनेशिया	индонезия	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
विश्वसनीय	надеждно	विश्वसनीय	надеждно	ADJ;NOM	ADV
विश्वसनीय	доверен	विश्वसनीय	доверен	ADJ;NOM	V;PFV;INDF;MASC;SG;V.PTCP;PASS
अब्दुल	абдул	अब्दुल	абдул	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
तत्काल	спешна	तत्काल	спешен	ADV	ADJ;INDF;FEM;SG
बाबू	тате	बाबू	аз	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
बाबू	тати	बाबू	тоти	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
बाबू	татко	बाबू	татко	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
लक्ष्मण	лакшмана	लक्ष्मण	лакшмана	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
पैदल	пешеходец	पैदल	пешеходец	ADJ	N;INDF;MASC;SG
पैदल	тротоар	पैदल	тротоар	ADJ	N;INDF;MASC;SG
पैदल	тротоара	पैदल	тротоар	ADJ	N;DEF;MASC;SG
पैदल	педал	पैदल	педал	ADJ	N;INDF;MASC;SG
पैदल	педала	पैदल	педало	ADJ	N;DEF;MASC;SG
राधा	рада	राधा	рада	PROPN;NOM;FEM;SG;3	PROPN;INDF;FEM;SG
गुप्ता	гупта	गुप्ता	гупт	PROPN;NOM;SG;3	N;DEF;MASC;SG
मुखर्जी	мукерджи	मुखर्जी	мукерджа	PROPN;NOM;SG;3	N;INDF;MASC;SG
शैक्षणिक	образователно	शैक्षणिक	образователно	ADJ;NOM	ADV
भ्रूण	ембриони	भ्रूण	ембрион	N;NOM;MASC;SG;3	N;INDF;MASC;PL
भंग	разтваряне	भंग	разтваряне		N;INDF;NEUT;SG
चेक	чешки	चेक	чешка	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
चेक	чешката	चेक	чешки	N;NOM;MASC;SG;3	ADJ;DEF;FEM;SG
चेक	чешка	चेक	чешка	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
ब्राजील	бразилия	ब्राजील	бразилия	PROPN;NOM;MASC;SG;3	PROPN;INDF;FEM;SG
सिन्हा	синха	सिन्हा	синх	PROPN;NOM;SG;3	N;INDF;MASC;SG
पंजीकृत	регистриран	पंजीकृत	регистрирам	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
पंजीकृत	регистрирана	पंजीकृत	регистрирам	ADJ	V;PFV;INDF;FEM;SG;V.PTCP;PASS
पंजीकृत	регистрирано	पंजीकृत	регистрирам	ADJ	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
पंजीकृत	регистрирани	पंजीकृत	регистрирам	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
वैध	валидна	वैध	валиден		ADJ;INDF;FEM;SG
वैध	валидни	वैध	валиден		ADJ;INDF;PL
वैध	валиден	वैध	валиден		ADJ;INDF;MASC;SG
वैध	валидно	वैध	валиден		ADV
वैध	валидност	वैध	валидност		N;INDF;FEM;SG
टॉम	том	टॉम	том	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
संकल्प	резолюции	संकल्प	резолюция	N;NOM;MASC;SG;3	N;INDF;FEM;PL
जूनियर	младши	जूनियर	младш	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
जूनियर	джуниър	जूनियर	джуниър	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
चुम्बकीय	магнитни	चुम्बकीय	магнитен	N;NOM;MASC;SG;3	ADJ;INDF;PL
चुम्बकीय	магнитен	चुम्बकीय	магнитен	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
रचनात्मक	творческо	रचनात्मक	творчески	ADJ	ADV
मुखपृष्ठ	домашен	मुखपृष्ठ	домашен	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
मुखपृष्ठ	вкъщи	मुखपृष्ठ	вкъщи	N;NOM;MASC;SG;3	ADV
ट्रस्ट	вярвай	ट्रस्ट	вярвам	N;NOM;MASC;SG;3	V;IPFV;IMP;SG;2;FIN
उपर	top	उपर	top		ADV
उपर	топ	उपर	топ		N;INDF;MASC;SG
उपर	върха	उपर	връх		N;DEF;MASC;SG
धरोहर	наследство	धरोहर	наследство		N;INDF;NEUT;SG
भूल	забвение	भूल	забвение	PROPN;NOM;FEM;SG;3	N;INDF;NEUT;SG
भूल	забрава	भूल	забрава	PROPN;NOM;FEM;SG;3	N;INDF;FEM;SG
अद्वितीय	уникално	अद्वितीय	уникално	PROPN;NOM;MASC;SG;3	ADV
अद्वितीय	уникален	अद्वितीय	уникален	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
अद्वितीय	уникални	अद्वितीय	уникален	PROPN;NOM;MASC;SG;3	ADJ;INDF;PL
अद्वितीय	уникална	अद्वितीय	уникален	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
खतरनाक	опасно	खतरनाक	опасно	ADJ	ADV
त्यौहार	фестивали	त्यौहार	фестивал	N;NOM;MASC;SG;3	N;INDF;MASC;PL
त्यौहार	празнични	त्यौहार	празничен	N;NOM;MASC;SG;3	ADJ;INDF;PL
त्यौहार	празнично	त्यौहार	празнично	N;NOM;MASC;SG;3	ADV
त्यौहार	празнична	त्यौहार	празничен	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
परिमाण	параметри	परिमाण	параметър	N;NOM;MASC;SG;3	N;INDF;MASC;PL
संक्रमित	заразена	संक्रमित	заразя-(се)	N;NOM;MASC;SG;3	V;PFV;INDF;FEM;SG;V.PTCP;PASS
