datu	datu	datu	dat	PROPN	
edge	edge	edge	edga	PROPN	
edge	krawędź	edge	krawędź	PROPN	N;NOM;FEM;SG
edge	krawędzi	edge	krawądzić	PROPN	N;GEN;MASC;SG
wide	szeroki	wide	szeroki	PROPN	ADJ;NOM;MASC;SG
wide	szeroka	wide	szeroki	PROPN	ADJ;NOM;FEM;SG
wide	szeroko	wide	szeroko	PROPN	ADV
wide	szerokie	wide	szeroki	PROPN	ADJ;NOM;NEUT;SG
beatles	beatles	beatles	beatles	PROPN	
isaac	isaac	isaac	isaac	PROPN	PROPN;NOM;MASC;SG
alfonso	alfons	alfonso	alfons	PROPN	PROPN;NOM;MASC;SG
alfonso	alfonso	alfonso	alfonso	PROPN	PROPN;NOM;MASC;SG
nhk	nhk	nhk	nhk	PROPN	
desainer	projektantów	desainer	projektant	N;SG	N;ACC;MASC;PL
kecerdasan	inteligentna	kecerdasan	inteligentny	N;SG	ADJ;NOM;FEM;SG
kecerdasan	inteligentny	kecerdasan	inteligentny	N;SG	ADJ;NOM;MASC;SG
kecerdasan	inteligentne	kecerdasan	inteligentny	N;SG	ADJ;NOM;NEUT;SG
talang	rynny	talang	rynny	PROPN;SG;ACT	
modul	modułów	modul	moduł	N;SG	N;GEN;MASC;PL
modul	moduły	modul	moduła	N;SG	V;IPFV;MASC;IND;PL;PST;FIN;ACT
redir	redir	redir	redir	PROPN	
kecewa	rozczarowanie	kecewa	rozczarować	ADJ;SG	N;NOM;NEUT;SG
kecewa	niezadowolenie	kecewa	niezadowolenie	ADJ;SG	N;NOM;NEUT;SG
yunus	yunus	yunus	yunus	PROPN	
yunus	jonah	yunus	jonah	PROPN	PROPN;NOM;MASC;SG
indie	indie	indie	indie	PROPN	
bishop	biskup	bishop	biskup	PROPN	N;NOM;MASC;SG
bishop	bishop	bishop	bishop	PROPN	V;IPFV;IND;SG;2;PRS;FIN;ACT
bishop	goniec	bishop	goniec	PROPN	N;NOM;MASC;SG
emmy	emmy	emmy	emmy	PROPN	V;IPFV;IND;SG;1;PRS;FIN;ACT
tinju	pięści	tinju	pięść	N;SG	
tinju	pięści	tinju	pięść	N;SG	
tinju	pięść	tinju	pięść	N;SG	
diwakili	reprezentował	diwakili	reprezentować	V;SG;PASS	V;IPFV;MASC;IND;SG;PST;FIN;ACT
diwakili	reprezentowane	diwakili	reprezentować	V;SG;PASS	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
diwakili	reprezentowany	diwakili	reprezentować	V;SG;PASS	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
diwakili	reprezentowana	diwakili	reprezentować	V;SG;PASS	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
pns	skromny	pns	skromny	N;SG	ADJ;NOM;MASC;SG
pns	skromna	pns	skromny	N;SG	ADJ;NOM;FEM;SG
pns	skromne	pns	skromny	N;SG	ADJ;NOM;NEUT;SG
pns	skromnie	pns	skromnie	N;SG	ADV
facto	facto	facto	facto	PROPN	
fortune	fortuna	fortune	fortuny	PROPN	
fortune	fortunę	fortune	fortuna	PROPN	N;ACC;FEM;SG
fortune	fortuny	fortune	fortuna	PROPN	
saudari	siostrzyczki	saudari	siostrzyczka		N;NOM;FEM;PL
saudari	siostrami	saudari	siostra		N;INS;FEM;PL
saudari	siostry	saudari	siostra		N;NOM;FEM;PL
saudari	siostro	saudari	siostro		V;IPFV;IMP;SG;2;FIN;ACT
saudari	siostra	saudari	siostra		N;NOM;FEM;SG
yamato	yamato	yamato	yamato	PROPN	
manufaktur	producent	manufaktur	producent	N	
manufaktur	producenta	manufaktur	producent	N	
syah	shah	syah	shah	PROPN	PROPN;NOM;MASC;SG
syah	szach	syah	szach	PROPN	
potret	portret	potret	portret	N;SG	
potret	portrety	potret	portret	N;SG	N;NOM;MASC;PL
digabung	połączone	digabung	połączyć	V;SG;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
digabung	połączona	digabung	połączyć	V;SG;PASS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
digabung	łączone	digabung	łączyć	V;SG;PASS	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
mempercepat	przyspieszenie	menpercepat	przyspieszenie	V;SG;ACT	N;NOM;NEUT;SG
sofia	sofia	sofia	sofia	PROPN	V;IPFV;IND;SG;2;PRS;FIN;ACT
sofia	zofia	sofia	zofia	PROPN	PROPN;NOM;FEM;SG
geng	gang	geng	ganga	N;SG	
geng	gangów	geng	gang	N;SG	N;GEN;MASC;PL
geng	gangi	geng	ganga	N;SG	N;NOM;MASC;PL
suster	sióstr	suster	siostra	N	
suster	siostro	suster	siostro	N	V;IPFV;IMP;SG;2;FIN;ACT
nana	nana	nana	nan	PROPN	
nana	nanna	nana	nanna	PROPN	
mengejutkan	zaskakujące	menkejutkan	zaskakiwać	V;SG;ACT	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
mengejutkan	szoku	menkejutkan	szok	V;SG;ACT	N;NOM;MASC;SG
mengejutkan	szok	menkejutkan	szok	V;SG;ACT	
mengejutkan	wstrząs	menkejutkan	wstrząs	V;SG;ACT	N;NOM;MASC;SG
mengejutkan	szokujące	menkejutkan	szokować	V;SG;ACT	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
memutar	odtwarzanie	menputar	odtwarzać	V;SG;ACT	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
memutar	obrót	menputar	obrót	V;SG;ACT	N;NOM;MASC;SG
maps	mapy	maps	mapa	PROPN	N;ACC;FEM;SG
beracun	toksyczne	berracun	toksyczny	V;SG;ACT	ADJ;NOM;NEUT;SG
beracun	toksyczny	berracun	toksyczny	V;SG;ACT	ADJ;NOM;MASC;SG
beracun	trujące	berracun	truć	V;SG;ACT	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
beracun	trujący	berracun	truć	V;SG;ACT	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
joon	joon	joon	joon	PROPN	
kiev	kijów	kiev	kij	PROPN	N;GEN;MASC;PL
kiev	kijów	kiev	kij	PROPN	N;GEN;MASC;PL
kiev	kijowie	kiev	kij	PROPN	N;ACC;MASC;SG
gaji	zarobki	gaji	zarobek	N;SG	N;NOM;MASC;PL
kosta	costa	kosta	costa	PROPN	PROPN;NOM;MASC;SG
kosta	kosta	kosta	kosta	PROPN	V;IPFV;IND;SG;2;PRS;FIN;ACT
diarahkan	skierowany	diarahkan	skierować	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
diarahkan	skierowana	diarahkan	skierować	V;SG;PASS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
diarahkan	reżyseria	diarahkan	reżyser	V;SG;PASS	
diarahkan	skierowane	diarahkan	skierować	V;SG;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
diarahkan	przekierowanie	diarahkan	przekierować	V;SG;PASS	N;PFV;NOM;NEUT;SG;POS;V.MSDR
diarahkan	przekierowany	diarahkan	przekierować	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
bibir	wargi	bibir	warga	PROPN;SG	N;NOM;FEM;PL
bibir	usta	bibir	usta	PROPN;SG	N;NOM;NEUT;PL
bibir	lipa	bibir	lipa	PROPN;SG	
bibir	lip	bibir	lip	PROPN;SG	
bibir	usta	bibir	usta	PROPN;SG	N;NOM;NEUT;PL
hamburg	hamburgu	hamburg	hamburg	PROPN	N;ACC;MASC;SG
hamburg	hamburg	hamburg	hamburg	PROPN	PROPN;NOM;MASC;SG
lada	pieprz	lada	pieprz	N;SG	
lada	pepper	lada	pepper	N;SG	
lada	łada	lada	łada	N;SG	
dikategorikan	sklasyfikowane	dikategorikan	sklasyfikować	V;SG;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
direbut	złapany	direbut	złapać	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
direbut	złapana	direbut	złapać	V;SG;PASS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
direbut	złapani	direbut	złapać	V;SG;PASS	ADJ;PFV;NOM;MASC;PL;POS;V.PTCP;PASS
direbut	schwytany	direbut	schwytać	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
agnes	agnieszka	agnes	agnieszka	PROPN	V;IPFV;IND;SG;2;PRS;FIN;ACT
asyur	asyria	asyur	asyria	PROPN;SG	
ontario	ontario	ontario	ontario	PROPN	PROPN;NOM;MASC;SG
anggun	elegancja	anggun	elegancja	ADJ;SG	N;NOM;FEM;SG
anggun	elegancko	anggun	elegancko	ADJ;SG	ADV
anggun	wdzięku	anggun	wdzięko	ADJ;SG	
saka	saka	saka	saka	PROPN	
dimulainya	rozpoczęcie	dimulai	rozpocząć	V;SG;PASS	N;PFV;NOM;NEUT;SG;POS;V.MSDR
inspektur	inspektorze	inspektur	inspektor	N	
genetika	genetyczna	genetika	genetyczny	N;SG	ADJ;NOM;FEM;SG
genetika	genetyczny	genetika	genetyczny	N;SG	ADJ;NOM;MASC;SG
genetika	genetyczne	genetika	genetyczny	N;SG	ADJ;NOM;NEUT;SG
genetika	geny	genetika	gena	N;SG	N;NOM;MASC;PL
genetika	geny	genetika	gena	N;SG	N;NOM;MASC;PL
ricardo	ricardo	ricardo	ricardo	PROPN	PROPN;NOM;MASC;SG
sedan	sedan	sedan	sedan	N;SG	
sedan	saloon	sedan	saloon	N;SG	
erwin	erwin	erwin	erwin	PROPN	PROPN;NOM;MASC;SG
spanish	hiszpanie	spanish	hiszpan	PROPN	N;NOM;MASC;PL
spanish	hiszpańskie	spanish	hiszpański	PROPN	ADJ;NOM;NEUT;SG
spanish	hiszpańska	spanish	hiszpański	PROPN	ADJ;NOM;FEM;SG
spanish	hiszpański	spanish	hiszpański	PROPN	ADJ;NOM;MASC;SG
dec	grudzień	dec	grudzienie		N;NOM;MASC;SG
somerset	somerset	somerset	somerset	PROPN	V;IPFV;IND;SG;PRS;FIN;ACT
hugo	hugo	hugo	hugo	PROPN	
identifikasi	zidentyfikować	identifikasi	zidentyfikować	N;SG	V;PFV;NFIN;ACT
identifikasi	zidentyfikowane	identifikasi	zidentyfikować	N;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
identifikasi	zidentyfikowano	identifikasi	zidentyfikować	N;SG	V;PFV;IND;0;PST;FIN;ACT
identifikasi	zidentyfikowany	identifikasi	zidentyfikować	N;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
identifikasi	stwierdzone	identifikasi	stwierdzić	N;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
sahara	sahara	sahara	sahar	PROPN;SG	N;NOM;FEM;SG
rhin	rhin	rhin	rhina	PROPN	
watanabe	watanabe	watanabe	watana	PROPN	
kebahagiaan	rozkosz	kebahagiaan	rozkosz	N;SG	
kebahagiaan	bliss	kebahagiaan	bliss	N;SG	
dilatih	wyszkoleni	dilatih	wyszkolony	V;SG;PASS	ADJ;PFV;NOM;MASC;PL;POS;V.PTCP;PASS
dilatih	wyszkolony	dilatih	wyszkolić	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
vintage	vintage	vintage	vintage	PROPN	
vintage	rocznik	vintage	rocznik	PROPN	N;NOM;MASC;SG
peti	skrzynie	peti	skrzynia	N;SG	N;NOM;FEM;PL
terintegrasi	zintegrowana	terintegrasi	zintegrować	V;SG;PASS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
terintegrasi	zintegrowane	terintegrasi	zintegrować	V;SG;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
terintegrasi	zintegrowany	terintegrasi	zintegrować	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
script	skrypty	script	skrypta	N	V;PFV;IMP;SG;2;FIN;ACT
lucas	lucasa	lucas	lucasa	PROPN	
lucas	lucas	lucas	lucas	PROPN	PROPN;NOM;MASC;SG
lucas	łukasz	lucas	łukasz	PROPN	V;IPFV;IND;SG;2;PRS;FIN;ACT
lucas	lukas	lucas	lukas	PROPN	N;NOM;MASC;SG
beauty	uroda	beauty	uroda	PROPN	V;IPFV;IND;SG;3;PRS;FIN;ACT
beauty	piękność	beauty	piękność	PROPN	N;NOM;FEM;SG
beauty	cudo	beauty	cudo	PROPN	
beauty	piękno	beauty	piękno	PROPN	
komitmen	zobowiązania	komitmen	zobowiązanie	N;SG	N;NOM;NEUT;PL
kentang	ziemniaki	kentang	ziemniak	N;SG	
kentang	ziemniaków	kentang	ziemniak	N;SG	N;GEN;MASC;PL
kentang	ziemniaka	kentang	ziemniak	N;SG	
kentang	ziemniaki	kentang	ziemniak	N;SG	
nutrisi	żywieniowe	nutrisi	żywieniowy	N;SG	ADJ;NOM;NEUT;SG
nutrisi	odżywczych	nutrisi	odżywczy	N;SG	ADJ;GEN;MASC;PL
icao	icao	icao	icao	N	
meeting	spotkania	meeting	spotkanie	PROPN	N;NOM;NEUT;PL
meeting	posiedzenie	meeting	posiedzenie	PROPN	N;NOM;NEUT;SG
meeting	zebranie	meeting	zebranie	PROPN	N;NOM;NEUT;SG
meeting	spotkanie	meeting	spotkanie	PROPN	N;NOM;NEUT;SG
madonna	madonna	madonna	madonny	PROPN	ADJ;NOM;FEM;SG
madonna	madonny	madonna	madonny	PROPN	
chu	chu	chu	chu	PROPN	
lotus	lotus	lotus	lotus	PROPN	
warren	warren	warren	warren	PROPN	PROPN;NOM;MASC;SG
dai	dai	dai	dać	PROPN	
jual	sprzedać	jual	sprzedać	N;SG;ACT	V;PFV;NFIN;ACT
jual	sprzedaży	jual	sprzedaż	N;SG;ACT	
jual	sprzedaż	jual	sprzedaż	N;SG;ACT	
jual	sprzedaje	jual	sprzedawać	N;SG;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
canggih	zaawansowanych	canggih	zaawansowany	N;SG	ADJ;GEN;MASC;PL
canggih	zaawansowane	canggih	zaawansować	N;SG	ADJ;NOM;NEUT;SG
canggih	zaawansowana	canggih	zaawansować	N;SG	ADJ;NOM;FEM;SG
canggih	zaawansowany	canggih	zaawansowany	N;SG	ADJ;NOM;MASC;SG
canggih	wyrafinowane	canggih	wyrafinować	N;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
canggih	wyrafinowany	canggih	wyrafinować	N;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
canggih	wyszukane	canggih	wyszukać	N;SG	ADJ;NOM;NEUT;SG
fantasi	fantasy	fantasi	fantas	N	
sierra	sierra	sierra	sierry	PROPN	
mendiami	zamieszkują	mendiami	zamieszkiwać	V;SG;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
led	diody	led	died	PROPN	N;NOM;FEM;PL
haiti	haiti	haiti	haiti	N	
haiti	haiti	haiti	haiti	N	
resi	rishi	resi	risha	PROPN	
resi	odbiór	resi	odbiór	PROPN	N;NOM;MASC;SG
resi	rachunek	resi	rachunek	PROPN	N;ACC;MASC;SG
resi	paragon	resi	paragon	PROPN	
resi	otrzymaniu	resi	otrzymać	PROPN	N;PFV;DAT;NEUT;SG;POS;V.MSDR
olivia	oliwia	olivia	oliwia	PROPN	PROPN;NOM;FEM;SG
olivia	olivia	olivia	olivia	PROPN	N;NOM;FEM;SG
pre	pre	pre	pro	PROPN	
somalia	somalii	somalia	somalia	PROPN	N;GEN;FEM;SG
somalia	somalii	somalia	somalia	PROPN	N;GEN;FEM;SG
hasyim	hashim	hasyim	hashić	PROPN	
dipinjamkan	wypożyczony	dipinjamkan	wypożyczyć	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
olympic	olimpijski	olympic	olimpijski	PROPN	ADJ;NOM;MASC;SG
olympic	olympic	olympic	olympic	PROPN	
olympic	olimpijskie	olympic	olimpijski	PROPN	ADJ;NOM;NEUT;SG
dialihkan	przekierowanie	dialihkan	przekierować	V;SG;PASS	N;PFV;NOM;NEUT;SG;POS;V.MSDR
dialihkan	przekierowany	dialihkan	przekierować	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
dialihkan	przekierowanie	dialihkan	przekierować	V;SG;PASS	N;PFV;NOM;NEUT;SG;POS;V.MSDR
ragu	wątpię	ragu	wątpić	ADJ;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
ragu	wątpliwość	ragu	wątpliwość	ADJ;SG	N;NOM;FEM;SG
ragu	wątpliwości	ragu	wątpliwość	ADJ;SG	N;ACC;FEM;SG
ragu	wątpliwość	ragu	wątpliwość	ADJ;SG	N;NOM;FEM;SG
ragu	wątpliwości	ragu	wątpliwość	ADJ;SG	N;ACC;FEM;SG
audi	audi	audi	audia	PROPN	
ang	ang	ang	ang	PROPN	
baghdad	bagdadu	baghdad	bagdad	PROPN	N;GEN;MASC;SG
baghdad	bagdadzie	baghdad	bagdad	PROPN	N;NOM;MASC;SG
hara	hara	hara	hara	N	
bae	bae	bae	bać	PROPN	
driver	kierowcy	driver	kierowca	PROPN	N;ACC;MASC;SG
driver	kierowców	driver	kierowca	PROPN	N;ACC;MASC;PL
driver	sterowniki	driver	sterownik	PROPN	N;ACC;MASC;PL
driver	kierowca	driver	kierowca	PROPN	N;NOM;MASC;SG
driver	sterownik	driver	sterownik	PROPN	N;NOM;MASC;SG
driver	kierowcy	driver	kierowca	PROPN	N;ACC;MASC;SG
sans	sans	sans	sans	PROPN	
hias	ozdobnych	hias	ozdobny	N;SG;ACT	ADJ;GEN;MASC;PL
hias	ozdobne	hias	ozdobny	N;SG;ACT	ADJ;NOM;NEUT;SG
penyuntingan	montaż	penyuntingan	montaż	N	
solar	słoneczna	solar	słoneczny	PROPN	ADJ;NOM;FEM;SG
solar	słoneczny	solar	słoneczny	PROPN	ADJ;NOM;MASC;SG
solar	słoneczne	solar	słoneczny	PROPN	ADJ;NOM;NEUT;SG
kotor	brutto	kotor	brutto	ADJ;SG	
kotor	brudno	kotor	brudno	ADJ;SG	
yuri	yuri	yuri	yuri	PROPN	
yuri	jurij	yuri	jurij	PROPN	PROPN;NOM;MASC;SG
sunni	sunnitów	sunni	sunnit	PROPN	N;ACC;MASC;PL
ramayana	ramajana	ramayana	ramajać	N;SG	
tian	tian	tian	tiana	PROPN	
crazy	szalona	crazy	szalony	PROPN	ADJ;NOM;FEM;SG
crazy	szalone	crazy	szalony	PROPN	ADJ;NOM;NEUT;SG
crazy	szaleństwo	crazy	szaleństwo	PROPN	N;NOM;NEUT;SG
crazy	wariatka	crazy	wariatka	PROPN	N;NOM;FEM;SG
crazy	wariat	crazy	wariat	PROPN	N;NOM;MASC;SG
crazy	szalony	crazy	szalony	PROPN	ADJ;NOM;MASC;SG
komet	komety	komet	kometa	N	
komet	komety	komet	kometa	N	
impian	dream	impian	drwać	N;SG	
impian	marzenia	impian	marzenie	N;SG	N;NOM;NEUT;PL
impian	snów	impian	sen	N;SG	N;GEN;FEM;PL
impian	marzeń	impian	marzenie	N;SG	N;GEN;NEUT;PL
impian	marzenia	impian	marzenie	N;SG	N;NOM;NEUT;PL
impian	sny	impian	sen	N;SG	N;NOM;MASC;PL
wen	wen	wen	wen	PROPN	
nice	ładnie	nice	ładnie	PROPN	ADV
nice	fajny	nice	fajny	PROPN	ADJ;NOM;MASC;SG
nice	fajna	nice	fajny	PROPN	ADJ;NOM;FEM;SG
nice	fajne	nice	fajny	PROPN	ADJ;NOM;NEUT;SG
nice	ładne	nice	ładny	PROPN	ADJ;NOM;NEUT;SG
nancy	nancy	nancy	nanca	PROPN	
liputan	pokrycia	liputan	pokrycie	N;SG	
liputan	pokrycie	liputan	pokrycie	N;SG	
filter	filtry	filter	filtr	N;SG	N;NOM;MASC;PL
filter	filtry	filter	filtr	N;SG	N;NOM;MASC;PL
marketing	marketing	marketing	marketing	PROPN	
marketing	obrót	marketing	obrót	PROPN	N;NOM;MASC;SG
marketing	marketingu	marketing	marketing	PROPN	N;GEN;MASC;SG
menghambat	utrudniają	menhambat	utrudniać	V;SG;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
touch	touch	touch	tou	PROPN	
touch	dotyk	touch	dotyk	PROPN	
apel	apple	apel	appo	N;SG	
apel	jabłka	apel	jabłka	N;SG	N;NOM;NEUT;PL
apel	jabłka	apel	jabłka	N;SG	N;NOM;NEUT;PL
narkoba	prochy	narkoba	prochy	N;SG	N;NOM;MASC;PL
narkoba	narkotyki	narkoba	narkotyk	N;SG	N;NOM;MASC;PL
narkoba	leki	narkoba	lek	N;SG	N;NOM;MASC;PL
narkoba	narkotyków	narkoba	narkotyk	N;SG	N;GEN;MASC;PL
narkoba	narkotyki	narkoba	narkotyk	N;SG	N;NOM;MASC;PL
turbo	turbo	turbo	turbo	PROPN	
tumor	nowotwory	tumor	nowotwór	N;SG	N;NOM;MASC;PL
tumor	guzy	tumor	guza	N;SG	N;NOM;MASC;PL
tumor	guzy	tumor	guza	N;SG	N;NOM;MASC;PL
tumor	guzów	tumor	guz	N;SG	N;GEN;MASC;PL
usd	usd	usd	usić		V;IPFV;IMP;SG;2;FIN;ACT
private	private	private	privaty	PROPN	
private	prywatne	private	prywatny	PROPN	ADJ;NOM;NEUT;SG
private	szeregowy	private	szeregowy	PROPN	ADJ;NOM;MASC;SG
private	prywatna	private	prywatny	PROPN	ADJ;NOM;FEM;SG
private	prywatny	private	prywatny	PROPN	ADJ;NOM;MASC;SG
private	piona	private	piona	PROPN	
mie	makaron	mie	makaron	N	
konstitusional	konstytucyjnego	konstitusional	konstytucyjny	N	ADJ;ACC;MASC;SG
phil	phila	phil	phil	PROPN	N;ACC;MASC;SG
phil	phil	phil	phil	PROPN	PROPN;NOM;MASC;SG
agent	agentka	agent	agentka	PROPN	N;NOM;FEM;SG
agent	agencie	agent	agencie	PROPN	N;VOC;MASC;SG
agent	agent	agent	agent	PROPN	N;NOM;MASC;SG
turner	turner	turner	turner	PROPN	
turner	turnera	turner	turner	PROPN	
obyek	obiekty	obyek	obiekt	N;SG	N;NOM;MASC;PL
obyek	obiekty	obyek	obiekt	N;SG	N;NOM;MASC;PL
obyek	przedmioty	obyek	przedmiot	N;SG	N;NOM;MASC;PL
obyek	obiektów	obyek	obiekt	N;SG	N;GEN;MASC;PL
opini	opinie	opini	opinia	N;SG	N;NOM;FEM;PL
karate	karate	karate	karat	N	
plant	roślin	plant	roślina	PROPN	
plant	rośliny	plant	roślina	PROPN	N;ACC;FEM;PL
plant	roślina	plant	roślina	PROPN	N;NOM;FEM;SG
pegulat	zapaśnicy	pegulat	zapaśnica	N;SG	N;NOM;MASC;PL
pengucapan	wymowa	penucapan	wymować	N;SG	
ranting	gałązki	ranting	gałązek	N;SG	N;NOM;MASC;PL
ranting	gałęzie	ranting	gałąź	N;SG	N;NOM;FEM;PL
ranting	gałęzi	ranting	gałąź	N;SG	N;GEN;FEM;PL
ranting	oddziały	ranting	oddział	N;SG	N;NOM;MASC;PL
ranting	gałęzi	ranting	gałąź	N;SG	N;GEN;FEM;PL
ranting	branch	ranting	branch	N;SG	
menanam	sadzenia	menanam	sadzić	V;SG;ACT	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
rome	rzym	rome	rzym	PROPN	PROPN;NOM;MASC;SG
istirahat	break	istirahat	break	N;SG	
istirahat	przerwa	istirahat	przerwa	N;SG	
istirahat	złamać	istirahat	złamać	N;SG	V;PFV;NFIN;ACT
alfa	alpha	alfa	alpha	PROPN	
alfa	alfa	alfa	alfa	PROPN	
luke	łukasz	luke	łukasz	PROPN	V;IPFV;IND;SG;2;PRS;FIN;ACT
menyamar	przebrania	mensamar	przebranie	V;SG;ACT	N;NOM;NEUT;PL
menyamar	kamuflaż	mensamar	kamuflaż	V;SG;ACT	N;NOM;MASC;SG
menyamar	przebraniu	mensamar	przebranie	V;SG;ACT	N;DAT;NEUT;SG
menyamar	udawanie	mensamar	udawać	V;SG;ACT	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
menyamar	tajniak	mensamar	tajniak	V;SG;ACT	N;NOM;MASC;SG
watch	zegarek	watch	zegarek	PROPN	N;ACC;MASC;SG
watch	obserwuj	watch	obserwować	PROPN	V;PFV;IMP;SG;2;FIN;ACT
yeon	yeon	yeon	yeon	PROPN	
menuduh	oskarżeń	mentuduh	oskarżenie	V;SG;ACT	N;GEN;NEUT;PL
menuduh	oskarżenia	mentuduh	oskarżenie	V;SG;ACT	N;NOM;NEUT;PL
shu	shu	shu	shu	PROPN	
municipal	komunalnych	municipal	komunalny	PROPN	ADJ;GEN;MASC;PL
tercepat	najszybszy	tercepat	szybki	ADJ;RL;SG	ADJ;NOM;CMPR;MASC;SG
tercepat	najszybsze	tercepat	szybko	ADJ;RL;SG	ADJ;NOM;CMPR;MASC;SG
tercepat	najszybszy	tercepat	szybki	ADJ;RL;SG	ADJ;NOM;CMPR;MASC;SG
tercepat	najszybsze	tercepat	szybko	ADJ;RL;SG	ADJ;NOM;CMPR;MASC;SG
tercepat	najszybciej	tercepat	szybko	ADJ;RL;SG	ADV;RL
melintas	przekraczania	menlintas	przekraczać	V;SG;ACT	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
melintas	skrzyżowania	menlintas	skrzyżowanie	V;SG;ACT	N;NOM;NEUT;SG
melintas	skrzyżowań	menlintas	skrzyżowanie	V;SG;ACT	N;GEN;NEUT;PL
alternative	alternatywna	alternative	alternatywny	N;SG	ADJ;NOM;FEM;SG
alternative	alternatywne	alternative	alternatywny	N;SG	ADJ;NOM;NEUT;SG
alternative	alternatywny	alternative	alternatywny	N;SG	ADJ;NOM;MASC;SG
alternative	alternatywnie	alternative	alternatywnie	N;SG	ADV
alternative	alternatywny	alternative	alternatywny	N;SG	ADJ;NOM;MASC;SG
alternative	zastępców	alternative	zastępca	N;SG	N;ACC;MASC;PL
alternative	alternatywne	alternative	alternatywny	N;SG	ADJ;NOM;NEUT;SG
alternative	alternatywna	alternative	alternatywny	N;SG	ADJ;NOM;FEM;SG
alternative	alternatywy	alternative	alternatywa	N;SG	N;ACC;FEM;PL
bijaksana	mądry	bijaksana	mądry	ADJ;SG	N;NOM;MASC;SG
bijaksana	mądrze	bijaksana	mądrze	ADJ;SG	
bijaksana	mądra	bijaksana	mądry	ADJ;SG	N;NOM;FEM;SG
bijaksana	mądre	bijaksana	mądry	ADJ;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
block	bloku	block	blok	PROPN	N;GEN;MASC;SG
block	zablokuj	block	zablokować	PROPN	V;PFV;IMP;SG;2;FIN;ACT
block	zablokować	block	zablokować	PROPN	V;PFV;NFIN;ACT
block	blok	block	blok	PROPN	N;NOM;MASC;SG
gerbong	wózki	gerbong	wózek	N;SG	N;NOM;MASC;PL
ekonom	ekonomistów	ekonom	ekonomista	N;SG	N;ACC;MASC;PL
diperintah	rządził	diperintah	rządzić	V;SG;PASS	V;IPFV;MASC;IND;SG;PST;FIN;ACT
diperintah	orzekł	diperintah	orzec	V;SG;PASS	V;PFV;MASC;IND;SG;PST;FIN;ACT
dioksida	dwutlenku	dioksida	dwutlenk	N;SG;PASS	
terpengaruh	dotknięty	terpengaruh	dotknięty	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
terpengaruh	dotknięte	terpengaruh	dotknąć	V;SG;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
georges	georges	georges	georges	PROPN	N;NOM;MASC;SG
charente	charente	charente	charenty	PROPN	
parade	parady	parade	parada	N	
gembala	herder	gembala	herder	N;SG	PROPN;NOM;MASC;SG
