terra	тера	terra	тера		N;INDF;FEM;SG
gers	гърс	gers	гърс		PROPN;INDF;MASC;SG
rap	рап	rap	рап		N;INDF;MASC;SG
sértő	обидно	sértő	обиден		ADV
sértő	офанзива	sértő	офанзива		N;INDF;FEM;SG
sértő	обидно	sértő	обиден		ADV
sértő	обида	sértő	обида		N;INDF;FEM;SG
iowa	айова	iowa	айова		PROPN;INDF;FEM;SG
medina	медина	medina	медина		N;INDF;FEM;SG
kölcsön	заеми	kölcsön	заем	N;NOM;SG	N;INDF;MASC;PL
kölcsön	кредити	kölcsön	кредит	N;NOM;SG	N;INDF;MASC;PL
clarke	кларк	clarke	кларк		PROPN;INDF;MASC;SG
túlélte	оцелял	túlél	оцелея	V;DEF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
túlélte	оцеляла	túlél	оцелея	V;DEF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
régiók	район	régió	район	N;NOM;PL	N;INDF;MASC;SG
régiók	регион	régió	регион	N;NOM;PL	N;INDF;MASC;SG
régiók	област	régió	област	N;NOM;PL	N;INDF;FEM;SG
módosult	променени	módosul	променя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
módosult	променено	módosul	променя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
módosult	променена	módosul	променя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
módosult	променен	módosul	променя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
módosult	променени	módosul	променя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
módosult	променено	módosul	променя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
módosult	модифициран	módosul	модифицирам	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
módosult	променен	módosul	променя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
módosult	модифицирани	módosul	модифицирам	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
módosult	модифицирана	módosul	модифицирам	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
randy	ранди	randy	ранд		N;INDF;MASC;SG
ferde	крив	ferde	крив		ADJ;INDF;MASC;SG
ferde	криво	ferde	криво		ADV
ferde	наклонени	ferde	наклоня-(се)		V;PFV;INDF;PL;V.PTCP;PASS
ontario	онтарио	ontario	онтарио	PROPN;NOM;SG	PROPN;INDF;MASC;SG
esély	шансове	esély	шанс	N;NOM;SG	N;INDF;MASC;PL
esély	шансове	esély	шанс	N;NOM;SG	N;INDF;MASC;PL
esély	шансовете	esély	шанс	N;NOM;SG	N;DEF;MASC;PL
esély	коефициенти	esély	коефициент	N;NOM;SG	N;INDF;MASC;PL
szárnyas	крилати	szárnyas	крилат		V;IPFV;INDF;PL;V.PTCP;PASS
kaliforniában	калифорния	kalifornia	калифорния	N;IN+ESS;SG	ADJ;DEF;MASC;SG
kaliforniában	калифорнийски	kalifornia	калифорнийски	N;IN+ESS;SG	ADJ;INDF;MASC;SG
rossi	роси	rossi	рос		PROPN;INDF;FEM;SG
temetkezési	гробар	temetkezési	гробар	ADJ;NOM;SG	N;INDF;MASC;SG
bis	бис	bis	бис		N;INDF;NEUT;SG
kibocsátott	издадена	kibocsátott	издам-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
kibocsátott	издаден	kibocsátott	издам-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
kibocsátott	емитирани	kibocsátott	емитирам	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
kibocsátott	издадени	kibocsátott	издам-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
kibocsátott	издадено	kibocsátott	издам-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
kibocsátott	излъчваната	kibocsátott	излъчвам	V;INDF;IND;SG;3;PST;FIN;ACT	ADJ;IPFV;DEF;FEM;SG;V.PTCP;PASS
laboratóriumi	лабораторно	laboratóriumi	лабораторен	ADJ;NOM;SG	ADV
laboratóriumi	лаборатория	laboratóriumi	лаборатория	ADJ;NOM;SG	N;INDF;FEM;SG
berg	бърг	berg	бърг		PROPN;INDF;FEM;SG
albrecht	албрехт	albrecht	албрехт		PROPN;INDF;MASC;SG
gomba	гъби	gomba	гъба	N;NOM;SG	N;INDF;FEM;PL
gomba	гъбички	gomba	гъбичка	N;NOM;SG	N;INDF;FEM;PL
gomba	гъбички	gomba	гъбичка	N;NOM;SG	N;INDF;FEM;PL
gomba	гъби	gomba	гъба	N;NOM;SG	N;INDF;FEM;PL
gomba	гъби	gomba	гъба	N;NOM;SG	N;INDF;FEM;PL
szavazott	гласували	szavazott	гласувам	V;INDF;IND;SG;3;PST;FIN;ACT	V;IPFV;INDF;PL;PST;V.PTCP;ACT
szavazott	гласуваха	szavazott	гласувам	V;INDF;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;PL;3;PST;FIN;ACT
szavazott	гласувахме	szavazott	гласувам	V;INDF;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;PL;1;IPFV;FIN;ACT
biztosítva	застраховани	biztosítva	застраховам	ADV;V.CVB	V;PFV;INDF;PL;V.PTCP;PASS
biztosítva	осигурено	biztosítva	осигуря	ADV;V.CVB	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
biztosítva	осигурен	biztosítva	осигуря	ADV;V.CVB	V;PFV;INDF;MASC;SG;V.PTCP;PASS
steiner	щайнер	steiner	щайнер		N;INDF;MASC;SG
állítólagos	предполагаеми	állítólagos	предполагаем		ADJ;INDF;PL
állítólagos	предполагаема	állítólagos	предполагаем		ADJ;INDF;FEM;SG
állítólagos	предполагаемо	állítólagos	предполагаем		ADV
állítólagos	предполагаем	állítólagos	предполагаем		V;IPFV;IND;SG;1;PRS;FIN;ACT
szándéka	намерения	szándék	намерение	N;NOM;SG	N;INDF;NEUT;PL
szándéka	намерения	szándék	намерение	N;NOM;SG	N;INDF;NEUT;PL
genova	генова	genova	генова		PROPN;INDF;FEM;SG
világosabb	запалка	világos	запалка	ADJ;NOM;CMPR;SG	N;INDF;FEM;SG
elérés	достигнат	elérés	достигна	N;NOM;SG	V;PFV;IND;PL;3;PRS;FIN;ACT
elérés	достигне	elérés	достигна	N;NOM;SG	V;PFV;IND;SG;3;PST;FIN;ACT
visszafelé	изостанали	visszafelé	изостана		V;PFV;INDF;PL;PST;V.PTCP;ACT
ptolemaiosz	птолемей	ptolemaiosz	птолемей	N;NOM;PL	N;INDF;MASC;SG
cliff	скала	cliff	скала		N;INDF;FEM;SG
cliff	клиф	cliff	клиф		PROPN;INDF;MASC;SG
nicola	никола	nicola	никол		PROPN;INDF;MASC;SG
képviselt	представени	képvisel	представя-(се)		V;PFV;INDF;PL;V.PTCP;PASS
képviselt	представена	képvisel	представя-(се)		V;PFV;INDF;FEM;SG;V.PTCP;PASS
egyenletes	равномерно	egyenletes	равномерен		ADV
egyenletes	стабилен	egyenletes	стабилен		ADJ;INDF;MASC;SG
egyenletes	стабилно	egyenletes	стабилно		ADV
egyenletes	стабилна	egyenletes	стабилен		ADJ;INDF;FEM;SG
brecht	брехт	brecht	брехт		N;INDF;MASC;SG
julien	джулиън	julien	джулиън		N;INDF;MASC;SG
julien	жулиен	julien	жулиен		N;INDF;MASC;SG
cartman	картман	cartman	картман		N;INDF;MASC;SG
beavatkozás	смущения	beavatkozás	смущение	N;NOM;SG	N;INDF;NEUT;PL
karcsú	слим	karcsú	слим		PROPN;INDF;MASC;SG
karcsú	стройна	karcsú	строен		ADJ;INDF;FEM;SG
tanít	преподаването	tanít	преподаване	V;INDF;IND;SG;3;PRS;FIN;ACT	N;DEF;NEUT;SG
tanít	преподаване	tanít	преподаване	V;INDF;IND;SG;3;PRS;FIN;ACT	N;INDF;NEUT;SG
kétséges	съмнението	kétséges	съмнение	ADJ;NOM;SG	N;DEF;NEUT;SG
kétséges	съмнения	kétséges	съмнение	ADJ;NOM;SG	N;INDF;NEUT;PL
kétséges	съмнение	kétséges	съмнение	ADJ;NOM;SG	N;INDF;NEUT;SG
kétséges	съмнителни	kétséges	съмнителен	ADJ;NOM;SG	ADJ;INDF;PL
kétséges	съмнително	kétséges	съмнително	ADJ;NOM;SG	ADV
kétséges	съмнително	kétséges	съмнително	ADJ;NOM;SG	ADV
leslie	лесли	lesl	лесля		PROPN;INDF;MASC;SG
pusztító	опустошителни	pusztító	опустошителен	ADJ;NOM;SG	ADJ;INDF;PL
pusztító	унищожител	pusztító	унищожител	ADJ;NOM;SG	N;INDF;MASC;SG
pusztító	разрушител	pusztító	разрушител	ADJ;NOM;SG	N;INDF;MASC;SG
pearl	пърл	pearl	пърл		N;INDF;MASC;SG
pearl	перла	pearl	пера		N;INDF;FEM;SG
átdolgozott	преработени	átdolgozott	преработя		V;PFV;INDF;PL;V.PTCP;PASS
átdolgozott	преразгледан	átdolgozott	преразгледам		V;PFV;INDF;MASC;SG;V.PTCP;PASS
átdolgozott	преразгледани	átdolgozott	преразгледам		V;PFV;INDF;PL;V.PTCP;PASS
átdolgozott	преработен	átdolgozott	преработен		V;PFV;INDF;MASC;SG;V.PTCP;PASS
átdolgozott	преразгледана	átdolgozott	преразгледам		V;PFV;INDF;FEM;SG;V.PTCP;PASS
postás	пощальон	postás	пощальон	N;NOM;SG	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
postás	пощальон	postás	пощальон	N;NOM;SG	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
essen	есен	essen	есен	V;INDF;IMP;SG;3;PRS;FIN;ACT	N;INDF;FEM;SG
találkozni	среща	találkozik	среща	V;NFIN;ACT	N;INDF;FEM;SG
feldolgozó	процесор	feldolgozó	процесор	ADJ;NOM;SG	N;INDF;MASC;SG
elena	елена	elena	елен		PROPN;INDF;FEM;SG
telek	земи	tél	земя	N;NOM;SG	N;INDF;FEM;PL
par	пар	par	пар		N;INDF;FEM;SG
singer	певецът	singer	певец		N;DEF;MASC;SG
singer	певица	singer	певица		N;INDF;FEM;SG
singer	сингър	singer	сингър		N;INDF;MASC;SG
singer	певец	singer	певец		N;INDF;MASC;SG
anatómiai	анатомични	anatómiai	анатомичен	ADJ;NOM;SG	ADJ;INDF;PL
zambia	замбия	zambia	замбия		PROPN;INDF;FEM;SG
leon	лион	lesz	лион		PROPN;INDF;MASC;SG
leon	леон	lesz	леон		PROPN;INDF;MASC;SG
laosz	лаос	laosz	лаос	PROPN;NOM;SG	PROPN;INDF;MASC;SG
verset	поема	vers	поемам	N;ACC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
casa	каса	casa	каса		N;INDF;FEM;SG
rico	рико	rico	рико		PROPN;INDF;MASC;SG
haydn	хайдн	haydn	хайдн		N;INDF;MASC;SG
felhasználás	използвайте	felhasználás	използвам	N;NOM;SG	V;IPFV;IMP;PL;2;FIN
korong	диск	korong	диск		N;INDF;MASC;SG
korong	диска	korong	дискам		N;DEF;MASC;SG
korong	диск	korong	диск		N;INDF;MASC;SG
korong	диска	korong	дискам		N;DEF;MASC;SG
hűséges	лоялни	hűséges	лоялен	ADJ;NOM;SG	ADJ;INDF;PL
hűséges	верните	hűséges	верен	ADJ;NOM;SG	ADJ;DEF;PL
hűséges	верни	hűséges	верен	ADJ;NOM;SG	ADJ;INDF;PL
hűséges	верните	hűséges	верен	ADJ;NOM;SG	ADJ;DEF;PL
hűséges	верни	hűséges	верен	ADJ;NOM;SG	ADJ;INDF;PL
elektronikai	електроника	elektronikai	електроника	ADJ;NOM;SG	N;INDF;FEM;SG
elektronikai	електрониката	elektronikai	електроника	ADJ;NOM;SG	N;DEF;FEM;SG
venezuelai	венецуела	venezuelai	венецуел	ADJ;NOM;SG	N;INDF;FEM;SG
paradicsom	домати	paradicsom	домат	N;NOM;SG	N;INDF;MASC;PL
paradicsom	домати	paradicsom	домат	N;NOM;SG	N;INDF;MASC;PL
paradicsom	раят	paradicsom	рай	N;NOM;SG	ADV
fenyegető	заплашително	fenyegető	заплашително		ADV
fenyegető	заплашително	fenyegető	заплашително		ADV
fenyegető	заплашва	fenyegető	заплашвам		V;IPFV;IND;SG;3;PRS;FIN;ACT
házigazda	водещ	házigazda	водя	N;NOM;SG	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
harmadszor	трето	harmadszor	трето		ADV
harmadszor	трети	harmadszor	трети		ADJ;INDF;MASC;SG
harmadszor	трета	harmadszor	трети		ADJ;INDF;FEM;SG
harmadszor	трето	harmadszor	трето		ADV
federico	федерико	federico	федерико		PROPN;INDF;MASC;SG
növelése	увеличи	növelés	увелича-(се)	N;NOM;SG	V;PFV;IMP;SG;2;FIN
emily	емили	emily	емил		PROPN;INDF;FEM;SG
giacomo	джакомо	giacomo	джакомо		PROPN;INDF;MASC;SG
martina	мартина	martina	мартина		N;INDF;FEM;SG
darwin	дарвин	darwin	дарвин		N;INDF;MASC;SG
domenico	доменико	domenico	доменик		N;INDF;MASC;SG
küld	изпращане	küld	изпращане	V;INDF;IND;SG;3;PRS;FIN;ACT	N;INDF;NEUT;SG
küld	изпращането	küld	изпращане	V;INDF;IND;SG;3;PRS;FIN;ACT	N;DEF;NEUT;SG
küld	изпращане	küld	изпращане	V;INDF;IND;SG;3;PRS;FIN;ACT	N;INDF;NEUT;SG
küld	изпрати	küld	изпратя	V;INDF;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
küld	изпратете	küld	изпратя	V;INDF;IND;SG;3;PRS;FIN;ACT	V;PFV;IMP;PL;2;FIN
doug	дъг	doug	дъг		PROPN;INDF;MASC;SG
lakók	пребиваващи	lakó	пребивавам	N;NOM;PL	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
republikánus	републикански	republikánus	републикански	N;NOM;SG	ADJ;INDF;MASC;SG
republikánus	републиканска	republikánus	републикански	N;NOM;SG	ADJ;INDF;FEM;SG
republikánus	републиканци	republikánus	републиканец	N;NOM;SG	N;INDF;MASC;PL
rosszindulatú	злонамерени	rosszindulatú	злонамерен	N;NOM;SG	ADJ;INDF;PL
rosszindulatú	злокачествени	rosszindulatú	злокачествен	N;NOM;SG	ADJ;INDF;PL
rövidítések	акроними	rövidítés	акроним	N;NOM;PL	ADJ;INDF;PL
elemzés	анализи	elemzés	анализ	N;NOM;SG	N;INDF;MASC;PL
tehetségét	талантите	tehetség	талант	N;ACC;SG	N;DEF;MASC;PL
tehetségét	таланти	tehetség	талант	N;ACC;SG	N;INDF;MASC;PL
veronika	вероника	veronika	вероника		N;INDF;FEM;SG
nomád	номадски	nomád	номадски		ADJ;INDF;MASC;SG
járvány	епидемии	járvány	епидемия	N;NOM;SG	N;INDF;FEM;PL
lille	лил	lille	лил	PROPN;NOM;SG	PROPN;INDF;MASC;SG
vicces	забавен	vicces	забавен		ADJ;INDF;MASC;SG
vicces	забавно	vicces	забавно		ADV
vicces	смешна	vicces	смешна		ADJ;INDF;FEM;SG
vicces	смешно	vicces	смешно		ADV
vicces	весело	vicces	весело		ADV
hónapok	месеца	hónap	месец	N;NOM;PL	N;DEF;MASC;SG
laurent	лоран	laurent	лоран		PROPN;INDF;MASC;SG
chan	чан	chan	чан	PROPN;NOM;SG	PROPN;INDF;MASC;SG
másképpen	иначе	másképpen	така		ADV
halászat	риболовен	halász	риболовен	N;NOM;SG	ADJ;INDF;MASC;SG
lánc	вериги	lánc	верига		N;INDF;FEM;PL
lánc	окови	lánc	оковя-(се)		N;INDF;MASC;PL
lánc	верига	lánc	верига		N;INDF;FEM;SG
lánc	вериги	lánc	верига		N;INDF;FEM;PL
lánc	верижка	lánc	верижка		N;INDF;FEM;SG
lánc	веригата	lánc	верига		N;DEF;FEM;SG
illetékes	компетентни	illetékes	компетентен		ADJ;INDF;PL
illetékes	компетентна	illetékes	компетентен		ADJ;INDF;FEM;SG
illetékes	компетентен	illetékes	компетентен		ADJ;INDF;MASC;SG
fortuna	фортуна	fortuna	фортуна		N;INDF;FEM;SG
nielsen	нилсен	niels	нилсен		PROPN;INDF;MASC;SG
leeds	лийдс	leeds	лийдс	N;NOM;SG	PROPN;INDF;MASC;SG
vega	вега	vega	вега		N;INDF;FEM;SG
vega	вегетарианец	vega	вегетарианец		N;INDF;MASC;SG
vega	веган	vega	веган		N;INDF;MASC;SG
vega	вегетариански	vega	вегетариански		ADJ;INDF;MASC;SG
befejeződött	завършена	befejeződik	завърша	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
befejeződött	завършени	befejeződik	завърша	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
befejeződött	завършен	befejeződik	завърша	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
befejeződött	завършено	befejeződik	завърша	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
boris	борис	boris	борис		N;INDF;MASC;SG
tűzoltó	пожарникар	tűzoltó	пожарникар	ADJ;NOM;SG	N;INDF;MASC;SG
tűzoltó	пожарникар	tűzoltó	пожарникар	ADJ;NOM;SG	N;INDF;MASC;SG
utazók	пътешественик	utazó	пътешественик	N;NOM;PL	N;INDF;MASC;SG
utazók	пътник	utazó	пътник	N;NOM;PL	N;INDF;MASC;SG
kőolaj	нефтени	kőolaj	нефтен	N;NOM;SG	ADJ;INDF;PL
kőolaj	нефтена	kőolaj	нефтен	N;NOM;SG	ADJ;INDF;FEM;SG
spin	завъртане	spin	завъртане		N;INDF;NEUT;SG
spin	въртене	spin	въртене		N;INDF;NEUT;SG
spin	завърти	spin	завъртя-(се)		V;PFV;IMP;SG;2;FIN
hallottam	чул	hall	чуя	V;DEF;IND;SG;1;PST;FIN;ACT	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
krónikus	хроничен	krónikus	хроничен	N;NOM;SG	ADJ;INDF;MASC;SG
krónikus	хронично	krónikus	хроничен	N;NOM;SG	ADV
krónikus	хронични	krónikus	хроничен	N;NOM;SG	ADJ;INDF;PL
krónikus	хронична	krónikus	хроничен	N;NOM;SG	ADJ;INDF;FEM;SG
logikus	логически	logikus	логически		ADJ;INDF;MASC;SG
logikus	логично	logikus	логично		ADV
utasítások	инструкция	utasítás	инструкция	N;NOM;PL	N;INDF;FEM;SG
kertészeti	градинарство	kertészeti	градинарство		N;INDF;NEUT;SG
kertészeti	градинарство	kertészeti	градинарство		N;INDF;NEUT;SG
hasi	коремна	hasi	коремен	N;NOM;SG	ADJ;INDF;FEM;SG
hasi	коремни	hasi	коремен	N;NOM;SG	ADJ;INDF;PL
jürgen	юрген	jürgen	юрген		PROPN;INDF;MASC;SG
jürgen	юрген	jürgen	юрген		PROPN;INDF;MASC;SG
vád	заряди	vád	заряда		N;INDF;FEM;PL
vád	обвинения	vád	обвинение		N;INDF;NEUT;PL
vád	обвинение	vád	обвинение		N;INDF;NEUT;SG
ellenálló	устойчиви	ellenálló	устойчив		ADJ;INDF;PL
ellenálló	устойчива	ellenálló	устойчив		ADJ;INDF;FEM;SG
ellenálló	устойчив	ellenálló	устойчив		ADJ;INDF;MASC;SG
ellenálló	съпротива	ellenálló	съпротива		N;INDF;FEM;SG
ellenálló	резистентност	ellenálló	резистентност		N;INDF;FEM;SG
ellenálló	устойчивост	ellenálló	устойчивост		N;INDF;FEM;SG
ellenálló	съпротивление	ellenálló	съпротивление		N;INDF;NEUT;SG
lovagi	рицарство	lovagi	рицарство	ADJ;NOM;SG	N;INDF;NEUT;SG
lucy	люси	lucy	люс		N;INDF;MASC;SG
lucy	луси	lucy	лус		N;INDF;FEM;SG
dylan	дилън	dylan	дилън		PROPN;INDF;MASC;SG
dylan	дилан	dylan	дилан		N;INDF;MASC;SG
derek	дерек	derek	дерек		PROPN;INDF;MASC;SG
suzuki	сузуки	suzuki	сузука	N;NOM;SG	PROPN;INDF;MASC;SG
camp	лагер	camp	лагер		N;INDF;MASC;SG
kontinensen	континент	kontinens	континент	ADJ;FRML;SG	N;INDF;MASC;SG
kontinensen	континента	kontinens	континент	ADJ;FRML;SG	N;DEF;MASC;SG
eltávolítása	премахнете	eltávolítás	премахна	N;NOM;SG	V;PFV;IMP;PL;2;FIN
eltávolítása	махнете	eltávolítás	махна	N;NOM;SG	V;PFV;IMP;PL;2;FIN
nyíló	цъфтят	nyíló	цъфтя		V;IPFV;IND;PL;3;PRS;FIN;ACT
kritikát	критики	kritika	критика	N;ACC;SG	N;INDF;FEM;PL
merőleges	перпендикулярна	merőleges	перпендикулярен		ADJ;INDF;FEM;SG
merőleges	перпендикулярни	merőleges	перпендикулярен		ADJ;INDF;PL
kinga	крал	kinga	крал		N;INDF;MASC;SG
kinga	кинг	kinga	кинг		N;INDF;MASC;SG
kinga	кралят	kinga	крал		N;DEF;MASC;SG
kinga	цар	kinga	цар		N;INDF;MASC;SG
kinga	краля	kinga	крал		N;DEF;MASC;SG
karen	карен	kar	карен		N;INDF;FEM;SG
karen	керън	kar	керън		PROPN;INDF;FEM;SG
karen	карън	kar	карън		PROPN;INDF;FEM;SG
vista	виста	vista	вист		N;INDF;FEM;SG
tulajdon	имот	tulajdon	имот		N;INDF;MASC;SG
tulajdon	собственост	tulajdon	собственост		N;INDF;FEM;SG
tulajdon	имущество	tulajdon	имущество		N;INDF;NEUT;SG
tulajdon	свойство	tulajdon	свойство		N;INDF;NEUT;SG
hódító	завоевател	hódító	завоевател		N;INDF;MASC;SG
hódító	завладяването	hódító	завладяване		N;DEF;NEUT;SG
lábát	крака	lába	крак	N;ACC;SG	N;INDF;MASC;PL
lábát	краката	lába	крак	N;ACC;SG	N;DEF;MASC;PL
lábát	крачета	lába	краче	N;ACC;SG	N;INDF;NEUT;PL
lábát	крака	lába	крак	N;ACC;SG	N;INDF;MASC;PL
amanda	аманда	amanda	аманда		N;INDF;FEM;SG
cleveland	кливлънд	cleveland	кливлънд		N;INDF;MASC;SG
cleveland	кливланд	cleveland	кливланд		N;INDF;MASC;SG
folytatás	продължавам	folytatás	продължавам	N;NOM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
folytatás	продължи	folytatás	продължа	N;NOM;SG	V;PFV;IND;SG;3;PST;FIN;ACT
folytatás	продължи	folytatás	продължа	N;NOM;SG	V;PFV;IND;SG;3;PST;FIN;ACT
folytatás	продължил	folytatás	продължа	N;NOM;SG	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
hittem	мисъл	hit	мисъл	V;DEF;IND;SG;1;PRS;FIN;ACT	N;INDF;FEM;SG
fasiszta	фашисти	fasiszta	фашист		N;INDF;MASC;PL
fasiszta	фашист	fasiszta	фашист		N;INDF;MASC;SG
fasiszta	фашистки	fasiszta	фашистки		ADJ;INDF;MASC;SG
végrehajtani	изпълняване	végrehajt	изпълняване	V;NFIN;ACT	N;INDF;NEUT;SG
gregory	григорий	gregory	григорий		N;INDF;MASC;SG
gregory	грегори	gregory	грегоря		N;INDF;MASC;SG
gregory	грегъри	gregory	грегър		N;INDF;MASC;SG
dominikai	доминиканската	dominikai	доминикански		ADJ;DEF;FEM;SG
dominikai	доминика	dominikai	доминика		N;INDF;FEM;SG
kocka	зубър	kocka	зубър		N;INDF;MASC;SG
kocka	куб	kocka	куб		N;INDF;MASC;SG
kocka	куба	kocka	кубо		N;INDF;FEM;SG
kocka	зубър	kocka	зубър		N;INDF;MASC;SG
kocka	зарове	kocka	зарова		N;INDF;MASC;PL
kocka	заровете	kocka	заровя-(се)		N;DEF;MASC;PL
örülök	удоволствие	örül	удоволствие	V;DEF;IND;SG;1;PRS;FIN;ACT	N;INDF;NEUT;SG
tárgyalás	преговори	tárgyalás	преговори	N;NOM;SG	N;INDF
tárgyalás	преговорите	tárgyalás	преговори	N;NOM;SG	N;DEF
befejezetlen	недовършена	befejezetlen	недовърша		ADJ;INDF;FEM;SG
befejezetlen	недовършени	befejezetlen	повърша		ADJ;INDF;PL
befejezetlen	непълна	befejezetlen	непълна		ADJ;INDF;FEM;SG
befejezetlen	непълни	befejezetlen	непълня		ADJ;INDF;PL
befejezetlen	непълен	befejezetlen	непълен		ADJ;INDF;MASC;SG
befejezetlen	непълно	befejezetlen	непълно		ADV
lemond	оставка	lemond	оставка	V;INDF;IND;SG;3;PRS;FIN;ACT	N;INDF;FEM;SG
optimális	оптимално	optimális	оптимално	ADJ;NOM;SG	ADV
optimális	оптимално	optimális	оптимално	ADJ;NOM;SG	ADV
detroit	детройт	detroit	детройт		PROPN;INDF;MASC;SG
konfliktusok	конфликт	konfliktus	конфликт	N;NOM;PL	N;INDF;MASC;SG
adriai	адриатическо	adriai	адриатически	ADJ;NOM;SG	ADV
eindhoven	айндховен	eindhoven	айндховен	PROPN;NOM;SG	ADJ;INDF;MASC;SG
fehérje	протеини	fehér	протея	N;NOM;SG	N;INDF;MASC;PL
fehérje	протеини	fehér	протея	N;NOM;SG	N;INDF;MASC;PL
fehérje	протеините	fehér	протеин	N;NOM;SG	N;DEF;MASC;PL
haut	haut	haut	haut		PROPN;INDF;MASC;SG
részecske	частици	részecske	частица	N;NOM;SG	N;INDF;FEM;PL
részecske	частици	részecske	частица	N;NOM;SG	N;INDF;FEM;PL
szabályozó	регулатор	szabályozó	регулатор	ADJ;NOM;SG	N;INDF;MASC;SG
molekula	молекулярна	molekula	молекулярен	N;NOM;SG	ADJ;INDF;FEM;SG
elegáns	елегантно	elegáns	елегантно	ADJ;NOM;SG	ADV
elegáns	елегантни	elegáns	елегантен	ADJ;NOM;SG	ADJ;INDF;PL
elegáns	шик	elegáns	шик	ADJ;NOM;SG	N;INDF;MASC;SG
vegas	вегас	vegas	вегас		N;INDF;FEM;SG
donna	дона	donna	дона		PROPN;INDF;FEM;SG
abd	абд	abd	абд		N;INDF;MASC;SG
bekezdés	параграф	bekezdés	параграф		N;INDF;MASC;SG
bekezdés	абзац	bekezdés	абзац		N;INDF;MASC;SG
bekezdés	параграфи	bekezdés	параграф		N;INDF;MASC;PL
nyilas	стрелец	nyilas	стрелец		N;INDF;MASC;SG
természetfeletti	свръхестествено	természetfelett	свръхестествен	ADJ;NOM;SG	ADV
természetfeletti	свръхестествени	természetfelett	свръхестествен	ADJ;NOM;SG	ADJ;INDF;PL
rocky	роки	rocky	рока		N;INDF;MASC;SG
megfogalmazott	формулирана	megfogalmazott	формулирам	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
megfogalmazott	формулирани	megfogalmazott	формулирам	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
fan	фан	fan	фан		N;INDF;MASC;SG
fan	вентилатор	fan	вентилатор		N;INDF;MASC;SG
fan	фен	fan	фен		N;INDF;MASC;SG
fan	почитател	fan	почитател		N;INDF;MASC;SG
fan	фенка	fan	фенк		N;INDF;FEM;SG
éghajlati	климатични	éghajlati	климатичен	N;NOM;SG	ADJ;INDF;PL
rákok	ракообразни	rák	ракообразен	N;NOM;PL	ADJ;INDF;PL
