और	и	और	и		CONJ
आध्यात्मिक	духовное	आध्यात्मिक	духовный	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
आध्यात्मिक	духовного	आध्यात्मिक	духовный	N;NOM;MASC;SG;3	ADJ;GEN;MASC;SG
साइट	сайты	साइट	сайт	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
साइट	сайтов	साइट	сайт	N;NOM;FEM;SG;3	N;INAN;GEN;MASC;PL
यहूदी	еврейские	यहूदी	еврейский	N;NOM;MASC;SG;3	ADJ;NOM;PL
यहूदी	еврейский	यहूदी	еврейский	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
यहूदी	еврейских	यहूदी	еврейский	N;NOM;MASC;SG;3	ADJ;GEN;PL
यहूदी	еврейская	यहूदी	еврейский	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
यहूदी	евреи	यहूदी	еврей	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;PL
यहूदी	еврейский	यहूदी	еврейский	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
यहूदी	евреев	यहूदी	еврей	N;NOM;MASC;SG;3	N;ANIM;GEN;MASC;PL
यहूदी	иудеи	यहूदी	иудея	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;PL
यहूदी	евреи	यहूदी	еврей	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;PL
महाद्वीप	континенте	महाद्वीप	континент	N;NOM;MASC;SG;3	N;INAN;ESS;MASC;SG
महाद्वीप	континентах	महाद्वीप	континент	N;NOM;MASC;SG;3	N;INAN;ESS;MASC;PL
महाद्वीप	континентов	महाद्वीप	континент	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
तरीका	way	तरीका	way	N;NOM;MASC;SG;3	PROPN
मुक्ति	освобождения	मुक्ति	освобождение	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;PL
प्रजनन	разведения	प्रजनन	разведение	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
प्रजनन	рождаемости	प्रजनन	рождаемость	N;NOM;MASC;SG;3	N;INAN;GEN;FEM;SG
बॉक्स	box	बॉक्स	box	N;NOM;MASC;SG;3	PROPN
बॉक्स	коробку	बॉक्स	коробка	N;NOM;MASC;SG;3	N;INAN;ACC;FEM;SG
बॉक्स	коробки	बॉक्स	коробка	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
बॉक्स	ящики	बॉक्स	ящик	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
श्रेय	кредитная	श्रेय	кредитный	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
श्रेय	кредита	श्रेय	кредит	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
श्रेय	полномочия	श्रेय	полномочие	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
श्रेय	баллы	श्रेय	балл	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
श्रेय	кредиты	श्रेय	кредит	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
श्रेय	кредитов	श्रेय	кредит	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
ठाकुर	тхакур	ठाकुर	тхакур	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
वेल्स	уэльса	वेल्स	уэльс	PROPN;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
वेल्स	уэльс	वेल्स	уэльс	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
समकालीन	современный	समकालीन	современный	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
समकालीन	современные	समकालीन	современный	N;NOM;MASC;SG;3	ADJ;NOM;PL
समकालीन	современная	समकालीन	современный	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
समकालीन	современных	समकालीन	современный	N;NOM;MASC;SG;3	ADJ;GEN;PL
समकालीन	современное	समकालीन	современный	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
निभाई	играли	निभा	играть	V;PFV;FEM;SG;V.PTCP;ACT	V;IPFV;IND;PL;PST;FIN;ACT
निभाई	играла	निभा	играть	V;PFV;FEM;SG;V.PTCP;ACT	V;IPFV;FEM;IND;SG;PST;FIN;ACT
निभाई	играл	निभा	играть	V;PFV;FEM;SG;V.PTCP;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
एक्सप्रेस	express	एक्सप्रेस	express	N;NOM;FEM;SG;3	PROPN
एक्सप्रेस	выразить	एक्सप्रेस	выразить	N;NOM;FEM;SG;3	V;PFV;NFIN;ACT
प्रक्रियाओं	процессы	प्रक्रिया	процесс	N;ACC;FEM;PL;3	N;INAN;NOM;MASC;PL
प्रक्रियाओं	процедуры	प्रक्रिया	процедура	N;ACC;FEM;PL;3	N;INAN;NOM;FEM;PL
मंदिरों	храмы	मंदिर	храм	N;ACC;MASC;PL;3	N;INAN;NOM;MASC;PL
चोट	травмы	चोट	травма	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
चोट	больно	चोट	больно	N;NOM;FEM;SG;3	ADV
मौजूदा	текущий	मौजूदा	текущий	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
मौजूदा	текущее	मौजूदा	текущий	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
मौजूदा	нынешней	मौजूदा	нынешний	PROPN;NOM;MASC;SG;3	ADJ;INS;FEM;SG
मौजूदा	текущие	मौजूदा	текущий	PROPN;NOM;MASC;SG;3	ADJ;NOM;PL
मौजूदा	текущая	मौजूदा	текущий	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
मौजूदा	настоящее	मौजूदा	настоящий	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
मौजूदा	подарок	मौजूदा	подарок	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
मौजूदा	существующие	मौजूदा	существовать	PROPN;NOM;MASC;SG;3	V;IPFV;NOM;PL;PRS;V.PTCP;ACT
मौजूदा	существующая	मौजूदा	существовать	PROPN;NOM;MASC;SG;3	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT
मौजूदा	существующее	मौजूदा	существовать	PROPN;NOM;MASC;SG;3	V;IPFV;NOM;NEUT;SG;PRS;V.PTCP;ACT
मौजूदा	существующий	मौजूदा	существовать	PROPN;NOM;MASC;SG;3	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;ACT
हरा	зелень	हरा	зелень	V;MASC;SG;V.PTCP;ACT	N;INAN;NOM;FEM;SG
हरा	зелёные	हरा	зеленый	V;MASC;SG;V.PTCP;ACT	ADJ;NOM;PL
हरा	зелёные	हरा	зеленый	V;MASC;SG;V.PTCP;ACT	ADJ;NOM;PL
हरा	зелень	हरा	зелень	V;MASC;SG;V.PTCP;ACT	N;INAN;NOM;FEM;SG
हरा	зелёный	हरा	зелёный	V;MASC;SG;V.PTCP;ACT	ADJ;NOM;MASC;SG
हरा	зелёная	हरा	зеленый	V;MASC;SG;V.PTCP;ACT	ADJ;NOM;FEM;SG
हरा	зеленый	हरा	зеленый	V;MASC;SG;V.PTCP;ACT	ADJ;NOM;MASC;SG
हरा	гренада	हरा	гренада	V;MASC;SG;V.PTCP;ACT	N;INAN;NOM;FEM;SG
संगीतकार	музыкантов	संगीतकार	музыкант	N;NOM;MASC;SG;3	N;ANIM;GEN;MASC;PL
संगीतकार	музыканты	संगीतकार	музыкант	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;PL
रुचि	заинтересованных	रुचि	заинтересованный	N;NOM;FEM;SG;3	ADJ;GEN;PL
रुचि	заинтересованная	रुचि	заинтересованный	N;NOM;FEM;SG;3	ADJ;NOM;FEM;SG
रुचि	интересует	रुचि	интересовать	N;NOM;FEM;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
रुचि	заинтересованным	रुचि	заинтересованный	N;NOM;FEM;SG;3	ADJ;INS;MASC;SG
रुचि	интересно	रुचि	интересный	N;NOM;FEM;SG;3	ADJ;NEUT;SG
रुचि	заинтересованные	रुचि	заинтересованный	N;NOM;FEM;SG;3	ADJ;NOM;PL
रुचि	проценты	रुचि	процент	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
रुचि	интересы	रुचि	интерес	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
आर्य	арийской	आर्य	арийский	PROPN;NOM;MASC;SG;3	ADJ;INS;FEM;SG
परत	слоя	परत	слой	N;NOM;FEM;SG;3	N;INAN;GEN;MASC;SG
पर्यटक	туристов	पर्यटक	турист	N;NOM;MASC;PL;3	N;ANIM;GEN;MASC;PL
पर्यटक	туристических	पर्यटक	туристический	N;NOM;MASC;PL;3	ADJ;GEN;PL
पर्यटक	туристический	पर्यटक	туристический	N;NOM;MASC;PL;3	ADJ;NOM;MASC;SG
पर्यटक	турист	पर्यटक	турист	N;NOM;MASC;PL;3	N;ANIM;NOM;MASC;SG
मछली	рыб	मछली	рыба	N;NOM;FEM;SG;3	N;ANIM;GEN;FEM;PL
मछली	рыбы	मछली	рыба	N;NOM;FEM;SG;3	N;ANIM;NOM;FEM;PL
मछली	волокон	मछली	волокно	N;NOM;FEM;SG;3	N;INAN;GEN;NEUT;PL
मछली	волокна	मछली	волокно	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;PL
मछली	рыбы	मछली	рыба	N;NOM;FEM;SG;3	N;ANIM;NOM;FEM;PL
मछली	волокна	मछली	волокно	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;PL
उपभोक्ता	потребители	उपभोक्ता	потребитель	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;PL
उपभोक्ता	потребителя	उपभोक्ता	потребитель	N;NOM;MASC;SG;3	N;ANIM;ACC;MASC;SG
उपभोक्ता	потребительские	उपभोक्ता	потребительский	N;NOM;MASC;SG;3	ADJ;NOM;PL
उपभोक्ता	потребителей	उपभोक्ता	потребитель	N;NOM;MASC;SG;3	N;ANIM;GEN;MASC;PL
उपभोक्ता	потребители	उपभोक्ता	потребитель	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;PL
उपभोक्ता	потребителей	उपभोक्ता	потребитель	N;NOM;MASC;SG;3	N;ANIM;GEN;MASC;PL
वैज्ञानिकों	ученые	वैज्ञानिक	ученый	N;ACC;MASC;PL;3	N;ANIM;NOM;MASC;PL
वैज्ञानिकों	учёные	वैज्ञानिक	ученый	N;ACC;MASC;PL;3	N;ANIM;NOM;MASC;PL
यान	янь	यान	янь	N;NOM;MASC;SG;3	PART
कक्ष	room	कक्ष	room		PROPN
कक्ष	комната	कक्ष	комната		N;INAN;NOM;FEM;SG
कक्ष	ячейки	कक्ष	ячейка		N;INAN;NOM;FEM;PL
कक्ष	клетки	कक्ष	клетка		N;INAN;NOM;FEM;PL
कक्ष	ячейка	कक्ष	ячейка		N;INAN;NOM;FEM;SG
कक्ष	ячейки	कक्ष	ячейка		N;INAN;NOM;FEM;PL
कक्ष	камере	कक्ष	камера		N;INAN;DAT;FEM;SG
कक्ष	клетка	कक्ष	клетка		N;INAN;NOM;FEM;SG
कक्ष	камера	कक्ष	камера		N;INAN;NOM;FEM;SG
कक्ष	палата	कक्ष	палата		N;INAN;NOM;FEM;SG
कक्ष	комнаты	कक्ष	комната		N;INAN;NOM;FEM;PL
कक्ष	номера	कक्ष	номер		N;INAN;NOM;MASC;PL
यौन	сексуальное	यौन	сексуальный	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
यौन	сексуальные	यौन	сексуальный	N;NOM;MASC;SG;3	ADJ;NOM;PL
यौन	сексуального	यौन	сексуальный	N;NOM;MASC;SG;3	ADJ;GEN;MASC;SG
यौन	сексуальный	यौन	сексуальный	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
यौन	сексуальная	यौन	сексуальный	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
मशहूर	знаменитость	मशहूर	знаменитость	ADJ	N;INAN;NOM;FEM;SG
अनुबंध	пакта	अनुबंध	пакт	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
अनुबंध	контракты	अनुबंध	контракт	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
अनुबंध	договоры	अनुबंध	договор	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
राव	рао	राव	рао	PROPN;NOM;SG;3	N;INAN;NOM;NEUT;SG
पाठ्यक्रम	курсы	पाठ्यक्रम	курс	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
वेस्ट	запад	वेस्ट	запад	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
वेस्ट	уэст	वेस्ट	уэст	PROPN;NOM;MASC;SG;3	PART
वेस्ट	западная	वेस्ट	западный	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
वेस्ट	западный	वेस्ट	западный	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
वेस्ट	вест	वेस्ट	вест	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
प्रतिष्ठित	благородно	प्रतिष्ठित	благородный	ADJ	ADV
प्रतिष्ठित	честь	प्रतिष्ठित	честь	ADJ	N;INAN;NOM;FEM;SG
न्यूनतम	свернуть	न्यूनतम	своротить	PROPN;NOM;SG;3	V;PFV;NFIN;ACT
न्यूनतम	минимизировать	न्यूनतम	минимизировать	PROPN;NOM;SG;3	V;IPFV;NFIN;ACT
न्यूनतम	минимизации	न्यूनतम	минимизация	PROPN;NOM;SG;3	N;INAN;NOM;FEM;PL
न्यूनतम	минимальный	न्यूनतम	минимальный	PROPN;NOM;SG;3	ADJ;NOM;MASC;SG
न्यूनतम	минимальное	न्यूनतम	минимальный	PROPN;NOM;SG;3	ADJ;NOM;NEUT;SG
न्यूनतम	минимальная	न्यूनतम	минимальный	PROPN;NOM;SG;3	ADJ;NOM;FEM;SG
न्यूनतम	минимум	न्यूनतम	минимум	PROPN;NOM;SG;3	N;INAN;ACC;MASC;SG
न्यूनतम	мин	न्यूनतम	минута	PROPN;NOM;SG;3	N;INAN;NOM;FEM;SG
प्रतिभा	гении	प्रतिभा	гений	N;NOM;FEM;SG;3	N;ANIM;NOM;MASC;PL
प्रतिभा	гениально	प्रतिभा	гениально	N;NOM;FEM;SG;3	ADJ;NEUT;SG
प्रतिभा	таланты	प्रतिभा	талант	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
प्रशंसा	хвалит	प्रशंसा	хвалить	N;NOM;FEM;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
सीट	сиденья	सीट	сиденье	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;PL
व्यावहारिक	практических	व्यावहारिक	практический	ADJ;NOM	ADJ;GEN;PL
उत्सव	festival	उत्सव	festival	N;NOM;MASC;SG;3	PROPN
कपड़े	одежда	कपड़ा	одежда	N;NOM;MASC;PL;3	N;INAN;NOM;FEM;SG
कपड़े	одежду	कपड़ा	одежда	N;NOM;MASC;PL;3	N;INAN;ACC;FEM;SG
कपड़े	одежда	कपड़ा	одежда	N;NOM;MASC;PL;3	N;INAN;NOM;FEM;SG
कपड़े	одежду	कपड़ा	одежда	N;NOM;MASC;PL;3	N;INAN;ACC;FEM;SG
पुणे	пуне	पुणे	пуня	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
सालों	годы	साल	год	N;NOM;MASC;PL;3	N;INAN;ACC;MASC;PL
सालों	лет	साल	год	N;NOM;MASC;PL;3	N;INAN;GEN;MASC;PL
सालों	years	साल	years	N;NOM;MASC;PL;3	PROPN
हजारों	тысячи	हजार	тысяча	N;ACC;MASC;PL;3	N;INAN;NOM;FEM;PL
खनिज	минеральных	खनिज	минеральный	N;NOM;MASC;SG;3	ADJ;GEN;PL
खनिज	ископаемых	खनिज	ископаемое	N;NOM;MASC;SG;3	N;INAN;GEN;NEUT;PL
खनिज	ископаемые	खनिज	ископаемое	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
खनिज	ископаемого	खनिज	ископаемый	N;NOM;MASC;SG;3	ADJ;GEN;MASC;SG
खनिज	минералов	खनिज	минерал	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
लम्बी	длинные	लंबा	длинный	ADJ;NOM;FEM;SG	ADJ;NOM;PL
लम्बी	долго	लंबा	долго	ADJ;NOM;FEM;SG	ADV
लम्बी	лонг	लंबा	лонг	ADJ;NOM;FEM;SG	
विषाणु	вирусы	विषाणु	вирус	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
फ्रांसीसी	французы	फ्रांसीसी	француз	ADJ;NOM	N;ANIM;NOM;MASC;PL
कठोर	жестко	कठोर	жестко	ADJ	ADV
प्रणालियों	системы	प्रणाली	система	N;ACC;MASC;PL;3	N;INAN;NOM;FEM;PL
प्रणालियों	систем	प्रणाली	система	N;ACC;MASC;PL;3	N;INAN;GEN;FEM;PL
विकार	расстройства	विकार	расстройство	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
विकार	заболевания	विकार	заболевание	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
विकार	болезни	विकार	болезнь	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
विकार	расстройства	विकार	расстройство	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
विकार	расстройств	विकार	расстройство	N;NOM;MASC;SG;3	N;INAN;GEN;NEUT;PL
घटक	составных	घटक	составной	N;NOM;MASC;SG;3	ADJ;GEN;PL
घटक	составные	घटक	составной	N;NOM;MASC;SG;3	ADJ;NOM;PL
ऑस्ट्रेलियाई	оззи	ऑस्ट्रेलियाई	оззи	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
ऑस्ट्रेलियाई	австралийский	ऑस्ट्रेलियाई	австралийский	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
ऑस्ट्रेलियाई	австралийская	ऑस्ट्रेलियाई	австралийский	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
ऑस्ट्रेलियाई	австралии	ऑस्ट्रेलियाई	австралия	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
वर्गों	квадраты	वर्ग	квадрат	N;ACC;MASC;PL;3	N;INAN;NOM;MASC;PL
वर्गों	секции	वर्ग	секция	N;ACC;MASC;PL;3	N;INAN;NOM;FEM;PL
वर्गों	разделы	वर्ग	раздел	N;ACC;MASC;PL;3	N;INAN;NOM;MASC;PL
संहिता	code	संहिता	code	N;NOM;FEM;SG;3	PROPN
काल्पनिक	фантазии	काल्पनिक	фантазия	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
काल्पनिक	воображаемый	काल्पनिक	воображать	N;NOM;MASC;SG;3	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;PASS
काल्पनिक	нереально	काल्पनिक	нереальный	N;NOM;MASC;SG;3	ADJ;NEUT;SG
काल्पनिक	гипотетически	काल्पनिक	гипотетически	N;NOM;MASC;SG;3	ADV
प्रयत्न	усилия	प्रयत्न	усилие	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
प्रयत्न	усилия	प्रयत्न	усилие	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
प्रजाति	видов	प्रजाति	вид	N;NOM;FEM;SG;3	N;INAN;GEN;MASC;PL
प्रजाति	виды	प्रजाति	вид	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
विविधता	разнообразия	विविधता	разнообразие	N;NOM;FEM;SG;3	N;INAN;GEN;NEUT;SG
इस्लामी	исламские	इस्लामी	исламский		ADJ;NOM;PL
इस्लामी	исламская	इस्लामी	исламский		ADJ;NOM;FEM;SG
इस्लामी	исламский	इस्लामी	исламский		ADJ;NOM;MASC;SG
इस्लामी	исламское	इस्लामी	исламский		ADJ;NOM;NEUT;SG
इस्लामी	исламизм	इस्लामी	исламизм		N;INAN;NOM;MASC;SG
शहरी	урбанизация	शहरी	урбанизация	PROPN;NOM	N;INAN;NOM;FEM;SG
शहरी	урбанизации	शहरी	урбанизация	PROPN;NOM	N;INAN;NOM;FEM;PL
शहरी	городское	शहरी	городской	PROPN;NOM	ADJ;NOM;NEUT;SG
शहरी	городские	शहरी	городской	PROPN;NOM	ADJ;NOM;PL
शहरी	городских	शहरी	городской	PROPN;NOM	ADJ;GEN;PL
नदियाँ	рек	नदी	река	N;NOM;FEM;PL;3	N;INAN;GEN;FEM;PL
शास्त्रीय	классические	शास्त्रीय	классический	PROPN;NOM;SG;3	ADJ;NOM;PL
शास्त्रीय	классическая	शास्त्रीय	классический	PROPN;NOM;SG;3	ADJ;NOM;FEM;SG
शास्त्रीय	классический	शास्त्रीय	классический	PROPN;NOM;SG;3	ADJ;NOM;MASC;SG
शास्त्रीय	классика	शास्त्रीय	классик	PROPN;NOM;SG;3	N;INAN;NOM;FEM;SG
शास्त्रीय	классической	शास्त्रीय	классический	PROPN;NOM;SG;3	ADJ;INS;FEM;SG
सैन	san	सैन	san	PROPN;NOM;MASC;SG;3	PROPN
सैन	сан	सैन	сан	PROPN;NOM;MASC;SG;3	
अग्नि	fire	अग्नि	fire	PROPN;NOM;FEM;SG;3	PROPN
अग्नि	пожар	अग्नि	пожар	PROPN;NOM;FEM;SG;3	N;INAN;NOM;MASC;SG
अग्नि	огонь	अग्नि	огонь	PROPN;NOM;FEM;SG;3	N;INAN;NOM;MASC;SG
अग्नि	агни	अग्नि	агня	PROPN;NOM;FEM;SG;3	N;INAN;NOM;FEM;SG
ग्रेट	здорово	ग्रेट	здорово		ADV
ग्रेट	отлично	ग्रेट	отлично		ADV
ग्रेट	великолепно	ग्रेट	великолепно		ADV
श्रम	труда	श्रम	труд	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
आयरलैंड	исландии	आयरलैंड	исландия	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
आयरलैंड	исландия	आयरलैंड	исландия	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
आयरलैंड	ирландию	आयरलैंड	ирландия	PROPN;NOM;MASC;SG;3	N;INAN;ACC;FEM;SG
आयरलैंड	ирландия	आयरलैंड	ирландия	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
आयरलैंड	ирландии	आयरलैंड	ирландия	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
निकटतम	ближайшие	निकटतम	ближайший	N;NOM;MASC;SG;3	ADJ;NOM;PL
निकटतम	ближайшее	निकटतम	ближайший	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
निकटतम	ближайший	निकटतम	близкий	N;NOM;MASC;SG;3	ADJ;NOM;RL;MASC;SG
निकटतम	ближайшей	निकटतम	близкий	N;NOM;MASC;SG;3	ADJ;INS;RL;FEM;SG
उसको	его	वह	он	PRO;SG;3	PRO;ACC;MASC;SG;3
उसको	ему	वह	он	PRO;SG;3	PRO;DAT;MASC;SG;3
असफल	провал	असफल	провал	ADP	N;INAN;NOM;MASC;SG
असफल	неудачи	असफल	неудача	ADP	N;INAN;NOM;FEM;PL
असफल	неудача	असफल	неудача	ADP	N;INAN;NOM;FEM;SG
असफल	провал	असफल	провал	ADP	N;INAN;NOM;MASC;SG
चन्द्र	чандра	चन्द्र	чандра	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
चन्द्र	мун	चन्द्र	мун	PROPN;NOM;MASC;SG;3	PART
चन्द्र	луна	चन्द्र	луна	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
चन्द्र	луну	चन्द्र	луна	PROPN;NOM;MASC;SG;3	N;INAN;ACC;FEM;SG
गाँधी	ганди	गाँधी	ганди	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
अनुप्रयोग	синдикации	अनुप्रयोग	синдикация	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
अनुप्रयोग	приложения	अनुप्रयोग	приложение	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
अनुप्रयोग	заявки	अनुप्रयोग	заявка	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
बचने	избежание	बच	избежание	V;NFIN;ACT	N;INAN;NOM;NEUT;SG
सोने	золотой	सोना	золотой	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
सोने	золотая	सोना	золотой	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
सोने	gold	सोना	gold	N;NOM;MASC;SG;3	PROPN
सोने	золотые	सोना	золотой	N;NOM;MASC;SG;3	ADJ;NOM;PL
बेहद	чрезвычайно	बेहद	чрезвычайно	CONJ	ADV
बेहद	крайне	बेहद	крайне	CONJ	ADV
ब्रांड	брендов	ब्रांड	бренд	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
ब्रांड	бренда	ब्रांड	бренд	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
डिज़ाइन	design	डिज़ाइन	design	N;NOM;MASC;SG;3	PROPN
आवास	лодж	आवास	лодж	N;NOM;MASC;SG;3	INTJ
यांत्रिक	механические	यांत्रिक	механический	N;NOM;MASC;SG;3	ADJ;NOM;PL
यांत्रिक	механических	यांत्रिक	механический	N;NOM;MASC;SG;3	ADJ;GEN;PL
धारणा	зачатия	धारणा	зачатие	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;PL
खड़े	стоя	खडा	стоять	ADJ;NOM;MASC;PL	V;IPFV;PRS;V.CVB;ACT
खड़े	стою	खडा	стоять	ADJ;NOM;MASC;PL	V;IPFV;IND;SG;1;PRS;FIN;ACT
द्रव्यमान	массе	द्रव्यमान	масса	N;NOM;MASC;SG;3	N;INAN;DAT;FEM;SG
द्रव्यमान	массового	द्रव्यमान	массовый	N;NOM;MASC;SG;3	ADJ;GEN;NEUT;SG
लाइव	живи	लाइव	жить	N;NOM;MASC;SG;3	V;IPFV;IMP;SG;2;FIN;ACT
लाइव	живите	लाइव	жить	N;NOM;MASC;SG;3	V;IPFV;IND;PL;2;PRS;FIN;ACT
लाइव	live	लाइव	live	N;NOM;MASC;SG;3	PROPN
लाइव	живу	लाइव	жить	N;NOM;MASC;SG;3	V;IPFV;IND;SG;1;PRS;FIN;ACT
लाइव	жить	लाइव	жить	N;NOM;MASC;SG;3	V;IPFV;NFIN;ACT
कवियों	поэтов	कवी	поэт	N;ACC;MASC;PL;3	N;ANIM;GEN;MASC;PL
आकृति	форме	आकृति	форма	N;NOM;FEM;SG;3	N;INAN;DAT;FEM;SG
प्रभावशाली	впечатляет	प्रभावशाली	впечатлять	ADJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
प्रभावशाली	впечатляющий	प्रभावशाली	впечатлять	ADJ	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;ACT
स्थितियों	ситуации	स्थिति	ситуация	N;ACC;FEM;PL;3	N;INAN;NOM;FEM;PL
करेंगे	воля	कर	воля	V;MASC;IND;PL;3;FUT;FIN;ACT	N;INAN;NOM;FEM;SG
करेंगे	будет	कर	быть	V;MASC;IND;PL;3;FUT;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
करेंगे	уилл	कर	уилл	V;MASC;IND;PL;3;FUT;FIN;ACT	N;ANIM;NOM;MASC;SG
मलयालम	малаялам	मलयालम	малаял	PROPN;NOM;FEM;SG;3	N;ANIM;DAT;MASC;PL
जाय	мускат	जा	мускат	V;SBJV;FIN;ACT	N;INAN;NOM;MASC;SG
पीटर	петр	पीटर	петр	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
पीटर	питер	पीटर	питер	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
पीटर	петер	पीटर	петер	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
पीटर	пётр	पीटर	пётр	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
