the	do	the	do	DET;DEF	PROPN
chart	gráfico	chart	gráfico	N;SG	ADJ
starting	a	start	o	V;V.MSDR	DET
spent	anos	spend	ano	V;PST;V.PTCP	N
clearly	claro	clearly	claro	ADV	ADJ
clearly	con	clearly	con	ADV	ADP
clearly	claridade	clearly	claridade	ADV	N
francisco	francisco	francisco	francisco	PROPN;SG	N
politics	a	politics	o	N;PL	DET
cause	porque	cause	porque	N;SG	CONJ
cause	causar	cause	causar	N;SG	V
volume	o	volume	o	N;SG	DET
caused	causa	cause	causa	V;PST;V.PTCP	N
tom	tom	tom	tom	PROPN;SG	PROPN
except	pero	except	pero	ADV	CONJ
except	agás	except	agás	ADV	ADP
oil	de	oil	de	N;SG	ADP
assistant	asistente	assistant	asistente	N;SG	ADJ
assistant	de	assistant	de	N;SG	ADP
stories	as	story	o	N;PL	DET
gets	se	get	se	V;IND;SG;3;PRS;FIN	CONJ
allow	permitídeme	allow	permitídeme	V;IMP;FIN	N
communities	as	community	o	N;PL	DET
train	entreno	train	entreno	N;SG	PROPN
remains	segue	remains	seguir	N;PL	V
remains	queda	remains	quedar	N;PL	V
remains	a	remains	o	N;PL	DET
remains	ser	remains	ser	N;PL	V
remains	continúa	remains	continuar	N;PL	V
remains	fica	remains	ficar	N;PL	V
metal	de	metal	de	N;SG	ADP
wrong	mal	wrong	mal	ADJ	ADV
wrong	malo	wrong	malo	ADJ	PROPN
frank	frank	frank	frank	PROPN;SG	N
frank	franco	frank	franco	PROPN;SG	N
miles	km	mile	km	N;PL	PROPN
miles	a	mile	o	N;PL	DET
mass	masiva	mass	masivo	N;SG	ADJ
mass	de	mass	de	N;SG	ADP
comedy	a	comedy	o	N;SG	DET
knowledge	coñecía	knowledge	coñecer	N;SG	V
failed	non	fail	non	V;PST;V.PTCP	PART
officers	oficiais	officer	oficial	N;PL	ADJ
officers	os	officer	o	N;PL	DET
officers	seus	officer	seu	N;PL	DET
fight	contra	fight	contra	V;IMP;FIN	ADP
fight	loita	fight	loita	V;IMP;FIN	N
figure	que	figure	que	V;IMP;FIN	PRO
camp	do	camp	do	N;SG	PROPN
ran	sen	run	sen	V;IND;PST;FIN	ADP
variety	de	variety	de	N;SG	ADP
raised	a	raise	o	V;PST;V.PTCP	DET
raised	crecín	raise	crecín	V;PST;V.PTCP	PROPN
heavy	pesados	heavy	pesar	ADJ	V
heavy	pesa	heavy	pesar	ADJ	V
heavy	moito	heavy	moito	ADJ	ADV
heavy	peso	heavy	peso	ADJ	N
alexander	alexander	alexander	alexander	PROPN;SG	ADJ
alone	soa	alone	só	ADV	DET
alone	sós	alone	só	ADV	PROPN
alone	soas	alone	so	ADV	N
alone	en	alone	en	ADV	ADP
alone	paz	alone	paz	ADV	N
daily	día	daily	día	ADV	N
daily	daily	daily	daily	ADV	ADJ
daily	cotiá	daily	cotián	ADV	N
daily	diario	daily	diario	ADV	N
williams	williams	williams	williams	PROPN;SG	PROPN
latin	latín	latin	latín	PROPN;SG	N
completely	completo	completely	completo	ADV	ADJ
completely	por	completely	por	ADV	ADP
dark	escuridade	dark	escuridade	ADJ	N
dark	noite	dark	noite	ADJ	N
von	von	vo	von	PROPN;SG	PROPN
mind	importa	mind	importar	N;SG	V
corps	de	corps	de	N;SG	ADP
scott	scott	scott	scott	PROPN;SG	PROPN
jean	jean	jean	jean	PROPN;SG	PROPN
mayor	o	mayor	o	N;SG	DET
beach	beach	beach	beach	N;SG	PROPN
forms	de	form	de	N;PL	ADP
joe	joe	joe	joe	PROPN;SG	PROPN
inside	interior	inside	interior	ADV	ADJ
wanted	que	want	que	V;IND;PST;FIN	PRO
mention	mención	mention	mención	V;IMP;FIN	N
projects	os	project	o	N;PL	DET
cost	custan	cost	custar	N;SG	V
cost	custa	cost	custar	N;SG	V
vice	vicepresidente	vice	vicepresidente	PROPN;SG	N
vice	vicio	vice	vicio	PROPN;SG	N
vice	iwabuchi	vice	iwabuchi	PROPN;SG	PROPN
vice	antivicio	vice	antivicio	PROPN;SG	PROPN
drive	coche	drive	coche	V;IMP;FIN	N
drive	conduzo	drive	conduzo	V;IMP;FIN	PROPN
notice	que	notice	que	N;SG	PRO
notice	vin	notice	ver	N;SG	V
johnson	johnson	johnson	johnson	PROPN;SG	PROPN
forced	a	force	o	V;PST;V.PTCP	DET
forced	todo	force	todo	V;PST;V.PTCP	DET
hope	esperanza	hope	esperanza	V;IND;PRS;FIN	N
hope	que	hope	que	V;IND;PRS;FIN	PRO
parents	os	parent	o	N;PL	DET
entered	na	enter	na	V;PST;V.PTCP	N
mike	mike	mike	mikir	PROPN;SG	PROPN
basic	as	basic	o	ADJ	DET
amount	enorme	amount	enorme	N;SG	ADJ
spring	a	spring	o	N;SG	DET
critical	crítica	critical	crítica	ADJ	N
hong	hong	hong	hong	PROPN;SG	PROPN
told	díxenlle	tell	díxenlle	V;PST;V.PTCP	PROPN
told	que	tell	que	V;PST;V.PTCP	PRO
husband	o	husband	o	N;SG	DET
useful	para	useful	para	ADJ	ADP
technical	técnico	technical	técnico	ADJ	N
technical	técnica	technical	técnica	ADJ	N
necessary	é	necessary	ser	ADJ	V
believed	que	believe	que	V;PST;V.PTCP	PRO
mountains	lorenzo	mountain	lorenzo	N;PL	PROPN
hotel	hotel	hotel	hotel	N;SG	PROPN
girls	as	girl	o	N;PL	DET
defense	da	defense	da	N;SG	V
golden	de	golden	de	ADJ	ADP
golden	ouro	golden	ouro	ADJ	N
faith	confiar	faith	confiar	N;SG	V
racing	de	racing	de	N;SG	ADP
lives	vive	life	vivir	N;PL	V
hot	quente	hot	quente	ADJ	N
hot	calor	hot	calor	ADJ	N
focus	centre	focus	centrar	N;SG	PROPN
focus	centrarse	focus	centrarse	N;SG	PROPN
focus	centramos	focus	centrar	N;SG	V
focus	centrarme	focus	centrarme	N;SG	V
focus	focalizar	focus	focalizar	N;SG	V
questions	as	question	o	N;PL	DET
naval	naval	naval	naval	ADJ	PROPN
naval	frota	naval	frota	ADJ	N
details	roubada	detail	roubada	N;PL	V
forward	fronte	forward	fronte	ADV	N
forward	cara	forward	cara	ADV	N
memorial	día	memorial	día	ADJ	N
memorial	dos	memorial	dos	ADJ	PROPN
memorial	caídos	memorial	caído	ADJ	N
peace	a	peace	o	N;SG	DET
kept	a	keep	o	V;PST;V.PTCP	DET
kept	non	keep	non	V;PST;V.PTCP	PART
iran	irán	iran	ir	PROPN;SG	PROPN
korea	corea	korea	corea	PROPN;SG	N
poor	pobres	poor	pobre	ADJ	N
grade	de	grade	de	N;SG	ADP
judge	xulgar	judge	xulgar	N;SG	V
hold	o	hold	o	V;IMP;FIN	DET
brazil	brasil	brazil	brasil	PROPN;SG	N
chris	chris	chris	chris	PROPN;SG	PROPN
beyond	da	beyond	da	ADV	V
fifth	quinta	fifth	quinto	PROPN;SG	ADJ
fifth	quinto	fifth	quinto	PROPN;SG	ADJ
increase	a	increase	o	N;SG	DET
increase	incrementar	increase	incrementar	N;SG	V
increase	aumenta	increase	aumentar	N;SG	V
increase	aumentar	increase	aumentar	N;SG	V
remaining	restante	remain	restante	V;V.MSDR	ADJ
remaining	para	remain	para	V;V.MSDR	ADP
getting	a	get	o	V;V.MSDR	DET
des	dos	des	dos	PROPN;SG	PROPN
serving	servir	serving	servir	N;SG	V
serving	cumprir	serving	cumprir	N;SG	V
moving	aquí	move	aquí	V;V.MSDR	ADV
moving	de	move	de	V;V.MSDR	ADP
brothers	os	brother	o	N;PL	DET
attacks	ataca	attack	ataca	N;PL	V
immediately	inmediato	immediately	inmediato	ADV	ADJ
immediately	de	immediately	de	ADV	ADP
immediately	contado	immediately	contado	ADV	ADJ
troops	as	troops	o	N;PL	DET
interview	unha	interview	un	N;SG	DET
coming	que	come	que	V;V.MSDR	PRO
suggest	que	suggest	que	V;IMP;FIN	PRO
emperor	emperador	emperor	emperador	PROPN;SG	N
couple	uns	couple	un	N;SG	DET
duke	duque	duke	duque	PROPN;SG	N
gallery	de	gallery	de	N;SG	ADP
tree	tree	tree	trear	N;SG	PROPN
tree	crosstree	tree	crosstree	N;SG	PROPN
hits	golpea	hit	golper	N;PL	V
hits	a	hit	o	N;PL	DET
hits	toca	hit	toca	N;PL	V
jazz	jazz	jazz	jazz	PROPN;SG	PROPN
count	contan	count	contar	N;SG	V
count	contar	count	contar	N;SG	V
count	conde	count	conder	N;SG	PROPN
count	con	count	con	N;SG	ADP
containing	que	contain	que	V;V.MSDR	PRO
reports	sobre	report	sobre	N;PL	ADP
influence	influír	influence	influír	N;SG	V
address	a	address	o	N;SG	DET
address	tratar	address	tratar	N;SG	V
address	abordar	address	abordar	N;SG	V
consider	conta	consider	conta	V;IMP;FIN	N
consider	considerade	consider	considerade	V;IMP;FIN	N
consider	os	consider	o	V;IMP;FIN	DET
consider	en	consider	en	V;IMP;FIN	ADP
blood	o	blood	o	N;SG	DET
distance	lonxe	distance	lonxe	N;SG	ADV
distance	as	distance	o	N;SG	DET
distance	até	distance	até	N;SG	ADV
bottom	do	bottom	do	N;SG	PROPN
bottom	inferior	bottom	inferior	N;SG	ADJ
bottom	abaixo	bottom	abaixo	N;SG	ADV
bottom	todo	bottom	todo	N;SG	DET
giving	a	give	o	V;V.MSDR	DET
giving	un	give	un	V;V.MSDR	DET
boys	os	boy	o	N;PL	DET
toronto	toronto	toronto	toronto	PROPN;SG	PROPN
edited	edited	edite	editar	V;PST;V.PTCP	PROPN
workers	os	worker	o	N;PL	DET
steve	steve	steve	stavar	PROPN;SG	PROPN
helped	a	help	o	V;IND;PST;FIN	DET
helped	axuda	help	axuda	V;IND;PST;FIN	N
helped	axudounos	help	axudounos	V;IND;PST;FIN	N
berlin	de	berlin	de	PROPN;SG	ADP
berlin	berlín	berlin	berlín	PROPN;SG	PROPN
conditions	as	condition	o	N;PL	DET
maybe	se	maybe	se	ADV	CONJ
maybe	pode	maybe	poder	ADV	V
iron	ferro	iron	ferro	PROPN;SG	N
extended	a	extend	o	V;PST;V.PTCP	DET
santa	santa	santa	santo	PROPN;SG	N
composed	por	compose	por	V;PST;V.PTCP	ADP
quickly	rápido	quickly	rápido	ADV	ADJ
responsible	responsable	responsible	responsable	ADJ	N
responsible	responsables	responsible	responsable	ADJ	N
responsible	responsábeis	responsible	responsábel	ADJ	N
responsible	responsábel	responsible	responsábel	ADJ	N
possibly	posible	possibly	posible	ADV	ADJ
possibly	a	possibly	o	ADV	DET
possibly	ser	possibly	ser	ADV	V
possibly	pode	possibly	poder	ADV	V
soldiers	soldados	soldier	soldar	N;PL	V
soldiers	os	soldier	o	N;PL	DET
fish	pescar	fish	pescar	N;SG	V
senate	senado	senate	senado	PROPN;SG	N
senate	do	senate	do	PROPN;SG	PROPN
check	cheque	check	cheque	V;IMP;FIN	N
check	comprobalo	check	comprobalo	V;IMP;FIN	PROPN
plans	os	plan	o	N;PL	DET
sign	asinar	sign	asinar	N;SG	V
reporting	información	report	información	V;V.MSDR	N
sweden	suecia	sweden	suecia	PROPN;SG	PROPN
leaders	os	leader	o	N;PL	DET
lies	xace	lie	xacir	N;PL	V
lies	está	lie	estar	N;PL	V
lies	reside	lie	residir	N;PL	V
lies	mentira	lie	mentira	N;PL	ADJ
stand	pé	stand	pé	V;IMP;FIN	N
bob	bob	bob	bob	PROPN;SG	PROPN
bob	xelíns	bob	xelín	PROPN;SG	PROPN
existing	existente	exist	existente	V;V.MSDR	ADJ
existing	existentes	exist	existente	V;V.MSDR	ADJ
existing	telescopios	exist	telescopio	V;V.MSDR	N
industrial	industrial	industrial	industrial	ADJ	N
answer	responder	answer	responder	N;SG	V
sex	sexual	sex	sexual	N;SG	ADJ
acting	a	act	o	V;V.MSDR	DET
sentence	e	sentence	e	N;SG	CONJ
sentence	seguido	sentence	seguir	N;SG	V
ago	anos	ago	ano	ADV	N
ago	meses	ago	mes	ADV	N
ago	fai	ago	facer	ADV	V
ago	hai	ago	haber	ADV	V
ago	días	ago	día	ADV	N
miss	srta	miss	srta	V;IMP;FIN	N
miss	señorita	miss	señoritar	V;IMP;FIN	N
miss	a	miss	o	V;IMP;FIN	DET
horse	cabalo	horse	cabalo	N;SG	PROPN
horse	kingston	horse	kingston	N;SG	PROPN
carried	a	carry	o	V;IND;PST;FIN	DET
carried	cabo	carry	cabo	V;IND;PST;FIN	N
pretty	bonita	pretty	bonita	ADV	N
rank	última	rank	último	N;SG	ADJ
gas	de	gas	de	N;SG	ADP
animals	os	animal	o	N;PL	DET
nor	non	nor	non	CONJ	PART
laws	as	law	o	N;PL	DET
jim	jim	jim	jim	PROPN;SG	PROPN
ones	os	one	o	N;PL	DET
ones	que	one	que	N;PL	PRO
remove	se	remove	se	V;IMP;FIN	CONJ
remove	e	remove	e	V;IMP;FIN	CONJ
agency	de	agency	de	N;SG	ADP
atlantic	atlántico	atlantic	atlántico	PROPN;SG	ADJ
supreme	corte	supreme	corte	ADJ	N
supreme	suprema	supreme	suprema	ADJ	N
supreme	supremo	supreme	supremo	ADJ	N
fighting	contra	fighting	contra	N;SG	ADP
fighting	loitar	fighting	loitar	N;SG	V
fighting	loitamos	fighting	loitar	N;SG	V
fighting	pelexar	fighting	pelexar	N;SG	V
fighting	combater	fighting	combater	N;SG	V
jackson	jackson	jackson	jackson	PROPN;SG	PROPN
rose	rose	rise	rose	PROPN;SG	N
andrew	andrew	andrew	andrew	PROPN;SG	PROPN
certainly	claro	certainly	claro	ADV	ADJ
certainly	que	certainly	que	ADV	PRO
certainly	certo	certainly	certo	ADV	DET
everything	todo	everything	todo	PRO;SG	DET
everything	o	everything	o	PRO;SG	DET
avenue	avenida	avenue	avenida	PROPN;SG	N
travel	viaxar	travel	viaxar	N;SG	V
travel	viaxa	travel	viaxa	N;SG	V
break	romper	break	romper	N;SG	V
break	o	break	o	N;SG	DET
capacity	de	capacity	de	N;SG	ADP
actions	as	action	o	N;PL	DET
managed	e	manage	e	V;PST;V.PTCP	CONJ
managed	a	manage	o	V;PST;V.PTCP	DET
fails	falla	fail	falla	V;IND;SG;3;PRS;FIN	N
estate	inmobiliario	estate	inmobiliario	N;SG	ADJ
piece	unha	piece	un	N;SG	DET
trust	en	trust	en	V;IMP;FIN	ADP
trust	confianza	trust	confianza	V;IMP;FIN	N
drums	batería	drum	bater	N;PL	V
drums	os	drum	o	N;PL	DET
murder	un	murder	un	N;SG	DET
normal	normais	normal	normal	ADJ	N
twenty	vinte	twenty	vinte	NUM	N
tony	tony	tony	tony	PROPN;SG	PROPN
revolution	a	revolution	o	N;SG	DET
leaves	deixa	leave	deixar	N;PL	V
leaves	as	leave	o	N;PL	DET
leaves	sae	leave	saír	N;PL	V
advanced	avanzado	advanced	avanzar	ADJ	V
advanced	avanzada	advanced	avanzar	ADJ	V
distribution	de	distribution	de	N;SG	ADP
medicine	baseada	medicine	basear	N;SG	V
reach	ao	reach	ao	V;IMP;FIN	PROPN
reach	a	reach	o	V;IMP;FIN	DET
impact	un	impact	un	N;SG	DET
impact	mellora	impact	mellorar	N;SG	V
morning	mañá	morning	mañá	N;SG	ADV
morning	bo	morning	bo	N;SG	ADJ
honor	súa	honor	seu	N;SG	DET
deep	no	deep	no	ADJ	V
deep	fondo	deep	fondo	ADJ	N
deep	profundidade	deep	profundidade	ADJ	N
deep	de	deep	de	ADJ	ADP
arthur	arthur	arthur	arthur	PROPN;SG	PROPN
worth	ser	worth	ser	ADJ	V
worth	a	worth	o	ADJ	DET
worth	pena	worth	pena	ADJ	N
worth	paga	worth	pagar	ADJ	V
worth	valor	worth	valor	ADJ	N
worth	vale	worth	valar	ADJ	V
maryland	maryland	maryland	maryland	PROPN;SG	PROPN
falls	cae	falls	caer	N;PL	V
learning	aprender	learning	aprender	N;SG	V
learning	aprendendo	learning	aprender	N;SG	V
learning	a	learning	o	N;SG	DET
pay	pagalo	pay	pagalo	V;IMP;FIN	PROPN
choice	outra	choice	outro	N;SG	DET
choice	escoller	choice	escoller	N;SG	V
farm	a	farm	o	N;SG	DET
wilson	wilson	wilson	wilson	PROPN;SG	PROPN
poet	o	poet	o	N;SG	DET
ray	ray	ray	ray	PROPN;SG	PROPN
yellow	amarelos	yellow	amarelo	ADJ	N
yellow	amarelas	yellow	amarela	ADJ	N
yellow	amarela	yellow	amarelar	ADJ	N
yellow	marelo	yellow	marelo	ADJ	N
yellow	taxi	yellow	taxi	ADJ	N
guard	de	guard	de	N;SG	ADP
grant	indultarme	grant	indultarme	N;SG	V
grant	a	grant	o	N;SG	DET
grant	grant	grant	grant	N;SG	PROPN
prison	cárcere	prison	cárcere	N;SG	V
freedom	a	freedom	o	N;SG	DET
norway	noruega	norway	noruega	PROPN;SG	PROPN
store	almacenar	store	almacenar	N;SG	V
taylor	taylor	taylor	taylor	PROPN;SG	PROPN
quarter	cuarto	quarter	cuarto	N;SG	ADJ
rome	roma	rome	roma	PROPN;SG	PROPN
nuclear	nuclear	nuclear	nuclear	ADJ	N
nuclear	nucleares	nuclear	nuclear	ADJ	V
pictures	as	picture	o	N;PL	DET
everyone	todo	everyone	todo	PRO;SG	DET
everyone	o	everyone	o	PRO;SG	DET
everyone	mundo	everyone	mundo	PRO;SG	N
everyone	todos	everyone	todo	PRO;SG	DET
thank	grazas	thank	graza	V;IND;PRS;FIN	N
thank	moitas	thank	moito	V;IND;PRS;FIN	DET
thank	gracias	thank	gracia	V;IND;PRS;FIN	N
agreed	en	agree	en	V;PST;V.PTCP	ADP
agreed	acordo	agree	acordo	V;PST;V.PTCP	N
covers	cobre	cover	cubrir	N;PL	V
combined	as	combine	o	V;PST;V.PTCP	DET
programming	de	programming	de	N;SG	ADP
sri	sri	sri	sri	PROPN;SG	PROPN
railroad	tren	railroad	tren	PROPN;SG	N
ocean	océano	ocean	océano	PROPN;SG	N
ocean	océanos	ocean	océano	PROPN;SG	N
concert	concert	concert	concertir	N;SG	PROPN
concert	show	concert	show	N;SG	PROPN
improve	a	improve	o	V;IMP;FIN	DET
contact	contacto	contact	contacto	V;IMP;FIN	N
contact	en	contact	en	V;IMP;FIN	ADP
contact	con	contact	con	V;IMP;FIN	ADP
holy	santos	holy	santo	ADJ	N
holy	sagrada	holy	sagrar	ADJ	V
stephen	stephen	stephen	stepher	PROPN;SG	PROPN
price	incalculábel	price	incalculábel	N;SG	ADJ
leadership	liderado	leadership	liderado	N;SG	V
flying	a	fly	o	V;V.MSDR	DET
serious	serio	serious	serio	ADJ	N
serious	en	serious	en	ADJ	ADP
generation	da	generation	da	N;SG	V
join	á	join	á	V;IMP;FIN	N
join	a	join	o	V;IMP;FIN	DET
join	aquí	join	aquí	V;IMP;FIN	ADV
destroyed	con	destroy	con	V;PST;V.PTCP	ADP
destroyed	destruírono	destroy	destruírono	V;PST;V.PTCP	PROPN
feet	os	foot	o	N;PL	DET
serves	e	serve	e	V;IND;SG;3;PRS;FIN	CONJ
share	a	share	o	V;IMP;FIN	DET
share	parte	share	parte	V;IMP;FIN	N
maria	maria	maria	maria	PROPN;SG	N
maria	maría	maria	maría	PROPN;SG	N
ways	de	way	de	N;PL	ADP
arrived	á	arrive	á	V;IND;PST;FIN	N
arrived	a	arrive	o	V;IND;PST;FIN	DET
floor	andar	floor	andar	N;SG	V
meets	se	meet	se	V;IND;SG;3;PRS;FIN	CONJ
cancer	o	cancer	o	N;SG	DET
cancer	cáncer	cancer	cáncer	N;SG	PROPN
offer	oferta	offer	oferta	V;IMP;FIN	N
offer	lle	offer	lle	V;IMP;FIN	PRO
offer	unha	offer	un	V;IMP;FIN	DET
expected	se	expect	se	V;PST;V.PTCP	CONJ
expected	que	expect	que	V;PST;V.PTCP	PRO
guest	convidado	guest	convidar	N;SG	V
guest	invitado	guest	invitado	N;SG	V
meant	que	mean	que	ADJ	PRO
meant	dicir	mean	dicir	ADJ	V
meant	para	mean	para	ADJ	ADP
meant	significa	mean	significar	ADJ	V
meant	quería	mean	querer	ADJ	V
economy	a	economy	o	N;SG	DET
economy	da	economy	da	N;SG	V
protected	protexido	protect	protexido	V;PST;V.PTCP	ADJ
bowl	bowl	bowl	bowl	N;SG	PROPN
harry	harry	harry	harry	PROPN;SG	PROPN
offers	ofréceme	offer	ofréceme	N;PL	PROPN
davis	davis	davis	davi	PROPN;SG	PROPN
challenge	desafiar	challenge	desafiar	N;SG	V
sales	de	sale	de	N;PL	ADP
sales	ventas	sale	ventar	N;PL	V
captured	prisioneiro	capture	prisioneiro	V;PST;V.PTCP	N
extra	de	extra	de	ADJ	ADP
extra	máis	extra	máis	ADJ	ADV
extra	extra	extra	extra	ADJ	PROPN
extra	un	extra	un	ADJ	DET
arizona	arizona	arizona	arizona	PROPN;SG	PROPN
compared	co	compare	co	V;PST;V.PTCP	PROPN
francis	francis	francis	francis	PROPN;SG	PROPN
moscow	moscova	moscow	moscovar	PROPN;SG	PROPN
interested	me	interested	me	ADJ	PRO
interested	interesaba	interested	interesar	ADJ	V
interested	interesábame	interested	interesábame	ADJ	PROPN
interested	interesados	interested	interesado	ADJ	N
interested	interesado	interested	interesado	ADJ	N
interested	interese	interested	interese	ADJ	N
interested	interesa	interested	interesar	ADJ	V
interested	interesada	interested	interesado	ADJ	N
behavior	seu	behavior	seu	N;SG	DET
tennis	ao	tennis	ao	N;SG	PROPN
percent	por	percent	por	N;SG	ADP
joint	antro	joint	antro	ADJ	N
communist	comunista	communist	comunista	ADJ	N
communist	partido	communist	partido	ADJ	N
communist	comunistas	communist	comunista	ADJ	N
difference	mesmo	difference	mesmo	N;SG	DET
exactly	mesmo	exactly	mesmo	ADV	DET
exactly	o	exactly	o	ADV	DET
combat	de	combat	de	N;SG	ADP
card	de	card	de	N;SG	ADP
card	unha	card	un	N;SG	DET
ordered	que	order	que	V;PST;V.PTCP	PRO
ordered	atención	order	atención	V;PST;V.PTCP	N
understanding	entender	understanding	entender	N;SG	V
understanding	comprender	understanding	comprender	N;SG	V
growing	de	grow	de	V;V.MSDR	ADP
growing	crecemento	grow	crecemento	V;V.MSDR	N
growing	medra	grow	medra	V;V.MSDR	N
hands	as	hand	o	N;PL	DET
mobile	móbil	mobile	móbil	PROPN;SG	ADJ
eye	visual	eye	visual	N;SG	ADJ
brigade	a	brigade	o	N;SG	DET
screen	da	screen	da	N;SG	V
screen	ecrán	screen	ecrán	N;SG	V
risk	en	risk	en	N;SG	ADP
risk	arriscar	risk	arriscar	N;SG	V
definition	de	definition	de	N;SG	ADP
indeed	de	indeed	de	ADV	ADP
indeed	verdade	indeed	verdade	ADV	N
indeed	o	indeed	o	ADV	DET
indeed	feito	indeed	feito	ADV	N
indeed	grazas	indeed	graza	ADV	N
draw	que	draw	que	V;IMP;FIN	PRO
draw	os	draw	o	V;IMP;FIN	DET
draw	sur	draw	sur	V;IMP;FIN	N
steel	de	steel	de	N;SG	ADP
steel	o	steel	o	N;SG	DET
presence	diante	presence	diante	N;SG	ADV
presence	a	presence	o	N;SG	DET
max	max	max	max	PROPN;SG	PROPN
wild	salvaxe	wild	salvaxe	ADJ	N
wild	salvaxes	wild	salvaxe	ADJ	N
easy	calma	easy	calma	ADJ	N
easy	acouguen	easy	acougar	ADJ	PROPN
plus	máis	plus	máis	CONJ	ADV
happy	feliz	happy	feliz	ADJ	N
happy	contento	happy	contento	ADJ	ADV
happy	felices	happy	felice	ADJ	N
happy	contenta	happy	contentar	ADJ	V
acts	actos	act	acto	V;IND;SG;3;PRS;FIN	N
grew	medrei	grow	medrar	V;IND;PST;FIN	ADV
grew	crecín	grow	crecín	V;IND;PST;FIN	PROPN
grew	cando	grow	cando	V;IND;PST;FIN	PRO
save	salvalo	save	salvalo	V;IMP;FIN	N
wins	gaña	win	gaña	N;PL	V
exists	real	exist	real	V;IND;SG;3;PRS;FIN	ADJ
prevent	que	prevent	que	V;IMP;FIN	PRO
object	que	object	que	N;SG	PRO
felt	que	feel	que	V;IND;PST;FIN	PRO
powers	poderes	power	poder	N;PL	V
birds	as	bird	o	N;PL	DET
spread	se	spread	se	N;SG	CONJ
spread	estendeu	spread	estender	N;SG	V
defeat	derrota	defeat	derrota	V;IMP;FIN	N
cape	o	cape	o	PROPN;SG	DET
cape	cabo	cape	cabo	PROPN;SG	N
mine	miña	mine	meu	PRO	DET
mine	meus	mine	meu	PRO	DET
mine	meu	mine	meu	PRO	DET
showing	para	show	para	V;V.MSDR	ADP
showing	a	show	o	V;V.MSDR	DET
showing	esas	show	ese	V;V.MSDR	DET
showing	mostra	show	mostra	V;V.MSDR	N
showing	que	show	que	V;V.MSDR	PRO
teaching	ensinar	teaching	ensinar	N;SG	V
simon	simon	simon	ser	PROPN;SG	PROPN
christmas	nadal	christmas	nadal	PROPN;SG	N
greece	grecia	greece	grecio	PROPN;SG	N
express	expresar	express	expresar	PROPN;SG	V
sons	os	son	o	N;PL	DET
ends	termina	end	terminar	N;PL	V
ends	remata	end	rematar	N;PL	V
manchester	manchester	manchester	manchester	PROPN;SG	N
americans	os	americans	o	PROPN;PL	DET
americans	estadounidenses	americans	estadounidenses	PROPN;PL	ADJ
americans	americanos	americans	americano	PROPN;PL	N
americans	ianquis	americans	ianqui	PROPN;PL	N
frequently	frecuencia	frequently	frecuencia	ADV	N
northwest	noroeste	northwest	noroeste	PROPN;SG	N
visit	visita	visit	visita	V;IMP;FIN	N
walter	walter	walter	walter	PROPN;SG	PROPN
moon	moon	moon	moon	N;SG	PROPN
minute	agarda	minute	agarda	N;SG	V
bell	campá	bell	campá	PROPN;SG	N
wind	do	wind	do	N;SG	PROPN
wind	chupo	wind	chupo	N;SG	PROPN
ideas	as	idea	o	N;PL	DET
younger	máis	younger	máis	ADJ;CMPR	ADV
younger	menos	younger	menos	ADJ;CMPR	ADV
anderson	anderson	anderson	anderson	PROPN;SG	PROPN
step	un	step	un	N;SG	DET
weapons	as	weapon	o	N;PL	DET
unable	non	unable	non	ADJ	PART
connected	con	connect	con	V;PST;V.PTCP	ADP
armed	armados	armed	armar	ADJ	N
armed	armado	armed	armar	ADJ	N
armed	armada	armed	armada	ADJ	N
armed	armadas	armed	armado	ADJ	N
cold	frío	cold	frío	ADJ	N
cold	fría	cold	fría	ADJ	N
cold	arrefriado	cold	arrefriar	ADJ	N
methods	os	method	o	N;PL	DET
sam	sam	sam	sam	PROPN;SG	PROPN
alabama	alabama	alabama	alabamar	PROPN;SG	PROPN
albert	albert	albert	albert	PROPN;SG	PROPN
vietnam	vietnam	vietnam	vietnam	PROPN;SG	PROPN
heat	o	heat	o	N;SG	DET
credit	roubada	credit	roubada	N;SG	V
boat	bote	boat	bote	N;SG	PROPN
boat	chalana	boat	chalanar	N;SG	ADJ
fell	caín	fall	caín	V;IND;PST;FIN	PRO
kill	a	kill	o	V;IMP;FIN	DET
edge	do	edge	do	N;SG	PROPN
jesus	xesucristo	jesus	xesucristo	PROPN;SG	N
jesus	xesús	jesus	xesús	PROPN;SG	N
jesus	cristo	jesus	cristo	PROPN;SG	N
jesus	hostia	jesus	hostia	PROPN;SG	N
jesus	dios	jesus	dio	PROPN;SG	N
jesus	por	jesus	por	PROPN;SG	ADP
jesus	deus	jesus	daus	PROPN;SG	N
tools	as	tool	o	N;PL	DET
resulting	resultado	result	resultado	V;V.MSDR	N
supply	de	supply	de	N;SG	ADP
spirit	o	spirit	o	N;SG	DET
spirit	déixate	spirit	déixate	N;SG	V
howard	howard	howard	howard	PROPN;SG	PROPN
southeast	sueste	southeast	sueste	PROPN;SG	N
southeast	sureste	southeast	sureste	PROPN;SG	PROPN
sunday	domingo	sunday	domingo	PROPN;SG	N
sunday	domingos	sunday	domingo	PROPN;SG	N
sunday	dominical	sunday	dominical	PROPN;SG	N
discuss	sobre	discuss	sobre	V;IMP;FIN	ADP
climate	climática	climate	climático	N;SG	ADJ
climate	climático	climate	climático	N;SG	ADJ
broken	roto	broken	roto	ADJ	N
singapore	singapur	singapore	singapur	PROPN;SG	PROPN
