और	та	और	та		CONJ
शैक्षिक	навчальних	शैक्षिक	навчальний	N;NOM	ADJ;ACC;PL
युगल	пари	युगल	пара	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
युगल	звернення	युगल	звернення	PROPN;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
युगल	парні	युगल	парн	PROPN;NOM;MASC;SG;3	NUM;NOM
युगल	парами	युगल	парами	PROPN;NOM;MASC;SG;3	N;INAN;INS;MASC;PL
युगल	пара	युगल	пара	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
युगल	парочка	युगल	парочка	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
ग्रीक	грецька	ग्रीक	грецький		N;INAN;NOM;FEM;SG
ग्रीक	грецький	ग्रीक	грецький		ADJ;NOM;MASC;SG
ग्रीक	грецьке	ग्रीक	грецький		ADJ;NOM;NEUT;SG
ग्रीक	грек	ग्रीक	грек		N;ANIM;NOM;MASC;SG
ग्रीक	грецькі	ग्रीक	грецький		ADJ;NOM;PL
टीका	вакцини	टीका	вакцина	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
रिलीज	випуску	रिलीज	випуск	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
रिलीज	випуски	रिलीज	випуска	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
अदालत	судові	अदालत	судовий	N;NOM;FEM;SG;3	ADJ;NOM;PL
अकार्बनिक	неорганічні	अकार्बनिक	неорганічний	N;NOM;MASC;SG;3	ADJ;NOM;PL
सुपर	супер	सुपर	супер	N;NOM	
आवासीय	житловий	आवासीय	житловий	N;NOM	ADJ;NOM;MASC;SG
आवासीय	житлових	आवासीय	житловий	N;NOM	ADJ;GEN;PL
जंगली	дикі	जंगली	дикий	N;NOM;MASC;SG;3	ADJ;NOM;PL
जंगली	дикий	जंगली	дикий	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
जंगली	wild	जंगली	wild	N;NOM;MASC;SG;3	
जंगली	диких	जंगली	дикий	N;NOM;MASC;SG;3	ADJ;ANIM;ACC;PL
आर्ट	арт	आर्ट	арт	N;NOM;MASC;SG;3	
आर्ट	художня	आर्ट	художній	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
शनि	сатурн	शनि	сатурний	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
शनि	сб	शनि	сб	PROPN;NOM;MASC;SG;3	
शनि	сидячи	शनि	сидіти	PROPN;NOM;MASC;SG;3	V;IPFV;PRS;V.CVB
शनि	сіли	शनि	сісти	PROPN;NOM;MASC;SG;3	V;PFV;IND;PL;PST;FIN
शनि	сидів	शनि	сидіти	PROPN;NOM;MASC;SG;3	V;IPFV;MASC;IND;SG;PST;FIN
शनि	sat	शनि	sat	PROPN;NOM;MASC;SG;3	
श्वेत	білий	श्वेत	білий		ADJ;NOM;MASC;SG
श्वेत	біла	श्वेत	білий		ADJ;NOM;FEM;SG
श्वेत	біле	श्वेत	білий		ADJ;NOM;NEUT;SG
श्वेत	білі	श्वेत	білий		ADJ;NOM;PL
श्वेत	вайт	श्वेत	вайт		PROPN;ANIM;NOM;MASC;SG
नमक	солі	नमक	сіль	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
बातों	things	बात	things	N;ACC;FEM;PL;3	
बातों	речі	बात	річ	N;ACC;FEM;PL;3	N;INAN;NOM;FEM;PL
बातों	речей	बात	річ	N;ACC;FEM;PL;3	N;INAN;GEN;FEM;PL
बिलियन	мільярдів	बिलियन	мільярд	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
बिलियन	мільярд	बिलियन	мільярд	N;NOM;MASC;SG;3	
बिलियन	мільярди	बिलियन	мільярд	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
बिलियन	млрд	बिलियन	млрд	N;NOM;MASC;SG;3	INTJ
एकीकृत	уніфіковані	एकीकृत	уніфікований	N;NOM;MASC;SG;3	ADJ;PFV;NOM;PL;V.PTCP;PASS
एकीकृत	універсальний	एकीकृत	універсальний	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
एकीकृत	комплексний	एकीकृत	комплексний	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
पत्रकार	журналіст	पत्रकार	журналіст	N;NOM;MASC;PL;3	N;ANIM;NOM;MASC;SG
पत्रकार	журналістів	पत्रकार	журналіст	N;NOM;MASC;PL;3	N;ANIM;ACC;MASC;PL
वस्त्र	виробів	वस्त्र	виріб	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
जानवरों	звірі	जानवर	звір	N;ACC;MASC;PL;3	N;ANIM;NOM;MASC;PL
जानवरों	тварини	जानवर	тварина	N;ACC;MASC;PL;3	N;ANIM;NOM;FEM;PL
आगमन	прибуде	आगमन	прибути	N;NOM;MASC;SG;3	V;PFV;IND;SG;3;FUT;FIN
आगमन	різдвяний	आगमन	різдвяний	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
मनुष्यों	людини	मनुष्य	людина	N;ACC;MASC;PL;3	N;ANIM;NOM;FEM;SG
मनुष्यों	люди	मनुष्य	людина	N;ACC;MASC;PL;3	N;ANIM;NOM;FEM;PL
पर्व	festival	पर्व	festival	N;NOM;MASC;SG;3	
पर्व	fiesta	पर्व	fiesta	N;NOM;MASC;SG;3	
निष्कर्ष	єдесталу	निष्कर्ष	єдестал	N;NOM;MASC;PL;3	ADV
साफ	чисто	साफ	чисто	ADJ	ADV
साफ	очистити	साफ	очистити	ADJ	V;PFV;NFIN
साफ	розчистили	साफ	розчистити	ADJ	V;PFV;IND;PL;PST;FIN
साफ	відрізали	साफ	відрізати	ADJ	V;PFV;IND;PL;PST;FIN
साफ	очистити	साफ	очистити	ADJ	V;PFV;NFIN
साफ	прибрати	साफ	прибрати	ADJ	V;PFV;NFIN
साफ	почистити	साफ	почистити	ADJ	V;PFV;NFIN
गरम	тепло	गरम	тепло		N;INAN;NOM;NEUT;SG
गरम	теплі	गरम	теплий		ADJ;NOM;PL
गरम	тепла	गरम	тепло		N;INAN;NOM;NEUT;SG
उच्चतम	найвища	उच्चतम	найвище		ADJ;NOM;RL;FEM;SG
उच्चतम	найвищий	उच्चतम	найвищий		ADJ;NOM;CMPR;MASC;SG
आवश्यकताओं	вимоги	आवश्यकता	вимога	N;ACC;FEM;PL;3	N;INAN;NOM;FEM;PL
सदा	завжди	सदा	завжди		ADV
डिस्क	диску	डिस्क	диск	N;NOM;MASC;SG;3	N;INAN;DAT;MASC;SG
डिस्क	диски	डिस्क	диск	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
खड़ा	стоїть	खडा	стояти	ADJ;NOM;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN
खड़ा	стоячи	खडा	стояти	ADJ;NOM;MASC;SG	V;IPFV;PRS;V.CVB
खड़ा	стоять	खडा	стояти	ADJ;NOM;MASC;SG	V;IPFV;IND;PL;3;PRS;FIN
खड़ा	вертикально	खडा	вертикально	ADJ;NOM;MASC;SG	ADV
खड़ा	вертикальні	खडा	вертикальний	ADJ;NOM;MASC;SG	ADJ;NOM;PL
खड़ा	вертикально	खडा	вертикально	ADJ;NOM;MASC;SG	ADV
खड़ा	вертикаль	खडा	вертикаль	ADJ;NOM;MASC;SG	N;INAN;NOM;FEM;SG
पोस्ट	дописі	पोस्ट	допис	N;NOM;FEM;SG;3	ADV
पोस्ट	опублікувати	पोस्ट	опублікувати	N;NOM;FEM;SG;3	V;PFV;NFIN
पोस्ट	допису	पोस्ट	допис	N;NOM;FEM;SG;3	N;INAN;GEN;MASC;SG
पोस्ट	пости	पोस्ट	пост	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
पोस्ट	дописи	पोस्ट	допис	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
मेला	мела	मेला	мелий	N;NOM;MASC;SG;3	PROPN;ANIM;NOM;FEM;SG
मेला	справедливо	मेला	справедливо	N;NOM;MASC;SG;3	ADV
मेला	справедлива	मेला	справедливий	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
मेला	справедливий	मेला	справедливий	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
लिंग	стать	लिंग	стать		N;INAN;NOM;FEM;SG
लिंग	статі	लिंग	стать		N;INAN;NOM;FEM;PL
लिंग	гендерна	लिंग	гендерний		ADJ;NOM;FEM;SG
रिचर्ड	річард	रिचर्ड	річард	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
मगर	окрім	मगर	окрім	CONJ	
मगर	крім	मगर	крім	CONJ	ADP;GEN
महीनों	місяцями	महीना	місяцями	N;NOM;MASC;PL;3	N;INAN;INS;MASC;PL
महीनों	місяців	महीना	місяць	N;NOM;MASC;PL;3	N;INAN;GEN;MASC;PL
सेल	комірки	सेल	комірка	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
सेल	комірку	सेल	комірка	N;NOM;MASC;SG;3	N;INAN;ACC;FEM;SG
सेल	клітини	सेल	клітина	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
मुख	рот	मुख	рот		N;INAN;NOM;MASC;SG
मुख	рота	मुख	рот		N;INAN;NOM;MASC;SG
सीज़न	сезони	सीज़न	сезон	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
पाठक	читачам	पाठक	читач		N;ANIM;DAT;MASC;PL
पाठक	читачі	पाठक	читач		N;ANIM;NOM;MASC;PL
पाठक	reader	पाठक	reader		
पाठक	читач	पाठक	читач		N;ANIM;NOM;MASC;SG
अग्रणी	провідних	अग्रणी	провідний	PROPN;NOM;MASC;SG;3	ADJ;GEN;PL
अग्रणी	вели	अग्रणी	вести	PROPN;NOM;MASC;SG;3	V;IPFV;IND;PL;PST;FIN
अग्रणी	провідний	अग्रणी	провідний	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
आनन्द	радості	आनन्द	радість	N;NOM;MASC;SG;3	N;INAN;GEN;FEM;PL
आनन्द	радісного	आनन्द	радісний	N;NOM;MASC;SG;3	ADJ;GEN;MASC;SG
आनन्द	весела	आनन्द	весело	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
आनन्द	радісним	आनन्द	радісний	N;NOM;MASC;SG;3	ADJ;INS;NEUT;SG
उन्नत	покращений	उन्नत	покращений		ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
उन्नत	додатковий	उन्नत	додатковий		ADJ;NOM;MASC;SG
उन्नत	додаткові	उन्नत	додатковий		ADJ;NOM;PL
उन्नत	додаткове	उन्नत	додатковий		ADJ;NOM;NEUT;SG
उन्नत	розширений	उन्नत	розширений		ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
उन्नत	додатково	उन्नत	додатково		ADV
सर्वर	сервери	सर्वर	сервер	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
सर्वर	серверів	सर्वर	сервер	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
सर्वर	спостерігача	सर्वर	спостерігач	N;NOM;MASC;SG;3	N;ANIM;ACC;MASC;SG
पीड़ित	страждання	पीड़ित	страждання	PROPN;NOM;SG;3	N;INAN;NOM;NEUT;SG
पीड़ित	страждає	पीड़ित	страждати	PROPN;NOM;SG;3	V;IPFV;IND;SG;3;PRS;FIN
पीड़ित	жертв	पीड़ित	жертва	PROPN;NOM;SG;3	N;INAN;GEN;FEM;PL
पीड़ित	жертви	पीड़ित	жертва	PROPN;NOM;SG;3	N;INAN;NOM;FEM;PL
पीड़ित	жертвами	पीड़ित	жертва	PROPN;NOM;SG;3	N;ANIM;INS;FEM;PL
पीड़ित	постраждалих	पीड़ित	постраждалий	PROPN;NOM;SG;3	ADJ;ANIM;PFV;ACC;PL;V.PTCP;PASS
पीड़ित	постраждалим	पीड़ित	постраждалий	PROPN;NOM;SG;3	ADJ;PFV;INS;MASC;SG;V.PTCP;PASS
पीड़ित	жертва	पीड़ित	жертво	PROPN;NOM;SG;3	N;ANIM;NOM;FEM;SG
पीड़ित	жертви	पीड़ित	жертва	PROPN;NOM;SG;3	N;INAN;NOM;FEM;PL
श्रेणियों	цех	श्रेणी	цех	N;ACC;MASC;PL;3	N;INAN;NOM;MASC;SG
श्रेणियों	гільдії	श्रेणी	гільдія	N;ACC;MASC;PL;3	N;INAN;NOM;FEM;PL
राजकुमार	принц	राजकुमार	принц	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
राजकुमार	принца	राजकुमार	принца	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
राजकुमार	князь	राजकुमार	князь	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
उम्मीद	сподіваючись	उम्मीद	сподіватися	N;NOM;FEM;SG;3	V;IPFV;PRS;V.CVB
उम्मीद	надії	उम्मीद	надія	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
उम्मीद	надіюсь	उम्मीद	надіясь	N;NOM;FEM;SG;3	V;IPFV;IND;SG;1;PRS;FIN
कार्यकारी	виконавчий	कार्यकारी	виконавчий	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
वरिष्ठ	старший	वरिष्ठ	старший	N;NOM;MASC;SG;3	ADJ;NOM;CMPR;MASC;SG
शिष्य	disciple	शिष्य	disciple	N;NOM;MASC;SG;3	
स्कॉटलैंड	шотландія	स्कॉटलैंड	шотландія	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
स्कॉटलैंड	шотландії	स्कॉटलैंड	шотландія	PROPN;NOM;MASC;SG;3	PROPN;INAN;GEN;FEM;SG
विकिरण	радіації	विकिरण	радіація	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
फारसी	фарерська	फारसी	фарерський	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
फारसी	перська	फारसी	перський	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
संरक्षित	захищено	संरक्षित	захищено	ADJ;NOM	V;PFV;IND;0;FIN
सहज	інтуїтивно	सहज	інтуїтивно		ADV
सहज	зручно	सहज	зручно		ADV
सहज	комфортний	सहज	комфортний		ADJ;NOM;MASC;SG
सहज	зручні	सहज	зручний		ADJ;NOM;PL
सहज	зручне	सहज	зручний		ADJ;NOM;NEUT;SG
सहज	зручний	सहज	зручний		ADJ;NOM;MASC;SG
सहज	затишний	सहज	затишний		ADJ;NOM;MASC;SG
बदला	змінений	बदल	змінений	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
बदला	змінені	बदल	змінений	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;PFV;NOM;PL;V.PTCP;PASS
बदला	помсти	बदल	помст	V;PFV;MASC;SG;V.PTCP;ACT	N;INAN;NOM;FEM;PL
बदला	помста	बदल	помстий	V;PFV;MASC;SG;V.PTCP;ACT	N;INAN;NOM;FEM;SG
बदला	винагороду	बदल	винагорода	V;PFV;MASC;SG;V.PTCP;ACT	N;INAN;ACC;FEM;SG
बदला	нагорода	बदल	нагорода	V;PFV;MASC;SG;V.PTCP;ACT	N;INAN;NOM;FEM;SG
बदला	заміна	बदल	заміна	V;PFV;MASC;SG;V.PTCP;ACT	N;INAN;NOM;FEM;SG
बदला	замінник	बदल	замінник	V;PFV;MASC;SG;V.PTCP;ACT	N;INAN;NOM;MASC;SG
कलकत्ता	калькутта	कलकत्ता	калькутта	PROPN;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
काला	чорні	काला	чорний	ADJ;NOM;MASC;SG	ADJ;NOM;PL
पंक्ति	рядка	पंक्ति	рядок	N;NOM;FEM;SG;3	N;INAN;GEN;MASC;SG
पंक्ति	пряма	पंक्ति	пряма	N;NOM;FEM;SG;3	ADJ;NOM;FEM;SG
पंक्ति	рядками	पंक्ति	рядок	N;NOM;FEM;SG;3	N;INAN;INS;MASC;PL
पंक्ति	рядків	पंक्ति	рядок	N;NOM;FEM;SG;3	N;INAN;GEN;MASC;PL
पंक्ति	черевички	पंक्ति	черевичка	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
पंक्ति	рядки	पंक्ति	рядок	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
गतिविधि	дії	गतिविधि	дія	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
गतिविधि	діяльності	गतिविधि	діяльність	N;NOM;FEM;SG;3	N;INAN;GEN;FEM;SG
ओलंपिक	олімпіада	ओलंपिक	олімпіада	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
ओलंपिक	іграх	ओलंपिक	ігра	PROPN;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
मथुरा	матхура	मथुरा	матхура	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;FEM;SG
अनुनाद	резонанс	अनुनाद	резонанс	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
कार्रवाई	бойовики	कार्रवाई	бойовик	N;NOM;FEM;SG;3	N;ANIM;NOM;MASC;PL
कार्रवाई	дії	कार्रवाई	дія	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
शिशु	дитячої	शिशु	дитячий	N;NOM;MASC;SG;3	ADJ;GEN;FEM;SG
शिशु	діти	शिशु	дитина	N;NOM;MASC;SG;3	N;ANIM;NOM;FEM;PL
शिशु	малюків	शिशु	малюк	N;NOM;MASC;SG;3	N;ANIM;ACC;MASC;PL
शिशु	немовлята	शिशु	немовля	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;PL
मार्क	кропивницький	मार्क	кропивницький	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
मार्क	марк	मार्क	марк	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
ट्रैक	доріжки	ट्रैक	доріжка	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
ट्रैक	композицію	ट्रैक	композиція	N;NOM;MASC;SG;3	N;INAN;ACC;FEM;SG
ट्रैक	стежити	ट्रैक	стежити	N;NOM;MASC;SG;3	V;IPFV;NFIN
ट्रैक	доріжок	ट्रैक	доріжка	N;NOM;MASC;SG;3	N;INAN;GEN;FEM;PL
ट्रैक	слідкує	ट्रैक	слідкувати	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN
ट्रैक	композиції	ट्रैक	композиція	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
ट्रैक	доріжки	ट्रैक	доріжка	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
ट्रैक	сліди	ट्रैक	слід	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
मनोवैज्ञानिक	душевний	मनोवैज्ञानिक	душевний	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
मनोवैज्ञानिक	психологічний	मनोवैज्ञानिक	психологічний	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
मनोवैज्ञानिक	психологічна	मनोवैज्ञानिक	психологічний	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
मनोवैज्ञानिक	психолога	मनोवैज्ञानिक	психолог	N;NOM;MASC;SG;3	N;ANIM;ACC;MASC;SG
कही	кудись	कह	кудись	V;PFV;FEM;SG;V.PTCP;ACT	ADV
कही	десь	कह	десь	V;PFV;FEM;SG;V.PTCP;ACT	ADV
गर्मी	теплом	गर्मी	тепло	N;NOM;FEM;SG;3	N;INAN;INS;NEUT;SG
मैन	людина	मैन	людина		N;ANIM;NOM;FEM;SG
मैन	чоловік	मैन	чоловік		N;ANIM;NOM;MASC;SG
मैन	мужчина	मैन	мужчина		N;ANIM;NOM;MASC;SG
मैन	man	मैन	man		
गीतों	пісень	गीत	пісня	N;ACC;MASC;PL;3	N;INAN;GEN;FEM;PL
गीतों	пісні	गीत	пісня	N;ACC;MASC;PL;3	N;INAN;NOM;FEM;PL
गीतों	songs	गीत	songs	N;ACC;MASC;PL;3	
आवृत्ति	частоту	आवृत्ति	частота	N;NOM;FEM;SG;3	N;INAN;ACC;FEM;SG
आवृत्ति	повторюються	आवृत्ति	повторюватися	N;NOM;FEM;SG;3	V;IPFV;IND;PL;3;PRS;FIN
आवृत्ति	повторюється	आवृत्ति	повторюватися	N;NOM;FEM;SG;3	V;IPFV;IND;SG;3;PRS;FIN
आवृत्ति	збігів	आवृत्ति	збігіти	N;NOM;FEM;SG;3	N;INAN;GEN;MASC;PL
आवृत्ति	випадки	आवृत्ति	випадок	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
स्रोतों	пружини	स्रोत	пружина	N;ACC;MASC;PL;3	N;INAN;NOM;FEM;PL
स्रोतों	фонтани	स्रोत	фонтан	N;ACC;MASC;PL;3	N;INAN;NOM;MASC;PL
कोण	кути	कोण	кути	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
ईस्ट	схід	ईस्ट	схід	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
अफ्रीकी	африкаанс	अफ्रीकी	африкаанс	ADJ	N;INAN;NOM;FEM;SG
रंगों	барви	रंग	барва	N;ACC;MASC;PL;3	N;INAN;NOM;FEM;PL
रंगों	кольори	रंग	колір	N;ACC;MASC;PL;3	N;INAN;NOM;MASC;PL
रंगों	кольорів	रंग	колір	N;ACC;MASC;PL;3	N;INAN;GEN;MASC;PL
खतरा	небезпеки	खतरा	небезпека	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
खतरा	небезпеці	खतरा	небезпека	N;NOM;MASC;SG;3	N;INAN;DAT;FEM;SG
चिंता	турботу	चिंता	турбота	N;NOM;FEM;SG;3	N;INAN;ACC;FEM;SG
सहमत	домовилися	सहमत	домовитися	ADJ	V;PFV;IND;PL;PST;FIN
सहमत	домовились	सहमत	домовитися	ADJ	V;PFV;IND;PL;PST;FIN
सहमत	погодився	सहमत	погодитися	ADJ	V;PFV;MASC;IND;SG;PST;FIN
सहमत	згоден	सहमत	згодений	ADJ	V;PFV;IND;SG;3;FUT;FIN
सहमत	погоджуюсь	सहमत	погоджуватися	ADJ	V;IPFV;IND;SG;1;PRS;FIN
सहमत	погоджуюся	सहमत	погоджуватися	ADJ	V;IPFV;IND;SG;1;PRS;FIN
सहमत	погодьтеся	सहमत	погодитися	ADJ	V;PFV;IMP;PL;2;FIN
मोटे	ожиріння	मोटा	ожиріння	V;PFV;MASC;PL;3;V.PTCP;ACT	N;INAN;NOM;NEUT;SG
मोटे	жирний	मोटा	жирний	V;PFV;MASC;PL;3;V.PTCP;ACT	ADJ;NOM;MASC;SG
मोटे	жиру	मोटा	жир	V;PFV;MASC;PL;3;V.PTCP;ACT	N;INAN;GEN;MASC;SG
मोटे	жирна	मोटा	жирний	V;PFV;MASC;PL;3;V.PTCP;ACT	ADJ;NOM;FEM;SG
मोटे	жири	मोटा	жир	V;PFV;MASC;PL;3;V.PTCP;ACT	N;INAN;NOM;MASC;PL
घरों	земляк	घर	земляк	N;ACC;MASC;PL;3	N;ANIM;NOM;MASC;SG
घरों	домівки	घर	домівка	N;ACC;MASC;PL;3	N;INAN;NOM;FEM;PL
घरों	будинки	घर	будинок	N;ACC;MASC;PL;3	N;INAN;NOM;MASC;PL
घरों	будинків	घर	будинок	N;ACC;MASC;PL;3	N;INAN;GEN;MASC;PL
घरों	будинках	घर	будинок	N;ACC;MASC;PL;3	N;INAN;ESS;MASC;PL
घरों	доми	घर	дім	N;ACC;MASC;PL;3	N;INAN;NOM;MASC;PL
घरों	будинки	घर	будинок	N;ACC;MASC;PL;3	N;INAN;NOM;MASC;PL
घरों	будинків	घर	будинок	N;ACC;MASC;PL;3	N;INAN;GEN;MASC;PL
घरों	домів	घर	дім	N;ACC;MASC;PL;3	N;INAN;GEN;MASC;PL
मार्शल	маршалл	मार्शल	маршалл	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
मार्शल	маршал	मार्शल	маршал	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
मार्शल	маршал	मार्शल	маршал	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
उदय	rise	उदय	rise	PROPN;NOM;MASC;SG;3	
उदय	сходить	उदय	сходити	PROPN;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN
उदय	піднімається	उदय	підніматися	PROPN;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN
पहुंचा	досягли	पहुंच	досягти	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;PL;PST;FIN
फ़ारसी	перська	फ़ारसी	перський	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
मेक्सिको	мексики	मेक्सिको	мексик	PROPN;NOM;MASC;SG;3	PROPN;INAN;GEN;FEM;SG
मेक्सिको	мексиці	मेक्सिको	мексика	PROPN;NOM;MASC;SG;3	PROPN;INAN;DAT;FEM;SG
मेक्सिको	мексика	मेक्सिको	мексик	PROPN;NOM;MASC;SG;3	PROPN;INAN;NOM;FEM;SG
बिग	великі	बिग	великий		ADJ;NOM;PL
बिग	велике	बिग	великий		ADJ;NOM;NEUT;SG
बिग	велика	बिग	великий		ADJ;NOM;FEM;SG
बिग	великий	बिग	великий		ADJ;NOM;MASC;SG
बिग	біг	बिग	бігти		V;IPFV;MASC;IND;SG;PST;FIN
संस्थानों	закладів	संस्थान	заклад	N;ACC;MASC;PL;3	N;INAN;GEN;MASC;PL
संस्थानों	установи	संस्थान	установа	N;ACC;MASC;PL;3	N;INAN;NOM;FEM;PL
संस्थानों	інституції	संस्थान	інституція	N;ACC;MASC;PL;3	N;INAN;NOM;FEM;PL
संस्थानों	установ	संस्थान	установа	N;ACC;MASC;PL;3	N;INAN;GEN;FEM;PL
संस्थानों	топові	संस्थान	топовий	N;ACC;MASC;PL;3	ADJ;NOM;PL
प्रार्थना	молитовне	प्रार्थना	молитовний	N;NOM;FEM;SG;3	ADJ;NOM;NEUT;SG
प्रार्थना	молитву	प्रार्थना	молитво	N;NOM;FEM;SG;3	N;INAN;ACC;FEM;SG
प्रार्थना	молитви	प्रार्थना	молитва	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
लाहौर	лахор	लाहौर	лахор	PROPN;NOM;MASC;SG;3	
समानता	доходів	समानता	дохід	N;NOM;FEM;SG;3	N;INAN;GEN;MASC;PL
बम	бам	बम	би	N;NOM;MASC;SG;3	
बम	бомб	बम	бомба	N;NOM;MASC;SG;3	N;INAN;GEN;FEM;PL
बम	бомби	बम	бомба	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
हैरी	гаррі	हैरी	гаррі	PROPN;NOM;FEM;SG;3	
हैरी	гарі	हैरी	гар	PROPN;NOM;FEM;SG;3	PROPN;ANIM;NOM;MASC;SG
कैथोलिक	католицька	कैथोलिक	католицький	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
देहरादून	деградун	देहरादून	деградуна	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
लम्बाई	довжини	लम्बाई	довжина	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
उपनाम	нік	उपनाम	нік	N;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
बंगाली	бенгальська	बंगाली	бенгальський	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
सहारा	сахара	सहारा	сахар		N;INAN;NOM;FEM;SG
सारा	сара	सारा	сара	ADJ;NOM;MASC;SG	PROPN;ANIM;NOM;FEM;SG
सारा	сара	सारा	сара	ADJ;NOM;MASC;SG	PROPN;ANIM;NOM;FEM;SG
इलेक्ट्रॉनिक	електронне	इलेक्ट्रॉनिक	електронний	N;NOM	ADJ;NOM;NEUT;SG
इलेक्ट्रॉनिक	електронні	इलेक्ट्रॉनिक	електронний	N;NOM	ADJ;NOM;PL
