من	که	مِن	که	ADP	CONJ
نسب	نسبتهای	نَسَب	نسبت	V;PFV;MASC;SG;3;PASS	N;PL
العيون	چشمها	العيون	چشم		N;PL
العيون	چشمانی	العيون	چشمانی		N;PL
العيون	چشم	العيون	چشم		N;SG
العيون	چشمان	العيون	چشم		N;PL
ياسين	یاسین	ياسين	یاسین		N;SG
توجه	جهت	تَوَجَّه	جهت	V;IPFV;MASC;IND;SG;3;FIN;ACT	ADP
مستوطنة	اسکان	مُستَوطَنَة	اسکان	N;NOM;INDF;SG	N;PL
محدد	خاص	مُحَدَّد	خاص	ADJ;NOM;INDF;MASC;SG	N;SG
شريف	گرانقدر	شريف	گرانقدر		ADJ
شريف	بزرگوار	شريف	بزرگوار		N;SG
شريف	شرافتمندانه	شريف	شرافتمندانه		ADV
شريف	ارجمند	شريف	ارجمند		N;SG
شريف	گرامی	شريف	گرامی		ADJ
شريف	کلانتر	شريف	کلان		N;SG
شريف	شریف	شريف	None		N;SG
كونغ	کنگ	كُونغ	کرد#کن		N;SG
كونغ	انتر	كُونغ	انتر		
كونغ	کونگ	كُونغ	کونگ		N;SG
يابانيون	ژاپنی	يَابَانِيّ	ژاپنی	N;NOM;INDF;PL	N;SG
قول	بگویید	قَول	None	N;NOM;INDF;SG	V;SBJV;PL;2;PRS
قول	بگو	قَول	None	N;NOM;INDF;SG	V;IMP;SG;2
الاولى	ابتدا	أَوَّل	ابتدا	ADJ;NOM;DEF;FEM;SG	N;SG
الفتاح	فتاح	الفتاح	فتاح		N;SG
غينيا	گینه	غِينِيّ	گینه		N;SG
النوم	خفته	نَوم	خفته	N;NOM;DEF;SG	ADJ
العقيدة	تعالیم	عَقِيدَة	تعالیم	N;NOM;DEF;SG	N;PL
العقيدة	دکترین	عَقِيدَة	دکترین	N;NOM;DEF;SG	ADJ;RL
المعدنية	معدنی	مَعدِنِيّ	معدنی	ADJ;NOM;DEF;FEM;SG	N;SG
بدل	ضامن	بَدَل	None		N;SG
بدل	مقرری	بَدَل	مقرری		N;SG
بدل	مستمری	بَدَل	مستمری		N;PL
يجد	بفهمد	وَجَد	فهمید#فهم	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;SBJV;SG;3;PRS
يجد	بیابد	وَجَد	آمد#آ	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;SBJV;SG;3;PRS
البقاء	بمان	بَقَاء	None	N;NOM;DEF;SG	V;IMP;SG;2
البقاء	بمانی	بَقَاء	بمانی	N;NOM;DEF;SG	V;IMP;2
البقاء	بمانم	بَقَاء	ممتم	N;NOM;DEF;SG	V;SBJV;SG;1;PRS
البقاء	بمانید	بَقَاء	None	N;NOM;DEF;SG	V;SBJV;PL;2;PRS
طرح	تفریق	طَرَح	تفریق	V;PFV;MASC;SG;3;ACT	N;SG
السياسات	سیاست	سِيَاسَة	سیاست	N;NOM;DEF;PL	N;SG
السياسات	سیاست	سِيَاسَة	سیاست	N;NOM;DEF;PL	N;SG
مان	مان	مَان	ما		PRO;PL;1
مان	انسان	مَان	انسان		N;SG
مان	مَرد	مَان	مَرد		N;SG
مان	مرد	مَان	مرد		N;SG
سمير	سمیر	سمير	سمیر		N;SG
سمير	سمیر	سمير	سمیر		N;SG
طفل	جیگر	طِفل	جیگر	N;NOM;INDF;SG	
طفل	عزیزم	طِفل	عزیزم	N;NOM;INDF;SG	INTJ
طفل	کودکان	طِفل	کودک	N;NOM;INDF;SG	N;PL
جلال	جلال	جلال	جلال		N;SG
ريو	ریو	رِيُو	ریو		N;SG
ريو	ریو	رِيُو	ریو		N;SG
هاري	هری	هاري	هری		N;SG
العضلات	عضله	عُضلَة	عضله	N;NOM;DEF;PL	N;SG
العضلات	ماهیچه	عُضلَة	ماهیچه	N;NOM;DEF;PL	N;SG
لان	چون	لِأَنَّ	چون	CONJ	CONJ
الراين	راین	رَايِن	راین		N;SG
مضاد	شمارشگر	مُضَادّ	شمارشگر		N;SG
الروايات	رمان	رِوَايَة	رمان	N;NOM;DEF;PL	N;SG
غربي	وست	غَربِيّ	None	ADJ;NOM;INDF;MASC;SG	N;SG
غربي	باختر	غَربِيّ	باخت#باز	ADJ;NOM;INDF;MASC;SG	N;SG
غربي	غرب	غَربِيّ	غرب	ADJ;NOM;INDF;MASC;SG	N;SG
غربي	وسترن	غَربِيّ	وسترن	ADJ;NOM;INDF;MASC;SG	N;SG
الصف	طبقاتی	صَفّ	None	N;NOM;DEF;SG	N;PL
اسكتلندا	اسکاتلند	إِسكُتلَندَا	اسکاتلند		N;SG
الف	هزار	الف	هزار		NUM
اتصال	آشنا	اِتِّصَال	آشنا	N;NOM;INDF;SG	ADJ
شراء	بخرم	شِرَاء	خرم	N;NOM;INDF;SG	V;SBJV;SG;1;PRS
شراء	بخرید	شِرَاء	رسید#خر	N;NOM;INDF;SG	V;SBJV;PL;2;PRS
الاول	ابتدا	أَوَّل	ابتدا	ADJ;NOM;DEF;MASC;SG	N;SG
وحيد	تنهایی	وحيد	تنهایی		N;SG
وحيد	تنها	وحيد	تنها		ADV
وحيد	تنهایی	وحيد	تنهایی		N;SG
وحيد	تنها	وحيد	تنها		ADV
وحيد	تنهای	وحيد	تنها		N;SG
يسوع	عیسی	يسوع	عیسی		N;SG
جملة	عمده	جُملَة	عمده	N;NOM;INDF;SG	ADJ
جملة	عمده	جُملَة	عمده	N;NOM;INDF;SG	ADJ
المباريات	کبریت	مُبَارَاة	کبریت	N;NOM;DEF;PL	N;SG
المباريات	بازی	مُبَارَاة	بازی	N;NOM;DEF;PL	N;SG
فيتنام	ویتنام	فِيَتنَام	ویتنام		N;SG
دوائر	دایره	دَائِرَة	دایره	N;NOM;INDF;PL	N;SG
يهودي	یهود	يَهُودِيّ	یهود	ADJ;NOM;INDF;MASC;SG	N;SG
يهودي	یهودیان	يَهُودِيّ	یهودی	ADJ;NOM;INDF;MASC;SG	N;PL
يهودي	یهودی	يَهُودِيّ	یهودی	ADJ;NOM;INDF;MASC;SG	N;SG
يهودي	یهودی	يَهُودِيّ	یهودی	ADJ;NOM;INDF;MASC;SG	N;SG
المخابرات	هوش	مُخَابَرَات	هوش	N;NOM;DEF;PL	N;SG
المخابرات	هوشی	مُخَابَرَات	هوشی	N;NOM;DEF;PL	N;SG
الفكرية	روشنفکری	فِكرِيّ	روشنفکری	ADJ;NOM;DEF;FEM;SG	N;SG
الفكرية	عقلانی	فِكرِيّ	عقلانی	ADJ;NOM;DEF;FEM;SG	N;SG
الفكرية	روشنفکر	فِكرِيّ	روشنفکر	ADJ;NOM;DEF;FEM;SG	N;SG
الفكرية	فکری	فِكرِيّ	فکری	ADJ;NOM;DEF;FEM;SG	N;SG
جيم	جیم	جيم	None		N;SG
نبراسكا	نبراسکا	نبراسكا	نبراسکا		N;SG
الفردية	فردیت	فَردِيّ	فردیت	ADJ;NOM;DEF;FEM;SG	N;SG
الفردية	شخصی	فَردِيّ	شخص	ADJ;NOM;DEF;FEM;SG	N;SG
الفردية	فرد	فَردِيّ	فرد	ADJ;NOM;DEF;FEM;SG	N;SG
الفردية	فردگرایی	فَردِيّ	فردگرایی	ADJ;NOM;DEF;FEM;SG	N;SG
الصوديوم	سدیم	الصوديوم	سدیم		N;SG
الاتجاه	ترند	اِتِّجَاه	ترند	N;NOM;DEF;SG	V;PL;3;PRS
الاتجاه	جهت	اِتِّجَاه	جهت	N;NOM;DEF;SG	ADP
الرشيد	معقول	الرشيد	معقول		ADJ
الرشيد	عقلانی	الرشيد	عقلانی		N;SG
الرشيد	رشید	الرشيد	رشید		N;SG
الرشيد	راشد	الرشيد	راشد		N;SG
كهربائية	برق	كَهرَبَائِيَّة	برق		N;SG
كهربائية	electrical	كَهرَبَائِيَّة	electrical		N;SG
كهربائية	الکتریکی	كَهرَبَائِيَّة	الکتریکی		N;SG
كهربائية	برقی	كَهرَبَائِيَّة	برق		N;SG
كهربائية	الکتریکی	كَهرَبَائِيَّة	الکتریکی		N;SG
كهربائية	الکتریک	كَهرَبَائِيَّة	الکتریک		N;SG
ماذا	چی	مَاذَا	چه	DET	ADV
ماذا	چه	مَاذَا	چه	DET	CONJ
فلسطينية	فلسطین	فِلَسطِينِيّ	فلسطین	ADJ;NOM;INDF;FEM;SG	N;PL
فلسطينية	فلسطینی	فِلَسطِينِيّ	فلسطینی	ADJ;NOM;INDF;FEM;SG	N;PL
ثابتة	یکنواخت	ثَابِت	یکنواخت	ADJ;NOM;INDF;FEM;SG	ADV
سحب	ابرها	سَحب	ابر	N;NOM;INDF;SG	N;PL
بيتا	بتا	بَيت	None		N;SG
امتداد	کشش	اِمتِدَاد	کشش	N;NOM;INDF;SG	
امتداد	دراز	اِمتِدَاد	دراز	N;NOM;INDF;SG	ADJ
التحقيق	تحقیقات	تَحقِيق	تحقیق	N;NOM;DEF;SG	N;PL
السنين	سال	سَنَة	سال	N;NOM;DEF;PL	N;SG
ماي	می	مَاي	می		
ماي	مه	مَاي	مه		N;SG
ماي	تا	مَاي	تا		ADP
ماي	mai	مَاي	mai		N;SG
ماي	مای	مَاي	ما		
ماي	مای	مَاي	ما		
الرسائل	پیام	رِسَالَة	پیام	N;NOM;DEF;PL	N;SG
توجيه	جهت	تَوجِيه	جهت	N;NOM;INDF;SG	ADP
مغني	singer	مَغِين	singer	N;NOM;INDF;SG	
الوصف	مشخصات	وَصف	مشخصه	N;NOM;DEF;SG	N;PL
بخصوص	درباره	بخصوص	درباره	N;NOM;INDF;SG	ADP
بخصوص	دربارۀ	بخصوص	دربارۀ	N;NOM;INDF;SG	ADP
ماساتشوستس	ماساچوست	مَاسَاتشُوستس	ماساچوست		N;SG
داء	بیماری	دَاء	بیماری		N;SG
ماليزيا	مالزی	مَالِيزِيَا	مالزی		N;SG
ماليزيا	iran	مَالِيزِيَا	iran		
ماليزيا	مالزیایی	مَالِيزِيَا	مالزیایی		N;SG
القارات	قاره	قَارَّة	None	N;NOM;DEF;PL	N;SG
سانتا	سانتا	سَانتَا	سانتا		N;SG
سانتا	بابانوئل	سَانتَا	بابانوئل		N;SG
سانتا	santa	سَانتَا	santa		N;SG
دوق	دیوک	دَوق	دیوک		
دوق	دوک	دَوق	دوک		N;SG
حامد	حمید	حامد	حمید		N;SG
حامد	حامد	حامد	حامد		N;SG
الخ	غیره	خَىخ	غیره		N;SG
رياض	ریاض	رياض	ریاض		N;SG
الكلاسيكية	کلاسیک	كُلآسِيكِيّ	کلاسیک	ADJ;NOM;DEF;FEM;SG	N;SG
الكلاسيكية	کلاسیک	كُلآسِيكِيّ	کلاسیک	ADJ;NOM;DEF;FEM;SG	N;SG
الكلاسيكية	classic	كُلآسِيكِيّ	classic	ADJ;NOM;DEF;FEM;SG	N;SG
دائم	دوام	دَائِم	دوام	ADJ;NOM;INDF;MASC;SG	N;SG
دائم	پایدار	دَائِم	پایدار	ADJ;NOM;INDF;MASC;SG	N;SG
دائم	دائم	دَائِم	دائم	ADJ;NOM;INDF;MASC;SG	
دائم	دائمی	دَائِم	دائمی	ADJ;NOM;INDF;MASC;SG	N;SG
دائم	دایمی	دَائِم	دایمی	ADJ;NOM;INDF;MASC;SG	N;SG
دائم	دایم	دَائِم	داد#ده	ADJ;NOM;INDF;MASC;SG	N;SG
بوينغ	بوئینگ	بُوِينغ	بوئینگ		N;SG
الكيميائي	شیمیدان	كِيمِيَائِيّ	شیمید		N;SG
مغربي	مراکشی	مَغرِبِيّ	مراکشی	ADJ;NOM;INDF;MASC;SG	N;SG
تحكم	مهار	حَكَم	مهار		N;SG
تحكم	کنترل	حَكَم	کنترل		N;SG
تحكم	کنترول	حَكَم	کنترول		N;SG
هارفارد	هاروارد	هارفارد	هاروارد		N;SG
كانساس	کانزاس	كانساس	کانزاس		N;SG
مسعود	مسعود	مسعود	مسعود		N;SG
مسعود	مسعود	مسعود	مسعود		N;SG
ديزني	دیزنی	دِيزنِي	دیزنی		N;SG
الدوائر	دایره	دَائِرَة	دایره	N;NOM;DEF;PL	N;SG
الدوائر	چمبرز	دَائِرَة	چمبرز	N;NOM;DEF;PL	N;SG
فيينا	وین	فِيِينَّا	وین		N;SG
فيينا	وینا	فِيِينَّا	وینا		N;SG
الجسيمات	ذره	جَسِيم	ذره	N;NOM;DEF;PL	N;SG
بوكس	باکس	بوكس	باکس		N;SG
بوكس	جعبه	بوكس	جعبه		N;SG
بوكس	xb	بوكس	xb		N;SG
دمج	ادغام	دَمج	None		N;SG
دمج	تلفیق	دَمج	None		N;SG
دمج	ادغام	دَمج	None		N;SG
شاهد	see	شَاهَد	see		
شاهد	دیدن	شَاهَد	دیدن		N;SG
شاهد	ناظر	شَاهَد	ناظر		N;SG
شاهد	شهادت	شَاهَد	شهادت		N;SG
شاهد	شاهد	شَاهَد	شاهد		N;SG
شاهد	شاهدی	شَاهَد	شاهدی		N;SG
شاهد	گواه	شَاهَد	گواه		N;SG
قابل	ملاقات	قَابَل	ملاقات	ADJ;NOM;INDF;MASC;SG	N;SG
قابل	دیدار	قَابَل	دیدار	ADJ;NOM;INDF;MASC;SG	N;SG
محاولات	تلاش	مُحَاوَلَة	تلاش	N;NOM;INDF;PL	N;SG
صفر	صفر	صفر	صفر		NUM
صفر	زیرو	صفر	زیرو		N;SG
صفر	zero	صفر	zero		N;SG
بلغاريا	بلغارستان	بُلغَارِيَا	بلغارستان		N;SG
دورات	چرخه	دَورَة	چرخه	N;NOM;INDF;PL	N;SG
حزيران	june	حَزِيرَان	june	N;NOM;INDF;SG	
الحلفاء	متحدین	حَلِيف	None	N;NOM;DEF;PL	N;SG
الحلفاء	متحد	حَلِيف	None	N;NOM;DEF;PL	N;SG
مغربية	مراکشی	مَغرِبِيّ	مراکشی	ADJ;NOM;INDF;FEM;SG	N;SG
هتلر	هیتلر	هِتلَر	هیتلر		N;SG
خوسيه	جوز	خُوسِيه	جوز		N;SG
خوسيه	خوزه	خُوسِيه	خوزه		N;SG
خوسيه	خسه	خُوسِيه	خسه		N;SG
خوسيه	ژوزه	خُوسِيه	ژوزه		N;SG
خوسيه	خوزه	خُوسِيه	خوزه		N;SG
النسبة	نسبت	نِسبَة	نسبت	N;NOM;DEF;SG	ADP
روك	سنگی	رُوك	سنگی		N;SG
روك	صخره	رُوك	None		N;SG
روك	راک	رُوك	راک		N;SG
مروان	مروان	مروان	مروان		N;SG
البحار	دریاها	بَحَّار	دریا	N;NOM;DEF;SG	N;PL
حماس	حماس	حماس	حماس		N;SG
الحكيم	خردمند	الحكيم	خردمند		N;SG
الحكيم	حکیمی	الحكيم	حکیمی		N;SG
الحكيم	حکیم	الحكيم	حکیم		N;SG
الحكيم	فرزانه	الحكيم	فرزانه		N;SG
المتخصصة	متخصص	مُتَخَصِّص	متخصص	ADJ;NOM;DEF;FEM;SG	N;SG
سرية	رازی	سِرِّيّ	راز	ADJ;NOM;INDF;FEM;SG	N;SG
سرية	راز	سِرِّيّ	راز	ADJ;NOM;INDF;FEM;SG	N;SG
سرية	مخفی	سِرِّيّ	مخفی	ADJ;NOM;INDF;FEM;SG	N;SG
سريع	سریع	سَرِيع	سریع	ADJ;NOM;INDF;MASC;SG	ADV
سريع	سریع	سَرِيع	سریع	ADJ;NOM;INDF;MASC;SG	ADV
سريع	روزه	سَرِيع	روزه	ADJ;NOM;INDF;MASC;SG	N;SG
شمالي	شمالی	شمالي	شمالی		N;SG
شمالي	نورث	شمالي	نورث		N;SG
شمالي	شمال	شمالي	شمال		N;SG
شمالي	شمالی	شمالي	شمالی		N;SG
شمالي	شمال	شمالي	شمال		N;SG
قريب	close	قَرِيب	close	ADJ;NOM;INDF;MASC;SG	N;SG
قريب	بستن	قَرِيب	بستن	ADJ;NOM;INDF;MASC;SG	N;SG
قريب	نزدیک	قَرِيب	نزدیک	ADJ;NOM;INDF;MASC;SG	ADP
قريب	مجاور	قَرِيب	مجاور	ADJ;NOM;INDF;MASC;SG	N;SG
قريب	نزدیک	قَرِيب	نزدیک	ADJ;NOM;INDF;MASC;SG	ADP
نجيب	نجیب	نجيب	نجیب		N;SG
صناديق	جعبه	صُندُوق	جعبه	N;NOM;INDF;PL	N;SG
الكونغو	کنگو	اَلكُونغُو	کنگو		N;SG
النور	روشن	النور	روشن	N;NOM;DEF;SG	ADJ
غياب	غایب	غِيَاب	غایب	N;NOM;INDF;SG	ADJ
يهودية	یهود	يَهُودِيّ	یهود	ADJ;NOM;INDF;FEM;SG	N;SG
يهودية	یهودیان	يَهُودِيّ	یهودی	ADJ;NOM;INDF;FEM;SG	N;PL
يهودية	یهودی	يَهُودِيّ	یهودی	ADJ;NOM;INDF;FEM;SG	N;SG
فردية	شخصی	فَردِيّ	شخص	ADJ;NOM;INDF;FEM;SG	N;SG
فردية	فرد	فَردِيّ	فرد	ADJ;NOM;INDF;FEM;SG	N;SG
فردية	فردگرایی	فَردِيّ	فردگرایی	ADJ;NOM;INDF;FEM;SG	N;SG
كولورادو	کلرادو	كُولُورَادُو	کلرادو		N;SG
كولورادو	کلورادو	كُولُورَادُو	کلورادو		N;SG
جونز	جونز	جُونز	جونز		N;SG
مهام	تکالیف	مَهَمَّة	تکالیف	N;NOM;INDF;PL	N;SG
فرانسيسكو	فرانسیسکو	فرَانسِيسكُو	فرانسیسکو		N;SG
فرانسيسكو	فرانچسکو	فرَانسِيسكُو	فرانچسکو		N;SG
نظريات	نظریات	نَظَرِيَّة	نظریه	ADJ;NOM;INDF;FEM;PL	N;PL
نظريات	نظریه	نَظَرِيَّة	نظریه	ADJ;NOM;INDF;FEM;PL	N;SG
مغنية	singer	مَغَنِيّ	singer	ADJ;NOM;INDF;FEM;SG	
مغنية	خواننده	مَغَنِيّ	خواننده	ADJ;NOM;INDF;FEM;SG	N;SG
مغنية	دیوا	مَغَنِيّ	دیوا	ADJ;NOM;INDF;FEM;SG	N;SG
الاتحادية	فدرال	اِتِّحَادِيّ	فدرال		N;SG
مدنية	civil	مَدَنِيّ	civil	ADJ;NOM;INDF;FEM;SG	N;SG
مدنية	مدنی	مَدَنِيّ	مدنی	ADJ;NOM;INDF;FEM;SG	N;SG
مدنية	مدنی	مَدَنِيّ	مدنی	ADJ;NOM;INDF;FEM;SG	N;SG
مدنية	سیویک	مَدَنِيّ	سیویک	ADJ;NOM;INDF;FEM;SG	N;SG
مدنية	غیرنظامی	مَدَنِيّ	غیرنظامی	ADJ;NOM;INDF;FEM;SG	N;SG
مهدي	mahdi	مهدي	mahdi		N;SG
مهدي	مهدی	مهدي	مهدی		N;SG
مهدي	مهدی	مهدي	مهدی		N;SG
مهدي	mehdi	مهدي	mehdi		N;SG
ستار	استار	سِتَار	استار		N;SG
ستار	ستاره	سِتَار	ستاره		N;SG
صفة	وابسته	صِفَة	وابسته	N;NOM;INDF;SG	ADJ
ترشيح	فیلترینگ	تَرشِيح	فیلترینگ	N;NOM;INDF;SG	ADJ;RL
اقترح	پیشنهاد	اِقتَرَح	پیشنهاد	V;PFV;MASC;SG;3;ACT	N;SG
عالمي	سراسری	عَالَمِيّ	سراسری	ADJ;NOM;INDF;MASC;SG	N;SG
عالمي	جهانی	عَالَمِيّ	جهانی	ADJ;NOM;INDF;MASC;SG	N;SG
عالمي	گلوبال	عَالَمِيّ	گلوبال	ADJ;NOM;INDF;MASC;SG	N;SG
دفاع	دفاعی	دفاع	دفاعی		N;SG
دفاع	دفاع	دفاع	دفاع		N;SG
دفاع	دفاع	دفاع	دفاع		N;SG
هندية	سرخپوست	هِندِيّ	سرخپوست	ADJ;NOM;INDF;FEM;SG	N;SG
هندية	هندی	هِندِيّ	هندی	ADJ;NOM;INDF;FEM;SG	N;SG
هندية	هندی	هِندِيّ	هندی	ADJ;NOM;INDF;FEM;SG	N;SG
ثقافية	فرهنگی	ثَقَافِيّ	فرهنگی	ADJ;NOM;INDF;FEM;SG	N;SG
مغامرات	ماجرای	مغامرات	ماجرا	N;NOM;INDF;PL	N;SG
مغامرات	ماجراجویی	مغامرات	ماجراجویی	N;NOM;INDF;PL	N;SG
عدنان	عدنان	عدنان	None		N;SG
عدنان	adnan	عدنان	adnan		N;SG
الفرس	مره	فُرسَة	مره	N;NOM;DEF;SG	
الفرس	ایرانیان	فُرسَة	ایرانی	N;NOM;DEF;SG	N;PL
الفرس	ایرانیها	فُرسَة	ایرانی	N;NOM;DEF;SG	N;PL
اليهودي	یهودی	يَهُودِيّ	یهودی	ADJ;NOM;DEF;MASC;SG	N;SG
القمة	بالا	قِمَّة	بالا	N;NOM;DEF;SG	ADV;ESS
نابليون	ناپلئون	نَابِلِيّ	ناپلئون	N;NOM;INDF;PL	N;SG
خطاب	سخنرانی	خطاب	سخنرانی		N;SG
خطاب	گفتار	خطاب	گفتار		N;SG
خطاب	حرف	خطاب	حرف		N;SG
خطاب	نامه	خطاب	نامه		N;SG
خطاب	نامهای	خطاب	نامه		N;PL
هاجر	هجرت	هاجر	هجرت		N;SG
الدفع	اجری	دَفع	اجری	N;NOM;DEF;SG	
متخصصة	متخصص	مُتَخَصِّص	متخصص	ADJ;NOM;INDF;FEM;SG	N;SG
امام	امام	أَمَامَ	امام	ADP;ACC	N;SG
النجف	نجف	نَجَف	None		N;SG
مالي	مالی	مَالِيّ	مالی		ADJ
مالي	مالی	مَالِيّ	مالی		ADJ
القانوني	قانونی	قَانُونِيّ	قانونی	ADJ;NOM;DEF;MASC;SG	N;SG
القانوني	حقوقی	قَانُونِيّ	حقوقی	ADJ;NOM;DEF;MASC;SG	N;PL
كرمان	آکرمن	كرمان	آکرمن		N;SG
جنوبي	جنوب	جَنُوبِيّ	جنوب	ADJ;NOM;INDF;MASC;SG	N;SG
جنوبي	جنوبی	جَنُوبِيّ	جنوبی	ADJ;NOM;INDF;MASC;SG	N;SG
جنوبي	ساوت	جَنُوبِيّ	ساوت	ADJ;NOM;INDF;MASC;SG	N;SG
جنوبي	جنوب	جَنُوبِيّ	جنوب	ADJ;NOM;INDF;MASC;SG	N;SG
جنوبي	جنوبی	جَنُوبِيّ	جنوبی	ADJ;NOM;INDF;MASC;SG	N;SG
الثوار	شورشی	ثَور	شورشی	N;NOM;DEF;PL	N;SG
الثوار	یاغی	ثَور	یاغ	N;NOM;DEF;PL	N;SG
هام	مهمند	هَامّ	مهمند	ADJ;NOM;INDF;MASC;SG	N;SG
هام	ژامبون	هَامّ	ژامبون	ADJ;NOM;INDF;MASC;SG	N;SG
هام	ham	هَامّ	ham	ADJ;NOM;INDF;MASC;SG	
هام	حام	هَامّ	حام	ADJ;NOM;INDF;MASC;SG	N;SG
المعارف	دانش	مَعرِفَة	دانش	N;NOM;DEF;PL	N;SG
المعارف	آگاهی	مَعرِفَة	آگاهی	N;NOM;DEF;PL	N;SG
المعارف	علم	مَعرِفَة	علم	N;NOM;DEF;PL	N;SG
المعارف	معرفت	مَعرِفَة	معرفت	N;NOM;DEF;PL	N;SG
نينتندو	نینتندو	نينتندو	None		N;SG
المقاعد	صندلی	مَقعَد	صندلی	N;NOM;DEF;PL	N;SG
قلة	چند	قِلَّة	چند	N;NOM;INDF;SG	ADJ
شارل	شارل	شَارل	شارل		N;SG
شارل	چارلز	شَارل	چارلز		N;SG
روسي	روس	رُوسِيّ	روس	ADJ;NOM;INDF;MASC;SG	N;SG
روسي	روسیه	رُوسِيّ	روسیه	ADJ;NOM;INDF;MASC;SG	N;SG
روسي	روسی	رُوسِيّ	روسی	ADJ;NOM;INDF;MASC;SG	N;SG
روسي	روسی	رُوسِيّ	روسی	ADJ;NOM;INDF;MASC;SG	N;SG
المؤمنين	مؤمن	مُؤَمِّن	None	ADJ;NOM;DEF;MASC;PL	N;SG
المؤمنين	امین	مُؤَمِّن	None	ADJ;NOM;DEF;MASC;PL	N;SG
المؤمنين	باوفا	مُؤَمِّن	None	ADJ;NOM;DEF;MASC;PL	N;SG
المشرق	یکدست	مَشرِق	یکدست	N;NOM;DEF;SG	ADJ
المشرق	درخشان	مَشرِق	None	N;NOM;DEF;SG	ADJ
قبول	قبول	قُبُول	قبول	N;NOM;INDF;SG	ADJ
الثلاثي	trio	ثُلَاثِيّ	trio		N;SG
الثلاثي	تریپل	ثُلَاثِيّ	تریپل		N;SG
سر	محرمانه	سر	محرمانه		ADJ
سر	رازی	سر	راز		N;SG
سر	راز	سر	راز		N;SG
سر	مخفی	سر	مخفی		N;SG
تمر	گذشتن	مَرّ	گذشتن	V;IPFV;FEM;IND;SG;3;FIN;ACT	N;SG
تمر	وفات	مَرّ	وفات	V;IPFV;FEM;IND;SG;3;FIN;ACT	N;SG
تمر	گذر	مَرّ	None	V;IPFV;FEM;IND;SG;3;FIN;ACT	N;SG
البخاري	بخاری	بُخَارِيّ	بخاری		N;SG
العائلات	خانواده	عَائِلَة	خانواده	N;NOM;DEF;PL	N;SG
سوبر	سوپر	سُوبَر	سوپر		N;SG
سوبر	super	سُوبَر	super		N;SG
عموما	عموما	عُمُوم	عموما	N;ACC;INDF;SG	ADV
عموما	عموماً	عُمُوم	عموما	N;ACC;INDF;SG	ADV
عائلات	خانواده	عَائِلَة	خانواده	N;NOM;INDF;PL	N;SG
الملابس	لباس	مَلبَس	لباس	N;NOM;DEF;PL	N;SG
الملابس	پوشاک	مَلبَس	None	N;NOM;DEF;PL	N;SG
الملابس	لباس	مَلبَس	لباس	N;NOM;DEF;PL	N;SG
الفتاة	girl	فَتَاة	girl	N;NOM;DEF;SG	
المهاجرين	مهاجر	مُهَاجِر	مهاجر	N;NOM;DEF;PL	N;SG
دقائق	دقیقه	دَقِيقَة	دقیقه	N;NOM;INDF;PL	N;SG
فاروق	فاروق	فاروق	فاروق		N;SG
فاروق	فاروق	فاروق	فاروق		N;SG
لبنانية	لبنان	لُبنَانِيّ	لبنان	ADJ;NOM;INDF;FEM;SG	N;SG
لبنانية	لبنانی	لُبنَانِيّ	لبنانی	ADJ;NOM;INDF;FEM;SG	N;SG
اجتماعي	سوسیال	اِجتِمَاعِيّ	سوسیال	ADJ;NOM;INDF;MASC;SG	N;SG
رائعة	خوشگله	رَائِع	خوشگله	ADJ;NOM;INDF;FEM;SG	N;SG
رائعة	مجلل	رَائِع	مجلل	ADJ;NOM;INDF;FEM;SG	N;SG
قصور	قصرها	قُصُور	قصر	N;NOM;INDF;SG	N;PL
المجيد	بزرگوار	المجيد	بزرگوار		N;SG
هلال	هلال	هلال	هلال		N;SG
صقلية	سیسیل	صَقلِيّ	سیسیل		N;SG
صقلية	سیسیلی	صَقلِيّ	سیسیلی		N;SG
الصلبة	یکدست	صَلبَة	یکدست	N;NOM;DEF;SG	ADJ
الثنائي	دوتایی	ثُنَائِيّ	دوتایی	ADJ;NOM;DEF;MASC;SG	N;SG
الثنائي	دودویی	ثُنَائِيّ	دودویی	ADJ;NOM;DEF;MASC;SG	N;SG
الثنائي	دوجانبه	ثُنَائِيّ	دوجانبه	ADJ;NOM;DEF;MASC;SG	N;SG
الثنائي	دوطرفه	ثُنَائِيّ	دوطرفه	ADJ;NOM;DEF;MASC;SG	N;SG
الثنائي	دوو	ثُنَائِيّ	دوو	ADJ;NOM;DEF;MASC;SG	N;SG
البروتين	پروتئین	بُرُوت	پروتئین	N;NOM;DEF;DU	N;SG
البروتين	پروتئینی	بُرُوت	پروتئینی	N;NOM;DEF;DU	N;SG
البروتين	پروتئینهای	بُرُوت	پروتئین	N;NOM;DEF;DU	N;PL
عماد	عماد	عماد	عماد		N;SG
عماد	عماد	عماد	عماد		N;SG
قصائد	شعری	قَصِيدَة	شعر	N;NOM;INDF;PL	N;SG
قصائد	شعر	قَصِيدَة	شعر	N;NOM;INDF;PL	N;SG
اليوناني	یونان	يُونَانِيّ	یونان	ADJ;NOM;DEF;MASC;SG	N;SG
اليوناني	یونانی	يُونَانِيّ	یونانی	ADJ;NOM;DEF;MASC;SG	N;SG
ولادة	b	وِلَادَة	b	N;NOM;INDF;SG	INTJ
