年	évi	年	évi	N	
登記	regisztráció	登記	regisztráció	V	N;NOM;SG
黃色	sárgák	黃色	sár	N	V;DEF;IND;PL;3;PRS;FIN;ACT
黃色	sárga	黃色	sárga	N	
學士	agglegény	學士	agglegény	N	
學士	nőtlen	學士	nőtlen	N	
批判	kritikus	批判	kritikus	N	
傀儡	báb	傀儡	báb	N	
馬力	malik	馬力	malik	N	
熟悉	ismerős	熟悉	ismerős	ADJ	
直徑	átmérőjű	直徑	átmérőjű	N	ADJ;NOM;SG
聖經	biblia	聖經	biblia	PROPN	N;NOM;SG
聖經	bibliát	聖經	biblia	PROPN	N;ACC;SG
聖經	biblia	聖經	biblia	PROPN	N;NOM;SG
聖經	bibliai	聖經	bibliai	PROPN	
村民	falusi	村民	falusi	N	ADJ;NOM;SG
威爾斯	wales	威爾斯	wales	PROPN	
招生	felvételi	招生	felvételi	V	ADJ;NOM;SG
招生	felvételi	招生	felvételi	V	ADJ;NOM;SG
拱	arch	拱	arch	N	
現有	meglévő	現有	meglévő	V	
現有	meglevő	現有	meglevő	V	
現有	létező	現有	létező	V	
銀河	galaktikus	銀河	galaktikus	PROPN	ADJ;NOM;SG
銀河	galaxis	銀河	galaxis	PROPN	N;NOM;SG
銀河	galaxy	銀河	galaxy	PROPN	
寶貝	bébi	寶貝	bébi	N	
創辦	alapítója	創辦	alapító	V	N;NOM;SG
創辦	alapító	創辦	alapító	V	N;NOM;SG
地質	geológiai	地質	geológiai	N	ADJ;NOM;SG
政委	komisszár	政委	komisszár	N	
多倫多	toronto	多倫多	toronto	PROPN	N;NOM;SG
桓	huan	桓	huan	PROPN	
初步	előzetes	初步	előzetes	ADV	
獎金	prémium	獎金	prémium	N	
獎金	bónusz	獎金	bónusz	N	
獎金	bónusz	獎金	bónusz	N	
營業	nyitva	營業	nyitva	V	ADV;V.CVB
閱讀	olvasott	閱讀	olvasot	N	V;INDF;IND;SG;3;PST;FIN;ACT
閱讀	olvasok	閱讀	olvas	N	V;INDF;IND;SG;1;PRS;FIN;ACT
閱讀	olvasni	閱讀	olvas	N	V;NFIN;ACT
檢查	ellenőrzése	檢查	ellenőrzés	V	N;NOM;SG
檢查	csekk	檢查	csekk	V	N;NOM;SG
檢查	csekket	檢查	csekket	V	N;ACC;SG
檢查	ellenőrzés	檢查	ellenőrzés	V	N;NOM;SG
增強	fejlesztések	增強	fejlesztés	V	N;NOM;PL
法拉	farah	法拉	farah	PROPN	N;NOM;SG
橫濱	yokohama	橫濱	yokohama	PROPN	
炸彈	bomba	炸彈	bomba	N	
炸彈	bomba	炸彈	bomba	N	
棠	tong	棠	tong	PROPN	
空氣	air	空氣	air	N	
小孩	kölyök	小孩	kölyök	N	
法令	rendelet	法令	rendelet	N	
多	többszörös	多	többszörös	NUM	N;NOM;SG
多	többszörösen	多	többszörös	NUM	ADJ;FRML;SG
保險	biztosítási	保險	biztosítási	N	ADJ;NOM;SG
沖繩	okinawa	沖繩	okinapa	PROPN	
一旦	egyszer	一旦	egyszer	ADP	ADV
慢	lassan	慢	lassú		ADJ;FRML;SG
親自	személyesen	親自	személyes	ADV	ADJ;FRML;SG
姐姐	sis	姐姐	sis	N	
單打	egyéni	單打	egyéni	N	
賽車	racing	賽車	racing	N	
模仿	utánzat	模仿	utánzat	V	N;NOM;SG
模仿	paródia	模仿	paródia	V	N;NOM;SG
一	nemzedék	一	nemzedék	NUM	N;NOM;SG
一	generáció	一	generáció	NUM	N;NOM;SG
一	nemzedékek	一	nemzedék	NUM	N;NOM;PL
一	generációk	一	generáció	NUM	N;NOM;PL
廣島	hiroshima	廣島	hiroshima	PROPN	
複雜	összetettsége	複雜	összetettség	ADJ	N;NOM;SG
複雜	összetett	複雜	összetett	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
複雜	komplex	複雜	komplex	ADJ	
複雜	komplikált	複雜	komplikált	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
複雜	bonyolult	複雜	bonyolult	ADJ	
三	samsung	三	samsung	NUM	N;NOM;SG
包圍	ostrom	包圍	ostrom	V	N;NOM;SG
包圍	körül	包圍	körül	V	ADP
平行	párhuzamosan	平行	párhuzamos		ADJ;FRML;SG
自主	autonóm	自主	autonó	N	
自主	önálló	自主	önálló	N	
預定	foglalás	預定	foglalás	V	N;NOM;SG
金星	vénusz	金星	vénusz	PROPN	N;NOM;SG
寄生	parazita	寄生	parazita	V	
寄生	élősködő	寄生	élősködő	V	N;NOM;SG
寄生	parazita	寄生	parazita	V	
寄生	élősködő	寄生	élősködő	V	N;NOM;SG
歌詞	lyric	歌詞	lyric	N	
拯救	megváltás	拯救	megváltás	V	N;NOM;SG
拯救	megmentési	拯救	megmentési	V	
拯救	mentő	拯救	mentő	V	
拯救	mentés	拯救	mentés	V	N;NOM;SG
病人	türelmes	病人	türelmes	N	
消防	tűz	消防	tűz	N	V;INDF;IND;SG;3;PRS;FIN;ACT
優惠	kínál	優惠	kínál	N	V;INDF;IND;SG;3;PRS;FIN;ACT
搖滾	rock	搖滾	rock	N	
圭	kyu	圭	kyu	PROPN	
修訂	felülvizsgálat	修訂	felülvizsgálat	V	N;NOM;SG
前面	front	前面	front	N	
囊	kapszula	囊	kapszula	PROPN	N;NOM;SG
織田	oda	織田	oda	PROPN	
刊登	közzététel	刊登	közzététel	V	N;NOM;SG
未	ismeretlenek	未	ismeretlen	ADV;NEG	ADJ;NOM;PL
未	ismeretlen	未	ismeretlen	ADV;NEG	
偵探	nyomozó	偵探	nyomozó	V	N;NOM;SG
偵探	detektív	偵探	detektív	V	N;NOM;SG
里昂	lyon	里昂	lyon	PROPN	
里昂	lyons	里昂	lyons	PROPN	
提醒	figyelmeztetések	提醒	figyelmeztetés	V	N;NOM;PL
提醒	figyelmeztetés	提醒	figyelmeztetés	V	N;NOM;SG
提醒	riadó	提醒	riadó	V	
提醒	riasztás	提醒	riasztás	V	N;NOM;SG
提醒	emlékeztető	提醒	emlékeztető	V	ADJ;NOM;SG
友好	baráti	友好	baráti	N	ADJ;NOM;SG
友好	barátságosak	友好	barátságos	N	ADJ;NOM;PL
友好	barátságos	友好	barátságos	N	ADJ;NOM;SG
片段	töredék	片段	töredék	N	
割	vágás	割	vágás	V	N;NOM;SG
泡	buborék	泡	buborék	N	
諮詢	egyeztetés	諮詢	egyeztetés	N	
諮詢	konzultálni	諮詢	konzultál	N	V;NFIN;ACT
岑	cen	岑	cen	PROPN	
分離	elszakadás	分離	elszakadás	V	N;NOM;SG
分離	szétválasztás	分離	szétválasztás	V	N;NOM;SG
分離	különálló	分離	különálló	V	
分離	külön	分離	kül	V	
品質	minőségi	品質	minőségi	N	ADJ;NOM;SG
可	látható	可	látható	V	ADJ;NOM;SG
停車	parkolóhely	停車	parkolóhely	V	N;NOM;SG
停車	parkolás	停車	parkolás	V	N;NOM;SG
停車	parkoló	停車	parkoló	V	N;NOM;SG
羅伯特	robert	羅伯特	rober	PROPN	
羅伯特	róbert	羅伯特	róber	PROPN	N;NOM;SG
孟加拉	bengáli	孟加拉	bengáli	PROPN	
夢想	álmodj	夢想	álmodj	N	V;DEF;IND;SG;1;PRS;FIN;ACT
夢想	álom	夢想	álom	N	
夢想	álom	夢想	álom	N	
覆蓋	címlap	覆蓋	címlap	V	CONJ
覆蓋	fedő	覆蓋	fedő	V	N;NOM;SG
覆蓋	borító	覆蓋	borító	V	N;NOM;SG
寫作	írj	寫作	írj	N	
寫作	írni	寫作	ír	N	V;NFIN;ACT
寫作	írjon	寫作	ír	N	V;INDF;IMP;SG;3;PRS;FIN;ACT
溝通	kommunikáció	溝通	kommunikáció	V	N;NOM;SG
溝通	közlemény	溝通	közlemény	V	N;NOM;SG
溝通	kommunikációs	溝通	kommunikációs	V	ADJ;NOM;SG
溝通	kommunikáció	溝通	kommunikáció	V	N;NOM;SG
即時	azonnal	即時	azonnal	ADV	
即時	instant	即時	instant	ADV	
即時	azonnali	即時	azonnali	ADV	
即時	azonnali	即時	azonnali	ADV	
航空	szállító	航空	szállító	N	ADJ;NOM;SG
航空	hordozó	航空	hordozó	N	ADJ;NOM;SG
移植	transzplantáció	移植	transzplantáció	V	N;NOM;SG
移植	átültetés	移植	átültetés	V	N;NOM;SG
移植	átültetés	移植	átültetés	V	N;NOM;SG
移植	transzplantációs	移植	transzplantációs	V	ADJ;NOM;SG
四	évszakok	四	évszak	NUM	N;NOM;PL
四	évszak	四	évszú	NUM	N;NOM;SG
考古	régészet	考古	régészet	V	N;NOM;SG
考古	régészeti	考古	régészeti	V	N;NOM;SG
考古	régészet	考古	régészet	V	N;NOM;SG
草原	legelő	草原	legelő	N	
發音	kiejtés	發音	kiejtés	V	
高地	highland	高地	highland	N	
高地	terra	高地	terra	N	
高地	heights	高地	heights	N	
咀	tsui	咀	tsui	N	
習慣	szokás	習慣	szokás	N	
脫	csík	脫	csík	V	
脫	sáv	脫	sáv	V	N;NOM;SG
脫	szalag	脫	szalag	V	N;NOM;SG
神	kanagava	神	kanagava	N	
忍者	ninja	忍者	ninja	N	
禹	woo	禹	woo	PROPN	
尤其	különösen	尤其	különös	ADV	ADJ;FRML;SG
尤其	főleg	尤其	főleg	ADV	
降落	landolás	降落	landolás	V	N;NOM;SG
降落	leszállás	降落	leszállás	V	N;NOM;SG
鳳凰	főnix	鳳凰	főnix	PROPN	N;NOM;SG
鳳凰	phoenix	鳳凰	phoenix	PROPN	
五	öt	五	öt	NUM	
五	öten	五	öten	NUM	PRO;NOM;PL;3
喜愛	kedvencem	喜愛	kedvencem		N;NOM;SG
洪	árvíz	洪	árvíz	PROPN	N;NOM;SG
洪	árvíz	洪	árvíz	PROPN	N;NOM;SG
洪	árvíz	洪	árvíz	PROPN	N;NOM;SG
洪	árvizek	洪	árviz	PROPN	N;NOM;PL
防衛	védelem	防衛	védelem	V	N;NOM;SG
防衛	védekezés	防衛	védekezés	V	N;NOM;SG
防衛	védelmi	防衛	védelmi	V	
防衛	védelem	防衛	védelem	V	N;NOM;SG
防衛	védekezés	防衛	védekezés	V	N;NOM;SG
防衛	védelmi	防衛	védelmi	V	
相當	egyenértékű	相當	egyenértékű	V	ADJ;NOM;SG
相當	megfelelője	相當	megfelelő	V	N;NOM;SG
委託	üzembe	委託	üzem	V	
首映	premier	首映	premier	N	
首映	premier	首映	premier	N	
思考	gondolkodik	思考	gondolkodik	N	V;INDF;IND;SG;3;PRS;FIN;ACT
思考	gondolkodom	思考	gondolkodik	N	V;INDF;IND;SG;1;PRS;FIN;ACT
思考	gondolkodó	思考	gondolkodó	N	
慶祝	ünneplés	慶祝	ünneplés	V	N;NOM;SG
慶祝	ünneplés	慶祝	ünneplés	V	N;NOM;SG
慶祝	ünnep	慶祝	ünnep	V	N;NOM;SG
慶祝	ünneplés	慶祝	ünneplés	V	N;NOM;SG
慶祝	ünnepség	慶祝	ünnepség	V	N;NOM;SG
認證	igazolom	認證	igazolom	N	V;DEF;IND;SG;1;PRS;FIN;ACT
認證	hitelesített	認證	hitelesít	N	V;INDF;IND;SG;3;PST;FIN;ACT
認證	minősített	認證	minősít	N	V;INDF;IND;SG;3;PST;FIN;ACT
認證	tanúsított	認證	tanúsított	N	V;INDF;IND;SG;3;PST;FIN;ACT
認證	igazolt	認證	igazolt	N	V;INDF;IND;SG;3;PST;FIN;ACT
生長	növekvő	生長	növekvő	V	ADJ;NOM;SG
老人	idős	老人	idős	N	
韻	rímel	韻	rímel	PROPN	V;INDF;IND;SG;3;PRS;FIN;ACT
韻	rím	韻	rím	PROPN	N;NOM;SG
情人	szerető	情人	szerető	N	
移交	átadás	移交	átadás	V	
晴	napsütés	晴	napsütés	PROPN	N;NOM;SG
晴	napfényes	晴	napfényes	PROPN	N;NOM;SG
晴	napos	晴	napos	PROPN	ADJ;NOM;SG
晴	sunny	晴	sunny	PROPN	
雁	liba	雁	liba	PROPN	
雁	liba	雁	liba	PROPN	
夏威夷	hawaii	夏威夷	hapai	PROPN	N;NOM;SG
夏威夷	hawaii	夏威夷	hapai	PROPN	N;NOM;SG
蛤	kagyló	蛤	kagyló	N	
蛤	kagyló	蛤	kagyló	N	
普及	univerzális	普及	univerzális	V	
普及	egyetemes	普及	egyetemes	V	
差距	szakadék	差距	szakadék	N	
盒	box	盒	box	N	
盒	rovat	盒	rovat	N	
豬	sertés	豬	sertés	N	
豬	disznó	豬	disznó	N	
豬	sertés	豬	sertés	N	
豬	malac	豬	malac	N	
牆	wall	牆	wall	N	
牆	falat	牆	fal	N	
鶴	daruk	鶴	daruk	PROPN	N;NOM;PL
鶴	daru	鶴	daru	PROPN	N;NOM;SG
鶴	crane	鶴	crane	PROPN	
鶴	daru	鶴	daru	PROPN	N;NOM;SG
隸屬	hovatartozás	隸屬	hovatartozás	V	N;NOM;SG
企圖	kísérletek	企圖	kísérlet	V	N;NOM;PL
企圖	kísérlet	企圖	kísérlet	V	N;NOM;SG
企圖	próbálkozás	企圖	próbálkozás	V	N;NOM;SG
廢止	visszavonás	廢止	visszavonás	V	N;NOM;SG
步行	sétálni	步行	sétál	N	V;NFIN;ACT
步行	sétál	步行	sétál	N	V;INDF;IND;SG;3;PRS;FIN;ACT
步行	gyalog	步行	gyalog	N	
步行	gyalog	步行	gyalog	N	
步行	járni	步行	jár	N	V;NFIN;ACT
韓	koreai	韓	koreai	PROPN	
日	jen	日	jen	PROPN	
日	yen	日	yen	PROPN	
基督	keresztény	基督	keresztény	PROPN	
基督	christian	基督	christian	PROPN	
基督	keresztények	基督	keresztény	PROPN	N;NOM;PL
基督	keresztények	基督	keresztény	PROPN	N;NOM;PL
假設	elméleti	假設	elméleti	N	ADJ;NOM;SG
假設	feltételezett	假設	feltételezett	N	V;INDF;IND;SG;3;PST;FIN;ACT
假設	feltételezve	假設	feltételezve	N	ADV;V.CVB
搭配	mix	搭配	mix	V	
搭配	keverék	搭配	kevér	V	N;NOM;SG
轉移	átvitel	轉移	átvitel	V	N;NOM;SG
轉移	áthelyezés	轉移	áthelyezés	V	
轉移	transzfer	轉移	transzfer	V	N;NOM;SG
周邊	körülvevő	周邊	körülvevő	N	ADV;V.CVB
周邊	környező	周邊	környező	N	
周邊	közeli	周邊	közeli	N	
繁忙	elfoglalt	繁忙	elfoglalt	ADJ	
清真	mecsetek	清真	mecset	PROPN	N;NOM;PL
清真	mecset	清真	mecset	PROPN	N;NOM;SG
排除	kizárása	排除	kizárás	V	N;NOM;SG
排除	kizárás	排除	kizárás	V	
排除	kirekesztés	排除	kirekesztés	V	N;NOM;SG
排除	kizárás	排除	kizárás	V	
輔助	kiegészítik	輔助	ki+egészít	N	V;DEF;IND;PL;3;PRS;FIN;ACT
輔助	segéd	輔助	segéd	N	
輔助	kisegítő	輔助	kisegítő	N	ADJ;NOM;SG
颶風	hurrikán	颶風	hurrika		N;ON+ESS;SG
颶風	hurrikánok	颶風	hurrika		N;NOM;PL
塞爾維亞	szerbia	塞爾維亞	szerbia	PROPN	N;NOM;SG
仿	utánzat	仿	utánzat		N;NOM;SG
曼谷	bangkok	曼谷	bangk	PROPN	N;NOM;SG
加利福尼亞	kaliforniai	加利福尼亞	kaliforniai	PROPN	V;DEF;IND;SG;3;PRS;NFIN;ACT
加利福尼亞	california	加利福尼亞	california	PROPN	
加利福尼亞	kalifornia	加利福尼亞	kalifornia	PROPN	
加利福尼亞	kaliforniában	加利福尼亞	kalifornia	PROPN	N;IN+ESS;SG
婦女	női	婦女	női	N	
改進	javítása	改進	javítás	V	N;NOM;SG
改進	javulást	改進	javulás	V	N;ACC;SG
改進	fejlesztés	改進	fejlesztés	V	N;NOM;SG
改進	javulás	改進	javulás	V	N;NOM;SG
改進	javítások	改進	javítás	V	N;NOM;PL
改進	javulás	改進	javulás	V	N;NOM;SG
改進	fejlesztések	改進	fejlesztés	V	N;NOM;PL
改進	javítása	改進	javítás	V	N;NOM;SG
改進	javítása	改進	javítás	V	N;NOM;SG
正義	jogos	正義	jogos	N	
艇	hajós	艇	hajós	N	
模擬	szimuláció	模擬	szimuláció	N	
伊斯蘭	iszlám	伊斯蘭	iszlám	PROPN	
伊斯蘭	iszlám	伊斯蘭	iszlám	PROPN	
最	legerősebb	最	legerős	ADV	ADJ;NOM;RL;SG
局部	részleges	局部	részleges	N	
局部	részlegesen	局部	részleges	N	ADJ;FRML;SG
局部	helyi	局部	helyi	N	
局部	részben	局部	részben	N	ADV
局部	részlegesen	局部	részleges	N	ADJ;FRML;SG
木星	jupiter	木星	jupiter	PROPN	
天才	tehetséges	天才	tehetséges	N	ADJ;NOM;SG
天才	tehetség	天才	tehetség	N	V;INDF;POT;SG;3;PRS;FIN;ACT
影響	ütközés	影響	ütközés	V	N;NOM;SG
影響	becsapódás	影響	becsapódás	V	N;NOM;SG
影響	hatás	影響	hatás	V	N;NOM;SG
影響	hatása	影響	hatás	V	N;NOM;SG
影響	befolyása	影響	befolyás	V	N;NOM;SG
影響	befolyással	影響	befolyás	V	N;INS;SG
影響	befolyás	影響	befolyás	V	N;NOM;SG
婷	ting	婷	ting	PROPN	
海峽	szoros	海峽	szoros	N	
海峽	straits	海峽	straits	N	
筆	pen	筆	pen	N	PROPN;NOM;SG
垃圾	vacak	垃圾	vacak	N	
孔子	konfuciusz	孔子	konfuciusz	PROPN	N;NOM;SG
推進	meghajtás	推進	meghajtás	V	N;NOM;SG
鵬	peng	鵬	peng	PROPN	
轟炸	bombázók	轟炸	bombázó	V	N;NOM;PL
轟炸	bombázó	轟炸	bombázó	V	N;NOM;SG
轟炸	bombázók	轟炸	bombázó	V	N;NOM;PL
要	erőd	要	erőd	V	N;NOM;SG
要	erőd	要	erőd	V	N;NOM;SG
要	fort	要	for	V	
黎明	hajnal	黎明	hajnal	PROPN	
黎明	dawn	黎明	dawn	PROPN	
黎明	hajnalban	黎明	hajnal	PROPN	N;IN+ESS;SG
巴勒斯坦	palesztin	巴勒斯坦	palesztin	PROPN	
暖	meleg	暖	meleg	N	
暖	melegen	暖	meleg	N	
刺激	stimuláció	刺激	stimuláció	V	N;NOM;SG
刺激	ösztönző	刺激	ösztönző	V	ADJ;NOM;SG
刺激	ösztönzése	刺激	ösztönzés	V	N;NOM;SG
刺激	ösztönző	刺激	ösztönző	V	ADJ;NOM;SG
道教	taoista	道教	taoista	PROPN	
道教	taoizmus	道教	taoizmus	PROPN	N;NOM;SG
借用	kölcsön	借用	kölcsön	V	N;NOM;SG
姐	sis	姐	sis	PROPN	
儲存	tároló	儲存	tároló	V	ADJ;NOM;SG
儲存	tárolás	儲存	tárolás	V	N;NOM;SG
儲存	raktár	儲存	raktár	V	N;NOM;SG
成年	felnőtt	成年	felnőtt	N	
成年	nagykorú	成年	nagykorú	N	
供奉	felajánlások	供奉	felajánlás	V	N;NOM;PL
繁殖	tenyésztés	繁殖	tenyésztés	V	N;NOM;SG
繁殖	tenyésztési	繁殖	tenyésztési	V	ADJ;NOM;SG
繁殖	fajta	繁殖	fajta	V	
繁殖	reprodukciós	繁殖	reprodukciós	V	N;NOM;SG
事後	utána	事後	utána	N	
實驗	laboratórium	實驗	laboratórium	V	N;NOM;SG
實驗	laboratóriumi	實驗	laboratóriumi	V	ADJ;NOM;SG
實驗	laboratórium	實驗	laboratórium	V	N;NOM;SG
實驗	laboratóriumok	實驗	laboratórium	V	N;NOM;PL
實驗	laboratórium	實驗	laboratórium	V	N;NOM;SG
實驗	labor	實驗	labor	V	N;NOM;SG
敘述	elbeszélés	敘述	elbeszélés	V	N;NOM;SG
敘述	leíró	敘述	leíró	V	N;NOM;SG
水晶	crystal	水晶	crystal	N	
水晶	kristály	水晶	kristály	N	
跟	követni	跟	követ	ADP	V;NFIN;ACT
跟	kövesd	跟	kövesd	ADP	V;DEF;IMP;PL;1;PRS;FIN;ACT
秘魯	perui	秘魯	perui	PROPN	
秘魯	peru	秘魯	peru	PROPN	PROPN;NOM;SG
反射	reflex	反射	reflex	V	N;NOM;SG
反射	tükörkép	反射	tükörkép	V	N;NOM;SG
反射	gondolatok	反射	gondolat	V	N;NOM;PL
那	ez	那	ez	DET	PRO;NOM;SG;3
血液	véres	血液	véres	N	
血液	blood	血液	blood	N	
後方	hátsó	後方	hátsó	N	
日常	mindennap	日常	mindennap	N	
日常	mindennapi	日常	mindennapi	N	
分解	bomló	分解	bomló	V	
分解	bomlás	分解	bomlás	V	N;NOM;SG
除	hacsak	除	hacsak	V	CONJ
最快	leggyorsabban	最快	jeggyors	ADJ	ADV
馬德里	madrid	馬德里	madrid	PROPN	N;NOM;SG
馬德里	madridi	馬德里	madridi	PROPN	
可能	valószínűség	可能	valószínűség	N	
較高	feljebb	較高	fől	ADJ	ADV
標示	jelölés	標示	jelölés	V	N;NOM;SG
標示	megjelölés	標示	megjelölés	V	
標示	mark	標示	mark	V	
經濟	közgazdasági	經濟	közgazdasági	N	ADJ;NOM;SG
草地	legelő	草地	legelő	N	
草地	fű	草地	fű	N	
草地	meadow	草地	meadow	N	
中午	dél	中午	dél	N	
減	csökken	減	csökken	ADP	V;INDF;IND;SG;3;PRS;FIN;ACT
減	csökkenés	減	csökkenés	ADP	N;NOM;SG
減	mínusz	減	mínusz	ADP	N;NOM;SG
談判	tárgyalási	談判	tárgyalási	V	ADJ;NOM;SG
談判	tárgyalások	談判	tárgyalás	V	N;NOM;PL
談判	tárgyalás	談判	tárgyalás	V	N;NOM;SG
談判	tárgyalási	談判	tárgyalási	V	ADJ;NOM;SG
談判	tárgyalások	談判	tárgyalás	V	N;NOM;PL
流通	forgalomba	流通	forgalom	V	
流通	flow	流通	flow	V	
流通	áramlás	流通	áramlás	V	N;NOM;SG
流通	keringő	流通	keringő	V	ADJ;NOM;SG
購物	vásárolni	購物	vásárol	N	V;NFIN;ACT
重慶	chongqing	重慶	chongqing	PROPN	N;NOM;SG
加里	gary	加里	gary	PROPN	
最少	minimum	最少	minimum	ADJ	
最少	minimális	最少	minimális	ADJ	
最少	minimálisan	最少	minimális	ADJ	
撤銷	elkerülése	撤銷	elkerülés	V	N;NOM;SG
撤銷	visszavonás	撤銷	visszavonás	V	N;NOM;SG
喇嘛	láma	喇嘛	lám	N	
盟軍	szövetséges	盟軍	szövetséges	N	ADJ;NOM;SG
盟軍	szövetséges	盟軍	szövetséges	N	ADJ;NOM;SG
灰色	ősz	灰色	ősz	N	
灰色	gray	灰色	gray	N	
灰色	szürke	灰色	szürke	N	
灰色	ősz	灰色	ősz	N	
灰色	grey	灰色	grey	N	
灰色	szürke	灰色	szürke	N	
妍	yeon	妍	yeon	PROPN	
累積	kumulatív	累積	kumulatív	V	N;NOM;SG
累積	felhalmozódása	累積	felhalmozódás	V	N;NOM;SG
蘇丹	szudáni	蘇丹	szudáni	PROPN	ADJ;NOM;SG
蘇丹	szudán	蘇丹	szuda	PROPN	N;NOM;SG
鋼琴	zongora	鋼琴	zongor	N	
促進	előmozdítása	促進	előmozdítás	V	N;NOM;SG
獵	hunt	獵	hunt	N	
獵	vadászik	獵	vadászik	N	V;INDF;IND;SG;3;PRS;FIN;ACT
獵	vadászni	獵	vadász	N	V;NFIN;ACT
獵	vadász	獵	vadász	N	
俄國	oroszország	俄國	oroszország	PROPN	N;NOM;SG
獨特	egyedülálló	獨特	egyedülálló	ADJ	
獨特	páratlan	獨特	páratlan	ADJ	
獨特	egyedi	獨特	egyedi	ADJ	
電氣	elektromos	電氣	elektromos	N	
電氣	elektromos	電氣	elektromos	N	
為	miért	為	miért	ADP	ADV
評估	értékelés	評估	értékelés	V	N;NOM;SG
評估	értékelések	評估	értékelés	V	N;NOM;PL
評估	elbírálás	評估	elbírálás	V	N;NOM;SG
評估	értékelés	評估	értékelés	V	N;NOM;SG
擴展	meghosszabbítás	擴展	meghosszabbítás	V	N;NOM;SG
擴展	kiterjesztés	擴展	kiterjesztés	V	N;NOM;SG
擴展	kiterjesztése	擴展	kiterjesztés	V	N;NOM;SG
擴展	bővítés	擴展	bővítés	V	N;NOM;SG
擴展	kiterjesztése	擴展	kiterjesztés	V	N;NOM;SG
擴展	terjeszkedés	擴展	terjeszkedés	V	N;NOM;SG
擴展	bővítés	擴展	bővítés	V	N;NOM;SG
飯店	szálloda	飯店	szálloda	N	V;INDF;IND;SG;3;PRS;FIN;ACT
飯店	hotel	飯店	hotel	N	
建國	államiság	建國	államiság	V	N;NOM;SG
建國	alapító	建國	alapító	V	N;NOM;SG
烯	ene	烯	ene	N	
龐	pang	龐	pang	PROPN	
解放	sla	解放	sla	V	
解放	pla	解放	pla	V	
較	nagyobb	較	nagy	ADV	ADJ;NOM;CMPR;SG
較	nagyobb	較	nagy	ADV	ADJ;NOM;CMPR;SG
泰山	tarzan	泰山	tarzan	PROPN	N;NOM;SG
每月	havi	每月	havi	DET	
每月	havonta	每月	havon	DET	
更換	csere	更換	csere	V	N;NOM;SG
更換	cseréje	更換	csere	V	N;NOM;SG
快樂	joy	快樂	joy	N	
快樂	öröm	快樂	öröm	N	
快樂	boldog	快樂	boldog	N	
守護	őrző	守護	őrző	N	
守護	őrzik	守護	őr	N	V;DEF;IND;PL;3;PRS;FIN;ACT
守護	őrzött	守護	őrzött	N	V;INDF;IND;SG;3;PST;FIN;ACT
法	francia	法	francia	PROPN	
法	franciák	法	francia	PROPN	N;NOM;PL
玩具	játékszer	玩具	játékszer	N	
增長	növekedés	增長	növekedés	V	N;NOM;SG
粉絲	rajongó	粉絲	rajongó	N	
粉絲	fan	粉絲	fan	N	
消除	elimináció	消除	elimináció	V	
拖	vontató	拖	vontató	V	N;NOM;SG
配偶	házastársa	配偶	házastárs	V	N;NOM;SG
配偶	házastárs	配偶	házastárs	V	N;NOM;SG
配偶	házastársak	配偶	házastárs	V	N;NOM;PL
腰	derék	腰	derék	N	
強化	fejlesztések	強化	fejlesztés	V	N;NOM;PL
強化	megerősítés	強化	megerősítés	V	N;NOM;SG
地產	tulajdon	地產	tulajdon	N	
天堂	mennyben	天堂	menny	N	ADV
天堂	menny	天堂	menny	N	
天堂	paradise	天堂	paradis	N	
代表	képviselet	代表	képviselet	V	N;NOM;SG
代表	képviselete	代表	képviselet	V	N;NOM;SG
關鍵	kulcsfontosságú	關鍵	kulcsfontosságú	N	ADJ;NOM;SG
關鍵	key	關鍵	key	N	
約克	yorkban	約克	york	PROPN	PROPN;IN+ESS;SG
約克	york	約克	york	PROPN	
約克	yorki	約克	yorki	PROPN	
設計	tervezők	設計	tervező	V	N;NOM;PL
設計	tervező	設計	tervező	V	
抑制	gátlás	抑制	gátlás	V	N;NOM;SG
抑制	elnyomás	抑制	elnyomás	V	N;NOM;SG
室內	fedett	室內	fedett	N	
室內	benti	室內	bent	N	
互動	kölcsönhatás	互動	kölcsönhatás	V	N;NOM;SG
互動	kölcsönhatások	互動	kölcsönhatás	V	N;NOM;PL
互動	kölcsönhatás	互動	kölcsönhatás	V	N;NOM;SG
互動	eljegyzési	互動	eljegyzési	V	N;NOM;SG
互動	eljegyzés	互動	eljegyzés	V	N;NOM;SG
互動	aktivitás	互動	aktivitás	V	N;NOM;SG
互動	interaktív	互動	interaktív	V	N;NOM;SG
突擊	támadás	突擊	támadás	V	N;NOM;SG
西蒙	simon	西蒙	simon	PROPN	
中	közepes	中	közepes	N	ADJ;NOM;SG
中	közepes	中	közepes	N	ADJ;NOM;SG
中	mérsékelt	中	mérsékel	N	V;INDF;IND;SG;3;PST;FIN;ACT
淡	fakó	淡	fakó	N	
淡	halvány	淡	halvány	N	
淡	sápadt	淡	sápad	N	
淡	elhalványul	淡	elhalvány	N	V;INDF;IND;SG;3;PRS;FIN;ACT
等	egyenlő	等	egyenlő	N	
國旗	megjelölés	國旗	megjelölés	N	
國旗	lobogó	國旗	lobogó	N	
保加利亞	bulgária	保加利亞	bulgária	PROPN	N;NOM;SG
羅馬尼亞	románia	羅馬尼亞	románia	PROPN	N;NOM;SG
入境	belépés	入境	belépés	V	
