les	the	le	the	DET;DEF;PL	PROPN
domicile	pulang	domicile	pulang	N;MASC;SG	V;SG;ACT
domicile	beranda	domicile	beranda	N;MASC;SG	
domicile	domisili	domicile	domisili	N;MASC;SG	PROPN
aime	rpp	aimer	rpp	V;IND;SG;3;PRS;FIN	N;SG
aime	love	aimer	love	V;IND;SG;3;PRS;FIN	PROPN
aime	cinta	aimer	cinta	V;IND;SG;3;PRS;FIN	N;SG
aime	sukai	aimer	sukai	V;IND;SG;3;PRS;FIN	ADJ;SG
aime	seperti	aimer	seperti	V;IND;SG;3;PRS;FIN	ADP
aime	like	aimer	like	V;IND;SG;3;PRS;FIN	PROPN
aime	kyk	aimer	kyk	V;IND;SG;3;PRS;FIN	PROPN
aime	loves	aimer	loves	V;IND;SG;3;PRS;FIN	PROPN
aime	sukanya	aimer	suka	V;IND;SG;3;PRS;FIN	N;SG
aime	kesukaan	aimer	kesukaan	V;IND;SG;3;PRS;FIN	N;SG
routes	rute	route	rute	N;FEM;PL	N;SG
orientale	orientale	oriental	orientale	ADJ;FEM;SG	PROPN
orientale	east	oriental	east	ADJ;FEM;SG	PROPN
orientale	timur	oriental	timur	ADJ;FEM;SG	N;SG
orientale	oriental	oriental	oriental	ADJ;FEM;SG	PROPN
orientale	timur	oriental	timur	ADJ;FEM;SG	N;SG
orientale	eastern	oriental	eastern	ADJ;FEM;SG	PROPN
programmes	program	programme	program	N;MASC;PL	N;SG
noblesse	mulia	noblesse	mulia	N;FEM;SG	ADJ;SG
noblesse	noble	noblesse	noble	N;FEM;SG	PROPN
noblesse	noblesse	noblesse	noblesse	N;FEM;SG	PROPN
noblesse	gentry	noblesse	gentry	N;FEM;SG	PROPN
policier	cop	policier	cop	N;MASC;SG	PROPN
policier	police	policier	police	N;MASC;SG	PROPN
toile	canvas	toile	canvas	N;FEM;SG	PROPN
secondaires	sekunder	secondaire	sekunder	ADJ;MASC;PL	N;SG
inspiré	inspirasi	inspirer	inspirasi	V;MASC;SG;PST;V.PTCP	N
inspiré	inspired	inspirer	inspired	V;MASC;SG;PST;V.PTCP	PROPN
chercher	mencari	chercher	mencari	V;NFIN	PROPN;SG;ACT
chercher	pencarian	chercher	pencarian	V;NFIN	N;SG
chercher	search	chercher	search	V;NFIN	PROPN
détruit	hancur	détruire	hancur	V;MASC;SG;PST;V.PTCP	ADJ;SG
quartiers	permukiman	quartier	permukiman	N;MASC;PL	N;SG
quartiers	distrik	quartier	distrik	N;MASC;PL	N;SG
chacune	setiap	chacun	setiap	PRO;FEM;SG	DET
chacune	tiap	chacun	tiap	PRO;FEM;SG	DET
chacune	each	chacun	each	PRO;FEM;SG	PROPN
principes	prinsip	principe	prinsip	N;MASC;PL	N;SG
disparition	menghilangnya	disparition	menhilang	N;FEM;SG	V;SG;ACT
disparition	menghilang	disparition	menhilang	N;FEM;SG	V;SG;ACT
bistro	bistro	bistro	bistro	N;MASC;SG	PROPN
échec	gagal	échec	gagal	N;MASC;SG	V;SG
échec	gagal	échec	gagal	N;MASC;SG	V;SG
échec	gagal	échec	gagal	N;MASC;SG	V;SG
limitrophes	berbatasan	limitrophe	berbatasan	ADJ;MASC;PL	V;SG;ACT
rédaction	menulis	rédaction	mentulis	N;FEM;SG	V;SG;ACT
rédaction	redaksi	rédaction	redaksi	N;FEM;SG	PROPN
hausse	rising	hausse	rising	N;FEM;SG	PROPN
hausse	bangkit	hausse	bangkit	N;FEM;SG	V;SG;ACT
oise	oise	oise	oise	N;MASC;SG	PROPN
signature	menandatangani	signature	mentandatangani	N;FEM;SG	V;SG;ACT
signature	signature	signature	signature	N;FEM;SG	PROPN
trône	arsy	trône	arsy	N;MASC;SG	PROPN
carl	carl	carl	carl	PROPN	PROPN
profit	profit	profit	profit	N;MASC;SG	PROPN
chien	dog	chien	dog	N;MASC;SG	PROPN
urss	soviet	urss	soviet	PROPN	PROPN
correspondant	koresponden	correspondre	koresponden	V;PRS;V.PTCP	N
correspondant	pencocokan	correspondre	pencocokan	V;PRS;V.PTCP	N;SG
correspondant	kecocokan	correspondre	kecocokan	V;PRS;V.PTCP	N;SG
zélande	zealand	zélande	zealand	N;FEM;SG	PROPN
zélande	selandia	zélande	selandia	N;FEM;SG	PROPN;SG
zélande	zeeland	zélande	zeeland	N;FEM;SG	PROPN
nul	nol	nul	nol	PRO	
nul	null	nul	null	PRO	PROPN
nul	nul	nul	nul	PRO	PROPN
nationaux	gimn	national	gimn	ADJ;MASC;PL	PROPN
nationaux	national	national	national	ADJ;MASC;PL	PROPN
nationaux	nasional	national	nasional	ADJ;MASC;PL	ADJ;SG
secondes	detik	seconde	detik	N;FEM;PL	N;SG
requête	minta	requête	minta	N;FEM;SG	V;SG;ACT
requête	request	requête	request	N;FEM;SG	PROPN
studios	studio	studio	studio	N;MASC;PL	N;SG
ruisseau	stream	ruisseau	stream	N;MASC;SG	PROPN
ruisseau	brook	ruisseau	brook	N;MASC;SG	PROPN
roche	roche	roche	roche	N;FEM;SG	PROPN
publiques	publik	public	publik	ADJ;FEM;PL	N
publiques	public	public	public	ADJ;FEM;PL	PROPN
connus	dikenal	connaître	dikenal	V;MASC;PL;PST;V.PTCP	V;SG;PASS
connus	diketahui	connaître	diketahui	V;MASC;PL;PST;V.PTCP	V;SG;PASS
largeur	lebar	largeur	lebar	N;FEM;SG	ADJ;SG
largeur	breadth	largeur	breadth	N;FEM;SG	PROPN
remplacer	replace	remplacer	replace	V;NFIN	PROPN
org	org	org	org		PROPN
françoise	françoise	françois	françoise	ADJ;FEM;SG	PROPN
françoise	joanne	françois	joanne	ADJ;FEM;SG	PROPN
françoise	frances	françois	frances	ADJ;FEM;SG	PROPN
spécial	special	spécial	special	ADJ;MASC;SG	PROPN
foi	faith	foi	faith	N;FEM;SG	PROPN
professionnels	profesional	professionnel	profesional	ADJ;MASC;PL	ADJ;SG
professionnels	profesional	professionnel	profesional	ADJ;MASC;PL	ADJ;SG
professionnels	professional	professionnel	professional	ADJ;MASC;PL	N
munich	münchen	munich	münchen	PROPN	PROPN
munich	munchen	munich	munchen	PROPN	PROPN
munich	munich	munich	munich	PROPN	PROPN
institutions	institusi	institution	institusi	N;FEM;PL	N;SG
institutions	lembaga	institution	lembaga	N;FEM;PL	N;SG
voici	disini	voici	disini	V	PROPN;SG;PASS
voici	here	voici	here	V	PROPN
voici	sini	voici	sini	V	ADP;SG
pêche	persik	pêche	persik	N;FEM;SG	PROPN
pêche	peach	pêche	peach	N;FEM;SG	PROPN
pêche	memancing	pêche	menpancing	N;FEM;SG	V;SG;ACT
pêche	mancing	pêche	mancing	N;FEM;SG	PROPN;SG;ACT
complètement	seutuhnya	complètement	seutuh	ADV	N;SG
volumes	volume	volume	volume	N;MASC;PL	N;SG
volumes	volum	volume	volum	N;MASC;PL	PROPN;SG
volumes	jilid	volume	jilid	N;MASC;PL	PROPN
nation	nation	nation	nation	N;FEM;SG	PROPN
alger	algiers	alger	algiers	PROPN	PROPN
alger	alger	alger	alger	PROPN	PROPN
prisonniers	tahanan	prisonnier	tahanan	N;MASC;PL	N;SG
francophone	francophone	francophone	francophone	ADJ;MASC;SG	PROPN
tir	shooting	tir	shooting	N;MASC;SG	PROPN
tir	menembak	tir	mentembak	N;MASC;SG	V;SG;ACT
tir	shot	tir	shot	N;MASC;SG	PROPN
tir	tertembak	tir	tertembak	N;MASC;SG	V;SG;PASS
tir	ditembak	tir	ditembak	N;MASC;SG	V;SG;PASS
tir	tir	tir	tir	N;MASC;SG	PROPN
puits	nah	puits	nah	N;MASC;SG	
puits	yah	puits	yah	N;MASC;SG	PART
puits	wells	puits	wells	N;MASC;SG	PROPN
salles	ruangan	salle	ruangan	N;FEM;PL	N;SG
salles	kamar	salle	kamar	N;FEM;PL	N;SG
salles	forum	salle	forum	N;FEM;PL	PROPN
unies	bersatu	uni	bersatu	ADJ;FEM;PL	PROPN
philosophe	philosophe	philosophe	philosophe	N;MASC;SG	PROPN
européennes	eropa	européen	eropa	ADJ;FEM;PL	N;SG
européennes	european	européen	european	ADJ;FEM;PL	PROPN
benoît	benedict	benoît	benedict	N;MASC;SG	PROPN
benoît	benoît	benoît	benoît	N;MASC;SG	PROPN
benoît	benoit	benoît	benoit	N;MASC;SG	PROPN
souhaite	wish	souhaiter	wish	V;IND;SG;3;PRS;FIN	PROPN
end	sne	end	sne	N;MASC;SG	PROPN
end	akhiri	end	akhiri	N;MASC;SG	V;SG;ACT
end	end	end	end	N;MASC;SG	PROPN
étage	floor	étage	floor	N;MASC;SG	PROPN
coups	tembakan	coup	tembakan	N;MASC;PL	N;SG
coups	shots	coup	shots	N;MASC;PL	PROPN
coups	coups	coup	coups	N;MASC;PL	PROPN
coups	berhembus	coup	berhembus	N;MASC;PL	V;SG;ACT
coups	pukulan	coup	pukulan	N;MASC;PL	N;SG
johnson	johnson	johnson	johnson	N;MASC;SG	PROPN
hongrois	hongaria	hongrois	hongaria	ADJ;MASC;SG	PROPN
hongrois	hungaria	hongrois	hungaria	ADJ;MASC;SG	PROPN;SG
rois	kings	roi	kings	N;MASC;PL	PROPN
mineures	kecil	mineur	kecil	ADJ;FEM;PL	ADJ;SG
mineures	minor	mineur	minor	ADJ;FEM;PL	N
pieds	feet	pied	feet	N;MASC;PL	PROPN
pieds	kaki	pied	kaki	N;MASC;PL	N;SG
pieds	foot	pied	foot	N;MASC;PL	PROPN
pieds	kaki	pied	kaki	N;MASC;PL	N;SG
pieds	pieds	pied	pieds	N;MASC;PL	PROPN
pensée	pikir	pensée	pikir	N;FEM;SG	
pensée	berpikir	pensée	berpikir	N;FEM;SG	V;SG;ACT
pensée	memikirkan	pensée	menpikirkan	N;FEM;SG	V;SG;ACT
pensée	thinking	pensée	thinking	N;FEM;SG	PROPN
pensée	berpikir	pensée	berpikir	N;FEM;SG	V;SG;ACT
bel	bel	beau	bel	ADJ;MASC;SG	PROPN;SG
utilisées	digunakan	utiliser	digunakan	V;FEM;PL;PST;V.PTCP	V;SG;PASS
utilisées	terpakai	utiliser	terpakai	V;FEM;PL;PST;V.PTCP	V;SG;PASS
utilisées	used	utiliser	used	V;FEM;PL;PST;V.PTCP	PROPN
utilisées	dipakai	utiliser	dipakai	V;FEM;PL;PST;V.PTCP	V;SG;PASS
planètes	planet	planète	planet	N;FEM;PL	N;SG
vaste	wide	vaste	wide	ADJ;MASC;SG	PROPN
vaste	luas	vaste	luas	ADJ;MASC;SG	N;SG
roy	roy	roy	roy	PROPN	PROPN
exemples	contoh	exemple	contoh	N;MASC;PL	N;SG
marins	pelaut	marin	penlaut	N;MASC;PL	N;SG
marins	pelaut	marin	penlaut	N;MASC;PL	N;SG
marins	marine	marin	marine	N;MASC;PL	PROPN
marins	laut	marin	laut	N;MASC;PL	N;SG
marins	kelautan	marin	kelautan	N;MASC;PL	N;SG
poèmes	poèmes	poème	poèmes	N;MASC;PL	PROPN
tendance	trend	tendance	trend	N;FEM;SG	PROPN;SG
tendance	trendi	tendance	trendi	N;FEM;SG	ADJ;SG
tendance	trending	tendance	trending	N;FEM;SG	PROPN
libéral	liberal	libéral	liberal	ADJ;MASC;SG	N;SG
libéral	liberal	libéral	liberal	ADJ;MASC;SG	N;SG
xxx	wkwkwk	xxx	wkwkwk		PROPN
congo	kongo	congo	kongo	N;MASC;SG	PROPN
congo	ekuador	congo	ekuador	N;MASC;SG	PROPN;SG
street	jalanan	street	jalanan	PROPN	N;SG
street	street	street	street	PROPN	N
ennemi	enemy	ennemi	enemy	N;MASC;SG	PROPN
moselle	moselle	moselle	moselle	N;FEM;SG	PROPN
multiples	kelipatan	multiple	kelipatan	ADJ;MASC;PL	N;SG
multiples	beberapa	multiple	beberapa	ADJ;MASC;PL	DET
multiples	multiple	multiple	multiple	ADJ;MASC;PL	PROPN
multiples	berganda	multiple	berganda	ADJ;MASC;PL	PROPN;SG;ACT
multiples	kelipatan	multiple	kelipatan	ADJ;MASC;PL	N;SG
retourne	pengembalian	retourner	penkembalian	V;IND;SG;3;PRS;FIN	N;SG
indien	indian	indien	indian	ADJ;MASC;SG	PROPN
indien	india	indien	india	ADJ;MASC;SG	PROPN
indien	hindia	indien	hindia	ADJ;MASC;SG	PROPN
indien	indien	indien	indien	ADJ;MASC;SG	PROPN
comptes	rekening	compte	rekening	N;MASC;PL	N;SG
comptes	akun	compte	akun	N;MASC;PL	N;SG
calendrier	kalender	calendrier	kalender	N;MASC;SG	PROPN;SG
aérienne	udara	aérien	udara	ADJ;FEM;SG	N;SG
avenir	future	avenir	future	N;MASC;SG	PROPN
mécanique	mekanik	mécanique	mekanik	ADJ;MASC;SG	N;SG
mécanique	mekanika	mécanique	mekanika	ADJ;MASC;SG	N;SG
mécanique	mekanik	mécanique	mekanik	ADJ;MASC;SG	N;SG
mécanique	mechanical	mécanique	mechanical	ADJ;MASC;SG	PROPN
mécanique	mekanis	mécanique	mekanis	ADJ;MASC;SG	N;SG
mécanique	mekanika	mécanique	mekanika	ADJ;MASC;SG	N;SG
jérusalem	yerusalem	jérusalem	yerusalem	ADJ;MASC;SG	PROPN
jérusalem	jerusalem	jérusalem	jerusalem	ADJ;MASC;SG	PROPN
jérusalem	jambu	jérusalem	jambu	ADJ;MASC;SG	N;SG
étrangers	alien	étranger	alien	ADJ;MASC;PL	PROPN
étrangers	aliens	étranger	aliens	ADJ;MASC;PL	PROPN
réel	real	réel	real	ADJ;MASC;SG	PROPN
réel	ril	réel	ril	ADJ;MASC;SG	PROPN
réel	riil	réel	riil	ADJ;MASC;SG	PROPN;SG
écran	screen	écran	screen	N;MASC;SG	PROPN
concerts	konser	concert	konser	N;MASC;PL	N;SG
jim	jim	jim	jim	PROPN	PROPN
industriel	industri	industriel	industri	ADJ;MASC;SG	N;SG
industriel	industrial	industriel	industrial	ADJ;MASC;SG	PROPN
rester	tetap	rester	tetap	V;NFIN	ADV;SG
rester	stay	rester	stay	V;NFIN	PROPN
mauvais	bad	mauvais	bad	ADJ;MASC;SG	PROPN
brian	brian	brian	brian	PROPN	PROPN
utilisateurs	pemakai	utilisateur	penpakai	N;MASC;PL	N;SG
utilisateurs	pengguna	utilisateur	penguna	N;MASC;PL	N;SG
plaine	plaine	plaine	plaine	N;FEM;SG	PROPN
plaine	plain	plaine	plain	N;FEM;SG	PROPN
plaine	polos	plaine	polos	N;FEM;SG	PROPN;SG
plaine	plains	plaine	plains	N;FEM;SG	PROPN
aires	aires	aire	aires	N;FEM;PL	PROPN
intégral	integral	intégral	integral	ADJ;MASC;SG	N
méthodes	metoda	méthode	metoda	N;FEM;PL	N;SG
méthodes	metode	méthode	metode	N;FEM;PL	N;SG
impact	impact	impact	impact	N;MASC;SG	PROPN
impact	berdampak	impact	berdampak	N;MASC;SG	V;SG;ACT
candidats	calon	candidat	calon	N;MASC;PL	N;SG
candidats	kandidat	candidat	kandidat	N;MASC;PL	N;SG
candidats	calon	candidat	calon	N;MASC;PL	N;SG
candidats	kandidat	candidat	kandidat	N;MASC;PL	N;SG
candidats	pemohon	candidat	penmohon	N;MASC;PL	N;SG
candidats	pelamar	candidat	penlamar	N;MASC;PL	N;SG
victoria	victoria	victoria	victoria	PROPN	PROPN
classes	kelas	classe	kelas	N;FEM;PL	N;SG
lauréat	winner	lauréat	winner	N;MASC;SG	PROPN
attaques	menyerang	attaque	menserang	N;FEM;PL	V;SG;ACT
attaques	serangan	attaque	serangan	N;FEM;PL	N;SG
attaques	penyerangan	attaque	penserangan	N;FEM;PL	N;SG
portée	cakupan	porter	cakupan	V;FEM;SG;PST;V.PTCP	N;SG
portée	lingkup	porter	lingkup	V;FEM;SG;PST;V.PTCP	N;SG
portée	rentang	porter	rentang	V;FEM;SG;PST;V.PTCP	N;SG
portée	kisaran	porter	kisaran	V;FEM;SG;PST;V.PTCP	N;SG
portée	range	porter	range	V;FEM;SG;PST;V.PTCP	PROPN
portée	jangkauan	porter	jangkauan	V;FEM;SG;PST;V.PTCP	N;SG
portée	jangkau	porter	jangkau	V;FEM;SG;PST;V.PTCP	N;SG
portée	jangkauan	porter	jangkauan	V;FEM;SG;PST;V.PTCP	N;SG
portée	tandu	porter	tandu	V;FEM;SG;PST;V.PTCP	N
quitter	exit	quitter	exit	V;NFIN	PROPN
quitter	leaving	quitter	leaving	V;NFIN	PROPN
oscar	oscar	oscar	oscar	N;MASC;SG	PROPN
définitivement	pasti	définitivement	pasti	ADV	ADJ;SG
définitivement	permanen	définitivement	permanen	ADV	ADJ;SG
définitivement	definitif	définitivement	definitif	ADV	ADJ
romains	romans	romain	romans	ADJ;MASC;PL	PROPN
romains	romawi	romain	romawi	ADJ;MASC;PL	PROPN;SG
romains	roman	romain	roman	ADJ;MASC;PL	PROPN
romains	romawi	romain	romawi	ADJ;MASC;PL	PROPN;SG
établi	mapan	établir	mapan	V;MASC;SG;PST;V.PTCP	ADJ;SG
compose	tulis	composer	tulis	V;IND;SG;3;PRS;FIN	N;SG;ACT
basée	based	baser	based	V;FEM;SG;PST;V.PTCP	PROPN
basée	berdasarkan	baser	berdasarkan	V;FEM;SG;PST;V.PTCP	ADP;SG;ACT
compétitions	kompetisi	compétition	kompetisi	N;FEM;PL	N;SG
compétitions	kontes	compétition	kontes	N;FEM;PL	N;SG
compétitions	lomba	compétition	lomba	N;FEM;PL	N;SG
conseillers	penasehat	conseiller	pennasehat	N;MASC;PL	N;SG
conseillers	konsultan	conseiller	konsultan	N;MASC;PL	N;SG
versailles	versailles	versailles	versailles	PROPN	PROPN
conservateur	konservatif	conservateur	konservatif	N;MASC;SG	ADJ;SG
niveaux	aras	niveau	aras	N;MASC;PL	N;SG
niveaux	tingkat	niveau	tingkat	N;MASC;PL	N;SG
niveaux	tingkatan	niveau	tingkatan	N;MASC;PL	N;SG
alex	xander	alex	xander	PROPN	PROPN
alex	alex	alex	alex	PROPN	PROPN
capable	able	capable	able	ADJ;MASC;SG	PROPN
capable	mampu	capable	mampu	ADJ;MASC;SG	ADV
capable	mampu	capable	mampu	ADJ;MASC;SG	ADV
communautés	komunitas	communauté	komunitas	N;FEM;PL	N;SG
internationaux	internasional	international	internasional	ADJ;MASC;PL	ADJ;SG
internationaux	international	international	international	ADJ;MASC;PL	N
internationaux	mancanegara	international	mancanegara	ADJ;MASC;PL	N
couverture	cover	couverture	cover	N;FEM;SG	PROPN
couverture	tutupi	couverture	tutupi	N;FEM;SG	V;SG;ACT
cuisine	masak	cuisine	masak	N;FEM;SG	PROPN;SG;ACT
cuisine	memasak	cuisine	menpasak	N;FEM;SG	V;SG;ACT
cuisine	cooking	cuisine	cooking	N;FEM;SG	PROPN
cuisine	kitchen	cuisine	kitchen	N;FEM;SG	PROPN
arbres	pohon	arbre	pohon	N;MASC;PL	N;SG
arbres	tree	arbre	tree	N;MASC;PL	PROPN
arbres	pepohonan	arbre	pepohonan	N;MASC;PL	N;SG
arbres	pohon	arbre	pohon	N;MASC;PL	N;SG
émissions	siaran	émission	siaran	N;FEM;PL	N;SG
émissions	emisi	émission	emisi	N;FEM;PL	N;SG
racing	membalap	racing	menbalap	N;MASC;SG	V;SG;ACT
humains	manusia	humain	manusia	ADJ;MASC;PL	N;SG
humains	manusiawi	humain	manusiawi	ADJ;MASC;PL	N
humains	manusia	humain	manusia	ADJ;MASC;PL	N;SG
humains	human	humain	human	ADJ;MASC;PL	PROPN
donnant	giving	donner	giving	V;PRS;V.PTCP	PROPN
ray	sinar	ray	sinar	PROPN	N;SG
ray	ray	ray	ray	PROPN	PROPN
milliards	milyar	milliard	milyar	N;MASC;PL	PROPN
milliards	miliaran	milliard	miliaran	N;MASC;PL	N;SG
milliards	milyaran	milliard	milyaran	N;MASC;PL	PROPN
huitième	kedelapan	huitième	kedelapan	ADJ;MASC;SG	NUM
huitième	eighth	huitième	eighth	ADJ;MASC;SG	PROPN
pos	pos	pos	pos	ADJ;MASC;SG	N;SG;ACT
bertrand	bertrand	bertrand	bertrand	PROPN	PROPN
blues	blues	blues	blues	N;MASC;SG	PROPN
modernes	modern	moderne	modern	ADJ;MASC;PL	ADJ;SG
entrer	enter	entrer	enter	V;NFIN	PROPN
réseaux	jaringan	réseau	jaringan	N;MASC;PL	N;SG
réseaux	jejaring	réseau	jejaring	N;MASC;PL	N;SG
réseaux	jaringan	réseau	jaringan	N;MASC;PL	N;SG
réseaux	jaringannya	réseau	jaringan	N;MASC;PL	N;SG
réseaux	networks	réseau	networks	N;MASC;PL	PROPN
réseaux	jaringan	réseau	jaringan	N;MASC;PL	N;SG
réseaux	jaringannya	réseau	jaringan	N;MASC;PL	N;SG
réseaux	network	réseau	network	N;MASC;PL	PROPN
prit	took	prendre	took	V;IND;SG;3;PST;FIN	PROPN
duché	duché	duché	duché	N;MASC;SG	PROPN
hameau	hamlet	hameau	hamlet	N;MASC;SG	PROPN
alliés	allied	allié	allied	N;MASC;PL	PROPN
alliés	sekutu	allié	sekutu	N;MASC;PL	N;SG
alliés	sekutu	allié	sekutu	N;MASC;PL	N;SG
tentative	dicoba	tentative	dicoba	N;FEM;SG	V;SG;PASS
progressivement	bertahap	progressivement	bertahap	ADV	V;SG;ACT
dragon	dragon	dragon	dragon	N;MASC;SG	PROPN
canons	meriam	canon	meriam	N;MASC;PL	N;SG
canons	cannon	canon	cannon	N;MASC;PL	PROPN
canons	senapan	canon	senapan	N;MASC;PL	N;SG
canons	guns	canon	guns	N;MASC;PL	PROPN
canons	senjata	canon	senjata	N;MASC;PL	N;SG
canons	canons	canon	canons	N;MASC;PL	PROPN
difficultés	kesukaran	difficulté	kesukaran	N;FEM;PL	N;SG
difficultés	kesusahan	difficulté	kesusahan	N;FEM;PL	N;SG
difficultés	kesulitan	difficulté	kesulitan	N;FEM;PL	N;SG
difficultés	kesukaran	difficulté	kesukaran	N;FEM;PL	N;SG
difficultés	kesulitan	difficulté	kesulitan	N;FEM;PL	N;SG
religieuses	religi	religieux	religi	ADJ;FEM;PL	N
religieuses	keagamaan	religieux	keagamaan	ADJ;FEM;PL	N;SG
religieuses	religius	religieux	religius	ADJ;FEM;PL	N
religieuses	agama	religieux	agama	ADJ;FEM;PL	N;SG
religieuses	biarawati	religieux	biarawati	ADJ;FEM;PL	N
penser	thinking	penser	thinking	V;NFIN	PROPN
penser	pemikiran	penser	penpikiran	V;NFIN	N;SG
penser	pikir	penser	pikir	V;NFIN	
tableaux	meja	tableau	meja	N;MASC;PL	N;SG
tableaux	tabel	tableau	tabel	N;MASC;PL	N;SG
tableaux	lukisan	tableau	lukisan	N;MASC;PL	N;SG
présenter	present	présenter	present	V;NFIN	PROPN
vaisseau	starship	vaisseau	starship	N;MASC;SG	PROPN
vaisseau	ship	vaisseau	ship	N;MASC;SG	PROPN
café	coffee	café	coffee	N;MASC;SG	PROPN
café	minang	café	minang	N;MASC;SG	PROPN
café	cafe	café	cafe	N;MASC;SG	PROPN
café	café	café	café	N;MASC;SG	PROPN
café	cafe	café	cafe	N;MASC;SG	PROPN
café	café	café	café	N;MASC;SG	PROPN
cher	dear	cher	dear	ADJ;MASC;SG	PROPN
cher	sayang	cher	sayang	ADJ;MASC;SG	N;SG
cher	yth	cher	yth	ADJ;MASC;SG	PROPN
cher	cher	cher	cher	ADJ;MASC;SG	PROPN
luis	luis	lui	luis	PROPN	PROPN
isabelle	isabel	isabelle	isabel	N;FEM;SG	PROPN
isabelle	isobel	isabelle	isobel	N;FEM;SG	PROPN
isabelle	isabella	isabelle	isabella	N;FEM;SG	PROPN
isabelle	isabelle	isabelle	isabelle	N;FEM;SG	PROPN
confiance	percayai	confiance	percayai	N;FEM;SG	
confiance	trust	confiance	trust	N;FEM;SG	PROPN
confiance	percaya	confiance	percaya	N;FEM;SG	V;SG;ACT
confiance	dipercaya	confiance	dipercaya	N;FEM;SG	V;SG;PASS
confiance	trusted	confiance	trusted	N;FEM;SG	PROPN
propriétés	sifat	propriété	sifat	N;FEM;PL	N;SG
propriétés	properti	propriété	properti	N;FEM;PL	N;SG
polonaise	semir	polonais	semir	ADJ;FEM;SG	N;SG
polonaise	polandia	polonais	polandia	ADJ;FEM;SG	PROPN;SG
polonaise	polish	polonais	polish	ADJ;FEM;SG	PROPN
polonaise	polonaise	polonais	polonaise	ADJ;FEM;SG	N
aix	aix	aix	aix	PROPN	PROPN
aventures	bertualang	aventure	bertualang	N;FEM;PL	V;SG;ACT
aventures	adventures	aventure	adventures	N;FEM;PL	PROPN
aventures	petualangan	aventure	petualangan	N;FEM;PL	N;SG
aventures	bertualang	aventure	bertualang	N;FEM;PL	V;SG;ACT
aventures	petualangan	aventure	petualangan	N;FEM;PL	N;SG
instruments	instrumen	instrument	instrumen	N;MASC;PL	N;SG
départements	departemen	département	departemen	N;MASC;PL	N;SG
finances	keuangan	finance	keuangan	N;FEM;PL	N;SG
finances	finansial	finance	finansial	N;FEM;PL	ADJ;SG
finances	keuangan	finance	keuangan	N;FEM;PL	N;SG
galles	wales	galle	wales	PROPN	PROPN
onze	onze	onze	onze	NUM	PROPN
onze	eleven	onze	eleven	NUM	PROPN
moteurs	motors	moteur	motors	N;MASC;PL	PROPN
moteurs	motor	moteur	motor	N;MASC;PL	N;SG
moteurs	mesin	moteur	mesin	N;MASC;PL	N;SG
pratiques	praktek	pratique	praktek	N;FEM;PL	N;SG
pratiques	latihan	pratique	latihan	N;FEM;PL	N;SG
pratiques	praktik	pratique	praktik	N;FEM;PL	N;SG
pratiques	berlatih	pratique	berlatih	N;FEM;PL	V;SG;ACT
pratiques	praktek	pratique	praktek	N;FEM;PL	N;SG
pratiques	praktik	pratique	praktik	N;FEM;PL	N;SG
charente	charente	charente	charente	N;FEM;SG	PROPN
pleine	full	plein	full	ADJ;FEM;SG	PROPN
noirs	hitam	noir	hitam	ADJ;MASC;PL	ADJ;SG
noirs	black	noir	black	ADJ;MASC;PL	PROPN
célèbres	famous	célèbre	famous	ADJ;MASC;PL	PROPN
célèbres	terkenal	célèbre	terkenal	ADJ;MASC;PL	ADJ;SG;PASS
dimensions	dimensi	dimension	dimensi	N;FEM;PL	N;SG
quart	quarter	quart	quarter	N;MASC;SG	PROPN
quart	seperempat	quart	seperempat	N;MASC;SG	NUM
pertes	kerugian	perte	kerugian	N;FEM;PL	N;SG
pertes	kehilangan	perte	kehilangan	N;FEM;PL	N;SG
pertes	rugi	perte	rugi	N;FEM;PL	N;SG
pertes	kerugian	perte	kerugian	N;FEM;PL	N;SG
pertes	korban	perte	korban	N;FEM;PL	N;SG
ajoute	tambah	ajouter	tambah	V;IND;SG;3;PRS;FIN	
ajoute	add	ajouter	add	V;IND;SG;3;PRS;FIN	PROPN
ajoute	penambahan	ajouter	pentambahan	V;IND;SG;3;PRS;FIN	N;SG
laval	laval	laval	laval	PROPN	PROPN
ontario	ontario	ontario	ontario	N;MASC;SG	PROPN
augmentation	naikkan	augmentation	naikkan	N;FEM;SG	V;SG;ACT
augmentation	tingkatkan	augmentation	tingkatkan	N;FEM;SG	V;SG;ACT
augmentation	meningkat	augmentation	mentingkat	N;FEM;SG	V;SG;ACT
augmentation	meningkatkan	augmentation	mentingkatkan	N;FEM;SG	V;SG;ACT
augmentation	meningkat	augmentation	mentingkat	N;FEM;SG	V;SG;ACT
limites	pembatasan	limite	penbatasan	N;FEM;PL	N;SG
limites	keterbatasan	limite	keterbatasan	N;FEM;PL	N;SG
limites	batas	limite	batas	N;FEM;PL	N;SG
limites	batasi	limite	batasi	N;FEM;PL	V;SG;ACT
limites	batas	limite	batas	N;FEM;PL	N;SG
limites	membatasi	limite	menbatasi	N;FEM;PL	V;SG;ACT
limites	limit	limite	limit	N;FEM;PL	PROPN
éric	eric	éric	eric	PROPN	PROPN
condamné	terpidana	condamner	terpidana	V;MASC;SG;PST;V.PTCP	N;SG;PASS
condamné	terpidana	condamner	terpidana	V;MASC;SG;PST;V.PTCP	N;SG;PASS
