birdlife	birdlife	birdlife	birdlifa	N;INDF;MASC;SG	N;ANIM;NOM;MASC;PL
falske	nepravdivé	falsk	nepravdivý	ADJ;PL	ADJ;NOM;NEUT;SG
aksel	aksel	aksel	aksel	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
ulrich	ulrich	ulrich	ulrich	N	PROPN;ANIM;NOM;MASC;SG
spirit	spirit	spirit	spirit	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
odin	odin	odin	odin	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
variasjon	variácie	variasjon	variácia	N;INDF;MASC;SG	N;NOM;FEM;PL
variasjon	odrody	variasjon	odroda	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
husk	pamätaj	husk	pamätať	V;IMP;FIN	INTJ
skatter	poklad	skatter	poklad	N;INDF;FEM;PL	N;INAN;NOM;MASC;SG
plasseringen	umiestnenia	plassering	umiestnenie	N;DEF;MASC;SG	N;NOM;NEUT;PL
harvey	harvey	harvey	harvey	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
hestesport	jazdecké	hestesport	jazdecký	N;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
stipend	štipendiá	stipend	štipendia	N;INDF;NEUT;SG	N;NOM;NEUT;PL
moses	mojžiš	moses	môjžiť	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
veiledning	guide	veiledning	guísť	N;INDF;FEM;SG	
atferd	správania	atferd	správanie	N;INDF;NEUT;SG	N;NOM;NEUT;PL
bakterier	baktéria	bakterium	baktérium	N;INDF;MASC;PL	N;NOM;FEM;SG
hand	ručné	hand	ručný	N;INDF;FEM;SG	ADJ;NOM;NEUT;SG
miami	miami	miami	miam	N	PROPN;ANIM;NOM;MASC;SG
kalender	kalendár	kalende	kalendár	N;INDF;FEM;PL	N;INAN;NOM;MASC;SG
kalender	kalendára	kalende	kalendár	N;INDF;FEM;PL	N;INAN;GEN;MASC;SG
dekk	pneumatiky	dekk	pneumatika	N;INDF;NEUT;SG	N;NOM;FEM;PL
dekk	cover	dekk	cover	N;INDF;NEUT;SG	
dekk	zakryť	dekk	zakryť	N;INDF;NEUT;SG	V;PFV;POS;NFIN
dekk	paluby	dekk	paluba	N;INDF;NEUT;SG	N;NOM;FEM;PL
portretter	portréty	portrette	portrét	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
innspill	vstupné	innspill	vstupný	N;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
utløste	spustené	utløse	spustený	ADJ;PL;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
utløste	spúšťa	utløse	spúšťa	ADJ;PL;V.PTCP	V;PFV;IND;SG;3;POS;PRS;FIN
utløste	spustený	utløse	spustený	ADJ;PL;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
spesifikt	konkrétnych	spesifikk	konkrétny	ADJ;INDF;NEUT;SG	ADJ;GEN;MASC;PL
spesifikt	špecificky	spesifikk	špecificky	ADJ;INDF;NEUT;SG	ADV
uttrykt	vyjadrila	uttrykkje	vyjadriť	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
pilot	pilotný	pilot	pilotný	N;INDF;MASC;SG	ADJ;INAN;NOM;MASC;SG
pilot	pilotného	pilot	pilotný	N;INDF;MASC;SG	ADJ;GEN;NEUT;SG
mats	rohože	mats	rohoža	N;INDF;MASC;SG	N;NOM;FEM;PL
sint	sint	sint	sint	ADJ;INDF;SG	PROPN;ANIM;NOM;MASC;SG
sint	nahnevaní	sint	nahnevanie	ADJ;INDF;SG	ADJ;ANIM;NOM;MASC;PL;POS;V.PTCP;PASS
sint	hnevať	sint	hnevať	ADJ;INDF;SG	V;IPFV;POS;NFIN
iranske	iránsky	iransk	iránsky	ADJ;PL	ADJ;ANIM;NOM;MASC;SG
iranske	iránskeho	iransk	iránsky	ADJ;PL	ADJ;ANIM;GEN;NEUT;SG
ønskelig	žiadaný	ønskelig	žiadaný	N;INDF;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
ønskelig	žiadané	ønskelig	žiadaný	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
ønskelig	požadované	ønskelig	požadovaný	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
ønskelig	žiaduce	ønskelig	žiaduci	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
child	detský	child	detský	N	ADJ;ANIM;NOM;MASC;SG
child	child	child	child	N	PROPN;ANIM;NOM;MASC;SG
progressiv	progresívne	progressiv	progresívne	ADJ;INDF;NEUT;SG	ADV
luke	luke	luke	luka	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
bratte	strmé	bratt	strmý	ADJ;PL	N;INAN;NOM;MASC;PL
peters	peters	peter	peters	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
jules	jules	jules	jules	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
fullføre	úplné	fullføre	úplný	V;IMP;NFIN	ADJ;NOM;NEUT;SG
fullføre	kompletný	fullføre	kompletný	V;IMP;NFIN	ADJ;INAN;NOM;MASC;SG
fullføre	kompletná	fullføre	kompletný	V;IMP;NFIN	ADJ;NOM;FEM;SG
fullføre	kompletné	fullføre	kompletný	V;IMP;NFIN	ADJ;NOM;NEUT;SG
maine	maine	main	maina	N;INDF;NEUT;SG	PROPN;ANIM;NOM;MASC;SG
roberto	roberto	roberto	roberto	ADJ;INDF;SG;V.PTCP	PROPN;ANIM;NOM;MASC;SG
orig	orig	orig	orig	N;INDF;NEUT;SG	
hen	sliepka	hen	sliepka	ADP	N;NOM;FEM;SG
xiii	xiii	xiii	xii	N;INDF;MASC;SG	NUM
placid	placid	placid	placid	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
ankomst	prijatia	ankomst	prijatie	N;INDF;MASC;SG	N;NOM;NEUT;PL
høgskole	vysoká	høgskole	vysoký	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
skriv	druh	skrive	druh	V;IMP;FIN	N;INAN;NOM;MASC;SG
skriv	typu	skrive	typ	V;IMP;FIN	N;INAN;GEN;MASC;SG
skriv	typ	skrive	typ	V;IMP;FIN	N;INAN;NOM;MASC;SG
skriv	type	skrive	typ	V;IMP;FIN	N;INAN;NOM;MASC;SG
trives	prospieva	trives	prospievať	N;INDF;MASC;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
trives	prosperovať	trives	prosperovať	N;INDF;MASC;SG	V;IPFV;POS;NFIN
fett	tučné	fett	tučný	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
fett	tuky	fett	tuka	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
fett	fat	fett	fat	N;INDF;MASC;SG	
betaling	pokladnice	betaling	pokladnica	N;INDF;FEM;SG	N;NOM;FEM;PL
betaling	platobné	betaling	platobný	N;INDF;FEM;SG	ADJ;NOM;NEUT;SG
betaling	platby	betaling	platba	N;INDF;FEM;SG	N;NOM;FEM;PL
betaling	platby	betaling	platba	N;INDF;FEM;SG	N;NOM;FEM;PL
hindret	zabránila	hindret	zabrániť	N;DEF;NEUT;SG	V;PFV;FEM;SG;POS;PST;V.PTCP
hindret	zabránili	hindret	zabrániť	N;DEF;NEUT;SG	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
hindret	zabránilo	hindret	zabrániť	N;DEF;NEUT;SG	V;PFV;NEUT;SG;POS;PST;V.PTCP
hindret	zabránil	hindret	zabrániť	N;DEF;NEUT;SG	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
blokkering	blokovania	blokkering	blokovanie	N;INDF;FEM;SG	N;NOM;NEUT;PL
blokkering	blokovať	blokkering	blokovať	N;INDF;FEM;SG	V;IPFV;POS;NFIN
blokkering	zablokovať	blokkering	zablokovať	N;INDF;FEM;SG	V;PFV;POS;NFIN
gerd	gerd	gerd	gerd	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
masters	majstri	masters	majster	N;INDF;NEUT;SG	N;ANIM;NOM;MASC;PL
masters	kapitánov	masters	kapitán	N;INDF;NEUT;SG	N;ANIM;ACC;MASC;PL
masters	majstrov	masters	majster	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
palass	paláce	palass	palác	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
moths	mole	moths	môl	N;INDF;MASC;SG	N;NOM;FEM;PL
eine	eine	eine	eina	NUM;DEF;SG	PROPN;ANIM;NOM;MASC;SG
banker	banks	bank	banks	N;INDF;FEM;PL	PROPN;ANIM;NOM;MASC;SG
begått	zaviazala	begå	zaviazať	ADJ;INDF;NEUT;SG	V;PFV;FEM;SG;POS;PST;V.PTCP
begått	spáchal	begå	spáchať	ADJ;INDF;NEUT;SG	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
milton	milton	milton	milton	N;INDF;NEUT;SG	PROPN;ANIM;NOM;MASC;SG
forsiktig	opatrne	forsiktig	opatrne	ADJ;INDF;NEUT;SG	ADV
forsiktig	pozor	forsiktig	pozor	ADJ;INDF;NEUT;SG	INTJ
forsiktig	nežne	forsiktig	žať	ADJ;INDF;NEUT;SG	ADV
forsiktig	jemne	forsiktig	jemne	ADJ;INDF;NEUT;SG	ADV
gyldig	platnosť	gyldig	platnosť	ADJ;INDF;NEUT;SG	N;NOM;FEM;SG
leire	hliny	leire	hlina	N;INDF;MASC;SG	N;NOM;FEM;PL
leire	clay	leire	clay	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
tykk	hrubý	tykk	hrubý	N;INDF;MASC;SG	ADJ;ANIM;NOM;MASC;SG
tykk	hustá	tykk	hustý	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
tykk	husté	tykk	hustý	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
tykk	hrubé	tykk	hrubý	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
tykk	hrubá	tykk	hrubý	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
vanskeligheter	náročnosť	vanskeligheter	náročnosť	N;INDF;FEM;PL	N;NOM;FEM;SG
kontroversielle	kontroverzné	kontroversiell	kontroverzný	ADJ;PL	ADJ;NOM;NEUT;SG
lin	lin	lin	lin	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
kraften	nútiť	kraft	nútiť	N;DEF;MASC;SG	V;IPFV;POS;NFIN
kraften	prinútiť	kraft	prinútiť	N;DEF;MASC;SG	V;PFV;POS;NFIN
nba	nba	nba	nba	N;INDF;MASC;SG	
fylte	vyplnený	fylle	vyplnený	ADJ;PL;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
fylte	naplnený	fylle	naplnený	ADJ;PL;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
fylte	naplnená	fylle	naplnený	ADJ;PL;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
fylte	plnené	fylle	plnený	ADJ;PL;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
fylte	vyplnené	fylle	vyplnený	ADJ;PL;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
kanter	hrany	kante	hrana	N;INDF;NEUT;SG	N;NOM;FEM;PL
mesa	mesa	myse	mes	N;INDF;NEUT;SG	PROPN;ANIM;NOM;MASC;SG
forklart	vysvetlila	forklare	vysvetliť	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
forklart	vysvetliť	forklare	vysvetliť	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;POS;NFIN
forklart	vysvetlil	forklare	vysvetliť	ADJ;INDF;NEUT;SG;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
trygg	bezpečne	trygg	bezpečne	ADJ;INDF;SG	ADV
handle	shop	handle	shop	V;NFIN	INTJ
handle	obchod	handle	obchod	V;NFIN	N;INAN;NOM;MASC;SG
handle	predajňa	handle	predajňa	V;NFIN	N;NOM;FEM;SG
handle	čin	handle	čin	V;NFIN	N;INAN;NOM;MASC;SG
handle	akt	handle	akt	V;NFIN	N;INAN;NOM;MASC;SG
handle	act	handle	act	V;NFIN	PROPN;ANIM;NOM;MASC;SG
heidi	heidi	heid	heľdi	N;FEM	PROPN;NOM;FEM;SG
vern	vern	vern	vern	N;INDF;NEUT;SG	PROPN;ANIM;NOM;MASC;SG
princeton	princeton	princeton	princeton	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
sitat	citujem	sitat	citovať	N;INDF;NEUT;SG	V;IPFV;IND;SG;1;POS;PRS;FIN
sitat	citovať	sitat	citovať	N;INDF;NEUT;SG	V;IPFV;POS;NFIN
register	registrovať	register	registrovať	N;INDF;NEUT;SG	V;IPFV;POS;NFIN
register	zaregistrovať	register	zaregistrovať	N;INDF;NEUT;SG	V;IPFV;POS;NFIN
vegas	vegas	veg	vegas	N	PROPN;ANIM;NOM;MASC;SG
bla	bla	bla	byť	N;INDF;MASC;SG	INTJ
lovlig	právne	lovlig	právny	ADJ;INDF;NEUT;SG	ADJ;NOM;NEUT;PL
lovlig	legálne	lovlig	legálny	ADJ;INDF;NEUT;SG	ADV
beslutning	rozhodnutia	beslutning	rozhodnutie	N;INDF;FEM;SG	N;NOM;NEUT;PL
bengt	bengt	benge	bengt	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
yuan	yuan	yuan	yuan	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
six	šesť	six	šesť	N	NUM;NOM;NEUT;SG
six	six	six	six	N	
six	šiestich	six	šesť	N	NUM;GEN;MASC;PL
six	šiesti	six	šiesť	N	NUM;ANIM;NOM;MASC;PL
ward	ward	ward	ward	PROPN	PROPN;ANIM;NOM;MASC;SG
kjære	drahá	kjære	drahý	N	ADJ;NOM;FEM;SG
kjære	milí	kjære	milý	N	ADJ;ANIM;NOM;MASC;PL
kjære	milá	kjære	milý	N	ADJ;NOM;FEM;SG
speed	rýchlosti	speed	rýchlosť	N;INDF;MASC;SG	N;NOM;FEM;PL
speed	otáčky	speed	otáčka	N;INDF;MASC;SG	N;NOM;FEM;PL
creek	creek	creek	creek	N;INDF;NEUT;SG	PROPN;ANIM;NOM;MASC;SG
troll	trolovia	troll	trol	N;INDF;NEUT;SG	N;ANIM;NOM;MASC;PL
sukker	cukrová	sukker	cukrový	N;INDF;NEUT;SG	ADJ;NOM;FEM;SG
sukker	sugar	sukker	sugar	N;INDF;NEUT;SG	PROPN;NOM;FEM;SG
ide	ide	ide	ísť	N;INDF;MASC;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
behandler	spracovanie	behandle	spracovanie	V;IND;PRS;FIN	N;NOM;NEUT;SG
behandler	spracúvanie	behandle	spracúvanie	V;IND;PRS;FIN	N;NOM;NEUT;SG
behandler	spracovania	behandle	spracovanie	V;IND;PRS;FIN	N;NOM;NEUT;PL
behandler	spracovávanie	behandle	spracovávanie	V;IND;PRS;FIN	N;NOM;NEUT;SG
ensemble	komplet	ensemble	komplet	N;INDF;NEUT;SG	
ekstreme	extrémne	ekstrem	extrémne	ADJ;PL	ADV
ekstreme	extrémny	ekstrem	extrémny	ADJ;PL	ADJ;ANIM;NOM;MASC;SG
ekstreme	extrémna	ekstrem	extrémny	ADJ;PL	ADJ;NOM;FEM;SG
flying	lietania	flying	lietanie	N;INDF;FEM;SG	N;NOM;NEUT;PL
flying	lietajúce	flying	lietajúci	N;INDF;FEM;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;ACT
angi	stanovené	angi	stanovený	V;IMP;FIN	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
angi	set	angi	set	V;IMP;FIN	N;INAN;NOM;MASC;SG
hoppe	skočiť	hoppe	skočiť	N;INDF;FEM;SG	V;PFV;POS;NFIN
hoppe	skákať	hoppe	skákať	N;INDF;FEM;SG	V;IPFV;POS;NFIN
hoppe	preskočiť	hoppe	preskočiť	N;INDF;FEM;SG	V;PFV;POS;NFIN
hoppe	hoppe	hoppe	hoppa	N;INDF;FEM;SG	PROPN;ANIM;NOM;MASC;SG
seattle	seattle	seattle	seattľa	N;INDF;NEUT;SG	PROPN;ANIM;NOM;MASC;SG
seattle	seattli	seattle	seattľnúť	N;INDF;NEUT;SG	PROPN;ANIM;NOM;MASC;SG
innover	vnútrozemská	innover	vnútrozemský	ADP	ADJ;NOM;FEM;SG
innover	vnútrozemské	innover	vnútrozemský	ADP	ADJ;NOM;NEUT;SG
innover	vnútrozemský	innover	vnútrozemský	ADP	ADJ;INAN;NOM;MASC;SG
innover	vnútrozemských	innover	vnútrozemský	ADP	ADJ;GEN;MASC;PL
innover	dovnútra	innover	dovnútra	ADP	ADV
innover	dovnútra	innover	dovnútra	ADP	ADV
geologiske	geologická	geologisk	geologický	ADJ;PL	ADJ;NOM;FEM;SG
geologiske	geologické	geologisk	geologický	ADJ;PL	ADJ;NOM;NEUT;SG
hjul	kolesa	hjul	kolesa	N;INDF;NEUT;SG	N;NOM;NEUT;PL
hjul	kolieska	hjul	koliesky	N;INDF;NEUT;SG	N;NOM;NEUT;PL
hjul	kolesá	hjul	koleso	N;INDF;NEUT;SG	N;NOM;NEUT;PL
beskrivelser	opisy	beskrivelser	opis	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
prinsipp	zásada	prinsipp	zásada	N;INDF;NEUT;PL	N;NOM;FEM;SG
prinsipp	princípe	prinsipp	princíp	N;INDF;NEUT;PL	N;INAN;NOM;MASC;SG
prinsipp	princíp	prinsipp	princíp	N;INDF;NEUT;PL	N;INAN;NOM;MASC;SG
delhi	dillí	delhi	dillí	N	PROPN;NOM;NEUT;SG
landevei	diaľnice	landevei	diaľnica	N;INDF;MASC;SG	N;NOM;FEM;PL
østlig	východná	østlig	východný	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
østlig	východné	østlig	východný	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
østlig	východný	østlig	východný	N;INDF;MASC;SG	ADJ;ANIM;NOM;MASC;SG
østlig	východnej	østlig	východný	N;INDF;MASC;SG	ADJ;GEN;FEM;SG
vitne	svedkovia	vitne	svedok	N;INDF;NEUT;SG	N;ANIM;NOM;MASC;PL
vitne	svedkov	vitne	svedok	N;INDF;NEUT;SG	N;ANIM;ACC;MASC;PL
håndverk	plavidlá	håndverk	plavidlo	N;INDF;NEUT;SG	N;NOM;NEUT;PL
håndverk	remeslá	håndverk	remeslo	N;INDF;NEUT;SG	N;NOM;NEUT;PL
heaven	nebesá	heav	byť	N;DEF;MASC;SG	N;NOM;NEUT;PL
avslo	odmietnuté	avslo	odmietnutý	V;IND;PST;FIN	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
avslo	odmietnutá	avslo	odmietnutý	V;IND;PST;FIN	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
avslo	odmietnuté	avslo	odmietnutý	V;IND;PST;FIN	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
avslo	odmietnutá	avslo	odmietnutý	V;IND;PST;FIN	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
avslo	odmietnutý	avslo	odmietnutý	V;IND;PST;FIN	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
avslo	zamietnuté	avslo	zamietnutý	V;IND;PST;FIN	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
rikeste	najbohatších	rikeste	bohatý	N;INDF;MASC;SG	ADJ;GEN;RL;MASC;PL
undersøkt	preskúmala	undersøkje	preskúmať	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
undersøkt	skúmaných	undersøkje	skúmaný	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;PASS
konkluderte	uzatvorená	konkludere	uzatvorený	V;IND;PST;FIN	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
gylne	zlaté	gyle	zlatý	ADJ;PL	ADJ;NOM;NEUT;SG
gylne	golden	gyle	golden	ADJ;PL	PROPN;ANIM;NOM;MASC;SG
gylne	zlatá	gyle	zlatý	ADJ;PL	ADJ;NOM;FEM;SG
cdu	cdu	cdu	cd	N	
utgiver	vydavateľov	utgive	vydavateľ	N;INDF;FEM;SG	N;ANIM;ACC;MASC;PL
øyeblikk	moments	øyeblikk	moment	N;INDF;MASC;SG	PROPN;ANIM;VOC;MASC;SG
øyeblikk	momenty	øyeblikk	moment	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
øyeblikk	okamihy	øyeblikk	okamih	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
øyeblikk	chvíle	øyeblikk	chvíľa	N;INDF;MASC;SG	N;NOM;FEM;PL
øyeblikk	okamžitá	øyeblikk	okamžitý	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
øyeblikk	okamžité	øyeblikk	okamžitý	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
øyeblikk	okamžite	øyeblikk	okamžite	N;INDF;MASC;SG	ADV
øyeblikk	okamžitý	øyeblikk	okamžitý	N;INDF;MASC;SG	ADJ;INAN;NOM;MASC;SG
eksistere	existujú	eksistere	existovať	V;IMP;NFIN	V;IPFV;IND;PL;3;POS;PRS;FIN
nora	nory	nor	nor	N;INDF;FEM;SG	N;NOM;FEM;PL
lei	lei	lei	lei	ADJ;INDF;SG	
blanke	lesklé	blank	lesklý	ADJ;PL	ADJ;NOM;NEUT;SG
samtaler	konverzácia	samtale	konverzácia	N;INDF;FEM;PL	N;NOM;FEM;SG
flatt	byt	flat	byt	ADJ;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
elite	elity	elite	elity	N;INDF;MASC;SG	N;NOM;FEM;PL
elite	elite	elite	elita	N;INDF;MASC;SG	
seksten	sixteen	seksten	sixteen	NUM;PL	INTJ
seksten	šestnásť	seksten	šestnásť	NUM;PL	NUM;NOM;NEUT;SG
riga	riga	rige	riga	N;INDF;NEUT;SG	PROPN;INAN;NOM;MASC;SG
ahmed	ahmed	ahmed	ahmed	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
tegneserier	komiksy	tegneserie	komiksy	N;INDF;NEUT;SG	N;NOM;FEM;PL
woods	lesy	woods	les	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
woods	lesov	woods	les	N;INDF;NEUT;SG	N;INAN;GEN;MASC;PL
woods	woods	woods	woods	N;INDF;NEUT;SG	PROPN;ANIM;NOM;MASC;SG
nacional	nacional	nacional	nacionať	N	PROPN;INAN;NOM;MASC;SG
aasen	aasen	aasen	aasen	N;DEF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
representasjon	zastúpenia	representasjon	zastúpenie	N;INDF;MASC;SG	N;NOM;NEUT;PL
kjøp	zakúpiť	kjøp	zakúpiť	N;INDF;NEUT;SG	V;PFV;POS;NFIN
kjøp	kúp	kjøp	kúp	N;INDF;NEUT;SG	V;PFV;IMP;SG;2;POS;FIN
kjøp	kúpim	kjøp	kúp	N;INDF;NEUT;SG	V;PFV;IND;SG;1;POS;PRS;FIN
kjøp	kúpiť	kjøp	kúpiť	N;INDF;NEUT;SG	V;PFV;POS;NFIN
kjøp	nákupy	kjøp	nákup	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
owen	owen	owen	owen	PROPN	PROPN;ANIM;NOM;MASC;SG
bretagne	brittany	bretage	brittan	N;INDF;FEM;SG	N;INAN;NOM;MASC;PL
bangladesh	bangladéši	bangladesh	bangladéš	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
bros	bros	bros	bros	N;INDF;MASC;SG	PROPN;NOM;FEM;SG
bros	bratia	bros	brat	N;INDF;MASC;SG	N;ANIM;NOM;MASC;PL
herskere	vládcovia	herskere	vládca	N;INDF;FEM;SG	N;ANIM;NOM;MASC;PL
tykke	hrubý	tykke	hrubý	N;INDF;MASC;SG	ADJ;ANIM;NOM;MASC;SG
tykke	hustá	tykke	hustý	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
tykke	husté	tykke	hustý	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
tykke	hrubé	tykke	hrubý	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
tykke	hrubá	tykke	hrubý	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
jiang	jiang	jiang	jiang	N;INDF;NEUT;SG	PROPN;ANIM;NOM;MASC;SG
tomme	palec	tom	palec	ADJ;PL	N;INAN;NOM;MASC;SG
tomme	prázdna	tom	prázdno	ADJ;PL	N;NOM;FEM;SG
tomme	prázdne	tom	prázdny	ADJ;PL	ADJ;NOM;NEUT;SG
tomme	vyprázdniť	tom	vyprázdniť	ADJ;PL	V;PFV;POS;NFIN
tomme	prázdny	tom	prázdny	ADJ;PL	ADJ;INAN;NOM;MASC;SG
cat	cat	cat	cat	N;INDF;SG	PROPN;ANIM;VOC;MASC;SG
fyller	plnenie	fylle	plnenie	V;IND;PRS;FIN	N;NOM;NEUT;SG
before	pred	brfor	pred	N;INDF;NEUT;SG	ADP;INS
before	predtym	brfor	predtym	N;INDF;NEUT;SG	INTJ
before	predtým	brfor	predtým	N;INDF;NEUT;SG	ADV
avslutte	dokončiť	avslutte	dokončiť	N;INDF;NEUT;SG	V;PFV;POS;NFIN
kontoret	kancelárie	kontor	kancelária	N;DEF;NEUT;SG	N;NOM;FEM;PL
kontoret	kancelárske	kontor	kancelársky	N;DEF;NEUT;SG	ADJ;NOM;NEUT;PL
kontoret	pracovne	kontor	pracovne	N;DEF;NEUT;SG	N;NOM;FEM;PL
eugene	eugene	euge	eugeň	N;DEF;FEM;SG	PROPN;ANIM;NOM;MASC;SG
maur	mravec	maur	mravec	N;INDF;NEUT;PL	N;ANIM;NOM;MASC;SG
bombefly	bombardér	bombefly	bombardér	N;INDF;NEUT;SG	ADJ;ANIM;NOM;MASC;SG
bombefly	bombardéry	bombefly	bombardéra	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
boks	box	boks	box	N;INDF;MASC;SG	
clarke	clark	clarke	clark	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
fattig	chudobných	fattig	chudobný	ADJ;INDF;NEUT;SG	ADJ;GEN;MASC;PL
fattig	chudák	fattig	chudák	ADJ;INDF;NEUT;SG	N;ANIM;NOM;MASC;SG
fattig	chudobní	fattig	chudobniť	ADJ;INDF;NEUT;SG	ADJ;ANIM;NOM;MASC;PL
segl	pečate	segl	pečať	N;INDF;NEUT;SG	N;NOM;FEM;PL
segl	tesnenia	segl	tesnenie	N;INDF;NEUT;SG	N;NOM;NEUT;PL
segl	uzávery	segl	uzáver	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
segl	tulene	segl	tulene	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
segl	seal	segl	seať	N;INDF;NEUT;SG	PROPN;ANIM;NOM;MASC;SG
mayer	mayer	mayer	mayer	N;INDF;FEM;SG	PROPN;ANIM;NOM;MASC;SG
fisker	ryby	fiske	ryba	N;INDF;MASC;SG	N;NOM;FEM;PL
fisker	fish	fiske	fish	N;INDF;MASC;SG	PROPN;ANIM;VOC;MASC;SG
fisker	rybky	fiske	rybka	N;INDF;MASC;SG	N;NOM;FEM;PL
floyd	floyd	floyd	floyd	N;INDF;NEUT;SG	
opprettes	vytvorí	opprettes	vytvoriť	N;INDF;MASC;SG	V;PFV;IND;SG;3;POS;PRS;FIN
opprettes	vytvára	opprettes	vytvárať	N;INDF;MASC;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
