ivar	ivar	ivar	ivara		
hemmelig	skrivnost	hemmelig	skrivnost	ADJ;INDF;MASC+FEM;SG	N;NOM;FEM;SG
bue	arch	bue	arch	N;INDF;MASC+FEM;SG	
christoph	christoph	christoph	christoph	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
værksted	garaže	værksted	garaža	N;INDF;NEUT;SG	N;NOM;FEM;PL
værksted	delavnice	værksted	delavnica	N;INDF;NEUT;SG	N;NOM;FEM;PL
udtalelser	izjavi	udtalelse	izjava	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
simpsons	simpsonovi	simpsons	simpsonov	N;GEN;INDF;MASC+FEM;SG	ADJ;NOM;MASC;PL
simpsons	simpson	simpsons	simpson	N;GEN;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
wta	wta	wta	Wta	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
madison	madison	madison	madison		N;NOM;MASC;SG
sørger	žalovanje	sørge	žalovanje	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
sørger	žalovanja	sørge	žalovanje	V;IND;PRS;FIN;ACT	N;GEN;NEUT;SG
sørger	žalovanje	sørge	žalovanje	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
sørger	žalovanja	sørge	žalovanje	V;IND;PRS;FIN;ACT	N;GEN;NEUT;SG
blom	blom	blom	blom	N;INDF;MASC+FEM;SG	
indtaget	slikano	indtage	slikan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
indtaget	zaužitje	indtage	zaužitje	V;INDF;SG;PST;V.PTCP	N;NOM;NEUT;SG
indtaget	vnos	indtage	vnos	V;INDF;SG;PST;V.PTCP	N;NOM;MASC;SG
indtaget	porabljen	indtage	porabljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
indtaget	porabljena	indtage	porabljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
indtaget	porabljene	indtage	porabljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
crash	nesreči	crash	nesreča	N;INDF;MASC+FEM;SG	N;NOM;FEM;DU
glimrende	odlično	glimrende	odlično	ADJ	ADV
devil	hudič	devil	hudič		N;NOM;MASC;SG
devil	vrag	devil	vraga		N;NOM;MASC;SG
ungdoms	mladina	ungdom	mladina	N;GEN;INDF;MASC+FEM;SG	N;NOM;FEM;SG
ungdoms	mladost	ungdom	mladost	N;GEN;INDF;MASC+FEM;SG	N;NOM;FEM;SG
seksuel	spolno	seksuel	spolno	ADJ;INDF;MASC+FEM;SG	ADV
foretrak	prednostno	foretrak	prednostno	V;IND;PST;FIN;ACT	ADV
foretrak	zaželeno	foretrak	zaželen	V;IND;PST;FIN;ACT	ADJ;NOM;NEUT;SG;V.PTCP
beskeden	sporočilo	beskeden	sporočilo	ADJ;INDF;MASC+FEM;SG	N;NOM;NEUT;SG
beskeden	skromno	beskeden	skromen	ADJ;INDF;MASC+FEM;SG	ADV
lead	svinec	lead	svinec		N;NOM;MASC;SG
montana	montana	montana	montana		N;NOM;FEM;SG
falsk	ponaredek	falsk	ponaredek	ADJ;INDF;SG	N;NOM;MASC;SG
falsk	fake	falsk	faka	ADJ;INDF;SG	N;NOM;MASC;SG
observeret	opažena	observere	opažen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
observeret	opaženi	observere	opažen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
observeret	opažene	observere	opažen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
observeret	opaženo	observere	opažen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
nash	nash	nash	nahh	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
pil	puščica	pil	puščica	V;IMP	N;NOM;FEM;SG
pil	puščico	pil	puščica	V;IMP	N;ACC;FEM;SG
moral	moralo	moral	morati	N;INDF;MASC+FEM;SG	V;IPFV;NEUT;SG;V.PTCP
moral	morala	moral	morati	N;INDF;MASC+FEM;SG	V;IPFV;FEM;SG;V.PTCP
moral	moralni	moral	moralen	N;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
moral	moralna	moral	moralen	N;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
moral	moralno	moral	moralen	N;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
moral	morale	moral	morati	N;INDF;MASC+FEM;SG	V;IPFV;FEM;PL;V.PTCP
moral	moralo	moral	morati	N;INDF;MASC+FEM;SG	V;IPFV;NEUT;SG;V.PTCP
moral	morale	moral	morati	N;INDF;MASC+FEM;SG	V;IPFV;FEM;PL;V.PTCP
moral	moralo	moral	morati	N;INDF;MASC+FEM;SG	V;IPFV;NEUT;SG;V.PTCP
moral	morala	moral	morati	N;INDF;MASC+FEM;SG	V;IPFV;FEM;SG;V.PTCP
sandsynlighed	verjetnosti	sandsynlighed	verjetnost	N;INDF;MASC+FEM;SG	N;GEN;FEM;PL
dokumenteret	dokumentirano	dokumenteret	dokumentirano	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
dokumenteret	dokumentiran	dokumenteret	dokumentiran	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
dokumenteret	dokazane	dokumenteret	dokazan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
dokumenteret	dokazano	dokumenteret	dokazano	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
dokumenteret	dokazana	dokumenteret	dokazan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
kosovo	kosova	kosovo	kosovo	PROPN	N;NOM;NEUT;SG
kosovo	kosovo	kosovo	kosovo	PROPN	N;NOM;NEUT;SG
nacional	nacional	nacional	nacionati		PROPN;NOM;MASC;SG
afvikles	poravnana	afvikle	poravnan	V;IND;PRS;FIN;PASS	ADJ;NOM;FEM;SG;V.PTCP
afvikles	urejeno	afvikle	urejen	V;IND;PRS;FIN;PASS	ADJ;NOM;NEUT;SG;V.PTCP
strengt	stroga	strengt	strog	ADV	ADJ;NOM;FEM;SG
strengt	strogi	strengt	strog	ADV	ADJ;NOM;MASC;SG
strengt	stroge	strengt	strog	ADV	ADJ;NOM;FEM;PL
torino	torino	torino	torina	PROPN	PROPN;NOM;NEUT;SG
torino	torinu	torino	torin	PROPN	PROPN;DAT;MASC;SG
akustisk	akustične	akustisk	akustičen	ADJ;INDF;SG	ADJ;NOM;FEM;PL
massive	ogromen	massive	ogromen	ADJ;PL	ADJ;NOM;INDF;MASC;SG
leveres	oddana	levere	oddan	V;IND;PRS;FIN;PASS	ADJ;NOM;FEM;SG;V.PTCP
leveres	dostavljeno	levere	dostavljen	V;IND;PRS;FIN;PASS	ADJ;NOM;NEUT;SG;V.PTCP
kyster	obalo	kyste	obala	N;INDF;MASC+FEM;PL	N;ACC;FEM;SG
kyster	obala	kyste	obala	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
frisk	sveže	frisk	sveže	ADJ;INDF;SG	
frisk	sveži	frisk	svež	ADJ;INDF;SG	ADJ;NOM;MASC;PL
stabil	stabilni	stabil	stabilen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;PL
stabil	hlev	stabil	hlev	ADJ;INDF;MASC+FEM;SG	N;NOM;MASC;SG
tyndt	tanke	tyndt	tanek	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;PL
tyndt	tanko	tyndt	tanko	ADJ;INDF;NEUT;SG	ADV
anime	anime	anim	anima		
kær	ljubki	kær	ljubek	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;MASC;PL
ask	vprašajte	ask	vprašati		V;PFV;IMP;PL;2;FIN
ask	vprašaj	ask	vprašaj		N;NOM;MASC;SG
ask	pepel	ask	pepel		N;NOM;MASC;SG
ask	ash	ask	anh		N;NOM;MASC;SG
limited	omejena	limited	omejen		ADJ;NOM;FEM;SG;V.PTCP
limited	omejene	limited	omejen		ADJ;NOM;FEM;PL;V.PTCP
limited	omejen	limited	omejen		ADJ;NOM;INDF;MASC;SG;V.PTCP
limited	omejeno	limited	omejen		ADJ;NOM;NEUT;SG;V.PTCP
limited	omejeni	limited	omejen		ADJ;NOM;MASC;PL;V.PTCP
versionen	različice	version	različica	N;DEF;MASC+FEM;SG	N;NOM;FEM;PL
murphy	murphy	murphy	murphy		N;NOM;MASC;SG
analyser	analizo	analyse	analiza	N;INDF;MASC+FEM;PL	N;ACC;FEM;SG
analyser	analiza	analyse	analiza	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
faxe	faks	faxe	faks		N;NOM;MASC;SG
diamond	diamond	diamond	diamond		
diamond	diamant	diamond	diamant		N;NOM;MASC;SG
forårsagede	povzročena	forårsage	povzročen	V;IND;PST;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP
forårsagede	povzročeno	forårsage	povzročen	V;IND;PST;FIN;ACT	ADJ;NOM;NEUT;SG;V.PTCP
detaljeret	podrobno	detaljeret	podrobno	V;INDF;SG;PST;V.PTCP	ADV
bekendte	znanca	bekendt	znance	N;INDF;MASC+FEM;PL	N;NOM;MASC;DU
mærker	marks	mærke	marks	N;INDF;NEUT;PL	N;NOM;MASC;SG
tråd	žice	tråd	žica	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
edge	robu	edge	rob		N;DAT;MASC;SG
edge	rob	edge	rob		N;NOM;MASC;SG
edge	ostrino	edge	ostrina		N;ACC;FEM;SG
tilgængeligt	dostopni	tilgængeligt	dostopen	ADJ;INDF;NEUT;SG	ADJ;NOM;MASC;PL
døren	vrata	dør	vrata	N;DEF;MASC+FEM;SG	N;NOM;NEUT;PL
tungt	težki	tungt	težek	ADJ;INDF;NEUT;SG	ADJ;NOM;MASC;PL
tungt	težke	tungt	težek	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;PL
viet	vdan	viet	vdan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
viet	predan	viet	predan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
viet	viet	viet	viet	V;INDF;SG;PST;V.PTCP	N;NOM;MASC;SG
smukt	prelepi	smuk	prelep	ADJ;INDF;NEUT;SG	N;NOM;FEM;SG
smukt	prelepe	smuk	prelep	ADJ;INDF;NEUT;SG	N;NOM;FEM;PL
smukt	lepi	smuk	lep	ADJ;INDF;NEUT;SG	ADJ;NOM;MASC;PL
smukt	lepe	smuk	lep	ADJ;INDF;NEUT;SG	ADJ;NOM;FEM;PL
torpedoer	torpeda	torpedoe	torped	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
hugh	hugh	hugh	hugh		N;NOM;MASC;SG
grundstoffer	elementarnega	grundstof	elementaren	N;INDF;NEUT;PL	ADJ;GEN;NEUT;SG
ryg	zadaj	ryg	zadaj	N;INDF;MASC+FEM;SG	
ryg	nazaj	ryg	nazaj	N;INDF;MASC+FEM;SG	ADV
ryg	kadite	ryg	kaditi	N;INDF;MASC+FEM;SG	V;IPFV;IMP;PL;2;FIN
faldende	padanje	falde	padanje	V;PRS;V.PTCP	N;NOM;NEUT;SG
faldende	padec	falde	padec	V;PRS;V.PTCP	N;NOM;MASC;SG
faldende	padajoči	falde	padajoč	V;PRS;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
faldende	upadanja	falde	upadanje	V;PRS;V.PTCP	N;GEN;NEUT;SG
forstad	predmestja	forstad	predmestje	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
mund	ust	mund	usta	N;INDF;MASC+FEM;SG	N;GEN;NEUT;PL
mund	usta	mund	usta	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
ram	ram	ram	ram		N;NOM;MASC;SG
ram	rama	ram	rama		N;NOM;FEM;SG
uro	nemiri	uro	nemira	N;INDF;MASC+FEM;SG	N;NOM;MASC;PL
trusler	grožnja	trusel	grožnja	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
lau	lau	lau	lah		
willy	willy	willy	willy		
eminem	eminem	eminem	eminem		N;NOM;MASC;SG
coast	obalo	coast	obala		N;ACC;FEM;SG
coast	obala	coast	obala		N;NOM;FEM;SG
ture	jaha	tur	jaha	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
leon	leon	leon	leon		N;NOM;MASC;SG
denis	denis	denis	denis		PROPN;NOM;MASC;SG
latinsk	latino	latinsk	latina	ADJ;INDF;SG	N;NOM;FEM;SG
forbliver	ostanke	forblive	ostanek	V;IND;PRS;FIN;ACT	N;ACC;MASC;PL
miner	mine	mine	miniti	N;INDF;MASC+FEM;PL	V;PFV;IND;SG;3;PRS;FIN
investeringer	vlaganje	investering	vlaganje	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
investeringer	naložba	investering	naložba	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
israelsk	izraelske	israelsk	izraelski	ADJ;INDF;SG	ADJ;NOM;FEM;PL
israelsk	izrael	israelsk	izrati	ADJ;INDF;SG	N;NOM;MASC;SG
organer	trupla	organ	trupla	N;INDF;MASC+FEM;PL	V;PFV;FEM;PL;V.PTCP
skåret	rez	skære	rez	V;INDF;SG;PST;V.PTCP	N;NOM;MASC;SG
skåret	drobec	skære	drobec	V;INDF;SG;PST;V.PTCP	N;NOM;MASC;SG
lane	lane	lane	lan		
fødslen	rojstva	fødsel	rojstvo	N;DEF;MASC+FEM;SG	N;NOM;NEUT;PL
tusindvis	tisoči	tusindvis	tisoči	ADV	N;NOM;MASC;PL
tusindvis	tisoče	tusindvis	tisoče	ADV	N;ACC;MASC;SG
fjernede	odstranjena	fjerne	odstranjen	V;IND;PST;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP
fjernede	odstranjen	fjerne	odstranjen	V;IND;PST;FIN;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
fjernede	odstranjene	fjerne	odstranjen	V;IND;PST;FIN;ACT	ADJ;NOM;FEM;PL;V.PTCP
fjernede	odstranjeno	fjerne	odstranjen	V;IND;PST;FIN;ACT	ADJ;NOM;NEUT;SG;V.PTCP
ulykker	nesreča	ulykke	nesreča	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
pete	pete	pete	peti	PROPN	N;NOM;FEM;PL
nicholas	nicholas	nicholas	nicholas		PROPN;NOM;MASC;SG
mann	mann	mann	mann	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
beograd	beograd	beograd	beograd		N;NOM;MASC;SG
omgivende	obdaja	omgive	obdajati	ADJ	V;IPFV;IND;SG;3;PRS;FIN
ost	siri	ost	sir	N;INDF;MASC+FEM;SG	
ost	sirov	ost	sir	N;INDF;MASC+FEM;SG	N;GEN;MASC;PL
ost	sirov	ost	sir	N;INDF;MASC+FEM;SG	N;GEN;MASC;PL
ost	siri	ost	sir	N;INDF;MASC+FEM;SG	
vegetation	vegetacije	vegetation	vegetacija	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
værre	huje	slem	hudo	ADJ;CMPR	ADV;CMPR
renoveret	obnovljen	renovere	obnovljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
renoveret	obnovljenem	renovere	obnovljen	V;INDF;SG;PST;V.PTCP	ADJ;DAT;MASC;SG;V.PTCP
renoveret	prenovljena	renovere	prenovljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
troen	vere	tro	vera	N;DEF;MASC+FEM;SG	N;NOM;FEM;PL
add	dodaj	add	dodaj	N;INDF;NEUT;SG	V;PFV;IND;SG;2;FIN
lara	lara	lara	lar	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
svækket	okvarjeno	svæk	okvarjen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
svækket	oslabljen	svæk	oslabljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
svækket	oslabljena	svæk	oslabljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
svækket	oslabljenimi	svæk	oslabljen	V;INDF;SG;PST;V.PTCP	ADJ;INS;MASC;PL;V.PTCP
est	est	est	est		N;NOM;MASC;SG
arkiver	arhiv	arkive	arhiv	N;INDF;NEUT;PL	N;NOM;MASC;SG
udgår	izbrisan	udgå	izbrisan	V;IND;PRS;FIN;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
udgår	izbrisano	udgå	izbrisan	V;IND;PRS;FIN;ACT	ADJ;NOM;NEUT;SG;V.PTCP
udgår	črta	udgå	črta	V;IND;PRS;FIN;ACT	N;NOM;FEM;SG
udgår	izbrisana	udgå	izbrisan	V;IND;PRS;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP
kierkegaard	kierkegaard	kierkegaard	kierkegaard	N;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
opdagelse	discovery	opdagelse	discovery	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
botaniske	botanični	botanisk	botaničen	ADJ;PL	ADJ;NOM;MASC;SG
helen	helen	hel	helen	N;DEF;MASC+FEM;SG	PROPN;NOM;FEM;SG
faser	faz	fase	faz	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
españa	españa	españa	españa		PROPN;NOM;FEM;SG
child	otrok	child	otrok		N;NOM;MASC;SG
krim	krim	krim	krim	PROPN	PROPN;NOM;MASC;SG
krim	krimske	krim	krimski	PROPN	ADJ;NOM;FEM;PL
misbrug	zlorabe	misbrug	zloraba	N;INDF;NEUT;SG	N;NOM;FEM;PL
misbrug	zlorab	misbrug	zloraba	N;INDF;NEUT;SG	N;GEN;FEM;PL
misbrug	zlorabe	misbrug	zloraba	N;INDF;NEUT;SG	N;NOM;FEM;PL
kulturelt	kulturno	kulturelt	kulturen	ADV	ADJ;NOM;NEUT;SG
kulturelt	kulturne	kulturelt	kulturen	ADV	ADJ;NOM;FEM;PL
kulturelt	kulturni	kulturelt	kulturen	ADV	ADJ;NOM;DEF;MASC;SG
kulturelt	kulturna	kulturelt	kulturen	ADV	ADJ;NOM;FEM;SG
kulturelt	kulturno	kulturelt	kulturen	ADV	ADJ;NOM;NEUT;SG
savage	divjak	savage	divjak		N;NOM;MASC;SG
sub	podmornico	sub	podmornica		N;ACC;FEM;SG
sub	sub	sub	sub		N;NOM;MASC;SG
fastsat	popravljeno	fastsætte	popravljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
fastsat	fiksno	fastsætte	fiksen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG
fastsat	fiksna	fastsætte	fiksen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG
hercegovina	hercegovine	hercegovina	hercegovina		N;NOM;FEM;PL
hercegovina	hercegovino	hercegovina	hercegovina		N;ACC;FEM;SG
hercegovina	hercegovina	hercegovina	hercegovina		N;NOM;FEM;SG
foretrukne	prednostno	foretrukne	prednostno	ADJ;PL	ADV
foretrukne	zaželeno	foretrukne	zaželen	ADJ;PL	ADJ;NOM;NEUT;SG;V.PTCP
amerikaner	ameriške	amerikaner	ameriški	N;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
amerikaner	ameriško	amerikaner	ameriški	N;INDF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
amerikaner	ameriški	amerikaner	ameriški	N;INDF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
amerikaner	ameriška	amerikaner	ameriški	N;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
mandskab	posadke	mandskab	posadka	N;INDF;NEUT;SG	N;NOM;FEM;PL
bølger	valovanje	bølge	valovanje	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
erkendelse	prepoznati	erkendelse	prepoznati	N;INDF;MASC+FEM;SG	V;PFV;NFIN
erkendelse	prepoznava	erkendelse	prepoznava	N;INDF;MASC+FEM;SG	V;IPFV;IND;SG;3;PRS;FIN
peer	strokovnem	peer	strokoven	N;INDF;MASC+FEM;SG	ADJ;DAT;MASC;SG
helsingfors	helsinkih	helsingfors	helsinki	N;INDF;NEUT;SG	N;ESS;MASC;PL
siddet	sedeli	sidde	sedeti	V;INDF;SG;PST;V.PTCP	V;IPFV;MASC;PL;V.PTCP
siddet	sat	sidde	sat	V;INDF;SG;PST;V.PTCP	N;NOM;MASC;SG
vindende	zmaga	vinde	zmaga	V;PRS;V.PTCP	N;NOM;FEM;SG
vindende	zmagovalna	vinde	zmagovalen	V;PRS;V.PTCP	ADJ;NOM;FEM;SG
six	šest	six	šest		NUM;NOM;PL
six	six	six	six		
adrian	adrian	adrian	adrian		N;NOM;MASC;SG
discovery	odkritje	discovery	odkritje		N;NOM;NEUT;SG
discovery	discovery	discovery	discovery		PROPN;NOM;MASC;SG
avenue	avenijo	avenue	aveniti		N;ACC;FEM;SG
avenue	avenue	avenue	avenue		N;NOM;MASC;SG
avenue	avenija	avenue	avenija		N;NOM;FEM;SG
born	rojen	born	rojen		ADJ;NOM;INDF;MASC;SG;V.PTCP
born	rojena	born	rojen		ADJ;NOM;FEM;SG;V.PTCP
born	rojene	born	rojen		ADJ;NOM;FEM;PL;V.PTCP
born	rojeni	born	rojen		ADJ;NOM;MASC;PL;V.PTCP
born	rodil	born	roditi		V;MASC;SG;V.PTCP
alberto	alberto	alberto	alberta		N;NOM;MASC;SG
logisk	logični	logisk	logičen	ADJ;INDF;SG	ADJ;NOM;DEF;MASC;SG
logisk	logika	logisk	logika	ADJ;INDF;SG	N;NOM;FEM;SG
logisk	logiko	logisk	logika	ADJ;INDF;SG	N;ACC;FEM;SG
udstedt	izdana	udstedt	izdan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
udstedt	izdani	udstedt	izdan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
udstedt	izdano	udstedt	izdano	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
udstedt	izdane	udstedt	izdan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
philipp	philipp	philipp	philipp		N;NOM;MASC;SG
erhvervet	pridobljena	erhvervet	pridobljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
erhvervet	pridobljen	erhvervet	pridobljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
erhvervet	pridobljene	erhvervet	pridobljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
erhvervet	pridobljeno	erhvervet	pridobljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
linket	poveži	linke	povežiti	N;DEF;NEUT;SG	V;PFV;IND;SG;2;PRS;FIN
velegnet	primerni	velegnet	primeren	ADJ;INDF;SG	ADJ;NOM;MASC;PL
himmel	sky	himmel	sky	N;INDF;MASC+FEM;SG	
wang	wang	wang	wang		PROPN;NOM;MASC;SG
ansvarlige	odgovorno	ansvarlig	odgovoren	ADJ;PL	ADJ;NOM;NEUT;SG
ansvarlige	odgovornega	ansvarlig	odgovoren	ADJ;PL	ADJ;GEN;NEUT;SG
ansvarlige	odgovoren	ansvarlig	odgovoren	ADJ;PL	ADJ;NOM;INDF;MASC;SG
ansvarlige	odgovorna	ansvarlig	odgovoren	ADJ;PL	ADJ;NOM;FEM;SG
redskaber	opremo	redskab	oprema	N;INDF;NEUT;PL	N;ACC;FEM;SG
redskaber	prestav	redskab	prestav	N;INDF;NEUT;PL	N;NOM;FEM;SG
redskaber	orodje	redskab	orodje	N;INDF;NEUT;PL	N;NOM;NEUT;SG
christie	christie	christie	christia	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
greg	grega	greg	grega		N;NOM;MASC;SG
greg	greg	greg	greg		N;NOM;MASC;SG
skønhed	lepote	skønhed	lepota	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
roberts	roberts	rober	roberts	N;GEN;INDF;MASC+FEM;SG	N;NOM;MASC;SG
brigader	brigad	brigade	brigad	N;INDF;MASC+FEM;PL	N;GEN;FEM;SG
unger	unger	unge	unger	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
unger	mladiča	unge	mladič	N;INDF;MASC+FEM;PL	N;ACC;MASC;SG
serbiske	srbski	serbisk	srbski	ADJ;PL	ADJ;NOM;DEF;MASC;SG
serbiske	srb	serbisk	srb	ADJ;PL	N;NOM;MASC;SG
serbiske	srbsko	serbisk	srbski	ADJ;PL	ADJ;NOM;NEUT;SG
ferie	počitnice	ferie	počitnice	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
ferie	počitnice	ferie	počitnice	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
ferie	prazniki	ferie	praznik	N;INDF;MASC+FEM;SG	N;NOM;MASC;PL
ferie	praznike	ferie	praznik	N;INDF;MASC+FEM;SG	N;ACC;MASC;PL
ferie	počitnice	ferie	počitnice	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
freedom	svoboda	freedom	svoboda		N;NOM;FEM;SG
freedom	prostost	freedom	prostost		N;NOM;FEM;SG
freedom	svobode	freedom	svoboda		N;NOM;FEM;PL
freedom	svobodo	freedom	svoboda		N;ACC;FEM;SG
rex	rex	rex	rex	N;INDF;MASC+FEM;SG	
botanisk	botanični	botanisk	botaničen	ADV	ADJ;NOM;MASC;SG
polens	poljsko	polen	poljski	N;GEN;DEF;MASC+FEM;SG	ADJ;NOM;NEUT;SG
polens	poljski	polen	poljski	N;GEN;DEF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
polens	poljska	polen	poljski	N;GEN;DEF;MASC+FEM;SG	ADJ;NOM;FEM;SG
passager	potniški	passager	potniški	N;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
passager	prehodi	passager	prehod	N;INDF;MASC+FEM;SG	N;NOM;MASC;PL
passager	odlomke	passager	odlomek	N;INDF;MASC+FEM;SG	N;ACC;MASC;PL
pol	pol	pol	pol		DET
burma	burmi	burma	burma		N;NOM;FEM;SG
burma	burmo	burma	burma		N;ACC;FEM;SG
tchad	chad	tchad	chad	PROPN	PROPN;NOM;MASC;SG
sammenbrud	nesreči	sammenbrud	nesreča	N;INDF;NEUT;SG	N;NOM;FEM;DU
facto	facto	facto	facta	ADJ;INDF;SG	N;NOM;MASC;SG
udpegede	določen	udpege	določen	V;IND;PST;FIN;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
udpegede	določena	udpege	določen	V;IND;PST;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP
steffen	steffen	steffe	steffen		PROPN;NOM;MASC;SG
tænkte	misel	tænke	misel	V;IND;PST;FIN;ACT	N;NOM;FEM;SG
tænkte	razmišljanje	tænke	razmišljanje	V;IND;PST;FIN;ACT	N;NOM;NEUT;SG
tænkte	razmišljanja	tænke	razmišljanje	V;IND;PST;FIN;ACT	N;GEN;NEUT;SG
gregorianske	gregorijanski	gregoriansk	gregorijanski	ADJ;PL	ADJ;NOM;MASC;SG
erklærer	razglasitev	erklære	razglasitev	V;IND;PRS;FIN;ACT	N;NOM;FEM;SG
slås	pretep	slås	pretep	V;NFIN;PASS	N;NOM;MASC;SG
slås	pretepanje	slås	pretepanje	V;NFIN;PASS	N;NOM;NEUT;SG
slås	bojevanje	slås	bojevanje	V;NFIN;PASS	N;NOM;NEUT;SG
kold	mraz	kold	mraz	ADJ;INDF;MASC+FEM;SG	N;NOM;MASC;SG
