και	और	και	और	CONJ	
λευκή	श्वेत	λευκός	श्वेत	ADJ;NOM;FEM;SG	
συγγενείς	आत्मीय	συγγένης	आत्मीय	N;NOM;MASC;PL	PROPN;NOM;MASC;SG;3
συγγενείς	रिश्तेदार	συγγένης	रिश्तेदार	N;NOM;MASC;PL	N;NOM;MASC;SG;3
συγγενείς	रिश्तेदारों	συγγένης	रिश्तेदार	N;NOM;MASC;PL	N;ACC;MASC;PL;3
λουί	लुई	λουί	लु	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
διαταγή	क्रम	διαταγή	क्रम	N;ACC;FEM;SG	N;NOM;MASC;SG;3
διαταγή	ऑर्डर	διαταγή	ऑर्डर	N;ACC;FEM;SG	N;NOM;MASC;SG;3
διαταγή	आदेश	διαταγή	आदेश	N;ACC;FEM;SG	N;NOM;MASC;SG;3
διαταγή	अनुक्रम	διαταγή	अनुक्रम	N;ACC;FEM;SG	N;NOM;MASC;SG;3
περιορισμένη	limited	περιορίζω	limited	V;PFV;NOM;FEM;SG;V.PTCP;PASS	PROPN;NOM
περιορισμένη	सीमित	περιορίζω	सीमित	V;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ
περιορισμένη	प्रतिबंधित	περιορίζω	प्रतिबंधित	V;PFV;NOM;FEM;SG;V.PTCP;PASS	ADJ
μετακίνηση	चाल	μετακίνηση	चाल	N;ACC;FEM;SG	N;NOM;FEM;SG;3
μετακίνηση	मूव	μετακίνηση	मूव	N;ACC;FEM;SG	
μετακίνηση	चलती	μετακίνηση	चल	N;ACC;FEM;SG	V;IPFV;FEM;SG;V.PTCP;ACT
μετακίνηση	आन्दोलन	μετακίνηση	आन्दोलन	N;ACC;FEM;SG	N;NOM;MASC;SG;3
μετακίνηση	आंदोलन	μετακίνηση	आंदोलन	N;ACC;FEM;SG	N;NOM;MASC;SG;3
μετακίνηση	गति	μετακίνηση	गति	N;ACC;FEM;SG	N;NOM;FEM;SG;3
ουάσινγκτον	वाशिंगटन	ουάσινγκτον	वाशिंगटन		PROPN;NOM;MASC;SG;3
ουάσινγκτον	वॉशिंगटन	ουάσινγκτον	वॉशिंगटन		PROPN;NOM;MASC;SG;3
πω	कहें	λέγω	कह	V;PFV;IND;SG;1;FIN;ACT	V;SBJV;PL;FIN;ACT
πω	बोलो	λέγω	बोलो	V;PFV;IND;SG;1;FIN;ACT	V;SBJV;SG;FIN;ACT
κύματα	लहरों	κύμα	लहर	N;NOM;NEUT;PL	N;ACC;FEM;PL;3
αναπτυχθεί	विकसित	αναπτύσσω	विकसित	V;PFV;NFIN;PASS	ADJ
φύλλο	शीट	φύλλο	शीट	N;NOM;NEUT;SG	
ελληνιστική	hellenistic	ελληνιστικός	hellenistic	ADJ;NOM;FEM;SG	V;IPFV;MASC;SG;V.PTCP;ACT
εφαρμόζεται	लागू	εφαρμόζω	लागू	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ
εφαρμόζεται	लागू	εφαρμόζω	लागू	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ
μεταφράσεις	अनुवाद	μεταφράση	अनुवाद	N;NOM;FEM;PL	N;NOM;MASC;SG;3
μικρότερες	छोटी	μικρός	छोटा	ADJ;NOM;CMPR;FEM;PL	ADJ;FEM;SG
περιλαμβάνεται	शामिल	περιλαμβάνω	शामिल	V;IPFV;IND;SG;3;PRS;FIN;PASS	ADJ
οργανισμοί	संगठन	οργανισμός	संगठन	N;NOM;MASC;PL	N;NOM;MASC;SG;3
οργανισμοί	जीवों	οργανισμός	जीव	N;NOM;MASC;PL	N;ACC;MASC;PL;3
οργανισμοί	संगठनों	οργανισμός	संगठन	N;NOM;MASC;PL	N;ACC;MASC;PL;3
νεκροί	मर	νεκρός	मर	ADJ;NOM;MASC;PL	V;ACT
νεκροί	मुर्दे	νεκρός	मुर्दा	ADJ;NOM;MASC;PL	N;NOM;MASC;SG;3
μεσογείου	भूमध्यसागरीय	μεσόγειος	भूमध्यसागरीय	PROPN;GEN;FEM;SG	ADJ
ψηλά	हाई	ψηλώ	हाई	ADV	N;NOM
ψηλά	आलीशान	ψηλώ	आलीशान	ADV	N;NOM;MASC;SG;3
ψηλά	उच्च	ψηλώ	उच्च	ADV	
ψηλά	ऊँची	ψηλώ	ऊँचा	ADV	ADJ;NOM;FEM;SG
εξωτερικά	बाहरी	εξωτερικά	बाहरी	ADV	ADJ;NOM
εξωτερικά	बाह्य	εξωτερικά	बाह्य	ADV	
επίδοση	निष्पादन	επίδοση	निष्पादन	N;ACC;FEM;SG	N;NOM;MASC;SG;3
επίδοση	प्रदर्शन	επίδοση	प्रदर्शन	N;ACC;FEM;SG	N;NOM;MASC;SG;3
επώνυμο	बेनाम	επώνυμο	बेनाम	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
συστατικά	संघटक	συστατικά	संघटक	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
κορέας	कोरिया	κορέας	कोरिया	PROPN;GEN;FEM;SG	PROPN;NOM;MASC;SG;3
κορέας	कोरियाई	κορέας	कोरियाई	PROPN;GEN;FEM;SG	PROPN;NOM;MASC;SG;3
ισλάμ	इस्लाम	ισλάμ	इस्लाम	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
ισλάμ	islam	ισλάμ	islam	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
ρωμαϊκό	रोमन	ρωμαϊκός	रोमन	ADJ;NOM;NEUT;SG	
στέμμα	ताज	στέμμα	ताज	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
στέμμα	क्राउन	στέμμα	क्राउन	N;NOM;NEUT;SG	
πόλεμοι	वॉर्स	πόλεμος	वॉर्स	N;NOM;MASC;PL	N;NOM;MASC;SG;3
πόλεμοι	युद्धों	πόλεμος	युद्ध	N;NOM;MASC;PL	N;ACC;MASC;PL;3
στρατιωτικά	मिलिट्री	στρατιωτικά	मिलिट्री	ADV	N;NOM;FEM;SG;3
στρατιωτικά	सैनिक	στρατιωτικά	सैनिक	ADV	N;NOM;MASC;SG;3
στρατιωτικά	फौजी	στρατιωτικά	फौजी	ADV	N;NOM;MASC;SG;3
στρατιωτικά	सैन्य	στρατιωτικά	सैन्य	ADV	N;NOM;MASC;SG;3
πλήρωμα	क्रू	πλήρωμα	क्रू	N;NOM;NEUT;SG	
χώροι	परिसर	χώρος	परिसर	N;NOM;MASC;PL	N;NOM;MASC;SG;3
χώροι	प्रांगण	χώρος	प्रांगण	N;NOM;MASC;PL	N;NOM;MASC;SG;3
χώροι	साइट	χώρος	साइट	N;NOM;MASC;PL	N;NOM;FEM;SG;3
χώροι	स्पेसेस	χώρος	स्पेसेस	N;NOM;MASC;PL	N;NOM;MASC;SG;3
σικάγο	शिकागो	σικάγος	शिकागो		PROPN;NOM;MASC;SG;3
επιστολές	letters	επιστολή	letters	N;NOM;FEM;PL	
επιστολές	अक्षर	επιστολή	अक्षर	N;NOM;FEM;PL	N;NOM;MASC;SG;3
σταθερό	स्थिर	σταθερός	स्थिर	ADJ;NOM;NEUT;SG	
σταθερό	फिक्स्ड	σταθερός	फिक्स्ड	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
αθλήματα	क्रीड़ा	άθλημα	क्रीड़ा	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
αθλήματα	खेलकूद	άθλημα	खेलकूद	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
αθλήματα	खेल	άθλημα	खेल	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
διαθέσιμο	उपलब्ध	διαθέσιμο	उपलब्ध	N;NOM;NEUT;SG	ADJ
διαθέσιμο	उपलब्धियाँ	διαθέσιμο	उपलब्धि	N;NOM;NEUT;SG	N;NOM;FEM;PL;3
έθνος	स्वदेश	έθνος	स्वदेश	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
στενή	संकीर्ण	στενός	संकीर्ण	ADJ;NOM;FEM;SG	
στενή	तंग	στενός	तंग	ADJ;NOM;FEM;SG	
παρέμβαση	इंटरफेस	παρέμβαση	इंटरफेस	N;ACC;FEM;SG	N;NOM;MASC;SG;3
παρέμβαση	हस्तक्षेप	παρέμβαση	हस्तक्षेप	N;ACC;FEM;SG	N;NOM;MASC;SG;3
παρέμβαση	हस्तक्षेप	παρέμβαση	हस्तक्षेप	N;ACC;FEM;SG	N;NOM;MASC;SG;3
ένοπλες	सशस्त्र	ένοπλος	सशस्त्र	ADJ;NOM;FEM;PL	N;NOM;MASC;SG;3
ένοπλες	हथियारबंद	ένοπλος	हथियारबंद	ADJ;NOM;FEM;PL	N;NOM;MASC;SG;3
λάδι	आयल	λάδι	आयल	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
σιδήρου	लोहा	σίδηρος	लोहा	N;GEN;NEUT;SG	
σιδήρου	लोहे	σίδηρος	लोहा	N;GEN;NEUT;SG	N;NOM;MASC;SG;3
σιδήρου	लौह	σίδηρος	लौह	N;GEN;NEUT;SG	
σιδήρου	आयरन	σίδηρος	आयरन	N;GEN;NEUT;SG	N;NOM;MASC;SG;3
αριστερή	बायां	αριστερής	बायां	ADJ;NOM;FEM;SG	
αριστερή	बाएं	αριστερής	बाएं	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
αριστερή	बाएँ	αριστερής	बाएं	ADJ;NOM;FEM;SG	
έντονο	तीव्र	έντονος	तीव्र	ADJ;NOM;NEUT;SG	
πυρκαγιά	अग्नि	πυρκαγιά	अग्नि	N;NOM;FEM;SG	PROPN;NOM;FEM;SG;3
μέτρηση	माप	μέτρηση	माप	N;NOM;FEM;SG	
επιχειρηματίας	व्यापारी	επιχειρηματίας	व्यापारी	N;NOM;FEM;SG	N;NOM;MASC;PL;3
επιχειρηματίας	उद्यमियों	επιχειρηματίας	उद्यमी	N;NOM;FEM;SG	N;ACC;MASC;PL;3
επιχειρηματίας	entrepreneur	επιχειρηματίας	ओंधुोठोपंप	N;NOM;FEM;SG	V;IPFV;MASC;SG;V.PTCP;ACT
επιχειρηματίας	उद्देश्यों	επιχειρηματίας	उद्देश्य	N;NOM;FEM;SG	N;ACC;MASC;PL;3
επιχειρηματίας	उद्योगों	επιχειρηματίας	उद्योग	N;NOM;FEM;SG	N;ACC;MASC;PL;3
χαρά	जॉय	χαρά	जॉय	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
έγγραφο	दस्तावेज	έγγραφο	दस्तावेज	N;NOM;NEUT;SG	N;NOM;MASC;PL;3
καταγραφή	रिकार्डिंग	καταγραφή	रिकार्डिंग	N;ACC;FEM;SG	N;NOM;FEM;SG;3
καταγραφή	रिकॉर्डिंग	καταγραφή	रिकॉर्डिंग	N;ACC;FEM;SG	N;NOM;FEM;SG;3
καταγραφή	रजिस्ट्रेशन	καταγραφή	रजिस्ट्रेशन	N;ACC;FEM;SG	N;NOM;MASC;SG;3
καταγραφή	पंजीकरण	καταγραφή	पंजीकरण	N;ACC;FEM;SG	N;NOM;MASC;SG;3
παρόμοιες	समान	παρόμοιος	समान	ADJ;NOM;FEM;PL	
μετάδοση	संचरण	μετάδοση	संचरण	N;ACC;FEM;SG	N;NOM;MASC;SG;3
μετάδοση	प्रेषण	μετάδοση	प्रेषण	N;ACC;FEM;SG	N;NOM;MASC;SG;3
μετάδοση	हस्तांतरण	μετάδοση	हस्तांतरण	N;ACC;FEM;SG	N;NOM;MASC;SG;3
μετάδοση	प्रसारण	μετάδοση	प्रसारण	N;ACC;FEM;SG	N;NOM;MASC;SG;3
μετάδοση	ब्रॉडकास्ट	μετάδοση	ब्रॉडकास्ट	N;ACC;FEM;SG	N;NOM;MASC;SG;3
μετάδοση	प्रसारण	μετάδοση	प्रसारण	N;ACC;FEM;SG	N;NOM;MASC;SG;3
ψυχή	आत्मा	ψυχή	आत्मा	N;ACC;FEM;SG	N;NOM;FEM;SG;3
αντιπάλους	प्रतिद्वंद्वी	αντίπαλος	प्रतिद्वंद्वी	N;ACC;MASC;PL	N;NOM;MASC;SG;3
αξίζει	लायक	αξίζω	लायक	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADP
τείχος	wall	τείχος	wall	N;NOM;NEUT;SG	
ιστορικούς	इतिहासकारों	ιστορικός	इतिहासकार	ADJ;ACC;MASC;PL	N;ACC;MASC;PL;3
πτολεμαίος	टॉलेमी	πτολεμαίος	टॉलेमी	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
χιλ	पहाड़ी	χιλ	पहाडी		N;NOM;FEM;SG;3
χιλ	हिल	χιλ	हिल		
ζημιές	क्षतिपूर्ति	ζημιά	क्षतिपूर्ति	N;NOM;FEM;PL	N;NOM;FEM;SG;3
ζημιές	नुक्सान	ζημιά	नुक्सान	N;NOM;FEM;PL	N;NOM;MASC;SG;3
ζημιές	नुकसान	ζημιά	नुकसान	N;NOM;FEM;PL	N;NOM;MASC;SG;3
ζημιές	क्षति	ζημιά	क्षति	N;NOM;FEM;PL	N;NOM;FEM;SG;3
πέφτει	प्रपात	πέφτω	प्रपात	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;MASC;SG;3
πέφτει	झरना	πέφτω	झरना	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;MASC;SG;3
πέφτει	जलप्रपात	πέφτω	जलप्रपात	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;NOM;MASC;SG;3
ομιλία	स्पीच	ομιλία	स्पीच	N;ACC;FEM;SG	
ομιλία	भाषण	ομιλία	भाषण	N;ACC;FEM;SG	N;NOM;MASC;SG;3
ομιλία	वाक्	ομιλία	वाक्	N;ACC;FEM;SG	
ομιλία	वाक	ομιλία	वाक	N;ACC;FEM;SG	
ελπίδα	होप	ελπίδα	होप	N;NOM;FEM;SG	
ελπίδα	आशा	ελπίδα	आशा	N;NOM;FEM;SG	PROPN;NOM;FEM;SG;3
σύλληψη	गिरफ़्तारी	σύλληψη	गिरफफ्तारी	N;ACC;FEM;SG	N;NOM;FEM;SG;3
σύλληψη	गिरफ्तार	σύλληψη	गिरफ्तार	N;ACC;FEM;SG	ADJ
σύλληψη	गिरफ्तारी	σύλληψη	गिरफ्तारी	N;ACC;FEM;SG	N;NOM;FEM;SG;3
σύλληψη	गिरफ़्तार	σύλληψη	गिरफफ्तार	N;ACC;FEM;SG	N;NOM;MASC;SG;3
σύλληψη	कैप्चर	σύλληψη	कैप्चर	N;ACC;FEM;SG	N;NOM;MASC;SG;3
λευκωσία	निकोसिया	λευκωσία	निकोसिया	PROPN;ACC;FEM;SG	
χημικά	रसायन	χημικά	रसायन	ADV	N;NOM;MASC;SG;3
χημικά	केमिकल	χημικά	केमिकल	ADV	N;NOM;MASC;SG;3
χημικά	रासायनिक	χημικά	रासायनिक	ADV	N;NOM;MASC;SG;3
χημικά	रसायन	χημικά	रसायन	ADV	N;NOM;MASC;SG;3
σικελία	सिसिली	σικελία	सिसिली	PROPN;ACC;FEM;SG	PROPN;NOM;FEM;SG;3
πλούσιο	रिच	πλούσιο	रिच	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
πλούσιο	अमीर	πλούσιο	अमीर	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
πλούσιο	समृद्ध	πλούσιο	समृद्ध	ADJ;NOM;NEUT;SG	ADP
γρήγορη	त्वरित	γρήγορος	त्वरित	ADJ;NOM;FEM;SG	PROPN;NOM;SG;3
γρήγορη	क्विक	γρήγορος	क्विक	ADJ;NOM;FEM;SG	
γρήγορη	जल्दी	γρήγορος	जल्दी	ADJ;NOM;FEM;SG	ADV
γρήγορη	तीव्र	γρήγορος	तीव्र	ADJ;NOM;FEM;SG	
γρήγορη	फास्ट	γρήγορος	फास्ट	ADJ;NOM;FEM;SG	
γρήγορη	फ़ास्ट	γρήγορος	फाास्ट	ADJ;NOM;FEM;SG	
γρήγορη	तेज़	γρήγορος	तेज़	ADJ;NOM;FEM;SG	
εξοπλισμό	गियर	εξοπλισμός	गियर	N;ACC;MASC;SG	N;NOM;MASC;SG;3
εκπαιδευτικό	शैक्षिक	εκπαιδευτικός	शैक्षिक	ADJ;NOM;NEUT;SG	N;NOM
βαριά	भारी	βαριός	भारी	ADV	ADJ;NOM
ουρανό	आसमानी	ουρανός	आसमानी	N;ACC;MASC;SG	
ουρανό	आकाश	ουρανός	आकाश	N;ACC;MASC;SG	N;NOM;MASC;SG;3
ουρανό	आसमां	ουρανός	आसमां	N;ACC;MASC;SG	PROPN;NOM;MASC;SG;3
ουρανό	आसमान	ουρανός	आसमान	N;ACC;MASC;SG	N;NOM;MASC;SG;3
κόντρα	contra	κόντρο	contra	N;ACC;FEM;SG	
κόντρα	खिलाफ	κόντρο	खिलाफ	N;ACC;FEM;SG	ADP
κόντρα	विरुद्ध	κόντρο	विरुद्ध	N;ACC;FEM;SG	ADP
κόντρα	विरूद्ध	κόντρο	विरूद्ध	N;ACC;FEM;SG	CONJ
ταξίδια	यात्रा	ταξίδι	यात्रा	N;NOM;NEUT;PL	N;NOM;FEM;SG;3
ταξίδια	सफर	ταξίδι	सफर	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
θετικές	धनात्मक	θετικός	धनात्मक	ADJ;NOM;FEM;PL	N;NOM;MASC;SG;3
φάσεις	स्टेज	φάση	स्टेज	N;NOM;FEM;PL	N;NOM;MASC;SG;3
φάσεις	चरण	φάση	चरण	N;NOM;FEM;PL	N;NOM;MASC;SG;3
ήρωες	वीरों	ήρωο	वीर	N;NOM;MASC;PL	N;ACC;MASC;PL;3
ήρωες	नायक	ήρωο	नायक	N;NOM;MASC;PL	PROPN;NOM;MASC;SG;3
κρις	क्रिस	κρις	क्रिस		PROPN;NOM;MASC;SG;3
προορισμό	मंज़िल	προορισμός	मंज़िल	N;ACC;MASC;SG	N;NOM;FEM;SG;3
προορισμό	गंतव्य	προορισμός	गंतव्य	N;ACC;MASC;SG	N;NOM;MASC;SG;3
σκοτώσει	किल	σκοτώνω	किल	V;PFV;NFIN;ACT	PROPN;NOM;MASC;SG;3
επιδόσεις	निष्पादन	επίδοση	निष्पादन	N;NOM;FEM;PL	N;NOM;MASC;SG;3
επιδόσεις	प्रदर्शन	επίδοση	प्रदर्शन	N;NOM;FEM;PL	N;NOM;MASC;SG;3
τριάντα	thirty	τριάντα	thirty	NUM;NOM;NEUT;PL	
σταθμούς	स्टेशन	σταθμός	स्टेशन	N;ACC;MASC;PL	N;NOM;MASC;SG;3
αντικατάσταση	बदलें	αντικατάσταση	बदल	N;ACC;FEM;SG	V;SBJV;SG;FIN;ACT
αντικατάσταση	मिटाकर	αντικατάσταση	मिटा	N;ACC;FEM;SG	V;V.CVB
αντικατάσταση	प्रतिस्थापन	αντικατάσταση	प्रतिस्थापन	N;ACC;FEM;SG	N;NOM;MASC;SG;3
αντικατάσταση	स्थानापन्न	αντικατάσταση	स्थानापन्न	N;ACC;FEM;SG	N;NOM;MASC;SG;3
αντικατάσταση	प्रतिस्थापन	αντικατάσταση	प्रतिस्थापन	N;ACC;FEM;SG	N;NOM;MASC;SG;3
αντικατάσταση	बदला	αντικατάσταση	बदल	N;ACC;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
αντικατάσταση	बदलना	αντικατάσταση	बदल	N;ACC;FEM;SG	V;MASC;NFIN;ACT
συνεργάτης	सहयोगी	συνεργάτης	सहयोगी	N;NOM;MASC;SG	N;NOM;MASC;PL;3
συνεργάτης	संबद्ध	συνεργάτης	संबद्ध	N;NOM;MASC;SG	PROPN;NOM;SG;3
κλαμπ	क्लब	κλαμπ	क्लब		N;NOM;MASC;SG;3
κλαμπ	क्लबों	κλαμπ	क्लब		N;ACC;MASC;PL;3
κλαμπ	चिड़ी	κλαμπ	चिड़ी		V;PFV;FEM;SG;V.PTCP;ACT
κλαμπ	क्लब	κλαμπ	क्लब		N;NOM;MASC;SG;3
εσωτερικά	आंतरिक	εσωτερικά	आंतरिक	ADV	ADJ;NOM
εσωτερικά	आन्तरिक	εσωτερικά	आन्तरिक	ADV	ADJ;NOM
εσωτερικά	आतंरिक	εσωτερικά	आतंरिक	ADV	N;NOM;MASC;SG;3
επιρροές	प्रभाव	επιρροή	प्रभाव	N;NOM;FEM;PL	N;NOM;MASC;SG;3
περού	पेरू	περ	पेरू	PROPN;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
έπαιζε	निभाई	παίζω	निभा	V;IPFV;IND;SG;3;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP;ACT
σεναριογράφος	screenwriter	σεναριογράφος	screenwriter	N;NOM;MASC;SG	V;IPFV;MASC;PL;V.PTCP;ACT
αστερισμό	तारामंडल	αστερισμός	तारामंडल	N;ACC;MASC;SG	N;NOM;MASC;SG;3
αστερισμό	नक्षत्र	αστερισμός	नक्षत्र	N;ACC;MASC;SG	N;NOM;MASC;SG;3
υποχρεώσεις	दायित्वों	υποχρέωση	दायित्व	N;NOM;FEM;PL	N;ACC;MASC;PL;3
υποχρεώσεις	देनदारी	υποχρέωση	देनदारी	N;NOM;FEM;PL	N;NOM;FEM;SG;3
υποχρεώσεις	प्रतिज्ञाओं	υποχρέωση	प्रतिज्ञा	N;NOM;FEM;PL	N;ACC;FEM;PL;3
μπράιαν	ब्रायन	μπράιαν	ब्रायन		PROPN;NOM;MASC;SG;3
ιδιωτική	प्राइवेट	ιδιωτικός	प्राइवेट	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
θετικά	सकारात्मक	θετικός	सकारात्मक	ADV	ADJ
θετικά	धनात्मक	θετικός	धनात्मक	ADV	N;NOM;MASC;SG;3
δυσκολίες	कठिनाई	δυσκολία	कठिनाई	N;NOM;FEM;PL	N;NOM;FEM;SG;3
δυσκολίες	परेशानी	δυσκολία	परेशानी	N;NOM;FEM;PL	N;NOM;FEM;SG;3
δυσκολίες	कठिनाइयों	δυσκολία	कठिनाई	N;NOM;FEM;PL	N;ACC;FEM;PL;3
τάφο	मज़ार	τάφος	मज़ार	N;ACC;MASC;SG	N;NOM;FEM;SG;3
τάφο	मकबरा	τάφος	मकबरा	N;ACC;MASC;SG	PROPN;NOM;MASC;SG;3
τάφο	कब्र	τάφος	कब्र	N;ACC;MASC;SG	N;NOM;FEM;SG;3
τάφο	संगीन	τάφος	संगीन	N;ACC;MASC;SG	
στάλθηκε	भेजी	στέλνω	भेज	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;FEM;SG;V.PTCP;ACT
στάλθηκε	प्रेषित	στέλνω	प्रेषित	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ
στάλθηκε	भेजा	στέλνω	भेज	V;PFV;IND;SG;3;PST;FIN;PASS	V;PFV;MASC;SG;V.PTCP;ACT
ατομικό	व्यक्ति	ατομικός	व्यक्ति	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
βουλγαρική	बुल्गारियाई	βουλγάρικος	बुल्गारियाई	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
αραβική	अरब	αραβικός	अरब	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
αραβική	अरबी	αραβικός	अरबी	ADJ;NOM;FEM;SG	PROPN;NOM;FEM;SG;3
δωρεάν	निशुल्क	δωρεάν	निशुल्क		N;NOM;MASC;SG;3
δωρεάν	मुफ्त	δωρεάν	मुफ्त		N;NOM;MASC;SG;3
δωρεάν	मुक्त	δωρεάν	मुक्त		ADJ
δωρεάν	फ्री	δωρεάν	फ्री		
δωρεάν	आजाद	δωρεάν	आजाद		PROPN;NOM;MASC;SG;3
δωρεάν	फ़्री	δωρεάν	फा्री		
βελιγραδίου	बेलग्रेड	βελιγράδιο	बेलग्रेड	PROPN;GEN;NEUT;SG	PROPN;NOM;MASC;SG;3
εξετάσεις	जाँच	εξέταση	जाँच	N;NOM;FEM;PL	N;NOM;FEM;SG;3
εξετάσεις	परीक्षण	εξέταση	परीक्षण	N;NOM;FEM;PL	N;NOM;MASC;SG;3
εξετάσεις	परीक्षा	εξέταση	परीक्षा	N;NOM;FEM;PL	N;NOM;FEM;SG;3
εξετάσεις	एग्जाम	εξέταση	एग्जाम	N;NOM;FEM;PL	N;NOM;MASC;SG;3
εξετάσεις	exam	εξέταση	exam	N;NOM;FEM;PL	
εξετάσεις	परीक्षा	εξέταση	परीक्षा	N;NOM;FEM;PL	N;NOM;FEM;SG;3
εξετάσεις	exams	εξέταση	exams	N;NOM;FEM;PL	
συνδυασμός	संयोजन	συνδυασμός	संयोजन	N;NOM;MASC;SG	
τζαζ	जैज़	τζαζ	जैज़		PROPN;NOM;MASC;SG;3
λάθη	ग़लतियों	λάθος	ग़लती	N;NOM;NEUT;PL	N;ACC;FEM;PL;3
λάθη	त्रुटि	λάθος	त्रुटि	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
σόλο	solo	σόλος	solo		
σόλο	सोलो	σόλος	सोलो		
αντάρτες	विद्रोहियों	αντάρτης	विद्रोही	N;NOM;MASC;PL	N;ACC;MASC;PL;3
προσωπικότητα	व्यक्तित्व	προσωπικότητα	व्यक्तित्व	N;ACC;FEM;SG	N;NOM;MASC;SG;3
βελιγράδι	बेलग्रेड	βελιγράδι	बेलग्रेड	PROPN;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
οπαδούς	अनुयायी	οπαδός	अनुयायी	N;ACC;MASC;PL	N;NOM;MASC;PL;3
οπαδούς	अनुसरणकर्ता	οπαδός	अनुसरणकर्ता	N;ACC;MASC;PL	N;NOM;MASC;SG;3
διάσπαση	विभाजित	διάσπαση	विभाजित	N;NOM;FEM;SG	ADJ
στάλιν	स्टालिन	στάλιν	स्टालिन		PROPN;NOM;MASC;SG;3
στόχους	लक्ष्य	στόχος	लक्ष्य	N;ACC;MASC;PL	N;NOM;MASC;SG;3
επαγγελματικό	पेशेवर	επαγγελματικός	पेशेवर	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
μαύρα	काले	μαύρας	काला	N;NOM;NEUT;PL	ADJ;NOM;MASC;PL
μαύρα	काला	μαύρας	काला	N;NOM;NEUT;PL	ADJ;NOM;MASC;SG
μαύρα	ब्लैक	μαύρας	ब्लैक	N;NOM;NEUT;PL	
κίνδυνος	रिस्क	κίνδυνος	रिस्क	N;NOM;MASC;SG	
σχεδιασμού	नियोजन	σχεδιασμός	नियोजन	N;GEN;MASC;SG	N;NOM;MASC;SG;3
φυσικοί	physicists	φυσικός	physicists	ADJ;NOM;MASC;PL	N;NOM;MASC;SG;3
κατανάλωση	उपभोग	κατανάλωση	उपभोग	N;ACC;FEM;SG	N;NOM;MASC;SG;3
κατανάλωση	खपत	κατανάλωση	खपत	N;ACC;FEM;SG	N;NOM;FEM;SG;3
φλωρεντία	फ्लोरेंस	φλωρεντία	फ्लोरेंस	PROPN;NOM;FEM;SG	N;NOM;MASC;SG;3
μονακό	मोनाको	μονακός	मोनाको		PROPN;NOM;MASC;SG;3
υψηλότερο	सर्वोच्च	ψηλός	सर्वोच्च	ADJ;NOM;CMPR;NEUT;SG	PROPN;NOM;MASC;SG;3
υψηλότερο	उच्चतम	ψηλός	उच्चतम	ADJ;NOM;CMPR;NEUT;SG	
υψηλότερο	उच्चतर	ψηλός	उच्चतर	ADJ;NOM;CMPR;NEUT;SG	
μωάμεθ	मुहम्मद	μωάμεθ	मुहम्मद	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
μεταφορές	हस्तांतरण	μεταφορά	हस्तांतरण	N;NOM;FEM;PL	N;NOM;MASC;SG;3
μεταφορές	परिवहन	μεταφορά	परिवहन	N;NOM;FEM;PL	N;NOM;MASC;SG;3
μεταφορές	ट्रांसपोर्ट	μεταφορά	ट्रांसपोर्ट	N;NOM;FEM;PL	N;NOM;MASC;SG;3
