間	przerwa	間	przerwa	N	
開除	oddalenie	開除	oddalić	V	N;PFV;NOM;NEUT;SG;POS;V.MSDR
開除	zwolnienie	開除	zwolnienie	V	N;NOM;NEUT;SG;V.MSDR
開除	zwolnienia	開除	zwolnienie	V	N;NOM;NEUT;SG
持久	trwałego	持久	trwały	V	ADJ;ACC;MASC;SG
字元	postaci	字元	postać	N	
豆腐	tofu	豆腐	tof	N	
捐助	dotacje	捐助	dotacja	V	N;NOM;FEM;PL
捐助	datki	捐助	datek	V	N;ACC;MASC;PL
捐助	wpłat	捐助	wpłat	V	
捐助	darowizny	捐助	darowizna	V	
捐助	wpłaty	捐助	wpłata	V	
濕地	mokradeł	濕地	mokradło	N	
濕地	podmokłych	濕地	podmokny	N	ADJ;GEN;MASC;PL
東正	prawosławie	東正	prawosława	PROPN	N;NOM;MASC;SG
東正	prawosławny	東正	prawosławny	PROPN	ADJ;NOM;MASC;SG
燕子	jaskółki	燕子	jaskółki	PROPN	N;NOM;FEM;PL
會	księgowych	會	księgowy	N	
會	księgowa	會	księgowy	N	
會	księgowy	會	księgowy	N	
橢	owalne	橢	owalny	N	ADJ;NOM;NEUT;SG
橢	elipsa	橢	elipsa	N	
橢	eliptyczne	橢	eliptyczny	N	ADJ;NOM;NEUT;SG
追逐	pościgu	追逐	pościg	V	N;GEN;MASC;SG
追逐	pogoń	追逐	pogonić	V	
追逐	pościg	追逐	pościg	V	N;NOM;MASC;SG
追逐	pogoń	追逐	pogonić	V	
追逐	pościg	追逐	pościg	V	N;NOM;MASC;SG
追逐	chase	追逐	chasa	V	
君士坦丁	constantine	君士坦丁	constantiny	PROPN	
美式	football	美式	football	N	
美式	futbol	美式	futbol	N	
天然	gazu	天然	gaz	ADJ	
天然	gaz	天然	gaz	ADJ	N;NOM;MASC;SG
方塊	kostki	方塊	kostka	N	
方塊	kostka	方塊	kostka	N	
方塊	kwadratowy	方塊	kwadratowy	N	ADJ;NOM;MASC;SG
方塊	square	方塊	squary	N	
方塊	kwadratowe	方塊	kwadratowy	N	ADJ;NOM;NEUT;SG
均衡	wyważone	均衡	wywazić	N	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
均衡	zrównoważona	均衡	zrównoważyć	N	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
均衡	zrównoważony	均衡	zrównoważyć	N	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
均衡	zrównoważone	均衡	zrównoważyć	N	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
均衡	równowadze	均衡	równowadzić	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
叢林	dżungli	叢林	dżungli	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
藏	tybetański	藏	tybetański	PROPN	ADJ;NOM;MASC;SG
宣教	dawa	宣教	dawać	N	
保管	opieka	保管	opieka	V	
粗糙	ostro	粗糙	ostro	N	
粗糙	szorstki	粗糙	szorstki	N	ADJ;NOM;MASC;SG
激情	namiętny	激情	namiętny	N	ADJ;NOM;MASC;SG
擦音	bezdźwięczna	擦音	bezdźwięczny	N	ADJ;NOM;FEM;SG
珍貴	cenne	珍貴	cenny	N	ADJ;NOM;NEUT;SG
珍貴	cenna	珍貴	cenna	N	ADJ;NOM;FEM;SG
珍貴	cenny	珍貴	cenny	N	ADJ;NOM;MASC;SG
長春	changchun	長春	changchun	PROPN	PROPN;NOM;MASC;SG
通航	żeglowne	通航	żeglowny	V	ADJ;NOM;NEUT;SG
毒素	toksyn	毒素	toksyn	N	V;IPFV;IND;SG;FIN;ACT
轎車	sedan	轎車	sedan	N	
俄亥俄	ohio	俄亥俄	ohio	PROPN	PROPN;NOM;MASC;SG
獅子	leo	獅子	leo	N	
夔	kui	夔	kuić	PROPN	
約瑟	józefie	約瑟	józefia	PROPN	N;VOC;MASC;SG
約瑟	joseph	約瑟	joseph	PROPN	PROPN;NOM;MASC;SG
約瑟	józef	約瑟	józef	PROPN	PROPN;NOM;MASC;SG
約瑟	józefa	約瑟	józef	PROPN	
約旦	jordana	約旦	jordać	PROPN	
約旦	jordan	約旦	jordany	PROPN	
性	płci	性	płzcieć	N	
性	sex	性	sex	N	
昨天	wczoraj	昨天	wczoraj	N	ADV
佛法	dharma	佛法	dharma	N	
詳情	detale	詳情	detała	N	
十	dziesięć	十	dziesięć	NUM	
十	dziesiątka	十	dziesiątka	NUM	N;NOM;FEM;SG
金石	lazuli	金石	lazula	PROPN	
交配	ziomek	交配	ziomek	V	N;NOM;MASC;SG
交配	mat	交配	mata	V	
交配	godowy	交配	godowy	V	ADJ;NOM;MASC;SG
小川	ogawa	小川	ogawa	PROPN	
投射	rzut	投射	rzut	V	N;NOM;MASC;SG
投射	projekcji	投射	projekcja	V	N;GEN;FEM;SG
漢	seulu	漢	seul	PROPN	PROPN;NOM;MASC;SG
藥用	lecznicze	藥用	leczniczy	N	ADJ;NOM;NEUT;SG
藥用	leczniczy	藥用	leczniczy	N	
酸性	kwaśnych	酸性	kwaśny	N	ADJ;GEN;MASC;PL
多明尼加	dominikany	多明尼加	dominikany	PROPN	
猴子	małpy	猴子	małpa	N	
抬	podnieść	抬	podnieść	ADP	V;PFV;NFIN;ACT
可	wiarygodne	可	wiarygodny	V	ADJ;NOM;NEUT;SG
可	wiarygodny	可	wiarygodny	V	ADJ;NOM;MASC;SG
可	wiarygodna	可	wiarygodny	V	
歐文	owena	歐文	owen	PROPN	
歐文	owen	歐文	owen	PROPN	PROPN;NOM;MASC;SG
歐文	irving	歐文	irving	PROPN	PROPN;NOM;MASC;SG
俄	rosyjski	俄	rosyjski	PROPN	ADJ;NOM;MASC;SG
俄	rosyjska	俄	rosyjski	PROPN	ADJ;NOM;FEM;SG
俄	rosyjskie	俄	rosyjski	PROPN	ADJ;NOM;NEUT;SG
俄	rosjanin	俄	rosjanin	PROPN	N;NOM;MASC;SG
妄想	paranoi	妄想	parania	N	
成年	dorosłych	成年	dorosły	V	ADJ;GEN;MASC;PL
成年	dorosłych	成年	dorosły	V	ADJ;GEN;MASC;PL
冬青	holly	冬青	holly	PROPN	
大炮	działo	大炮	dziać	N	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
明智	mądrze	明智	mądrze	N	
明智	mądre	明智	mądry	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
抽籤	remis	抽籤	remis	V	N;NOM;MASC;SG
抽籤	losowanie	抽籤	losowanie	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
聖人	święci	聖人	święcić	N	V;IPFV;IND;PL;2;PRS;FIN;ACT
聖人	święty	聖人	święty	N	
聖人	święta	聖人	święto	N	
聖人	saint	聖人	saint	N	
阿瑟	arthur	阿瑟	arthura	PROPN	PROPN;NOM;MASC;SG
阿瑟	arturze	阿瑟	artura	PROPN	
阿瑟	artur	阿瑟	artura	PROPN	PROPN;NOM;MASC;SG
捕獲	złapanie	捕獲	złapać	V	N;PFV;NOM;NEUT;SG;POS;V.MSDR
優點	zalet	優點	zalet	N	
思維	myśleć	思維	myśleć	N	V;IPFV;NFIN;ACT
思維	myśli	思維	myśleć	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
計程	taxi	計程	taxi	N	
布魯塞爾	bruksela	布魯塞爾	bruksel	PROPN	N;NOM;FEM;SG
布魯塞爾	brukseli	布魯塞爾	bruksel	PROPN	
歸還	restytucji	歸還	restytucja	V	N;GEN;FEM;SG
失業	bezrobotny	失業	bezrobotny	V	ADJ;NOM;MASC;SG
失業	bezrobotnych	失業	bezrobotny	V	N;GEN;MASC;PL
失業	bezrobocia	失業	bezrobocie	V	N;GEN;NEUT;SG
失業	bezrobocie	失業	bezrobocie	V	N;NOM;NEUT;SG
砷	arsenu	砷	arsen	N	
野生	przyroda	野生	przyroda	ADJ	N;NOM;FEM;SG
野生	przyrody	野生	przyroda	ADJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
天花	ospa	天花	ospa	N	
昂貴	drogie	昂貴	drogi	N	
昂貴	drogo	昂貴	drogo	N	ADV
昂貴	kosztowne	昂貴	kosztowny	N	ADJ;NOM;NEUT;SG
昂貴	drogi	昂貴	droga	N	
大	cannabis	大	cannabis	PART	
大	konopie	大	konop	PART	
大	marihuanę	大	marihuana	PART	N;ACC;FEM;SG
大	marihuany	大	marihuana	PART	
大	marihuana	大	marihuan	PART	N;NOM;FEM;SG
大	trawka	大	trawka	PART	N;NOM;FEM;SG
大	trawa	大	trawa	PART	N;NOM;FEM;SG
大	zioło	大	zioło	PART	N;NOM;NEUT;SG
可	podejrzany	可	podejrzany	V	ADJ;NOM;MASC;SG
可	podejrzana	可	podejrzany	V	ADJ;NOM;FEM;SG
可	podejrzane	可	podejrzany	V	ADJ;NOM;NEUT;SG
可	podejrzliwy	可	podejrzliwy	V	ADJ;NOM;MASC;SG
小丑	klaun	小丑	klaun	N	
抗	antybiotyki	抗	antybiotyk	V	N;NOM;MASC;PL
抗	antybiotyków	抗	antybiotyk	V	N;GEN;MASC;PL
抗	antybiotyk	抗	antybiotyk	V	N;NOM;MASC;SG
抗	antybiotyki	抗	antybiotyk	V	N;NOM;MASC;PL
抗	antybiotyk	抗	antybiotyk	V	N;NOM;MASC;SG
專營	koncesje	專營	koncesja	V	N;NOM;FEM;PL
專營	franczyzy	專營	franczyza	V	
自轉	obrót	自轉	obrót	V	N;NOM;MASC;SG
自轉	rotacji	自轉	rotacja	V	N;GEN;FEM;SG
大通	gonić	大通	gonić	PROPN	V;IPFV;NFIN;ACT
大通	pogoń	大通	pogonić	PROPN	
大通	pościg	大通	pościg	PROPN	N;NOM;MASC;SG
大通	chase	大通	chasa	PROPN	
破碎	rozbite	破碎	rozbić	N	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
破碎	złamane	破碎	złamać	N	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
破碎	łamane	破碎	łamać	N	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
破碎	złamana	破碎	złamać	N	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
破碎	złamany	破碎	złamać	N	
破碎	rozbity	破碎	rozbić	N	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
語氣	tonie	語氣	tonąć	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
語氣	ton	語氣	ton	N	
老年	starsza	老年	stary	N	ADJ;NOM;CMPR;FEM;SG
老年	starsze	老年	stary	N	ADJ;NOM;CMPR;NEUT;SG
老年	starsi	老年	stary	N	ADJ;NOM;CMPR;MASC;PL
老年	starszy	老年	stary	N	ADJ;NOM;CMPR;MASC;SG
隔離	kwarantanny	隔離	kwarantanny	N	
隔離	odizolowane	隔離	odizolować	N	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
砸	smash	砸	smash	ADP	
砸	smashing	砸	smashing	ADP	
生病	chora	生病	chory	V	ADJ;NOM;FEM;SG
生病	chore	生病	chory	V	
生病	chora	生病	chory	V	ADJ;NOM;FEM;SG
生病	chorzy	生病	chorzyć	V	N;NOM;MASC;PL
摔	wrestling	摔	wrestling	N	
高爾夫	golf	高爾夫	golf	N	
濟南	jinan	濟南	jinan	PROPN	N;NOM;MASC;SG
山脊	ridge	山脊	ridge	N	
惡作	żart	惡作	żart	N	
日產	nissan	日產	nissany	N	
青蛙	żaby	青蛙	żaby	N	
青蛙	żaby	青蛙	żaby	N	
高	skutecznie	高	skutecznie	ADJ	ADV
高	efektywnie	高	efektywnie	ADJ	ADV
探險	explorer	探險	explorer	V	
探險	badacze	探險	badacz	V	N;NOM;MASC;PL
探險	odkrywcy	探險	odkrywca	V	N;NOM;MASC;PL
拖延	opóźnienia	拖延	opóźnienie	V	N;NOM;NEUT;SG
拖延	opóźnienie	拖延	opóźnienie	V	N;NOM;NEUT;SG
拖延	opóźnienia	拖延	opóźnienie	V	N;NOM;NEUT;SG
拖延	opóźnień	拖延	opóźnienie	V	N;GEN;NEUT;PL
拖延	opóźnienie	拖延	opóźnienie	V	N;NOM;NEUT;SG
伴隨	towarzyszący	伴隨	towarzyszący	V	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
伴隨	towarzyszących	伴隨	towarzyszyć	V	ADJ;IPFV;ACC;MASC;PL;POS;V.PTCP;ACT
伴隨	towarzyszące	伴隨	towarzyszyć	V	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
安息	odp	安息	odp	PROPN	
安息	rip	安息	ripa	PROPN	
預留	zastrzeżony	預留	zastrzeżyć	V	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
預留	zarezerwowany	預留	zarezerwować	V	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
預留	zastrzeżone	預留	zastrzeżyć	V	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
預留	zarezerwowane	預留	zarezerwować	V	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
商家	merchant	商家	merchant	N	V;IPFV;IND;SG;PRS;FIN;ACT
鮑威爾	powell	鮑威爾	powell	PROPN	PROPN;NOM;MASC;SG
混合	mieszaniny	混合	mieszanina	V	N;ACC;FEM;SG
混合	mieszanka	混合	mieszanka	V	N;NOM;FEM;SG
混合	mieszanina	混合	mieszanina	V	N;NOM;FEM;SG
混合	mieszanek	混合	mieszanek	V	N;GEN;FEM;PL
混合	mieszanki	混合	mieszanka	V	N;ACC;FEM;PL
混合	mieszanin	混合	mieszanin	V	
混合	mieszaniny	混合	mieszanina	V	N;ACC;FEM;SG
粉紅	różowy	粉紅	różowy	N	
粉紅	różowa	粉紅	różowy	N	ADJ;NOM;FEM;SG
粉紅	róż	粉紅	róż	N	
粉紅	różowe	粉紅	różowy	N	ADJ;NOM;NEUT;SG
粉紅	różowo	粉紅	różowo	N	ADV
先例	precedensy	先例	precedens	N	
頸部	szyja	頸部	szyj	N	
頸部	szyi	頸部	szyi	N	
脆	krucha	脆	kruchy	N	ADJ;NOM;FEM;SG
脆	delikatna	脆	delikatny	N	ADJ;NOM;FEM;SG
脆	kruche	脆	kruchy	N	
脆	delikatne	脆	delikatny	N	ADJ;NOM;NEUT;SG
脆	podatne	脆	podatny	N	ADJ;NOM;NEUT;SG
脆	wrażliwych	脆	wrażliwy	N	ADJ;GEN;MASC;PL
脆	wrażliwe	脆	wrażliwy	N	ADJ;NOM;NEUT;SG
脆	podatny	脆	podatny	N	ADJ;NOM;MASC;SG
定制	dostosowany	定制	dostosować	V	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
定制	dostosowane	定制	dostosować	V	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
定制	dostosowywanie	定制	dostosowywanie	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
定制	zwyczaj	定制	zwyczaj	V	N;NOM;MASC;SG
定制	niestandardowych	定制	niestandardowy	V	ADJ;GEN;MASC;PL
定制	niestandardowe	定制	upandardowy	V	ADJ;NOM;NEUT;SG
定制	własny	定制	własny	V	ADJ;NOM;MASC;SG
火花	sparks	火花	sparks	N	V;IPFV;IND;SG;2;PRS;FIN;ACT
火花	iskry	火花	iskry	N	
火花	iskra	火花	iskry	N	
火花	iskry	火花	iskry	N	
莽	mang	莽	mang	PROPN	
協和	concord	協和	concord	PROPN	N;NOM;MASC;SG
伸展	stretch	伸展	stret	N	
亞馬遜	amazon	亞馬遜	amazon	PROPN	
微	słabo	微	słabo	N	ADV
眼淚	łez	眼淚	łza	N	
眼淚	łzy	眼淚	łza	N	V;IPFV;IND;SG;FIN;ACT
電影	kin	電影	kin	N	
海牙	hadze	海牙	haga	PROPN	
領導	dowódca	領導	dowódca	V	N;NOM;MASC;SG
領導	lider	領導	lider	V	N;NOM;MASC;SG
領導	przywódca	領導	przywódca	V	N;NOM;MASC;SG
領導	leader	領導	leader	V	
領導	przywódców	領導	przywódca	V	N;ACC;MASC;PL
領導	liderów	領導	lider	V	N;GEN;MASC;PL
領導	przywódcy	領導	przywódca	V	N;NOM;MASC;SG
領導	liderzy	領導	lider	V	N;NOM;MASC;PL
言	słowa	言	słowo	V	N;NOM;NEUT;PL
言	słów	言	słowo	V	N;GEN;NEUT;PL
肢	kończyn	肢	kończyna	N	
拆解	demontażu	拆解	demontaż	V	N;GEN;MASC;SG
容忍	tolerancja	容忍	tolerancja	V	N;NOM;FEM;SG
容忍	tolerancji	容忍	tolerancja	V	N;GEN;FEM;SG
容忍	tolerowane	容忍	tolerować	V	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
四	kwartet	四	kwartet	NUM	N;NOM;MASC;SG
州際	międzystanowej	州際	międzystanowy	N	ADJ;GEN;FEM;SG
偏好	preferowany	偏好	preferować	N	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
偏好	wolała	偏好	woleć	N	V;IPFV;FEM;IND;SG;PST;FIN;ACT
偏好	wolał	偏好	woleć	N	V;IPFV;MASC;IND;SG;PST;FIN;ACT
偏好	preferuje	偏好	preferować	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
糖果	słodko	糖果	słodko	N	
糖果	cukierki	糖果	cukierka	N	
糖果	cukierki	糖果	cukierka	N	
糖果	candy	糖果	candy	N	
糖果	cukierek	糖果	cukierka	N	
利潤	zysku	利潤	zysk		N;GEN;MASC;SG
利潤	zysk	利潤	zysk		N;NOM;MASC;SG
利潤	zyski	利潤	zysk		N;NOM;MASC;PL
利潤	rentowność	利潤	rentowność		N;NOM;FEM;SG
利潤	rentowności	利潤	rentowność		N;GEN;FEM;SG
利潤	zysk	利潤	zysk		N;NOM;MASC;SG
利潤	zyski	利潤	zysk		N;NOM;MASC;PL
範例	przykładowy	範例	przykładowy	N	ADJ;ACC;MASC;SG
範例	przykładowe	範例	przykładowy	N	ADJ;NOM;NEUT;SG
切換	przełącznik	切換	przełącznik	V	N;ACC;MASC;SG
切換	przełącznik	切換	przełącznik	V	N;ACC;MASC;SG
切換	przełączania	切換	przełączać	V	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
琮	cong	琮	cong	PROPN	
瘟疫	zarazy	瘟疫	zaraz	N	
瘟疫	plagi	瘟疫	plag	N	
瘟疫	zarazy	瘟疫	zaraz	N	
海邊	nadmorskiej	海邊	nadmorski	N	ADJ;GEN;FEM;SG
奔	uruchomiony	奔	uruchomić	V	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
奔	bieganie	奔	bieganie	V	N;NOM;NEUT;SG
震驚	szokujące	震驚	szokować	N	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
震驚	szok	震驚	szok	N	
震驚	wstrząśnięty	震驚	wstrząśnięty	N	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
震驚	wstrząśnięta	震驚	wstrząśnąć	N	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
震驚	zszokowany	震驚	zszokować	N	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
協作	współpracować	協作	współpracować	N	V;IPFV;NFIN;ACT
協作	współpracują	協作	współpracować	N	V;IPFV;IND;PL;3;PRS;FIN;ACT
協作	współpracy	協作	współpraca	N	
郵件	mail	郵件	mail	N	
無視	ignorowanie	無視	ignorować	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
代理	proxy	代理	prox	V	
代理	agenci	代理	agent	V	N;NOM;MASC;PL
代理	agentów	代理	agent	V	N;ACC;MASC;PL
代理	pełnomocnik	代理	pełnomocnik	V	N;NOM;MASC;SG
代理	proxy	代理	prox	V	
代理	pośrednik	代理	pośrednik	V	N;NOM;MASC;SG
代理	agentka	代理	agentka	V	N;NOM;FEM;SG
代理	agencie	代理	agencie	V	N;VOC;MASC;SG
代理	agent	代理	agent	V	N;NOM;MASC;SG
呂宋	luzon	呂宋	luzon	PROPN	PROPN;NOM;MASC;SG
美味	smaczny	美味	smaczny	N	ADJ;NOM;MASC;SG
美味	smaczne	美味	smaczny	N	ADJ;NOM;NEUT;SG
美味	pycha	美味	pychać	N	
美味	mniam	美味	mniać	N	
美味	smaczne	美味	smaczny	N	ADJ;NOM;NEUT;SG
美味	pyszny	美味	pyszny	N	ADJ;NOM;MASC;SG
虧損	utrata	虧損	utratać	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
虧損	strat	虧損	strata	N	
蜜蜂	pszczoły	蜜蜂	pszczoła	N	
蜜蜂	pszczół	蜜蜂	pszczół	N	
蜜蜂	pszczoły	蜜蜂	pszczoła	N	
蜜蜂	bee	蜜蜂	bee	N	
吸入	wdech	吸入	wdech	V	N;NOM;MASC;SG
吸入	inhalacji	吸入	inhalacja	V	N;GEN;FEM;SG
瑜伽	jogi	瑜伽	jógić	N	
安第斯	andach	安第斯	andach	PROPN	PROPN;GEN;NEUT;PL
硫磺	siarki	硫磺	siarka	N	
硫磺	siarki	硫磺	siarka	N	
茉莉	molly	茉莉	molly	PROPN	
注意	uwaga	注意	uwaga	V	
狐狸	lisie	狐狸	lisa	N	
狐狸	fox	狐狸	fox	N	
狐狸	lis	狐狸	lis	N	
站立	stałego	站立	stały	V	ADJ;ACC;MASC;SG
站立	stojący	站立	stać	V	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
站立	stoisko	站立	stoisko	V	N;NOM;NEUT;SG
鼓吹	kazania	鼓吹	kazanie	V	N;NOM;NEUT;SG
印度	indochinach	印度	indochina	PROPN	N;GEN;MASC;PL
同化	asymilacji	同化	asymilacja	V	N;DAT;FEM;SG
對峙	konfrontacji	對峙	konfrontacja	V	N;GEN;FEM;SG
對峙	impas	對峙	impas	V	N;NOM;MASC;SG
常年	wieloletnie	常年	wieloletnie	N	ADJ;NOM;NEUT;SG
常年	wieloletni	常年	wieloletni	N	ADJ;NOM;MASC;SG
常年	wieloletnich	常年	wieloletni	N	ADJ;GEN;MASC;PL
鍋	wok	鍋	wok	N	
職責	cło	職責	cło	N	
職責	cła	職責	cza	N	
孵化	inkubacji	孵化	inkubacja	V	N;GEN;FEM;SG
孵化	właz	孵化	właz	V	N;NOM;MASC;SG
大連	dalian	大連	daliano	PROPN	PROPN;NOM;MASC;SG
忠誠	lojalny	忠誠	lojalny	N	ADJ;NOM;MASC;SG
忠誠	lojalna	忠誠	lojalny	N	ADJ;NOM;FEM;SG
忠誠	wierna	忠誠	wierny	N	V;IPFV;IND;SG;PRS;FIN;ACT
休士頓	houston	休士頓	houston	PROPN	PROPN;NOM;MASC;SG
舍利	cheri	舍利	cherić	N	
供電	elektrycznej	供電	elektryczny	V	ADJ;GEN;FEM;SG
供電	elektryczność	供電	elektryczność	V	N;NOM;FEM;SG
四	kończyny	四	kończyna	NUM	N;ACC;FEM;PL
四	kończyn	四	kończyna	NUM	
莎莉	sally	莎莉	salla	PROPN	
視	windows	視	windows	V	
視	okna	視	okno	V	N;NOM;NEUT;PL
視	okien	視	okno	V	
視	okna	視	okno	V	N;NOM;NEUT;PL
視	window	視	window	V	
視	okienko	視	okienko	V	N;NOM;NEUT;SG
視	okno	視	okno	V	N;NOM;NEUT;SG
抗	antygenu	抗	antygen	V	N;GEN;MASC;SG
抗	antygenów	抗	antygen	V	N;GEN;MASC;PL
多哈	doha	多哈	doh	PROPN	PROPN;NOM;MASC;SG
守護	opiekunem	守護	opiekun	V	N;INS;MASC;SG
守護	opiekun	守護	opiekun	V	N;NOM;MASC;SG
守護	opiekuna	守護	opiekuny	V	N;ACC;MASC;SG
守護	strażnik	守護	strażnik	V	N;NOM;MASC;SG
守護	stróż	守護	stróż	V	N;NOM;MASC;SG
守護	opiekunów	守護	opiekun	V	N;ACC;MASC;PL
守護	strażnicy	守護	strażnica	V	N;NOM;FEM;PL
守護	opiekunowie	守護	opiekun	V	N;NOM;MASC;PL
經紀	broker	經紀	broker	N	
發育	rozwojowe	發育	rozwojowy	V	ADJ;NOM;NEUT;SG
仇恨	nienawiści	仇恨	nienawiść	N	
仇恨	nienawiści	仇恨	nienawiść	N	
仇恨	nienawidzę	仇恨	nienawidzić	N	V;IPFV;IND;SG;1;PRS;FIN;ACT
琵琶	pipa	琵琶	pipać	PROPN	
不	nieregularne	不	nieregularny	ADV;NEG	ADJ;NOM;NEUT;SG
不	nieprawidłowe	不	nieprawidłowy	ADV;NEG	ADJ;NOM;NEUT;SG
菩提	bodhi	菩提	bodhić	N	
穩定	stabilizacja	穩定	stabilizacja	ADJ	N;NOM;FEM;SG
穩定	stabilności	穩定	stabilność	ADJ	N;GEN;FEM;SG
穩定	trwałość	穩定	trwałość	ADJ	N;ACC;FEM;SG
穩定	stabilność	穩定	stabilność	ADJ	N;NOM;FEM;SG
鑰匙	kluczowe	鑰匙	kluczowy	N	ADJ;NOM;NEUT;SG
鑰匙	key	鑰匙	key	N	
世襲	dziedziczne	世襲	dziedziczny	N	ADJ;NOM;NEUT;SG
櫻桃	cherry	櫻桃	cherra	PROPN	
櫻桃	wiśnie	櫻桃	wisnąć	PROPN	
執事	deacon	執事	deacon	N	PROPN;NOM;MASC;SG
哀悼	kondolencje	哀悼	kondolencja	V	N;NOM;FEM;PL
哀悼	żałobę	哀悼	żałoba	V	N;ACC;FEM;SG
哀悼	żało	哀悼	żać	V	N;GEN;FEM;SG
哀悼	żałobie	哀悼	żałoby	V	N;DAT;FEM;SG
摩托	motor	摩托	motor	N	
摩托	motor	摩托	motor	N	
加重	obciążających	加重	obciążać	V	ADJ;IPFV;ACC;MASC;PL;POS;V.PTCP;ACT
地雷	kopalni	地雷	kopalnia	N	
大	magnat	大	magnat	ADJ	
大	tycoon	大	tycoon	ADJ	
安慰	komfort	安慰	komfort	V	N;NOM;MASC;SG
安慰	wygodę	安慰	wygoda	V	N;ACC;FEM;SG
安慰	wygody	安慰	wygoda	V	
空手	karate	空手	karat	N	
乾燥	pralnia	乾燥	pralniać	ADJ	V;IPFV;IMP;SG;2;FIN;ACT
乾燥	sucha	乾燥	suchy	ADJ	
乾燥	suche	乾燥	suchy	ADJ	
乾燥	sucho	乾燥	sucho	ADJ	
乾燥	suszenia	乾燥	suszenie	ADJ	N;GEN;NEUT;SG
警示	czujny	警示	czujny	N	ADJ;NOM;MASC;SG
土佐	tosa	土佐	tosa	PROPN	
開墾	odzysk	開墾	odzysk	V	N;NOM;MASC;SG
開墾	regeneracja	開墾	regeneracja	V	N;NOM;FEM;SG
勞倫斯	lawrence	勞倫斯	lawrenka	PROPN	V;IPFV;IND;SG;2;PRS;FIN;ACT
班級	klas	班級	klasa	N	
班級	klasa	班級	klasa	N	V;IPFV;IND;SG;2;FIN;ACT
長年	wieloletnie	長年	wieloletnie	N	ADJ;NOM;NEUT;SG
長年	wieloletni	長年	wieloletni	N	ADJ;NOM;MASC;SG
長年	wieloletnich	長年	wieloletni	N	ADJ;GEN;MASC;PL
奧斯汀	austin	奧斯汀	austin	PROPN	PROPN;NOM;MASC;SG
吉野	yoshino	吉野	yoshina	PROPN	
送出	wysyłanie	送出	wysyłać	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
管理	menadżer	管理	menadżer	V	N;NOM;MASC;SG
管理	kierownik	管理	kierownik	V	N;NOM;MASC;SG
管理	menedżer	管理	menedżer	V	N;NOM;MASC;SG
管理	zarządca	管理	zarządca	V	N;NOM;MASC;SG
管理	zarządcy	管理	zarządca	V	
管理	zarządców	管理	zarządca	V	N;ACC;MASC;PL
哈桑	hassan	哈桑	hassan	PROPN	PROPN;NOM;MASC;SG
委派	przydział	委派	przydział	V	N;ACC;MASC;SG
委派	zadanie	委派	zadanie	V	N;NOM;NEUT;SG
卸	rozładunku	卸	rozładunek	V	N;GEN;MASC;SG
聚焦	skupienie	聚焦	skupienie	V	N;NOM;NEUT;SG
聚焦	koncentracja	聚焦	koncentracja	V	N;NOM;FEM;SG
