月	moon	月	moon	N	
內地	indlands	內地	indlands	N	
內地	indenlandsk	內地	indenlandsk	N	ADV
電車	trolley	電車	trolley	N	
電車	sporvogne	電車	sporvogn	N	ADJ;PL
電車	sporveje	電車	sporvej	N	
特區	sar	特區	sar	N	
緊急	presserende	緊急	presserende	N	V;PRS;V.PTCP
緊急	haster	緊急	haste	N	V;IND;PRS;FIN;ACT
適合	passende	適合	passende	V	ADJ
適合	velegnet	適合	velegnet	V	ADJ;INDF;SG
適合	tilpas	適合	tilpas	V	ADJ;INDF;SG
適合	fit	適合	fin	V	N;INDF;NEUT;SG
精選	udvalgte	精選	udvælge	N	V;PL;PST;V.PTCP
精選	udvalgt	精選	udvælge	N	V;INDF;SG;PST;V.PTCP
單	mono	單	mono	NUM	
單	single	單	single	NUM	N;INDF;MASC+FEM;SG
單	enkelt	單	enkelt	NUM	ADJ;INDF;SG
單	enlige	單	enlig	NUM	ADJ;PL
單	enlig	單	enlig	NUM	ADJ;INDF;MASC+FEM;SG
象徵	symbol	象徵	symbol	V	N;INDF;NEUT;SG
象徵	symbolet	象徵	symbol	V	N;DEF;NEUT;SG
象徵	symbolske	象徵	symbolsk	V	ADJ;PL
象徵	symbolsk	象徵	symbolsk	V	ADJ;INDF;SG
精靈	genie	精靈	genie	N	
精靈	elf	精靈	elf	N	
百年	centennial	百年	centennial	N	
巨人	kæmper	巨人	kæmpe	N	V;IND;PRS;FIN;ACT
巨人	kæmpe	巨人	kæmpe	N	ADJ
巨人	gigantisk	巨人	gigantisk	N	ADJ;INDF;SG
無限	uendelig	無限	uendelig	N	ADJ;INDF;MASC+FEM;SG
無限	uendeligt	無限	uendelig	N	ADV
無限	uendelige	無限	uendelig	N	ADJ;PL
無限	uendeligt	無限	uendelig	N	ADV
無限	uendelig	無限	uendelig	N	ADJ;INDF;MASC+FEM;SG
無限	infinity	無限	infinity	N	
無限	grænseløs	無限	grænseløs	N	ADJ;INDF;MASC+FEM;SG
無限	ubegrænset	無限	ubegrænse	N	V;INDF;SG;PST;V.PTCP
無限	tidsubegrænset	無限	tidsubegrænse	N	V;INDF;SG;PST;V.PTCP
無限	ubegrænsede	無限	ubegrænset	N	V;PL;PST;V.PTCP
王后	queen	王后	que	N	
永遠	altid	永遠	altid	N	ADV
福岡	fukuoka	福岡	fukuoka	PROPN	
難	hårde	難	hård	N	ADJ;PL
難	svært	難	svær	N	ADJ;INDF;NEUT;SG
難	hard	難	hard	N	
難	hård	難	hård	N	ADJ;INDF;MASC+FEM;SG
難	hårdt	難	hård	N	ADJ;INDF;NEUT;SG
難	svær	難	svær	N	ADJ;INDF;MASC+FEM;SG
難	svært	難	svær	N	ADJ;INDF;NEUT;SG
難	svære	難	svær	N	ADJ;PL
難	vanskelig	難	vanskelig	N	ADJ;INDF;MASC+FEM;SG
難	vanskeligt	難	vanskeligt	N	ADJ;INDF;NEUT;SG
難	svær	難	svær	N	ADJ;INDF;MASC+FEM;SG
戰術	taktiske	戰術	taktisk	N	ADJ;PL
戰術	taktisk	戰術	taktisk	N	ADJ;INDF;SG
追求	søgen	追求	søge	V	N;DEF;MASC+FEM;SG
追求	togt	追求	tog	V	N;INDF;NEUT;SG
追求	forfølgelsen	追求	forfølgelse	V	N;DEF;MASC+FEM;SG
衛生	hygiejnisk	衛生	hygiejnisk	N	ADJ;INDF;SG
衛生	hygiejniske	衛生	hygiejnisk	N	ADJ;PL
衛生	hygiejnisk	衛生	hygiejnisk	N	ADJ;INDF;SG
衛生	sanitære	衛生	sanitær	N	ADJ;PL
衛生	sundhedsmæssigt	衛生	sundhedsmæssig	N	ADJ;INDF;NEUT;SG
南斯拉夫	jugoslavien	南斯拉夫	jugoslavie	PROPN	PROPN
誕生	born	誕生	born	V	
郝	hao	郝	hao	PROPN	
緬甸	burma	緬甸	burma	PROPN	
緬甸	myanmar	緬甸	myanmar	PROPN	
七十	seventy	七十	seventy	NUM	
昆明	kunming	昆明	kunming	PROPN	N;INDF;MASC+FEM;SG
規範	normative	規範	normativ	N	ADJ;PL
環球	universal	環球	universal	PROPN	
環球	universelt	環球	universelt	PROPN	ADJ;INDF;NEUT;SG
環球	universelle	環球	universel	PROPN	ADJ;PL
環球	universel	環球	universel	PROPN	ADJ;INDF;MASC+FEM;SG
環球	globe	環球	glob	PROPN	ADJ;INDF;MASC+FEM;SG
環球	kloden	環球	klode	PROPN	N;DEF;MASC+FEM;SG
環球	klode	環球	klod	PROPN	N;INDF;MASC+FEM;SG
彬	bin	彬	bin	PROPN	
交換	swap	交換	swap	V	
交換	bytte	交換	bytte	V	N;INDF;MASC+FEM;SG
交換	ombytning	交換	ombytning	V	N;INDF;MASC+FEM;SG
交換	udveksling	交換	udveksling	V	N;INDF;MASC+FEM;SG
交換	bytte	交換	bytte	V	N;INDF;MASC+FEM;SG
交換	exchange	交換	exchange	V	
交易	børser	交易	børse	V	N;INDF;MASC+FEM;PL
交易	udvekslinger	交易	udveksling	V	N;INDF;MASC+FEM;PL
交易	udveksling	交易	udveksling	V	N;INDF;MASC+FEM;SG
交易	ombytning	交易	ombytning	V	N;INDF;MASC+FEM;SG
交易	udveksling	交易	udveksling	V	N;INDF;MASC+FEM;SG
交易	bytte	交易	bytte	V	N;INDF;MASC+FEM;SG
交易	exchange	交易	exchange	V	
提前	tidlig	提前	tidlig	V	ADJ;INDF;MASC+FEM;SG
提前	tidligt	提前	tidligt	V	ADV
神奇	magi	神奇	magi	ADJ	N;INDF;MASC+FEM;SG
神奇	trylleri	神奇	trylleri	ADJ	N;INDF;NEUT;SG
神奇	magic	神奇	magic	ADJ	
週刊	ugentlig	週刊	ugentlig	N	ADV
週刊	ugentligt	週刊	ugentligt	N	ADV
示威	demonstration	示威	demonstration	V	N;INDF;MASC+FEM;SG
示威	påvisning	示威	påvisning	V	N;INDF;MASC+FEM;SG
示威	demonstrationerne	示威	demonstration	V	N;DEF;MASC+FEM;PL
示威	demonstrationer	示威	demonstration	V	N;INDF;MASC+FEM;PL
吐	spyt	吐	spyt	V	N;INDF;MASC+FEM;SG
撞擊	virkning	撞擊	virkning	V	N;INDF;MASC+FEM;SG
撞擊	indvirkning	撞擊	indvirkning	V	N;INDF;MASC+FEM;SG
撞擊	virkninger	撞擊	virkning	V	N;INDF;MASC+FEM;PL
撞擊	impact	撞擊	impact	V	
撞擊	sammenstød	撞擊	sammenstød	V	N;INDF;NEUT;SG
撞擊	kollision	撞擊	kollision	V	N;INDF;MASC+FEM;SG
外圍	perifer	外圍	perif	N	ADJ;INDF;MASC+FEM;SG
外圍	perifert	外圍	perifert	N	ADV
種子	fro	種子	fro	N	
種子	seed	種子	seed	N	
排行	rangorden	排行	rangorden	V	N;INDF;MASC+FEM;SG
瀑布	falder	瀑布	falde	N	V;IND;PRS;FIN;ACT
瀑布	falls	瀑布	falls	N	
維護	vedligehold	維護	vedligehold	N	ADJ;PL
萍	ping	萍	ping	PROPN	
搜尋	søges	搜尋	søge	N	V;IND;PRS;FIN;PASS
搜尋	søge	搜尋	søge	N	V;NFIN;ACT
搜尋	søg	搜尋	søg	N	V;IMP
搜尋	søger	搜尋	søge	N	V;IND;PRS;FIN;ACT
米蘭	milan	米蘭	milan	PROPN	PROPN
米蘭	milano	米蘭	milano	PROPN	PROPN
德州	texas	德州	texas	PROPN	PROPN
威尼斯	venice	威尼斯	venice	PROPN	
威尼斯	venedig	威尼斯	venedig	PROPN	PROPN
威尼斯	venezia	威尼斯	venezia	PROPN	
折	fold	折	fold	PROPN	N;INDF;MASC+FEM;SG
鼓勵	tilskyndelse	鼓勵	tilskyndelse	V	N;INDF;MASC+FEM;SG
鼓勵	opmuntring	鼓勵	opmuntring	V	N;INDF;MASC+FEM;SG
鼓勵	tilskyndelse	鼓勵	tilskyndelse	V	N;INDF;MASC+FEM;SG
展覽	udstille	展覽	udstille	N	V;NFIN;ACT
展覽	udstiller	展覽	udstille	N	V;IND;PRS;FIN;ACT
展覽	udviser	展覽	udvise	N	V;IND;PRS;FIN;ACT
柬埔寨	kampuchea	柬埔寨	kampuchea	PROPN	N;INDF;NEUT;SG
柬埔寨	cambodja	柬埔寨	cambodja	PROPN	N;INDF;NEUT;SG
柬埔寨	cambodia	柬埔寨	cambodia	PROPN	N;INDF;MASC+FEM;SG
希特勒	hitler	希特勒	hitle	PROPN	N;INDF;MASC+FEM;SG
輸入	input	輸入	input	V	N;INDF;NEUT;SG
處理	processor	處理	processor	V	N;INDF;MASC+FEM;SG
無	null	無	null	V	N;INDF;NEUT;SG
無	invalid	無	invalid	V	ADJ;INDF;MASC+FEM;SG
無	ugyldige	無	ugyldig	V	ADJ;PL
無	ugyldig	無	ugyldig	V	ADJ;INDF;MASC+FEM;SG
無	ugyldigt	無	ugyldigt	V	ADJ;INDF;NEUT;SG
贊助	sponsor	贊助	sponsor	V	N;INDF;MASC+FEM;SG
保守	konservativt	保守	konservativt	ADJ	ADV
幫忙	hjælp	幫忙	hjælp	V	N;INDF;MASC+FEM;SG
競賽	contest	競賽	contest	N	ADJ
首歌	song	首歌	song	N	
神話	mytologi	神話	mytologi	N	ADJ;INDF;MASC+FEM;SG
實現	realisering	實現	realisering	V	N;INDF;MASC+FEM;SG
實現	virkeliggørelse	實現	virkeliggørelse	V	N;INDF;MASC+FEM;SG
實現	erkendelse	實現	erkendelse	V	N;INDF;MASC+FEM;SG
實現	opnåelse	實現	opnåelse	V	N;INDF;MASC+FEM;SG
八十	eighty	八十	eighty	NUM	
出局	ud	出局	ud	V	ADV
出局	out	出局	out	V	
出局	ude	出局	ude	V	ADV
瑪麗	mary	瑪麗	mary	PROPN	N;INDF;MASC+FEM;SG
瑪麗	maria	瑪麗	maria	PROPN	
平等	lige	平等	lige	N	ADV
平等	equal	平等	equal	N	
聽	lyt	聽	lyt	ADP	V;IMP
困難	svært	困難	svær	N	ADJ;INDF;NEUT;SG
困難	svære	困難	svær	N	ADJ;PL
困難	vanskelig	困難	vanskelig	N	ADJ;INDF;MASC+FEM;SG
困難	vanskeligt	困難	vanskeligt	N	ADJ;INDF;NEUT;SG
困難	svær	困難	svær	N	ADJ;INDF;MASC+FEM;SG
危險	farlig	危險	farlig	N	ADJ;INDF;MASC+FEM;SG
危險	farligt	危險	farlig	N	ADJ;INDF;NEUT;SG
危險	farlige	危險	farlig	N	ADJ;PL
危險	farer	危險	fare	N	V;IND;PRS;FIN;ACT
強大	kraftigt	強大	kraftigt	N	ADV
強大	stærke	強大	stærk	N	ADJ;PL
強大	kraftig	強大	kraftig	N	ADJ;INDF;MASC+FEM;SG
強大	stærkt	強大	stærkt	N	ADV
強大	strong	強大	strong	N	
強大	stærk	強大	stærk	N	ADJ;INDF;MASC+FEM;SG
強大	kraftfuld	強大	kraftfuld	N	ADJ;INDF;MASC+FEM;SG
強大	kraftigt	強大	kraftigt	N	ADV
強大	magtfuld	強大	magtfuld	N	ADJ;INDF;MASC+FEM;SG
強大	magtfulde	強大	magtfulde	N	ADJ;PL
強大	stærkt	強大	stærkt	N	ADV
外國	udenlandsk	外國	udenlandsk	N	ADJ;INDF;SG
外國	fremmed	外國	fremmed	N	ADJ;INDF;MASC+FEM;SG
瓦爾	val	瓦爾	vælle	PROPN	N;INDF;MASC+FEM;SG
公寓	flad	公寓	flad	N	ADJ;INDF;MASC+FEM;SG
公寓	fladt	公寓	fladt	N	ADV
公寓	flade	公寓	flad	N	ADJ;PL
接管	overtagelse	接管	overtagelse	V	N;INDF;MASC+FEM;SG
一	side	一	side	NUM	N;INDF;MASC+FEM;SG
奧運	ol	奧運	ol	PROPN	N;INDF;MASC+FEM;SG
聯絡	kontakt	聯絡	kontakt	V	N;INDF;MASC+FEM;SG
聯絡	henvendelse	聯絡	henvendelse	V	N;INDF;MASC+FEM;SG
漢	kinesere	漢	kinesere	PROPN	N;INDF;MASC+FEM;PL
漢	kineser	漢	kineser	PROPN	N;INDF;MASC+FEM;SG
漢	kinesiske	漢	kinesisk	PROPN	ADJ;PL
漢	kinesisk	漢	kinesisk	PROPN	ADJ;INDF;SG
漢	kineserne	漢	kineser	PROPN	N;DEF;MASC+FEM;PL
下載	downloads	下載	download	V	
獅子	lions	獅子	lions	N	
裡面	indvendigt	裡面	indvendig	N	ADV
裡面	indenfor	裡面	indenfor	N	ADV
裡面	inde	裡面	inde	N	ADV
裡面	indvendig	裡面	indvendig	N	ADJ;INDF;MASC+FEM;SG
裡面	indeni	裡面	indeni	N	ADJ;INDF;MASC+FEM;SG
梯	stige	梯	stige	N	V;NFIN;ACT
修道	klostret	修道	klostret	V	N;DEF;NEUT;SG
修道	kloster	修道	kloste	V	N;INDF;NEUT;SG
修道	klosteret	修道	klostere	V	N;DEF;NEUT;SG
修道	kloster	修道	kloste	V	N;INDF;NEUT;SG
修道	kloster	修道	kloste	V	N;INDF;NEUT;SG
修道	abbey	修道	abbey	V	
總	politikommissær	總	politikommissær	PART	N;INDF;MASC+FEM;SG
地中	middelhavsområdet	地中	middelhavsområde	PROPN	N;DEF;NEUT;SG
地中	middelhavslandene	地中	middelhavsland	PROPN	N;DEF;NEUT;PL
地中	middelhavet	地中	middelhavet	PROPN	N;DEF;NEUT;SG
地中	middelhavslande	地中	middelhavsland	PROPN	N;INDF;NEUT;PL
釋放	release	釋放	release	V	N;INDF;MASC+FEM;SG
釋放	udslip	釋放	udslip	V	N;INDF;NEUT;SG
釋放	frigivelse	釋放	frigivelse	V	N;INDF;MASC+FEM;SG
釋放	udsætning	釋放	udsætning	V	N;INDF;MASC+FEM;SG
登記	register	登記	regist	V	N;INDF;MASC+FEM;PL
登記	registret	登記	registret	V	N;DEF;NEUT;SG
登記	registrering	登記	registrering	V	N;INDF;MASC+FEM;SG
登記	tilmelding	登記	tilmelding	V	N;INDF;MASC+FEM;SG
登記	indregistrering	登記	indregistrering	V	N;INDF;MASC+FEM;SG
黃色	gult	黃色	gult	N	ADJ;INDF;NEUT;SG
黃色	gule	黃色	gul	N	ADJ;PL
黃色	yellow	黃色	yellow	N	
黃色	gul	黃色	gul	N	ADJ;INDF;MASC+FEM;SG
批判	kritiseret	批判	kritisere	N	V;INDF;SG;PST;V.PTCP
批判	kritisk	批判	kritisk	N	ADJ;INDF;SG
批判	kritiske	批判	kritisk	N	ADJ;PL
傀儡	dukker	傀儡	dukke	N	V;IND;PRS;FIN;ACT
傀儡	dukke	傀儡	dukke	N	V;NFIN;ACT
馬力	malik	馬力	malik	N	
聖經	bibel	聖經	bibel	PROPN	N;INDF;MASC+FEM;SG
聖經	biblen	聖經	bibl	PROPN	N;DEF;MASC+FEM;SG
聖經	bibelen	聖經	bibel	PROPN	N;DEF;MASC+FEM;SG
聖經	bibelsk	聖經	bibelsk	PROPN	ADJ;INDF;SG
聖經	bibelske	聖經	bibelsk	PROPN	ADJ;PL
威爾斯	wales	威爾斯	wales	PROPN	
招生	optagelse	招生	optagelse	V	N;INDF;MASC+FEM;SG
招生	indrejsetilladelse	招生	indrejsetilladelse	V	N;INDF;MASC+FEM;SG
招生	indrejse	招生	indrejse	V	N;INDF;MASC+FEM;SG
招生	indskrivning	招生	indskrivning	V	N;INDF;MASC+FEM;SG
招生	inklusion	招生	inklusion	V	N;INDF;MASC+FEM;SG
拱	arch	拱	arch	N	
銀河	galaktiske	銀河	galaktisk	PROPN	ADJ;PL
銀河	galaksen	銀河	galakse	PROPN	N;DEF;MASC+FEM;SG
銀河	galakse	銀河	galakse	PROPN	N;INDF;MASC+FEM;SG
銀河	galaxy	銀河	galaxy	PROPN	N;INDF;MASC+FEM;SG
創辦	stifter	創辦	stift	V	N;INDF;MASC+FEM;PL
創辦	grundlægger	創辦	grundlægge	V	N;INDF;MASC+FEM;SG
公會	guild	公會	guild	N	
多倫多	toronto	多倫多	toronto	PROPN	
桓	huan	桓	huan	PROPN	
桓	hwan	桓	hwan	PROPN	
初步	foreløbige	初步	foreløbige	ADV	ADJ;PL
初步	indledende	初步	indlede	ADV	V;PRS;V.PTCP
營業	åbent	營業	åben	V	ADJ;INDF;NEUT;SG
營業	åben	營業	åben	V	ADJ;INDF;MASC+FEM;SG
閱讀	læses	閱讀	læse	N	V;IND;PRS;FIN;PASS
閱讀	læse	閱讀	læse	N	V;NFIN;ACT
閱讀	læs	閱讀	læs	N	V;IMP
閱讀	læst	閱讀	læse	N	V;INDF;SG;PST;V.PTCP
閱讀	læser	閱讀	læse	N	V;IND;PRS;FIN;ACT
閱讀	læse	閱讀	læse	N	V;NFIN;ACT
檢查	check	檢查	check	V	N;INDF;MASC+FEM;SG
法拉	fara	法拉	fara	PROPN	
法拉	farah	法拉	farah	PROPN	
腿	legs	腿	legs	N	
橫濱	yokohama	橫濱	yokohama	PROPN	
棠	tong	棠	tong	PROPN	
空氣	air	空氣	air	N	
外界	udenforstående	外界	udenforstående	N	ADJ
外界	udefrakommende	外界	udefrakommende	N	ADJ
多	adskillige	多	adskillig	NUM	ADJ;PL
多	flere	多	mange	NUM	ADJ;CMPR;PL
沖繩	okinawa	沖繩	okinawa	PROPN	
慢	langsomme	慢	langsom		ADJ;PL
慢	langsom	慢	langsom		ADJ;INDF;MASC+FEM;SG
慢	langsomt	慢	langsomt		ADV
親自	personlig	親自	personlig	ADV	ADJ;INDF;MASC+FEM;SG
姐姐	sis	姐姐	sis	N	
姐姐	sister	姐姐	siste	N	
週期	cycle	週期	cycle	N	
彩虹	rainbow	彩虹	rainbow	N	
賽車	racing	賽車	racing	N	
模仿	efterligninger	模仿	efterligning	V	N;INDF;MASC+FEM;PL
模仿	efterligning	模仿	efterligning	V	N;INDF;MASC+FEM;SG
模仿	parodi	模仿	parodi	V	N;INDF;MASC+FEM;SG
一	generation	一	generation	NUM	N;INDF;MASC+FEM;SG
一	generationen	一	generation	NUM	N;DEF;MASC+FEM;SG
一	generering	一	generering	NUM	N;INDF;MASC+FEM;SG
一	generations	一	generation	NUM	N;GEN;INDF;MASC+FEM;SG
一	generationers	一	generation	NUM	N;GEN;INDF;MASC+FEM;PL
一	generationerne	一	generation	NUM	N;DEF;MASC+FEM;PL
一	generationer	一	generation	NUM	N;INDF;MASC+FEM;PL
廣島	hiroshima	廣島	hiroshima	PROPN	
庚	geng	庚	geng	PROPN	
複雜	kompleksitet	複雜	kompleksitet	ADJ	N;INDF;MASC+FEM;SG
三	samsung	三	samsung	NUM	
包圍	belejring	包圍	belejring	V	N;INDF;MASC+FEM;SG
包圍	belejringen	包圍	belejring	V	N;DEF;MASC+FEM;SG
平行	parallelt	平行	parallelt		ADV
平行	sideløbende	平行	sideløbende		ADJ
平行	parallel	平行	parallel		N;INDF;MASC+FEM;SG
平行	parallelle	平行	parallel		ADJ;PL
自主	selvstændig	自主	selvstændig	N	ADJ;INDF;MASC+FEM;SG
自主	autonomt	自主	autonomt	N	ADJ;INDF;NEUT;SG
自主	selvstyrende	自主	selvstyrende	N	ADJ
自主	autonom	自主	autonom	N	ADJ;INDF;MASC+FEM;SG
自主	autonome	自主	autonome	N	ADJ;PL
預定	bestilling	預定	bestilling	V	N;INDF;MASC+FEM;SG
預定	booking	預定	booking	V	N;INDF;MASC+FEM;SG
金星	venus	金星	venus	PROPN	N;INDF;MASC+FEM;SG
寄生	parasit	寄生	parasit	V	N;INDF;MASC+FEM;SG
寄生	parasit	寄生	parasit	V	N;INDF;MASC+FEM;SG
寄生	parasitter	寄生	parasit	V	N;INDF;MASC+FEM;PL
歌詞	lyric	歌詞	lyric	N	
拯救	frelse	拯救	frelse	V	N;INDF;MASC+FEM;SG
拯救	frelsens	拯救	frelse	V	N;GEN;DEF;MASC+FEM;SG
拯救	redning	拯救	redning	V	N;INDF;MASC+FEM;SG
拯救	undsætning	拯救	undsætning	V	N;INDF;MASC+FEM;SG
拯救	rednings	拯救	redning	V	N;INDF;MASC+FEM;SG
拯救	redningsaktion	拯救	redningsaktion	V	N;INDF;MASC+FEM;SG
型態	indtast	型態	indtast	N	V;IMP
型態	skriv	型態	skrive	N	V;IMP
病人	tålmodig	病人	tålmodig	N	ADJ;INDF;MASC+FEM;SG
優惠	tilbyde	優惠	tilbyde	N	V;NFIN;ACT
優惠	tilbyder	優惠	tilbyde	N	V;IND;PRS;FIN;ACT
搖滾	klippe	搖滾	klippe	N	V;NFIN;ACT
搖滾	rokke	搖滾	rokke	N	V;NFIN;ACT
圭	kyu	圭	kyu	PROPN	
修訂	revidering	修訂	revidering	V	N;INDF;MASC+FEM;SG
修訂	revision	修訂	revision	V	N;INDF;MASC+FEM;SG
前面	foran	前面	foran	N	ADV
前面	forside	前面	forside	N	V;IMP
囊	kapsler	囊	kapsel	PROPN	N;INDF;MASC+FEM;PL
囊	kapsel	囊	kapsel	PROPN	N;INDF;MASC+FEM;SG
囊	kapslen	囊	kapsel	PROPN	N;DEF;MASC+FEM;SG
對外	udadtil	對外	udadtil		ADJ;INDF;SG
對外	eksternt	對外	eksternt		ADJ;INDF;NEUT;SG
對外	udvendigt	對外	udvendig		ADV
織田	oda	織田	oda	PROPN	
未	ukendt	未	ukendt	ADV;NEG	ADJ;INDF;SG
偵探	kriminalassistent	偵探	kriminalassistent	V	N;INDF;MASC+FEM;SG
偵探	detektiv	偵探	detektiv	V	N;INDF;MASC+FEM;SG
偵探	kriminalbetjent	偵探	kriminalbetjent	V	N;INDF;MASC+FEM;SG
里昂	lyon	里昂	lyon	PROPN	
里昂	lyon	里昂	lyon	PROPN	
里昂	lyons	里昂	lyons	PROPN	
提醒	indberetninger	提醒	indberetning	V	N;INDF;MASC+FEM;PL
提醒	underretninger	提醒	underretning	V	N;INDF;MASC+FEM;PL
提醒	alarmer	提醒	alarme	V	N;INDF;MASC+FEM;PL
提醒	advarsler	提醒	advarsel	V	N;INDF;MASC+FEM;PL
提醒	påmindelser	提醒	påmindelse	V	N;INDF;MASC+FEM;PL
提醒	alarm	提醒	alarm	V	N;INDF;MASC+FEM;SG
提醒	varsling	提醒	varsling	V	N;INDF;MASC+FEM;SG
提醒	indberetning	提醒	indberetning	V	N;INDF;MASC+FEM;SG
提醒	påmindelse	提醒	påmindelse	V	N;INDF;MASC+FEM;SG
友好	venskabelig	友好	venskabelig	N	ADJ;INDF;MASC+FEM;SG
友好	venlig	友好	venlig	N	ADJ;INDF;MASC+FEM;SG
友好	venligt	友好	venligt	N	ADJ;INDF;NEUT;SG
友好	venlige	友好	venlig	N	ADJ;PL
割	cut	割	cut	V	
割	klippet	割	klippe	V	N;DEF;NEUT;SG
割	snit	割	snit	V	N;INDF;NEUT;SG
割	klip	割	klip	V	N;INDF;NEUT;SG
諮詢	konsultere	諮詢	konsultere	N	V;NFIN;ACT
岑	cen	岑	cen	PROPN	N;INDF;NEUT;SG
分離	løsrivelse	分離	løsrivelse	V	N;INDF;MASC+FEM;SG
分離	adskillelse	分離	adskillelse	V	N;INDF;MASC+FEM;SG
分離	separation	分離	separation	V	N;INDF;MASC+FEM;SG
分離	separat	分離	separat	V	ADV
分離	særskilt	分離	særskilt	V	ADJ;INDF;SG
分離	separate	分離	separat	V	N;INDF;NEUT;SG
可	synlig	可	synlig	V	ADJ;INDF;MASC+FEM;SG
可	synligt	可	synligt	V	ADJ;INDF;NEUT;SG
可	synlige	可	synlig	V	ADJ;PL
液	flydende	液	flydende	N	ADJ
騰	teng	騰	teng		
資產	aktiv	資產	aktiv	N	ADJ;INDF;MASC+FEM;SG
停車	parkering	停車	parkering	V	N;INDF;MASC+FEM;SG
羅伯特	robert	羅伯特	robert	PROPN	N;INDF;MASC+FEM;SG
孟加拉	bengal	孟加拉	bengal	PROPN	
夢想	dream	夢想	dream	N	
夢想	drømmer	夢想	drømme	N	V;IND;PRS;FIN;ACT
夢想	drømmer	夢想	drømme	N	V;IND;PRS;FIN;ACT
覆蓋	dækning	覆蓋	dækning	V	N;INDF;MASC+FEM;SG
覆蓋	omslag	覆蓋	omslag	V	N;INDF;NEUT;SG
覆蓋	cover	覆蓋	cove	V	N;INDF;MASC+FEM;SG
覆蓋	dæk	覆蓋	dæk	V	N;INDF;NEUT;PL
寫作	skrive	寫作	skrive	N	V;NFIN;ACT
寫作	skriv	寫作	skrive	N	V;IMP
寫作	skriver	寫作	skrive	N	V;IND;PRS;FIN;ACT
寫作	skrive	寫作	skrive	N	V;NFIN;ACT
寫作	skriver	寫作	skrive	N	V;IND;PRS;FIN;ACT
弦	streng	弦	streng	N	ADJ;INDF;MASC+FEM;SG
青海	qinghai	青海	qinghai	PROPN	
溝通	meddelelse	溝通	meddelelse	V	N;INDF;MASC+FEM;SG
溝通	kommunikation	溝通	kommunikation	V	N;INDF;MASC+FEM;SG
溝通	kommunikation	溝通	kommunikation	V	N;INDF;MASC+FEM;SG
日記	tidende	日記	tidende	N	V;PRS;V.PTCP
大地	earth	大地	earth	N	
珠海	zhuhai	珠海	zhuhai	PROPN	N;INDF;NEUT;SG
即時	instant	即時	instant	ADV	
即時	øjeblikkelig	即時	øjeblikkelig	ADV	ADJ;INDF;MASC+FEM;SG
即時	omgående	即時	omgående	ADV	ADJ
即時	umiddelbar	即時	umiddelbar	ADV	ADJ;INDF;MASC+FEM;SG
即時	øjeblikkelig	即時	øjeblikkelig	ADV	ADJ;INDF;MASC+FEM;SG
王室	kongelige	王室	kongelig	N	ADJ;PL
王室	royalty	王室	royalty	N	
航空	udbyder	航空	udbyde	N	V;IND;PRS;FIN;ACT
移植	transplantation	移植	transplantation	V	N;INDF;MASC+FEM;SG
移植	transplantation	移植	transplantation	V	N;INDF;MASC+FEM;SG
移植	transplantation	移植	transplantation	V	N;INDF;MASC+FEM;SG
四	årstider	四	årstid	NUM	N;INDF;MASC+FEM;PL
四	sæsoner	四	sæson	NUM	N;INDF;MASC+FEM;PL
考古	arkæologiske	考古	arkæologisk	V	ADJ;PL
考古	arkæologisk	考古	arkæologisk	V	ADV
考古	arkæologi	考古	arkæologi	V	N;INDF;MASC+FEM;SG
姐妹	sisters	姐妹	sisters	N	
姐妹	sister	姐妹	siste	N	
高地	terra	高地	terra	N	
咀	tsui	咀	tsui	N	
試驗	eksperimentere	試驗	eksperimentere	N	V;NFIN;ACT
試驗	tester	試驗	test	N	V;IND;PRS;FIN;ACT
試驗	prøve	試驗	prøve	N	V;NFIN;ACT
酮	keton	酮	keton	N	
脫	strimler	脫	strimmel	V	N;INDF;MASC+FEM;PL
脫	strip	脫	strip	V	N;INDF;NEUT;SG
神	kanagawa	神	kanagawa	N	
忍者	ninja	忍者	ninja	N	
禹	woo	禹	woo	PROPN	
降落	landing	降落	landing	V	N;INDF;MASC+FEM;SG
鳳凰	phoenix	鳳凰	phoenix	PROPN	
肇	hajime	肇	hajim	PROPN	
喜愛	yndlings	喜愛	yndling		
喜愛	favorit	喜愛	favorit		N;INDF;MASC+FEM;SG
洪	oversvømmelse	洪	oversvømmelse	PROPN	N;INDF;MASC+FEM;SG
洪	oversvømmelser	洪	oversvømmelse	PROPN	N;INDF;MASC+FEM;PL
洪	oversvømmelse	洪	oversvømmelse	PROPN	N;INDF;MASC+FEM;SG
洪	oversvømmelser	洪	oversvømmelse	PROPN	N;INDF;MASC+FEM;PL
洪	oversvømmelserne	洪	oversvømmelse	PROPN	N;DEF;MASC+FEM;PL
洪	oversvømmelse	洪	oversvømmelse	PROPN	N;INDF;MASC+FEM;SG
防衛	forsvar	防衛	forsvar	V	N;INDF;NEUT;SG
防衛	forsvaret	防衛	forsvar	V	N;DEF;NEUT;SG
防衛	forsvar	防衛	forsvar	V	N;INDF;NEUT;SG
防衛	forsvaret	防衛	forsvar	V	N;DEF;NEUT;SG
相當	ækvivalent	相當	ækvivalent	V	ADJ;INDF;NEUT;SG
相當	tilsvarende	相當	tilsvarende	V	ADJ
法定	lovfæstet	法定	lovfæstet	N	V;INDF;SG;PST;V.PTCP
法定	lovbestemte	法定	lovbestemt	N	ADJ;PL
