operze	opéra	operz	opéra		N;MASC;SG
szyi	cou	szyi	cou		N;MASC;SG
szyi	encolure	szyi	encolure		N;FEM;SG
młodzi	jeunes	młody	jeune	N;NOM;MASC;PL	ADJ;MASC;PL
młodzi	jeune	młody	jeune	N;NOM;MASC;PL	ADJ;MASC;SG
akademickich	universitaire	akademicki	universitaire	ADJ;GEN;MASC;PL	ADJ;MASC;SG
akademickich	académique	akademicki	académique	ADJ;GEN;MASC;PL	ADJ;MASC;SG
stalina	staline	stalina	staline		N;FEM;SG
borys	boris	borys	boris	PROPN;NOM;MASC;SG	PROPN
uznana	reconnu	uznać	reconnaître	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
uznana	reconnues	uznać	reconnaître	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
uznana	reconnue	uznać	reconnaître	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
uznana	reconnus	uznać	reconnaître	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
uznana	reconnu	uznać	reconnaître	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
uznana	reconnues	uznać	reconnaître	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
uznana	reconnue	uznać	reconnaître	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
uznana	reconnus	uznać	reconnaître	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
machine	machine	machina	machine		N;FEM;SG
składników	ingrédient	składnik	ingrédient	N;GEN;MASC;PL	N;MASC;SG
sławy	célébrités	sława	célébrité		N;FEM;PL
sławy	célébrité	sława	célébrité		N;FEM;SG
sławy	renommée	sława	renommer		V;FEM;SG;PST;V.PTCP
sławy	gloire	sława	gloire		N;FEM;SG
sławy	fame	sława	fame		N;MASC;SG
wykonawcy	entrepreneur	wykonawca	entrepreneur	N;NOM;MASC;PL	N;MASC;SG
wykonawcy	contractant	wykonawca	contracter	N;NOM;MASC;PL	N;MASC;SG
zaliczony	comptés	zaliczyć	compter	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
zaliczony	comptabilisé	zaliczyć	comptabiliser	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
zaliczony	compté	zaliczyć	compter	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
zaliczony	comptées	zaliczyć	compter	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
beta	beta	bet	beta		N;FEM;SG
beta	bêta	bet	bêta		N;FEM;SG
beta	béta	bet	béter		N;FEM;SG
rodríguez	rodriguez	rodríguez	rodriguer	PROPN;NOM;MASC;SG	V;IMP;PL;2;PRS;FIN
rodríguez	rodríguez	rodríguez	rodríguer	PROPN;NOM;MASC;SG	PROPN
rodríguez	rodríguez	rodríguez	rodríguer	PROPN;NOM;MASC;SG	PROPN
zysk	profits	zysk	profit	N;NOM;MASC;SG	N;MASC;PL
zysk	bénéfices	zysk	bénéfice	N;NOM;MASC;SG	N;MASC;PL
zysk	bénéfices	zysk	bénéfice	N;NOM;MASC;SG	N;MASC;PL
zysk	profits	zysk	profit	N;NOM;MASC;SG	N;MASC;PL
ring	bague	ring	bague		N;FEM;SG
ring	anneau	ring	anneau		N;MASC;SG
iata	iata	iato	iata		N;MASC;SG
ludzkie	humains	ludzki	humain	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
wykonywanie	performante	wykonywać	performant	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	ADJ;FEM;SG
wykonywanie	exécutant	wykonywać	exécuter	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	V;PRS;V.PTCP
zagrożony	menacées	zagrożyć	menacer	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
zagrożony	menacée	zagrożyć	menacer	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
zagrożony	menacés	zagrożyć	menacer	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
zagrożony	menacé	zagrożyć	menacer	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
zagrożony	menacés	zagrożyć	menacer	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
zagrożony	menacée	zagrożyć	menacer	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
zagrożony	menacé	zagrożyć	menacer	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
zagrożony	menacées	zagrożyć	menacer	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
martínez	martínez	martrnez	martíne	PROPN;NOM;MASC;SG	PROPN
nicholas	nicolas	nicholas	nicola	PROPN;NOM;MASC;SG	N;MASC;SG
nicholas	nicholas	nicholas	nicholas	PROPN;NOM;MASC;SG	PROPN
mateusza	matthew	mateusz	matthew	N;ACC;MASC;SG	PROPN
mateusza	mathieu	mateusz	mathieu	N;ACC;MASC;SG	PROPN
mateusza	matthieu	mateusz	matthieu	N;ACC;MASC;SG	PROPN
punk	punk	punk	punk		N;MASC;SG
punk	voyou	punk	voyou		N;MASC;SG
specjalistów	professionnels	specjalista	professionnel	N;ACC;MASC;PL	ADJ;MASC;PL
spencer	spencer	spencer	spencer	PROPN;NOM;MASC;SG	PROPN
wiatru	éolienne	wiatr	éolien	N;GEN;MASC;SG	ADJ;FEM;SG
wiatru	vents	wiatr	vent	N;GEN;MASC;SG	N;MASC;PL
ósmy	eighth	ósmy	eighth	ADJ;NOM;MASC;SG	V
syberii	sibérie	syberia	sibérie	N;GEN;FEM;SG	PROPN
tarcza	shield	tarczyć	shield	N;NOM;FEM;SG	PROPN
romuald	romuald	romuald	romual	PROPN;NOM;MASC;SG	N;MASC;SG
piwo	bières	piwo	bière	N;NOM;NEUT;SG	N;FEM;PL
piwo	bières	piwo	bière	N;NOM;NEUT;SG	N;FEM;PL
kultur	cultures	kultur	culture		N;FEM;PL
willi	willi	willa	willi	N;GEN;FEM;SG	PROPN
willi	villas	willa	villa	N;GEN;FEM;SG	N;FEM;PL
komenda	commandement	komenda	commandement		N;MASC;SG
komenda	commande	komenda	commande		N;FEM;SG
atlantic	atlantique	atlantic	atlantique		ADJ;MASC;SG
uni	uni	unia	uni		V;MASC;SG;PST;V.PTCP
pokonać	beat	pokonać	beat	V;PFV;NFIN;ACT	PROPN
pokonać	battement	pokonać	battement	V;PFV;NFIN;ACT	N;MASC;SG
pokonać	défaite	pokonać	défaite	V;PFV;NFIN;ACT	N;FEM;SG
pokonać	défaites	pokonać	défaite	V;PFV;NFIN;ACT	N;FEM;PL
age	ère	age	ère		N;FEM;SG
age	age	age	age		N;MASC;SG
age	âge	age	âge		N;MASC;SG
age	âges	age	âge		N;MASC;PL
rysunek	esquisser	rysunek	esquisser	N;NOM;MASC;SG	V;NFIN
rysunek	dessiner	rysunek	dessiner	N;NOM;MASC;SG	V;NFIN
urzędnicy	commis	urzędnik	commettre	N;NOM;MASC;PL	V;MASC;SG;PST;V.PTCP
urzędnicy	officiels	urzędnik	officiel	N;NOM;MASC;PL	ADJ;MASC;PL
panorama	panorama	panoram	panorama	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
panorama	panoramique	panoram	panoramique	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ;MASC;SG
gitarze	guitare	gitarz	guitare	V;IPFV;IND;SG;PRS;FIN;ACT	N;FEM;SG
gitarze	guitares	gitarz	guitare	V;IPFV;IND;SG;PRS;FIN;ACT	N;FEM;PL
karne	pénalités	karny	pénalité	N;NOM;MASC;SG	N;FEM;PL
karne	pénale	karny	pénal	N;NOM;MASC;SG	ADJ;FEM;SG
dole	dole	dół	dole	V;PFV;IND;SG;PRS;FIN;ACT	N;MASC;SG
dole	fond	dół	fond	V;PFV;IND;SG;PRS;FIN;ACT	N;MASC;SG
marsa	mars	marsa	mars		N;MASC;SG
znajomości	raccordements	znajomość	raccordement	N;GEN;FEM;SG	N;MASC;PL
znajomości	connexions	znajomość	connexion	N;GEN;FEM;SG	N;FEM;PL
nigerii	nigérien	nigeria	nigérien		ADJ;MASC;SG
nigerii	nigériane	nigeria	nigérian		ADJ;FEM;SG
nigerii	nigérian	nigeria	nigérian		ADJ;MASC;SG
nigerii	nigeria	nigeria	nigeria		PROPN
nigerii	nigéria	nigeria	nigéria		N;MASC;SG
posiadać	ont	posiadać	avoir	V;IPFV;NFIN;ACT	V;IND;PL;3;PRS;FIN
potencjał	potentialités	potencjać	potentialité	N;ACC;MASC;SG	N;FEM;PL
potencjał	potentiels	potencjać	potentiel	N;ACC;MASC;SG	ADJ;MASC;PL
potencjał	potentielle	potencjać	potentiel	N;ACC;MASC;SG	ADJ;FEM;SG
włoskie	italiennes	włoski	italien	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
włoskie	italiens	włoski	italien	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
xbox	xbox	xbox	xbox		N;MASC;SG
niespodziewanie	étonnement	niespodziewanie	étonnement	ADV	N;MASC;SG
wirginia	virginie	wirginia	virginie		N;FEM;SG
wirginia	virginia	wirginia	virginia		PROPN
dick	bite	dick	bite	PROPN;NOM;MASC;SG	N;FEM;SG
dick	dick	dick	dick	PROPN;NOM;MASC;SG	PROPN
konie	cheval	koń	cheval	N;NOM;MASC;PL	N;MASC;SG
konie	cheval	koń	cheval	N;NOM;MASC;PL	N;MASC;SG
konie	jument	koń	jument	N;NOM;MASC;PL	N;FEM;SG
agresji	agressions	agresja	agression	N;GEN;FEM;SG	N;FEM;PL
kiss	baiser	kiss	baiser		V;NFIN
kiss	kiss	kiss	kiss		PROPN
kiss	bisou	kiss	bisou		N;MASC;SG
rezerw	réserve	rezerw	réserve		N;FEM;SG
rezerw	réserves	rezerw	réserve		N;FEM;PL
kolejność	commander	kolejność	commander	N;NOM;FEM;SG	V;NFIN
kolejność	séquences	kolejność	séquence	N;NOM;FEM;SG	N;FEM;PL
imigrantów	immigrés	imigrant	immigré	N;GEN;MASC;PL	V;MASC;PL;PST;V.PTCP
imigrantów	immigrés	imigrant	immigré	N;GEN;MASC;PL	V;MASC;PL;PST;V.PTCP
imigrantów	immigrant	imigrant	immigrant	N;GEN;MASC;PL	N;MASC;SG
imigrantów	immigrée	imigrant	immigré	N;GEN;MASC;PL	ADJ;FEM;SG
imigrantów	immigré	imigrant	immigré	N;GEN;MASC;PL	V;MASC;SG;PST;V.PTCP
pogrzeb	funérailles	pogrzeb	funéraille	N;NOM;MASC;SG	N;FEM;PL
pogrzeb	obsèques	pogrzeb	obsèque	N;NOM;MASC;SG	N;FEM;PL
pogrzeb	funéraire	pogrzeb	funéraire	N;NOM;MASC;SG	ADJ;MASC;SG
angelo	angelo	angelo	angelo		PROPN
leszno	leszno	leszno	leszno		N;MASC;SG
petra	petra	petr	petra	PROPN;NOM;FEM;SG	PROPN
bułgaria	bulgarie	bułgarium	bulgarie	N;NOM;FEM;SG	ADJ;FEM;SG
straße	straße	stras	straße	INTJ	N;FEM;SG
kopia	copiez	kopia	copiez	N;NOM;FEM;SG	V;IMP;PL;2;PRS;FIN
kopia	exemplaire	kopia	exemplaire	N;NOM;FEM;SG	ADJ;MASC;SG
kopia	copier	kopia	copier	N;NOM;FEM;SG	V;NFIN
bogate	riches	bogaty	riche	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
bogate	rich	bogaty	rich	ADJ;NOM;NEUT;SG	PROPN
odziedziczył	héréditaire	odziedziczyć	héréditaire	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;MASC;SG
odziedziczył	héritées	odziedziczyć	hériter	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;FEM;PL;PST;V.PTCP
delegacji	délégations	delegacja	délégation	N;GEN;FEM;SG	N;FEM;PL
ems	sme	ems	sme		N;MASC;SG
ems	ems	ems	em		N;MASC;SG
chelsea	chelsea	chelsie	chelsea		N;MASC;SG
związani	lié	związać	lier	ADJ;NOM;MASC;PL	V;MASC;SG;PST;V.PTCP
ograniczone	limitée	ograniczyć	limiter	ADJ;NOM;NEUT;SG	V;FEM;SG;PST;V.PTCP
ograniczone	limitées	ograniczyć	limiter	ADJ;NOM;NEUT;SG	V;FEM;PL;PST;V.PTCP
ograniczone	limité	ograniczyć	limiter	ADJ;NOM;NEUT;SG	V;MASC;SG;PST;V.PTCP
ograniczone	limités	ograniczyć	limiter	ADJ;NOM;NEUT;SG	V;MASC;PL;PST;V.PTCP
ograniczone	limité	ograniczyć	limiter	ADJ;NOM;NEUT;SG	V;MASC;SG;PST;V.PTCP
kowalczyk	kowalczyk	kowalczyk	kowalczyk	PROPN;NOM;MASC;SG	PROPN
amerykanów	américains	amerykanin	américain	N;GEN;MASC;PL	ADJ;MASC;PL
sosnowiec	sosnowiec	sosnowiec	sosnowiec		PROPN
alfons	alphonse	alfons	alphonse	PROPN;NOM;MASC;SG	N;MASC;SG
alfons	alfonso	alfons	alfonso	PROPN;NOM;MASC;SG	PROPN
alfons	macs	alfons	macs	PROPN;NOM;MASC;SG	N;MASC;PL
alfons	maquereau	alfons	maquereau	PROPN;NOM;MASC;SG	N;MASC;SG
alfons	proxénète	alfons	proxénète	PROPN;NOM;MASC;SG	N;MASC;SG
właściwy	compétentes	właściwy	compétent	ADJ;NOM;MASC;SG	ADJ;FEM;PL
właściwy	compétents	właściwy	compétent	ADJ;NOM;MASC;SG	ADJ;MASC;PL
amerykanin	américaine	amerykanin	américain	N;NOM;MASC;SG	ADJ;FEM;SG
amerykanin	américain	amerykanin	américain	N;NOM;MASC;SG	ADJ;MASC;SG
amerykanin	américaines	amerykanin	américain	N;NOM;MASC;SG	ADJ;FEM;PL
amerykanin	américains	amerykanin	américain	N;NOM;MASC;SG	ADJ;MASC;PL
bordeaux	bordeaux	bordeaux	bordeau	N;NOM;MASC;SG	N;MASC;PL
teorie	théorie	teoria	théorie	N;NOM;FEM;PL	N;FEM;SG
porsche	porsche	porscha	porsche		N;FEM;SG
emilia	emilie	emilia	emilier	PROPN;NOM;FEM;SG	N;FEM;SG
emilia	emilia	emilia	emilia	PROPN;NOM;FEM;SG	PROPN
emilia	émilie	emilia	émilie	PROPN;NOM;FEM;SG	PROPN
emilia	emilie	emilia	emilier	PROPN;NOM;FEM;SG	N;FEM;SG
powiązane	associée	powiązać	associer	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
powiązane	associées	powiązać	associer	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
powiązane	connectée	powiązać	connecter	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
powiązane	connectés	powiązać	connecter	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
powiązane	raccordée	powiązać	raccorder	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
powiązane	connecté	powiązać	connecter	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
powiązane	liée	powiązać	lier	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
powiązane	lié	powiązać	lier	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
powiązane	relié	powiązać	relier	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
powiązane	liés	powiązać	lier	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
powiązane	connexes	powiązać	connexe	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;MASC;PL
powiązane	lié	powiązać	lier	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
powiązane	liés	powiązać	lier	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
milion	million	milion	million		N;MASC;SG
milion	millions	milion	million		N;MASC;PL
etiopii	éthiopie	etiopia	éthiopie		N;FEM;SG
etiopii	ethiopie	etiopia	ethiopier		N;FEM;SG
etiopii	éthiopie	etiopia	éthiopie		N;FEM;SG
etiopii	éthiopien	etiopia	éthiopien		ADJ;MASC;SG
etiopii	éthiopienne	etiopia	éthiopien		ADJ;FEM;SG
etiopii	ethiopie	etiopia	ethiopier		N;FEM;SG
błędne	erronée	błędny	erronée	ADJ;NOM;NEUT;SG	V;FEM;SG;PST;V.PTCP
błędne	erronées	błędny	erronée	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
błędne	erroné	błędny	erroné	ADJ;NOM;NEUT;SG	V;MASC;SG;PST;V.PTCP
otwór	hole	otwór	hole	N;NOM;MASC;SG	PROPN
justyna	justine	justyn	justine	PROPN;NOM;FEM;SG	N;FEM;SG
justyna	justin	justyn	justin	PROPN;NOM;FEM;SG	PROPN
justyna	justyna	justyn	justyna	PROPN;NOM;FEM;SG	N;FEM;SG
odpowiedzialność	passif	odpowiedzialność	passif	N;NOM;FEM;SG	ADJ;MASC;SG
odpowiedzialność	responsabilités	odpowiedzialność	responsabilité	N;NOM;FEM;SG	N;FEM;PL
odpowiedzialność	responsabilités	odpowiedzialność	responsabilité	N;NOM;FEM;SG	N;FEM;PL
police	policière	polic	policier		ADJ;FEM;SG
police	policiers	polic	policier		N;MASC;PL
police	police	polic	police		N;FEM;SG
police	policier	polic	policier		N;MASC;SG
bundesligi	bundesliga	bundesliga	bundesliga	N;ACC;MASC;PL	N;FEM;SG
liu	liu	liel	liu	PROPN;NOM;MASC;SG	PROPN
odkryty	extérieurs	odkryć	extérieur	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;MASC;PL
odkryty	extérieur	odkryć	extérieur	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	N;MASC;SG
wyjaśnienia	explications	wyjaśnienie	explication	N;NOM;NEUT;SG	N;FEM;PL
wyjaśnienia	explications	wyjaśnienie	explication	N;NOM;NEUT;SG	N;FEM;PL
wyjaśnienia	éclaircissements	wyjaśnienie	éclaircissement	N;NOM;NEUT;SG	N;MASC;PL
ołeksandr	oleksandr	ołeksandr	oleksandr	N;NOM;MASC;SG	PROPN
okrążenia	lap	okrążyć	lap	N;NOM;NEUT;PL	N;MASC;SG
okrążenia	giron	okrążyć	giron	N;NOM;NEUT;PL	N;MASC;SG
hop	houblon	hop	houblon		N;MASC;SG
hop	hop	hop	hop		N;MASC;SG
współrzędnych	coordonnées	współrzędny	coordonner	ADJ;GEN;MASC;PL	V;FEM;PL;PST;V.PTCP
współrzędnych	coordonnés	współrzędny	coordonner	ADJ;GEN;MASC;PL	V;MASC;PL;PST;V.PTCP
avenue	avenue	avenu	avenue		N;FEM;SG
gustav	gustav	gustav	gustav	PROPN;NOM;MASC;SG	PROPN
gustav	gustave	gustav	gustave	PROPN;NOM;MASC;SG	N;MASC;SG
mobile	mobile	mobil	mobile		ADJ;MASC;SG
mobile	portable	mobil	portable		ADJ;MASC;SG
filadelfii	philadelphie	filadelfia	philadelphie	PROPN;NOM;MASC;SG	N;FEM;SG
filadelfii	philly	filadelfia	philly	PROPN;NOM;MASC;SG	PROPN
filadelfii	philadelphie	filadelfia	philadelphie	PROPN;NOM;MASC;SG	N;FEM;SG
filadelfii	philadelphia	filadelfia	philadelphia	PROPN;NOM;MASC;SG	PROPN
oddziaływania	répercussions	oddziaływać	répercussion	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N;FEM;PL
oddziaływania	impacts	oddziaływać	impact	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N;MASC;PL
poczta	publier	poczta	publier	N;NOM;FEM;SG	V;NFIN
wenus	venus	wenus	venir		V;MASC;PL;PST;V.PTCP
wenus	vénus	wenus	vénu		PROPN
graf	graf	grafa	graf		PROPN
zapraszam	bienvenues	zapraszać	bienvenue	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;FEM;PL;PST;V.PTCP
zapraszam	bienvenue	zapraszać	bienvenue	V;IPFV;IND;SG;1;PRS;FIN;ACT	ADJ;FEM;SG
zapraszam	bienvenus	zapraszać	bienvenu	V;IPFV;IND;SG;1;PRS;FIN;ACT	ADJ;MASC;PL
zapraszam	bienvenu	zapraszać	bienvenu	V;IPFV;IND;SG;1;PRS;FIN;ACT	ADJ;MASC;SG
cosworth	cosworth	coswory	cosworth		PROPN
felipe	felipe	felipy	felipe	PROPN;NOM;MASC;SG	PROPN
zasług	mérites	zasługa	mérite	N;GEN;FEM;SG	N;MASC;PL
zasług	mérite	zasługa	mériter	N;GEN;FEM;SG	ADJ;MASC;SG
zurychu	zurich	zurych	zurich	PROPN;NOM;MASC;SG	PROPN
pasażerski	passager	pasażerski	passager	ADJ;NOM;MASC;SG	N;MASC;SG
pasażerski	passagers	pasażerski	passager	ADJ;NOM;MASC;SG	N;MASC;PL
pasażerski	voyageur	pasażerski	voyageur	ADJ;NOM;MASC;SG	N;MASC;SG
cia	cia	cia	cia		N;FEM;SG
cia	cia	cia	cia		N;FEM;SG
pojedynczy	single	pojedynczy	single	ADJ;NOM;MASC;SG	N;MASC;SG
pojedynczy	célibataires	pojedynczy	célibataire	ADJ;NOM;MASC;SG	ADJ;MASC;PL
sprinter	sprinter	sprinter	sprinter		N;MASC;SG
ból	douleurs	ból	douleur	N;NOM;MASC;SG	N;FEM;PL
rgb	rvb	rgba	rvb		N;MASC;SG
pierwotne	primaires	pierwotny	primaire	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
grobu	tombe	grób	tomber	N;GEN;MASC;SG	V;IND;SG;3;PRS;FIN
grobu	grave	grób	grave	N;GEN;MASC;SG	ADJ;MASC;SG
martín	martín	martín	martín	PROPN;NOM;MASC;SG	PROPN
kupił	achetées	kupić	acheter	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;FEM;PL;PST;V.PTCP
kupił	achetés	kupić	acheter	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;MASC;PL;PST;V.PTCP
wycofany	retirée	wycofać	retirer	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
wycofany	retirées	wycofać	retirer	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
wycofany	retiré	wycofać	retirer	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
justin	justin	justin	justin	PROPN;NOM;MASC;SG	PROPN
beck	beck	beck	beck	PROPN;NOM;MASC;SG	PROPN
true	vrais	true	vrai		ADJ;MASC;PL
true	true	true	true		N;MASC;SG
true	vraie	true	vrai		ADJ;FEM;SG
true	vrai	true	vrai		ADJ;MASC;SG
true	véritable	true	véritable		ADJ;MASC;SG
ginie	gina	ginąć	gina	V;IPFV;IND;SG;3;PRS;FIN;ACT	PROPN
collegium	collegium	collegium	collegium		N;MASC;SG
indianapolis	indianapolis	indianapolis	indianapolis	N;NOM;MASC;SG	PROPN
sprawdzone	vérifiés	sprawdzić	vérifier	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
sprawdzone	cochée	sprawdzić	cocher	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
sprawdzone	vérifiées	sprawdzić	vérifier	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
sprawdzone	vérifié	sprawdzić	vérifier	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
sprawdzone	vérifiée	sprawdzić	vérifier	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
sprawdzone	coché	sprawdzić	coché	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
sprawdzone	vérifiés	sprawdzić	vérifier	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
sprawdzone	vérifiée	sprawdzić	vérifier	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
sprawdzone	vérifiées	sprawdzić	vérifier	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
sprawdzone	vérifié	sprawdzić	vérifier	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
sprawdzone	inspectés	sprawdzić	inspecter	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
sprawdzone	inspecté	sprawdzić	inspecter	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
sprawdzone	testé	sprawdzić	tester	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
sprawdzone	testés	sprawdzić	tester	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
sprawdzone	testée	sprawdzić	testée	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
sprawdzone	testées	sprawdzić	tester	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;FEM;PL;PST;V.PTCP
żużlu	speedway	żużel	speedway		N;MASC;SG
rzymskie	roman	rzymski	roman	ADJ;NOM;NEUT;SG	N;MASC;SG
rzymskie	romaines	rzymski	romain	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
rzymskie	romains	rzymski	romain	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
godło	armoiries	godć	armoirie	N;NOM;NEUT;SG	N;FEM;PL
hampshire	hampshire	hampshiry	hampshire		N;MASC;SG
rakieta	roquettes	rakieta	roquette	N;NOM;FEM;SG	N;FEM;PL
rakieta	fusées	rakieta	fusée	N;NOM;FEM;SG	N;FEM;PL
rakieta	missiles	rakieta	missile	N;NOM;FEM;SG	N;MASC;PL
hart	hart	hart	hart		PROPN
khan	khan	khana	khan	PROPN;NOM;MASC;SG	PROPN
wymieniona	référencés	wymienić	référencer	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;MASC;PL;PST;V.PTCP
wymieniona	référencé	wymienić	référencer	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
podanie	passer	podanie	passer	N;PFV;NOM;NEUT;SG;POS;V.MSDR	V;NFIN
podanie	passe	podanie	passer	N;PFV;NOM;NEUT;SG;POS;V.MSDR	V;IND;SG;3;PRS;FIN
podanie	passent	podanie	passer	N;PFV;NOM;NEUT;SG;POS;V.MSDR	V;IND;PL;3;PRS;FIN
