और	oraz	और	oraz		CONJ
सहमति	uzgodnione	सहमति	uzgodnić	N;NOM;FEM;SG;3	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
जोशी	joshi	जोशी	josho	PROPN;NOM;SG;3	
लोहे	żelazna	लोहा	żelazny	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
लोहे	żelaza	लोहा	żelazo	N;NOM;MASC;SG;3	
लोहे	iron	लोहा	iron	N;NOM;MASC;SG;3	
सूचित	poinformowała	सूचित	poinformować	ADJ	V;PFV;FEM;IND;SG;PST;FIN;ACT
सूचित	poinformował	सूचित	poinformować	ADJ	V;PFV;MASC;IND;SG;PST;FIN;ACT
सूचित	powiadomić	सूचित	powiadomić	ADJ	V;PFV;NFIN;ACT
कवर	okładki	कवर	okładka		N;ACC;FEM;PL
कवर	okładka	कवर	okładka		N;NOM;FEM;SG
कवर	pokrywa	कवर	pokrywać		V;IPFV;IND;SG;3;PRS;FIN;ACT
कवर	okładki	कवर	okładka		N;ACC;FEM;PL
कवर	pokrywy	कवर	pokrywy		N;ACC;FEM;PL
कवर	obejmuje	कवर	obejmować		V;IPFV;IND;SG;3;PRS;FIN;ACT
भय	strachu	भय	strach	N;NOM;MASC;SG;3	N;GEN;MASC;SG
अस्थायी	przejściowe	अस्थायी	przejściowy	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
अस्थायी	przejściowa	अस्थायी	przejściowy	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
अस्थायी	przejściowy	अस्थायी	przejściowy	N;NOM;MASC;SG;3	ADJ;ACC;MASC;SG
अस्थायी	przemijające	अस्थायी	przemijać	N;NOM;MASC;SG;3	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;ACT
अस्थायी	tymczasowy	अस्थायी	tymczasowy	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
अस्थायी	tymczasowo	अस्थायी	tymczasowo	N;NOM;MASC;SG;3	ADV
अस्थायी	tymczasowa	अस्थायी	tymczasowy	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
अस्थायी	tymczasowe	अस्थायी	tymczasowy	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
अस्थायी	czasowe	अस्थायी	czasowy	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
अस्थायी	tymczasowego	अस्थायी	tymczasowy	N;NOM;MASC;SG;3	ADJ;ACC;MASC;SG
अस्थायी	tymczasowa	अस्थायी	tymczasowy	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
अस्थायी	tymczasowe	अस्थायी	tymczasowy	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
अस्थायी	tymczasowy	अस्थायी	tymczasowy	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
अस्थायी	tymczasowa	अस्थायी	tymczasowy	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
कमल	lotus	कमल	lotus	PROPN;NOM;MASC;SG;3	
कमल	kamal	कमल	kamal	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
नागरिकों	obywatele	नागरिक	obywatele	N;ACC;MASC;PL;3	N;NOM;MASC;PL
नागरिकों	obywateli	नागरिक	obywatel	N;ACC;MASC;PL;3	N;GEN;MASC;PL
नागरिकों	obywatelami	नागरिक	obywatel	N;ACC;MASC;PL;3	N;INS;MASC;PL
नागरिकों	obywatele	नागरिक	obywatele	N;ACC;MASC;PL;3	N;NOM;MASC;PL
नागरिकों	cywile	नागरिक	cywile	N;ACC;MASC;PL;3	N;NOM;MASC;PL
प्रमाणित	certyfikat	प्रमाणित	certyfikat	ADJ	N;ACC;MASC;SG
एसिड	kwasy	एसिड	kwas	N;NOM;MASC;SG;3	N;NOM;MASC;PL
बुक	zarezerwowany	बुक	zarezerwować	N;NOM;MASC;SG;3	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
बुक	zarezerwowane	बुक	zarezerwować	N;NOM;MASC;SG;3	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
बुक	książkę	बुक	książka	N;NOM;MASC;SG;3	N;ACC;FEM;SG
बुक	książki	बुक	książka	N;NOM;MASC;SG;3	N;NOM;FEM;PL
बुक	księga	बुक	ksiągać	N;NOM;MASC;SG;3	
तीव्रता	intensywności	तीव्रता	intensywność	N;NOM;FEM;SG;3	N;GEN;FEM;SG
अंगों	narządy	अंग	narząd	N;ACC;MASC;PL;3	N;NOM;MASC;PL
अंगों	organy	अंग	organa	N;ACC;MASC;PL;3	N;NOM;MASC;PL
हथियार	broń	हथियार	broń	N;NOM;MASC;PL;3	V;IPFV;IMP;SG;2;FIN;ACT
हथियार	uzbrojenie	हथियार	uzbrojenie	N;NOM;MASC;PL;3	N;PFV;NOM;NEUT;SG;POS;V.MSDR
हथियार	broni	हथियार	bronić	N;NOM;MASC;PL;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
हथियार	bronie	हथियार	bron	N;NOM;MASC;PL;3	V;IPFV;IND;PL;2;PRS;FIN;ACT
हथियार	broń	हथियार	broń	N;NOM;MASC;PL;3	V;IPFV;IMP;SG;2;FIN;ACT
हथियार	bron	हथियार	bron	N;NOM;MASC;PL;3	V;IPFV;IND;SG;2;PRS;FIN;ACT
माप	środek	माप	środek		N;NOM;MASC;SG
माप	środka	माप	środek		N;GEN;MASC;SG
माप	miara	माप	miara		N;NOM;FEM;SG
माप	pomiary	माप	pomiar		N;NOM;MASC;PL
माप	pomiarów	माप	pomiar		N;GEN;MASC;PL
माप	pomiar	माप	pomiar		N;NOM;MASC;SG
माप	wycena	माप	wycenać		N;NOM;FEM;SG
माप	pomiaru	माप	pomiar		N;GEN;MASC;SG
माप	pomiary	माप	pomiar		N;NOM;MASC;PL
थॉमस	tomasz	थॉमस	tomasz	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
थॉमस	tomaszu	थॉमस	tomasz	PROPN;NOM;MASC;SG;3	N;VOC;MASC;SG
थॉमस	thomas	थॉमस	thomas	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
थॉमस	tomek	थॉमस	tomek	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
एडवर्ड	edwarda	एडवर्ड	edwardy	PROPN;NOM;MASC;SG;3	N;ACC;MASC;SG
एडवर्ड	edward	एडवर्ड	edward	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
एडवर्ड	edwardzie	एडवर्ड	edward	PROPN;NOM;MASC;SG;3	N;VOC;MASC;SG
चुनौती	challenge	चुनौती	challenga	N;NOM;FEM;SG;3	
ओलम्पिक	olimpijski	ओलम्पिक	olimpijski	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
ओलम्पिक	olympic	ओलम्पिक	olympic	PROPN;NOM;MASC;SG;3	
ओलम्पिक	olimpijskie	ओलम्पिक	olimpijski	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
गणेश	ganesh	गणेश	ganes	PROPN;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
वसा	tłuszczów	वसा	tłuszczyć	N;NOM;MASC;SG;3	N;GEN;MASC;PL
वसा	tłuszcze	वसा	tłuszczyć	N;NOM;MASC;SG;3	N;NOM;MASC;PL
वसा	gruba	वसा	gruba	N;NOM;MASC;SG;3	
वसा	tłuszczu	वसा	tłuszcz	N;NOM;MASC;SG;3	N;GEN;MASC;SG
वसा	grubo	वसा	grubo	N;NOM;MASC;SG;3	
वसा	fat	वसा	fato	N;NOM;MASC;SG;3	
वसा	gruby	वसा	gruby	N;NOM;MASC;SG;3	
पाता	znajdzie	पा	znaleźć	V;IPFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;SG;3;FUT;FIN;ACT
कमजोर	słabo	कमजोर	słabo	ADJ	ADV
नजर	eye	नजर	e	N;NOM;FEM;SG;3	
रीति	rytuał	रीति	rytuać	N;NOM;FEM;SG;3	N;ACC;MASC;SG
सीधा	prosto	सीधा	prosto	ADJ;NOM;MASC;SG	
सीधा	bezpośredni	सीधा	bezpośredni	ADJ;NOM;MASC;SG	
सीधा	direct	सीधा	direct	ADJ;NOM;MASC;SG	
भाषण	mowa	भाषण	mowa	N;NOM;MASC;SG;3	
सृष्टि	tworzenia	सृष्टि	tworzyć	N;NOM;FEM;SG;3	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
स्वस्थ	zdrowo	स्वस्थ	zdrowo	ADJ	
स्वस्थ	zdrowa	स्वस्थ	zdrowy	ADJ	
स्वस्थ	zdrowy	स्वस्थ	zdrowy	ADJ	
भागीदारी	udział	भागीदारी	udział	N;NOM;FEM;SG;3	V;PFV;MASC;IND;SG;PST;FIN;ACT
भागीदारी	uczestnictwa	भागीदारी	uczestnictwo	N;NOM;FEM;SG;3	N;GEN;NEUT;SG
भागीदारी	udział	भागीदारी	udział	N;NOM;FEM;SG;3	V;PFV;MASC;IND;SG;PST;FIN;ACT
उद्योगों	industries	उद्योग	industries	N;ACC;MASC;PL;3	
उद्योगों	przedsiębiorca	उद्योग	przedsiębiorca	N;ACC;MASC;PL;3	N;NOM;MASC;SG
उद्योगों	przedsiębiorcy	उद्योग	przedsiębiorca	N;ACC;MASC;PL;3	N;NOM;MASC;PL
स्टॉक	zasoby	स्टॉक	zasóba	N;NOM;MASC;SG;3	N;NOM;MASC;PL
स्टॉक	zapasy	स्टॉक	zapas	N;NOM;MASC;SG;3	N;NOM;MASC;PL
स्टॉक	zapasów	स्टॉक	zapas	N;NOM;MASC;SG;3	N;GEN;MASC;PL
स्टॉक	akcje	स्टॉक	akcja	N;NOM;MASC;SG;3	N;NOM;FEM;PL
मर	martwa	मर	martwy	V;ACT	N;NOM;FEM;SG
मर	martwe	मर	martwy	V;ACT	
मर	martwy	मर	martwy	V;ACT	ADJ;NOM;MASC;SG
मर	dead	मर	dead	V;ACT	
यात्रियों	pasażerowie	यात्री	pasażer	N;ACC;MASC;PL;3	N;NOM;MASC;PL
यात्रियों	pasażerom	यात्री	pasażer	N;ACC;MASC;PL;3	N;DAT;MASC;PL
बच्चन	bachchan	बच्चन	bachchan	PROPN;NOM;SG;3	N;NOM;MASC;SG
गहरी	głęboko	गहरा	głęboko	ADJ;NOM;FEM;SG	ADV
गहरी	deep	गहरा	deep	ADJ;NOM;FEM;SG	
लिंक्स	linków	लिंक्स	link	N;NOM;FEM;SG;3	N;GEN;MASC;PL
लिंक्स	łącza	लिंक्स	łączyć	N;NOM;FEM;SG;3	
लिंक्स	linki	लिंक्स	linka	N;NOM;FEM;SG;3	N;NOM;FEM;PL
लिंक्स	odnośniki	लिंक्स	odnośnik	N;NOM;FEM;SG;3	N;ACC;MASC;PL
लिंक्स	lynx	लिंक्स	lynx	N;NOM;FEM;SG;3	
विस्फोट	wybuchy	विस्फोट	wybuch	N;NOM;MASC;SG;3	N;NOM;MASC;PL
विस्फोट	eksplozje	विस्फोट	eksplozja	N;NOM;MASC;SG;3	N;NOM;FEM;PL
विस्फोट	eksplozji	विस्फोट	eksplozja	N;NOM;MASC;SG;3	N;GEN;FEM;SG
जावा	java	जावा	java	N;NOM;MASC;SG;3	
नक्शा	mapa	नक्शा	mapa	N;NOM;MASC;SG;3	
नक्शा	mapy	नक्शा	mapa	N;NOM;MASC;SG;3	N;ACC;FEM;SG
नक्शा	mapę	नक्शा	mapa	N;NOM;MASC;SG;3	N;ACC;FEM;SG
नक्शा	mapie	नक्शा	mapa	N;NOM;MASC;SG;3	N;ACC;FEM;SG
हॉकी	hokeja	हॉकी	hokej	N;NOM;FEM;SG;3	N;ACC;MASC;SG
सोडियम	sodu	सोडियम	sód	N;NOM;MASC;SG;3	
घास	trawniku	घास	trawnik	N;NOM;MASC;SG;3	N;DAT;MASC;SG
घास	trawę	घास	trawa	N;NOM;MASC;SG;3	N;ACC;FEM;SG
घास	trawy	घास	trawa	N;NOM;MASC;SG;3	N;ACC;FEM;PL
पाये	znaleziona	पा	znaleźć	V;PFV;MASC;PL;V.PTCP;ACT	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
पाये	znaleziony	पा	znaleźć	V;PFV;MASC;PL;V.PTCP;ACT	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
पाये	znalazł	पा	znaleźć	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
पाये	znalezione	पा	znaleźć	V;PFV;MASC;PL;V.PTCP;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
नामांकित	włączono	नामांकित	włączyć	ADJ;NOM	V;PFV;IND;0;PST;FIN;ACT
कथन	stwierdzenia	कथन	stwierdzić	N;NOM;MASC;SG;3	N;GEN;NEUT;SG
कथन	deklaracje	कथन	deklaracja	N;NOM;MASC;SG;3	N;NOM;FEM;PL
भरे	wypełniony	भर	wypełnić	V;PFV;MASC;PL;V.PTCP;ACT	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
भरे	wypełnione	भर	wypełnić	V;PFV;MASC;PL;V.PTCP;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
ज्वालामुखी	wulkanu	ज्वालामुखी	wulkać	N;NOM;MASC;SG;3	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
ज्वालामुखी	wulkany	ज्वालामुखी	wulkać	N;NOM;MASC;SG;3	ADJ;IPFV;NOM;NEUT;PL;POS;V.PTCP;PASS
बैंकों	banks	बैंक	banks	N;ACC;MASC;PL;3	
बैंकों	banki	बैंक	bank	N;ACC;MASC;PL;3	N;NOM;MASC;PL
बैंकों	bankami	बैंक	bank	N;ACC;MASC;PL;3	N;INS;MASC;PL
बैंकों	banków	बैंक	bank	N;ACC;MASC;PL;3	N;GEN;MASC;PL
सुल्तान	sultan	सुल्तान	sultan	PROPN;NOM;MASC;SG;3	V;IPFV;IND;SG;PRS;FIN;ACT
कारकों	czynniki	कारक	czynnik	N;ACC;MASC;PL;3	N;NOM;MASC;PL
कारकों	współczynniki	कारक	współczynnik	N;ACC;MASC;PL;3	N;NOM;MASC;PL
सिविल	cywilne	सिविल	cywilny	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
सिविल	obywatelskiego	सिविल	obywatelski	N;NOM;MASC;SG;3	ADJ;ACC;MASC;SG
सिविल	cywilny	सिविल	cywilny	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
शेर	lwy	शेर	lew	N;NOM;MASC;SG;3	N;NOM;MASC;PL
शेर	lwów	शेर	lwów	N;NOM;MASC;SG;3	
शेर	lwa	शेर	lwa	N;NOM;MASC;SG;3	N;ACC;MASC;SG
शेर	sher	शेर	sher	N;NOM;MASC;SG;3	
प्रतिदिन	codziennie	प्रतिदिन	codziennie	N;NOM;MASC;SG;3	ADV
प्रतिदिन	codzienne	प्रतिदिन	codzienny	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
प्रतिदिन	codzienny	प्रतिदिन	codzienny	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
प्रतिदिन	dzienna	प्रतिदिन	dzienny	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
प्रतिदिन	daily	प्रतिदिन	daily	N;NOM;MASC;SG;3	
प्रतिदिन	codziennie	प्रतिदिन	codziennie	N;NOM;MASC;SG;3	ADV
प्रतिदिन	codzienne	प्रतिदिन	codzienny	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
प्रतिदिन	dziennie	प्रतिदिन	dziennie	N;NOM;MASC;SG;3	ADV
बैंकिंग	bankowego	बैंकिंग	bankowy	N;NOM;FEM;SG;3	ADJ;ACC;MASC;SG
बैंकिंग	bankowości	बैंकिंग	bankowość	N;NOM;FEM;SG;3	N;GEN;FEM;SG
बैंकिंग	bankowy	बैंकिंग	bankowy	N;NOM;FEM;SG;3	ADJ;NOM;MASC;SG
बैंकिंग	bankowe	बैंकिंग	bankowy	N;NOM;FEM;SG;3	ADJ;NOM;NEUT;SG
असामान्य	niezwykła	असामान्य	niezwykły	PROPN;NOM;SG;3	ADJ;NOM;FEM;SG
असामान्य	niespotykane	असामान्य	spotykać	PROPN;NOM;SG;3	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
असामान्य	nietypowe	असामान्य	nietypowy	PROPN;NOM;SG;3	ADJ;NOM;NEUT;SG
असामान्य	niezwykłe	असामान्य	niezwykłe	PROPN;NOM;SG;3	ADJ;NOM;NEUT;SG
असामान्य	nieprawidłowe	असामान्य	nieprawidłowy	PROPN;NOM;SG;3	ADJ;NOM;NEUT;SG
कमरे	pokoje	कमरा	pokój	N;NOM;MASC;SG;3	N;NOM;MASC;PL
स्वाद	smaku	स्वाद	smak	N;NOM;MASC;SG;3	N;GEN;MASC;SG
चित्रकार	malarzy	चित्रकार	malarz	N;NOM;MASC;SG;3	N;ACC;MASC;PL
चित्रकार	malarza	चित्रकार	malarz	N;NOM;MASC;SG;3	N;ACC;MASC;SG
विद्यार्थी	uczniowie	विद्यार्थी	uczeń	N;NOM;MASC;SG;3	N;NOM;MASC;PL
विद्यार्थी	studenci	विद्यार्थी	student	N;NOM;MASC;SG;3	N;NOM;MASC;PL
विद्यार्थी	studentów	विद्यार्थी	student	N;NOM;MASC;SG;3	N;ACC;MASC;PL
विद्यार्थी	studenci	विद्यार्थी	student	N;NOM;MASC;SG;3	N;NOM;MASC;PL
पेय	napoje	पेय	napój	N;NOM;MASC;SG;3	N;NOM;MASC;PL
पेय	napojów	पेय	napój	N;NOM;MASC;SG;3	N;GEN;MASC;PL
पेय	pić	पेय	pić	N;NOM;MASC;SG;3	V;IPFV;NFIN;ACT
पेय	napoje	पेय	napój	N;NOM;MASC;SG;3	N;NOM;MASC;PL
पेय	napojów	पेय	napój	N;NOM;MASC;SG;3	N;GEN;MASC;PL
पेय	napoje	पेय	napój	N;NOM;MASC;SG;3	N;NOM;MASC;PL
पेय	napojów	पेय	napój	N;NOM;MASC;SG;3	N;GEN;MASC;PL
चक	chak	चक	chak	PROPN;NOM;MASC;SG;3	
चक	chuckiem	चक	chucki	PROPN;NOM;MASC;SG;3	N;INS;MASC;SG
चक	chuck	चक	chuck	PROPN;NOM;MASC;SG;3	
चक	chucka	चक	chucka	PROPN;NOM;MASC;SG;3	
सूचीबद्ध	wymienionych	सूचीबद्ध	wymienić	PROPN;NOM;MASC;SG;3	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS
सूचीबद्ध	wymienione	सूचीबद्ध	wymienić	PROPN;NOM;MASC;SG;3	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
माध्यमिक	wtórne	माध्यमिक	wtórny	N;NOM;MASC;SG;3	
माध्यमिक	drugorzędne	माध्यमिक	drugorzędny	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
माध्यमिक	wtórnego	माध्यमिक	wtórny	N;NOM;MASC;SG;3	ADJ;ACC;MASC;SG
खगोलीय	astronomiczne	खगोलीय	astronomiczny	PROPN;NOM	ADJ;NOM;NEUT;SG
लक्ष्मी	lakshmi	लक्ष्मी	laksh	PROPN;NOM;FEM;SG;3	
तार	drutu	तार	drut	N;NOM;MASC;SG;3	N;GEN;MASC;SG
तार	druty	तार	drut	N;NOM;MASC;SG;3	N;NOM;MASC;PL
तार	podłączone	तार	podłączyć	N;NOM;MASC;SG;3	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
तार	sznurki	तार	sznurek	N;NOM;MASC;SG;3	N;NOM;MASC;PL
तार	strun	तार	struna	N;NOM;MASC;SG;3	
तार	struny	तार	struna	N;NOM;MASC;SG;3	N;NOM;FEM;PL
मनोज	manoj	मनोज	mano	PROPN;NOM;MASC;SG;3	
पृथक	odrębny	पृथक	odrębny		ADJ;NOM;MASC;SG
पृथक	odrębne	पृथक	odrębny		ADJ;NOM;NEUT;SG
पृथक	odizolowane	पृथक	odizolować		ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
पृथक	osobne	पृथक	osobny		ADJ;NOM;NEUT;SG
पृथक	odrębne	पृथक	odrębny		ADJ;NOM;NEUT;SG
पृथक	oddzielne	पृथक	oddzielny		ADJ;NOM;NEUT;SG
ओम	ohm	ओम	ohm	PROPN;NOM;MASC;SG;3	
जाट	jat	जाट	jat	PROPN;NOM;MASC;SG;3	
अचानक	nagł	अचानक	nagł	ADV	V;PFV;MASC;IND;SG;PST;FIN;ACT
अचानक	nagła	अचानक	nagły	ADV	ADJ;NOM;FEM;SG
संसदीय	parlamentarnej	संसदीय	parlamentarny	N;NOM;MASC;SG;3	ADJ;GEN;FEM;SG
संसदीय	parlamentarne	संसदीय	parlamentarny	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
डर	strachu	डर	strach		N;GEN;MASC;SG
डर	strach	डर	strach		N;NOM;MASC;SG
डर	lęk	डर	lęk		N;NOM;MASC;SG
करियर	kariery	करियर	kariera	N;NOM;MASC;SG;3	N;GEN;FEM;SG
करियर	karierę	करियर	kariera	N;NOM;MASC;SG;3	N;ACC;FEM;SG
करियर	kariery	करियर	kariera	N;NOM;MASC;SG;3	N;GEN;FEM;SG
शुक्र	fri	शुक्र	friąć	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
शुक्र	venus	शुक्र	venus	PROPN;NOM;MASC;SG;3	
शुक्र	wenus	शुक्र	wenus	PROPN;NOM;MASC;SG;3	
जानवर	bestii	जानवर	bestia	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
जानवर	bestie	जानवर	być	N;NOM;MASC;SG;3	N;NOM;MASC;PL
जानवर	zwierząt	जानवर	zwierzę	N;NOM;MASC;SG;3	N;GEN;NEUT;PL
जानवर	zwierzęta	जानवर	zwierzę	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
जानवर	zwierząt	जानवर	zwierzę	N;NOM;MASC;SG;3	N;GEN;NEUT;PL
जानवर	zwierzęta	जानवर	zwierzę	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
आना	ana	आ	ann	V;MASC;NFIN;ACT	PROPN;NOM;MASC;SG
चेहरे	twarzy	चेहरा	twarz	N;NOM;MASC;PL;3	N;GEN;FEM;SG
चेहरे	twarz	चेहरा	twarz	N;NOM;MASC;PL;3	N;NOM;FEM;SG
चेहरे	face	चेहरा	faka	N;NOM;MASC;PL;3	
अंग्रेज	angielski	अंग्रेज	angielski	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
चिन्ह	symboli	चिन्ह	symbolia	N;NOM;MASC;SG;3	
चिन्ह	symbole	चिन्ह	symbol	N;NOM;MASC;SG;3	N;NOM;MASC;PL
चरम	ekstremalnie	चरम	ekstremalnie		ADV
चरम	ekstremalne	चरम	ekstremalny		ADJ;NOM;NEUT;SG
स्मिथ	smitha	स्मिथ	smith	PROPN;NOM;MASC;SG;3	N;ACC;MASC;SG
स्मिथ	smith	स्मिथ	smith	PROPN;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
गाड़ी	car	गाड़ी	car	N;NOM;FEM;SG;3	
हिंसा	przemoc	हिंसा	przemoc	N;NOM;FEM;SG;3	
हिंसा	przemocy	हिंसा	przemoc	N;NOM;FEM;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
भर्ती	rekrutacji	भर्ती	rekrutacja	N;NOM;FEM;SG;3	N;GEN;FEM;SG
भर्ती	rekrutacji	भर्ती	rekrutacja	N;NOM;FEM;SG;3	N;GEN;FEM;SG
भर्ती	rekrut	भर्ती	rekrut	N;NOM;FEM;SG;3	
भर्ती	zatrudniania	भर्ती	zatrudniać	N;NOM;FEM;SG;3	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
स्तंभ	kolumny	स्तंभ	kolumna	N;NOM;MASC;SG;3	N;NOM;FEM;PL
स्तंभ	kolumnie	स्तंभ	kolumna	N;NOM;MASC;SG;3	N;DAT;FEM;SG
स्तंभ	kolumn	स्तंभ	kolumna	N;NOM;MASC;SG;3	N;GEN;FEM;PL
स्तंभ	kolumny	स्तंभ	kolumna	N;NOM;MASC;SG;3	N;NOM;FEM;PL
कार्यकाल	godziny	कार्यकाल	godzina	N;NOM;MASC;SG;3	N;NOM;FEM;PL
कार्यकाल	godzin	कार्यकाल	godzina	N;NOM;MASC;SG;3	N;GEN;FEM;PL
कार्यकाल	kadencji	कार्यकाल	kadencja	N;NOM;MASC;SG;3	N;GEN;FEM;SG
नहर	kanał	नहर	kanał	N;NOM;FEM;SG;3	N;ACC;MASC;SG
ताल	pokonać	ताल	pokonać		V;PFV;NFIN;ACT
आजादी	freedom	आजादी	freed	N;NOM;FEM;SG;3	
आजादी	wolności	आजादी	wolność	N;NOM;FEM;SG;3	N;GEN;FEM;SG
बोध	postrzeganie	बोध	postrzeganie		N;IPFV;NOM;NEUT;SG;POS;V.MSDR
मलेशिया	malezja	मलेशिया	malezja	PROPN;NOM;MASC;SG;3	
मलेशिया	malezji	मलेशिया	malezja	PROPN;NOM;MASC;SG;3	
अंडे	jaja	अंडा	jajo	N;NOM;MASC;PL;3	N;NOM;NEUT;SG
अंडे	jaj	अंडा	jajo	N;NOM;MASC;PL;3	
अंडे	jajka	अंडा	jajko	N;NOM;MASC;PL;3	N;NOM;NEUT;SG
अंडे	jajeczka	अंडा	jajeczka	N;NOM;MASC;PL;3	N;NOM;NEUT;SG
जीवनी	biografia	जीवनी	biografium	PROPN;NOM;FEM;SG;3	N;NOM;FEM;SG
जीवनी	życiorys	जीवनी	życiorys	PROPN;NOM;FEM;SG;3	N;NOM;MASC;SG
जीवनी	biografię	जीवनी	biografia	PROPN;NOM;FEM;SG;3	N;ACC;FEM;SG
मजबूर	zmuszeni	मजबूर	zmusić	ADJ	V;PFV;MASC;IND;PL;PST;FIN;ACT
अधिग्रहण	nabycia	अधिग्रहण	nabyć	N;NOM;MASC;SG;3	N;PFV;GEN;NEUT;SG;POS;V.MSDR
गुफा	jaskinia	गुफा	jaskiniać	N;NOM;FEM;SG;3	
गुफा	jaskini	गुफा	jaskinia	N;NOM;FEM;SG;3	
महाकाव्य	epic	महाकाव्य	epic	N;NOM;MASC;SG;3	
परिणामों	rezultaty	परिणाम	rezultat	N;ACC;MASC;PL;3	N;NOM;MASC;PL
परिणामों	wyniki	परिणाम	wynik	N;ACC;MASC;PL;3	N;NOM;MASC;PL
प्लास्टिक	tworzyw	प्लास्टिक	tworzyw	N;NOM;MASC;SG;3	
प्लास्टिक	plastikowe	प्लास्टिक	plastikowy	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
प्लास्टिक	plastiku	प्लास्टिक	plastik	N;NOM;MASC;SG;3	N;GEN;MASC;SG
मानकों	standardy	मानक	standard	N;ACC;MASC;PL;3	N;NOM;MASC;PL
मानकों	normy	मानक	norma	N;ACC;MASC;PL;3	
मानकों	norm	मानक	norma	N;ACC;MASC;PL;3	
मुनि	muni	मुनि	munia	PROPN;NOM;MASC;SG;3	
ब्रह्मा	brahman	ब्रह्मा	brahman	PROPN;NOM;MASC;SG;3	
ब्रह्मा	brahma	ब्रह्मा	brahma	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
वयस्क	dorośli	वयस्क	dorosły		V;PFV;MASC;IND;PL;PST;FIN;ACT
वयस्क	dorosły	वयस्क	dorosnąć		V;PFV;FEM;IND;PL;PST;FIN;ACT
वयस्क	dorosłych	वयस्क	dorosły		ADJ;GEN;MASC;PL
वयस्क	dorosła	वयस्क	dorosnąć		V;PFV;FEM;IND;SG;PST;FIN;ACT
वयस्क	dojrzał	वयस्क	dojrzeć		V;PFV;MASC;IND;SG;PST;FIN;ACT
वयस्क	dojrzała	वयस्क	dojrzały		V;PFV;FEM;IND;SG;PST;FIN;ACT
