और	ve	और	ve		CONJ
सृजन	yaratıcılık	सृजन	yaratıcılık		N;NOM;SG;3
वकील	avukat	वकील	avukat	N;NOM;MASC;PL;3	
वकील	avukatlık	वकील	avukatlık	N;NOM;MASC;PL;3	N;NOM;SG;3
करो	karo	कर	karo	V;SBJV;SG;FIN;ACT	
अनाज	tahıl	अनाज	tahıl	N;NOM;MASC;SG;3	
अनाज	buğday	अनाज	buğday	N;NOM;MASC;SG;3	
विलियम्स	williams	विलियम्स	williams	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
यूनियन	sendika	यूनियन	sendika	N;NOM;FEM;SG;3	
यूनियन	birlik	यूनियन	birlik	N;NOM;FEM;SG;3	
भावनाओं	duygular	भावना	duygu	N;ACC;FEM;PL;3	N;NOM;PL;3
भावनाओं	duygu	भावना	duygu	N;ACC;FEM;PL;3	
बच	bach	बच	bach	V;ACT	
उर्जा	enerji	उर्जा	enerji	N;NOM;FEM;SG;3	
उर्जा	enerjisi	उर्जा	enerji	N;NOM;FEM;SG;3	
सोसायटी	topluluk	सोसायटी	topluluk	N;NOM;FEM;SG;3	
सोसायटी	toplum	सोसायटी	toplum	N;NOM;FEM;SG;3	
यौगिकों	bileşikler	यौगिक	bileşik	N;ACC;MASC;PL;3	N;NOM;PL;3
सेनानी	savaşçılar	सेनानी	savaşçı	N;NOM;MASC;SG;3	N;NOM;PL;3
सेनानी	savaşçıları	सेनानी	savaşçı	N;NOM;MASC;SG;3	N;ACC;PL;3
सेनानी	savaşçı	सेनानी	savaşçı	N;NOM;MASC;SG;3	
रणनीति	stratejileri	रणनीति	strateji	N;NOM;FEM;SG;3	N;ACC;PL;3
लेन	lane	लेन	la	N;NOM;MASC;SG;3	PROPN;NOM;SG;3
लेन	şerit	लेन	şerit	N;NOM;MASC;SG;3	
वध	katliam	वध	katlia	N;NOM;MASC;SG;3	
वध	kıyım	वध	kıyım	N;NOM;MASC;SG;3	
बाढ़	selin	बाढ़	sel	N;NOM;FEM;SG;3	
बाढ़	tufan	बाढ़	tuf	N;NOM;FEM;SG;3	
बाढ़	sel	बाढ़	sel	N;NOM;FEM;SG;3	
बाढ़	sel	बाढ़	sel	N;NOM;FEM;SG;3	
शत्रु	düşman	शत्रु	düşman	N;NOM;MASC;SG;3	
शत्रु	saldırgan	शत्रु	saldırgan	N;NOM;MASC;SG;3	
शत्रु	düşman	शत्रु	düşman	N;NOM;MASC;SG;3	
शत्रु	düşmanca	शत्रु	düşman	N;NOM;MASC;SG;3	ADJ;EQTV;SG;3
शत्रु	düşman	शत्रु	düşman	N;NOM;MASC;SG;3	
शत्रु	düşmanlar	शत्रु	düşman	N;NOM;MASC;SG;3	ADJ;NOM;PL;3
एक्शन	eylem	एक्शन	eylem	N;NOM;MASC;SG;3	
एक्शन	motor	एक्शन	motor	N;NOM;MASC;SG;3	
एक्शन	aksiyon	एक्शन	aksiyon	N;NOM;MASC;SG;3	
अनुच्छेद	paragraf	अनुच्छेद	paragraf	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
अनुच्छेद	paragraf	अनुच्छेद	paragraf	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
आयात	ithalat	आयात	ithalat	N;NOM;MASC;SG;3	
आधा	yarı	आधा	yarı	NUM	
आधा	yarısı	आधा	yarı	NUM	ADJ;NOM;SG;3
आधा	yarim	आधा	yarim	NUM	
आधा	yarım	आधा	yarım	NUM	
धन्यवाद	tesekkurler	धन्यवाद	tesekkur		N;NOM;PL;3
धन्यवाद	teşekkürler	धन्यवाद	teşekkür		N;NOM;PL;3
सेंट्रल	merkezi	सेंट्रल	merkez	PROPN;NOM;MASC;SG;3	N;ACC;SG;3
सेंट्रल	merkez	सेंट्रल	merkez	PROPN;NOM;MASC;SG;3	
घातक	ölümcül	घातक	ölümcül	ADJ	
घातक	öldürücü	घातक	öldürücü	ADJ	
मास्टर	usta	मास्टर	us	N;NOM;MASC;SG;3	
मास्टर	üstad	मास्टर	üstad	N;NOM;MASC;SG;3	
तस्वीर	fotoğraf	तस्वीर	fotoğraf	N;NOM;FEM;SG;3	
तस्वीर	resim	तस्वीर	resim	N;NOM;FEM;SG;3	
तस्वीर	resmi	तस्वीर	resmi	N;NOM;FEM;SG;3	
पहल	girişimi	पहल	girişim		N;NOM;SG;3
परे	ötesinde	परे	öte		N;ESS;SG;3
परे	ötesine	परे	öte		N;DAT;SG;3
वाहनों	araçlar	वाहन	araç	N;ACC;MASC;PL;3	N;NOM;PL;3
राजपूत	rajput	राजपूत	rajput	PROPN;NOM;MASC;SG;3	
सच	doğru	सच	doğru	N;NOM;MASC;SG;3	
सच	dogru	सच	dogru	N;NOM;MASC;SG;3	
सच	true	सच	tru	N;NOM;MASC;SG;3	
सच	gerçek	सच	gerçek	N;NOM;MASC;SG;3	
सच	hakikat	सच	hakikat	N;NOM;MASC;SG;3	
सच	gerçekler	सच	gerçek	N;NOM;MASC;SG;3	ADJ;NOM;PL;3
सच	gerçek	सच	gerçek	N;NOM;MASC;SG;3	
पाउंड	sterlin	पाउंड	sterlin	N;NOM;MASC;SG;3	
पाउंड	pound	पाउंड	pound	N;NOM;MASC;SG;3	
पाउंड	sterlin	पाउंड	sterlin	N;NOM;MASC;SG;3	
पाउंड	pound	पाउंड	pound	N;NOM;MASC;SG;3	
पाउंड	kilo	पाउंड	kilo	N;NOM;MASC;SG;3	
इण्डिया	hindistan	इण्डिया	hindistan	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
इण्डिया	hint	इण्डिया	hint	PROPN;NOM;MASC;SG;3	
नींव	kaide	नींव	kaide	N;NOM;FEM;SG;3	
प्राधिकरण	makamlar	प्राधिकरण	makam	N;NOM;MASC;SG;3	N;NOM;PL;3
प्राधिकरण	yetkililer	प्राधिकरण	yetkili	N;NOM;MASC;SG;3	ADJ;NOM;PL;3
प्राधिकरण	yetkililere	प्राधिकरण	yetkili	N;NOM;MASC;SG;3	ADJ;DAT;PL;3
प्राधिकरण	yetkili	प्राधिकरण	yetkili	N;NOM;MASC;SG;3	
प्राधिकरण	otorite	प्राधिकरण	otorite	N;NOM;MASC;SG;3	
प्राधिकरण	yetki	प्राधिकरण	yetki	N;NOM;MASC;SG;3	
प्राधिकरण	yetki	प्राधिकरण	yetki	N;NOM;MASC;SG;3	
कीट	böcekler	कीट	böcek	N;NOM;MASC;SG;3	N;NOM;PL;3
कीट	böcekleri	कीट	böcek	N;NOM;MASC;SG;3	N;ACC;PL;3
कीट	böcek	कीट	böcek	N;NOM;MASC;SG;3	
कीट	böcek	कीट	böcek	N;NOM;MASC;SG;3	
गाना	şarkı	गाना	şarkı	N;NOM;MASC;SG;3	
गाना	song	गाना	song	N;NOM;MASC;SG;3	
गाना	sarki	गाना	sarki	N;NOM;MASC;SG;3	
गाना	şarkı	गाना	şarkı	N;NOM;MASC;SG;3	
धातुओं	metaller	धातुा	metal	N;ACC;MASC;PL;3	ADJ;NOM;PL;3
धातुओं	metal	धातुा	metal	N;ACC;MASC;PL;3	
समाजवादी	sosyalist	समाजवादी	sosyalist	PROPN;NOM;MASC;SG;3	
समाजवादी	sosyalizm	समाजवादी	sosyalizm	PROPN;NOM;MASC;SG;3	
वेतन	ücret	वेतन	ücret	N;NOM;MASC;SG;3	
वेतन	maaş	वेतन	maaş	N;NOM;MASC;SG;3	
वाणिज्य	ticaret	वाणिज्य	ticaret	N;NOM;MASC;SG;3	
आखिरी	sonuncusu	आखिरी	sonuncu	ADJ	NUM;NOM;SG;3
आखिरी	last	आखिरी	last	ADJ	
आखिरी	sonuncu	आखिरी	sonuncu	ADJ	
आखिरी	son	आखिरी	son	ADJ	
धूम्रपान	sigara	धूम्रपान	sigara	N;NOM;MASC;SG;3	
ब्याज	ilgi	ब्याज	ilgi	N;NOM;MASC;SG;3	
ब्याज	faiz	ब्याज	faiz	N;NOM;MASC;SG;3	
घोड़े	atlara	घोड़ा	at	N;NOM;MASC;PL;3	N;DAT;PL;3
घोड़े	at	घोड़ा	at	N;NOM;MASC;PL;3	
माला	maldivler	माला	maldiv	PROPN;NOM;FEM;SG;3	PROPN;NOM;SG;3
माला	garland	माला	garla	PROPN;NOM;FEM;SG;3	PROPN;NOM;SG;3
माला	mala	माला	mala	PROPN;NOM;FEM;SG;3	
लेखा	muhasebe	लेखा	muhasebe	N;NOM;MASC;SG;3	
तेलुगु	telugu	तेलुगु	telug	PROPN;NOM;MASC;SG;3	
दीवारों	duvarlar	दीवार	duvar	N;ACC;FEM;PL;3	N;NOM;PL;3
दीवारों	duvar	दीवार	duvar	N;ACC;FEM;PL;3	
दीवारों	grafiti	दीवार	grafit	N;ACC;FEM;PL;3	
ऊतक	mendil	ऊतक	mendil	N;NOM;MASC;SG;3	
ऊतक	doku	ऊतक	doku	N;NOM;MASC;SG;3	
रात्रि	geceler	रात्रि	gece	N;NOM;FEM;SG;3	N;NOM;PL;3
रात्रि	night	रात्रि	night	N;NOM;FEM;SG;3	
बेस	bess	बेस	bess	N;NOM;MASC;SG;3	
बेस	üs	बेस	üs	N;NOM;MASC;SG;3	
बेस	baz	बेस	baz	N;NOM;MASC;SG;3	
बेस	üssü	बेस	üss	N;NOM;MASC;SG;3	
बेस	taban	बेस	taban	N;NOM;MASC;SG;3	
बेस	bas	बेस	bas	N;NOM;MASC;SG;3	
बेस	bass	बेस	bass	N;NOM;MASC;SG;3	
फलन	fonksiyon	फलन	fonksiyon	N;NOM;MASC;SG;3	
फलन	işlev	फलन	işlev	N;NOM;MASC;SG;3	
चोटी	pinnacle	चोटी	pinnac	N;NOM;FEM;SG;3	N;INS;SG;3
मानता	inanıyor	मान	inan	V;IPFV;MASC;SG;V.PTCP;ACT	V;PROG;IND;SG;3;POS;INFM;PRS
सफलतापूर्वक	başarıyla	सफलतापूर्वक	başarı	ADV	N;INS;SG;3
सफलतापूर्वक	başarılı	सफलतापूर्वक	başarılı	ADV	
सतत	istikrarlı	सतत	istikrarlı		ADJ
सतत	sürekli	सतत	sürekli		ADV
ऊष्मा	isı	ऊष्मा	isı	N;NOM;FEM;SG;3	
ऊष्मा	sıcaklığı	ऊष्मा	sıcaklık	N;NOM;FEM;SG;3	N;ACC;SG;3
कारों	araba	कार	araba	N;ACC;FEM;PL;3	
कारों	arabalar	कार	araba	N;ACC;FEM;PL;3	N;NOM;PL;3
रेस	irk	रेस	irk	N;NOM;MASC;SG;3	
रेस	yarış	रेस	yarış	N;NOM;MASC;SG;3	
बृहस्पति	jüpiter	बृहस्पति	jüpiter	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
बृहस्पति	jupiter	बृहस्पति	jupiter	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
प्रोत्साहन	teşvik	प्रोत्साहन	teşvik	N;NOM;MASC;SG;3	
प्रोत्साहन	teşvikler	प्रोत्साहन	teşvik	N;NOM;MASC;SG;3	N;NOM;PL;3
प्रोत्साहन	teşvik	प्रोत्साहन	teşvik	N;NOM;MASC;SG;3	
प्रोत्साहन	teşvik	प्रोत्साहन	teşvik	N;NOM;MASC;SG;3	
टीमों	ekipler	टीम	ekip	N;ACC;FEM;PL;3	N;NOM;PL;3
टीमों	takımlar	टीम	takım	N;ACC;FEM;PL;3	N;NOM;PL;3
मामला	case	मामला	case	N;NOM;MASC;SG;3	
मामला	vaka	मामला	vaka	N;NOM;MASC;SG;3	
मामला	dava	मामला	dava	N;NOM;MASC;SG;3	
इंदिरा	indira	इंदिरा	indira	PROPN;NOM;FEM;SG;3	PROPN;NOM;SG;3
निष्क्रिय	kapatılmış	निष्क्रिय	kapa		V;PFV;NFH;IND;POS;PST;PASS
सोनी	sony	सोनी	sony	PROPN;NOM;SG;3	
रॉय	roy	रॉय	roy	PROPN;NOM;MASC;SG;3	
बनावट	dokular	बनावट	doku	N;NOM;FEM;SG;3	N;NOM;PL;3
बनावट	doku	बनावट	doku	N;NOM;FEM;SG;3	
गायन	şarkı	गायन	şarkı	N;NOM;MASC;SG;3	
गायन	vokal	गायन	vokal	N;NOM;MASC;SG;3	
आवेदन	uygulama	आवेदन	uygulama	N;NOM;MASC;SG;3	
आवेदन	başvuru	आवेदन	başvuru	N;NOM;MASC;SG;3	
आवेदन	uygulamalar	आवेदन	uygulama	N;NOM;MASC;SG;3	N;NOM;PL;3
आवेदन	uygulamaları	आवेदन	uygulama	N;NOM;MASC;SG;3	N;NOM;PL;3
कमाई	kazançlar	कमाई	kazanç	N;NOM;FEM;SG;3	N;NOM;PL;3
विश्वविद्यालयों	üniversiteler	विश्वविद्यालय	üniversite	N;ACC;MASC;PL;3	N;NOM;PL;3
विश्वविद्यालयों	üniversite	विश्वविद्यालय	üniversite	N;ACC;MASC;PL;3	
विश्वविद्यालयों	üniversite	विश्वविद्यालय	üniversite	N;ACC;MASC;PL;3	
विश्वविद्यालयों	university	विश्वविद्यालय	university	N;ACC;MASC;PL;3	PROPN;NOM;SG;3
विश्वविद्यालयों	üniversitesi	विश्वविद्यालय	üniversitesi	N;ACC;MASC;PL;3	N;NOM;SG;3
साहिब	sahib	साहिब	sahib	PROPN;NOM;MASC;SG;3	
साहिब	sahip	साहिब	sahip	PROPN;NOM;MASC;SG;3	
साहिब	şihab	साहिब	şihab	PROPN;NOM;MASC;SG;3	
उठाने	kaldırma	उठा	kaldırma	V;MASC;NFIN;ACT	
उठाने	kaldırmak	उठा	kal	V;MASC;NFIN;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
उठाने	yetiştirmek	उठा	yetiş	V;MASC;NFIN;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
उठाने	büyütmek	उठा	büyü	V;MASC;NFIN;ACT	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
साउथ	güney	साउथ	güney	PROPN;NOM;MASC;SG;3	
साउथ	güneye	साउथ	güne	PROPN;NOM;MASC;SG;3	N;DAT;SG;3
गहन	derine	गहन	derin	ADJ;NOM	
गहन	derin	गहन	derin	ADJ;NOM	
गहन	deep	गहन	deep	ADJ;NOM	
गहन	derinden	गहन	derin	ADJ;NOM	ADJ;AT+ABL;SG;3
बाघ	tiger	बाघ	tiger	N;NOM;MASC;SG;3	
बाघ	kaplan	बाघ	kaplan	N;NOM;MASC;SG;3	
टिकट	biletleri	टिकट	bilet	N;NOM;MASC;SG;3	N;ACC;PL;3
टिकट	biletler	टिकट	bilet	N;NOM;MASC;SG;3	N;NOM;PL;3
पैरों	ayakları	पैर	ayak	N;ACC;MASC;PL;3	N;NOM;PL;3
पैरों	ayak	पैर	ayak	N;ACC;MASC;PL;3	N;NOM;SG;3
पैरों	ayaklar	पैर	ayak	N;ACC;MASC;PL;3	N;NOM;PL;3
पैरों	bacak	पैर	bacak	N;ACC;MASC;PL;3	
पैरों	bacakları	पैर	bacak	N;ACC;MASC;PL;3	N;NOM;PL;3
पैरों	bacaklar	पैर	bacak	N;ACC;MASC;PL;3	N;NOM;PL;3
ब्लॉग	bloglar	ब्लॉग	blog	N;NOM;MASC;SG;3	N;NOM;PL;3
सड़कों	yollar	सड़क	yol	N;ACC;FEM;PL;3	N;NOM;PL;3
उद्देश्यों	girişimci	उद्देश्य	girişimci	N;ACC;MASC;PL;3	N;NOM;SG;3
जाल	net	जाल	net	N;NOM;MASC;SG;3	
जाल	ağ	जाल	ağ	N;NOM;MASC;SG;3	
मिलान	eşleşme	मिलान	eşleş	N;NOM;MASC;SG;3	
मिलान	maçlar	मिलान	maç	N;NOM;MASC;SG;3	N;NOM;PL;3
मिलान	kibrit	मिलान	kibrit	N;NOM;MASC;SG;3	
मिलान	milan	मिलान	milan	N;NOM;MASC;SG;3	PROPN;NOM;SG;3
मिलान	milano	मिलान	milano	N;NOM;MASC;SG;3	PROPN;NOM;SG;3
मिलान	eşleşen	मिलान	eşleş	N;NOM;MASC;SG;3	ADJ
मिलान	eşleştirme	मिलान	eşleş	N;NOM;MASC;SG;3	V;PFV;NOM;IND;SG;2;POS;PRS;V.MSDR;CAUS
मिलान	eşleşme	मिलान	eşleş	N;NOM;MASC;SG;3	
मिलान	karşılaşma	मिलान	karşılaşma	N;NOM;MASC;SG;3	
मिलान	kibrit	मिलान	kibrit	N;NOM;MASC;SG;3	
प्रावधान	erzak	प्रावधान	erzak	N;NOM;MASC;SG;3	
प्रावधान	hükümler	प्रावधान	hüküm	N;NOM;MASC;SG;3	N;NOM;PL;3
सदस्यता	üye	सदस्यता	üye	N;NOM;FEM;SG;3	
सदस्यता	abone	सदस्यता	abone	N;NOM;FEM;SG;3	
रिकार्ड	plak	रिकार्ड	plak	N;NOM;MASC;SG;3	
रिकार्ड	rekor	रिकार्ड	rekor	N;NOM;MASC;SG;3	
रिकार्ड	kayıt	रिकार्ड	kayıt	N;NOM;MASC;SG;3	
साझा	paylaştım	साझा	paylaş		V;PFV;IND;SG;1;POS;PST
साझा	paylaşılan	साझा	paylaşı		V;PFV;IND;POS;PRS;V.PTCP;PASS
साझा	paylaşıldı	साझा	paylaş		V;PFV;IND;SG;3;POS;PST;PASS
साझा	paylaştı	साझा	paylaş		V;PFV;IND;SG;3;POS;PST
साझा	hisseler	साझा	hisse		N;NOM;PL;3
साझा	paylaşımlar	साझा	paylaşım		N;NOM;PL;3
स्वतन्त्रता	bağımsızlığı	स्वतन्त्रता	bağımsızlık	N;NOM;FEM;SG;3	N;ACC;SG;3
अधिकृत	yetkili	अधिकृत	yetkili	PROPN;NOM;SG;3	
अधिकृत	yetki	अधिकृत	yetki	PROPN;NOM;SG;3	
सापेक्ष	akrabalar	सापेक्ष	akraba	N;NOM;MASC;SG;3	N;NOM;PL;3
सापेक्ष	akraba	सापेक्ष	akraba	N;NOM;MASC;SG;3	
सापेक्ष	göreceli	सापेक्ष	gör	N;NOM;MASC;SG;3	
संदेह	şüphe	संदेह	şüphe	N;NOM;MASC;SG;3	
संदेह	kuşku	संदेह	kuşku	N;NOM;MASC;SG;3	
संदेह	şüphe	संदेह	şüphe	N;NOM;MASC;SG;3	
संदेह	kuşku	संदेह	kuşku	N;NOM;MASC;SG;3	
संदेह	şüpheler	संदेह	şüphe	N;NOM;MASC;SG;3	N;NOM;PL;3
आग्रह	talep	आग्रह	talep	N;NOM;MASC;SG;3	
आग्रह	istek	आग्रह	istek	N;NOM;MASC;SG;3	
आग्रह	rica	आग्रह	rica	N;NOM;MASC;SG;3	
किरण	kiran	किरण	kiran	PROPN;NOM;FEM;SG;3	
कारोबार	business	कारोबार	business	N;NOM;MASC;SG;3	
कारोबार	işletme	कारोबार	işle	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR;CAUS
कारोबार	ticaret	कारोबार	ticaret	N;NOM;MASC;SG;3	
रिंग	ring	रिंग	ring	N;NOM;FEM;SG;3	
रिंग	halka	रिंग	halka	N;NOM;FEM;SG;3	
ऑपरेशन	işlem	ऑपरेशन	işlem	N;NOM;MASC;SG;3	
ऑपरेशन	operasyonu	ऑपरेशन	operasyon	N;NOM;MASC;SG;3	N;ACC;SG;3
ऑपरेशन	operasyon	ऑपरेशन	operasyon	N;NOM;MASC;SG;3	
आपसी	karşılıklı	आपसी	karşılıklı	ADJ;NOM	
पवन	rüzgar	पवन	rüzgar	PROPN;NOM;MASC;SG;3	
पवन	rüzgâr	पवन	rüzgâr	PROPN;NOM;MASC;SG;3	
छूट	indirimli	छूट	indirimli	N;NOM;FEM;SG;3	
छूट	indirimler	छूट	indirim	N;NOM;FEM;SG;3	N;NOM;PL;3
बाधा	engel	बाधा	engel	N;NOM;FEM;SG;3	
अमीर	emir	अमीर	imir	N;NOM;MASC;SG;3	
अमीर	zengin	अमीर	zengin	N;NOM;MASC;SG;3	
अमीर	rich	अमीर	rich	N;NOM;MASC;SG;3	
अमीर	zenginler	अमीर	zengin	N;NOM;MASC;SG;3	N;NOM;PL;3
समतल	düz	समतल	düz	N;NOM;MASC;SG;3	
समतल	yassı	समतल	yass	N;NOM;MASC;SG;3	
बस्ती	town	बस्ती	town	N;NOM;FEM;SG;3	PROPN;NOM;SG;3
बस्ती	kasaba	बस्ती	kasaba	N;NOM;FEM;SG;3	
बस्ती	şehir	बस्ती	şehir	N;NOM;FEM;SG;3	
कठिनाई	güçlük	कठिनाई	güçlük	N;NOM;FEM;SG;3	
कठिनाई	sıkıntı	कठिनाई	sıkıntı	N;NOM;FEM;SG;3	
कठिनाई	zorluklar	कठिनाई	zorluk	N;NOM;FEM;SG;3	N;NOM;PL;3
पुर्तगाली	portekizce	पुर्तगाली	portekizce	PROPN;NOM;MASC;SG;3	
जड़	kökleri	जड़	kök		N;NOM;PL;3
बौद्धिक	entelektüel	बौद्धिक	entelektüel	PROPN;NOM;SG;3	
बौद्धिक	entellektüel	बौद्धिक	entellektüel	PROPN;NOM;SG;3	
बोस	bose	बोस	bose	PROPN;NOM;MASC;SG;3	
निकलता	kaburga	निकल	kaburga	V;IPFV;MASC;SG;V.PTCP;ACT	
चोपड़ा	chopra	चोपड़ा	chopra	PROPN;NOM;SG;3	
अहमदाबाद	ahmedabad	अहमदाबाद	ahmedabad	PROPN;NOM;MASC;SG;3	PROPN;ESS;SG;3
प्रोटोकॉल	protokolü	प्रोटोकॉल	protokolü	N;NOM;MASC;SG;3	N;ACC;SG;3
प्रोटोकॉल	protokol	प्रोटोकॉल	protokol	N;NOM;MASC;SG;3	
प्रोटोकॉल	protokolleri	प्रोटोकॉल	protokol	N;NOM;MASC;SG;3	N;ACC;PL;3
व्यय	harcamalar	व्यय	harca	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
व्यय	giderler	व्यय	git	N;NOM;MASC;SG;3	N;NOM;PL;3
व्यय	harcamalar	व्यय	harca	N;NOM;MASC;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
व्यय	masraflar	व्यय	masraf	N;NOM;MASC;SG;3	N;NOM;PL;3
व्यय	masraf	व्यय	masraf	N;NOM;MASC;SG;3	
गणतंत्र	cumhuriyet	गणतंत्र	cumhuriyet	N;NOM;MASC;SG;3	
माया	mayalar	माया	maya		N;NOM;PL;3
तिब्बती	tibet	तिब्बती	tibet	ADJ;NOM	
तिब्बती	tibet	तिब्बती	tibet	ADJ;NOM	
आत्महत्या	intihar	आत्महत्या	intihar	N;NOM;FEM;SG;3	
संजय	sanjay	संजय	sanjay	PROPN;NOM;MASC;SG;3	
अतिथि	misafirler	अतिथि	misafir	N;NOM;MASC;SG;3	N;NOM;PL;3
अतिथि	konuklar	अतिथि	konuk	N;NOM;MASC;SG;3	N;NOM;PL;3
लें	al	ले	al	V;SBJV;PL;3;FIN;ACT	V;PFV;IMP;SG;2;POS;PRS
लें	alın	ले	al	V;SBJV;PL;3;FIN;ACT	V;PFV;IMP;PL;2;POS;PRS
शानदार	şahane	शानदार	şahane	ADJ	
शानदार	süper	शानदार	süper	ADJ	
डाक	postalar	डाक	posta	N;NOM;FEM;SG;3	N;NOM;PL;3
डाक	mail	डाक	mail	N;NOM;FEM;SG;3	
डाक	posta	डाक	posta	N;NOM;FEM;SG;3	
डाक	posta	डाक	posta	N;NOM;FEM;SG;3	
प्रतिद्वंद्वी	rakip	प्रतिद्वंद्वी	rakip	N;NOM;MASC;SG;3	
प्रतिद्वंद्वी	rakip	प्रतिद्वंद्वी	rakip	N;NOM;MASC;SG;3	
प्रतिद्वंद्वी	rakipleri	प्रतिद्वंद्वी	rakip	N;NOM;MASC;SG;3	N;ACC;PL;3
मनु	manu	मनु	manu	PROPN;NOM;MASC;SG;3	
कविताओं	şiirler	कविता	şiir	N;ACC;FEM;PL;3	N;NOM;PL;3
कविताओं	şiir	कविता	şiir	N;ACC;FEM;PL;3	
तरंग	dalgalanma	तरंग	dalgalanma	N;NOM;FEM;SG;3	V;PFV;NOM;IND;POS;PRS;V.MSDR
तरंग	dalga	तरंग	dalga	N;NOM;FEM;SG;3	
तरंग	dalga	तरंग	dalga	N;NOM;FEM;SG;3	
उठाया	büyüttü	उठा	büyü	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PST;CAUS
अंतराल	aralıklı	अंतराल	aralıklı	N;NOM;MASC;SG;3	
क्रिस	chris	क्रिस	chris	PROPN;NOM;MASC;SG;3	
क्रिस	kris	क्रिस	kris	PROPN;NOM;MASC;SG;3	
क्रिस	cris	क्रिस	cris	PROPN;NOM;MASC;SG;3	
परिचित	tanıdık	परिचित	tanı	ADP	V;PFV;IND;PL;1;POS;PST
परिचित	aşina	परिचित	aş	ADP	ADV
परिचित	tanıdık	परिचित	tanı	ADP	V;PFV;IND;PL;1;POS;PST
इंडोनेशिया	endonezya	इंडोनेशिया	endonezya	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG;3
विश्वसनीय	güvenilir	विश्वसनीय	güven	ADJ;NOM	V;IPFV;IND;SG;3;POS;V.PTCP;PASS
विश्वसनीय	güvenilir	विश्वसनीय	güven	ADJ;NOM	V;IPFV;IND;SG;3;POS;V.PTCP;PASS
विश्वसनीय	güvenilir	विश्वसनीय	güven	ADJ;NOM	V;IPFV;IND;SG;3;POS;V.PTCP;PASS
अब्दुल	abdul	अब्दुल	abdul	PROPN;NOM;MASC;SG;3	
तत्काल	anlık	तत्काल	anlık	ADV	
तत्काल	anında	तत्काल	an	ADV	N;ESS;SG;3
तत्काल	acil	तत्काल	acil	ADV	
चित्रकला	tablo	चित्रकला	tablo	N;NOM;FEM;SG;3	
चित्रकला	resim	चित्रकला	resim	N;NOM;FEM;SG;3	
चित्रकला	boyama	चित्रकला	boya	N;NOM;FEM;SG;3	
पहलुओं	yönleri	पहलू	yön	N;ACC;MASC;PL;3	N;NOM;PL;3
गेट	gate	गेट	gate	N;NOM;MASC;SG;3	
गेट	geçit	गेट	geçit	N;NOM;MASC;SG;3	
चैंपियनशिप	şampiyona	चैंपियनशिप	şampiyon	N;NOM;FEM;SG;3	N;DAT;SG;3
बाबू	baba	बाबू	baba	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
बाबू	babacığım	बाबू	babacığ	PROPN;NOM;MASC;SG;3	N;NOM;SG;3
पैदल	yaya	पैदल	yaya	ADJ	
पैदल	kaldırım	पैदल	kaldırım	ADJ	
पैदल	pedal	पैदल	pedal	ADJ	
राधा	radha	राधा	radha	PROPN;NOM;FEM;SG;3	PROPN;NOM;SG;3
जर्नल	günlük	जर्नल	günlük	N;NOM;MASC;SG;3	
जर्नल	günlüğü	जर्नल	günlük	N;NOM;MASC;SG;3	ADJ;ACC;SG;3
जर्नल	journal	जर्नल	journal	N;NOM;MASC;SG;3	
गुप्ता	gupta	गुप्ता	gup	PROPN;NOM;SG;3	
लाखों	milyonlar	लाख	milyon	N;ACC;MASC;PL;3	
लाखों	milyonlarca	लाख	milyonlarca	N;ACC;MASC;PL;3	NUM
लाखों	milyon	लाख	milyon	N;ACC;MASC;PL;3	
मुखर्जी	mukherjee	मुखर्जी	mukher	PROPN;NOM;SG;3	
शैक्षणिक	eğitici	शैक्षणिक	eğitici	ADJ;NOM	
शैक्षणिक	eğitim	शैक्षणिक	eğitim	ADJ;NOM	N;NOM;SG;3
खोला	açıldı	खोल	aç	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PST;PASS
खोला	açılan	खोल	aç	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;POS;PRS;V.PTCP;PASS
खोला	açılmış	खोल	aç	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NFH;IND;SG;3;POS;PST;PASS
भाप	buhar	भाप	buhar	N;NOM;FEM;SG;3	
बेस्ट	best	बेस्ट	best	PROPN;NOM;MASC;SG;3	
गलती	hata	गलती	hata	N;NOM;FEM;SG;3	
गलती	hata	गलती	hata	N;NOM;FEM;SG;3	
