right	सही	righta	सही		ADJ
domnevno	कथित	domnevno	कथित	ADV	ADJ;NOM
domovino	मातृभूमि	domovina	मातृभूमि	N;ACC;FEM;SG	N;NOM;FEM;SG;3
napačno	ग़लत	napačen	ग़लत	ADJ;NOM;NEUT;SG	
marina	मरीना	marina	मरीना	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
ura	देखिये	ura	देखिया	N;NOM;FEM;SG	V;IND;SG;3;FIN;ACT
ura	देखना	ura	देख	N;NOM;FEM;SG	V;MASC;NFIN;ACT
ura	देखें	ura	देख	N;NOM;FEM;SG	V;SBJV;PL;FIN;ACT
ura	क्लॉक	ura	क्लॉक	N;NOM;FEM;SG	
leo	सिंह	leo	सिंह	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
leo	leo	leo	leo	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
nick	निक	nick	निक	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
odločitve	निर्णय	odločitev	निर्णय	N;NOM;FEM;PL	N;NOM;MASC;SG;3
kakovosti	क्वालिटी	kakovost	क्वालिटी	N;GEN;FEM;SG	N;NOM;FEM;SG;3
kakovosti	गुणवत्ता	kakovost	गुणवत्ता	N;GEN;FEM;SG	N;NOM;FEM;SG;3
kakovosti	विशेषता	kakovost	विशेषता	N;GEN;FEM;SG	N;NOM;FEM;SG;3
kraje	चोरी	kraj	चोरी	N;ACC;MASC;PL	N;NOM;FEM;SG;3
napisana	लिखी	napisan	लिख	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
napisana	लिखा	napisan	लिख	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
vojak	सिपाही	vojak	सिपाही	N;NOM;MASC;SG	N;NOM;MASC;PL;3
dvojno	डबल	dvojen	डबल	ADJ;NOM;NEUT;SG	
dvojno	दोगुना	dvojen	दोगुना	ADJ;NOM;NEUT;SG	NUM
dvojno	डुअल	dvojen	डुअल	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
irski	आयरिश	irska	आयरिश	ADJ;NOM;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
irski	आयरलैंड	irska	आयरलैंड	ADJ;NOM;DEF;MASC;SG	PROPN;NOM;MASC;SG;3
paris	पैरिस	paris	पैरिस		PROPN;NOM;MASC;SG;3
paris	पेरिस	paris	पेरिस		PROPN;NOM;MASC;SG;3
konj	घोड़ो	konj	घोड़	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
konj	घोड़े	konj	घोड़ा	N;NOM;MASC;SG	N;NOM;MASC;PL;3
zanima	रुचि	zanimati	रुचि	V;IPFV;IND;SG;3;PRS;FIN	N;NOM;FEM;SG;3
zanima	रुचिकर	zanimati	रुचिकर	V;IPFV;IND;SG;3;PRS;FIN	CONJ
zanima	दिलचस्पी	zanimati	दिलचस्पी	V;IPFV;IND;SG;3;PRS;FIN	N;NOM;FEM;SG;3
vino	वाइन	vino	वाइन	N;NOM;NEUT;SG	
čelu	माथे	čelo	माथा	N;DAT;NEUT;SG	N;NOM;MASC;SG;3
sestre	बहनो	sestra	बहनो	N;NOM;FEM;PL	
sestre	बहनों	sestra	बहन	N;NOM;FEM;PL	N;ACC;FEM;PL;3
sestre	नर्स	sestra	नर्स	N;NOM;FEM;PL	N;NOM;FEM;SG;3
kovine	धातु	kovina	धातु	N;NOM;FEM;PL	N;NOM;MASC;SG;3
kovine	मेटल	kovina	मेटल	N;NOM;FEM;PL	N;NOM;MASC;SG;3
kovine	धातु	kovina	धातु	N;NOM;FEM;PL	N;NOM;MASC;SG;3
kovine	धातुओं	kovina	धातुा	N;NOM;FEM;PL	N;ACC;MASC;PL;3
signal	signal	signal	signal	N;NOM;MASC;SG	
srečo	ख़ुशी	sreča	ख़ुशी	N;ACC;FEM;SG	N;NOM;FEM;SG;3
srečo	खुशी	sreča	खुशी	N;ACC;FEM;SG	N;NOM;FEM;SG;3
srečo	सुख	sreča	सुख	N;ACC;FEM;SG	
srečo	भाग्य	sreča	भाग्य	N;ACC;FEM;SG	N;NOM;MASC;SG;3
srečo	किस्मत	sreča	किस्मत	N;ACC;FEM;SG	N;NOM;FEM;SG;3
srečo	लक	sreča	लक	N;ACC;FEM;SG	
neznano	अनजान	neznan	अनजान	ADJ;NOM;NEUT;SG	ADP
zaporedno	लगातार	zaporeden	लगातार	ADJ;NOM;NEUT;SG	ADV
odlikovan	सजाया	odlikovan	सजा	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
odlikovan	सजा	odlikovan	सजा	ADJ;NOM;INDF;MASC;SG;V.PTCP	PROPN;NOM;FEM;SG;3
tekočine	तरल	tekočina	तरल	N;NOM;FEM;PL	N;NOM;MASC;SG;3
tekočine	द्रव	tekočina	द्रव	N;NOM;FEM;PL	N;NOM;MASC;SG;3
tekočine	तरल	tekočina	तरल	N;NOM;FEM;PL	N;NOM;MASC;SG;3
tekočine	द्रव	tekočina	द्रव	N;NOM;FEM;PL	N;NOM;MASC;SG;3
formulo	फ़ॉर्मूला	formula	फ़ॉर्मूला	N;ACC;FEM;SG	N;NOM;MASC;SG;3
formulo	सूत्र	formula	सूत्र	N;ACC;FEM;SG	N;NOM;MASC;PL;3
blues	ब्लेक	blues	ब्लेक	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
blues	ब्लू	blues	ब्लू	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
blues	ब्लूज़	blues	ब्लूज़	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
naslovov	शीर्षक	naslov	शीर्षक	N;GEN;MASC;PL	N;NOM;MASC;SG;3
sporočila	संदेश	sporočiti	संदेश	V;PFV;FEM;PL;V.PTCP	N;NOM;MASC;SG;3
krajevni	लोकल	krajeven	लोकल	ADJ;NOM;MASC;SG	N;NOM;MASC;SG;3
zgraditi	बिल्ड	zgraditi	बिल्ड	V;PFV;NFIN	
zgraditi	निर्माण	zgraditi	निर्माण	V;PFV;NFIN	N;NOM;MASC;SG;3
danilo	डेनियल	danilo	डेनियल	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
lepa	सूंदर	lep	सूंदर	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
lepa	ब्यूटीफुल	lep	ब्यूटीफुल	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
lepa	सुन्दर	lep	सुन्दर	ADJ;NOM;FEM;SG	
lepa	सुदंर	lep	सुदंर	ADJ;NOM;FEM;SG	
lepa	pretty	lep	pretty	ADJ;NOM;FEM;SG	
izdana	निर्गत	izdan	निर्गत	ADJ;NOM;FEM;SG;V.PTCP	
molekul	अणुओं	molekul	अणु	N;NOM;MASC;SG	N;ACC;MASC;PL;3
javna	जनता	javen	जनता	ADJ;NOM;FEM;SG	N;NOM;FEM;SG;3
javna	लोक	javen	लोक	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
javna	पब्लिक	javen	पब्लिक	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
statistika	आंकड़े	statistika	आंकड़ा	N;NOM;FEM;SG	N;NOM;MASC;PL;3
statistika	आँकड़े	statistika	आँकडा	N;NOM;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
statistika	आँकड़े	statistika	आँकडा	N;NOM;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
statistika	आंकड़े	statistika	आंकड़ा	N;NOM;FEM;SG	N;NOM;MASC;PL;3
mlada	युवा	mlad	युवा	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
mlada	जवान	mlad	जवान	ADJ;NOM;FEM;SG	N;NOM;MASC;PL;3
mlada	यंग	mlad	यंग	ADJ;NOM;FEM;SG	
baker	ताम्र	baker	ताम्र	N;NOM;MASC;SG	
baker	तांबा	baker	तांबा	N;NOM;MASC;SG	
baker	बेकर	baker	बेकर	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
širina	चौडाई	širina	चौडाई	N;NOM;FEM;SG	
resno	गंभीर	resno	गंभीर	ADV	ADJ
resno	seriously	resno	seriously	ADV	N;NOM;MASC;SG;3
tehnično	तकनीकी	tehnično	तकनीकी	ADV	N;NOM;FEM;SG;3
železniški	रेलवे	železniški	रेलवे	ADJ;NOM;MASC;SG	N;NOM;MASC;SG;3
železniški	रेल	železniški	रेल	ADJ;NOM;MASC;SG	N;NOM;FEM;SG;3
železniški	रेल	železniški	रेल	ADJ;NOM;MASC;SG	N;NOM;FEM;SG;3
naprav	उपकरण	naprava	उपकरण	N;GEN;FEM;PL	N;NOM;MASC;PL;3
naprav	युक्ति	naprava	युक्ति	N;GEN;FEM;PL	N;NOM;FEM;SG;3
naprav	औज़ार	naprava	औज़ार	N;GEN;FEM;PL	N;NOM;MASC;SG;3
naprav	डिवाइस	naprava	डिवाइस	N;GEN;FEM;PL	N;NOM;MASC;SG;3
izbira	चुनना	izbira	चुन	N;NOM;FEM;SG	V;MASC;NFIN;ACT
pobegnil	फरार	pobegniti	फरार	V;PFV;MASC;SG;V.PTCP	ADJ
pittsburgh	पिट्सबर्ग	pittsburg	पिट्सबर्ग	N;ESS;MASC;PL	PROPN;NOM;MASC;SG;3
zvok	आडियो	zvok	आडियो	N;NOM;MASC;SG	
rubens	rubens	rubens	rubens	N;NOM;MASC;SG	
vladavino	शासन	vladavina	शासन	N;ACC;FEM;SG	N;NOM;MASC;SG;3
vladavino	शासनकाल	vladavina	शासनकाल	N;ACC;FEM;SG	N;NOM;MASC;SG;3
hrib	हिल	hrib	हिल	N;NOM;MASC;SG	
osebna	पर्सनल	oseben	पर्सनल	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
xiv	xiv	xiv	xiv	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
fred	फ्रेड	fred	फ्रेड	PROPN;NOM;MASC;SG	
konjeniški	घुड़सवार	konjeniški	घुड़सवार	ADJ;NOM;DEF;MASC;SG	N;NOM;MASC;SG;3
vzpon	चढ़ाई	vzpon	चढ़ाई	N;NOM;MASC;SG	V;PFV;FEM;SG;V.PTCP;ACT
vzpon	उदय	vzpon	उदय	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
pripoved	tale	pripoved	tale	N;NOM;FEM;SG	
pripoved	टेल	pripoved	टेल	N;NOM;FEM;SG	
boja	उत्पत्ति	boj	उत्पत्ति	N;GEN;MASC;SG	N;NOM;FEM;SG;3
boja	उत्प्लव	boj	उत्प्लव	N;GEN;MASC;SG	
vstop	एंटर	vstop	एंटर	N;NOM;MASC;SG	
vstop	डालें	vstop	डाल	N;NOM;MASC;SG	V;SBJV;PL;FIN;ACT
mika	मिका	mik	मिका	N;NOM;MASC;SG	
pravica	इंसाफ	pravica	इंसाफ	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
pravica	सही	pravica	सही	N;NOM;FEM;SG	ADJ
uspe	सफल	uspeti	सफल	V;PFV;IND;SG;3;PRS;FIN	ADJ
dnevno	रोज	dnevno	रोज	ADV	N;NOM;MASC;SG;3
dnevno	नित्य	dnevno	नित्य	ADV	
dnevno	रोजाना	dnevno	रोजाना	ADV	PROPN;NOM;MASC;SG;3
dnevno	दैनिक	dnevno	दैनिक	ADV	N;NOM;MASC;SG;3
dnevno	प्रतिदिन	dnevno	प्रतिदिन	ADV	N;NOM;MASC;SG;3
dnevno	रोज़	dnevno	रोज़	ADV	
odraslih	प्रौढ़	odrasel	प्रौढ़	ADJ;GEN;MASC;PL;V.PTCP	
odraslih	बालिग	odrasel	बालिग	ADJ;GEN;MASC;PL;V.PTCP	
odraslih	वयस्क	odrasel	वयस्क	ADJ;GEN;MASC;PL;V.PTCP	
florida	फ्लोरिडा	florida	फ्लोरिडा	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
oklepna	कराया	oklepen	करा	ADJ;NOM;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
reševanje	छायांकन	reševanje	छायांकन	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
švici	स्विट्जरलैंड	švica	स्विट्जरलैंड	N;DAT;FEM;SG	PROPN;NOM;MASC;SG;3
švici	स्विट्ज़रलैंड	švica	स्विट्ज़रलैंड	N;DAT;FEM;SG	PROPN;NOM;MASC;SG;3
iran	ईरानी	iran	ईरानी	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
iran	ईरान	iran	ईरान	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
iran	इरान	iran	इरान	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
orgle	अंग	orgeti	अंग	N;ACC;MASC;PL	N;NOM;MASC;SG;3
zgrajeno	बनवाया	zgrajen	बन	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;MASC;SG;V.PTCP;ACT
zgrajeno	बनवाई	zgrajen	बन	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
predmeti	आइटम	predmet	आइटम	N;NOM;MASC;PL	N;NOM;MASC;SG;3
predmeti	मद	predmet	मद	N;NOM;MASC;PL	
predmeti	वस्तु	predmet	वस्तु	N;NOM;MASC;PL	N;NOM;FEM;SG;3
predmeti	ऑब्जेक्ट	predmet	ऑब्जेक्ट	N;NOM;MASC;PL	N;NOM;MASC;SG;3
europe	यूरोप	europ	यूरोप	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
europe	यूरोपीय	europ	यूरोपीय	N;NOM;MASC;SG	PROPN;NOM;SG;3
koncentracije	एकाग्रता	koncentracija	एकाग्रता	N;NOM;FEM;PL	N;NOM;FEM;SG;3
koncentracije	एकाग्रता	koncentracija	एकाग्रता	N;NOM;FEM;PL	N;NOM;FEM;SG;3
koncentracije	विशेषज्ञता	koncentracija	विशेषज्ञता	N;NOM;FEM;PL	N;NOM;FEM;SG;3
okrožju	लैन	okrožje	लैन	N;DAT;NEUT;SG	N;NOM;MASC;SG;3
okrožju	काउंटी	okrožje	काउंटी	N;DAT;NEUT;SG	PROPN;NOM;MASC;SG;3
potreben	कामुक	potreben	कामुक	ADJ;NOM;INDF;MASC;SG	N;NOM;MASC;SG;3
gozda	वुड्स	gozd	वुड्स	N;GEN;MASC;SG	PROPN;NOM;MASC;SG;3
gozda	जंगल	gozd	जंगल	N;GEN;MASC;SG	N;NOM;MASC;SG;3
gozda	वनों	gozd	वन	N;GEN;MASC;SG	N;NOM;MASC;PL;3
gozda	वन	gozd	वन	N;GEN;MASC;SG	
emerson	एमर्सन	emerson	एमर्सन	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
lang	लंग	lang	लंग		
lang	लैंग	lang	लैंग		
ustanove	संस्थाओं	ustanova	संस्था	N;NOM;FEM;PL	N;ACC;FEM;PL;3
ustanove	संस्थानों	ustanova	संस्थान	N;NOM;FEM;PL	N;ACC;MASC;PL;3
koristi	फायदे	korist	फायदा	N;NOM;FEM;SG	N;NOM;MASC;PL;3
america	अमरीका	america	अमरीका	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
america	अमेरिका	america	अमेरिका	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
osebi	व्यक्ति	oseba	व्यक्ति	N;NOM;FEM;DU	N;NOM;MASC;SG;3
rep	टेल	rep	टेल	N;NOM;MASC;SG	
tovarne	कारखानों	tovarna	कारखाना	N;NOM;FEM;PL	N;ACC;MASC;PL;3
bbc	बीबीसी	bbce	बीबीसी	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
strogo	सख्ती	stroga	सख्ती	ADV	N;NOM;FEM;SG;3
formalno	औपचारिक	formalno	औपचारिक	ADV	ADJ;NOM
stavb	भवनों	stavba	भवन	N;GEN;FEM;PL	N;ACC;MASC;PL;3
stavb	भवन	stavba	भवन	N;GEN;FEM;PL	N;NOM;MASC;SG;3
stavb	इमारतें	stavba	इमारत	N;GEN;FEM;PL	N;NOM;FEM;PL;3
projektov	परियोजनाएँ	projekt	परियोजना	N;GEN;MASC;PL	N;NOM;FEM;PL;3
projektov	परियोजनाएं	projekt	परियोजना	N;GEN;MASC;PL	N;NOM;FEM;PL;3
projektov	प्रोजेक्ट	projekt	प्रोजेक्ट	N;GEN;MASC;PL	N;NOM;MASC;SG;3
novice	खबर	novica	खबर	N;NOM;FEM;PL	N;NOM;FEM;SG;3
novice	समाचार	novica	समाचार	N;NOM;FEM;PL	N;NOM;MASC;SG;3
novice	न्यूज़	novica	न्यूज़	N;NOM;FEM;PL	
novice	न्यूज	novica	न्यूज	N;NOM;FEM;PL	N;NOM;FEM;SG;3
lista	शीट	list	शीट	N;NOM;MASC;SG	
eng	इंग्लैंड	eng	इंग्लैंड	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
eng	eng	eng	eng	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
stekla	काँच	steči	काँच	V;PFV;FEM;PL;V.PTCP	
stekla	काच	steči	काच	V;PFV;FEM;PL;V.PTCP	N;NOM;MASC;SG;3
stekla	गिलास	steči	गिलास	V;PFV;FEM;PL;V.PTCP	N;NOM;MASC;SG;3
stekla	ग्लास	steči	ग्लास	V;PFV;FEM;PL;V.PTCP	N;NOM;MASC;SG;3
stekla	कांच	steči	कांच	V;PFV;FEM;PL;V.PTCP	N;NOM;MASC;SG;3
eva	ईवा	eva	ईवा	PROPN;NOM;FEM;SG	
eva	एवा	eva	एवा	PROPN;NOM;FEM;SG	
eva	संध्या	eva	संध्या	PROPN;NOM;FEM;SG	N;NOM;FEM;SG;3
river	नदी	river	नदी		N;NOM;FEM;SG;3
vsota	योग	vsota	योग	N;NOM;FEM;SG	
oborožene	सशस्त्र	oborožen	सशस्त्र	ADJ;NOM;FEM;PL;V.PTCP	N;NOM;MASC;SG;3
oborožene	हथियारबंद	oborožen	हथियारबंद	ADJ;NOM;FEM;PL;V.PTCP	N;NOM;MASC;SG;3
poveljniki	कमांडरों	poveljnik	कमांडर	N;NOM;MASC;PL	N;ACC;MASC;PL;3
aktivna	क्रियाशील	aktiven	क्रियाशील	ADJ;NOM;FEM;SG	
ulice	गलियों	ulica	गली	N;NOM;FEM;PL	N;ACC;FEM;PL;3
zelene	अजवाइन	zelen	अजवाइन	ADJ;NOM;FEM;PL	
zelene	हरित	zelen	हरित	ADJ;NOM;FEM;PL	PROPN;NOM;MASC;SG;3
zelene	हरी	zelen	हरा	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
zelene	हरा	zelen	हरा	ADJ;NOM;FEM;PL	V;MASC;SG;V.PTCP;ACT
zelene	ग्रीन	zelen	ग्रीन	ADJ;NOM;FEM;PL	
times	टाइम्स	times	टाइम्स	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
pisanja	लेखन	pisanje	लेखन	N;GEN;NEUT;SG	
pisanja	कृतियाँ	pisanje	कृति	N;GEN;NEUT;SG	N;NOM;FEM;PL;3
luis	लुइस	luis	लुइस		PROPN;NOM;MASC;SG;3
pont	pont	pont	pont	PROPN;NOM;MASC;SG	
polke	regiments	polk	regiments	N;ACC;MASC;PL	N;NOM;MASC;SG;3
kovin	धातु	kovina	धातु	N;NOM;FEM;PL	N;NOM;MASC;SG;3
kovin	मेटल	kovina	मेटल	N;NOM;FEM;PL	N;NOM;MASC;SG;3
kovin	धातु	kovina	धातु	N;NOM;FEM;PL	N;NOM;MASC;SG;3
kovin	धातुओं	kovina	धातुा	N;NOM;FEM;PL	N;ACC;MASC;PL;3
kmečki	देहाती	kmečki	देहाती	ADJ;NOM;DEF;MASC;SG	V;IPFV;FEM;SG;V.PTCP;ACT
utrdbe	दुर्गों	utrdba	दुर्ग	N;NOM;FEM;PL	N;ACC;MASC;PL;3
legija	लीजन	legija	लीजन	N;NOM;FEM;SG	
toplice	spa	toplica	spa	N;NOM;FEM;PL	
toplice	स्पा	toplica	स्पा	N;NOM;FEM;PL	N;NOM;MASC;SG;3
toplice	स्पा	toplica	स्पा	N;NOM;FEM;PL	N;NOM;MASC;SG;3
verige	जंजीरों	veriga	जंजीर	N;NOM;FEM;PL	N;ACC;MASC;PL;3
verige	चेन	veriga	चेन	N;NOM;FEM;PL	N;NOM;FEM;SG;3
verige	चैन	veriga	चैन	N;NOM;FEM;PL	
verige	chain	veriga	chain	N;NOM;FEM;PL	
verige	कड़ी	veriga	कडा	N;NOM;FEM;PL	ADJ;NOM;FEM;SG
aviation	विमानों	aviation	विमान	N;NOM;MASC;SG	N;ACC;MASC;PL;3
ingrid	इंग्रिड	ingrid	इंग्रिड	PROPN;NOM;FEM;SG	
širjenje	फैला	širjenje	फैल	N;NOM;NEUT;SG	V;PFV;MASC;SG;V.PTCP;ACT
širjenje	फैल	širjenje	फैल	N;NOM;NEUT;SG	V;ACT
pozitivne	धनात्मक	pozitiven	धनात्मक	ADJ;NOM;FEM;PL	N;NOM;MASC;SG;3
izbrani	चुनी	izbran	चुन	ADJ;NOM;MASC;PL;V.PTCP	V;PFV;FEM;SG;V.PTCP;ACT
izbrani	चयनित	izbran	चयनित	ADJ;NOM;MASC;PL;V.PTCP	PROPN;NOM;MASC;SG;3
akademijo	अकादमी	akademija	अकादमी	N;ACC;FEM;SG	N;NOM;FEM;SG;3
luči	बत्ती	luč	बत्ती	N;NOM;FEM;PL	N;NOM;FEM;SG;3
luči	रोशनी	luč	रोशनी	N;NOM;FEM;PL	N;NOM;FEM;SG;3
luči	प्रकाश	luč	प्रकाश	N;NOM;FEM;PL	PROPN;NOM;MASC;SG;3
želja	काश	želja	काश	N;NOM;FEM;SG	
slovaška	स्लोवाकिया	slovaški	स्लोवाकिया	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
slovaška	स्लोवाक	slovaški	स्लोवाक	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
rudi	rudi	rudi	rudi	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
rudi	रूडी	rudi	रूडी	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
stockholm	स्टॉकहोम	stockholm	स्टॉकहोम	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
dinamo	डायनेमो	dinama	डायनेमो	N;ACC;FEM;SG	N;NOM;MASC;SG;3
amerika	अमरीका	amerika	अमरीका	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
amerika	अमेरिका	amerika	अमेरिका	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
wood	वुड	wood	वुड	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
wood	लकड़ी	wood	लकडी	PROPN;NOM;MASC;SG	N;NOM;FEM;SG;3
wood	लकडी	wood	लकडी	PROPN;NOM;MASC;SG	
adrian	एड्रियन	adrian	एड्रियन	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
fizično	भौतिक	fizično	भौतिक	ADV	
fizično	शारीरिक	fizično	शारीरिक	ADV	N;NOM;MASC;SG;3
zupan	मेयर	zupan	मेयर	PROPN;NOM;MASC;SG	N;NOM;MASC;SG;3
zupan	महापौर	zupan	महापौर	PROPN;NOM;MASC;SG	N;NOM;MASC;SG;3
empire	साम्राज्य	empira	साम्राज्य		N;NOM;MASC;SG;3
vrhovni	सुप्रीम	vrhoven	सुप्रीम	ADJ;NOM;MASC;PL	PROPN;NOM;MASC;SG;3
vrhovni	सर्वोच्च	vrhoven	सर्वोच्च	ADJ;NOM;MASC;PL	PROPN;NOM;MASC;SG;3
vrhovni	परम्	vrhoven	परम्	ADJ;NOM;MASC;PL	
meta	मेटा	met	मेटा	N;NOM;FEM;SG	
romunija	रोमानियाई	romunija	रोमानियाई	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
romunija	रोमानिया	romunija	रोमानिया	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
howard	हावर्ड	howard	हावर्ड	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
črte	लाइनों	črta	लाइन	N;NOM;FEM;PL	N;ACC;FEM;PL;3
kmetje	कृषक	kmet	कृषक	N;NOM;MASC;PL	N;NOM;MASC;SG;3
kmetje	किसानों	kmet	किसान	N;NOM;MASC;PL	N;ACC;MASC;PL;3
kmetje	किसानो	kmet	किसानो	N;NOM;MASC;PL	
faktor	फ़ैक्टर	faktor	फ़ैक्टर	N;NOM;MASC;SG	
španska	स्पैनिश	španski	स्पैनिश	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
španska	स्पेनिश	španski	स्पेनिश	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
španska	स्पेनी	španski	स्पेनी	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
studio	स्टुडियो	studio	स्टुडियो	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
oder	पाड़	oder	पाड़	N;NOM;MASC;SG	
naravna	कुदरती	naraven	कुदरती	ADJ;NOM;FEM;SG	
naravna	प्राकृतिक	naraven	प्राकृतिक	ADJ;NOM;FEM;SG	PROPN;NOM;SG;3
stone	पत्थर	stona	पत्थर	N;NOM;FEM;SG	N;NOM;MASC;PL;3
stone	स्टोन	stona	स्टोन	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
okno	खिडकी	okno	खिडकी	N;NOM;NEUT;SG	V;PFV;FEM;SG;V.PTCP;ACT
nauk	नैतिक	nauk	नैतिक	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
nauk	moral	nauk	moral	N;NOM;MASC;SG	
kevin	केविन	kevina	केविन	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
duh	घोस्ट	duh	घोस्ट	N;NOM;MASC;SG	
duh	भूत	duh	भूत	N;NOM;MASC;SG	
duh	भुत	duh	भुत	N;NOM;MASC;SG	
duh	आत्माओं	duh	आत्मा	N;NOM;MASC;SG	N;ACC;FEM;PL;3
duh	रूह	duh	रूह	N;NOM;MASC;SG	V;SG;FIN;ACT
duh	स्पिरिट	duh	स्पिरिट	N;NOM;MASC;SG	
kovač	लोहार	kovač	लोहार	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
odvisen	आसक्त	odvisen	आसक्त	ADJ;NOM;INDF;MASC;SG	PROPN;NOM;MASC;SG;3
odvisen	व्यसनी	odvisen	व्यसनी	ADJ;NOM;INDF;MASC;SG	N;NOM;MASC;SG;3
odvisen	आदी	odvisen	आदी	ADJ;NOM;INDF;MASC;SG	
its	इसका	its	यह		PRO;MASC;SG;3
its	इसकी	its	यह		PRO;FEM;SG;3
its	इसके	its	यह		PRO;MASC;SG;3
misel	सोचा	misel	सोच	N;NOM;FEM;SG	V;PFV;MASC;SG;V.PTCP;ACT
nacionalna	राष्टीय	nacionalen	राष्टीय	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
nacionalna	राष्ट्रीय	nacionalen	राष्ट्रीय	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
nacionalna	नेशनल	nacionalen	नेशनल	ADJ;NOM;FEM;SG	PROPN;NOM
anglijo	इंग्लैंड	angliti	इंग्लैंड	N;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
anglijo	इंग्लैण्ड	angliti	इंग्लैण्ड	N;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
idej	विचारों	ideja	विचार	N;GEN;FEM;PL	N;ACC;MASC;PL;3
idej	विचार	ideja	विचार	N;GEN;FEM;PL	N;NOM;MASC;SG;3
dimitrij	दिमित्री	dimiter	दिमित्री	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
stališča	दृश्य	stališče	दृश्य	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
kolo	बाईक	kolo	बाईक	N;NOM;NEUT;SG	
kolo	सायकिल	kolo	सायकिल	N;NOM;NEUT;SG	
