खिड़की	fenêtres	खिड़की	fenêtre	N;NOM;FEM;SG;3	N;FEM;PL
सिलेंडर	bouteilles	सिलेंडर	bouteille	N;NOM;MASC;SG;3	N;FEM;PL
सिलेंडर	vérins	सिलेंडर	vérin	N;NOM;MASC;SG;3	N;MASC;PL
मैक्सिकन	mexicaines	मैक्सिकन	mexicain		ADJ;FEM;PL
मैक्सिकन	mexicaine	मैक्सिकन	mexicain		ADJ;FEM;SG
मैक्सिकन	mexicains	मैक्सिकन	mexicain		ADJ;MASC;PL
मैक्सिकन	mexicain	मैक्सिकन	mexicain		ADJ;MASC;SG
उर्वर	exubérante	उर्वर	exubérant	N;NOM;MASC;SG;3	ADJ;FEM;SG
खोपड़ी	crânes	खोपडी	crâne	N;NOM;FEM;SG;3	N;MASC;PL
कोलम्बिया	colombie	कोलम्बिया	colombie	PROPN;NOM;MASC;SG;3	PROPN
छत्रपति	chhatrapati	छत्रपति	chhatrapati	PROPN;NOM;MASC;SG;3	PROPN
पट्टिका	palettes	पट्टिका	palette	N;NOM;FEM;SG;3	N;FEM;PL
कैसा	comment	कैसा	comment	PRO	ADV
स्टीवन	stéphane	स्टीवन	stéphane	PROPN;NOM;MASC;SG;3	PROPN
स्टीवन	steven	स्टीवन	steven	PROPN;NOM;MASC;SG;3	PROPN
टेल	récit	टेल	récit		N;MASC;SG
टेल	conte	टेल	conte		N;MASC;SG
टेल	queue	टेल	queue		N;FEM;SG
टेल	filature	टेल	filature		N;FEM;SG
टेल	tail	टेल	tail		N;MASC;SG
कबीले	tribu	कबीला	tribu	N;NOM;MASC;PL;3	N;FEM;SG
सूर्योदय	lever	सूर्योदय	lever	N;NOM;MASC;SG;3	V;NFIN
सूर्योदय	sunrise	सूर्योदय	sunrise	N;NOM;MASC;SG;3	PROPN
रणनीतिक	stratégiquement	रणनीतिक	stratégiquement	ADJ;NOM	ADV
रीड	roseaux	रीड	roseau	PROPN;NOM;MASC;SG;3	N;MASC;PL
रीड	reed	रीड	reedre	PROPN;NOM;MASC;SG;3	PROPN
प्रक्षेप	projections	प्रक्षेप	projection	N;NOM;MASC;SG;3	N;FEM;PL
इसरो	isro	इसरो	isro	PROPN;NOM;MASC;SG;3	N;MASC;SG
एमी	amy	एमी	amy	N;NOM;MASC;SG;3	PROPN
प्लेटो	platon	प्लेटो	platon	N;NOM;MASC;SG;3	PROPN
मीन	poissons	मीन	poisson		N;MASC;PL
मीन	poisson	मीन	poisson		N;MASC;SG
कनाडाई	canadiens	कनाडाई	canadien	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL
कनाडाई	canadienne	कनाडाई	canadien	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
कनाडाई	canadien	कनाडाई	canadien	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
रिसाव	fuites	रिसाव	fuite	N;NOM;MASC;SG;3	N;FEM;PL
रिसाव	fuites	रिसाव	fuite	N;NOM;MASC;SG;3	N;FEM;PL
अनावरण	dévoilée	अनावरण	dévoiler	N;NOM;MASC;SG;3	V;FEM;SG;PST;V.PTCP
अनावरण	dévoilé	अनावरण	dévoiler	N;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
निषिद्ध	interdites	निषिद्ध	interdire		V;FEM;PL;PST;V.PTCP
निषिद्ध	défendu	निषिद्ध	défendre		V;MASC;SG;PST;V.PTCP
निषिद्ध	interdite	निषिद्ध	interdire		V;FEM;SG;PST;V.PTCP
निषिद्ध	interdit	निषिद्ध	interdire		V;MASC;SG;PST;V.PTCP
निषिद्ध	interdits	निषिद्ध	interdire		V;MASC;PL;PST;V.PTCP
निषिद्ध	interdites	निषिद्ध	interdire		V;FEM;PL;PST;V.PTCP
निषिद्ध	interdite	निषिद्ध	interdire		V;FEM;SG;PST;V.PTCP
निषिद्ध	interdit	निषिद्ध	interdire		V;MASC;SG;PST;V.PTCP
निषिद्ध	interdits	निषिद्ध	interdire		V;MASC;PL;PST;V.PTCP
सेम	bean	सेम	bean		PROPN
सेम	haricot	सेम	haricot		N;MASC;SG
सेम	haricots	सेम	haricot		N;MASC;PL
सेम	fèves	सेम	fève		N;FEM;PL
सेम	haricot	सेम	haricot		N;MASC;SG
सेम	haricots	सेम	haricot		N;MASC;PL
सेम	sem	सेम	sem		
रॉन	ron	रॉन	ron	PROPN;NOM;MASC;SG;3	PROPN
मंडप	mandapa	मंडप	mandapa	N;NOM;MASC;SG;3	PROPN
बरसात	douches	बरसात	douche	N;NOM;FEM;SG;3	N;FEM;PL
बरसात	pluvieux	बरसात	pluvieux	N;NOM;FEM;SG;3	ADJ;MASC;SG
बरसात	pluies	बरसात	pluie	N;NOM;FEM;SG;3	N;FEM;PL
बरसात	rain	बरसात	rain	N;NOM;FEM;SG;3	PROPN
बनर्जी	banerjee	बनर्जी	banerjee	PROPN;NOM;SG;3	N;MASC;SG
इंटेल	intel	इंटेल	intel	PROPN;NOM;MASC;SG;3	N;MASC;SG
फास्ट	rapide	फास्ट	rapide		ADJ;MASC;SG
फास्ट	rapidement	फास्ट	rapidement		ADV
फास्ट	vite	फास्ट	vite		ADV
फास्ट	rapidité	फास्ट	rapidité		N;FEM;SG
फास्ट	rapides	फास्ट	rapide		ADJ;MASC;PL
यथार्थवाद	réaliste	यथार्थवाद	réaliste	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
यथार्थवाद	réalisme	यथार्थवाद	réalisme	PROPN;NOM;MASC;SG;3	N;MASC;SG
बाह	bah	बाह	bah		
तालिबान	talibans	तालिबान	taliban	PROPN;NOM;MASC;SG;3	N;MASC;PL
तालिबान	taliban	तालिबान	taliban	PROPN;NOM;MASC;SG;3	N;MASC;SG
दर्शनशास्त्र	philosophique	दर्शनशास्त्र	philosophique	N;NOM;MASC;SG;3	ADJ;MASC;SG
स्वादिष्ट	savoureuses	स्वादिष्ट	savoureux	N;NOM;MASC;SG;3	ADJ;FEM;PL
स्वादिष्ट	savoureux	स्वादिष्ट	savoureux	N;NOM;MASC;SG;3	ADJ;MASC;SG
स्वादिष्ट	savoureuse	स्वादिष्ट	savoureux	N;NOM;MASC;SG;3	ADJ;FEM;SG
स्वादिष्ट	délicieux	स्वादिष्ट	délicieux	N;NOM;MASC;SG;3	ADJ;MASC;SG
स्वादिष्ट	délicieuse	स्वादिष्ट	délicieux	N;NOM;MASC;SG;3	ADJ;FEM;SG
स्वादिष्ट	délicieuses	स्वादिष्ट	délicieux	N;NOM;MASC;SG;3	ADJ;FEM;PL
स्वादिष्ट	délicieux	स्वादिष्ट	délicieux	N;NOM;MASC;SG;3	ADJ;MASC;SG
ज्वाला	flamme	ज्वाला	flamme	PROPN;NOM;FEM;SG;3	N;FEM;SG
ज्वाला	flammes	ज्वाला	flamme	PROPN;NOM;FEM;SG;3	N;FEM;PL
ईंटों	brick	ईंट	brick	N;ACC;MASC;PL;3	N;MASC;SG
ईंटों	brique	ईंट	brique	N;ACC;MASC;PL;3	N;FEM;SG
कर्ज	dettes	कर्ज	dette	N;NOM;MASC;SG;3	N;FEM;PL
सलाद	laitues	सलाद	laitu	N;NOM;MASC;SG;3	N;FEM;PL
सलाद	salades	सलाद	salade	N;NOM;MASC;SG;3	N;FEM;PL
सलाद	salades	सलाद	salade	N;NOM;MASC;SG;3	N;FEM;PL
जलन	jalouse	जलन	jalouse	N;NOM;FEM;SG;3	ADJ;FEM;SG
जलन	jaloux	जलन	jalou	N;NOM;FEM;SG;3	ADJ;MASC;SG
जलन	incendiaire	जलन	incendiaire	N;NOM;FEM;SG;3	ADJ;MASC;SG
जलन	inflammatoire	जलन	inflammatoire	N;NOM;FEM;SG;3	ADJ;MASC;SG
जलन	inflammatoires	जलन	inflammatoire	N;NOM;FEM;SG;3	ADJ;MASC;PL
जलन	irritations	जलन	irritation	N;NOM;FEM;SG;3	N;FEM;PL
शौकिया	amateurs	शौकिया	amateur	N;NOM;MASC;SG;3	N;MASC;PL
अनूठा	uniques	अनूठा	unique	ADJ;NOM;MASC;SG	ADJ;MASC;PL
कैरी	carrie	कैरी	carrie		N;FEM;SG
कैरी	carey	कैरी	carey		PROPN
पेशावर	peshawar	पेशावर	peshawar	PROPN;NOM;MASC;SG;3	PROPN
पहेली	puzzles	पहेली	puzzle		N;MASC;PL
पहेली	énigmes	पहेली	énigme		N;FEM;PL
पहेली	puzzle	पहेली	puzzle		N;MASC;SG
पहेली	énigme	पहेली	énigme		N;FEM;SG
पहेली	énigme	पहेली	énigme		N;FEM;SG
रक्तस्राव	hémorragies	रक्तस्राव	hémorragie	N;NOM;MASC;SG;3	N;FEM;PL
जामा	jama	जामा	jama		PROPN
फ्रैंकलिन	franklin	फ्रैंकलिन	franklin	PROPN;NOM;MASC;SG;3	PROPN
सेकेंड	secondes	सेकेंड	seconde	N;NOM;MASC;SG;3	N;FEM;PL
सेकेंड	seconds	सेकेंड	second	N;NOM;MASC;SG;3	ADJ;MASC;PL
सेकेंड	second	सेकेंड	second	N;NOM;MASC;SG;3	ADJ;MASC;SG
सेकेंड	deuxième	सेकेंड	deuxième	N;NOM;MASC;SG;3	ADJ;MASC;SG
सेकेंड	deuxieme	सेकेंड	deuxieme	N;NOM;MASC;SG;3	ADJ;MASC;SG
सेकेंड	seconde	सेकेंड	second	N;NOM;MASC;SG;3	ADJ;FEM;SG
महापौर	maires	महापौर	maire	N;NOM;MASC;SG;3	N;MASC;PL
आयताकार	rectangulaire	आयताकार	rectangulaire	N;NOM;MASC;SG;3	ADJ;MASC;SG
आयताकार	rectangulaires	आयताकार	rectangulaire	N;NOM;MASC;SG;3	ADJ;MASC;PL
मैनहटन	manhattan	मैनहटन	manhattan	PROPN;NOM;MASC;SG;3	PROPN
मॉरीशस	maurice	मॉरीशस	maurice	PROPN;NOM;MASC;SG;3	N;MASC;SG
लावा	laves	लावा	lave	N;NOM;MASC;SG;3	N;FEM;PL
माइग्रेन	migraines	माइग्रेन	migraine	N;NOM;MASC;SG;3	N;FEM;PL
परिधान	déguisements	परिधान	déguisement	N;NOM;MASC;SG;3	N;MASC;PL
परिधान	costumes	परिधान	costume	N;NOM;MASC;SG;3	N;MASC;PL
परिधान	vêtements	परिधान	vêtement	N;NOM;MASC;SG;3	N;MASC;PL
गोलीबारी	tirs	गोलीबारी	tir	N;NOM;FEM;SG;3	N;MASC;PL
गोलीबारी	tirer	गोलीबारी	tirer	N;NOM;FEM;SG;3	V;NFIN
हब	hub	हब	hub		N;MASC;SG
जग	monde	जग	monde		N;MASC;SG
जग	mondial	जग	mondial		ADJ;MASC;SG
जग	mondiale	जग	mondial		ADJ;FEM;SG
जग	jag	जग	jag		
पम्प	pomper	पम्प	pomper	N;NOM;MASC;SG;3	V;NFIN
मातृ	maternel	मातृ	maternel		ADJ;MASC;SG
मातृ	maternels	मातृ	maternel		ADJ;MASC;PL
मातृ	maternelle	मातृ	maternel		ADJ;FEM;SG
नाल	horseshoe	नाल	horseshoe	N;NOM;FEM;SG;3	PROPN
लाभप्रद	profitable	लाभप्रद	profitable	ADP	ADJ;MASC;SG
लाभप्रद	rentable	लाभप्रद	rentable	ADP	ADJ;MASC;SG
लाभप्रद	rentables	लाभप्रद	rentable	ADP	ADJ;MASC;PL
रोचेस्टर	rochester	रोचेस्टर	rochester	PROPN;NOM;MASC;SG;3	V;NFIN
डोनाल्ड	donald	डोनाल्ड	donald	PROPN;NOM;MASC;SG;3	PROPN
रमन	raman	रमन	raman	PROPN;NOM;MASC;SG;3	PROPN
प्रतिकृति	répliques	प्रतिकृति	réplique	N;NOM;FEM;SG;3	N;FEM;PL
घराने	genres	घरा	genre	V;MASC;NFIN;ACT	N;MASC;PL
प्रवृति	penchant	प्रवृति	penchant	N;NOM;FEM;SG;3	V;PRS;V.PTCP
धमाके	bang	धमाका	bang	N;NOM;MASC;PL;3	N;MASC;SG
सीटी	siffle	सीटी	siffle	PROPN;NOM;FEM;SG;3	V;IND;SG;3;PRS;FIN
सीटी	siffler	सीटी	siffler	PROPN;NOM;FEM;SG;3	V;NFIN
सीटी	sifflement	सीटी	sifflement	PROPN;NOM;FEM;SG;3	N;MASC;SG
सीटी	sifflet	सीटी	sifflet	PROPN;NOM;FEM;SG;3	N;MASC;SG
परोसा	servis	परोसा	servir	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
परोसा	servies	परोसा	servir	V;PFV;MASC;SG;V.PTCP;ACT	V;FEM;PL;PST;V.PTCP
परोसा	desservis	परोसा	desservir	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
कार्टर	carter	कार्टर	carter	PROPN;NOM;MASC;SG;3	N;MASC;SG
सिरदर्द	céphalées	सिरदर्द	céphalée	N;NOM;MASC;SG;3	V;FEM;PL;PST;V.PTCP
कट्टर	dogmatique	कट्टर	dogmatique	N;NOM;MASC;SG;3	ADJ;MASC;SG
कट्टर	enragée	कट्टर	enrager	N;NOM;MASC;SG;3	V;FEM;SG;PST;V.PTCP
कट्टर	enragés	कट्टर	enrager	N;NOM;MASC;SG;3	V;MASC;PL;PST;V.PTCP
कट्टर	enragé	कट्टर	enrager	N;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
सैंडविच	sandwichs	सैंडविच	sandwich	N;NOM;MASC;SG;3	N;MASC;PL
सैंडविच	sandwichs	सैंडविच	sandwich	N;NOM;MASC;SG;3	N;MASC;PL
सैंडविच	sandwiches	सैंडविच	sandwiche	N;NOM;MASC;SG;3	N;MASC;PL
चिप्स	puces	चिप्स	puce	N;NOM;MASC;SG;3	N;FEM;PL
चिप्स	chips	चिप्स	chips	N;NOM;MASC;SG;3	N;MASC;PL
चिप्स	jetons	चिप्स	jeton	N;NOM;MASC;SG;3	N;MASC;PL
चन्द	chand	चन्द	chand		PROPN
चन्द	appelants	चन्द	appelent		N;MASC;PL
बिखरे	dispersé	बिखर	disperser	V;PFV;MASC;PL;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
बिखरे	dispersée	बिखर	disperser	V;PFV;MASC;PL;V.PTCP;ACT	V;FEM;SG;PST;V.PTCP
दार्जिलिंग	darjeeling	दार्जिलिंग	darjeeling	PROPN;NOM;MASC;SG;3	N;MASC;SG
वेस्टमिंस्टर	westminster	वेस्टमिंस्टर	westminster	N;NOM;MASC;SG;3	PROPN
सुनाया	prononcés	सुना	prononcer	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
शैतान	démon	शैतान	démon	PROPN;NOM;MASC;SG;3	N;MASC;SG
शैतान	devil	शैतान	devil	PROPN;NOM;MASC;SG;3	PROPN
शैतान	diable	शैतान	diable	PROPN;NOM;MASC;SG;3	N;MASC;SG
शैतान	satan	शैतान	satan	PROPN;NOM;MASC;SG;3	PROPN
नैनोट्यूब	nanotube	नैनोट्यूब	nanotube	N;NOM;MASC;SG;3	PROPN
शीट	feuille	शीट	feuille		N;FEM;SG
शीट	drap	शीट	drap		N;MASC;SG
शीट	feuillet	शीट	feuillet		N;MASC;SG
शीट	feuilles	शीट	feuille		N;FEM;PL
शीट	draps	शीट	drap		N;MASC;PL
उद्धार	livrer	उद्धार	livrer	N;NOM;MASC;SG;3	V;NFIN
उद्धार	sauveteurs	उद्धार	sauveteur	N;NOM;MASC;SG;3	N;MASC;PL
पैकेजिंग	conditionnements	पैकेजिंग	conditionnement	N;NOM;MASC;SG;3	N;MASC;PL
पैकेजिंग	emballages	पैकेजिंग	emballage	N;NOM;MASC;SG;3	N;MASC;PL
म्यूनिख	munich	म्यूनिख	munich	PROPN;NOM;MASC;SG;3	PROPN
शरीफ	charif	शरीफ	charif	PROPN;NOM;MASC;SG;3	PROPN
शरीफ	sharif	शरीफ	sharif	PROPN;NOM;MASC;SG;3	PROPN
दोहराया	répétés	दोहरा	répéter	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
दोहराया	répétées	दोहरा	répéter	V;PFV;MASC;SG;V.PTCP;ACT	V;FEM;PL;PST;V.PTCP
बोल्ट	bolt	बोल्ट	bolt	PROPN;NOM;MASC;SG;3	N;MASC;SG
बोल्ट	boulon	बोल्ट	boulon	PROPN;NOM;MASC;SG;3	N;MASC;SG
गुम्बद	dômes	गुम्बद	dôme	N;NOM;MASC;SG;3	N;MASC;PL
जश्न	festivités	जश्न	festivité	N;NOM;MASC;SG;3	N;FEM;PL
जश्न	célébrations	जश्न	célébration	N;NOM;MASC;SG;3	N;FEM;PL
जश्न	célébrations	जश्न	célébration	N;NOM;MASC;SG;3	N;FEM;PL
नोबल	noble	नोबल	noble	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
नोबल	nobles	नोबल	noble	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL
नोबल	noblesse	नोबल	noblesse	PROPN;NOM;MASC;SG;3	N;FEM;SG
टायसन	tyson	टायसन	tyson	PROPN;NOM;MASC;SG;3	PROPN
टंडन	tandon	टंडन	tandon	PROPN;NOM;MASC;SG;3	PROPN
संग्रहीत	archivées	संग्रहीत	archiver	N;NOM;MASC;SG;3	V;FEM;PL;PST;V.PTCP
संग्रहीत	archivé	संग्रहीत	archiver	N;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
संग्रहीत	archivés	संग्रहीत	archiver	N;NOM;MASC;SG;3	V;MASC;PL;PST;V.PTCP
तना	tiges	तना	tige	N;NOM;MASC;SG;3	N;FEM;PL
तना	souches	तना	souche	N;NOM;MASC;SG;3	N;FEM;PL
सदाबहार	evergreen	सदाबहार	evergreen	PROPN;NOM;MASC;SG;3	N;MASC;SG
कंकाल	squelettes	कंकाल	squelette	N;NOM;MASC;SG;3	N;MASC;PL
समीर	samir	समीर	samir	PROPN;NOM;MASC;SG;3	PROPN
ऑर	orr	ऑर	orr		PROPN
समतुल्य	équivalentes	समतुल्य	équivalent		ADJ;FEM;PL
समतुल्य	équivalente	समतुल्य	équivalent		ADJ;FEM;SG
समतुल्य	équivalents	समतुल्य	équivalent		ADJ;MASC;PL
समतुल्य	équivalent	समतुल्य	équivalent		ADJ;MASC;SG
जिन्ना	jinnah	जिन्ना	jinnah	PROPN;NOM;MASC;SG;3	PROPN
फेरारी	ferrari	फेरारी	ferrari	N;NOM;MASC;SG;3	PROPN
एमआईटी	mit	एमआईटी	mettre	PROPN;NOM;MASC;SG;3	V;IND;SG;3;PST;FIN
भ्रामक	trompeur	भ्रामक	trompeur	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
भ्रामक	fallacieux	भ्रामक	fallacieux	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
भ्रामक	trompeuses	भ्रामक	trompeur	PROPN;NOM;MASC;SG;3	ADJ;FEM;PL
भ्रामक	trompeuse	भ्रामक	trompeur	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
भ्रामक	confusion	भ्रामक	confusion	PROPN;NOM;MASC;SG;3	N;FEM;SG
भ्रामक	confus	भ्रामक	confus	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
भ्रामक	déroutant	भ्रामक	dérouter	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
नगण्य	insignifiant	नगण्य	insignifiant		ADJ;MASC;SG
नगण्य	trivial	नगण्य	trivial		ADJ;MASC;SG
केक	gâteaux	केक	gâteau	N;NOM;MASC;SG;3	N;MASC;PL
केक	tourteaux	केक	tourteau	N;NOM;MASC;SG;3	N;MASC;PL
अन्याय	injustice	अन्याय	injustice	PROPN;NOM;MASC;SG;3	N;FEM;SG
अन्याय	injustices	अन्याय	injustic	PROPN;NOM;MASC;SG;3	N;FEM;PL
अनुसूची	horaires	अनुसूची	horaire	N;NOM;FEM;SG;3	N;MASC;PL
अनुसूची	horaire	अनुसूची	horaire	N;NOM;FEM;SG;3	ADJ;MASC;SG
सेठी	sethi	सेठी	sethi	PROPN;NOM;MASC;SG;3	PROPN
एनिमेशन	animations	एनिमेशन	animation	N;NOM;MASC;SG;3	N;FEM;PL
एनिमेशन	animations	एनिमेशन	animation	N;NOM;MASC;SG;3	N;FEM;PL
देखो	regardez	देखो	regarder	V;SBJV;SG;FIN;ACT	V;IMP;PL;2;PRS;FIN
देखो	regarde	देखो	regarder	V;SBJV;SG;FIN;ACT	V;IND;SG;3;PRS;FIN
देखो	regardes	देखो	regarde	V;SBJV;SG;FIN;ACT	V;IMP;PL;2;PRS;FIN
इंतजार	attendre	इंतजार	attendre	N;NOM;MASC;SG;3	V;NFIN
इंतजार	attends	इंतजार	attendre	N;NOM;MASC;SG;3	V;IMP;PL;1;PRS;FIN
इंतजार	attendez	इंतजार	attendre	N;NOM;MASC;SG;3	V;IMP;PL;2;PRS;FIN
हिम्मत	oser	हिम्मत	oser	N;NOM;FEM;SG;3	V;NFIN
हिम्मत	ose	हिम्मत	oser	N;NOM;FEM;SG;3	V;IND;SG;3;PRS;FIN
हिम्मत	osez	हिम्मत	osez	N;NOM;FEM;SG;3	V;IMP;PL;2;PRS;FIN
प्रमाणपत्र	certificats	प्रमाणपत्र	certificat	N;NOM;MASC;SG;3	N;MASC;PL
प्रमाणपत्र	certificats	प्रमाणपत्र	certificat	N;NOM;MASC;SG;3	N;MASC;PL
सांकेतिक	symboliques	सांकेतिक	symbolique	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL
सांकेतिक	symbolique	सांकेतिक	symbolique	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
सत्रहवीं	xviie	सत्रहवां	xviie	PROPN;NOM;FEM;SG;3	N;MASC;SG
सत्रहवीं	seventeenth	सत्रहवां	seventeenth	PROPN;NOM;FEM;SG;3	N;SG
असमानता	inégalités	असमानता	inégalité	N;NOM;FEM;SG;3	N;FEM;PL
आमदनी	revenu	आमदनी	revenir	N;NOM;FEM;SG;3	V;MASC;SG;PST;V.PTCP
आमदनी	revenus	आमदनी	revenu	N;NOM;FEM;SG;3	N;MASC;PL
टिन	tin	टिन	tin		
टिन	étain	टिन	étain		N;MASC;SG
चारा	fourragère	चारा	fourragère	PROPN;NOM;MASC;SG;3	N;FEM;SG
चारा	fourrages	चारा	fourrage	PROPN;NOM;MASC;SG;3	N;MASC;PL
चारा	fourrage	चारा	fourrage	PROPN;NOM;MASC;SG;3	N;MASC;SG
चारा	appâts	चारा	appât	PROPN;NOM;MASC;SG;3	N;MASC;PL
चारा	appât	चारा	appât	PROPN;NOM;MASC;SG;3	N;MASC;SG
ओलिवर	oliver	ओलिवर	oliver	PROPN;NOM;MASC;SG;3	N;MASC;SG
ओलिवर	olivier	ओलिवर	olivier	PROPN;NOM;MASC;SG;3	PROPN
डिब्बे	bidons	डिब्बा	bidon	N;NOM;MASC;SG;3	N;MASC;PL
डिब्बे	canettes	डिब्बा	canette	N;NOM;MASC;SG;3	N;FEM;PL
घनी	épaisses	घना	épais	ADJ;NOM;FEM;SG	ADJ;FEM;PL
सोर्स	sources	सोर्स	source	N;NOM;MASC;SG;3	N;FEM;PL
पीर	pair	पीर	pair	PROPN;NOM;MASC;SG;3	N;MASC;SG
पीर	peer	पीर	peer	PROPN;NOM;MASC;SG;3	N;MASC;SG
पीर	pairs	पीर	pair	PROPN;NOM;MASC;SG;3	N;MASC;PL
विश्लेषक	analystes	विश्लेषक	analyste	N;NOM;MASC;SG;3	N;MASC;PL
अनुराग	anurag	अनुराग	anurag	PROPN;NOM;MASC;SG;3	PROPN
चेल्सी	chelsea	चेल्सी	chelsea	PROPN;NOM;MASC;SG;3	N;MASC;SG
बाजरा	mil	बाजरा	mil	PROPN;NOM;MASC;SG;3	
बाजरा	millet	बाजरा	millet	PROPN;NOM;MASC;SG;3	PROPN
पाम	pam	पाम	pam	PROPN;NOM;MASC;SG;3	N;MASC;SG
प्रोसेसर	processeurs	प्रोसेसर	processeur	N;NOM;MASC;SG;3	N;MASC;PL
स्ट्रीम	ruisseaux	स्ट्रीम	ruisseau	N;NOM;MASC;SG;3	N;MASC;PL
वक्तव्य	énoncé	वक्तव्य	énoncer	N;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
मुमताज़	mumtaz	मुमताज़	mumtaz	PROPN;NOM;FEM;SG;3	PROPN
बल्तिस्तान	baltistan	बल्तिस्तान	baltistan	PROPN;NOM;MASC;SG;3	PROPN
बारहवीं	xii	बारहवां	xii	ADJ;NOM;FEM;SG	NUM
बारहवीं	twelfth	बारहवां	twelfth	ADJ;NOM;FEM;SG	PROPN
स्टुअर्ट	stuart	स्टुअर्ट	stuart	PROPN;NOM;MASC;SG;3	PROPN
अचार	cornichons	अचार	cornichon	N;NOM;MASC;SG;3	N;MASC;PL
अचार	pickles	अचार	pickle	N;NOM;MASC;SG;3	N;MASC;PL
अचार	cornichons	अचार	cornichon	N;NOM;MASC;SG;3	N;MASC;PL
मॉड्यूल	modules	मॉड्यूल	module	N;NOM;MASC;SG;3	N;MASC;PL
हिरण	cerf	हिरण	cerf	PROPN;NOM;MASC;SG;3	N;MASC;SG
हिरण	cerfs	हिरण	cerf	PROPN;NOM;MASC;SG;3	N;MASC;PL
हिरण	daim	हिरण	daim	PROPN;NOM;MASC;SG;3	N;MASC;SG
हिरण	biche	हिरण	biche	PROPN;NOM;MASC;SG;3	N;FEM;SG
हिरण	chevreuil	हिरण	chevreuil	PROPN;NOM;MASC;SG;3	N;MASC;SG
हिरण	caribou	हिरण	caribou	PROPN;NOM;MASC;SG;3	N;MASC;SG
सईद	saeed	सईद	saeed	PROPN;NOM;MASC;SG;3	PROPN
प्रेषित	envoyés	प्रेषित	envoyer	ADJ	V;MASC;PL;PST;V.PTCP
प्रेषित	envoyées	प्रेषित	envoyer	ADJ	V;FEM;PL;PST;V.PTCP
प्रेषित	envoyée	प्रेषित	envoyer	ADJ	V;FEM;SG;PST;V.PTCP
प्रेषित	envoyé	प्रेषित	envoyer	ADJ	V;MASC;SG;PST;V.PTCP
ज़िन्दगी	zindagi	ज़िन्दगी	zindagi	N;NOM;FEM;SG;3	PROPN
बॉय	garçon	बॉय	garçon		N;MASC;SG
बॉय	boy	बॉय	boy		N;MASC;SG
हजरत	hazrat	हजरत	hazrat	PROPN;NOM;MASC;SG;3	PROPN
इब्राहिम	ibrahim	इब्राहिम	ibrahim	PROPN;NOM;MASC;SG;3	PROPN
स्टेरॉयड	stéroïdes	स्टेरॉयड	stéroïde	N;NOM;MASC;SG;3	N;MASC;PL
संवेदी	sensorielles	संवेदी	sensoriel	N;NOM;MASC;SG;3	ADJ;FEM;PL
संवेदी	sensoriel	संवेदी	sensoriel	N;NOM;MASC;SG;3	ADJ;MASC;SG
संवेदी	sensorielle	संवेदी	sensoriel	N;NOM;MASC;SG;3	ADJ;FEM;SG
संवेदी	sensoriels	संवेदी	sensoriel	N;NOM;MASC;SG;3	ADJ;MASC;PL
कार्लो	carlo	कार्लो	carlo	PROPN;NOM;MASC;SG;3	PROPN
चावला	chawla	चावला	chawla	PROPN;NOM;SG;3	PROPN
तपेदिक	tuberculose	तपेदिक	tuberculose	PROPN;NOM;FEM;SG;3	N;FEM;SG
फिल्मफेयर	filmfare	फिल्मफेयर	filmfare	PROPN;NOM;MASC;SG;3	N;MASC;SG
वीजा	visas	वीजा	visa	N;NOM;MASC;SG;3	N;MASC;PL
वीजा	visas	वीजा	visa	N;NOM;MASC;SG;3	N;MASC;PL
पवार	pawar	पवार	pawar	PROPN;NOM;SG;3	PROPN
बैनर	banderoles	बैनर	banderole	N;NOM;MASC;SG;3	N;FEM;PL
बैनर	bandeaux	बैनर	bandeau	N;NOM;MASC;SG;3	N;MASC;PL
बैनर	bannières	बैनर	bannière	N;NOM;MASC;SG;3	N;FEM;PL
बैनर	bannières	बैनर	bannière	N;NOM;MASC;SG;3	N;FEM;PL
याहू	yahoo	याहू	yahoo	PROPN;NOM;MASC;SG;3	N;MASC;SG
