xenio	genial	xenio	genial	N	ADJ;MASC;SG
illado	essa	illar	esse	V	PRO;FEM;SG
illado	isso	illar	isso	V	PRO;MASC;SG
illado	que	illar	que	V	PRO;MASC;SG
fundamental	fundamentais	fundamental	fundamental	ADJ	N;MASC;PL
substituír	substituição	substituír	substituição	V	N;FEM;SG
substituír	substituto	substituír	substituto	V	N;MASC;SG
substituír	substituta	substituír	substituta	V	N;FEM;SG
substituír	por	substituír	por	V	ADP
substituír	para	substituír	para	V	ADP
debuxo	desenhar	debuxo	desenhar	N	V;NFIN
debuxo	desenhando	debuxo	desenhar	N	V;V.MSDR
rostros	face	rostro	face	N	ADV
sentirse	sentir	sentirse	sentir	N	V;NFIN
sentirse	sente	sentirse	sentir	N	V;IND;SG;3;PRS;FIN
sentirse	sinta	sentirse	sinta	N	V;SBJV;SG;3;PRS;FIN
saíde	apanha	saíde	apanhar	PROPN	V;IND;SG;3;PRS;FIN
saíde	obtenha	saíde	obter	PROPN	V;SBJV;SG;3;PRS;FIN
saíde	receba	saíde	receber	PROPN	V;SBJV;SG;3;PRS;FIN
saíde	obter	saíde	obter	PROPN	V;NFIN
saíde	fora	saíde	fora	PROPN	ADV
saíde	out	saíde	out	PROPN	N;MASC;SG
entras	vem	entra	vir	PROPN	V;IND;SG;3;PRS;FIN
entras	venham	entra	vir	PROPN	V;SBJV;PL;3;PRS;FIN
entras	venha	entra	vir	PROPN	V;SBJV;SG;3;PRS;FIN
elo	essa	elo	esse	PROPN	PRO;FEM;SG
elo	isso	elo	isso	PROPN	PRO;MASC;SG
elo	que	elo	que	PROPN	PRO;MASC;SG
preguntarnos	pergunte	preguntarno	pergunte	N	V;SBJV;SG;3;PRS;FIN
preguntarnos	pedir	preguntarno	pedir	N	V;NFIN
preguntarnos	perguntar	preguntarno	perguntar	N	V;NFIN
entrando	into	entrar	into	V	N;MASC;SG
persoais	personal	persoal	personal	ADJ	N;MASC;SG
persoais	pessoal	persoal	pessoal	ADJ	N;MASC;SG
eléctrica	elétricos	eléctrico	elétrico	ADJ	N;MASC;PL
eléctrica	eléctricos	eléctrico	eléctrico	ADJ	N;MASC;PL
eléctrica	elétrica	eléctrico	elétrico	ADJ	N;FEM;SG
eléctrica	elétrico	eléctrico	elétrico	ADJ	N;MASC;SG
eléctrica	potência	eléctrico	potência	ADJ	N;FEM;SG
eléctrica	energia	eléctrico	energia	ADJ	N;FEM;SG
eléctrica	poder	eléctrico	poder	ADJ	N;MASC;SG
eléctrica	power	eléctrico	power	ADJ	N;MASC;SG
interiores	interior	interior	interior	ADJ	N;MASC;SG
interiores	interiores	interior	interior	ADJ	N;MASC;PL
traxes	oriental	traxe	oriental	N	ADJ;MASC;SG
traxes	vestir	traxe	vestir	N	V;NFIN
traxes	vestido	traxe	vestir	N	V;MASC;SG;V.PTCP
limitado	limitado	limitado	limitar	ADJ	V;MASC;SG;V.PTCP
limitado	limitados	limitado	limitar	ADJ	V;MASC;PL;V.PTCP
limitado	limitadas	limitado	limitar	ADJ	V;FEM;PL;V.PTCP
limitado	limited	limitado	limited	ADJ	N;MASC;SG
limitado	limitada	limitado	limitar	ADJ	V;FEM;SG;V.PTCP
ancián	velho	ancián	velho	N	ADJ;MASC;SG
ancián	antigo	ancián	antigo	N	ADJ;MASC;SG
ancián	velha	ancián	velho	N	ADJ;FEM;SG
radicais	radical	radical	radical	N	ADJ;MASC;SG
recente	recentes	recente	recente	ADJ	N;MASC;PL
italianos	italiana	italiano	italiana	ADJ	N;FEM;SG
italianos	italianos	italiano	italiano	ADJ	N;MASC;PL
italianos	italiano	italiano	italiano	ADJ	N;MASC;SG
italianos	italianos	italiano	italiano	ADJ	N;MASC;PL
ouviu	tu	ouviu	tu	V	INTJ
ouviu	você	ouviu	você	V	PRO;NOM;SG;3
ouviu	vc	ouviu	vc	V	PRO;NOM;MASC;SG;3
jamie	jamie	jamie	jamie	PROPN	N;MASC;SG
ido	gone	ido	gone	ADV	N;MASC;SG
ido	ido	ido	ir	ADV	V;MASC;SG;V.PTCP
ido	sumido	ido	sumido	ADV	V;MASC;SG;V.PTCP
arruinar	ruína	arruinar	ruína	V	N;FEM;SG
toquei	tocados	toquei	tocar	PROPN	V;MASC;PL;V.PTCP
toquei	tocado	toquei	tocar	PROPN	V;MASC;SG;V.PTCP
toquei	tocou	toquei	tocar	PROPN	V;IND;SG;3;PST;FIN
toquei	tocada	toquei	tocada	PROPN	V;FEM;SG;V.PTCP
toquei	tocadas	toquei	tocar	PROPN	V;FEM;PL;V.PTCP
toquei	touch	toquei	touch	PROPN	N;MASC;SG
toquei	toques	toquei	toque	PROPN	N;MASC;PL
toquei	toque	toquei	toque	PROPN	N;MASC;SG
pecho	fecha	pecho	fechar	PROPN	V;IND;SG;3;PRS;FIN
pecho	feche	pecho	fecher	PROPN	V;SBJV;SG;3;PRS;FIN
pecho	perto	pecho	perto	PROPN	ADV
pecho	close	pecho	close	PROPN	N;MASC;SG
pecho	fechar	pecho	fechar	PROPN	V;NFIN
prácticas	práticos	práctica	prático	N	ADJ;MASC;PL
prácticas	prático	práctica	prático	N	ADJ;MASC;SG
axuden	socorro	axudar	socorro	V	N;MASC;SG
axuden	ajuda	axudar	ajuda	V	N;FEM;SG
hackers	hackers	hacker	hacker	PROPN	N;MASC;PL
éramos	foram	éramo	ser	V	V;IND;PL;3;PST;FIN
éramos	eram	éramo	ser	V	V;IND;PL;3;IPFV;FIN
acabará	end	acabar	end	V	N;MASC;SG
acabará	final	acabar	final	V	N;MASC;SG
acabará	fim	acabar	fim	V	N;MASC;SG
acabará	will	acabar	will	V	N;MASC;SG
acabará	vontade	acabar	vontade	V	N;FEM;SG
ártico	ártico	ártico	ártico	ADJ	N;MASC;SG
ártico	arctic	ártico	arctic	ADJ	N;MASC;SG
ártico	árctico	ártico	árctico	ADJ	N;MASC;SG
mortas	morto	morto	morrer	N	V;MASC;SG;V.PTCP
egoísta	egoísta	egoísta	egoísta	N	ADJ;MASC;SG
egoísta	egoístas	egoísta	egoísta	N	ADJ;MASC;PL
crecín	cresceram	crecín	crescer	PROPN	V;IND;PL;3;FIN
crecín	crescia	crecín	crescer	PROPN	V;IND;SG;3;IPFV;FIN
crecín	cresceu	crecín	crescer	PROPN	V;IND;SG;3;PST;FIN
crecín	criado	crecín	criar	PROPN	V;MASC;SG;V.PTCP
camiñas	passear	camiña	passear	N	V;NFIN
camiñas	andar	camiña	andar	N	V;NFIN
camiñas	caminhar	camiña	caminhar	N	V;NFIN
camiñas	tu	camiña	tu	N	INTJ
camiñas	você	camiña	você	N	PRO;NOM;SG;3
camiñas	vc	camiña	vc	N	PRO;NOM;MASC;SG;3
camiñas	passear	camiña	passear	N	V;NFIN
camiñas	andar	camiña	andar	N	V;NFIN
camiñas	caminhar	camiña	caminhar	N	V;NFIN
claridade	claramente	claridade	claramente	N	ADV
disposta	disposto	disposta	disposto	V	N;MASC;SG
disposta	disposta	disposta	disposto	V	ADJ;FEM;SG
disposta	dispostos	disposta	disposto	V	ADJ;MASC;PL
disposta	pronto	disposta	pronto	V	ADJ;MASC;SG
disposta	pronta	disposta	pronto	V	ADJ;FEM;SG
disposta	prontos	disposta	pronto	V	ADJ;MASC;PL
xove	jovem	xover	jovem	N	ADJ;MASC;SG
demáis	outros	demáis	outro	ADV	PRO;MASC;PL
demáis	outras	demáis	outro	ADV	PRO;FEM;PL
xenético	genética	xenético	genético	ADJ	N;FEM;SG
xenético	genético	xenético	genético	ADJ	N;MASC;SG
xenético	genéticos	xenético	genético	ADJ	N;MASC;PL
frecuencia	freqüentemente	frecuencia	freqüentemente	N	ADV
frecuencia	frequentemente	frecuencia	frequentemente	N	ADV
frecuencia	freqüentemente	frecuencia	freqüentemente	N	ADV
frecuencia	frequentemente	frecuencia	frequentemente	N	ADV
agradecido	grato	agradecer	grato	V	ADJ;MASC;SG
agradecido	grata	agradecer	grata	V	ADJ;FEM;SG
aburrida	aborrecido	aburrido	aborrecer	ADJ	V;MASC;SG;V.PTCP
aburrida	entediada	aburrido	entediar	ADJ	V;FEM;SG;V.PTCP
aburrida	entediado	aburrido	entediar	ADJ	V;MASC;SG;V.PTCP
aburrida	tédio	aburrido	tédio	ADJ	N;MASC;SG
aburrida	aborrecido	aburrido	aborrecer	ADJ	V;MASC;SG;V.PTCP
aburrida	tédio	aburrido	tédio	ADJ	N;MASC;SG
tentan	eles	tentar	eles	V	PRO;NOM;MASC;PL;3
tentan	elas	tentar	ele	V	PRO;NOM;FEM;PL;3
motel	motel	motel	motel	PROPN	N;MASC;SG
responsables	responsável	responsable	responsável	N	ADJ;MASC;SG
responsables	responsáveis	responsable	responsável	N	ADJ;MASC;PL
responsables	por	responsable	por	N	ADP
responsables	para	responsable	para	N	ADP
responsables	quem	responsable	quem	N	PRO;SG
sentiu	did	sentiu	dider	V	PROPN;MASC;SG
sentiu	feel	sentiu	feel	V	N;MASC;SG
sentiu	feltro	sentiu	feltro	V	N;MASC;SG
sentiu	eles	sentiu	eles	V	PRO;NOM;MASC;PL;3
sentiu	elas	sentiu	ele	V	PRO;NOM;FEM;PL;3
industriais	industrial	industrial	industrial	N	ADJ;MASC;SG
belfast	belfast	belfast	belfast	PROPN	N;MASC;SG
poderiades	tu	poderiade	tu	N	INTJ
poderiades	você	poderiade	você	N	PRO;NOM;SG;3
poderiades	vc	poderiade	vc	N	PRO;NOM;MASC;SG;3
poderiades	poderiam	poderiade	poder	N	V;COND;PL;3;FIN
poderiades	podia	poderiade	poder	N	V;IND;SG;3;IPFV;FIN
poderiades	poderia	poderiade	poder	N	V;COND;SG;3;FIN
poderiades	podiam	poderiade	poder	N	V;IND;PL;3;IPFV;FIN
curva	vire	curvar	virar	N	V;SBJV;SG;3;PRS;FIN
curva	vira	curvar	ver	N	V;IND;SG;3;FUT;FIN
curva	virar	curvar	virar	N	V;NFIN
pasas	tu	pasa	tu	N	INTJ
pasas	você	pasa	você	N	PRO;NOM;SG;3
pasas	vc	pasa	vc	N	PRO;NOM;MASC;SG;3
pasas	gasto	pasa	gastar	N	V;MASC;SG;V.PTCP
pasas	gastar	pasa	gastar	N	V;NFIN
pasas	gaste	pasa	gastar	N	V;SBJV;SG;3;PRS;FIN
pasas	gasta	pasa	gastar	N	V;IND;SG;3;PRS;FIN
pasas	passar	pasa	passar	N	V;NFIN
tratamentos	são	tratamento	ser	N	V;IND;PL;3;PRS;FIN
tratamentos	estão	tratamento	estar	N	V;IND;PL;3;PRS;FIN
tratamentos	sao	tratamento	sao	N	V;IND;PL;3;PRS;FIN
almacéns	conservar	almacén	conservar	N	V;NFIN
almacéns	armazenar	almacén	armazenar	N	V;NFIN
meteu	got	meteu	got	V	N;MASC;SG
taylor	taylor	taylor	taylor	PROPN	N;MASC;SG
quinto	quinta	quinto	quinta	ADJ	N;FEM;SG
quinto	diabos	quinto	diabo	ADJ	N;MASC;PL
quinto	hell	quinto	hell	ADJ	N;MASC;SG
quinto	inferno	quinto	inferno	ADJ	N;MASC;SG
quinto	raios	quinto	raio	ADJ	N;MASC;PL
encargo	encomendar	encargo	encomendar	N	V;NFIN
encargo	pega	encargo	pegar	N	V;IND;SG;3;PRS;FIN
encargo	levar	encargo	levar	N	V;NFIN
encargo	pegue	encargo	pegar	N	V;SBJV;SG;3;PRS;FIN
encargo	toma	encargo	tomar	N	V;IND;SG;3;PRS;FIN
encargo	leve	encargo	levar	N	V;SBJV;SG;3;PRS;FIN
empece	strike	empecer	strike	V	N;MASC;SG
empece	greve	empecer	greve	V	N;FEM;SG
empece	fora	empecer	fora	V	ADV
empece	out	empecer	out	V	N;MASC;SG
asiáticos	asiáticas	asiático	asiático	ADJ	N;FEM;PL
asiáticos	asiática	asiático	asiático	ADJ	N;FEM;SG
asiáticos	asiáticos	asiático	asiático	ADJ	N;MASC;PL
asiáticos	asiáticos	asiático	asiático	ADJ	N;MASC;PL
labor	trabalhar	labor	trabalhar	N	V;NFIN
labor	trabalhe	labor	trabalher	N	V;SBJV;SG;3;PRS;FIN
déronlle	eles	déronle	eles	PROPN	PRO;NOM;MASC;PL;3
déronlle	elas	déronle	ele	PROPN	PRO;NOM;FEM;PL;3
déronlle	estava	déronle	estar	PROPN	V;IND;SG;3;IPFV;FIN
déronlle	era	déronle	ser	PROPN	V;IND;SG;3;IPFV;FIN
déronlle	tava	déronle	tavo	PROPN	V;IND;SG;1;IPFV;FIN
déronlle	foi	déronle	foi	PROPN	ADV
perpetua	perpétuo	perpetuar	perpétuo	N	ADJ;MASC;SG
aparencia	olhe	aparencia	olhar	N	V;SBJV;SG;3;PRS;FIN
aparencia	olha	aparencia	olhar	N	V;IND;SG;3;PRS;FIN
abraham	abraham	abraham	abrahar	PROPN	N;MASC;SG
abraham	abraão	abraham	abraão	PROPN	N;MASC;SG
temer	fear	temer	fear	ADV	N;MASC;SG
temer	temer	temer	temer	ADV	V;NFIN
temer	medo	temer	medo	ADV	N;MASC;SG
temer	medo	temer	medo	ADV	N;MASC;SG
camiñamos	caminhada	camiñar	caminhar	V	N;FEM;SG
camiñamos	passeio	camiñar	passeio	V	N;MASC;SG
lectura	ler	lectura	ler	N	V;NFIN
lectura	lendo	lectura	ler	N	V;V.MSDR
lectura	lidos	lectura	ler	N	V;MASC;PL;V.PTCP
lectura	ler	lectura	ler	N	V;NFIN
lectura	leia	lectura	ler	N	V;SBJV;SG;3;PRS;FIN
lectura	lê	lectura	ler	N	V;IND;SG;3;PRS;FIN
bendiga	abençoe	bendiga	abenço	PROPN	V;IND;SG;1;PRS;FIN
bendiga	bless	bendiga	bless	PROPN	N;MASC;SG
bendiga	tu	bendiga	tu	PROPN	INTJ
bendiga	você	bendiga	você	PROPN	PRO;NOM;SG;3
bendiga	vc	bendiga	vc	PROPN	PRO;NOM;MASC;SG;3
bonitos	linda	bonito	linda	N	ADJ;FEM;SG
bonitos	boa	bonito	bom	N	ADJ;FEM;SG
bonitos	bom	bonito	bom	N	ADJ;MASC;SG
bonitos	legal	bonito	legal	N	ADJ;MASC;SG
esperade	por	esperade	por	N	ADP
esperade	para	esperade	para	N	ADP
ida	ida	ida	ida	PROPN	N;FEM;SG
matamos	matança	matar	matança	V	N;FEM;SG
sentou	sab	sentar	sab	V	N;MASC;SG
sentou	sáb	sentar	sábado	V	N;MASC;SG
sentou	sat	sentar	sat	V	N;MASC;SG
mates	mate	mate	mate	N	V;SBJV;SG;3;PRS;FIN
mates	matem	mate	matar	N	V;SBJV;PL;3;PRS;FIN
mates	matar	mate	matar	N	V;NFIN
carl	carlos	carl	carlo	PROPN	N;MASC;SG
carl	carl	carl	carl	PROPN	N;MASC;SG
numerosos	muitos	numeroso	muito	ADJ	PRO;MASC;PL
numerosos	muitas	numeroso	muito	ADJ	PRO;FEM;PL
reforma	reformar	reforma	reformar	N	V;NFIN
estuda	estudo	estudar	estudo	V	N;MASC;SG
reportaxe	denunciar	reportaxe	denunciar	N	V;NFIN
reportaxe	relatar	reportaxe	relatar	N	V;NFIN
ooh	ooh	ooh	ooh	PROPN	N;MASC;SG
hola	olá	hola	olá	PROPN	ADV
hola	alô	hola	alô	PROPN	N;MASC;SG
hola	hello	hola	hello	PROPN	N;FEM;SG
elvis	elvis	elvis	elvi	PROPN	N;MASC;SG
europea	europeu	europeo	europeu	ADJ	N;MASC;SG
europea	europeia	europeo	europeu	ADJ	N;FEM;SG
europea	europeias	europeo	europeia	ADJ	N;FEM;PL
ruína	arruinar	ruína	arruinar	N	V;NFIN
ruína	quebrou	ruína	quebrar	N	V;IND;SG;3;PST;FIN
ruína	partiu	ruína	partir	N	V;IND;SG;3;PST;FIN
remedio	tenha	remedio	ter	N	V;SBJV;SG;3;PRS;FIN
remedio	ter	remedio	ter	N	V;NFIN
viena	viena	viena	viena	PROPN	N;FEM;SG
modesto	modestas	modesto	modesto	N	ADJ;FEM;PL
modesto	modesta	modesto	modesto	N	ADJ;FEM;SG
modesto	modesto	modesto	modesto	N	ADJ;MASC;SG
modesto	modestos	modesto	modesto	N	ADJ;MASC;PL
voa	moscas	voar	mosco	V	N;FEM;PL
higgs	higgs	higgs	higg	PROPN	N;MASC;SG
chegado	com	chegar	com	V	ADP
cosmos	cosmo	cosmo	cosmo	V	N;MASC;SG
cosmos	cosmos	cosmo	cosmo	V	N;MASC;SG
actuando	atuação	actuar	atuação	V	N;FEM;SG
paulo	paulo	paulo	paulo	PROPN	N;MASC;SG
atopaba	estava	atopar	estar	V	V;IND;SG;3;IPFV;FIN
atopaba	tava	atopar	tavo	V	V;IND;SG;1;IPFV;FIN
atopaba	foi	atopar	foi	V	ADV
permitirei	will	permitir	will	V	N;MASC;SG
permitirei	vontade	permitir	vontade	V	N;FEM;SG
permitirei	não	permitir	não	V	INTJ
permitirei	won	permitir	won	V	N;MASC;SG
permitirei	dela	permitir	dela	V	N;MASC;SG
permitirei	ela	permitir	ela	V	PRO;NOM;FEM;SG;3
permitirei	her	permitir	her	V	N;MASC;SG
iii	iii	iii	iii	PROPN	N;MASC;SG
levareite	pega	levareite	pegar	PROPN	V;IND;SG;3;PRS;FIN
levareite	levar	levareite	levar	PROPN	V;NFIN
levareite	take	levareite	take	PROPN	N;MASC;SG
levareite	pegue	levareite	pegar	PROPN	V;SBJV;SG;3;PRS;FIN
levareite	toma	levareite	tomar	PROPN	V;IND;SG;3;PRS;FIN
levareite	leve	levareite	levar	PROPN	V;SBJV;SG;3;PRS;FIN
levareite	tu	levareite	tu	PROPN	INTJ
levareite	você	levareite	você	PROPN	PRO;NOM;SG;3
levareite	vc	levareite	vc	PROPN	PRO;NOM;MASC;SG;3
prométocho	promete	prométocho	prometer	N	V;IND;SG;3;PRS;FIN
prométocho	prometa	prométocho	prometer	N	V;SBJV;SG;3;PRS;FIN
prométocho	tu	prométocho	tu	N	INTJ
prométocho	você	prométocho	você	N	PRO;NOM;SG;3
prométocho	vc	prométocho	vc	N	PRO;NOM;MASC;SG;3
choras	são	chora	ser	N	V;IND;PL;3;PRS;FIN
choras	estão	chora	estar	N	V;IND;PL;3;PRS;FIN
choras	sao	chora	sao	N	V;IND;PL;3;PRS;FIN
choras	tu	chora	tu	N	INTJ
choras	você	chora	você	N	PRO;NOM;SG;3
choras	vc	chora	vc	N	PRO;NOM;MASC;SG;3
choras	chorando	chora	chorar	N	V;V.MSDR
choras	chorar	chora	chorar	N	V;NFIN
choras	chore	chora	chore	N	V;SBJV;SG;3;PRS;FIN
choras	chorar	chora	chorar	N	V;NFIN
choras	chora	chora	chorar	N	V;IND;SG;3;PRS;FIN
pagalo	pagar	pagalo	pagar	PROPN	V;NFIN
pagalo	paga	pagalo	pagar	PROPN	V;FEM;SG;V.PTCP
pagalo	pague	pagalo	pagar	PROPN	V;SBJV;SG;3;PRS;FIN
pagalo	por	pagalo	por	PROPN	ADP
pagalo	para	pagalo	para	PROPN	ADP
municipal	municipal	municipal	municipal	ADJ	N;MASC;SG
peste	peste	peste	peste	PROPN	N;FEM;SG
peste	peste	peste	peste	PROPN	N;FEM;SG
peste	pragas	peste	praga	PROPN	N;FEM;PL
estrañas	strange	estraña	strange	ADJ	N;MASC;SG
vente	vem	vente	vir	PROPN	V;IND;SG;3;PRS;FIN
vente	venham	vente	vir	PROPN	V;SBJV;PL;3;PRS;FIN
vente	venha	vente	vir	PROPN	V;SBJV;SG;3;PRS;FIN
mel	querida	mel	querer	N	V;FEM;SG;V.PTCP
calmo	calmo	calmo	calmo	N	ADJ;MASC;SG
afecto	afecto	afecto	afectar	N	V;MASC;SG;V.PTCP
coide	take	coidar	take	V	N;MASC;SG
coide	cuidados	coidar	cuidado	V	N;MASC;PL
coide	cuidado	coidar	cuidado	V	N;MASC;SG
coide	care	coidar	care	V	N;MASC;SG
disparan	fire	disparar	fire	V	N;MASC;SG
disparan	fogueira	disparar	fogueira	V	N;FEM;SG
disparan	fogo	disparar	fogo	V	N;MASC;SG
disparan	incêndio	disparar	incêndio	V	N;MASC;SG
entendiches	entende	entendiches	entender	N	V;IND;SG;3;PRS;FIN
entendiches	compreender	entendiches	compreender	N	V;NFIN
entendiches	entenda	entendiches	entender	N	V;SBJV;SG;3;PRS;FIN
entendiches	entender	entendiches	entender	N	V;NFIN
fresca	fixe	frescar	fixe	N	V;SBJV;SG;3;PRS;FIN
fresca	maneiro	frescar	maneiro	N	ADJ;MASC;SG
fresca	legal	frescar	legal	N	ADJ;MASC;SG
alice	alice	alice	alice	PROPN	N;FEM;SG
volverás	tu	volver	tu	V	INTJ
volverás	você	volver	você	V	PRO;NOM;SG;3
volverás	vc	volver	vc	V	PRO;NOM;MASC;SG;3
volverás	novamente	volver	novamente	V	ADV
las	os	la	o	N	PRO;ACC;MASC;PL;3
honrado	sincero	honrar	sincero	V	ADJ;MASC;SG
honrado	honesto	honrar	honesto	V	ADJ;MASC;SG
honrado	honesta	honrar	honesto	V	ADJ;FEM;SG
honrado	sincera	honrar	sincer	V	ADJ;FEM;SG
braun	braun	braun	braun	PROPN	N;MASC;SG
levarei	take	levar	take	V	N;MASC;SG
valen	são	valar	ser	V	V;IND;PL;3;PRS;FIN
valen	estão	valar	estar	V	V;IND;PL;3;PRS;FIN
valen	are	valar	are	V	N;MASC;SG
valen	worth	valar	worth	V	N;MASC;SG
strand	vertente	strand	vertente	PROPN	N;MASC;SG
strand	strand	strand	strand	PROPN	N;MASC;SG
garrett	garrett	garrett	garrett	PROPN	N;MASC;SG
garrett	garret	garrett	garret	PROPN	N;MASC;SG
víchelo	viu	víchelo	ver	PROPN	V;IND;SG;3;PST;FIN
víchelo	ele	víchelo	ele	PROPN	PRO;NOM;MASC;SG;3
víchelo	tu	víchelo	tu	PROPN	INTJ
víchelo	você	víchelo	você	PROPN	PRO;NOM;SG;3
víchelo	vc	víchelo	vc	PROPN	PRO;NOM;MASC;SG;3
walter	walter	walter	walter	PROPN	N;MASC;SG
bebo	beber	bebo	beber	N	V;NFIN
bebo	beba	bebo	bebar	N	V;SBJV;SG;3;PRS;FIN
dicides	say	dicidir	say	V	N;MASC;SG
dicides	tu	dicidir	tu	V	INTJ
dicides	você	dicidir	você	V	PRO;NOM;SG;3
dicides	vc	dicidir	vc	V	PRO;NOM;MASC;SG;3
paras	tu	para	tu	N	INTJ
paras	você	para	você	N	PRO;NOM;SG;3
paras	vc	para	vc	N	PRO;NOM;MASC;SG;3
paras	parar	para	parar	N	V;NFIN
paras	pára	para	parar	N	V;IND;SG;3;PRS;FIN
chamaches	tu	chamaches	tu	N	INTJ
chamaches	você	chamaches	você	N	PRO;NOM;SG;3
chamaches	vc	chamaches	vc	N	PRO;NOM;MASC;SG;3
chamaches	chamou	chamaches	chamar	N	V;IND;SG;3;PST;FIN
chamaches	chamada	chamaches	chamar	N	V;FEM;SG;V.PTCP
chamaches	chamado	chamaches	chamar	N	V;MASC;SG;V.PTCP
chamaches	chamados	chamaches	chamar	N	V;MASC;PL;V.PTCP
peggy	peggy	peggy	peggy	PROPN	N;FEM;SG
peggy	priscila	peggy	priscilar	PROPN	N;FEM;SG
semellas	tu	semella	tu	N	INTJ
semellas	você	semella	você	N	PRO;NOM;SG;3
semellas	vc	semella	vc	N	PRO;NOM;MASC;SG;3
semellas	olhe	semella	olhar	N	V;SBJV;SG;3;PRS;FIN
semellas	olha	semella	olhar	N	V;IND;SG;3;PRS;FIN
estragar	ruína	estragar	ruína	V	N;FEM;SG
debiches	tu	debiches	tu	PROPN	INTJ
debiches	você	debiches	você	PROPN	PRO;NOM;SG;3
debiches	vc	debiches	vc	PROPN	PRO;NOM;MASC;SG;3
debiches	tenha	debiches	ter	PROPN	V;SBJV;SG;3;PRS;FIN
debiches	ter	debiches	ter	PROPN	V;NFIN
debiches	deveria	debiches	dever	PROPN	V;COND;SG;3;FIN
debiches	devia	debiches	dever	PROPN	V;IND;SG;3;IPFV;FIN
debiches	deve	debiches	dever	PROPN	V;IND;SG;3;PRS;FIN
debiches	deveriam	debiches	dever	PROPN	V;COND;PL;3;FIN
debiches	mosto	debiches	mosto	PROPN	N;MASC;SG
debiches	deve	debiches	dever	PROPN	V;IND;SG;3;PRS;FIN
debiches	must	debiches	must	PROPN	N;MASC;SG
£	quarter	£	quarter	PROPN	N;MASC;SG
£	trimestre	£	trimestre	PROPN	N;MASC;SG
£	milhões	£	milhão	PROPN	N;MASC;PL
£	milhão	£	milhão	PROPN	N;MASC;SG
salta	saltar	salta	saltar	N	V;NFIN
salta	pula	salta	pular	N	V;IND;SG;3;PRS;FIN
salta	pular	salta	pular	N	V;NFIN
rematará	end	rematar	end	V	N;MASC;SG
rematará	final	rematar	final	V	N;MASC;SG
rematará	fim	rematar	fim	V	N;MASC;SG
rematará	will	rematar	will	V	N;MASC;SG
rematará	vontade	rematar	vontade	V	N;FEM;SG
alabama	alabama	alabamar	alabama	PROPN	N;MASC;SG
desexas	tu	desexa	tu	V	INTJ
desexas	você	desexa	você	V	PRO;NOM;SG;3
desexas	vc	desexa	vc	V	PRO;NOM;MASC;SG;3
desexas	queres	desexa	querer	V	INTJ
morrese	die	morrer	dieer	V	N;MASC;SG
norton	norton	norton	norton	PROPN	N;MASC;SG
serea	sopra	ser	soprar	N	V;IND;SG;3;PRS;FIN
serea	soprar	ser	soprar	N	V;NFIN
serea	exploda	ser	explodar	N	V;SBJV;SG;3;PRS;FIN
chamando	vocação	chamar	vocação	V	N;FEM;SG
prepara	tu	preparar	tu	V	INTJ
prepara	você	preparar	você	V	PRO;NOM;SG;3
prepara	vc	preparar	vc	V	PRO;NOM;MASC;SG;3
gustouche	did	gustouche	dider	V	PROPN;MASC;SG
gustouche	tu	gustouche	tu	V	INTJ
gustouche	você	gustouche	você	V	PRO;NOM;SG;3
gustouche	vc	gustouche	vc	V	PRO;NOM;MASC;SG;3
gustouche	like	gustouche	like	V	N;MASC;SG
gustouche	curta	gustouche	curto	V	ADJ;FEM;SG
gustouche	como	gustouche	como	V	ADV
arrestado	presos	arrestar	preso	V	N;MASC;PL
facela	faça	facelar	fazer	N	V;SBJV;SG;3;PRS;FIN
facela	ela	facelar	ela	N	PRO;NOM;FEM;SG;3
probábel	provavelmente	probábel	provavelmente	ADJ	ADV
giuseppe	giuseppe	giuseppe	giuseppe	PROPN	N;MASC;SG
benditos	abençoado	bendito	abençoar	N	V;MASC;SG;V.PTCP
benditos	abençoados	bendito	abençoar	N	V;MASC;PL;V.PTCP
benditos	abençoada	bendito	abençoar	N	V;FEM;SG;V.PTCP
benditos	como	bendito	como	N	ADV
benditos	são	bendito	ser	N	V;IND;PL;3;PRS;FIN
benditos	estão	bendito	estar	N	V;IND;PL;3;PRS;FIN
benditos	sao	bendito	sao	N	V;IND;PL;3;PRS;FIN
boden	boden	boder	boden	V	N;MASC;SG
celoso	ciumes	celoso	ciume	ADJ	N;MASC;SG
celoso	ciúmes	celoso	ciúme	ADJ	N;MASC;SG
celoso	ciumento	celoso	ciumento	ADJ	N;MASC;SG
celoso	inveja	celoso	inveja	ADJ	N;FEM;SG
serventes	criados	servente	criar	ADJ	V;MASC;PL;V.PTCP
serventes	servos	servente	servo	ADJ	N;MASC;PL
rhodia	rhodia	rhodia	rhodia	PROPN	N;FEM;SG
punishment	punição	punishment	punição	PROPN	N;FEM;SG
punishment	castigos	punishment	castigo	PROPN	N;MASC;PL
punishment	punições	punishment	punição	PROPN	N;FEM;PL
punishment	castigo	punishment	castigo	PROPN	N;MASC;SG
drummer	baterista	drummer	baterista	PROPN	N;MASC;SG
asger	asger	asger	asger	PROPN	N;MASC;SG
mali	mali	mali	mali	PROPN	N;MASC;SG
mali	costas	mali	costa	PROPN	N;FEM;PL
mali	volta	mali	volta	PROPN	N;FEM;SG
mali	voltar	mali	voltar	PROPN	V;NFIN
daenerys	daenerys	daenerys	daenery	PROPN	N;MASC;PL
