для	for	для	for	ADP	
частиц	σωματίδια	частица	σωματίδιο	N;INAN;GEN;FEM;PL	N;NOM;NEUT;PL
частиц	σωματίδια	частица	σωματίδιο	N;INAN;GEN;FEM;PL	N;NOM;NEUT;PL
частиц	σωματίδιο	частица	σωματίδιο	N;INAN;GEN;FEM;PL	N;NOM;NEUT;SG
играла	έπαιξε	играть	παίζω	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
играла	παίχτηκε	играть	παίσταμαι	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
играла	έπαιξα	играть	δαπαίζω	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;PFV;IND;SG;1;PST;FIN;ACT
евреи	εβραίοι	еврей	εβραίος	N;ANIM;NOM;MASC;PL	ADJ;NOM;MASC;PL
евреи	εβραίος	еврей	εβραίος	N;ANIM;NOM;MASC;PL	ADJ;NOM;MASC;SG
евреи	εβραϊκό	еврей	εβραϊκός	N;ANIM;NOM;MASC;PL	ADJ;NOM;NEUT;SG
евреи	εβραία	еврей	εβραία	N;ANIM;NOM;MASC;PL	N;NOM;FEM;SG
евреи	εβραίοι	еврей	εβραίος	N;ANIM;NOM;MASC;PL	ADJ;NOM;MASC;PL
евреи	εβραίους	еврей	εβραίος	N;ANIM;NOM;MASC;PL	PROPN;ACC;MASC;PL
действительный	ισχύει	действительный	ισχύω	ADJ;NOM;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
пфальц	παλατινάτου	пфальц	παλατίνατος	N;INAN;NOM;MASC;SG	PROPN;GEN;MASC;SG
арбитров	διαιτητές	арбитр	διαιτητής	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
армения	αρμενία	армение	αρμενία	N;INAN;NOM;FEM;SG	PROPN;ACC;FEM;SG
неправильно	λάθος	неправильный	λάθος	ADJ;NEUT;SG	N;NOM;NEUT;SG
бельгия	βέλγιο	бельгия	βέλγιο	N;INAN;NOM;FEM;SG	PROPN;NOM;NEUT;SG
внутреннего	ενδοχώρα	внутренний	ενδοχώρας	ADJ;GEN;MASC;SG	N;NOM;FEM;SG
внутреннего	εσωτερικές	внутренний	εσωτερικός	ADJ;GEN;MASC;SG	ADJ;NOM;FEM;PL
внутреннего	εσωτερική	внутренний	εσωτερικός	ADJ;GEN;MASC;SG	ADJ;NOM;FEM;SG
внутреннего	εσωτερικός	внутренний	εσωτερικός	ADJ;GEN;MASC;SG	ADJ;NOM;MASC;SG
внутреннего	εσωτερικό	внутренний	εσωτερικό	ADJ;GEN;MASC;SG	N;NOM;NEUT;SG
внутреннего	εσωτερικά	внутренний	εσωτερικά	ADJ;GEN;MASC;SG	ADV
выделить	επιλογή	выделить	επιλογή	V;PFV;NFIN;ACT	N;NOM;FEM;SG
калифорнии	καλιφόρνια	калифорния	καλιφόρνια	N;INAN;NOM;FEM;PL	PROPN;NOM;FEM;SG
калифорнии	california	калифорния	california	N;INAN;NOM;FEM;PL	
извините	συγγνώμη	извинить	συγγνώμη	V;PFV;IMP;PL;2;FIN;ACT	N;NOM;FEM;SG
извините	συγνώμη	извинить	συγνώμη	V;PFV;IMP;PL;2;FIN;ACT	N;VOC;FEM;SG
происшествия	περιστατικά	происшествие	περιστατικά	N;INAN;NOM;NEUT;PL	ADV
конкретных	ειδικές	конкретный	ειδικός	ADJ;GEN;PL	ADJ;NOM;FEM;PL
конкретных	συγκεκριμένα	конкретный	συγκεκριμένα	ADJ;GEN;PL	ADV
конкретных	συγκεκριμένος	конкретный	συγκεκριμένος	ADJ;GEN;PL	ADJ;NOM;MASC;SG
татар	τάταροι	татарин	τάταρος	N;ANIM;GEN;MASC;PL	PROPN;NOM;MASC;PL
браун	brown	браун	brown	N;ANIM;NOM;MASC;SG	
браун	μπράουν	браун	μπράω	N;ANIM;NOM;MASC;SG	
расположенных	εντοπίστηκε	расположенный	εντοπίζω	ADJ;GEN;PL	V;PFV;IND;SG;3;PST;FIN;PASS
метрополитен	μητροπολιτική	метрополитный	μητροπολιτικός	N;INAN;NOM;MASC;SG	ADJ;NOM;FEM;SG
метрополитен	metro	метрополитный	metro	N;INAN;NOM;MASC;SG	
старое	παλαιά	старый	παλιός	ADJ;NOM;NEUT;SG	ADV
старое	παλιά	старый	παλιός	ADJ;NOM;NEUT;SG	ADV
старое	γέρος	старый	γέρος	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG
румыния	ρουμανία	румыния	ρουμανία	N;INAN;NOM;FEM;SG	PROPN;ACC;FEM;SG
железнодорожные	σιδηρόδρομος	железнодорожный	σιδηρόδρομος	ADJ;NOM;PL	N;NOM;MASC;SG
железнодорожные	σιδηροδρομικών	железнодорожный	σιδηροδρομικά	ADJ;NOM;PL	ADJ;GEN;FEM;PL
танки	τανκ	танк	τανκ	N;INAN;NOM;MASC;PL	
танки	τανκς	танк	τανκς	N;INAN;NOM;MASC;PL	
франциско	φραντσίσκο	франциский	φραντσίσκο	ADV	N;NOM;MASC;SG
франциско	φρανσίσκο	франциский	φρανσίσκο	ADV	
франциско	francisco	франциский	francisco	ADV	
освещение	φωτισμού	освещение	φωτισμός	N;INAN;NOM;NEUT;SG	N;GEN;MASC;SG
освещение	φωτισμού	освещение	φωτισμός	N;INAN;NOM;NEUT;SG	N;GEN;MASC;SG
освещение	φωτισμό	освещение	φωτισμός	N;INAN;NOM;NEUT;SG	N;ACC;MASC;SG
белое	άσπρο	белый	άσπρο	ADJ;NOM;NEUT;SG	N;NOM;NEUT;SG
белое	λευκό	белый	λευκός	ADJ;NOM;NEUT;SG	N;NOM;NEUT;SG
белое	λευκά	белый	λευκός	ADJ;NOM;NEUT;SG	N;NOM;NEUT;PL
каждую	κάθε	каждый	κάθε	DET;ACC;FEM;SG	PRO;ACC;FEM;SG;3
каждую	καθε	каждый	καθε	DET;ACC;FEM;SG	N
широкой	ευρεία	широкий	ευρεία	ADJ;INS;FEM;SG	ADJ;NOM;FEM;SG
рейн	ρήνου	рейн	ρήνος	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
рейн	ρήνο	рейн	ρήνο	N;INAN;NOM;MASC;SG	PROPN;ACC;MASC;SG
рейн	rhein	рейн	rhein	N;INAN;NOM;MASC;SG	
чёрные	μαύρη	черный	μαύρος	ADJ;NOM;PL	ADJ;NOM;FEM;SG
чёрные	μαύρα	черный	μαύρας	ADJ;NOM;PL	N;NOM;NEUT;PL
чёрные	μαύρος	черный	μαύρος	ADJ;NOM;PL	N;NOM;MASC;SG
чёрные	μαυρο	черный	μαυρος	ADJ;NOM;PL	N;NOM;NEUT;SG
чёрные	μαύρο	черный	μαύρος	ADJ;NOM;PL	N;NOM;NEUT;SG
чёрные	μαύροι	черный	μαύρος	ADJ;NOM;PL	N;NOM;MASC;PL
чёрные	μαύρους	черный	μαύρος	ADJ;NOM;PL	N;ACC;MASC;PL
длинные	μακρύς	длинный	μακρύς	ADJ;NOM;PL	ADJ;NOM;MASC;SG
длинные	μακρύ	длинный	μακρύς	ADJ;NOM;PL	N;NOM;NEUT;SG
длинные	λονγκ	длинный	λονγκ	ADJ;NOM;PL	
длинные	long	длинный	long	ADJ;NOM;PL	
греческий	ελληνικά	греческий	ελληνικός	ADJ;NOM;MASC;SG	ADV
греческий	ελληνίδα	греческий	ελληνίδα	ADJ;NOM;MASC;SG	N;NOM;FEM;SG
греческий	ελληνικα	греческий	ελληνικα	ADJ;NOM;MASC;SG	N;NOM;NEUT;PL
австрийский	αυστριακές	австрийский	αυστριακός	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
коротко	κοντή	коротко	κοντός	ADV	ADJ;NOM;FEM;SG
коротко	κοντός	коротко	κοντός	ADV	ADJ;NOM;MASC;SG
коротко	σύντομο	коротко	σύντομο	ADV	N;NOM;NEUT;SG
коротко	σύντομη	коротко	σύντομος	ADV	N;NOM;FEM;SG
коротко	σύντομος	коротко	σύντομος	ADV	N;NOM;MASC;SG
важные	σημαντική	важный	σημαντικός	ADJ;NOM;PL	ADJ;NOM;FEM;SG
важные	σημαντικο	важный	σημαντικός	ADJ;NOM;PL	N;NOM;SG
важные	σημαντικό	важный	σημαντικός	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
важные	σημαντικός	важный	σημαντικός	ADJ;NOM;PL	ADJ;NOM;MASC;SG
врагов	εχθροί	враг	εχθρός	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
редактора	συντάκτης	редактор	συντάκτης	N;ANIM;ACC;MASC;SG	N;NOM;MASC;SG
редактора	εκδότη	редактор	εκδότης	N;ANIM;ACC;MASC;SG	N;VOC;MASC;SG
редактора	επεξεργαστής	редактор	επεξεργαστής	N;ANIM;ACC;MASC;SG	N;NOM;MASC;SG
редактора	εκδότης	редактор	εκδότης	N;ANIM;ACC;MASC;SG	N;NOM;MASC;SG
противников	αντίπαλοι	противник	αντίπαλος	N;ANIM;ACC;MASC;PL	ADJ;NOM;MASC;PL
короткий	σύντομο	короткий	σύντομο	ADJ;NOM;MASC;SG	N;NOM;NEUT;SG
короткий	σύντομη	короткий	σύντομος	ADJ;NOM;MASC;SG	N;NOM;FEM;SG
короткий	σύντομος	короткий	σύντομος	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
учения	ασκήσεων	учение	άσκηση	N;INAN;NOM;NEUT;PL	N;GEN;FEM;PL
реально	αλήθεια	реально	αλήθεια	ADV	N;NOM;FEM;SG
авиация	αεροσκαφών	авиация	αεροσκαφή	N;INAN;NOM;FEM;SG	N;GEN;NEUT;PL
авиация	αεροσκάφη	авиация	αεροσκάφος	N;INAN;NOM;FEM;SG	N;NOM;NEUT;PL
порту	porto	порт	porto	N;INAN;NOM;MASC;SG	
порту	πόρτο	порт	πόρτος	N;INAN;NOM;MASC;SG	
порту	πορτ	порт	πορτ	N;INAN;NOM;MASC;SG	
пос	pic	поса	pic	N;INAN;NOM;FEM;SG	
пос	φωτό	поса	φωτός	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
свободно	άπταιστα	свободно	άπταιστα	ADV	N;NOM;NEUT;PL
свободно	δωρεάν	свободно	δωρεάν	ADV	
свободно	free	свободно	free	ADV	
свободно	ελεύθερος	свободно	ελεύθερος	ADV	ADJ;NOM;MASC;SG
свободно	ελεύθερη	свободно	ελεύθερος	ADV	ADJ;NOM;FEM;SG
продолжить	συνέχιση	продолжить	συνέχιση	V;PFV;NFIN;ACT	N;ACC;FEM;SG
продолжить	συνέχεια	продолжить	συνέχεια	V;PFV;NFIN;ACT	N;ACC;FEM;SG
математик	μαθηματικός	математик	μαθηματικός	N;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
захвата	σύλληψη	захват	σύλληψη	N;INAN;GEN;MASC;SG	N;ACC;FEM;SG
захвата	αιχμαλωσία	захват	αιχμαλωσία	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
утверждал	ισχυρίστηκε	утверждать	ισχυρίζομαι	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
попов	ποπόφ	поп	ποπόφ	N;ANIM;NOM;MASC;SG	
марокко	μαρόκο	марокко	μαρόκο	N;INAN;NOM;MASC;SG	PROPN;NOM;NEUT;SG
марокко	μαρόκου	марокко	μάροκος	N;INAN;NOM;MASC;SG	
марокко	μαροκινή	марокко	μαροκινός	N;INAN;NOM;MASC;SG	ADJ;NOM;FEM;SG
литературных	λογοτεχνικό	литературный	λογοτεχνικός	ADJ;GEN;PL	ADJ;NOM;NEUT;SG
ученик	μαθητή	ученик	μαθητής	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
ученик	μαθητευόμενος	ученик	μαθητευόμενος	N;ANIM;NOM;MASC;SG	ADJ;NOM;MASC;SG
потенциала	χωρητικότητα	потенциал	χωρητικότητα	N;INAN;GEN;MASC;SG	N;ACC;FEM;SG
потенциала	ικανότητα	потенциал	ικανότητα	N;INAN;GEN;MASC;SG	N;ACC;FEM;SG
потенциала	δυναμικότητα	потенциал	δυναμικότητα	N;INAN;GEN;MASC;SG	N;ACC;FEM;SG
кожи	δέρμα	кожа	δέρμα	N;INAN;GEN;FEM;SG	N;NOM;NEUT;SG
кожи	πετσί	кожа	πετσί	N;INAN;GEN;FEM;SG	N;NOM;NEUT;SG
кожи	δερμα	кожа	δερμα	N;INAN;GEN;FEM;SG	N;NOM;NEUT;SG
вене	βιέννης	вена	βιέννης	N;INAN;DAT;FEM;SG	PROPN;GEN;FEM;SG
вене	βιέννη	вена	βιέννος	N;INAN;DAT;FEM;SG	PROPN;ACC;FEM;SG
кровь	blood	кровь	blood	N;INAN;NOM;FEM;SG	
согласия	συγκατάθεση	согласие	συγκατάθεση	N;INAN;GEN;NEUT;SG	N;ACC;FEM;SG
согласия	συναίνεση	согласие	συναίνεση	N;INAN;GEN;NEUT;SG	N;ACC;FEM;SG
согласия	ομόνοια	согласие	ομόνοια	N;INAN;GEN;NEUT;SG	N;NOM;FEM;SG
изделия	αρθρα	изделие	άρθρο	N;INAN;NOM;NEUT;PL	
барселона	βαρκελώνη	барселон	βαρκελώνω	N;INAN;NOM;FEM;SG	PROPN;NOM;FEM;PL
притоков	παραπόταμοι	приток	παράποταμος	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
трек	πίστα	трек	πίστα	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
королевский	royal	королевский	royal	ADJ;NOM;MASC;SG	
королевский	ρόγιαλ	королевский	ρόγιαλ	ADJ;NOM;MASC;SG	
души	σόουλ	душа	σόουλ	N;INAN;NOM;FEM;PL	
души	ψυχή	душа	ψυχή	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
души	ψυχής	душа	ψυχή	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
масло	πετρελαίου	масло	πετρέλαιο	N;INAN;NOM;NEUT;SG	N;GEN;NEUT;SG
защитить	προστατέψτε	защитить	προστατεύω	V;PFV;NFIN;ACT	V;IPFV;IND;PL;2;PRS;FIN;ACT
защитить	υπερασπιστεί	защитить	υπερασπίζω	V;PFV;NFIN;ACT	V;PFV;NFIN;PASS
каталина	καταλίνα	каталин	καταλίνα	N;ANIM;NOM;FEM;SG	
шри	σρι	шри	σρι		
реконструкция	ανάπλαση	реконструкция	ανάπλαση	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
реконструкция	ανασυγκρότηση	реконструкция	ανασυγκρότηση	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
реконструкция	ανοικοδόμηση	реконструкция	ανοικοδόμηση	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
инженеры	μηχανικοί	инженер	μηχανικός	N;ANIM;NOM;MASC;PL	ADJ;NOM;MASC;PL
инженеры	μηχανικούς	инженер	μηχανικός	N;ANIM;NOM;MASC;PL	ADJ;NOM;MASC;PL
социалистической	σοσιαλιστής	социалистический	σοσιαλιστής	ADJ;INS;FEM;SG	N;NOM;MASC;SG
социалистической	σοσιαλιστικό	социалистический	σοσιαλιστικός	ADJ;INS;FEM;SG	N;NOM;NEUT;SG
социалистической	σοσιαλιστική	социалистический	σοσιαλιστικός	ADJ;INS;FEM;SG	ADJ;NOM;FEM;SG
социалистической	σοσιαλιστικής	социалистический	σοσιαλιστικός	ADJ;INS;FEM;SG	ADJ;GEN;FEM;SG
сроки	χρονολόγιο	срок	χρονολόγιο	N;INAN;NOM;MASC;PL	N;NOM;NEUT;SG
научное	επιστημονικά	научный	επιστημονικά	ADJ;NOM;NEUT;SG	ADV
распределение	διανομής	распределение	διανομή	N;INAN;NOM;NEUT;SG	N;GEN;FEM;SG
схемы	κυκλωμάτων	схема	κύκλωμα	N;INAN;NOM;FEM;PL	N;GEN;NEUT;PL
захватили	αιχμάλωτος	захватить	αιχμάλωτος	V;PFV;IND;PL;PST;FIN;ACT	ADJ;NOM;MASC;SG
захватили	συλληφθεί	захватить	συλλαμβάνω	V;PFV;IND;PL;PST;FIN;ACT	V;PFV;NFIN;PASS
пособие	όφελος	пособие	όφελος	N;INAN;NOM;NEUT;SG	N;ACC;NEUT;SG
норвегия	νορβηγία	норвегия	νορβηγία	N;INAN;NOM;FEM;SG	PROPN;ACC;FEM;SG
сильный	δυνατοί	сильный	δυνατός	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;PL
бойцов	μαχητικά	боец	μαχητικά	N;ANIM;GEN;MASC;PL	ADV
бойцов	αγωνιστές	боец	αγωνιστής	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
бойцов	μαχητές	боец	μαχητός	N;ANIM;GEN;MASC;PL	ADJ;NOM;MASC;PL
продолжать	συνέχιση	продолжать	συνέχιση	V;IPFV;NFIN;ACT	N;ACC;FEM;SG
продолжать	συνεχίστε	продолжать	συνεχίζω	V;IPFV;NFIN;ACT	V;PFV;IMP;PL;2;FIN;ACT
продолжать	συνέχεια	продолжать	συνέχεια	V;IPFV;NFIN;ACT	N;ACC;FEM;SG
продолжать	συνέχισε	продолжать	συνεχίζω	V;IPFV;NFIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
алгоритм	αλγόριθμο	алгоритм	αλγόριθμος	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
президенты	προέδρων	президент	πρόεδρος	N;ANIM;NOM;MASC;PL	N;GEN;MASC;PL
согласился	σύμφωνοι	согласиться	σύμφωνος	V;PFV;MASC;IND;SG;PST;FIN;MID	ADJ;NOM;MASC;PL
согласился	συμφώνησε	согласиться	συμφωνώ	V;PFV;MASC;IND;SG;PST;FIN;MID	V;PFV;IND;SG;3;PST;FIN;ACT
согласился	συμφώνησαν	согласиться	συμφωνώ	V;PFV;MASC;IND;SG;PST;FIN;MID	V;PFV;IND;PL;3;PST;FIN;ACT
мухаммад	μοχάμεντ	мухаммад	μοχάμεντ	N;ANIM;NOM;MASC;SG	
техас	τέξας	техас	τέξας	N;INAN;NOM;FEM;SG	PROPN;NOM;NEUT;SG
техас	texas	техас	texas	N;INAN;NOM;FEM;SG	
алан	άλαν	алан	άλαν	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
просьбе	παράκληση	просьба	παράκληση	N;INAN;DAT;FEM;SG	N;ACC;FEM;SG
просьбе	αίτηση	просьба	αίτηση	N;INAN;DAT;FEM;SG	N;NOM;FEM;SG
просьбе	αίτημα	просьба	αίτημα	N;INAN;DAT;FEM;SG	N;NOM;NEUT;SG
воздухе	αερομεταφερόμενη	воздух	αερομεταφερόμενος	N;INAN;ESS;MASC;SG	ADJ;NOM;FEM;SG
порта	porta	порт	porta	N;INAN;GEN;MASC;SG	
джозеф	joseph	джозеф	joseph	N;ANIM;NOM;MASC;SG	
джозеф	τζόσεφ	джозеф	τζόσεφ	N;ANIM;NOM;MASC;SG	
джозеф	τζόζεφ	джозеф	τζόζεφ	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
джерси	τζέρσεϋ	джерс	τζέρω	N;INAN;NOM;MASC;SG	
джерси	τζέρσεϊ	джерс	τζέρω	N;INAN;NOM;MASC;SG	
джерси	τζέρσι	джерс	τζέρσι	N;INAN;NOM;MASC;SG	
джерси	jersey	джерс	jersey	N;INAN;NOM;MASC;SG	
лесу	γουντς	лес	γουντς	N;INAN;DAT;MASC;SG	
лесу	δάσος	лес	δάσος	N;INAN;DAT;MASC;SG	N;NOM;NEUT;SG
океан	ωκεανού	океан	ωκεανός	N;INAN;NOM;MASC;SG	N;GEN;NEUT;SG
океан	ωκεανός	океан	ωκεανός	N;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG
океан	ωκεανό	океан	ωκεανός	N;INAN;NOM;MASC;SG	N;VOC;MASC;SG
рот	roth	рот	roth	N;INAN;NOM;MASC;SG	
рот	ροθ	рот	ροθ	N;INAN;NOM;MASC;SG	
диссертации	διατριβή	диссертация	διατριβός	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
диссертации	διατριβή	диссертация	διατριβός	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
каролина	καρολάιν	каролин	καρολάιν	N;INAN;NOM;FEM;SG	
каролина	caroline	каролин	caroline	N;INAN;NOM;FEM;SG	
каролина	κάρολαϊν	каролин	κάρω	N;INAN;NOM;FEM;SG	
каролина	καρολίνα	каролин	καρολίνα	N;INAN;NOM;FEM;SG	
сцена	σκηνή	сцена	σκηνός	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
сцена	σκηνη	сцена	σκηνός	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
продолжается	συνεχίζεται	продолжаться	συνεχίζω	V;IPFV;IND;SG;3;PRS;FIN;MID	V;IPFV;IND;SG;3;PRS;FIN;PASS
продолжается	συνεχίζει	продолжаться	συνεχίζω	V;IPFV;IND;SG;3;PRS;FIN;MID	V;IPFV;IND;SG;3;PRS;FIN;ACT
обратить	αντιστροφή	обратить	αντιστροφή	V;PFV;NFIN;ACT	N;NOM;FEM;SG
будущий	μέλλον	будущий	μέλλον	ADJ;NOM;MASC;SG	N;NOM;NEUT;SG
будущий	μελλον	будущий	μελλον	ADJ;NOM;MASC;SG	N;NOM;NEUT;SG
правовой	νομικά	правовой	νομικά	ADJ;NOM;MASC;SG	ADV
людвиг	λούντβιχ	людвига	λούντβιχ	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
оригинал	αυθεντικό	оригинал	αυθεντικός	N;INAN;NOM;MASC;SG	ADJ;NOM;NEUT;SG
оригинал	αρχική	оригинал	αρχικός	N;INAN;NOM;MASC;SG	ADJ;NOM;FEM;SG
оригинал	αρχικό	оригинал	αρχικός	N;INAN;NOM;MASC;SG	ADJ;NOM;NEUT;SG
оригинал	αρχικός	оригинал	αρχικός	N;INAN;NOM;MASC;SG	ADJ;NOM;MASC;SG
конкретные	συγκεκριμένα	конкретный	συγκεκριμένα	ADJ;NOM;PL	ADV
конкретные	συγκεκριμένος	конкретный	συγκεκριμένος	ADJ;NOM;PL	ADJ;NOM;MASC;SG
конкретные	τσιμέντο	конкретный	τσίμει	ADJ;NOM;PL	N;NOM;NEUT;SG
конкретные	σκυροδέματος	конкретный	σκύροδεμα	ADJ;NOM;PL	N;GEN;NEUT;SG
конкретные	σκυρόδεμα	конкретный	σκυρόδεμα	ADJ;NOM;PL	N;NOM;NEUT;SG
нато	nato	нато	nato	N;INAN;NOM;NEUT;SG	
канадский	καναδός	канадский	καναδός	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
иран	ιράν	иран	ιράν	N;INAN;NOM;MASC;SG	
марко	μάρκο	марко	μάρκο	N;ANIM;NOM;MASC;SG	
марко	μάρκο	марко	μάρκο	N;ANIM;NOM;MASC;SG	
марко	marco	марко	marco	N;ANIM;NOM;MASC;SG	
орбиты	τροχιά	орбита	τροχιά	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
торонто	τορόντο	торонто	τορόν	N;INAN;NOM;MASC;SG	PROPN;NOM;FEM;SG
требование	απαίτηση	требование	απαίτηση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
требование	απαίτηση	требование	απαίτηση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
требование	ζήτηση	требование	ζήτηση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
платформ	εξέδρες	платформа	εξέδρος	N;INAN;GEN;FEM;PL	N;NOM;FEM;PL
платформ	πλατφόρμες	платформа	πλατφόρμος	N;INAN;GEN;FEM;PL	ADJ;NOM;FEM;PL
джимми	τζίμι	джимм	τζίμι	N;ANIM;NOM;MASC;SG	
джимми	jimmy	джимм	jimmy	N;ANIM;NOM;MASC;SG	
городок	town	городок	town	N;INAN;NOM;MASC;SG	
конго	κονγκό	конго	κονγκός	N;INAN;NOM;MASC;SG	PROPN;NOM;NEUT;SG
конго	κογκό	конго	κογκός	N;INAN;NOM;MASC;SG	PROPN;NOM;NEUT;SG
высший	ανώτατο	высший	ανώτερος	ADJ;NOM;MASC;SG	ADJ;NOM;CMPR;NEUT;SG
высший	ανώτατη	высший	ανώτερος	ADJ;NOM;MASC;SG	ADJ;NOM;CMPR;FEM;SG
поддерживаю	στήριξη	поддерживать	στήριξη	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;ACC;FEM;SG
поддерживаю	υποστήριξη	поддерживать	υποστήριξη	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;ACC;FEM;SG
социальные	κοινωνικά	социальный	κοινωνικά	ADJ;NOM;PL	ADV
социальные	κοινωνικό	социальный	κοινωνικός	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
социальные	κοινωνικη	социальный	κοινωνικός	ADJ;NOM;PL	ADJ;NOM;FEM;SG
социальные	κοινωνική	социальный	κοινωνικός	ADJ;NOM;PL	ADJ;NOM;FEM;SG
древние	αρχαίος	древний	αρχαίος	ADJ;NOM;PL	ADJ;NOM;MASC;SG
древние	αρχαίο	древний	αρχαίος	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
древние	αρχαία	древний	αρχαίος	ADJ;NOM;PL	ADJ;NOM;FEM;SG
древние	αρχαίους	древний	άρχαιος	ADJ;NOM;PL	ADJ;ACC;MASC;PL
патрик	patrick	патрик	patrick	N;ANIM;NOM;MASC;SG	
патрик	πάτρικ	патрик	πάτρικ	N;ANIM;NOM;MASC;SG	
кавказа	καύκασο	кавказ	καύκασος	N;INAN;GEN;MASC;SG	N;ACC;MASC;SG
руководители	εποπτών	руководитель	εποπτός	N;ANIM;NOM;MASC;PL	N;GEN;NEUT;PL
домохозяйств	νοικοκυριά	домохозяйство	νοικοκυριά	N;INAN;GEN;NEUT;PL	N;NOM;NEUT;PL
домохозяйств	νοικοκυριό	домохозяйство	νοικοκυριό	N;INAN;GEN;NEUT;PL	N;NOM;NEUT;SG
домохозяйств	οικιακά	домохозяйство	οικιακά	N;INAN;GEN;NEUT;PL	N;NOM;NEUT;PL
домохозяйств	νοικοκυριού	домохозяйство	νοικοκυριό	N;INAN;GEN;NEUT;PL	N;GEN;NEUT;SG
окна	windows	окно	windows	N;INAN;NOM;NEUT;PL	
окна	παραθύρων	окно	παράθυρος	N;INAN;NOM;NEUT;PL	N;GEN;NEUT;PL
окна	παράθυρο	окно	παράθυρος	N;INAN;NOM;NEUT;PL	N;NOM;NEUT;SG
вырос	καλλιεργούνται	вырасти	καλλιεργώ	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;PASS
вырос	εκτραφεί	вырасти	εκτραφώ	V;PFV;MASC;IND;SG;PST;FIN;ACT	N
популярности	δημοτικότητα	популярность	δημοτικότητα	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
фунтов	λίρες	фунт	λίρος	N;INAN;GEN;MASC;PL	N;NOM;FEM;PL
фунтов	λίβρες	фунт	λίβρας	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
оппозиции	αντιπολίτευσης	оппозиция	αντιπολίτευση	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
оппозиции	αντίθεση	оппозиция	αντίθεση	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
передняя	πρόσθια	передний	πρόσθιος	ADJ;NOM;FEM;SG	ADV
передняя	πρόσθιο	передний	πρόσθιο	ADJ;NOM;FEM;SG	N;NOM;NEUT;SG
передняя	μπροστινό	передний	μπροστινός	ADJ;NOM;FEM;SG	N;NOM;NEUT;SG
передняя	μπροστά	передний	μπροστά	ADJ;NOM;FEM;SG	ADV
передняя	μέτωπο	передний	μέτωπο	ADJ;NOM;FEM;SG	N;NOM;NEUT;SG
убил	δολοφονήθηκε	убить	δολοφονώ	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
