של	shel	של	shel	PART;GEN	N;INDF;SG
התקבלה	godtatt	התקבל	godta	V;FEM;SG;3;PST	ADJ;INDF;NEUT;SG;V.PTCP
התקבלה	godtas	התקבל	godta	V;FEM;SG;3;PST	N;INDF;MASC;SG
התקבלה	akseptert	התקבל	akseptere	V;FEM;SG;3;PST	ADJ;INDF;SG;V.PTCP
התקבלה	godkjent	התקבל	godkjenne	V;FEM;SG;3;PST	ADJ;INDF;NEUT;SG;V.PTCP
התקבלה	aksepterte	התקבל	akseptere	V;FEM;SG;3;PST	ADJ;PL;V.PTCP
החליף	erstattet	החליף	erstatt	V;MASC;SG;3;PST;ACT	N;DEF;NEUT;SG
החליף	bytta	החליף	byte	V;MASC;SG;3;PST;ACT	ADJ;INDF;NEUT;SG;V.PTCP
החליף	byttet	החליף	bytte	V;MASC;SG;3;PST;ACT	N;DEF;NEUT;SG
מחיר	kostnader	מחיר	kostnad	N;MASC;SG	N;INDF;MASC;PL
מחיר	kosta	מחיר	koste	N;MASC;SG	ADJ;INDF;NEUT;SG;V.PTCP
אוצר	skatter	אוצר	skatter	N;MASC;SG	N;INDF;FEM;PL
דובר	talsmann	דובר	talsmann	PROPN	N;INDF;MASC;SG
דובר	dover	דובר	dove	PROPN	N;INDF;NEUT;SG
דעה	meninger	דעה	mening	N;FEM;SG	N;INDF;FEM;PL
דעה	meningene	דעה	mening	N;FEM;SG	N;DEF;FEM;PL
מחזות	spiller	מחזה	spille	N;MASC;PL	V;IND;PRS;FIN
מחזות	skuespill	מחזה	skuespill	N;MASC;PL	N;INDF;NEUT;SG
קווין	quinn	קווין	quinn	PROPN	N;INDF;MASC;SG
קווין	kevin	קווין	kevin	PROPN	N;INDF;SG
העביר	videresendt	העביר	videresende	V;MASC;SG;3;PST;ACT	ADJ;INDF;NEUT;SG;V.PTCP
אליפויות	mesterskap	אליפות	mesterskap	N;FEM;PL	N;INDF;NEUT;SG
אליפויות	allround	אליפות	allround	N;FEM;PL	N;INDF;MASC;SG
ובפרט	spesielt	ובפרט	spesiell	PROPN	ADJ;INDF;NEUT;SG
ובפרט	spesifikt	ובפרט	spesifikk	PROPN	ADJ;INDF;NEUT;SG
נוצרו	formet	נוצר	form	V;PL;3;PST;MID	N;DEF;NEUT;SG
נוצרו	dannet	נוצר	dann	V;PL;3;PST;MID	N;DEF;NEUT;SG
נוצרו	opprettes	נוצר	opprettes	V;PL;3;PST;MID	N;INDF;MASC;SG
נוצרו	opprettet	נוצר	opprett	V;PL;3;PST;MID	N;INDF;NEUT;SG
נוצרו	skapt	נוצר	skape	V;PL;3;PST;MID	ADJ;INDF;NEUT;SG;V.PTCP
נוצרו	laga	נוצר	lage	V;PL;3;PST;MID	ADJ;INDF;NEUT;SG;V.PTCP
גדי	steinbukk	גדי	steinbukk	PROPN	N;INDF;NEUT;SG
מוסלמים	muslimske	מוסלמי	muslimsk	N;MASC;PL	ADJ;PL
מוסלמים	muslim	מוסלמי	muslim	N;MASC;PL	N;INDF;MASC;SG
מוסלמים	muslimsk	מוסלמי	muslimsk	N;MASC;PL	ADJ;INDF;NEUT;SG
מבוא	innføring	מבוא	innføring		N;INDF;FEM;SG
מבוא	presentasjon	מבוא	presentasjon		N;INDF;MASC;SG
מבוא	innledning	מבוא	innledning		N;INDF;FEM;SG
מבוא	introduksjon	מבוא	introduksjon		N;INDF;MASC;SG
מבוא	presentasjon	מבוא	presentasjon		N;INDF;MASC;SG
מבוא	intro	מבוא	intro		N
מבוא	preface	מבוא	preface		N;INDF;MASC;SG
הרוב	most	הרוב	most		N;INDF;FEM;SG
הרוב	meste	הרוב	mykje		ADJ;DEF;RL
הרוב	mest	הרוב	mykje		ADJ;INDF;RL
הרוב	flertall	הרוב	flertall		N;INDF;NEUT;SG
הרוב	majoritet	הרוב	majoritet		N;INDF;MASC;SG
הרוב	flertallet	הרוב	flertall		N;DEF;NEUT;SG
משימות	oppdrag	משימה	oppdrag	N;FEM;PL	N;INDF;NEUT;SG
הודיעה	annonsert	הודיע	annonsere	V;FEM;SG;3;PST;ACT	ADJ;INDF;SG;V.PTCP
הודיעה	kunngjort	הודיע	kunngjere	V;FEM;SG;3;PST;ACT	ADJ;INDF;NEUT;SG;V.PTCP
למידה	studere	למידה	studere	PROPN	V;NFIN
למידה	studie	למידה	studium	PROPN	N;INDF;MASC;SG
למידה	læring	למידה	læring	PROPN	N;INDF;FEM;SG
למידה	lærer	למידה	lære	PROPN	V;IND;PRS;FIN
פוסט	post	פוסט	post	PROPN	N;INDF;MASC;SG
פוסט	innlegget	פוסט	innlegg	PROPN	N;DEF;NEUT;SG
פוסט	innlegg	פוסט	innlegg	PROPN	N;INDF;NEUT;PL
ניר	nir	ניר	nir	PROPN	N;INDF;MASC;SG
שחר	daggry	שחר	daggry	PROPN	N;INDF;MASC;SG
שחר	morgengry	שחר	morgengry	PROPN	N;INDF;NEUT;SG
שחר	dawn	שחר	dawn	PROPN	N;INDF;MASC;SG
שחר	shahar	שחר	shahar	PROPN	N
סבל	lidelse	סבל	lidelse		N;INDF;MASC;SG
סבל	elendighet	סבל	elendighet		N;INDF;FEM;SG
סבל	misery	סבל	misery		N;INDF;NEUT;SG
אחים	søsken	אח	søsken	N;PL	N;INDF;MASC;SG
אחים	brødre	אח	bror	N;PL	N;INDF;NEUT;SG
אחים	brothers	אח	brothers	N;PL	N;INDF;MASC;SG
אחים	bros	אח	bros	N;PL	N;INDF;MASC;SG
אתונה	aten	אתונה	aten	PROPN	N
אתונה	athen	אתונה	athen	PROPN	PROPN
נס	ness	נס	ness		N;INDF;MASC;SG
נס	mirakelet	נס	mirakel		N;DEF;NEUT;SG
נס	mirakel	נס	mirakel		N;INDF;NEUT;SG
בנוי	strukturert	בנה	strukturere	V;MASC;SG;V.PTCP;ACT	ADJ;INDF;SG;V.PTCP
בנוי	bygget	בנה	bygg	V;MASC;SG;V.PTCP;ACT	N;DEF;NEUT;SG
בנוי	bygde	בנה	byggje	V;MASC;SG;V.PTCP;ACT	ADJ;PL;V.PTCP
בנוי	bygd	בנה	byggje	V;MASC;SG;V.PTCP;ACT	ADJ;INDF;SG;V.PTCP
בנוי	konstruert	בנה	konstruere	V;MASC;SG;V.PTCP;ACT	ADJ;INDF;SG;V.PTCP
ילדה	barn	ילד	barn	N;FEM;SG	N;INDF;NEUT;PL
משפטי	juridiske	משפטי	juridisk	ADJ;MASC;SG	ADJ;PL
היסטוריונים	historikere	היסטוריון	historikere	N;MASC;PL	N;INDF;FEM;SG
אופ	ope	אופ	open		ADJ;INDF;NEUT;SG
עופר	ofer	עופר	ofer	PROPN	N;INDF;MASC;SG
ובמקום	isteden	ובמקום	isted	PROPN	N;INDF;MASC;SG
ובמקום	istedet	ובמקום	isted	PROPN	N;DEF;NEUT;SG
ובמקום	istedenfor	ובמקום	istedenfor	PROPN	N;INDF;MASC;SG
לפתור	løs	פתר	løs	V;NFIN;ACT	N;INDF;MASC;SG
לפתור	oppklare	פתר	oppklare	V;NFIN;ACT	N;INDF;MASC;SG
לפתור	løser	פתר	løs	V;NFIN;ACT	N;INDF;FEM;PL
התגורר	bodd	התגורר	bodd	V;MASC;SG;3;PST	ADJ;INDF;NEUT;SG;V.PTCP
אמי	emmy	אמי	emmy		N;INDF;MASC;SG
מושב	seter	מושב	seter		N;INDF;NEUT;SG
מושב	plasser	מושב	plasse		N;INDF;FEM;PL
מושב	moshav	מושב	moshav		N;INDF;MASC;SG
מושב	sete	מושב	sitje		ADJ;INDF;NEUT;SG;V.PTCP
עתיד	fremtidig	עתיד	fremtidig	N;MASC;SG	ADJ;INDF;NEUT;SG
חכמים	smart	חכם	smar	N;MASC;PL	N;INDF;MASC;SG
אייל	hjort	אייל	hjort	PROPN	N;INDF;MASC;SG
אייל	hjortedyr	אייל	hjortedyr	PROPN	N;INDF;NEUT;SG
אייל	rådyr	אייל	rådyr	PROPN	N;INDF;NEUT;SG
רפאים	wraith	רפאי	wraith	N;MASC;PL	N;INDF;SG
השישית	sjette	השישית	sjette	ADV	ADJ;DEF;SG
תארים	adjektiver	תואר	adjektiver	N;MASC;PL	ADJ;PL
תארים	titler	תואר	titler	N;MASC;PL	N;INDF;MASC;SG
לאכול	spis	אכל	spis	V;NFIN;ACT	N;INDF;MASC;SG
לאכול	eter	אכל	eter	V;NFIN;ACT	N;INDF;NEUT;SG
לאכול	spises	אכל	spises	V;NFIN;ACT	N;INDF;MASC;SG
לאכול	spise	אכל	spise	V;NFIN;ACT	N;INDF;FEM;SG
לאכול	eat	אכל	ein	V;NFIN;ACT	N
משוררים	diktere	משורר	diktere	N;MASC;PL	V;NFIN
משוררים	poeter	משורר	poeter	N;MASC;PL	N;INDF;MASC;SG
שנית	sekund	שנית	sekund		N;INDF;NEUT;SG
שנית	andre	שנית	annan		DET;PL
שנית	second	שנית	second		N
ישיבות	møter	ישיבה	møte	N;FEM;PL	V;IND;PRS;FIN
מלווה	ledsaget	ליווה	ledsag		N;DEF;NEUT;SG
מלווה	medfølgende	ליווה	medfølgende		N;INDF;MASC;SG
מלווה	følgesvenn	ליווה	følgesvenn		N;INDF;MASC;SG
מלווה	kompanjong	ליווה	kompanjong		N;INDF;MASC;SG
מלווה	ledsager	ליווה	ledsag		N;INDF;MASC;SG
קרני	carney	קרני	carney		N;INDF;SG
קרני	strålene	קרני	stråle		N;DEF;FEM;PL
קרני	stråler	קרני	stråle		N;INDF;FEM;PL
קרני	kearney	קרני	kearney		N;INDF;MASC;SG
איטלקי	italiener	איטלקי	italiene	PROPN	N;INDF;MASC;PL
איטלקי	italienske	איטלקי	italiensk	PROPN	ADJ;PL
איטלקי	italiensk	איטלקי	italiensk	PROPN	N;INDF;MASC;SG
מעוניין	interesserte	מעוניין	interessere	ADJ;MASC;SG	ADJ;PL;V.PTCP
תקף	gyldige	תקף	gyldig	V;MASC;SG;3;PST;ACT	ADJ;PL
תקף	gyldig	תקף	gyldig	V;MASC;SG;3;PST;ACT	ADJ;INDF;NEUT;SG
תקף	angrepet	תקף	angrep	V;MASC;SG;3;PST;ACT	N;DEF;NEUT;SG
תקף	angrep	תקף	angrep	V;MASC;SG;3;PST;ACT	N;INDF;NEUT;SG
המקומיים	lokale	המקום	lokal	N;MASC;DU	ADJ;PL
המקומיים	lokalbefolkningen	המקום	lokalbefolkning	N;MASC;DU	N;DEF;MASC;SG
אליס	ellis	אליס	ellis	PROPN	N;INDF;NEUT;SG
אליס	alice	אליס	alice	PROPN	N
עיקרי	primære	עיקרי	primær	ADJ;MASC;SG	ADJ;PL
עיקרי	primærvalg	עיקרי	primærvalg	ADJ;MASC;SG	N;INDF;NEUT;SG
עיקרי	primær	עיקרי	primær	ADJ;MASC;SG	N;INDF;MASC;SG
בנפרד	separat	בנפרד	separat	PROPN	ADJ;INDF;NEUT;SG
בנפרד	individuelt	בנפרד	individuell	PROPN	ADJ;INDF;NEUT;SG
בנפרד	bortsett	בנפרד	bortsedd	PROPN	ADJ;INDF;NEUT;SG
בנפרד	separat	בנפרד	separat	PROPN	ADJ;INDF;NEUT;SG
בנפרד	skill	בנפרד	skill	PROPN	N;INDF;MASC;SG
בנפרד	atskilt	בנפרד	atskilje	PROPN	N;INDF;NEUT;SG
בנפרד	skille	בנפרד	skille	PROPN	N;INDF;MASC;SG
עדן	aden	עדן	aden		N;INDF;MASC;SG
עדן	himmel	עדן	himmel		N;INDF;MASC;SG
עדן	heaven	עדן	heav		N;DEF;MASC;SG
עדן	himmelen	עדן	himmel		N;DEF;MASC;SG
עדן	eden	עדן	eden		N;INDF;MASC;SG
לצפות	watch	None	watch	V;NFIN	N;INDF;MASC;SG
מכר	solgte	מכר	solgje	N;MASC;SG	V;IND;PST;FIN
מכר	solgt	מכר	solgje	N;MASC;SG	ADJ;INDF;NEUT;SG;V.PTCP
מכר	bekjent	מכר	bekjent	N;MASC;SG	ADJ;INDF;NEUT;SG;V.PTCP
פטרבורג	petersburg	פטרבורג	petersburg	PROPN	N;INDF;MASC;SG
לשמוע	høre	שמע	høre	V;NFIN;ACT	N;INDF;MASC;SG
ביקורות	omtaler	ביקורת	omtale	N;FEM;PL	V;IND;PRS;FIN
ביקורות	anmeldelser	ביקורת	anmeldelse	N;FEM;PL	N;INDF;NEUT;SG
להכניס	insert	הכניס	insere	V;NFIN;ACT	N
בורה	uvitende	בורה	uvitende	PROPN	N;INDF;MASC;SG
בורה	bora	בורה	bor	PROPN	N;INDF;NEUT;SG
הממוצע	gjennomsnittet	הממוצע	gjennomsnitt	PROPN	N;DEF;NEUT;SG
הממוצע	gjennomsnitt	הממוצע	gjennomsnitt	PROPN	N;INDF;NEUT;SG
הממוצע	gjennomsnittlige	הממוצע	gjennomsnittlig	PROPN	ADJ;PL
הממוצע	gjennomsnittlig	הממוצע	gjennomsnittlig	PROPN	N;INDF;MASC;SG
מוזכר	nevnte	הוזכר	nevnte	V;MASC;SG;V.PTCP;PASS	ADJ;PL
מוזכר	nevnt	הוזכר	nevne	V;MASC;SG;V.PTCP;PASS	ADJ;INDF;NEUT;SG;V.PTCP
מוזכר	nevnes	הוזכר	nevnes	V;MASC;SG;V.PTCP;PASS	N;INDF;MASC;SG
תרמו	donerte	תרם	donert	V;PL;3;PST;ACT	ADJ;PL;V.PTCP
תרמו	donert	תרם	donert	V;PL;3;PST;ACT	ADJ;INDF;SG;V.PTCP
מוצג	utstillingen	הוצג	utstilling	V;MASC;SG;V.PTCP;PASS	N;DEF;MASC;SG
מוצג	utstilling	הוצג	utstilling	V;MASC;SG;V.PTCP;PASS	N;INDF;FEM;SG
מוצג	vist	הוצג	vise	V;MASC;SG;V.PTCP;PASS	ADJ;INDF;NEUT;SG;V.PTCP
מוצג	vist	הוצג	vise	V;MASC;SG;V.PTCP;PASS	ADJ;INDF;NEUT;SG;V.PTCP
מוצג	vises	הוצג	vises	V;MASC;SG;V.PTCP;PASS	N;INDF;MASC;SG
דורש	kreve	דרש	kreve	V;MASC;SG;V.PTCP;ACT	N;INDF;MASC;SG
דורש	krevende	דרש	krevende	V;MASC;SG;V.PTCP;ACT	N;INDF;FEM;SG
דורש	etterspørsel	דרש	etterspørsel	V;MASC;SG;V.PTCP;ACT	N;INDF;FEM;SG
האמן	kunstner	האמן	kunstner		N;INDF;MASC;SG
האמן	artist	האמן	artist		N;INDF;MASC;SG
גיא	kar	גיא	kar	PROPN	N;INDF;MASC;SG
גיא	guy	גיא	guy	PROPN	N;INDF;MASC;SG
כספים	midler	כסף	midder	N;MASC;PL	N;INDF;MASC;SG
רוסים	russere	רוסי	russere	N;MASC;PL	N;INDF;FEM;SG
הוחלף	erstattet	הוחלף	erstatt	V;MASC;SG;3;PST;PASS	N;DEF;NEUT;SG
הוחלף	bytta	הוחלף	byte	V;MASC;SG;3;PST;PASS	ADJ;INDF;NEUT;SG;V.PTCP
הוחלף	byttet	הוחלף	bytte	V;MASC;SG;3;PST;PASS	N;DEF;NEUT;SG
רמי	remy	רמי	remy	PROPN	N;INDF;MASC;SG
רמי	rami	רמי	rami	PROPN	N
רמי	remi	רמי	remi	PROPN	N;INDF;MASC;SG
משבר	kriser	משבר	krise	N;MASC;SG	N;INDF;FEM;PL
האולימפי	olympiske	האולימפי	olympisk	PROPN	ADJ;PL
האולימפי	olympic	האולימפי	olympic	PROPN	N;INDF;NEUT;SG
קילומטר	kilometer	קילומטר	kilometer	N;MASC;SG	N;INDF;MASC;PL
הגל	hegel	הגל	hegel		N;INDF;MASC;SG
פופולרי	populære	פופולרי	populær	ADJ;MASC;SG	ADJ;PL
פופולרי	folkelig	פופולרי	folkelig	ADJ;MASC;SG	N;INDF;MASC;SG
פופולרי	populære	פופולרי	populær	ADJ;MASC;SG	ADJ;PL
אנא	please	אנא	please		N;INDF;MASC;SG
הראל	harel	הראל	harel	PROPN	N;INDF;MASC;SG
נא	raw	None	raw		N
נא	rå	None	rå		N;INDF;NEUT;SG
נא	rått	None	rå		ADJ;INDF;NEUT;SG
נא	skjelden	None	skjeld		N;DEF;MASC;SG
נא	sjelden	None	sjelden		ADJ;INDF;SG
נא	sjeldent	None	sjeldent		N;INDF;MASC;SG
נא	sjeldne	None	sjeldan		ADJ;PL
ברי	barry	ברי	barry		N;INDF;MASC;SG
ברי	bree	ברי	bree		N;INDF;MASC;SG
ברי	berry	ברי	berry		N;INDF;MASC;SG
ברי	brie	ברי	brie		N;INDF;MASC;SG
נתיב	sti	נתיב	sti		N;INDF;MASC;SG
רובין	rubin	רובין	rubin	PROPN	N;INDF;MASC;SG
רובין	rødstrupe	רובין	rødstrupe	PROPN	N;INDF;FEM;SG
רובין	robin	רובין	robin	PROPN	N;INDF;MASC;SG
רובין	robyn	רובין	robyn	PROPN	N;INDF;MASC;SG
החלוקה	partisjon	החלוקה	partisjon	PROPN	N;INDF;MASC;SG
יוגוסלביה	jugoslavia	יוגוסלביה	jugoslavia	PROPN	N;DEF;NEUT;SG
המולד	jula	המולד	jul		N;DEF;FEM;SG
המולד	julen	המולד	jul		N;DEF;MASC;SG
המולד	jul	המולד	jul		N;INDF;FEM;SG
המולד	christmas	המולד	christmas		N;INDF;MASC;SG
סינגל	single	סינגל	single	PROPN	N;INDF;MASC;SG
סינגל	singel	סינגל	singel	PROPN	N;INDF;MASC;SG
סינגל	enslig	סינגל	enslig	PROPN	ADJ;INDF;NEUT;SG
אפס	zero	אפס	zero		N;INDF;MASC;SG
אפס	null	אפס	null		NUM;PL
מצבים	situasjoner	מצב	situasjon	N;MASC;PL	N;INDF;MASC;SG
הוצג	presentert	הוצג	presentere	V;MASC;SG;3;PST;PASS	ADJ;INDF;SG;V.PTCP
הוצג	presenteres	הוצג	presentere	V;MASC;SG;3;PST;PASS	N;INDF;MASC;SG
משל	lignelse	משל	lignels		N;INDF;MASC;SG
משל	own	משל	own		N
משל	eget	משל	eget		N;INDF;NEUT;SG
משל	eie	משל	ein		N;INDF;MASC;SG
משל	egen	משל	eigen		N;INDF;MASC;SG
משל	fabel	משל	fabel		N;INDF;MASC;SG
התגייס	vervet	התגייס	verv	V;MASC;SG;3;PST	N;DEF;NEUT;SG
אפשרויות	alternativer	אפשרות	alternativ	N;FEM;PL	N;INDF;NEUT;SG
אפשרויות	opsjon	אפשרות	opsjon	N;FEM;PL	N;INDF;MASC;SG
אילת	eilat	אילת	eilat	PROPN	N;INDF;SG
גור	valp	גור	valp	PROPN	N;INDF;MASC;SG
גור	gore	גור	gor	PROPN	N;INDF;MASC;SG
צודק	riktig	צדק	riktig	V;MASC;SG;V.PTCP;ACT	ADJ;INDF;NEUT;SG
צודק	rett	צדק	rett	V;MASC;SG;V.PTCP;ACT	ADJ;INDF;NEUT;SG
בריטית	britisk	בריטי	britisk	PROPN	ADJ;INDF;SG
בריטית	britiske	בריטי	britisk	PROPN	ADJ;PL
אפל	dark	אפל	dark		N;INDF;SG
אפל	mørk	אפל	mørk		ADJ;INDF;SG
אפל	mørkt	אפל	mørk		ADJ;INDF;NEUT;SG
אפל	mørke	אפל	mørk		ADJ;PL
אפל	eple	אפל	eple		N;INDF;NEUT;SG
אפל	apple	אפל	apple		N;INDF;MASC;SG
יליד	innfødt	יליד	innføde	PROPN	ADJ;INDF;NEUT;SG;V.PTCP
סוס	horse	סוס	horse		N;INDF;NEUT;SG
סוס	hest	סוס	hest		N;INDF;MASC;SG
סוס	hesten	סוס	hest		N;DEF;MASC;SG
שיער	hår	שיער	hår	PROPN	N;INDF;NEUT;SG
שיער	håret	שיער	hår	PROPN	N;DEF;NEUT;SG
ביתן	paviljong	ביתן	paviljong		N;INDF;MASC;SG
ביתן	hytte	ביתן	hytte		N;INDF;FEM;SG
תעלת	canal	תעלת	canal	PROPN	N;INDF;MASC;SG
נשמע	høres	נשמע	høre	V;MASC;SG;MID	N;INDF;SG
אותיות	brev	אות	brev	N;FEM;PL	N;INDF;NEUT;SG
מאני	manny	מאני	manny		N;INDF;MASC;SG
תלויה	avhengige	תלה	avhengig	V;FEM;SG;V.PTCP;ACT	ADJ;PL
תלויה	avhengig	תלה	avhengig	V;FEM;SG;V.PTCP;ACT	ADJ;INDF;NEUT;SG
ישירה	direkte	ישיר	direkte	ADV	ADJ;INDF;NEUT;SG
ישירה	direct	ישיר	direct	ADV	N
לדון	diskuter	דן	diskut	V;NFIN;ACT	N;INDF;MASC;SG
ירידה	slepp	ירידה	sleppe	N;FEM;SG	V;IND;PRS;FIN
ירידה	redusere	ירידה	redusere	N;FEM;SG	V;NFIN
שומר	guardian	שומר	guardian		N;INDF;MASC;SG
שומר	verge	שומר	verge		N;INDF;MASC;SG
שומר	vakt	שומר	vakt		N;INDF;FEM;SG
שומר	fennikel	שומר	fennikel		N;INDF;MASC;SG
בוצע	done	בוצע	done	V;MASC;SG;3;PST;PASS	N
בוצע	gjort	בוצע	gjere	V;MASC;SG;3;PST;PASS	ADJ;INDF;NEUT;SG;V.PTCP
בוצע	ferdig	בוצע	ferdig	V;MASC;SG;3;PST;PASS	ADJ;INDF;NEUT;SG
למטה	down	למטה	down		N;INDF;SG
למטה	ned	למטה	ned		ADP
למטה	nedover	למטה	nedover		ADP
למטה	nede	למטה	nede		ADP
למטה	nedenfor	למטה	nedenfor		
למטה	below	למטה	below		N;INDF;SG
למטה	under	למטה	under		ADP
למטה	nede	למטה	nede		ADP
למטה	nedenunder	למטה	nedenunde		ADJ;INDF;SG
סולו	solo	סול	solo		N;INDF;MASC;SG
סולו	sulu	סול	sulu		N;INDF;MASC;SG
אמנון	amnon	אמנון	amnon	PROPN	N;INDF;MASC;SG
היוצרים	skaperne	היוצר	skapern	N;MASC;PL	N;INDF;MASC;SG
היוצרים	skapere	היוצר	skapere	N;MASC;PL	N;INDF;MASC;SG
מוגבל	begrenset	מוגבל	begrens	V;MASC;SG;V.PTCP;PASS	N;DEF;NEUT;SG
מוגבל	limited	מוגבל	limited	V;MASC;SG;V.PTCP;PASS	N;INDF;MASC;SG
מוגבל	begrenset	מוגבל	begrens	V;MASC;SG;V.PTCP;PASS	N;DEF;NEUT;SG
מילא	fyllt	מילא	fylle	N;MASC;SG	ADJ;INDF;NEUT;SG;V.PTCP
מילא	fylte	מילא	fylle	N;MASC;SG	ADJ;PL;V.PTCP
מילא	fylt	מילא	fylle	N;MASC;SG	ADJ;INDF;NEUT;SG;V.PTCP
רישיון	lisensiert	רישיון	lisensiere	N;MASC;SG	ADJ;INDF;SG;V.PTCP
הכשרה	opplært	הכשרה	opplære	N;FEM;SG	ADJ;INDF;SG
גרין	greene	מה"גרין	gre	PROPN	N;DEF;FEM;PL
גרין	grønn	מה"גרין	grønn	PROPN	N;INDF;MASC;SG
גרין	green	מה"גרין	grenne	PROPN	N;DEF;MASC;SG
גרין	grønt	מה"גרין	grøn	PROPN	ADJ;INDF;NEUT;SG
גרין	grønne	מה"גרין	grønne	PROPN	ADJ;PL
חיצוני	eksterne	חיצוני	ekstern	ADJ;MASC;SG	ADJ;PL
הפדרציה	føderasjonen	הפדרציה	føderasjon	PROPN	N;DEF;MASC;SG
הפדרציה	federation	הפדרציה	federation	PROPN	N;INDF;MASC;SG
הפדרציה	føderasjon	הפדרציה	føderasjon	PROPN	N;INDF;MASC;SG
העבר	fortida	העבר	fortid		N;DEF;FEM;SG
העבר	fortiden	העבר	fortid		N;DEF;MASC;SG
העבר	fortid	העבר	fortid		N;INDF;FEM;SG
העבר	forbi	העבר	forbi		ADP
העבר	past	העבר	past		N;INDF
רומנים	rumenere	רומני	rumenere	N;MASC;PL	N;INDF;MASC;SG
רומנים	rumensk	רומני	rumensk	N;MASC;PL	N;INDF;MASC;SG
נשלחו	fraktet	נשלח	frakt	V;PL;3;PST;MID	N;DEF;NEUT;SG
נשלחו	sendes	נשלח	sendes	V;PL;3;PST;MID	N;INDF;MASC;SG
נשלחו	sendt	נשלח	sende	V;PL;3;PST;MID	ADJ;INDF;NEUT;SG;V.PTCP
נשלחו	innlevert	נשלח	innlevere	V;PL;3;PST;MID	ADJ;INDF;NEUT;SG;V.PTCP
נשלחו	innsendte	נשלח	innsende	V;PL;3;PST;MID	ADJ;PL;V.PTCP
נשלחו	sendt	נשלח	sende	V;PL;3;PST;MID	ADJ;INDF;NEUT;SG;V.PTCP
נשלחו	sendt	נשלח	sende	V;PL;3;PST;MID	ADJ;INDF;NEUT;SG;V.PTCP
יזם	gründer	יזם	gründ	PROPN	N;INDF;FEM;PL
יזם	entreprenørskap	יזם	entreprenørskap	PROPN	N;INDF;MASC;SG
יזם	entreprenør	יזם	entreprenør	PROPN	N;INDF;MASC;SG
יזם	påbegynte	יזם	påbegynte	PROPN	ADJ;PL
יזם	påbegynt	יזם	påbegynt	PROPN	ADJ;INDF;NEUT;SG;V.PTCP
יזם	innviet	יזם	innvi	PROPN	N;INDF;NEUT;SG
יזם	utvikler	יזם	utvikle	PROPN	N;INDF;FEM;PL
יזם	utviklere	יזם	utviklere	PROPN	V;NFIN
תמך	støttede	תמך	støttede	PROPN	N;INDF;NEUT;SG
תמך	forsørget	תמך	forsørg	PROPN	N;DEF;NEUT;SG
תמך	støttet	תמך	støtt	PROPN	N;DEF;NEUT;SG
תמך	støttes	תמך	støttes	PROPN	N;INDF;MASC;SG
ניצחונות	vinner	ניצחון	vinne	N;MASC;PL	N;INDF;MASC;SG
ניצחונות	seiere	ניצחון	seiere	N;MASC;PL	N;INDF;MASC;SG
ניצחונות	seiere	ניצחון	seiere	N;MASC;PL	N;INDF;MASC;SG
ניצחונות	seire	ניצחון	seire	N;MASC;PL	N;INDF;NEUT;SG
חומרי	materiell	חומרי	materiell	ADJ;MASC;PL	ADJ;INDF;SG
חומרי	materialer	חומרי	materiale	ADJ;MASC;PL	N;INDF;NEUT;SG
הקובץ	fil	הקובץ	fil	PROPN	N;INDF;MASC;SG
אלפרד	alfred	אלפרד	alfred	PROPN	N;INDF;MASC;SG
אסירים	innsatte	אסיר	innsatte	N;MASC;PL	ADJ;PL;V.PTCP
חכם	intelligente	חכם	intelligente		ADJ;PL
חכם	intelligent	חכם	intelligent		ADJ;INDF;SG
חכם	flinke	חכם	flink		ADJ;PL
חכם	snedig	חכם	snedig		ADJ;INDF;NEUT;SG
חכם	smart	חכם	smar		N;INDF;MASC;SG
חכם	klokt	חכם	klok		ADJ;INDF;NEUT;SG
חכם	kloke	חכם	klok		ADJ;PL
חכם	wise	חכם	wise		NUM;PL
חכם	klok	חכם	klok		N;INDF;MASC;SG
חכם	smart	חכם	smar		N;INDF;MASC;SG
מפלגות	partier	מפלגה	parti	N;FEM;PL	N;INDF;NEUT;SG
אחוזים	prosenter	אחוז	prosenter	N;MASC;PL	N;INDF;NEUT;SG
אחוזים	prosentandel	אחוז	prosentandel	N;MASC;PL	N;INDF;MASC;SG
מורים	lærere	מורה	lærere	N;MASC;PL	V;NFIN
מורים	lærerne	מורה	lærern	N;MASC;PL	N;INDF;FEM;SG
המושל	guvernør	המושל	guvernør	PROPN	N;INDF;MASC;SG
המושל	stattholder	המושל	statthold	PROPN	N;INDF;NEUT;SG
מבצעים	tilbud	מבצע	tilbud	N;MASC;PL	N;INDF;NEUT;SG
הארמון	palass	הארמון	palass	PROPN	N;INDF;NEUT;SG
הארמון	palasset	הארמון	palass	PROPN	N;DEF;NEUT;SG
הארמון	palace	הארמון	palace	PROPN	N;INDF;MASC;SG
מכונות	automater	מכונה	automater	N;FEM;PL	N;INDF;MASC;SG
ההרים	fjell	ההרים	fjell	ADV	N;INDF;NEUT;SG
הפלסטינים	palestinere	הפלסטיני	palestinere	N;MASC;PL	V;NFIN
הפלסטינים	palestinerne	הפלסטיני	palestinern	N;MASC;PL	N;INDF;FEM;SG
אשדוד	ashdod	אשדוד	ashdod	PROPN	N;INDF;MASC;SG
צפונה	nordover	צפון	nordov	ADV	ADP
צפונה	north	צפון	north	ADV	PROPN
