seattle	سياتل	settlli	سِيَاتِل	N;NOM;MASC;SG	
jednaki	يساوي	jednak	سَاوَى	ADJ;NOM;DEF;MASC;PL	V;IPFV;MASC;IND;SG;3;FIN;ACT
indoneziji	اندونيسيا	indonezija	إِندُونِيسِيَا	N;DAT;FEM;SG	
oklopna	مدرعة	oklopan	مُدَرَّع	ADJ;NOM;DEF;FEM;SG	N;NOM;INDF;SG
oklopna	مصفحة	oklopan	مَصفَحَة	ADJ;NOM;DEF;FEM;SG	N;NOM;INDF;SG
oklopna	المدرعة	oklopan	مَدرَعَة	ADJ;NOM;DEF;FEM;SG	N;NOM;DEF;SG
oklopna	مدرعة	oklopan	مُدَرَّع	ADJ;NOM;DEF;FEM;SG	N;NOM;INDF;SG
oklopna	مصفحة	oklopan	مَصفَحَة	ADJ;NOM;DEF;FEM;SG	N;NOM;INDF;SG
oklopna	المدرعة	oklopan	مَدرَعَة	ADJ;NOM;DEF;FEM;SG	N;NOM;DEF;SG
bjeloruski	بيلاروسية	bjeloruski	بيلاروسية	ADJ;NOM;MASC;SG	
bjeloruski	البيلاروسي	bjeloruski	البيلاروسي	ADJ;NOM;MASC;SG	
utvrđeni	محصن	utvrditi	محصن	ADJ;NOM;DEF;MASC;PL;V.PTCP	
izumiranja	الانقراض	izumiranje	اِنقِرَاض	N;NOM;NEUT;PL	N;NOM;DEF;SG
helsinkiju	هلسنكي	helsinkija	هِلسِنكِي	N;DAT;MASC;SG	
naočale	نظارة	naočala	نِظَارَة	N;NOM;FEM;PL	N;NOM;INDF;SG
naočale	النظارة	naočala	نِظَارَة	N;NOM;FEM;PL	N;NOM;DEF;SG
terapije	العلاج	terapija	عِلَاج	N;NOM;FEM;PL	N;NOM;DEF;SG
terapije	علاج	terapija	عِلَاج	N;NOM;FEM;PL	N;NOM;INDF;SG
piloti	الطيارين	pilot	طَيَّار	N;NOM;MASC;PL	N;ACC;DEF;DU
alija	الي	alija	اليّ	N;NOM;MASC;SG	
alija	علي	alija	علي	N;NOM;MASC;SG	
alija	ali	alija	شَضَم	N;NOM;MASC;SG	
sivi	رمادية	siv	رَمَادِيّ	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;INDF;FEM;SG
sivi	الرمادي	siv	رَمَادِيّ	ADJ;NOM;DEF;MASC;SG	
sivi	جراي	siv	جراي	ADJ;NOM;DEF;MASC;SG	
sivi	رمادي	siv	رمادي	ADJ;NOM;DEF;MASC;SG	
sivi	غراي	siv	غِرَاي	ADJ;NOM;DEF;MASC;SG	
sivi	رمادي	siv	رمادي	ADJ;NOM;DEF;MASC;SG	
nasilno	عنيف	nasilno	عَنِيف	ADV	ADJ;NOM;INDF;MASC;SG
nasilno	عنف	nasilno	عُنف	ADV	N;NOM;INDF;SG
nasilno	عنيفة	nasilno	عَنِيف	ADV	ADJ;NOM;INDF;FEM;SG
sirije	سورية	siroc	سُورِيّ	N;NOM;FEM;PL	ADJ;NOM;INDF;FEM;SG
sirije	syria	siroc	قُثَّة	N;NOM;FEM;PL	
sirije	سوريا	siroc	سُورِيَا	N;NOM;FEM;PL	
luther	لوثر	luther	لوثر	N;NOM;MASC;SG	
uhvatiti	التقاط	uhvatiti	اِلتِقَاط	V;NFIN	N;NOM;INDF;SG
uhvatiti	اسر	uhvatiti	أُسرَة	V;NFIN	
uhvatiti	القبض	uhvatiti	قَبض	V;NFIN	N;NOM;DEF;SG
uhvatiti	التقاط	uhvatiti	اِلتِقَاط	V;NFIN	N;NOM;INDF;SG
xbox	بوكس	xbox	بوكس	PROPN;NOM;MASC;SG	
reputaciju	سمعة	reputacija	سُمعَة	N;ACC;FEM;SG	N;NOM;INDF;SG
reputaciju	السمعة	reputacija	سُمعَة	N;ACC;FEM;SG	N;NOM;DEF;SG
siva	رمادية	siv	رَمَادِيّ	N;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
siva	الرمادي	siv	رَمَادِيّ	N;NOM;FEM;SG	
siva	جراي	siv	جراي	N;NOM;FEM;SG	
siva	رمادي	siv	رمادي	N;NOM;FEM;SG	
siva	غراي	siv	غِرَاي	N;NOM;FEM;SG	
siva	رمادي	siv	رمادي	N;NOM;FEM;SG	
wells	ويلز	wells	ويلز	PROPN;NOM;MASC;SG	
wells	ابار	wells	أَبَار	PROPN;NOM;MASC;SG	
wells	الابار	wells	بِئر	PROPN;NOM;MASC;SG	N;NOM;DEF;PL
harvard	هارفارد	harvard	هارفارد	N;NOM;MASC;SG	
harvard	هارفرد	harvard	هارفرد	N;NOM;MASC;SG	
gardner	غاردنر	gardner	غاردنر	ADV	
phillips	فيليبس	phillips	فِيلِيبس	PROPN;NOM;MASC;SG	
spencer	سبنسر	spencer	سبنسر	N;NOM;MASC;SG	
spencer	سبينسر	spencer	سبينسر	N;NOM;MASC;SG	
žensko	الانثى	ženski	أَنثِيّ	ADJ;NOM;NEUT;SG	N;NOM;DEF;SG
žensko	انثى	ženski	أَنثَى	ADJ;NOM;NEUT;SG	N;NOM;INDF;SG
žensko	اناث	ženski	أَنَاث	ADJ;NOM;NEUT;SG	N;NOM;INDF;SG
žensko	الاناث	ženski	أَنَاث	ADJ;NOM;NEUT;SG	N;NOM;DEF;PL
poslovanje	الاعمال	poslovanje	عَمَل	N;NOM;NEUT;SG	N;NOM;DEF;PL
orbitu	مدار	orbita	مَدَار	N;ACC;FEM;SG	N;NOM;INDF;SG
orbitu	المدار	orbita	مَدَار	N;ACC;FEM;SG	N;NOM;DEF;SG
break	تكسر	break	كَسَّر	ADP	V;IPFV;FEM;IND;SG;3;FIN;ACT
break	كسر	break	كَسر	ADP	N;NOM;INDF;SG
break	استراحة	break	اِستِرَاحَة	ADP	N;NOM;INDF;SG
primarna	ابتدائي	primaran	اِبتِدَائِيّ	ADJ;NOM;DEF;FEM;SG	N;ACC;INDF;SG
zarada	ارباح	zarada	رِبح	N;NOM;FEM;SG	N;NOM;INDF;PL
zarada	الارباح	zarada	إِربَاح	N;NOM;FEM;SG	N;NOM;DEF;PL
zarada	ارباح	zarada	رِبح	N;NOM;FEM;SG	N;NOM;INDF;PL
zarada	الارباح	zarada	إِربَاح	N;NOM;FEM;SG	N;NOM;DEF;PL
zarada	ارباح	zarada	رِبح	N;NOM;FEM;SG	N;NOM;INDF;PL
zarada	الارباح	zarada	إِربَاح	N;NOM;FEM;SG	N;NOM;DEF;PL
meadow	المرج	meadow	مَرَج	N;NOM;FEM;SG	
meadow	ميدو	meadow	ميدو	N;NOM;FEM;SG	
meadow	مرج	meadow	مرج	N;NOM;FEM;SG	
jana	يناير	jana	يَنَايِر	N;NOM;FEM;SG	N;GEN;INDF;SG
jana	جان	jana	جَان	N;NOM;FEM;SG	
jana	يان	jana	يان	N;NOM;FEM;SG	
jana	جانا	jana	جَان	N;NOM;FEM;SG	
jedinstveno	فريدون	jedinstven	فريدون	ADJ;NOM;DEF;NEUT;SG	
jedinstveno	فريدة	jedinstven	فَرِيد	ADJ;NOM;DEF;NEUT;SG	ADJ;NOM;INDF;FEM;SG
jedinstveno	فريد	jedinstven	فريد	ADJ;NOM;DEF;NEUT;SG	
pag	pag	pag	ثَصَث	PROPN;NOM;MASC;SG	
ostavi	اترك	ostaviti	اترك	V;IND;SG;3;PRS;FIN	
ostavi	مغادرة	ostaviti	مُغَادَرَة	V;IND;SG;3;PRS;FIN	N;NOM;INDF;SG
kanadu	كندا	kanada	كَنَدَا	N;ACC;FEM;SG	
tvorac	صانع	tvorac	صانع	N;NOM;MASC;SG	
tvorac	الخالق	tvorac	خَالِق	N;NOM;MASC;SG	
tvorac	خالق	tvorac	خَالِق	N;NOM;MASC;SG	
uzvodno	المنبع	uzvodno	مَنبَع	ADV	N;NOM;DEF;SG
napušten	هجرت	napustiti	هَجَر	ADJ;NOM;MASC;SG;V.PTCP;PASS	V;PFV;FEM;SG;3;ACT
preživjela	ناج	preživjeti	نَاج	V;FEM;SG;PST;V.PTCP;ACT	N;NOM;INDF;SG
preživjela	الناجين	preživjeti	الناجين	V;FEM;SG;PST;V.PTCP;ACT	N;NOM;DEF;PL
preživjela	الناجون	preživjeti	نَاجُون	V;FEM;SG;PST;V.PTCP;ACT	N;NOM;DEF;PL
preživjela	ناجي	preživjeti	ناجي	V;FEM;SG;PST;V.PTCP;ACT	
kolegama	الزملاء	kolega	زَمِيل	N;INS;MASC;PL	N;NOM;DEF;PL
kolegama	زملاء	kolega	زَمِيل	N;INS;MASC;PL	N;NOM;INDF;PL
mia	ميا	mia	ميا	PROPN;NOM;FEM;SG	
odabran	مختار	odabrati	مختار	ADJ;NOM;MASC;SG;V.PTCP;PASS	
odabran	اختير	odabrati	اِختَار	ADJ;NOM;MASC;SG;V.PTCP;PASS	V;PFV;MASC;SG;3;PASS
odabran	المختار	odabrati	المختار	ADJ;NOM;MASC;SG;V.PTCP;PASS	
lam	لام	lam	لَام	PROPN;NOM;MASC;SG	
hoda	مشي	hodati	مَشي	N;NOM;MASC;SG	
hoda	يمشي	hodati	أَمشَى	N;NOM;MASC;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
hoda	امشي	hodati	امشي	N;NOM;MASC;SG	
svile	سيلك	sviti	سيلك	N;NOM;FEM;PL	
svile	حرير	sviti	حَرِير	N;NOM;FEM;PL	
svile	الحرير	sviti	حَرِير	N;NOM;FEM;PL	N;NOM;DEF;SG
žile	عروق	žila	عروق	N;NOM;FEM;PL	
žile	الاوعية	žila	وِعَاء	N;NOM;FEM;PL	
žile	اوعية	žila	وِعِّيّ	N;NOM;FEM;PL	N;NOM;INDF;SG
div	عملاقة	div	عِملَاق	N;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
stefana	ستيفان	stefan	ستِيفَان	N;ANIM;ACC;MASC;SG	
ostavljajući	الرحيل	ostavijati	رَحِيل	ADV;RL	N;NOM;DEF;SG
ostavljajući	مغادرة	ostavijati	مُغَادَرَة	ADV;RL	N;NOM;INDF;SG
ostavljajući	يغادر	ostavijati	غَادَر	ADV;RL	V;IPFV;MASC;IND;SG;3;FIN;ACT
sredina	الاوسط	sredini	أَوسَط	N;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
sedma	سابعا	sedma	سَابِع	ADJ;NOM;FEM;SG	ADJ;ACC;INDF;MASC;SG
sharp	حادة	sharp	حَادّ	ADP	ADJ;NOM;INDF;FEM;SG
sharp	شارب	sharp	شَارِب	ADP	
sharp	حاد	sharp	حَادّ	ADP	ADJ;NOM;INDF;MASC;SG
prostorno	المكاني	prostoran	مَكَانِي	ADV	N;NOM;DEF;SG
podnijeti	مقبض	podnijeti	مُقَبَّض	V;NFIN	
podnijeti	تقديم	podnijeti	تَقدِيم	V;NFIN	N;NOM;INDF;SG
mason	ماسون	mason	ماسون	N;NOM;MASC;SG	
mason	مايسن	mason	مايسن	N;NOM;MASC;SG	
mason	مايسون	mason	مايسون	N;NOM;MASC;SG	
mason	ميسن	mason	ميسن	N;NOM;MASC;SG	
mason	ميسون	mason	ميسون	N;NOM;MASC;SG	
vatikan	الفاتيكان	vatikan	الفاتيكان	N;NOM;MASC;SG	
kung	الكونغ	kung	كُونغ	ADP	
carice	الامبراطورة	carica	أُمبِرطَاطُورَة	N;NOM;FEM;PL	N;NOM;DEF;SG
che	تشي	che	تشي	ADP	
cvijeće	زهور	cvijeće	زُهُور	N;NOM;NEUT;SG	
cvijeće	ازهار	cvijeće	ازهار	N;NOM;NEUT;SG	
kratera	الفوهات	kratera	الفوهات	N;GEN;MASC;SG	N;NOM;DEF;PL
kratera	فوهة	kratera	فَوهَة	N;GEN;MASC;SG	N;NOM;INDF;SG
buffalo	بافالو	buffalo	بافالو	N;NOM;MASC;SG	
buffalo	الجاموس	buffalo	جَامُوس	N;NOM;MASC;SG	
vežu	الزام	vezati	زَام	V;IND;PL;3;PRS;FIN	N;NOM;DEF;SG
licence	رخص	licenca	رُخص	N;NOM;FEM;PL	N;NOM;INDF;SG
nacionalizam	قومية	nacionalizam	قَومِيّ	N;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
nacionalizam	القومية	nacionalizam	قَومِيّ	N;NOM;MASC;SG	ADJ;NOM;DEF;FEM;SG
najbliže	الاقرب	dlizak	أَقرَب	ADJ;NOM;DEF;RL;FEM;SG	
najbliže	الاقرب	dlizak	أَقرَب	ADJ;NOM;DEF;RL;FEM;SG	
prethodna	سابق	prethodan	سَابِق	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;INDF;MASC;SG
prethodna	سابقة	prethodan	سَابِقَة	ADJ;NOM;DEF;FEM;SG	N;NOM;INDF;SG
prethodna	السابق	prethodan	سَابِق	ADJ;NOM;DEF;FEM;SG	N;NOM;DEF;SG
carolina	كارولاينا	carolina	كارولاينا	PROPN;NOM;FEM;SG	
carolina	كارولينا	carolina	كارولينا	PROPN;NOM;FEM;SG	
herman	هيرمان	herman	هَيرَمَان	N;NOM;MASC;SG	
tursko	التركي	turski	تُركِيّ	ADJ;NOM;NEUT;SG	N;NOM;DEF;SG
tursko	تركي	turski	تُركِيّ	ADJ;NOM;NEUT;SG	
benfica	بنفيكا	benfica	بِنفِيكَا	N;NOM;FEM;SG	
redovnik	الراهب	redovnik	رَاهِب	N;NOM;MASC;SG	
redovnik	مونك	redovnik	مونك	N;NOM;MASC;SG	
redovnik	monk	redovnik	مَحَثّ	N;NOM;MASC;SG	
islamski	الاسلامي	islamski	إِسلَامِيّ	ADV	ADJ;NOM;DEF;MASC;SG
islamski	اسلامية	islamski	إِسلَامِيّ	ADV	ADJ;NOM;INDF;FEM;SG
islamski	الاسلامية	islamski	إِسلَامِيّ	ADV	ADJ;NOM;DEF;FEM;SG
islamski	اسلامي	islamski	إِسلَامِيّ	ADV	ADJ;NOM;INDF;MASC;SG
asteroida	الكويكب	asteroida	الكويكب	N;GEN;MASC;SG	
asteroida	كويكب	asteroida	كُوَيكب	N;GEN;MASC;SG	
asteroida	الكويكبات	asteroida	الكويكبات	N;GEN;MASC;SG	
vrta	حديقة	vrt	حَدِيقَة	N;GEN;MASC;SG	N;NOM;INDF;SG
vrta	الحديقة	vrt	حَدِيقَة	N;GEN;MASC;SG	N;NOM;DEF;SG
struke	المهنة	struka	مُهَنِّئ	N;NOM;FEM;PL	N;NOM;DEF;SG
struke	مهنة	struka	مِهنَة	N;NOM;FEM;PL	N;NOM;INDF;SG
prikazane	معروض	prikazati	مَعرُوض	ADJ;NOM;FEM;PL;V.PTCP	ADJ;NOM;INDF;MASC;SG
prikazane	معروضة	prikazati	مَعرُوض	ADJ;NOM;FEM;PL;V.PTCP	ADJ;NOM;INDF;FEM;SG
iznose	المبالغ	iznositi	مَبلَغ	V;IND;PL;3;PRS;FIN	N;NOM;DEF;PL
iznose	مبالغ	iznositi	مَبلَغ	V;IND;PL;3;PRS;FIN	N;NOM;INDF;SG
šesta	سادسا	šesta	سَادِس	ADJ;NOM;FEM;SG	
omogućeno	مكن	omogućiti	مَكَّن	ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS	V;PFV;MASC;SG;3;ACT
chu	تشو	ch	تشو	PROPN;NOM;MASC;SG	
glenn	جلين	glenn	جلين	PROPN;NOM;MASC;SG	
demokracija	ديمقراطية	demokracija	دِيمُقرَاطِيّ	N;NOM;FEM;SG	ADJ;NOM;INDF;FEM;SG
koplja	الرمح	koplje	رَمح	N;NOM;NEUT;PL	N;NOM;DEF;SG
koplja	رمح	koplje	رَمح	N;NOM;NEUT;PL	
materije	مسالة	materija	مَسأَلَة	N;NOM;FEM;PL	N;NOM;INDF;SG
materije	المسالة	materija	مَسأَلَة	N;NOM;FEM;PL	N;NOM;DEF;SG
berlina	برلين	berlina	بَرلِين	N;GEN;MASC;SG	
savi	سافي	sav	سافي	N;DAT;FEM;SG	
grafika	رسومات	grafik	رَسم	N;NOM;FEM;SG	N;NOM;INDF;PL
grafika	الرسومات	grafik	رَسمَة	N;NOM;FEM;SG	N;NOM;DEF;PL
nana	نانا	nan	نانا	N;NOM;FEM;SG	
antoine	انطوان	antoine	أَنطُوَان	N;NOM;MASC;SG	
strasti	شغف	strast	شغف	N;NOM;FEM;PL	
strasti	الهوى	strast	هُوَيّ	N;NOM;FEM;PL	N;NOM;DEF;SG
strasti	العاطفة	strast	عَاطِفَة	N;NOM;FEM;PL	N;NOM;DEF;SG
strasti	الشغف	strast	شَغف	N;NOM;FEM;PL	N;NOM;DEF;SG
mustela	m	mustel	فَ	N;NOM;FEM;SG	
prosvjeda	الاحتجاجات	prosvjed	اِحتِجَاج	N;GEN;MASC;SG	N;NOM;DEF;PL
prosvjeda	احتجاجات	prosvjed	اِحتِجَاج	N;GEN;MASC;SG	N;NOM;INDF;PL
prosvjeda	المظاهرات	prosvjed	المظاهرات	N;GEN;MASC;SG	N;NOM;DEF;PL
mont	مونت	mont	مونت	N;NOM;MASC;SG	
nataša	نتاشا	nataša	نَتَاش	N;NOM;FEM;SG	
nataša	ناتاشا	nataša	ناتاشا	N;NOM;FEM;SG	
matej	ماثيو	matej	مَاثِيُو	PROPN;NOM;MASC;SG	
kamiona	الشاحنات	kamion	شَاحِنَة	N;NOM;MASC;SG	N;NOM;DEF;PL
kamiona	شاحنات	kamion	شَاحِنَة	N;NOM;MASC;SG	N;NOM;INDF;PL
steel	الفولاذ	steel	فُولَاذ	ADP	N;NOM;DEF;SG
steel	ستيل	steel	سَتِيل	ADP	
steel	الصلب	steel	صُلب	ADP	N;NOM;DEF;SG
lily	ليلي	lily	لَيلِيّ	PROPN;NOM;MASC;SG	
lily	ليلى	lily	ليلى	PROPN;NOM;MASC;SG	
dvorištu	يارد	dvorište	ارد	N;DAT;NEUT;SG	
dvorištu	الساحة	dvorište	سَاحَة	N;DAT;NEUT;SG	N;NOM;DEF;SG
dvorištu	ساحة	dvorište	سَاحَة	N;DAT;NEUT;SG	N;NOM;INDF;SG
dvorištu	ياردة	dvorište	أَارِد	N;DAT;NEUT;SG	N;NOM;INDF;SG
dvorištu	فناء	dvorište	فِنَاء	N;DAT;NEUT;SG	N;NOM;INDF;SG
alonso	الونسو	alonso	اَلوُنسُو	N;NOM;MASC;SG	
kira	كيرا	kira	كَيرَا	N;ACC;MASC;SG	
inka	الانكا	inka	الانكا	N;NOM;MASC;SG	N;NOM;DEF;PL
ustavni	دستورية	ustavan	دُستُورِيّ	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;INDF;FEM;SG
ustavni	دستوري	ustavan	دُستُورِيّ	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;INDF;MASC;SG
newcastle	نيوكاسل	newcastle	نِيُوكَاسل	PROPN;NOM;MASC;SG	
ugrađeni	المضمنة	ugraditi	مَضمَنَة	ADJ;NOM;DEF;MASC;PL;V.PTCP	ADJ;NOM;DEF;FEM;SG
ugrađeni	مدمج	ugraditi	مدمج	ADJ;NOM;DEF;MASC;PL;V.PTCP	N;NOM;INDF;SG
laurent	لوران	laurent	لُورَان	PROPN;NOM;MASC;SG	
laurent	لورينت	laurent	لُورِينت	PROPN;NOM;MASC;SG	
pretjerano	مفرط	pretjerano	مفرط	ADV	ADJ;NOM;INDF;MASC;SG
pretjerano	فرط	pretjerano	فَرَط	ADV	
pretjerano	الافراط	pretjerano	إِفرَاط	ADV	N;NOM;DEF;SG
principa	مبادئ	princip	مَبدَأ	N;GEN;MASC;SG	N;NOM;INDF;PL
principa	المبادئ	princip	مَبدَأ	N;GEN;MASC;SG	N;NOM;DEF;PL
erik	ايريك	erik	أَيرِيك	N;NOM;MASC;SG	
erik	اريك	erik	أَرِيك	N;NOM;MASC;SG	
izotopa	النظائر	izotopa	نِظَائِر	N;GEN;MASC;SG	N;NOM;DEF;PL
mapa	خريطه	mapa	خريطه	N;NOM;FEM;SG	PRO;NOM;MASC;SG;3
ropstva	العبودية	ropstvo	عُبُودِيّ	N;NOM;NEUT;PL	N;NOM;DEF;SG
ropstva	عبودية	ropstvo	عُبُودِيّ	N;NOM;NEUT;PL	N;NOM;INDF;SG
ropstva	الاستعباد	ropstvo	اِستِعبَاد	N;NOM;NEUT;PL	N;NOM;DEF;SG
teoretski	نظري	teoretski	نَظَر	ADV	
uvjeren	ثقة	uvjeren	ثِقَة	ADJ;NOM;INDF;MASC;SG	N;NOM;INDF;SG
uvjeren	واثق	uvjeren	وَاثِق	ADJ;NOM;INDF;MASC;SG	
uvjeren	اقتنع	uvjeren	اِقتَنَع	ADJ;NOM;INDF;MASC;SG	V;PFV;MASC;SG;3;ACT
gregory	جريجوري	gregory	جريجوري	N;NOM;MASC;SG	
gregory	غريغوري	gregory	غريغوري	N;NOM;MASC;SG	
allmusic	allmu	allmusic	allmu	N;NOM;MASC;SG	
planirano	المخطط	planirati	مُخَطَّط	ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS	N;NOM;DEF;SG
operativni	التشغيل	operativan	تَشغِيل	ADJ;NOM;DEF;MASC;SG	N;NOM;DEF;SG
praga	براغ	praga	براغ	N;GEN;MASC;SG	
ahmad	احمد	ahmad	احمد	PROPN;NOM;MASC;SG	
manning	مانينغ	manning	مانينغ	PROPN;NOM;MASC;SG	
prihvati	نقبل	prihvatiti	نقبل	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;PL;1;FIN;ACT
prihvati	قبول	prihvatiti	قُبُول	V;IND;SG;3;PRS;FIN	N;NOM;INDF;SG
odgovori	اجابة	odgovor	إِجَابَة	N;NOM;MASC;PL	N;NOM;INDF;SG
odgovori	الاجابة	odgovor	إِجَابَة	N;NOM;MASC;PL	N;NOM;DEF;SG
odgovori	جواب	odgovor	جَابّ	N;NOM;MASC;PL	N;NOM;INDF;SG
odgovori	الجواب	odgovor	جَوَاب	N;NOM;MASC;PL	N;NOM;DEF;SG
odgovori	الرد	odgovor	رَدّ	N;NOM;MASC;PL	N;NOM;DEF;SG
odgovori	رد	odgovor	رَدّ	N;NOM;MASC;PL	V;PFV;MASC;SG;3;ACT
registar	سجل	registar	سَجَّل	N;NOM;MASC;SG	V;PFV;MASC;SG;3;ACT
godišnjak	الحولية	godišnjak	حَولِيّ	N;NOM;MASC;SG	
godišnjak	حولية	godišnjak	حَولِيّ	N;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
paše	ملائم	pašiti	مُلَائِم	V;IND;SG;3;PRS;FIN	ADJ;NOM;INDF;MASC;SG
standarde	معايير	standard	مِعيَار	N;ACC;MASC;PL	N;NOM;INDF;PL
standarde	المقاييس	standard	مِقيَاس	N;ACC;MASC;PL	N;NOM;DEF;PL
standarde	المعايير	standard	مِعيَار	N;ACC;MASC;PL	N;NOM;DEF;PL
zmaju	تنين	zma	تَنَيَّن	N;DAT;MASC;SG	
zmaju	التنين	zma	تَنَيَّن	N;DAT;MASC;SG	N;NOM;DEF;SG
privremeni	مؤقتا	privremen	مُؤَقَّت	ADJ;NOM;DEF;MASC;SG	ADJ;ACC;INDF;MASC;SG
privremeni	مؤقتة	privremen	مُؤَقَّت	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;INDF;FEM;SG
privremeni	مؤقت	privremen	مُؤَقَّت	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;INDF;MASC;SG
istrage	التحقيق	istraga	تَحقِيق	N;NOM;FEM;PL	N;NOM;DEF;SG
istrage	تحقيق	istraga	تَحقِيق	N;NOM;FEM;PL	N;NOM;INDF;SG
deveti	تاسعا	deveti	تَاسِع	ADJ;NOM;MASC;SG	ADJ;ACC;INDF;MASC;SG
tajland	تايلند	tajland	تايلند	PROPN;NOM;MASC;SG	
tajland	تايلاند	tajland	تَايلَاند	PROPN;NOM;MASC;SG	
prijateljska	ودية	prijateljski	وُدِّيّ	ADJ;NOM;DEF;FEM;SG	ADJ;NOM;INDF;FEM;SG
prijateljska	ودي	prijateljski	وُدِّيّ	ADJ;NOM;DEF;FEM;SG	
biološki	البيولوجية	biološki	بِيُولُوجِيّ	ADV	
biološki	بيولوجية	biološki	بِيُولُوجِيّ	ADV	ADJ;NOM;INDF;FEM;SG
biološki	بيولوجي	biološki	بيولوجي	ADV	N;NOM;INDF;SG
biološki	بيولوجيا	biološki	بيولوجيا	ADV	
pokušavajući	المحاولة	pokušavati	مُحَاوَلَة	ADV;RL	N;NOM;DEF;SG
pokušavajući	احاول	pokušavati	احاول	ADV;RL	
umijeće	المهارات	umijeće	مَهَارَة	N;NOM;NEUT;SG	N;NOM;DEF;PL
umijeće	مهارات	umijeće	مهارات	N;NOM;NEUT;SG	N;NOM;INDF;PL
stolica	كرسي	stolica	كرسي	N;NOM;FEM;SG	
angelo	انجلو	angelo	أَنجَلُو	N;NOM;MASC;SG	
angelo	انجيلو	angelo	أَنجِيلُو	N;NOM;MASC;SG	
kornjača	تورتل	kornjača	تَوَرُّل	N;NOM;FEM;SG	
oštećen	تضررت	oštetiti	تَضَرَّر	ADJ;NOM;MASC;SG;V.PTCP	V;PFV;FEM;SG;3;ACT
oštećen	متضرر	oštetiti	مُتَضَرِّر	ADJ;NOM;MASC;SG;V.PTCP	N;NOM;INDF;SG
katastrofa	الكوارث	katastrofa	كَارِثَة	N;NOM;FEM;SG	N;NOM;DEF;PL
uzastopnih	متتالية	uzastopan	مُتَتَالِي	ADJ;GEN;DEF;MASC;PL	ADJ;NOM;INDF;FEM;SG
višestruko	المتعددة	višestruko	مُتَعَدِّد	ADV	ADJ;NOM;DEF;FEM;SG
višestruko	تعدد	višestruko	عَدَّد	ADV	N;NOM;INDF;SG
višestruko	متعدد	višestruko	مُتَعَدِّد	ADV	ADJ;NOM;INDF;MASC;SG
višestruko	متعددة	višestruko	مُتَعَدِّد	ADV	ADJ;NOM;INDF;FEM;SG
ljiljana	الزنابق	ljiljana	زُنبُقَة	PROPN;NOM;FEM;SG	
pionir	رائدة	pionir	رَائِدَة	N;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
pionir	رائدا	pionir	رَائِد	N;NOM;MASC;SG	ADJ;ACC;INDF;MASC;SG
pionir	بايونير	pionir	بايونير	N;NOM;MASC;SG	
pionir	رائدة	pionir	رَائِدَة	N;NOM;MASC;SG	ADJ;NOM;INDF;FEM;SG
jaje	بيض	jaje	بَيض	N;NOM;NEUT;SG	
ted	تيد	ted	تيد	PROPN;NOM;MASC;SG	
ted	تد	ted	تَدّ	PROPN;NOM;MASC;SG	V;IPFV;FEM;IND;SG;3;FIN;ACT
višestruki	تعدد	višestruk	عَدَّد	ADJ;NOM;DEF;MASC;SG	N;NOM;INDF;SG
višestruki	متعدد	višestruk	مُتَعَدِّد	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;INDF;MASC;SG
višestruki	متعددة	višestruk	مُتَعَدِّد	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;INDF;FEM;SG
mana	مانا	mana	مانا	N;NOM;FEM;SG	
oštećena	تضررت	oštetiti	تَضَرَّر	ADJ;NOM;DEF;FEM;SG;V.PTCP	V;PFV;FEM;SG;3;ACT
oštećena	متضررة	oštetiti	مُتَضَرِّر	ADJ;NOM;DEF;FEM;SG;V.PTCP	ADJ;NOM;INDF;FEM;SG
oštećena	متضرر	oštetiti	مُتَضَرِّر	ADJ;NOM;DEF;FEM;SG;V.PTCP	N;NOM;INDF;SG
promociju	الترويج	promocija	تَروِيج	N;ACC;FEM;SG	N;NOM;DEF;SG
promociju	الترقية	promocija	تُرقِيّ	N;ACC;FEM;SG	N;NOM;DEF;SG
promociju	الترقيات	promocija	تُرقِيّ	N;ACC;FEM;SG	N;NOM;DEF;PL
promociju	ترويج	promocija	تَروِيج	N;ACC;FEM;SG	N;NOM;INDF;SG
promociju	تعزيز	promocija	تَعزِيز	N;ACC;FEM;SG	N;NOM;INDF;SG
promociju	ترقية	promocija	تَرقِيَة	N;ACC;FEM;SG	N;NOM;INDF;SG
