और	ja	और	ja		CONJ
प्लास्टिक	muovin	प्लास्टिक	muovi	N;NOM;MASC;SG;3	N;GEN;SG
प्लास्टिक	muovia	प्लास्टिक	muovi	N;NOM;MASC;SG;3	N;PRT;SG
प्लास्टिक	muovinen	प्लास्टिक	muovinen	N;NOM;MASC;SG;3	ADJ;NOM;SG
प्रकरण	jakson	प्रकरण	jakso	N;NOM;MASC;SG;3	N;GEN;SG
मानकों	standardit	मानक	standardi	N;ACC;MASC;PL;3	N;NOM;PL
मानकों	standardeja	मानक	standardi	N;ACC;MASC;PL;3	N;PRT;PL
मानकों	standardien	मानक	standardi	N;ACC;MASC;PL;3	N;GEN;PL
मानकों	normit	मानक	normi	N;ACC;MASC;PL;3	N;NOM;PL
ब्रह्मा	brahma	ब्रह्मा	brahma	PROPN;NOM;MASC;SG;3	N;NOM;SG
वयस्क	aikuiset	वयस्क	aikuinen		N;NOM;PL
वयस्क	aikuinen	वयस्क	aikuinen		ADJ;NOM;SG
वयस्क	aikuista	वयस्क	aiku		N;IN+ABL;PL
वयस्क	aikuisten	वयस्क	aikuinen		N;GEN;PL
वयस्क	kypsä	वयस्क	kypsä		ADJ;NOM;SG
वयस्क	kypsää	वयस्क	kypsä		ADJ;PRT;SG
ब्लॉक	korttelia	ब्लॉक	kortteli	N;NOM;MASC;SG;3	N;PRT;SG
ब्लॉक	estä	ब्लॉक	estää	N;NOM;MASC;SG;3	V;IMP;SG;2;FIN;ACT
ब्लॉक	korttelin	ब्लॉक	kortteli	N;NOM;MASC;SG;3	V;IND;SG;1;PST;FIN;ACT
समुदायों	yhteisöt	समुदाय	yhteisö	N;ACC;MASC;PL;3	N;NOM;PL
समुदायों	yhteisöjen	समुदाय	yhteisö	N;ACC;MASC;PL;3	N;GEN;PL
प्लेट	lautasen	प्लेट	lautanen	N;NOM;FEM;SG;3	N;GEN;SG
मुसलमान	muslimi	मुसलमान	muslimi	N;NOM;MASC;PL;3	N;NOM;SG
मुसलमान	muslimien	मुसलमान	muslimi	N;NOM;MASC;PL;3	N;GEN;PL
मुसलमान	muslimien	मुसलमान	muslimi	N;NOM;MASC;PL;3	N;GEN;PL
मुसलमान	muslimeja	मुसलमान	muslimi	N;NOM;MASC;PL;3	N;PRT;PL
संगठित	järjestäytyneen	संगठित	järjestäytynyt	ADJ	V;GEN;SG;V.PTCP;ACT
संगठित	järjestäytynyt	संगठित	järjestäytyä	ADJ	V;NOM;SG;V.PTCP;ACT
संगठित	järjestetty	संगठित	järjestää	ADJ	V;NOM;SG;V.PTCP;PASS
संगठित	järjestäytyneen	संगठित	järjestäytynyt	ADJ	V;GEN;SG;V.PTCP;ACT
संगठित	järjestäytynyt	संगठित	järjestäytyä	ADJ	V;NOM;SG;V.PTCP;ACT
संगठित	järjestetty	संगठित	järjestää	ADJ	V;NOM;SG;V.PTCP;PASS
समन्वय	koordinaatiota	समन्वय	koordinaatio	N;NOM;MASC;SG;3	N;PRT;SG
स्वीकृति	hyväksynnän	स्वीकृति	hyväksyntä	N;NOM;FEM;SG;3	N;GEN;SG
स्वीकृति	hyväksyntää	स्वीकृति	hyväksyntä	N;NOM;FEM;SG;3	N;PRT;SG
स्वीकृति	hyväksy	स्वीकृति	hyväksyä	N;NOM;FEM;SG;3	V;IMP;SG;2;FIN;ACT
स्वीकृति	hyväksyä	स्वीकृति	hyväksyä	N;NOM;FEM;SG;3	V;SG;NFIN;ACT
पटेल	patel	पटेल	patel	PROPN;NOM;SG;3	PROPN;NOM;SG
पीने	juomisen	पी	juominen	V;NFIN;ACT	N;GEN;SG
पीने	juoma	पी	juoma	V;NFIN;ACT	N;NOM;SG
पीने	juominen	पी	juominen	V;NFIN;ACT	N;NOM;SG
असली	real	असली	real	ADJ;NOM	
असली	todellista	असली	todellinen	ADJ;NOM	ADJ;PRT;SG
पैसे	raha	पैसा	raha	N;NOM;MASC;PL;3	N;NOM;SG
पैसे	rahaa	पैसा	raha	N;NOM;MASC;PL;3	N;PRT;SG
उद्यम	yrittäjyyttä	उद्यम	yrittäjyys	N;NOM;MASC;SG;3	N;PRT;SG
उद्यम	yrittäjyyden	उद्यम	yrittäjyys	N;NOM;MASC;SG;3	N;GEN;SG
उद्यम	enterprise	उद्यम	enterprise	N;NOM;MASC;SG;3	
शुष्क	kuivaa	शुष्क	kuiva	N;NOM;MASC;SG;3	ADJ;PRT;SG
शुष्क	kuivat	शुष्क	kuiva	N;NOM;MASC;SG;3	ADJ;NOM;PL
शुष्क	kuiva	शुष्क	kuiva	N;NOM;MASC;SG;3	ADJ;NOM;SG
शुरुआती	aloittelija	शुरुआती	aloittelija	ADJ	N;NOM;SG
मेट्रो	metro	मेट्रो	metro	PROPN;NOM;MASC;SG;3	N;NOM;SG
नव	nav	नव	navi		N;NOM;SG
गर्मियों	kesällä	गर्मी	kesä	N;ACC;FEM;PL;3	N;AT+ESS
;SG
गर्मियों	kesää	गर्मी	kesä	N;ACC;FEM;PL;3	N;PRT;SG
गर्मियों	suvi	गर्मी	suvi	N;ACC;FEM;PL;3	PROPN;NOM;SG
गर्मियों	kesä	गर्मी	kesä	N;ACC;FEM;PL;3	N;NOM;SG
प्रकाशक	kustantajien	प्रकाशक	kustantaja	N;NOM;MASC;SG;3	N;GEN;PL
स्वीडन	ruotsissa	स्वीडन	ruotsi	PROPN;NOM;MASC;SG;3	N;IN+ESS;SG
स्वीडन	ruotsi	स्वीडन	ruotsi	PROPN;NOM;MASC;SG;3	N;NOM;SG
गाय	lehmän	गाय	lehmä		N;GEN;SG
गाय	lehmä	गाय	lehmä		N;NOM;SG
प्रशांत	tyyni	प्रशांत	tyyni	PROPN;NOM;MASC;SG;3	N;NOM;SG
प्रशांत	tyynenmeren	प्रशांत	tyyni#meri	PROPN;NOM;MASC;SG;3	N;GEN;SG
प्रशांत	pacific	प्रशांत	pacific	PROPN;NOM;MASC;SG;3	
खाली	tyhjennä	खाली	tyhjentää	ADJ	V;IMP;SG;2;FIN;ACT
किसानों	viljelijöiden	किसान	viljelijä	N;ACC;MASC;PL;3	N;GEN;PL
किसानों	maanviljelijät	किसान	maan#viljelijä	N;ACC;MASC;PL;3	N;NOM;PL
किसानों	viljelijät	किसान	viljelijä	N;ACC;MASC;PL;3	N;NOM;PL
किसानों	viljelijöille	किसान	viljelijä	N;ACC;MASC;PL;3	N;AT+ALL;PL
किसानों	maanviljelijöitä	किसान	maa#viljelijä	N;ACC;MASC;PL;3	N;PRT;PL
प्रतिष्ठा	arvostusta	प्रतिष्ठा	arvostus	N;NOM;FEM;SG;3	N;PRT;SG
प्रतिष्ठा	arvovaltaa	प्रतिष्ठा	arvo#valta	N;NOM;FEM;SG;3	N;PRT;SG
प्रतिष्ठा	mainetta	प्रतिष्ठा	maine	N;NOM;FEM;SG;3	N;PRT;SG
हार्ट	hart	हार्ट	hart	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG
सर्विस	huollettu	सर्विस	huoltaa	N;NOM;FEM;SG;3	V;NOM;SG;V.PTCP;PASS
मुद्दे	ongelmia	मुद्दा	ongelma	N;NOM;MASC;PL;3	N;PRT;PL
मुद्दे	kysymyksiä	मुद्दा	kysymys	N;NOM;MASC;PL;3	N;PRT;PL
चाय	teetä	चाय	tee	N;NOM;FEM;SG;3	N;PRT;SG
चाय	tee	चाय	tehdä	N;NOM;FEM;SG;3	V;IMP;SG;2;FIN;ACT
छत	kattoon	छत	katto	N;NOM;FEM;SG;3	N;IN+ALL;SG
छत	katolla	छत	katto	N;NOM;FEM;SG;3	N;AT+ESS
;SG
छत	terassilla	छत	terassi	N;NOM;FEM;SG;3	N;AT+ESS
;SG
छत	kattoa	छत	katto	N;NOM;FEM;SG;3	N;PRT;SG
छत	katon	छत	katto	N;NOM;FEM;SG;3	N;GEN;SG
अनुमानित	arvio	अनुमानित	arvio	ADJ	N;NOM;SG
अनुमानित	arvioidut	अनुमानित	arvioida	ADJ	V;NOM;PL;V.PTCP;PASS
अनुमानित	arviolta	अनुमानित	arvio	ADJ	N;AT+ABL;SG
अनुमानित	arvioitu	अनुमानित	arvioida	ADJ	V;NOM;SG;V.PTCP;PASS
होली	holly	होली	holly	PROPN;NOM;FEM;SG;3	PROPN;NOM;SG
गिरफ्तार	pidätys	गिरफ्तार	pidätys	ADJ	N;NOM;SG
गिरफ्तार	pidätetty	गिरफ्तार	pidättää	ADJ	V;NOM;SG;V.PTCP;PASS
गिरफ्तार	pidätykset	गिरफ्तार	pidätys	ADJ	N;NOM;PL
गिरफ्तार	pidättää	गिरफ्तार	pidättää	ADJ	V;IND;SG;3;PRS;FIN;ACT
गिरफ्तार	pidätetty	गिरफ्तार	pidättää	ADJ	V;NOM;SG;V.PTCP;PASS
गिरफ्तार	pidätettynä	गिरफ्तार	pidättää	ADJ	V;FRML;SG;V.PTCP;PASS
गिरफ्तार	pidätettiin	गिरफ्तार	pidättää	ADJ	V;IND;PST;FIN;PASS
मारा	mara	मार	mara	V;PFV;MASC;SG;V.PTCP;ACT	INTJ
माइक्रोसॉफ्ट	microsoftin	माइक्रोसॉफ्ट	microsoft	PROPN;NOM;MASC;SG;3	N;GEN;SG
माइक्रोसॉफ्ट	microsoft	माइक्रोसॉफ्ट	microsoft	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG
आवाज़	ääntä	आवाज़	ääni	N;NOM;FEM;SG;3	N;PRT;SG
आवाज़	äänen	आवाज़	ääni	N;NOM;FEM;SG;3	N;GEN;SG
चाल	siirrä	चाल	siirtä	N;NOM;FEM;SG;3	V;IMP;SG;2;FIN;ACT
चाल	siirry	चाल	siirtyä	N;NOM;FEM;SG;3	V;IMP;SG;2;FIN;ACT
चाल	siirtyy	चाल	siirtyä	N;NOM;FEM;SG;3	V;IND;SG;3;PRS;FIN;ACT
चाल	liikkuu	चाल	liikkua	N;NOM;FEM;SG;3	V;IND;SG;3;PRS;FIN;ACT
चाल	liikkeet	चाल	liike	N;NOM;FEM;SG;3	N;NOM;PL
कोलंबिया	kolumbia	कोलंबिया	kolumbi	PROPN;NOM;MASC;SG;3	N;NOM;SG
कोलंबिया	columbia	कोलंबिया	columb	PROPN;NOM;MASC;SG;3	N;NOM;SG
कोलंबिया	kolumbian	कोलंबिया	kolumbia	PROPN;NOM;MASC;SG;3	N;GEN;SG
कोलंबिया	kolumbia	कोलंबिया	kolumbi	PROPN;NOM;MASC;SG;3	N;NOM;SG
दुर्गा	durga	दुर्गा	durga	PROPN;NOM;FEM;SG;3	N;NOM;SG
मौखिक	suullinen	मौखिक	suullinen		ADJ;NOM;SG
मौखिक	suullisen	मौखिक	suullinen		ADJ;GEN;SG
मौखिक	suullinen	मौखिक	suullinen		ADJ;NOM;SG
रथ	vaunut	रथ	vaunu	N;NOM;MASC;SG;3	N;NOM;PL
चलाया	toteutettu	चला	toteuttaa	V;PFV;MASC;SG;V.PTCP;ACT	V;NOM;SG;V.PTCP;PASS
चलाया	teloitettiin	चला	teloittaa	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;PST;FIN;PASS
गर्भ	kohdun	गर्भ	kohtu	N;NOM;MASC;SG;3	N;GEN;SG
गर्भ	kohdussa	गर्भ	kohtu	N;NOM;MASC;SG;3	N;IN+ESS;SG
रहें	jää	रह	jäädä	V;SBJV;PL;FIN;ACT	V;IND;SG;3;PRS;FIN;ACT
रहें	pysy	रह	pysyä	V;SBJV;PL;FIN;ACT	V;IMP;SG;2;FIN;ACT
ध्रुव	tanko	ध्रुव	tanko	PROPN;NOM;MASC;SG;3	N;NOM;SG
ध्रुव	pole	ध्रुव	pole	PROPN;NOM;MASC;SG;3	N;NOM;SG
विनिमय	vaihtaa	विनिमय	vaihtaa	N;NOM;MASC;SG;3	V;SG;NFIN;ACT
विनिमय	vaihtoon	विनिमय	vaihto	N;NOM;MASC;SG;3	N;IN+ALL;SG
भोपाल	bhopalin	भोपाल	bhopali	PROPN;NOM;MASC;SG;3	N;GEN;SG
बहस	keskustelua	बहस	keskustelu	N;NOM;FEM;SG;3	N;PRT;SG
कथित	oletettu	कथित	olettaa	ADJ;NOM	V;NOM;SG;V.PTCP;PASS
कथित	väitti	कथित	väittää	ADJ;NOM	V;IND;SG;3;PST;FIN;ACT
कथित	väitetty	कथित	väittää	ADJ;NOM	V;NOM;SG;V.PTCP;PASS
ड्राइव	aja	ड्राइव	aja	N;NOM;MASC;SG;3	V;IMP;SG;2;FIN;ACT
ड्राइव	ajaa	ड्राइव	ajaa	N;NOM;MASC;SG;3	V;SG;NFIN;ACT
ड्राइव	ajaa	ड्राइव	ajaa	N;NOM;MASC;SG;3	V;SG;NFIN;ACT
कोर	kuoron	कोर	kuoro		N;GEN;SG
कोर	kuoro	कोर	kuoro		N;NOM;SG
कोर	ytimen	कोर	ydin		N;GEN;SG
कोर	ytimessä	कोर	ydin		N;IN+ESS;SG
कोर	ydin	कोर	ydin		N;NOM;SG
कोर	hillitä	कोर	hillitä		V;SG;NFIN;ACT
नियुक्ति	tapaamisia	नियुक्ति	tapaaminen	N;NOM;FEM;SG;3	N;PRT;PL
नियुक्ति	tapaamiset	नियुक्ति	tapaaminen	N;NOM;FEM;SG;3	N;NOM;PL
नियुक्ति	nimityksiä	नियुक्ति	nimitys	N;NOM;FEM;SG;3	N;PRT;PL
नियुक्ति	nimitykset	नियुक्ति	nimitys	N;NOM;FEM;SG;3	N;NOM;PL
नियुक्ति	työllisyyden	नियुक्ति	työllisyys	N;NOM;FEM;SG;3	N;GEN;SG
नियुक्ति	työpaikat	नियुक्ति	työ#paikka	N;NOM;FEM;SG;3	N;NOM;PL
बहती	virrat	बह	virra	V;IPFV;FEM;SG;V.PTCP;ACT	N;NOM;PL
बहती	virtaa	बह	virta	V;IPFV;FEM;SG;V.PTCP;ACT	N;PRT;SG
बहती	virtaa	बह	virta	V;IPFV;FEM;SG;V.PTCP;ACT	N;PRT;SG
विटामिन	vitamiineja	विटामिन	vitamiini	N;NOM;MASC;SG;3	N;PRT;PL
विटामिन	vitamiinia	विटामिन	vitamiini	N;NOM;MASC;SG;3	N;PRT;SG
विटामिन	vitamiinia	विटामिन	vitamiini	N;NOM;MASC;SG;3	N;PRT;SG
खून	blood	खून	blood	N;NOM;MASC;SG;3	
खून	verta	खून	veri	N;NOM;MASC;SG;3	N;PRT;SG
उपयोगकर्ताओं	käyttäjät	उपयोगकर्ता	käyttäjä	N;ACC;MASC;PL;3	N;NOM;PL
उपयोगकर्ताओं	käyttäjien	उपयोगकर्ता	käyttäjä	N;ACC;MASC;PL;3	N;GEN;PL
उपयोगकर्ताओं	käyttäjiä	उपयोगकर्ता	käyttäjä	N;ACC;MASC;PL;3	N;PRT;PL
एड्स	aids	एड्स	aids	PROPN;NOM;MASC;SG;3	N;NOM;SG
एड्स	tuet	एड्स	tuki	PROPN;NOM;MASC;SG;3	N;NOM;PL
एड्स	aidsin	एड्स	aitsi	PROPN;NOM;MASC;SG;3	N;GEN;SG
बाग	bagh	बाग	bagh	N;NOM;MASC;SG;3	PROPN;NOM;SG
बर्मा	burma	बर्मा	burma	PROPN;NOM;MASC;SG;3	N;NOM;SG
बर्मा	burmassa	बर्मा	burma	PROPN;NOM;MASC;SG;3	N;IN+ESS;SG
बर्मा	burman	बर्मा	burma	PROPN;NOM;MASC;SG;3	N;GEN;SG
डच	hollannin	डच	hollanti		N;GEN;SG
डच	hollantilainen	डच	hollantilainen		ADJ;NOM;SG
डच	alankomaiden	डच	alan#komaa		N;GEN;PL
डच	hollanti	डच	hollanti		N;NOM;SG
चौथी	neljänneksi	चौथी	neljäs	ADJ;NOM;FEM;SG	ADJ;TRANS;SG
वंशज	jälkeläinen	वंशज	jälkeläinen	N;NOM;MASC;PL;3	N;NOM;SG
उम्मीदवार	ehdokkaiden	उम्मीदवार	ehdokas	N;NOM;MASC;PL;3	N;GEN;PL
उम्मीदवार	ehdokkaita	उम्मीदवार	ehdokas	N;NOM;MASC;PL;3	N;PRT;PL
उम्मीदवार	ehdokas	उम्मीदवार	ehdokas	N;NOM;MASC;PL;3	N;NOM;SG
उम्मीदवार	ehdokkaana	उम्मीदवार	ehdokas	N;NOM;MASC;PL;3	N;FRML;SG
उम्मीदवार	hakija	उम्मीदवार	hakija	N;NOM;MASC;PL;3	N;NOM;SG
उम्मीदवार	ehdokkaan	उम्मीदवार	ehdokas	N;NOM;MASC;PL;3	N;GEN;SG
प्रभावों	impressionismista	प्रभाव	impressi#onismi	N;ACC;MASC;PL;3	N;IN+ABL;SG
ग्रहों	planeetta	ग्रह	planeetta	N;ACC;MASC;PL;3	N;NOM;SG
ग्रहों	planeetan	ग्रह	planeetta	N;ACC;MASC;PL;3	N;GEN;SG
ग्रहों	planeetat	ग्रह	planeetta	N;ACC;MASC;PL;3	N;NOM;PL
ग्रहों	planeettoja	ग्रह	planeetta	N;ACC;MASC;PL;3	N;PRT;PL
भ्रष्टाचार	lahjontaa	भ्रष्टाचार	lahjonta	N;NOM;MASC;SG;3	N;PRT;SG
भ्रष्टाचार	korruption	भ्रष्टाचार	korruptio	N;NOM;MASC;SG;3	N;GEN;SG
भ्रष्टाचार	korruptiota	भ्रष्टाचार	korruptio	N;NOM;MASC;SG;3	N;PRT;SG
सलाहकार	neuvoa	सलाहकार	neuvo	N;NOM;MASC;SG;3	N;PRT;SG
पठार	kynnyksen	पठार	kynnys	N;NOM;MASC;SG;3	N;GEN;SG
पठार	plateau	पठार	platea	N;NOM;MASC;SG;3	
कन्नड़	kannada	कन्नड़	kannat	PROPN;NOM;MASC;SG;3	N;NOM;SG
चलचित्र	elokuvan	चलचित्र	elo#kuva	N;NOM;MASC;SG;3	N;GEN;SG
नोकिया	nokia	नोकिया	noki	N;NOM;MASC;SG;3	PROPN;NOM;SG
चमक	loistaa	चमक	loistaa	N;NOM;FEM;SG;3	V;IND;SG;3;PRS;FIN;ACT
चमक	heh	चमक	heh	N;NOM;FEM;SG;3	INTJ
हिल	kukkulalle	हिल	kukkula		N;AT+ALL;SG
हिल	mäki	हिल	mäki		N;NOM;SG
हिल	hill	हिल	hillemmäk		PROPN;NOM;SG
नैदानिक	kliiniset	नैदानिक	kliininen	N;NOM;MASC;SG;3	ADJ;NOM;PL
नैदानिक	kliininen	नैदानिक	kliininen	N;NOM;MASC;SG;3	ADJ;NOM;SG
अद्भुत	uskomatonta	अद्भुत	uskomaton	PROPN;NOM;MASC;SG;3	ADJ;PRT;SG
अद्भुत	upeaa	अद्भुत	upea	PROPN;NOM;MASC;SG;3	ADJ;PRT;SG
अद्भुत	ihanat	अद्भुत	ihana	PROPN;NOM;MASC;SG;3	ADJ;NOM;PL
अद्भुत	ihanaa	अद्भुत	ihana	PROPN;NOM;MASC;SG;3	ADJ;PRT;SG
अद्भुत	ihana	अद्भुत	ihana	PROPN;NOM;MASC;SG;3	ADJ;NOM;SG
एकत्रित	kerätään	एकत्रित	kerätä	ADJ	V;IND;PRS;FIN;PASS
एकत्रित	kerätyt	एकत्रित	kerätä	ADJ	V;NOM;PL;V.PTCP;PASS
एकत्रित	kerätty	एकत्रित	kerätä	ADJ	V;NOM;SG;V.PTCP;PASS
एकत्रित	kerätä	एकत्रित	kerätä	ADJ	V;SG;NFIN;ACT
एकत्रित	kerää	एकत्रित	kerätä	ADJ	V;IMP;SG;2;FIN;ACT
इकाइयों	yksikköä	इकाई	yksikkö	N;ACC;FEM;PL;3	N;PRT;SG
इकाइयों	yksiköt	इकाई	yksikkö	N;ACC;FEM;PL;3	N;NOM;PL
तोड़	smash	तोड़	smash	V;ACT	N;NOM;SG
शाखाओं	oksat	शाखा	oksa	N;ACC;FEM;PL;3	N;NOM;PL
दशकों	vuosikymmeniä	दशक	vuosikymmen	N;NOM;MASC;PL;3	N;PRT;PL
दशकों	vuosikymmenten	दशक	vuosi#kymmen	N;NOM;MASC;PL;3	N;GEN;PL
दशकों	vuosikymmenien	दशक	vuosikymmen	N;NOM;MASC;PL;3	N;GEN;PL
दशकों	vuosikymmen	दशक	vuosi#kymmen	N;NOM;MASC;PL;3	N;NOM;SG
खतरे	uhkauksia	खतरा	uhkaus	N;NOM;MASC;SG;3	N;PRT;PL
खतरे	uhat	खतरा	uhat	N;NOM;MASC;SG;3	N;NOM;PL
खतरे	uhkia	खतरा	uhka	N;NOM;MASC;SG;3	N;PRT;PL
खतरे	vaaraa	खतरा	vaara	N;NOM;MASC;SG;3	N;PRT;SG
टूर	tour	टूर	tour	N;NOM;MASC;SG;3	PROPN;NOM;SG
हमारा	meijän	हम	miejä	PRO;MASC;PL;1	ADV
हमारा	meidän	हम	minä	PRO;MASC;PL;1	PRO;GEN;PL;1
पाल	paul	पाल	paul		PROPN;NOM;SG
पाल	paavali	पाल	paavali		N;NOM;SG
पाल	pauli	पाल	pauli		N;NOM;SG
पाल	purjehtia	पाल	purjehtia		V;SG;NFIN;ACT
पाल	purjeet	पाल	purje		N;NOM;PL
पाल	pal	पाल	pal		N;NOM;SG
निर्दिष्ट	täsmennetty	निर्दिष्ट	täsmentää	PROPN;NOM;MASC;SG;3	V;NOM;SG;V.PTCP;PASS
निर्दिष्ट	määritetyt	निर्दिष्ट	määrittää	PROPN;NOM;MASC;SG;3	V;NOM;PL;V.PTCP;PASS
निर्दिष्ट	määritellyt	निर्दिष्ट	määritellä	PROPN;NOM;MASC;SG;3	V;NOM;SG;V.PTCP;ACT
निर्दिष्ट	määritetty	निर्दिष्ट	määrittää	PROPN;NOM;MASC;SG;3	V;NOM;SG;V.PTCP;PASS
निर्दिष्ट	määritelty	निर्दिष्ट	määritellä	PROPN;NOM;MASC;SG;3	V;NOM;SG;V.PTCP;PASS
जोड़े	parit	जोड़	pari	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;PL
निर्माताओं	valmistajien	निर्माता	valmistaja	N;ACC;MASC;PL;3	N;GEN;PL
निर्माताओं	valmistajat	निर्माता	valmistaja	N;ACC;MASC;PL;3	N;NOM;PL
बजट	talousarvion	बजट	talous#arvio	N;NOM;MASC;SG;3	N;GEN;SG
मौका	chance	मौका	chance	N;NOM;MASC;SG;3	
समर्थक	päähenkilö	समर्थक	pää#henkilö	N;NOM;MASC;PL;3	N;NOM;SG
समर्थक	kannattajia	समर्थक	kannattaja	N;NOM;MASC;PL;3	N;PRT;PL
समर्थक	kannattaja	समर्थक	kannattaja	N;NOM;MASC;PL;3	N;NOM;SG
समर्थक	tukija	समर्थक	tukija	N;NOM;MASC;PL;3	N;NOM;SG
पॉप	pop	पॉप	pop	PROPN;NOM;MASC;SG;3	N;NOM;SG
खबर	uutisia	खबर	uutinen	N;NOM;FEM;SG;3	N;PRT;PL
खबर	uutiset	खबर	uutinen	N;NOM;FEM;SG;3	N;NOM;PL
खबर	ajankohtaista	खबर	ajan#kohtainen	N;NOM;FEM;SG;3	ADJ;PRT;SG
स्कूलों	koulut	स्कूल	koulu	N;ACC;MASC;PL;3	N;NOM;PL
स्कूलों	kouluja	स्कूल	koulu	N;ACC;MASC;PL;3	N;PRT;PL
मासिक	kuukausittainen	मासिक	kuu#kausittainen	N;NOM;MASC;SG;3	ADJ;NOM;SG
मासिक	kuukausittaiset	मासिक	kuu#kausittainen	N;NOM;MASC;SG;3	ADJ;NOM;PL
मासिक	kuukausittain	मासिक	kuukausittain	N;NOM;MASC;SG;3	ADV
कणों	hiukkasia	कण	hiukkanen	N;NOM;MASC;PL;3	N;PRT;PL
प्रबल	määräävän	प्रबल	määrätä		V;GEN;SG;V.PTCP;ACT
प्रबल	määräävä	प्रबल	määräävä		ADJ;NOM;SG
आलोचकों	kriitikot	आलोचक	kriitikko	N;ACC;MASC;PL;3	N;NOM;PL
तकनीकों	tekniikat	तकनीक	tekniikka	N;ACC;FEM;PL;3	N;NOM;PL
तकनीकों	tekniikoita	तकनीक	tekniikka	N;ACC;FEM;PL;3	N;PRT;PL
विभक्त	jaettuna	विभक्त	jakaa	ADJ	V;FRML;SG;V.PTCP;PASS
विभक्त	jaettu	विभक्त	jakaa	ADJ	V;NOM;SG;V.PTCP;PASS
एयरलाइंस	lentoyhtiöiden	एयरलाइन	lento#yhtiö	N;NOM;FEM;PL;3	N;GEN;PL
एयरलाइंस	airlines	एयरलाइन	airlines	N;NOM;FEM;PL;3	N;NOM;SG
अवैध	laittoman	अवैध	laiton	ADJ;NOM	ADJ;GEN;SG
जीवाणु	bakteerit	जीवाणु	bakteeri	N;NOM;MASC;SG;3	N;NOM;PL
हाँ	kyllä	हाँ	kyllä		ADV
राजीव	rajiv	राजीव	rajiv	PROPN;NOM;MASC;SG;3	N;NOM;SG
शिकागो	chicagoon	शिकागो	chicago	PROPN;NOM;MASC;SG;3	N;IN+ALL;SG
शिकागो	chicagosta	शिकागो	chicago	PROPN;NOM;MASC;SG;3	N;IN+ABL;SG
शिकागो	chicagossa	शिकागो	chicago	PROPN;NOM;MASC;SG;3	PROPN;IN+ESS;SG
शिकागो	chicagon	शिकागो	chicago	PROPN;NOM;MASC;SG;3	N;GEN;SG
शिकागो	chicago	शिकागो	chicago	PROPN;NOM;MASC;SG;3	PROPN;NOM;SG
विकी	wiki	विकी	wiki	PROPN;NOM;MASC;SG;3	N;NOM;SG
इंग्लैण्ड	englanti	इंग्लैण्ड	englanti	PROPN;NOM;MASC;SG;3	N;NOM;SG
इंग्लैण्ड	englannin	इंग्लैण्ड	englanti	PROPN;NOM;MASC;SG;3	N;GEN;SG
इंग्लैण्ड	englannista	इंग्लैण्ड	englanti	PROPN;NOM;MASC;SG;3	N;IN+ABL;SG
इंग्लैण्ड	englannissa	इंग्लैण्ड	englanti	PROPN;NOM;MASC;SG;3	N;IN+ESS;SG
गुरू	guru	गुरू	guru		N;NOM;SG
दौड़	juoksee	दौड	juosta		V;IND;SG;3;PRS;FIN;ACT
दौड़	kisa	दौड	kisa		N;NOM;SG
दौड़	rotu	दौड	rotu		N;NOM;SG
दौड़	kisaa	दौड	kisa		N;PRT;SG
दौड़	kilpa	दौड	kilpa		N;NOM;SG
दौड़	kisaa	दौड	kisa		N;PRT;SG
दौड़	racing	दौड	racing		N;NOM;SG
जातीय	etninen	जातीय	etninen	V;MASC;SG;3;V.PTCP;ACT	ADJ;NOM;SG
जातीय	etnistä	जातीय	etninen	V;MASC;SG;3;V.PTCP;ACT	N;PRT;SG
जातीय	etniset	जातीय	etninen	V;MASC;SG;3;V.PTCP;ACT	ADJ;NOM;PL
जातीय	etnisten	जातीय	etninen	V;MASC;SG;3;V.PTCP;ACT	ADJ;GEN;PL
छाया	varjot	छा	varjo	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;PL
छाया	varjojen	छा	varja	V;PFV;MASC;SG;V.PTCP;ACT	N;GEN;PL
छाया	varjoja	छा	varja	V;PFV;MASC;SG;V.PTCP;ACT	N;PRT;PL
छाया	varjostus	छा	varjostus	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;SG
छाया	varjon	छा	varjo	V;PFV;MASC;SG;V.PTCP;ACT	N;GEN;SG
छाया	varjo	छा	varjo	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;SG
छाया	varjo	छा	varjo	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;SG
छाया	varjoa	छा	varjo	V;PFV;MASC;SG;V.PTCP;ACT	N;PRT;SG
छाया	sävy	छा	sävy	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;SG
समक्ष	edusta	समक्ष	edu	ADV;NOM;MASC;SG;3	V;IMP;SG;2;FIN;ACT
मैरी	maija	मैरी	maija	PROPN;NOM;FEM;SG;3	N;NOM;SG
मैरी	mary	मैरी	mary	PROPN;NOM;FEM;SG;3	PROPN;NOM;SG
तैयारी	valmistelut	तैयारी	valmistelu	N;NOM;FEM;SG;3	N;NOM;PL
