tine	کانٹے	tine	کانٹہ		N;NOM;MASC;SG;3
craftsman	دستکار.	craftsman	دستکار.		N;NOM;MASC;SG;3
craftsman	ہنرمند	craftsman	ہنرمند		ADJ
speleological	کہفیاتی	speleological	کہفیاتی	V	ADJ;NOM
militarism	عسکریت.	militarism	عسکریت.		N;NOM;MASC;SG;3
concatenate	وابستہ.	concatenate	وابستہ.	N	PROPN;NOM;MASC;SG;3
concatenate	منسلک	concatenate	منسلک	N	ADJ
ninon	نینو	ninon	نینو		PROPN;NOM;MASC;SG;3
archway	ڈیوڑھی.	archway	ڈیوڑھی.		PROPN;NOM;MASC;SG;3
sturdy	قوی	sturdy	قوی	N	ADJ
diorama	مختصر	diorama	مختصر		ADJ
literate	خواندہ.	literate	خواندہ.		ADJ
matchmaker	مشّاطہ.	matchmaker	مشّاطہ.	V	ADJ
prescriptive	عائد	prescriptive	عائد	V	ADJ
prissy	پُرتکلف	prissy	پُرتکلف		ADJ
agronomy	فلاحت.	agronomy	فلاحت.		PROPN;NOM;MASC;SG;3
spiky	نکیلا	spiky	نکیل		PROPN;NOM;MASC;SG;3
spiky	غصیل	spiky	غصیل		PROPN;NOM;MASC;SG;3
spiky	چڑچڑا.	spiky	چڑچڑا.		V;PFV;MASC;SG;V.PTCP;ACT
horny	شرنگی.	horny	شرنگی.		PROPN;NOM;MASC;SG;3
horny	سنگدل	horny	سنگدل		PROPN;NOM;MASC;SG;3
vitelli	اذہاب.	vitelli	اذہاب.		PROPN;NOM;MASC;SG;3
cobbler	چمار.	cobbler	چمار.	N	PROPN;NOM;MASC;SG;3
cobbler	موچی	cobbler	موچی	N	PROPN;NOM;MASC;SG;3
cobbler	چمار.	cobbler	چمار.	N	PROPN;NOM;MASC;SG;3
compère	داعی.	compère	داعی.	N	PROPN;NOM;MASC;SG;3
commonplace	فرسودہ	commonplace	فرسودہ	N	ADJ
commonplace	فرسودہ	commonplace	فرسودہ	N	ADJ
ballpark	تخمینی	ballpark	تخمینی		ADJ
taphonomy	احفوریات	taphonomy	احفورتیات	N	PROPN;NOM;MASC;SG;3
bonk	زد	bonk	زد		N;NOM;MASC;SG;3
bonk	دھماکا	bonk	دھماکا		N;NOM;MASC;SG;3
adios	الفراق.	adios	الفراق.		PROPN;NOM;MASC;SG;3
corrector	مصلح	corrector	مصلح		PROPN;NOM;MASC;SG;3
corrector	مودّب.	corrector	مودّب.		PROPN;NOM;MASC;SG;3
continual	مسلسل	continual	مسلسل	N	ADV
siling	تنزانیہ	siling	تنزانیہ		PROPN;NOM;MASC;SG;3
siling	کینیا	siling	کینیا		PROPN;NOM;MASC;SG;3
hermetic	پُراسرار.	hermetic	پُراسرار.		ADJ
hermetic	پوشیدہ	hermetic	پوشیدہ		ADJ
splendour	شکوہ	splendour	شکوہ	V	PROPN;NOM;MASC;SG;3
splendour	جلال	splendour	جلال	V	PROPN;NOM;MASC;SG;3
splendour	شکوہ	splendour	شکوہ	V	PROPN;NOM;MASC;SG;3
intersex	مخنثی.	intersex	مخنثی.		PROPN;NOM;MASC;SG;3
urinary	شاشی	urinary	شاشی		PROPN;NOM;MASC;SG;3
urinary	بولی.	urinary	بولی.		PROPN;NOM;MASC;SG;3
plump	کچا	plump	کچا		N;NOM;MASC;SG;3
plump	ناشائستہ	plump	ناشائستہ		PROPN;NOM;MASC;SG;3
plump	بونگا	plump	بونگا		PROPN;NOM;MASC;SG;3
lymphatic	مٹّھا	lymphatic	مٹّھ	V	PROPN;NOM;MASC;SG;3
lymphatic	سست	lymphatic	سست	V	ADJ
lymphatic	لدّھڑ.	lymphatic	لدّھڑ.	V	PROPN;NOM;MASC;SG;3
muso	موسیقار	muso	موسیقار		N;NOM;MASC;SG;3
integrator	تکمیلیہ	integrator	تکمیلیہ		PROPN;NOM;MASC;SG;3
mindless	احمق.	mindless	احمق.	N	PROPN;NOM;MASC;SG;3
omelette	آملیٹ.	omelette	آملیٹ.		N;NOM;MASC;SG;3
exploratory	آزمائشی	exploratory	آزمائشی		N;NOM;MASC;SG;3
exploratory	تفتیشی	exploratory	تفتیشی		ADJ
exploratory	معلوماتی	exploratory	معلوماتی		ADJ
exploratory	تحقیقی	exploratory	تحقیقی		ADJ
pandemonium	افراتفری.	pandemonium	افراتفریڈ		ADJ
abandonment	ترک	abandonment	ترک	N	PROPN;NOM;MASC;SG;3
tweak	مارلینا.	tweak	مارلینان	N	PROPN;NOM;MASC;SG;3
ornament	سجانا.	ornament	سجانا.		PROPN;NOM;MASC;SG;3
brisk	پھرتیلا	brisk	پھرتیلا		PROPN;NOM;MASC;SG;3
brisk	تیز	brisk	تیز		ADJ
portraiture	نقاشی.	portraiture	نقاشی.		PROPN;NOM;MASC;SG;3
euphonium	شیپور.	euphonium	شیپور.	V	PROPN;NOM;MASC;SG;3
sear	جھلسانا	sear	جھلسانا		PROPN;NOM;MASC;SG;3
heater	طمنچہ.	heater	طمنچہ.		
heater	بندوق	heater	بندوق		N;NOM;MASC;SG;3
heater	گرمالہ.	heater	گرمالہ.		
subcontinent	برصغیر	subcontinent	برصغیر	N	PROPN;NOM;MASC;SG;3
muck	گڑبڑ	muck	گڑبڑ		V;ACT
muck	ابتری.	muck	ابتری.		PROPN;NOM;MASC;SG;3
lineal	لکیروں	lineal	لکیر		N;ACC;MASC;PL;3
lineal	خطوط	lineal	خط		N;NOM;MASC;PL;3
tassel	پُھندنا	tassel	پُھند		PROPN;NOM;MASC;SG;3
tassel	طرّہ.	tassel	طرّہ.		PROPN;NOM;MASC;SG;3
cymbal	مجیرا	cymbal	مجیرا	N	PROPN;NOM;MASC;SG;3
cymbal	جلاجل	cymbal	جلاجل	N	
cymbal	مجیرا	cymbal	مجیرا	N	PROPN;NOM;MASC;SG;3
cymbal	جھانجھ	cymbal	جھانجھ	N	PROPN;NOM;MASC;SG;3
cymbal	جلاجل	cymbal	جلاجل	N	
fid	اڑنگا	fid	اڑنگا		PROPN;NOM;MASC;SG;3
limnology	جھیلوں	limnology	جھیل		N;NOM;MASC;PL;3
suet	بیلوں	suet	بیل		N;ACC;MASC;PL;3
