right	jobbra	righta	jobbra		ADV
sovjetsko	szovjet	sovjetski	szovjet	ADJ;NOM;NEUT;SG	
kraljevo	királyi	kraljev	királyi	ADJ;NOM;NEUT;SG	
kraljevo	royal	kraljev	royal	ADJ;NOM;NEUT;SG	
napade	támadások	napad	támadás	N;ACC;MASC;SG	N;NOM;PL
napade	támad	napad	támad	N;ACC;MASC;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
napade	támadásokat	napad	támadás	N;ACC;MASC;SG	N;ACC;PL
oznake	marks	oznak	marks	N;NOM;FEM;PL	
oznake	címke	oznak	cím	N;NOM;FEM;PL	
oznake	címkéket	oznak	címkék	N;NOM;FEM;PL	N;ACC;PL
oznake	címkék	oznak	címkék	N;NOM;FEM;PL	
oznake	címkéket	oznak	címkék	N;NOM;FEM;PL	N;ACC;PL
oznake	címkék	oznak	címkék	N;NOM;FEM;PL	
tesno	szoros	tesno	szoros	ADV	
tesno	szűk	tesno	szűk	ADV	ADJ;NOM;SG
tesno	szorosan	tesno	szoros	ADV	ADJ;FRML;SG
tesno	szorosan	tesno	szoros	ADV	ADJ;FRML;SG
obseg	kerület	obseg	kerület	N;NOM;MASC;SG	
obseg	skálán	obseg	skálán	N;NOM;MASC;SG	N;ON+ESS;SG
obseg	volumen	obseg	volumen	N;NOM;MASC;SG	
jugoslavijo	jugoszlávia	jugoslavija	jugoszlávia	N;ACC;FEM;SG	N;NOM;SG
andrew	andrás	andrew	andrás	PROPN;NOM;MASC;SG	PROPN;NOM;SG
andrew	andrew	andrew	andrew	PROPN;NOM;MASC;SG	
miran	miran	miran	miran	N;NOM;MASC;SG	
klasični	klasszikus	klasičen	klasszikus	ADJ;NOM;MASC;SG	
klasični	classic	klasičen	classic	ADJ;NOM;MASC;SG	
ltd	kft	ltd	kft	PROPN;NOM;MASC;SG	N;NOM;SG
kisika	oxigén	kisik	orige	N;GEN;MASC;SG	N;NOM;SG
kisika	oxigént	kisik	oxigént	N;GEN;MASC;SG	N;ACC;SG
pobudo	kezdeményező	pobuda	kezdeményező	N;ACC;FEM;SG	
pobudo	kezdeményezés	pobuda	kezdeményezés	N;ACC;FEM;SG	N;NOM;SG
domača	otthon	domač	otthon	ADJ;NOM;FEM;SG	
domača	itthon	domač	itthon	ADJ;NOM;FEM;SG	
domača	haza	domač	haza	ADJ;NOM;FEM;SG	
domača	belföldi	domač	belföldi	ADJ;NOM;FEM;SG	
domača	házi	domač	házi	ADJ;NOM;FEM;SG	
kazen	büntető	kazen	büntető	N;NOM;FEM;SG	
jure	jure	jure	jur	N;NOM;MASC;SG	
starši	anyavállalat	starš	anyavállalat	N;NOM;MASC;PL	N;NOM;SG
starši	szülői	starš	szülői	N;NOM;MASC;PL	N;NOM;SG
starši	szülő	starš	szülő	N;NOM;MASC;PL	N;NOM;SG
antona	anton	anton	az	N;ANIM;ACC;MASC;SG	PROPN;NOM;SG
raziskovalec	kutatói	raziskovalec	kutató	N;NOM;MASC;SG	N;NOM;PL
unije	union	unija	union	N;GEN;FEM;SG	
unije	unió	unija	unió	N;GEN;FEM;SG	PROPN;NOM;SG
unije	szakszervezet	unija	szakszervezet	N;GEN;FEM;SG	N;NOM;SG
unije	unión	unija	unió	N;GEN;FEM;SG	
unije	uniós	unija	uniós	N;GEN;FEM;SG	ADJ;NOM;SG
razprave	vita	razprava	vita	N;NOM;FEM;PL	N;NOM;SG
razprave	megbeszélés	razprava	megbeszélés	N;NOM;FEM;PL	N;NOM;SG
razprave	beszélgetés	razprava	beszélgetés	N;NOM;FEM;PL	N;NOM;SG
razprave	vitákat	razprava	vita	N;NOM;FEM;PL	N;ACC;PL
league	league	league	leag	N;NOM;MASC;SG	
best	legjobbak	best	jó		N;NOM;PL
best	legjobb	best	jó		
best	best	best	best		
izgube	veszteség	izguba	veszteség	N;NOM;FEM;PL	N;NOM;SG
izgube	veszteségeket	izguba	veszteség	N;NOM;FEM;PL	N;ACC;PL
kratke	rövid	kratek	rövid	ADJ;NOM;FEM;PL	
kratke	alacsony	kratek	alacsony	ADJ;NOM;FEM;PL	ADJ;NOM;SG
kratke	röviden	kratek	röviden	ADJ;NOM;FEM;PL	
doseči	elérés	doseči	elérés	V;PFV;NFIN	N;NOM;SG
doseči	elérése	doseči	elérés	V;PFV;NFIN	N;NOM;SG
zalivu	öböl	zaliv	öböl	N;DAT;MASC;SG	N;NOM;SG
car	autóval	car	autó	N;NOM;MASC;SG	N;INS;SG
car	kocsival	car	kocsi	N;NOM;MASC;SG	
car	cár	car	cár	N;NOM;MASC;SG	
car	császár	car	császár	N;NOM;MASC;SG	
car	cár	car	cár	N;NOM;MASC;SG	
zahteve	kéri	zahteva	kéri	N;NOM;FEM;PL	V;DEF;IND;SG;3;PRS;FIN;ACT
zahteve	követelmény	zahteva	követelmény	N;NOM;FEM;PL	N;NOM;SG
young	fiatalok	young	fiatal		N;NOM;PL
young	fiatal	young	fiatal		
young	fiatalos	young	fiatalos		ADJ;NOM;SG
lokalno	helyben	lokalen	hely	ADV	N;IN+ESS;SG
lokalno	helyileg	lokalen	helyi	ADV	
lokalno	helyi	lokalen	helyi	ADV	
polfinale	elődöntőben	polfinale	elődöntő	N;NOM;MASC;SG	N;IN+ESS;SG
aleksej	alekszej	aleksej	alekszik	N;NOM;MASC;SG	
enake	egyforma	enak	egyforma	DET;NOM;FEM;PL	
enake	megegyező	enak	megegyező	DET;NOM;FEM;PL	
enake	azonos	enak	azonos	DET;NOM;FEM;PL	
band	band	band	band	N;NOM;MASC;SG	
band	banda	band	banda	N;NOM;MASC;SG	
band	együttes	band	együttes	N;NOM;MASC;SG	
železnice	vasútvonal	železnica	vasútvonal	N;NOM;FEM;PL	N;NOM;SG
železnice	vasút	železnica	vasút	N;NOM;FEM;PL	N;NOM;SG
železnice	vasúti	železnica	vasúti	N;NOM;FEM;PL	N;NOM;SG
železnice	vasút	železnica	vasút	N;NOM;FEM;PL	N;NOM;SG
železnice	vasút	železnica	vasút	N;NOM;FEM;PL	N;NOM;SG
georges	georges	georges	georges	PROPN;NOM;MASC;SG	
vojn	háborúk	vojna	háború	N;GEN;FEM;PL	N;NOM;PL
rahlo	enyhén	rahlo	enyhén	ADV	
rahlo	kissé	rahlo	kissé	ADV	
rahlo	kevéssé	rahlo	kevéssé	ADV	
rahlo	enyhe	rahlo	enyhe	ADV	
plošča	tányért	plošča	tány	N;NOM;FEM;SG	N;ACC;SG
plošča	rekord	plošča	rekord	N;NOM;FEM;SG	
župnik	pásztor	župnik	pásztor	N;NOM;MASC;SG	
racing	racing	racing	racing	N;NOM;MASC;SG	
meseca	hónap	mesec	hónap	N;ACC;MASC;SG	N;NOM;SG
meseca	hónapokig	mesec	hónap	N;ACC;MASC;SG	N;PL
meseca	hónapok	mesec	hónap	N;ACC;MASC;SG	N;NOM;PL
meseca	hónap	mesec	hónap	N;ACC;MASC;SG	N;NOM;SG
meseca	hónapja	mesec	hónap	N;ACC;MASC;SG	N;NOM;SG
kri	véres	kri	véres	N;NOM;FEM;SG	
kri	blood	kri	blood	N;NOM;FEM;SG	
emil	emil	emiti	emil	PROPN;NOM;MASC;SG	PROPN;NOM;SG
napadel	megtámadtak	napadel	meg+támad	V;PFV;MASC;SG;V.PTCP	V;INDF;IND;PL;3;PST;FIN;ACT
mirko	mirko	mirka	mirko	N;NOM;MASC;SG	
uro	óra	ura	óra	N;ACC;FEM;SG	N;NOM;SG
uporabljen	használt	uporabljen	használt	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
uporabljen	felhasznált	uporabljen	felhasznált	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
nesreči	ütközés	nesreča	ütközés	N;NOM;FEM;DU	N;NOM;SG
nesreči	baleset	nesreča	baleset	N;NOM;FEM;DU	N;NOM;SG
nesreči	crash	nesreča	crash	N;NOM;FEM;DU	
opere	opera	oprati	opera	V;PFV;IND;SG;3;PRS;FIN	
opere	operát	oprati	opera	V;PFV;IND;SG;3;PRS;FIN	N;ACC;SG
drugje	máshol	drugje	máshol	ADV	
drugje	másutt	drugje	másut	ADV	
drugje	máshová	drugje	máshova	ADV	
najhitrejši	leggyorsabban	hiter	jeggyors	ADJ;NOM;DEF;RL;MASC;SG	ADV
mladosti	fiatalok	mladost	fiatal	N;GEN;FEM;SG	N;NOM;PL
mladosti	ifjúsági	mladost	ifjúsági	N;GEN;FEM;SG	ADJ;NOM;SG
mladosti	fiatalság	mladost	fiatalság	N;GEN;FEM;SG	N;NOM;SG
mladosti	ifjúság	mladost	ifjúság	N;GEN;FEM;SG	N;NOM;SG
dolgi	hosszú	dolg	hosszú	ADJ;NOM;MASC;SG	
ureditev	előírás	ureditev	előírás	N;NOM;FEM;SG	
ureditev	rendelet	ureditev	rendelet	N;NOM;FEM;SG	
ureditev	megállapodások	ureditev	megállapodás	N;NOM;FEM;SG	N;NOM;PL
ureditev	megegyezés	ureditev	megegyezés	N;NOM;FEM;SG	
ureditev	egyezség	ureditev	egyezség	N;NOM;FEM;SG	
davis	davis	davis	davis	PROPN;NOM;MASC;SG	
koncept	elképzelés	koncept	elképzelés	N;NOM;MASC;SG	
koncept	koncepció	koncept	koncepció	N;NOM;MASC;SG	
kosti	bones	kost	bones	N;NOM;FEM;PL	
kosti	csontos	kost	csontos	N;NOM;FEM;PL	N;NOM;SG
kosti	csont	kost	csont	N;NOM;FEM;PL	N;NOM;SG
kosti	csontos	kost	csontos	N;NOM;FEM;PL	N;NOM;SG
kosti	csont	kost	csont	N;NOM;FEM;PL	N;NOM;SG
lovec	hunter	lovec	hunter	N;NOM;MASC;SG	
lovec	vadász	lovec	vadász	N;NOM;MASC;SG	
zaposlen	foglalkoztatott	zaposlen	foglalkozik	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
zaposlen	alkalmazott	zaposlen	alkalmazott	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
zaposlen	elfoglalt	zaposlen	elfoglalt	ADJ;NOM;INDF;MASC;SG;V.PTCP	
sprejeta	elfogadva	sprejet	elfogadva	ADJ;NOM;FEM;SG;V.PTCP	ADV;V.CVB
sprejeta	elfogadott	sprejet	el+fogadott	ADJ;NOM;FEM;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
sprejeta	elfogadta	sprejet	el+fogad	ADJ;NOM;FEM;SG;V.PTCP	V;DEF;IND;SG;3;PST;FIN;ACT
sprejeta	elfogadva	sprejet	elfogadva	ADJ;NOM;FEM;SG;V.PTCP	ADV;V.CVB
sprejeta	elfogadott	sprejet	el+fogadott	ADJ;NOM;FEM;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
nasprotno	szemben	nasproten	szemben	ADJ;NOM;NEUT;SG	
nasprotno	ellentétes	nasproten	ellentétes	ADJ;NOM;NEUT;SG	
lovski	vadászat	lovski	vadászat	ADJ;NOM;DEF;MASC;SG	N;NOM;SG
lovski	vadászik	lovski	vadászik	ADJ;NOM;DEF;MASC;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
lovski	vadászni	lovski	vadász	ADJ;NOM;DEF;MASC;SG	V;NFIN;ACT
lovski	vadász	lovski	vadász	ADJ;NOM;DEF;MASC;SG	
für	für	für	für		
uporabljeni	használt	uporabljen	használt	ADJ;NOM;MASC;PL;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
uporabljeni	felhasznált	uporabljen	felhasznált	ADJ;NOM;MASC;PL;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
predstavitev	bemutató	predstavitev	bemutató	N;NOM;FEM;SG	
ostanke	megmarad	ostanek	megmarad	N;ACC;MASC;PL	V;INDF;IND;SG;3;PRS;FIN;ACT
ostanke	maradék	ostanek	maradék	N;ACC;MASC;PL	
ostanke	maradékot	ostanek	maradék	N;ACC;MASC;PL	N;ACC;SG
ostanke	maradékok	ostanek	maradék	N;ACC;MASC;PL	N;NOM;PL
ostanke	maradékot	ostanek	maradék	N;ACC;MASC;PL	N;ACC;SG
brian	brian	brian	brian	PROPN;NOM;MASC;SG	
danski	dán	danski	dán	ADJ;NOM;DEF;MASC;SG	
danski	dániában	danski	dánia	ADJ;NOM;DEF;MASC;SG	N;IN+ESS;SG
danski	dánia	danski	dánia	ADJ;NOM;DEF;MASC;SG	N;NOM;SG
proga	nyomon	proga	nyomon	N;NOM;FEM;SG	
kompleks	összetett	kompleks	összetett	N;NOM;MASC;SG	V;INDF;IND;SG;3;PST;FIN;ACT
kompleks	komplex	kompleks	komplex	N;NOM;MASC;SG	
odziv	reakciók	odziv	reakció	N;NOM;MASC;SG	N;NOM;PL
odziv	reagál	odziv	reagál	N;NOM;MASC;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
boljše	jobban	dober	jól	ADJ;NOM;CMPR;NEUT;SG	ADV
švedsko	svéd	švedski	svéd	ADJ;NOM;NEUT;SG	
švedsko	svédország	švedski	svédország	ADJ;NOM;NEUT;SG	N;NOM;SG
soli	sót	sol	sót	N;NOM;FEM;SG	N;ACC;SG
guverner	kormányzó	guverner	kormányzó	N;NOM;MASC;SG	ADJ;NOM;SG
izrazito	kifejezett	izrazito	kifejezett	ADV	V;INDF;IND;SG;3;PST;FIN;ACT
pozitivno	pozitívak	pozitiven	pozitív	ADV	ADJ;NOM;PL
pozitivno	pozitív	pozitiven	pozitív	ADV	ADJ;NOM;SG
pozitivno	pozitívan	pozitiven	pozitívan	ADV	ADJ;FRML;SG
werner	werner	werner	werner	N;NOM;MASC;SG	
vsekakor	határozottan	vsekakor	határozott	PART	ADJ;FRML;SG
enostavno	egyszerű	enostavno	egyszerű	ADV	ADJ;NOM;SG
enostavno	szimpla	enostavno	szimpla	ADV	
enostavno	egyszerűen	enostavno	egyszerű	ADV	ADJ;FRML;SG
nizko	alacsonyan	nizko	alacsony	ADV	ADJ;FRML;SG
nizko	alacsony	nizko	alacsony	ADV	ADJ;NOM;SG
predmetov	tárgyak	predmet	tárgy	N;GEN;MASC;PL	N;NOM;PL
predmetov	objektumok	predmet	ob	N;GEN;MASC;PL	N;NOM;PL
#eeeeee	#eeeeee	#eeeeee	én	PROPN;NOM;MASC;SG	
wolfgang	wolfgang	wolfgang	wolfgang	N;NOM;MASC;SG	
pragi	prága	praga	prága	PROPN;NOM;MASC;SG	PROPN;NOM;SG
pragi	prágai	praga	prágai	PROPN;NOM;MASC;SG	
oddaje	mutatja	oddaja	mutat	N;NOM;FEM;PL	V;DEF;IND;SG;3;PRS;FIN;ACT
podoba	képet	podoba	kép	N;NOM;FEM;SG	N;ACC;SG
tednov	hetekig	teden	het	N;GEN;MASC;PL	N;PL
tednov	hetek	teden	het	N;GEN;MASC;PL	N;NOM;SG
kožo	bőre	koža	bő	N;ACC;FEM;SG	N;NOM;SG
kožo	bőr	koža	bőr	N;ACC;FEM;SG	N;NOM;SG
prihodnosti	jövőbeli	prihodnost	jövőbeli	N;GEN;FEM;SG	ADJ;NOM;SG
prihodnosti	jövő	prihodnost	jövő	N;GEN;FEM;SG	ADJ;NOM;SG
izvajanje	végrehajtására	izvajanje	végrehajtás	N;NOM;NEUT;SG	N;ON+ALL;SG
dol	le	dol	le		ADV
madrid	madridi	madrid	madridi	N;NOM;MASC;SG	
vero	hitem	vera	hít	N;ACC;FEM;SG	N;NOM;SG
vero	faith	vera	faith	N;ACC;FEM;SG	
vero	hit	vera	hi	N;ACC;FEM;SG	N;NOM;SG
vero	hittel	vera	hit	N;ACC;FEM;SG	N;INS;SG
vero	vero	vera	vero	N;ACC;FEM;SG	
sestavljeno	kompozit	sestavljen	kompozit	ADJ;NOM;NEUT;SG;V.PTCP	N;NOM;SG
sestavljeno	összetett	sestavljen	összetett	ADJ;NOM;NEUT;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
sestavljeno	összegyűlt	sestavljen	összegyűlt	ADJ;NOM;NEUT;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
sestavljeno	összeállított	sestavljen	összeállított	ADJ;NOM;NEUT;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
bel	fehér	bel	fehér	N;NOM;MASC;SG	
bel	bel	bel	bel	N;NOM;MASC;SG	
politiki	politika	politika	politika	N;NOM;MASC;PL	N;NOM;SG
množice	tömeg	množica	tömeg	N;NOM;FEM;PL	N;NOM;SG
simulacija	szimuláció	simulacija	szimuláció	N;NOM;FEM;SG	
zanimivo	érdekes	zanimiv	érdekes	ADJ;NOM;NEUT;SG	
zanimivo	izgalmas	zanimiv	izgalmas	ADJ;NOM;NEUT;SG	
zanimivo	lenyűgöző	zanimiv	lenyűgöző	ADJ;NOM;NEUT;SG	
kritiki	kritikusok	kritika	kritikus	N;NOM;FEM;SG	N;NOM;PL
partizan	partizán	partizan	partizán	N;NOM;MASC;SG	
boston	boston	boston	boston	PROPN;NOM;MASC;SG	
boston	bostoni	boston	bostoni	PROPN;NOM;MASC;SG	N;NOM;SG
boston	bostonban	boston	bostonban	PROPN;NOM;MASC;SG	ADV
sebastian	sebastian	sebastian	sebastian	PROPN;NOM;MASC;SG	
peto	sarka	peti	sarka	ADJ;ACC;NEUT;SG	N;NOM;SG
peto	sarok	peti	sar	ADJ;ACC;NEUT;SG	N;NOM;SG
peto	ötödik	peti	ötödik	ADJ;ACC;NEUT;SG	ADJ;NOM;SG
roj	raj	roj	raj	N;NOM;MASC;SG	
samuel	samuel	samuel	samuel	N;NOM;MASC;SG	
vodni	vízi	voden	vízi	ADJ;NOM;DEF;MASC;SG	
opazil	észre	opaziti	ész	V;PFV;MASC;SG;V.PTCP	N;ON+ALL;SG
benjamin	benjamin	benjamin	benjami	N;NOM;MASC;SG	
pokaže	műsorok	pokazati	műsor	V;PFV;IND;SG;3;PRS;FIN	N;NOM;PL
grb	crest	grb	crest	N;NOM;MASC;SG	
ples	dance	ples	dance	N;NOM;MASC;SG	
ples	táncolj	ples	táncol	N;NOM;MASC;SG	V;DEF;IND;SG;3;PRS;FIN;ACT
ples	táncolni	ples	táncol	N;NOM;MASC;SG	V;NFIN;ACT
ples	táncolni	ples	táncol	N;NOM;MASC;SG	V;NFIN;ACT
ples	táncol	ples	táncol	N;NOM;MASC;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
marcel	marcel	marcel	marcel	N;NOM;MASC;SG	
zvezna	szövetségi	zvezen	szövetségi	ADJ;NOM;FEM;SG	
indija	india	indija	india	N;NOM;FEM;SG	
ukrepi	intézkedésekre	ukrep	intézkedés	N;NOM;MASC;PL	N;ON+ALL;PL
letni	évente	leten	éven	ADJ;NOM;DEF;MASC;SG	N;ON+ESS;SG
ribe	hal	riba	hal	N;NOM;FEM;PL	N;NOM;SG
ribe	halat	riba	hal	N;NOM;FEM;PL	N;ACC;SG
hugo	hugo	hug	hugo		PROPN;NOM;SG
michel	michel	michel	michel	PROPN;NOM;MASC;SG	
ustvarja	létrehoz	ustvarjati	létre+hoz	V;IPFV;IND;SG;3;PRS;FIN	V;INDF;POT;SG;3;PRS;FIN;ACT
električno	elektromos	električen	elektromos	ADJ;NOM;NEUT;SG	
električno	villamos	električen	villamos	ADJ;NOM;NEUT;SG	N;NOM;SG
električno	villany	električen	villany	ADJ;NOM;NEUT;SG	N;NOM;SG
električno	elektromos	električen	elektromos	ADJ;NOM;NEUT;SG	
električno	elektromosan	električen	elektromos	ADJ;NOM;NEUT;SG	ADJ;FRML;SG
zoper	ellene	zoper	ellen	ADP;ACC	PRO;NOM;SG;3
špansko	spanyolul	španski	spanyolul	ADJ;NOM;NEUT;SG	
špansko	spanyolok	španski	spanyol	ADJ;NOM;NEUT;SG	N;NOM;PL
špansko	spanyol	španski	spanyol	ADJ;NOM;NEUT;SG	
murray	murray	murray	murray	N;NOM;MASC;SG	
zastava	megjelölés	zastava	megjelölés	N;NOM;FEM;SG	
zastava	lobogó	zastava	lobogó	N;NOM;FEM;SG	
osnova	alap	osnova	alap	N;NOM;FEM;SG	
var	var	vara	var	N;NOM;MASC;SG	PROPN;NOM;SG
cyrus	cyrus	cyrus	cyrus	PROPN;NOM;MASC;SG	
house	ház	hous	ház		N;NOM;SG
house	házon	hous	ház		ADJ;FRML;SG
organizacij	szervezetek	organizacija	szervezet	N;GEN;FEM;PL	N;NOM;PL
organizacij	szervezetek	organizacija	szervezet	N;GEN;FEM;PL	N;NOM;PL
tabor	camp	tabor	camp	N;NOM;MASC;SG	
foto	fényképek	foto	fénykép	N;NOM;MASC;SG	N;NOM;PL
goro	hegyen	gora	hegy	N;ACC;FEM;SG	N;ON+ESS;SG
goro	hegyi	gora	hegyi	N;ACC;FEM;SG	
goro	hegy	gora	hegy	N;ACC;FEM;SG	N;NOM;SG
goro	hegyek	gora	hegy	N;ACC;FEM;SG	N;NOM;PL
goro	goro	gora	goro	N;ACC;FEM;SG	
bakterije	baktérium	bakterija	baktérium	N;NOM;FEM;PL	N;NOM;SG
gordon	gordon	gordon	gord	N;NOM;MASC;SG	
nalog	végzés	naloga	végzés	N;NOM;FEM;PL	
ulici	sikátorban	ulica	sikátor	N;DAT;FEM;SG	N;IN+ESS;SG
ulici	sikátor	ulica	sikátor	N;DAT;FEM;SG	N;NOM;SG
neodvisno	független	neodvisen	független	ADV	
neodvisno	önálló	neodvisen	önálló	ADV	
neodvisno	függetlenek	neodvisen	független	ADV	V;INDF;IND;PL;3;PRS;FIN;ACT
neodvisno	önállóan	neodvisen	önálló	ADV	ADJ;FRML;SG
neodvisno	függetlenül	neodvisen	független	ADV	ADJ;FRML;SG
ligo	league	liga	leag	N;ACC;FEM;SG	
ligo	liga	liga	liga	N;ACC;FEM;SG	N;NOM;SG
razdalje	távolságok	razdalja	távolság	N;NOM;FEM;SG	N;NOM;PL
zemljevid	térkép	zemljevid	térkép	N;NOM;MASC;SG	
zemljevid	térképet	zemljevid	térkép	N;NOM;MASC;SG	N;ACC;SG
bitko	harc	bitko	harc	N;ACC;FEM;SG	N;NOM;SG
bitko	csata	bitko	csata	N;ACC;FEM;SG	N;NOM;SG
eagle	sas	eagel	sas	N;NOM;MASC;SG	
eagle	eagle	eagel	eagle	N;NOM;MASC;SG	
verjetnosti	valószínűsége	verjetnost	valószínűség	N;GEN;FEM;PL	N;NOM;SG
verjetnosti	valószínűség	verjetnost	valószínűség	N;GEN;FEM;PL	
victor	victor	victor	victor	N;NOM;MASC;SG	
victor	viktor	victor	viktor	N;NOM;MASC;SG	
tveganje	kockázatos	tveganje	kockázatos	N;NOM;NEUT;SG	ADJ;NOM;SG
tveganje	kockázatok	tveganje	kockázat	N;NOM;NEUT;SG	N;NOM;PL
kritike	kritika	kritika	kritika	N;NOM;FEM;PL	N;NOM;SG
kritike	kritikát	kritika	kritika	N;NOM;FEM;PL	N;ACC;SG
fritz	fritz	fritz	fritz	N;NOM;MASC;SG	
zapisano	megírva	zapisan	megírva	ADJ;NOM;NEUT;SG;V.PTCP	ADV;V.CVB
zapisano	írta	zapisan	ír	ADJ;NOM;NEUT;SG;V.PTCP	V;DEF;IND;SG;3;PST;FIN;ACT
zapisano	írott	zapisan	írott	ADJ;NOM;NEUT;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
žal	sajnálom	žal	sajnál	ADV	V;DEF;IND;SG;1;PRS;FIN;ACT
žal	sajnos	žal	sajnos	ADV	
žal	sajna	žal	sajna	ADV	
dvojni	dupla	dvojen	dupla	ADJ;NOM;MASC;SG	
dvojni	duplán	dvojen	duplán	ADJ;NOM;MASC;SG	
zgodnji	korán	zgodnji	korán	ADJ;NOM;DEF;MASC;SG	
zgodnji	korai	zgodnji	korai	ADJ;NOM;DEF;MASC;SG	
pozna	későn	poznati	későn	V;IPFV;IND;SG;3;PRS;FIN	
pozna	késő	poznati	késő	V;IPFV;IND;SG;3;PRS;FIN	
pozna	késve	poznati	késve	V;IPFV;IND;SG;3;PRS;FIN	
napetosti	feszültség	napetost	feszültség	N;GEN;FEM;SG	N;NOM;SG
napetosti	feszültség	napetost	feszültség	N;GEN;FEM;SG	N;NOM;SG
napetosti	feszültségek	napetost	feszültség	N;GEN;FEM;SG	N;NOM;PL
bled	vérzett	bled	vérez	N;NOM;MASC;SG	V;INDF;IND;SG;3;PST;FIN;ACT
bled	elvérzett	bled	elvérzett	N;NOM;MASC;SG	V;INDF;IND;SG;3;PST;FIN;ACT
bled	fakó	bled	fakó	N;NOM;MASC;SG	
bled	halvány	bled	halvány	N;NOM;MASC;SG	
bled	sápadt	bled	sápad	N;NOM;MASC;SG	
ptuj	ptuj	ptuj	ptuj	PROPN;NOM;MASC;SG	
britansko	britek	britanski	brit	ADJ;NOM;NEUT;SG	N;NOM;PL
britansko	angol	britanski	angol	ADJ;NOM;NEUT;SG	
britansko	brit	britanski	brit	ADJ;NOM;NEUT;SG	
posvečena	elkötelezett	posvečen	elkötelezett	ADJ;NOM;FEM;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
posvečena	megszentelt	posvečen	megszentelt	ADJ;NOM;FEM;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
moore	moore	mora	moore	N;NOM;MASC;SG	
črke	leveleket	črka	levél	N;NOM;FEM;PL	N;ACC;PL
evropa	európa	evropa	európa	N;NOM;FEM;SG	
evropa	europe	evropa	europe	N;NOM;FEM;SG	
evropa	európában	evropa	európa	N;NOM;FEM;SG	N;IN+ESS;SG
min	min	mina	min	N;NOM;MASC;SG	
volitve	választási	volitev	választási	N;NOM;FEM;PL	ADJ;NOM;SG
volitve	választás	volitev	választás	N;NOM;FEM;PL	
uporabljena	használt	uporabljen	használt	ADJ;NOM;FEM;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
uporabljena	felhasznált	uporabljen	felhasznált	ADJ;NOM;FEM;SG;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
naslednika	utódja	naslednik	utód	N;ANIM;ACC;MASC;SG	N;NOM;SG
virus	vírussal	virus	vírus	N;NOM;MASC;SG	N;INS;SG
razumevanje	egyetértés	razumevanje	egyetértés	N;NOM;NEUT;SG	
razumevanje	megértő	razumevanje	megértő	N;NOM;NEUT;SG	
razumevanje	megértést	razumevanje	megértés	N;NOM;NEUT;SG	N;ACC;SG
starejše	idős	star	idős	ADJ;NOM;CMPR;FEM;SG	
starejše	idősek	star	idős	ADJ;NOM;CMPR;FEM;SG	N;NOM;PL
starejše	idősebbek	star	idős	ADJ;NOM;CMPR;FEM;SG	N;NOM;PL
dei	dei	dei	dei	N;NOM;MASC;SG	
oklepaju	zárójel	oklepaj	záró	N;DAT;MASC;SG	N;NOM;SG
rasti	növekedés	rasti	növekedés	V;IPFV;NFIN	N;NOM;SG
materialov	alapanyagok	material	alapanyag	N;GEN;MASC;PL	N;NOM;PL
materialov	anyagok	material	anyag	N;GEN;MASC;PL	N;NOM;PL
listov	levelek	list	levél	N;GEN;MASC;PL	N;NOM;PL
študent	hallgató	študent	hallgató	N;NOM;MASC;SG	
študent	tanuló	študent	tanuló	N;NOM;MASC;SG	ADJ;NOM;SG
temno	sötét	temno	söt	ADV	
zaposleni	alkalmazott	zaposlen	alkalmazott	ADJ;NOM;MASC;PL;V.PTCP	V;INDF;IND;SG;3;PST;FIN;ACT
zaposleni	alkalmazottak	zaposlen	alkalmazott	ADJ;NOM;MASC;PL;V.PTCP	N;NOM;PL
zaposleni	munkavállaló	zaposlen	munkavállaló	ADJ;NOM;MASC;PL;V.PTCP	N;NOM;SG
zaposleni	munkatárs	zaposlen	munkatárs	ADJ;NOM;MASC;PL;V.PTCP	N;NOM;SG
