the	the
ban	larangan
ban	pelarangan
labor	buruh
legislative	legislatif
definition	definisinya
definition	definisi
indeed	memang
draw	draw
draw	imbang
draw	menggambar
application	lamaran
application	aplikasi
steel	baja
steel	steel
presence	kehadirannya
presence	kehadiran
expansion	perluasan
expansion	ekspansi
earl	earl
max	max
max	maks
max	maksimal
wild	wild
wild	liar
planning	merencanakan
planning	berencana
planning	perencanaan
comic	komik
comic	comic
adopted	diadopsi
adopted	adopsi
adopted	mengadopsi
easy	gampang
easy	mudah
easy	easy
plus	ditambah
plus	plus
happy	senang
happy	bahagia
happy	ibrahimovic
happy	happy
acts	act
classes	kelas
iowa	iowa
save	simp
save	luu
save	simpan
save	save
wins	menang
theater	theater
theater	teater
theater	bioskop
exists	ada
roles	peran
chance	chance
chance	peluang
chance	berpeluang
chance	kesempatan
prevent	mencegah
prevent	cegah
linecolor	linecolor
candidates	calon
candidates	kandidat
object	obyek
object	objek
felt	merasa
felt	dirasakan
powers	powers
birds	birds
birds	burung
spread	disebarkan
spread	menyebar
spread	sebarkan
spread	sebar
spread	penyebaran
defeat	mengalahkan
defeat	kalahkan
defeat	kekalahan
cape	cape
cape	tanjung
identified	identifikasi
identified	diidentifikasi
identified	teridentifikasi
identified	mengidentifikasi
regions	daerah
regions	wilayah
regions	region
regions	kawasan
mine	ranjau
mine	tambang
mine	mine
mine	milikku
sides	sisi
jul	jul
showing	memperlihatkan
showing	menunjukkan
showing	menampilkan
teaching	mengajarkan
teaching	mengajari
teaching	mengajar
teaching	pengajaran
guidelines	pedoman
guidelines	panduan
simon	simon
depth	kedalaman
depth	mendalam
lyrics	lirik
lyrics	lyrics
christmas	natal
christmas	christmas
declined	menolak
declined	ditolak
greece	yunani
express	ekspres
express	express
express	ungkapkan
express	mengungkapkan
federation	federasi
federation	federation
voivodeship	lubusz
journalist	jurnalis
journalist	wartawan
intelligence	kecerdasan
intelligence	intelijen
connection	sambungan
connection	koneksi
displayed	ditampilkan
portuguese	portugis
declared	dideklarasikan
constitution	konstitusi
presidential	kepresidenan
presidential	presidensial
sons	sons
plot	plot
plot	alur
plot	makar
dates	kurma
dates	tanggal
firm	firma
firm	teguh
firm	tegas
ends	berakhir
pilot	pilot
receive	menerima
educated	terdidik
educated	dididik
educated	terpelajar
educated	berpendidikan
manchester	manchester
queensland	queensland
introduction	perkenalan
introduction	pengenalan
introduction	pendahuluan
introduction	pengantar
directors	direksi
directors	sutradara
vehicle	kendaraan
stock	bursa
stock	stock
stock	saham
stock	stok
vehicles	kendaraan
frequently	sering
hills	bukit
hills	hills
hills	perbukitan
performing	tampil
northwest	northwest
drug	obat
drug	narkoba
visit	kunjungi
visit	kunjungan
visit	mengunjungi
portion	porsi
residence	residence
residence	kediaman
walter	walter
pov	pov
interesting	menarik
moon	rembulan
moon	bulan
moon	moon
limit	batasi
limit	batas
limit	membatasi
limit	limit
minute	menit
minute	minute
bell	lonceng
bell	belle
bell	bel
bell	bell
athletics	atletik
reduced	berkurang
reduced	dikurangi
wind	angin
wind	wind
oklahoma	oklahoma
architect	architect
architect	arsitek
ideas	gagasan
ideas	ide
electronic	elektronika
electronic	electronic
electronic	elektronik
crown	mahkota
crown	crown
younger	younger
younger	muda
anderson	anderson
step	step
step	langkah
step	melangkah
weapons	senjata
neutral	netral
connected	terhubung
connected	terkoneksi
connected	tersambung
switzerland	swiss
expatriate	ekspatriat
armed	dipersenjatai
armed	bersenjata
weekly	mingguan
weekly	weekly
rating	peringkat
rating	penilaian
rating	rating
programme	program
squad	skuad
squad	squad
squad	regu
squad	pasukan
multi	multi
dynasty	wangsa
dynasty	dinasti
cold	cold
cold	kedinginan
cold	dingin
granted	diberikan
granted	dikabulkan
alliance	persekutuan
alliance	alliance
alliance	aliansi
methods	metoda
methods	metode
sam	sam
alabama	alabama
albert	albert
tropical	tropical
tropical	tropis
vietnam	vietnam
dvd	dvd
refers	mengacu
heat	heat
heat	panasnya
heat	panas
fans	fans
fans	penggemar
surrounding	sekitarnya
surrounding	seputar
credit	kredit
credit	credit
commons	commons
boat	kapal
boat	perahu
boat	boat
boxes	kotak
ethnic	etnis
ethnic	etnik
speaking	berbicara
arena	arena
arena	gelanggang
core	core
core	inti
dog	anjing
dog	dog
kill	membunuh
kill	kill
kill	bunuh
kill	bunuhlah
wikiproject	wikiproject
athletic	athletic
athletic	atletik
athletic	atletis
negative	negative
negative	negatif
confirmed	terkonfirmasi
confirmed	konfirmasi
confirmed	dikonfirmasi
confirmed	dikonfirmasikan
sixth	keenam
sixth	sixth
edge	edge
edge	tepi
edge	tepian
jesus	yesus
jesus	jesus
tools	perkakas
tools	alat
tools	peralatan
tools	tools
colonel	kolonel
colonel	colonel
weak	lemah
chosen	dipilih
chosen	terpilih
brand	brand
brand	merk
brand	merek
resulting	mengakibatkan
nfl	nfl
rise	rise
rise	bangkit
rise	bangkitlah
supply	pasokan
supply	suplai
supply	memasok
supply	supply
tradition	tradisi
elementary	sd
spirit	semangat
spirit	ruh
spirit	spirit
task	tugas
howard	howard
incident	insiden
incident	kejadian
develop	kembangkan
develop	mengembangkan
southeast	tenggara
sunday	minggu
discuss	membahas
discuss	bahas
discuss	diskusikan
discuss	berdiskusi
stats	stat
stats	statistik
climate	iklim
topics	topik
purchased	dibeli
communications	komunikasi
communications	communications
chapter	chapter
chapter	pasal
chapter	bab
broken	patah
broken	rusak
broken	broken
singapore	singapura
singapore	singapore
situated	terletak
license	lisensi
license	sim
haven	haven
deaths	kematian
citizens	warga
guns	senapan
guns	guns
guns	senjata
trees	pepohonan
trees	pohon
gone	gone
greatest	terbesar
greatest	greatest
improved	penyempurnaan
improved	ditingkatkan
improved	peningkatan
improved	disempurnakan
visual	visual
pope	paus
officials	pejabat
sat	sab
sat	sabtu
sat	sat
glass	gelas
glass	kaca
glass	glass
miller	miller
posted	dikirimkan
posted	mengirim
posted	dikirim
estimated	perkiraan
estimated	estimasi
contain	mengandung
contain	berisi
brazilian	brazil
brazilian	brasil
sexual	seksual
defence	pembela
defence	pertahanan
respectively	masing
rich	rich
rich	kaya
fast	fast
fast	cepat
fast	puasa
properties	sifat
properties	properti
taught	diajarkan
taught	diajari
taught	diajar
extensive	ekstensif
exhibition	pameran
speech	pidato
speech	speech
speech	ucapan
speech	berpidato
les	les
proposal	proposal
proposal	usul
proposal	usulan
proposal	lamaran
straight	straight
straight	lurus
internal	internal
effective	efektif
solution	larutan
solution	solusi
fashion	fashion
fashion	mode
fashion	busana
foot	foot
foot	kaki
orange	orange
orange	jingga
orange	jeruk
orange	oranye
argentina	argentina
brief	ringkas
brief	singkat
brief	brief
performances	penampilan
performances	pertunjukan
adult	dewasa
allowing	mengijinkan
allowing	mengizinkan
identity	identitas
identity	ijabah
nominator	nominator
singers	penyanyi
inspired	terinspirasi
inspired	menginspirasi
inspired	inspirasi
inspired	inspired
discussed	didiskusikan
discussed	dibahas
require	membutuhkan
require	memerlukan
require	mengharuskan
transfer	transfer
transfer	mentransfer
egypt	mesir
cells	sel
patrick	patrick
quebec	quebec
connecticut	connecticut
scoring	skor
anthony	anthony
anthony	aini
permanent	permanen
permanent	permanent
phase	fase
audience	pemirsa
audience	penonton
motion	gerakan
motion	motion
motion	gerak
motion	mosi
blues	blues
hungarian	hongaria
hungarian	hungaria
arab	arab
sets	set
begin	mulai
begin	begin
eyes	eyes
eyes	mata
studios	studios
studios	studio
gmina	gmina
criminal	pidana
criminal	kriminal
criminal	criminal
criminal	penjahat
commonwealth	persemakmuran
finish	selesaikan
finish	finish
communication	komunikasi
scope	cakupan
scope	lingkup
accused	dituduh
accused	tertuduh
accused	terdakwa
divisions	divisi
divisions	pembagian
accept	menerima
accept	terimalah
accept	terima
warning	peringatan
warning	warning
alan	alan
objects	obyek
objects	objek
objects	benda
diego	diego
contest	kontes
contest	contest
fighter	petarung
fighter	fighter
fighter	tempur
finds	temuan
coaches	pelatih
beat	beat
beat	mengalahkan
beat	kalahkan
extremely	sangat
extremely	amat
ford	ford
swiss	swiss
sorry	maaf
houston	houston
worldwide	worldwide
worldwide	mendunia
holds	mtq
cathedral	katedral
losing	kalah
losing	kehilangan
advance	maju
advance	advance
reality	kenyataan
reality	realitas
reality	reality
reality	realita
broadcasting	siaran
broadcasting	penyiaran
adam	adam
vandalism	pengrusakan
vandalism	perusakan
vandalism	vandalisme
enemy	enemy
enemy	musuh
youtube	youtube
billion	milyar
billion	miliar
buried	dimakamkan
buried	dikuburkan
buried	terkubur
buried	dikubur
belgium	belgia
respect	respek
respect	hormat
respect	hormati
respect	respect
rare	langka
rare	rare
rare	jarang
detroit	detroit
graduate	pascasarjana
graduate	lulus
graduate	graduate
explain	jelaskan
explain	menjelaskan
authorities	otoritas
authorities	berwenang
killing	membunuh
maximum	maksimum
maximum	maksimal
maximum	maximum
fan	fan
fan	penggemar
fan	kipas
notify	beritahu
notify	beritahukan
painter	pelukis
hamilton	hamilton
attempted	dicoba
universe	universe
universe	semesta
passes	berlalu
suffered	menderita
pieces	potongan
pieces	kepingan
pieces	keping
pieces	potong
apply	terapkan
competitions	kompetisi
aid	aid
driver	supir
driver	sopir
driver	penggerak
driver	driver
driver	pengemudi
folk	kaum
folk	rakyat
folk	folk
dan	dan
khan	khan
baby	baby
baby	sayang
baby	bayi
denmark	denmark
tokyo	tokyo
billboard	billboard
billboard	reklame
calling	menelepon
calling	calling
calling	memanggil
anne	anne
happened	terjadi
danish	denmark
wants	ingin
formula	formula
formula	rumus
interior	interior
kevin	kevin
weather	cuaca
powerful	ampuh
powerful	kuat
muslim	muslim
registered	didaftarkan
registered	terdaftar
publisher	penerbit
sounds	suara
sounds	bunyi
sounds	kedengarannya
sounds	sounds
sounds	bunyinya
eric	eric
approved	disetujui
achieved	raih
achieved	tercapai
achieved	dicapai
achieved	diraih
douglas	douglas
provincial	kampungan
fund	fund
fund	dana
portugal	portugal
athletes	atlet
athletes	atlit
bird	bird
bird	burung
bands	band
audio	audio
cat	cat
cat	kucing
bureau	bureau
bureau	biro
valid	valid
valid	sah
chemical	kimiawi
chemical	kimia
items	item
items	butir
items	barang
lane	lane
holding	menahan
holding	memegang
holding	holding
counties	kabupaten
update	pembaruan
update	mutakhirkan
update	update
update	perbarui
update	pemutakhiran
ncaa	ncaa
speak	berbicara
speak	bicaralah
speak	bicara
finding	menemukan
domestic	prt
domestic	domestik
ali	ali
false	palsu
false	false
false	salah
equivalent	setara
equivalent	ekuivalen
caught	tertangkap
caught	ketahuan
christ	kristus
christ	christ
ending	ending
ending	berakhiran
ending	mengakhiri
ending	berakhir
puerto	puerto
perform	perform
partner	partner
partner	mitra
partner	pasangan
partner	rekan
romania	rumania
romania	romania
aviation	aviation
aviation	penerbangan
aviation	aviasi
failure	gagal
failure	kegagalan
ward	ward
ward	bangsal
strength	kekuatan
knight	ksatria
knight	knight
knight	kesatria
nominations	nominasi
hungary	hongaria
hungary	hungaria
concern	kekhawatiran
concern	keprihatinan
keeping	menjaga
functions	fungsi
mississippi	mississippi
calls	panggilan
calls	pemanggilan
criticism	kritik
involving	melibatkan
magic	sihir
magic	ajaib
magic	magic
magic	sulap
gordon	gordon
treaty	perjanjian
treaty	traktat
antonio	antonio
selection	seleksi
selection	pemilihan
rear	rear
rear	belakang
colonial	kolonial
motor	motor
obtained	diperoleh
circuit	circuit
circuit	sirkuit
wish	wish
wish	berharap
compilation	kompilasi
harvard	harvard
islamic	islamic
islamic	islam
determined	ditentukan
determined	bertekad
geography	geografi
arkansas	arkansas
fuel	bbm
artillery	artileri
locations	lokasi
inclusion	penyertaan
recognition	pengakuan
northeast	northeast
chamber	chamber
chamber	kamar
moment	moment
moment	momen
historian	sejarawan
condition	syarat
condition	kondisi
physics	fisika
newspapers	koran
instance	instance
instance	contoh
instance	instansi
represent	mewakili
represent	wakili
allen	allen
watch	menonton
watch	watch
watch	tonton
protect	protect
protect	melindungi
protect	lindungi
grey	kelabu
grey	grey
launch	peluncuran
launch	luncurkan
launch	launch
dave	dave
philip	philip
philip	philipp
iraq	irak
changing	mengubah
changing	berubah
ukraine	ukraina
mix	mix
mix	campuran
mix	campur
tamil	tamil
shift	shift
shift	pergeseran
shared	berbagi
shared	dibagikan
shared	shared
austrian	austria
door	pintu
door	door
investigation	investigasi
investigation	penyelidikan
institution	institusi
institution	lembaga
princess	puteri
princess	putri
princess	princess
trail	trail
trail	setapak
trail	jejak
parks	pertamanan
parks	parks
parks	taman
applications	lamaran
applications	aplikasi
hundred	seratus
hundred	hundred
hundred	ratus
requirements	persyaratan
talking	berbicara
kim	kim
ltd	ltd
metres	meter
gray	kelabu
gray	gray
sector	sektor
dean	dekan
dean	dean
agricultural	pertanian
incorporated	dimasukkan
incorporated	incorporated
escape	kabur
escape	escape
orders	perintah
orders	pesanan
corner	pojok
corner	corner
corner	pojokan
corner	sudut
mill	mill
mill	penggilingan
mill	pemintalan
subjects	subyek
subjects	subjek
temperature	temperatur
temperature	suhu
settled	diselesaikan
settled	menetap
spacewatch	spacewatch
remember	ingat
remember	remember
remember	ingatlah
miami	miami
promote	mempromosikannya
promote	promosi
promote	promosikan
promote	promote
promote	mempromosikan
values	nilai
spot	spot
progress	kemajuan
progress	perkembangan
progress	progres
progress	progress
learn	pelajari
learn	belajar
planet	planet
occupied	pendudukan
occupied	ditempati
occupied	diduduki
usage	penggunaan
usage	kegunaan
usage	pemakaian
southwest	southwest
refused	ditolak
truth	kebenaran
truth	truth
clark	clark
sufficient	kecukupan
equal	sama
equal	setara
equal	sederajat
administrator	pengurus
administrator	administrator
factory	pabrik
magazines	majalah
flow	flow
flow	mengalir
flow	mengalirlah
flow	aliran
flow	alur
peer	peer
peer	rekan
attacked	menyerang
attacked	diserang
generate	buat
generate	menghasilkan
generate	ciptakan
generate	hasilkan
shape	shape
shape	bentuk
creator	pembuat
creator	pencipta
creator	creator
requires	membutuhkan
requires	memerlukan
requires	mensyaratkan
requires	mengharuskan
option	opsi
lincoln	lincoln
stands	stand
carry	carry
establishment	pembentukan
establishment	pendirian
selling	jual
selling	menjual
causes	penyebabnya
causes	penyebab
causes	menyebabkan
budget	budget
budget	anggaran
battles	pertempuran
sky	sky
sky	langit
sky	angkasa
legend	legend
legend	legenda
arrested	ditahan
arrested	ditangkap
forum	forum
metro	metro
broke	pecah
broke	bangkrut
strike	mogok
strike	strike
strike	serang
strike	coret
injury	cedera
injury	melukai
injury	cidera
ryan	ryan
zero	nol
zero	zero
converted	dikonversi
converted	mengonversi
violence	kekerasan
significantly	signifikan
controlled	dikontrol
controlled	terkendali
controlled	dikendalikan
welsh	welsh
welsh	wales
roger	roger
pdf	pdf
distinguished	dibedakan
distinguished	terhormat
samuel	samuel
translated	diterjemahkan
papers	makalah
papers	kertas
detail	perincian
detail	rincian
detail	detail
detail	detil
chapel	kapel
chapel	chapel
frederick	friedrich
frederick	frederick
thousands	ribuan
thousands	beribu
banks	banks
banks	bank
offensive	ofensif
offensive	menyinggung
offensive	menghina
offensive	serangan
offensive	menyerang
offensive	mengganggu
kings	kings
factor	factor
factor	faktor
replace	replace
replace	ganti
replace	mengganti
replace	menggantikan
replace	gantikan
museums	museum
museums	musium
resistance	perlawanan
resistance	pemberontak
resistance	ketahanan
resistance	resistance
junction	junction
junction	persimpangan
tries	mencoba
tim	tim
engines	mesin
contributed	kontribusi
medium	medium
medium	sedang
medium	menengah
device	perangkat
device	peranti
profit	profit
profit	laba
profit	keuntungan
dream	impian
dream	mimpi
dream	dream
enter	masukkan
enter	enter
twelve	twelve
twelve	duabelas
universal	universal
typical	khas
typical	tipikal
seeing	melihat
seeing	ngeliat
skills	keahlian
skills	skill
skills	keterampilan
bought	dibeli
bought	membeli
passenger	penumpang
cleveland	cleveland
funding	pendanaan
funding	dana
funding	pembiayaan
agriculture	pertanian
parent	orangtua
parent	induk
decades	dekade
receiving	menerima
signal	sinyal
signal	signal
reform	reformasi
organisation	organisasi
prix	prix
column	kolom
utah	utah
managers	manajer
managers	pengelola
qualified	berkualitas
qualified	berkualifikasi
indicate	mengindikasikan
indicate	menunjukkan
ukrainian	ukraina
gay	gay
amateur	amatiran
amateur	amatir
obviously	jelas
flora	flora
gene	jeni
gene	gene
gene	gen
soul	jiwa
soul	soul
alt	alt
discussions	diskusi
montreal	montreal
turns	bergantian
walker	walker
path	jalur
path	tapak
path	path
nice	nice
string	untaian
string	string
influenced	terpengaruh
influenced	memengaruhi
influenced	dipengaruhi
developing	berkembang
developing	kembangkan
developing	mengembangkan
abandoned	terbengkalai
abandoned	ditinggalkan
abandoned	ditelantarkan
humans	manusia
pair	sepasang
pair	pasangan
pair	pair
flat	kempes
flat	flat
flat	rata
flat	datar
sample	sample
sample	sampel
sample	contoh
contained	terkandung
contained	berisi
banned	banned
banned	dilarang
moore	moore
strongly	sangat
strongly	kuat
visited	mengunjungi
visited	dikunjungi
visited	berkunjung
increasing	meningkat
increasing	meningkatkan
attorney	pengacara
arm	lengan
arm	arm
arm	lengannya
mathematics	matematika
canal	kanal
canal	canal
canal	terusan
charts	bagan
thinking	memikirkan
thinking	thinking
thinking	pemikiran
thinking	berpikir
dublin	dublin
suggests	menyarankan
suggests	sarankan
surname	marga
brain	otak
pittsburgh	pittsburgh
blog	blog
economics	economics
economics	ekonomi
seventh	ketujuh
seventh	seventh
alex	alex
employed	dipekerjakan
authors	pengarang
authors	penulis
paintings	lukisan
concerned	khawatir
concerned	peduli
concerned	prihatin
recipients	penerima
scholars	ulama
scholars	sarjana
scholars	cendekiawan
controversial	kontroversial
controversy	kontroversi
expressed	diungkapkan
josé	josé
bodies	badan
bodies	jenazah
bodies	tubuh
conservation	konservasi
maps	maps
maps	peta
marie	marie
arguments	argumen
chain	rantai
focused	fokus
focused	terfokus
readers	pembaca
carl	carl
violation	pelanggaran
offices	kantor
wave	wave
wave	gelombang
wave	ombak
wave	lambaian
circle	lingkar
circle	circle
circle	melingkar
circle	lingkaran
invasion	invasi
jimmy	jimmy
opportunity	peluang
opportunity	kesempatan
determine	menentukan
colspan	colspan
orthodox	ortodoks
orthodox	orthodox
voted	terpilih
formal	formal
seconds	detik
cycle	daur
cycle	siklus
cycle	cycle
doubt	meragukan
doubt	keraguan
doubt	ragukan
doubt	ragu
golf	golf
walls	tembok
walls	dinding
productions	productions
constituency	konstituensi
closely	erat
andy	andy
representing	mewakili
indonesia	indonesia
sell	jual
sell	sell
sell	menjual
mon	mon
drawn	digambar
drawn	ditarik
diocese	keuskupan
tank	tangki
tank	tank
advice	nasihat
advice	nasehat
advice	saran
senator	senator
generated	dihasilkan
malaysia	malaysia
asking	menanyakan
asking	bertanya
finland	finlandia
causing	menyebabkan
leads	prospek
leads	pimpin
leads	lead
lawyer	pengacara
seattle	seattle
gain	keuntungan
gain	bati
gain	gain
index	indeks
saints	santo
saints	saints
runner	runner
runner	pelari
crisis	krisis
crisis	crisis
cinema	cinema
cinema	bioskop
cinema	sinema
matt	matt
hollywood	hollywood
reaction	reaksi
reaction	tanggapan
medals	medali
documents	dokumen
reader	pembaca
reader	reader
lawrence	lawrence
pattern	pola
archives	arsip
atlanta	atlanta
voting	voting
reviewed	diulas
reviewed	meninjau
reviewed	ditinjau
reviewed	ulas
bear	beruang
bear	pikul
bear	bear
perfect	perfect
perfect	sempurna
restored	memulihkan
restored	dipulihkan
bruce	bruce
baltimore	baltimore
baron	baron
pan	pan
commune	komune
fantasy	fantasi
fantasy	fantasy
duty	duty
duty	kewajiban
chair	ketua
chair	kursi
scenes	adegan
broad	luas
opposite	kebalikan
opposite	berlawanan
stuff	hal
stuff	barang
aged	berusia
streets	jalanan
nick	nick
anna	anna
billy	billy
extension	ekstensi
kent	kent
kelly	kelly
shooting	penembakan
shooting	shooting
shooting	menembak
shooting	bidikan
ready	ready
ready	siap
pick	pick
aware	menyadari
aware	sadar
jordan	jordan
jordan	yordania
dictionary	kamus
composition	komposisi
salt	garam
salt	asin
bangladesh	bangladesh
bot	bot
successfully	sukses
successfully	berhasil
benefit	manfaatnya
benefit	benefit
benefit	manfaat
lands	tanah
interests	minat
scheduled	terjadwal
scheduled	dijadwalkan
teachers	guru
closing	penutupan
closing	menutup
closing	closing
advertising	periklanan
advertising	mengiklankan
advertising	iklan
advertising	beriklan
contribution	kontribusi
maine	maine
retirement	pensiun
scientists	ilmuwan
dam	dam
dam	waduk
dam	bendungan
blocks	blok
blocks	pemblokiran
blocks	blokir
las	las
print	cetak
techniques	teknik
participate	berpartisipasi
anniversary	anniversary
requested	diminta
requested	meminta
discovery	temuan
discovery	penemuan
discovery	discovery
explained	dijelaskan
explained	menjelaskan
expedition	ekspedisi
citation	citation
assist	assist
und	und
hampshire	hampshire
creative	kreatif
maintain	pertahankan
maintain	mempertahankan
pierre	pierre
detailed	terperinci
detailed	rinci
facts	fakta
frame	bingkai
frame	frame
finance	keuangan
finance	finansial
finance	finance
socialist	sosialis
script	skrip
script	naskah
script	script
camera	kamera
camera	camera
returns	pengembalian
returns	mengembalikan
engaged	terlibat
engaged	bertunangan
engaged	berinteraksi
assistance	bantuan
experienced	mengalami
experienced	berpengalaman
underground	underground
sale	penjualan
sale	jualan
sale	dijual
sale	sale
sale	obral
beautiful	beautiful
beautiful	cantiknya
beautiful	cantik
beautiful	indah
jane	jane
jane	yeni
abc	abc
successor	penerus
classification	klasifikasi
tool	perkakas
tool	alat
mining	menambang
mining	pertambangan
mining	penambangan
producing	memproduksi
cabinet	lemari
cabinet	kabinet
bytes	byte
bytes	bytes
bytes	bita
ross	ross
russell	russel
russell	russell
maintained	dipelihara
maintained	dikelola
maintained	dipertahankan
evening	evening
evening	petang
evening	sore
evening	malam
singing	menyanyi
singing	bernyanyi
fifa	fifa
gender	gender
lakes	lakes
lakes	danau
mail	surat
mail	mail
mail	surel
jeff	jeff
electoral	pemilu
emergency	darurat
emergency	emergency
mode	moda
mode	modus
mode	mode
christopher	christopher
proved	terbukti
priest	imam
priest	pendeta
priest	priest
funds	dana
investment	investasi
romanian	rumania
session	sesi
session	session
capture	capture
capture	tangkap
capture	penangkapan
capture	menangkap
aspects	aspek
reduce	kurangi
reduce	mengurangi
trophy	trophy
trophy	piala
trophy	trofi
abuse	pelecehan
abuse	penyalahgunaan
prefecture	prefektur
walk	berjalan
walk	berjalanlah
walk	walk
faced	dihadapi
faced	bermuka
normally	normalnya
normally	biasanya
snow	salju
snow	snow
shop	shop
shop	ruko
shop	toko
shop	belanja
shop	berbelanja
dakota	dakota
dakota	desy
bush	semak
bush	bush
coal	batubara
inhabitants	penghuninya
headed	menuju
gary	gary
employees	karyawan
error	galat
error	error
error	eror
error	kesalahan
invited	mengundang
invited	diundang
cable	kabel
protein	protein
accident	kecelakaan
accident	hse
decade	dekade
measure	ukur
measure	mengukur
watched	ditonton
watched	disaksikan
watched	diawasi
patients	pasien
downtown	downtown
animated	animasi
satellite	satellite
satellite	satelit
johnny	johnny
combination	kombinasi
courts	pengadilan
sequence	urutan
hook	hook
hook	kait
hook	kail
clean	bersihkan
clean	bersih
clean	clean
owners	pemilik
owners	pemiliknya
twin	kembaran
twin	kembar
twin	twin
distributed	didistribusikan
describe	deskripsikan
describe	gambarkan
describe	uraikan
describe	jelaskan
defensive	defensif
islam	islam
photos	foto
ottoman	ottoman
ottoman	utsmaniyah
trained	dilatih
trained	terlatih
affected	terpengaruh
affected	terdampak
routes	rute
ministers	menteri
wine	arak
wine	anggur
wine	wine
lanka	lanka
carlos	carlos
landing	landing
landing	pendaratan
landing	mendarat
collected	dikumpulkan
revival	kebangkitan
rio	rio
communes	komune
saturday	sabtu
mps	mps
guess	tebak
guess	menerka
drop	drop
drop	jatuhkan
sarah	sarah
sarah	dedy
swimming	berenang
swimming	renang
membership	keanggotaan
edinburgh	edinburgh
fit	fit
harris	harris
dallas	dallas
degrees	derajat
bachelor	bachelor
bachelor	bujangan
bachelor	sarjana
personally	pribadi
files	berkas
files	file
conduct	perilaku
conduct	pimpin
extreme	ekstrem
extreme	ekstrim
extreme	extreme
courses	kursus
reaching	menjangkau
reaching	mencapai
sought	dicari
vision	penglihatan
vision	visi
vision	vision
vision	yaqin
demand	menuntut
demand	permintaan
demand	demand
vertical	tegak
vertical	vertikal
updated	diperbaharui
updated	diperbarui
marketing	marketing
marketing	memasarkan
marketing	pemasaran
jason	jason
appeal	banding
plane	pesawat
plane	plane
quick	ngakak
quick	cepat
victor	victor
dyk	dyk
solar	surya
solar	solar
ages	usia
ages	ages
ages	umur
neighborhood	lingkungan
wings	sayap
wings	wings
acid	asam
acid	acid
scheme	skema
matters	penting
rfc	rfc
constant	constant
constant	konstanta
constant	konstan
hip	hip
hip	pinggul
admins	admin
admins	pengurus
nova	nova
ceremony	upacara
chile	chili
nazi	nazi
scholar	cendekia
scholar	sarjana
scholar	terpelajar
scholar	cendekiawan
liverpool	liverpool
hero	hero
hero	pahlawan
designer	perancang
designer	designer
designer	desainer
learned	dipelajari
instruments	instrumen
welcome	welcome
hair	hair
hair	rambut
consecutive	berturut
movies	movies
movies	bioskop
movies	film
pool	kolam
pool	pool
norman	norman
collections	koleksi
belgian	belgia
corporate	corporate
corporate	korporasi
austin	austin
austin	ananda
driving	menyetir
driving	mengemudi
driving	berkendara
phone	phone
phone	ponsel
phone	telepon
fly	terbang
fly	lalat
fly	fly
ian	ian
window	window
window	jendela
document	dokumen
adams	adams
collaboration	kolaborasi
margaret	margaret
kennedy	kennedy
leg	kaki
leg	tungkai
leg	leg
videos	videonya
videos	video
videos	videos
assume	berasumsi
assume	asumsikan
assume	mengasumsikan
attached	lampirkan
attached	terlampir
attached	dilampirkan
dry	dry
dry	mengeringkan
dry	kering
dry	keringkan
expand	perluas
expand	ekspansi
expand	kembangkan
expand	luaskan
expand	memperluas
bible	bible
bible	alkitab
matthew	matius
matthew	matthew
depending	bergantung
serbian	serbia
instrument	instrumen
covering	menutupi
covering	meliputi
random	random
random	acak
represents	mewakili
participants	peserta
participants	partisipan
thorough	menyeluruh
mentions	mention
mentions	penyebutan
mentions	mentions
mentions	sebutan
portrait	potret
portrait	portrait
drivers	pengemudi
drivers	driver
airlines	airlines
franklin	franklin
viewers	penampil
viewers	pemirsa
viewers	penonton
finnish	finlandia
differences	perbedaan
differences	perbedaannya
vocal	vocal
vocal	vokal
element	unsur
element	elemen
regularly	teratur
rejected	ditolak
relative	relatif
illegal	illegal
illegal	ilegal
stewart	stewart
roof	atap
roof	roof
leagues	liga
argued	diperdebatkan
argued	berpendapat
colour	warna
colour	colour
morgan	morgan
prisoners	tahanan
prisoners	narapidana
facebook	facebook
attend	menghadiri
attend	hadiri
attend	dampingi
nelson	nelson
insurance	asuransi
expert	ahli
expert	pakar
steam	uap
steam	steam
steam	kukus
cards	kartu
manufacturing	manufaktur
manufacturing	pabrikasi
testing	pengujian
testing	testing
testing	menguji
coastal	pesisir
yorkshire	yorkshire
rescue	penyelamatan
rescue	rescue
territories	wilayah
territories	teritori
thu	thu
thailand	thailand
choose	pilih
vienna	wina
journey	journey
storage	penyimpanan
costs	biaya
costs	biayanya
singh	singh
soldier	tentara
soldier	prajurit
soldier	serdadu
soldier	soldier
colony	koloni
evolution	evolusi
evolution	evolution
taiwan	taiwan
hurricane	badai
hurricane	hurricane
judges	hakim
judges	juri
gardens	gardens
gardens	kebun
poems	puisi
removing	menghapus
driven	driven
driven	didorong
responsibility	tanggungjawab
sentences	kalimatnya
sentences	kalimat
birmingham	birmingham
engineers	insinyur
visible	kelihatan
visible	nampak
visible	terlihat
visible	tampak
substantial	substansial
gulf	gulf
gulf	teluk
installed	dipasang
installed	diinstal
installed	terpasang
installed	terinstal
revolutionary	revolusioner
inner	batin
inner	inner
trip	perjalanan
trip	trip
restaurant	restoran
graham	graham
stores	toko
rice	padi
rice	rice
rice	nasi
rice	nyampe
rice	beras
prove	buktikan
reasonable	beralasan
