andrés	αντρές
matteo	ματέο
protingas	έξυπνο
protingas	έξυπνη
protingas	έξυπνος
protingas	έξυπνη
protingas	ευφυής
protingas	ευφυή
protingas	έξυπνος
vienuolės	μοναχές
vienuolės	καλόγριες
undef	undef
priemaiša	πρόσμειξη
imuniteto	ανοσία
imuniteto	ασυλία
lizdai	υποδοχές
pamokslų	κηρύγματα
maui	μάουι
teisėtai	νομίμως
teisėtai	νομικά
teisėtai	νομικώς
teisėtai	νόμιμα
meilužė	κυρά
meilužė	ερωμένη
delis	δελχί
kriaušių	αχλάδι
kriaušių	αχλάδια
karbonatas	ανθρακικό
žiburiai	φώτα
akcininkai	μέτοχοι
akcininkai	μετόχων
akcininkai	μετόχους
pranciškonai	φραγκισκανός
walther	walther
naujovė	πρωτοτυπία
naujovė	καινοτομίες
naujovė	καινοτομίας
naujovė	καινοτομία
nogajų	νογκάι
ava	ava
atveria	ανοίγει
grove	γκρόουβ
jung	γιουνγκ
jung	τζουνγκ
cartier	καρτιέ
mhnt	mhnt
padažu	σάλτσα
troškimas	πόθος
troškimas	επιθυμία
yucca	γιούκα
ežys	σκαντζόχοιρος
perlai	μαργαριτάρια
linkstama	ανάγλυφο
timbaland	timbaland
paruošimas	προπαρασκευή
paruošimas	προετοιμασία
paruošimas	παρασκεύασμα
triumfas	θρίαμβος
triumfas	θρίαμβο
ursula	ούρσουλα
andersson	άντερσον
andersson	andersson
baba	μπάμπα
testcases	testcases
sikstas	σίξτος
stovyklavietės	κατασκήνωση
stovyklavietės	κάμπινγκ
gianni	gianni
marienburgo	μάλμπορκ
pojūtis	αίσθηση
premjerą	πρωθυπουργός
premjerą	premier
demokratiškai	δημοκρατικά
viršila	ναύκληρος
importuoti	εισαγόμενα
importuoti	εισαγόμενο
importuoti	εισάγονται
rodgers	ρότζερς
chloro	χλωρίνη
chloro	χλώριο
fenech	fenech
įspūdingų	εντυπωσιακή
hibridai	υβριδικά
hibridai	υβρίδια
buteliai	μπουκάλια
buteliai	φιάλες
nicholson	nicholson
nicholson	νίκολσον
guobų	ελμ
saudas	σαούντ
tobulas	τέλειος
tobulas	τέλειο
tobulas	τέλεια
konkurentas	αντίπαλο
konkurentas	αντίπαλος
konkurentas	ανταγωνιστής
konkurentas	ανταγωνιστή
vikšras	κάμπια
falenopsis	phalaenopsis
antonov	antonov
nuestra	nuestra
aimarų	aymara
daugiskaita	πληθυντικός
lervų	προνύμφες
cdu	cdu
dodekaedras	δωδεκάεδρο
lcs	lcs
yamaha	yamaha
gorica	γκόριτσα
vinci	βίντσι
vinci	vinci
pečius	ώμους
pečius	ώμοι
volvo	volvo
graužikai	τρωκτικό
graužikai	τρωκτικά
graužikai	τρωκτικά
andai	άνδεις
pagalvės	μαξιλάρι
kauliukai	ζάρια
izoliuoti	μόνωση
trinties	τριβή
trinties	τριβής
ščecino	szczecin
cronquist	cronquist
tikslūs	ακριβής
tikslūs	ακριβές
tikslūs	ακριβή
tikslūs	ακριβείς
naudingumo	χρησιμότητα
naudingumo	χρησιμότητας
likvidavimo	εκκαθάριση
likvidavimo	εκκαθάρισης
christine	χριστίνα
christine	christine
christine	κριστίν
butelis	μπουκάλι
butelis	φιάλη
