年	ปี
遲	ดึก
遲	ช้า
遲	สาย
詞語	คำ
詞語	ลมปาก
生物學	ชีวภาพ
生物學	ชีววิทยา
債務	หนี้
債務	หนี้
塾	สุก
塾	ซุก
俄語	รัสเซีย
按鈕	ปุ่ม
按鈕	กระดุม
按鈕	ปุ่ม
陣線	หน้า
分化	แบ่ง
週日	อาทิตย์
題目	หัวข้อ
題目	หัวข้อ
高知	kochi
忙	ยุ่งๆ
忙	ยุ่ง
半導體	semiconductors
評分	คะแนน
評分	คะแนน
評分	อัตรา
泡沫	ฟอง
泡沫	โฟม
泡沫	ฟอง
狀元	บัณฑิต
倉庫	โกดัง
比喻	อุทาหรณ์
埋葬	ฝัง
埋葬	ฝัง
埋葬	ฝัง
松鼠	กระรอก
衫	เสื้อ
塵	ฝุ่น
臨床	คลินิก
退伍	ปลด
繞道	อ้อม
輸	หลง
輸	แพ้
輸	เสีย
輸	แพ้
輸	เสีย
林子	ป่า
方形	ตาราง
祝福	พร
祝福	อวยพร
祝福	พร
祝福	พร
祝福	เป็นสุข
陷阱	ดัก
遺傳	พันธุกรรม
遺傳	พันธุกรรม
遺傳	กรรมพันธุ์
遺傳	กรรมพันธุ์
雨水	เรน
雨水	ฝน
干預	แทรกแซง
崩潰	คว่ำ
崩潰	ตก
崩潰	ถล่ม
崩潰	ยุบ
崩潰	ย่อ
手球	แฮนด์บอล
車票	ตั๋ว
車票	บัตร
車票	ตั๋ว
車票	ใบสั่ง
車票	บัตร
訂購	สั่ง
訂購	ลำดับ
鋁	อะลูมิเนียม
師傅	อาจารย์
托馬斯	โธมัส
壟斷	เศรษฐี
變數	ตัวแปร
變數	ตัวแปร
切割	ตัด
雙胞胎	twin
雙胞胎	ฝาแฝด
雙胞胎	แฝด
雙胞胎	ฝาแฝด
雙胞胎	แฝด
聰明	ฉลาด
語文	ภาษา
語文	ภาษา
量化	quantitative
量化	quantification
老大	boss
大象	ช้าง
大象	ช้าง
感應	บรรยากาศ
塑膠	พลาสติก
塑膠	พลาสติก
連鎖	ลูกโซ่
連鎖	โซ่
沙灘	ชายหาด
沙灘	หาด
沙灘	ชายหาด
高棉	เขมร
懸	ห้อย
懸	แขวน
懸	เที่ยว
浪潮	คลื่น
浪潮	เวฟ
浪潮	โบกมือ
浪潮	โบก
盈利	กำไร
盈利	กำไร
辜	กู
濕	เปียก
濕	wet
摩西	โมเสส
網際網路	อินเทอร์เน็ต
網際網路	อินเตอร์เน็ต
戶外	outdoor
文憑	ประกาศนียบัตร
文憑	ประกาศนียบัตร
空缺	ว่างๆ
空缺	ว่าง
阻擋	บล็อก
睡	นอน
睡	หลับ
睡	นอน
蛋糕	เค้ก
蛋糕	เค๊ก
對待	ปฏิบัติ
對待	เลี้ยง
崇德	เฝอ
海嘯	tsunami
旋風	ลมกรด
殘疾	พิการ
處決	ประหาร
自傳	อัตชีวประวัติ
自傳	ชีวประวัติ
病患	คนไข้
病患	อดทน
漁業	ประมง
漁業	ประมง
漁業	ประมง
命中	ฮิต
命中	ตี
命中	ถล่ม
命中	ชน
命中	จีบ
炭	ถ่าน
炭	carbon
炭	คาร์บอน
步驟	ขั้น
步驟	ก้าว
大洲	ทวีป
大洲	ทวีป
縮小	แคบ
縮小	จิตแพทย์
縮小	หด
衡量	วัด
衡量	สัดส่วน
高興	สุขใจ
高興	ดีใจ
高興	แฮปปี้
電路	วงจร
電路	วงจร
墓園	สุสาน
墓園	ป่าช้า
海岸線	ชายฝั่ง
海岸線	ฝั่ง
擢	มิว
詩歌	กลอน
詩歌	กลอน
詩歌	กวี
善良	ชนิด
善良	ใจดี
善良	น้ำใจ
流失	ระบาย
氧化物	ออกไซด์
正方形	ตาราง
保守派	อนุรักษนิยม
判刑	ประโยค
判刑	ประโยค
剪輯	แก้ไข
剪輯	คลิป
剪輯	clip
灶	เตา
複數	พหูพจน์
複數	พจน์
印度教	ฮินดู
外貌	ลักษณะ
短缺	ขาดแคลน
傻	โง่
傻	โง่
跳躍	โดด
跳躍	กระโดด
跳躍	กระโดด
測驗	สอบ
測驗	ทดสอบ
測驗	ทดสอบ
測驗	ทดสอบ
測驗	สอบ
伯德	นก
伯德	เบิร์ด
峽谷	หุบเขา
氣壓	กดดัน
微波	ไมโครเวฟ
液體	ของเหลว
液體	ของเหลว
液體	เหลว
回顧	สรุป
住宿	ที่พัก
住宿	ที่พัก
信念	ศรัทธา
彈頭	ลูกปืน
彈頭	กระสุน
內心	ภายใน
內心	ภายใน
內心	inner
新鮮	สด
新鮮	สดๆ
新鮮	สดชื่น
沼澤	บึง
沼澤	ห้วย
沼澤	บึง
表情	สำนวน
幻影	phantom
遙遠	ไกล
塑像	อนุสาวรีย์
牛肉	เนื้อ
樓梯	บันได
狩獵	ล่า
狩獵	ฮันท์
穩	คงที่
穩	นิ่ง
穩	มั่นคง
等候	รอ
軌跡	แทร็ก
軌跡	แทร็ค
風景	บรรยากาศ
風景	ทัศนียภาพ
風景	ทิวทัศน์
滴	วาง
滴	หย่อน
滴	หยด
滴	ดรอป
滴	หยด
滴	หยอด
滴	หยด
昏迷	โคม่า
微型	micro
微型	ไมโคร
海豹	ผนึก
海豹	ผนึก
大廳	ฮอล
大廳	ฮอลล์
大廳	ล็อบบี้
神廟	วิหาร
神廟	วัด
界限	ขอบเขต
斯德哥爾摩	สตอกโฮล์ม
岩手	iwate
日誌	วารสาร
喊	ตะโกน
喊	ตะโกน
花瓣	กลีบ
花瓣	กลีบ
袍	อาภรณ์
總和	ซำ
著作權	ลิขสิทธิ์
著作權	copyright
熱心	กระตือรือร้น
放射	รังสีวิทยา
放射	การแผ่รังสี
放射	รังสี
小熊	คับ
平板	แท็บเล็ต
摩擦	ถู
敵方	ข้าศึก
敵方	ศัตรู
繁榮	ตูม
繁榮	บูม
繁榮	รุ่งเรือง
輪胎	ยาง
輪胎	ยาง
輪胎	ยาง
蟬	จักจั่น
肺炎	ปอดบวม
親屬	ญาติๆ
親屬	ญาติ
醬	ซอส
醬	น้ำปลา
珠寶	อัญมณี
珠寶	อัญมณี
斧	ขวาน
焊接	เชื่อม
獎學金	ทุน
視訊	วีดีโอ
視訊	วิดีโอ
資本主義	นายทุน
資本主義	ทุนนิยม
辛苦	แรง
辛苦	โหม
辛苦	ลำบาก
辛苦	หนัก
辛苦	ฮาร์ด
辛苦	ยาก
有毒	พิษ
排水	ระบาย
奇異	เอกพจน์
慢性	เรื้อรัง
馬達	มอเตอร์
馬達	motor
馬達	มอเตอร์
光榮	รุ่งโรจน์
光榮	รุ่งโรจน์
胡椒	พริก
自信	มั่นใจ
自信	มั่นใจ
枕	หมอน
寺廟	วิหาร
寺廟	วัด
寺廟	วัด
鈾	ยูเรเนียม
伴侶	คู่หู
伴侶	สหาย
電荷	ประจุ
電荷	ชาร์ต
電荷	ชาร์จ
廚房	ทำครัว
廚房	ครัว
溫柔	นุ่ม
潮汐	tidal
事變	เหตุการณ์
陀螺	gyro
申訴	บ่น
蔓延	แพร่
蔓延	กระจาย
燈塔	ประภาคาร
加勒比	แคริบเบียน
粉碎	ทุบ
醜聞	ฉาว
骨頭	กระดูก
骨頭	โบนส์
骨頭	กระดูก
堡壘	ป้อม
堡壘	ปราการ
工資	ค่าแรง
工資	ค่าแรง
犀牛	แรด
犀牛	แรด
乘車	ขี่
寂寞	เหงา
花卉	floral
花卉	ดอกไม้
庭院	ลาน
庭院	สนาม
庭院	ลาน
樞紐	ฮับ
樞紐	ฮับ
蘇維埃	โซเวียต
蘇維埃	โซเวียต
煙花	พลุ
煙花	พลุ
和諧	ปรองดอง
室外	นอก
室外	ภายนอก
室外	outdoor
鵝	ห่าน
坐標	ประสาน
坐標	พิกัด
破解	ร่อง
破解	ร้าว
捲	กลิ้ง
捲	ม้วน
阻力	ลาก
關懷	ห่วงใย
沙拉	สลัด
耳朵	หู
耳朵	หู
熔岩	ลาวา
疼痛	ปวด
獨家	exclusive
獨家	พิเศษ
冥王星	พลูโต
掩護	ปก
掩護	cover
掩護	ปกปิด
鈍	ทื่อๆ
復原	ฟื้นฟู
復原	ซ่อมแซม
清潔	ล้าง
清潔	สะอาด
清潔	clean
友誼	มิตรภาพ
多元化	plurality
多元化	pluralism
友善	มิตร
山麓	piedmont
甜蜜	หวานๆ
甜蜜	หวาน
瘦	ผอม
瘦	slim
瘦	เพรียว
瘦	บาง
瘦	ผอม
瘦	บางๆ
甲烷	มีเทน
優質	คุณภาพ
稀少	ขาดแคลน
山羊	แพะ
山羊	แพะ
丟	ขว้าง
丟	โยน
雪梨	ซิดนีย์
鳳蝶	papilio
消化	สรุป
成效	ประสิทธิ์
樹木	ต้น
樹木	ต้นไม้
樹木	ต้นไม้
陶器	เครื่องปั้นดินเผา
租賃	เช่า
租賃	เช่า
馬達加斯加	มาดากัสการ์
告別	อำลา
胖	อ้วน
胖	อ้วนๆ
狹窄	แคบ
節省	ออม
磚	อิฐ
利率	อัตรา
高大	สูง
意向	เจตนา
重溫	หวน
爺爺	ปู่
情侶	คู่รัก
情侶	คู่
情侶	คู่รัก
情侶	คู่รัก
示範	โมเดล
示範	รุ่น
示範	สาธิต
示範	สาธิต
宮殿	วัง
宮殿	ราชวัง
宮殿	พระราชวัง
智力	ปัญญา
智力	ปัญญา
發光	ประกาย
發光	ส่อง
發光	เปล่งปลั่ง
結盟	พันธมิตร
異議	ค้าน
異議	คัดค้าน
係數	สัมประสิทธิ์
抱怨	บ่น
抱怨	บ่น
窮	คนจน
窮	ยากจน
銀色	ซิลเวอร์
銀色	เงิน
鞘	ฝัก
小牛	ลูกวัว
訪談	interview
訪談	สัมภาษณ์
訪談	สัมภาษณ์
口味	รส
口味	รสชาติ
口味	รสนิยม
口味	รสชาติ
宗派	sectarian
人性	มนุษยชาติ
人性	มนุษยธรรม
噴發	ปะทุ
溶解	ละลาย
天平	เกล็ด
天平	ตาชั่ง
腸	ไส้กรอก
腸	ลำไส้
腸	ลำไส้
腸	ลำไส้
液晶	lcd
福爾摩斯	โฮล์มส์
福爾摩斯	โฮล์ม
野心	ทะเยอทะยาน
別墅	คฤหาสน์
幅度	ช่วง
籠	กรง
顯示器	แสดง
顯示器	จอภาพ
奶奶	ยาย
蚊	ยุง
蝙蝠俠	batman
廁所	ส้วม
廁所	ห้องน้ำ
葉子	ใบไม้
葉子	ใบไม้
大塚	otsuka
禮拜	บูชา
禮拜	นมัสการ
樣式	สไตล์
樣式	สไตล์
螢	ying
螢	อิง
聖殿	วิหาร
聖殿	วัด
郵票	แสตมป์
騷擾	ก่อกวน
騷擾	ก่อกวน
攝影機	กล้อง
皇宮	วัง
皇宮	ราชวัง
皇宮	พระราชวัง
微小	จิ๋ว
溫和	mild
溫和	อ่อน
公升	ลิตร
公升	ลิตร
悼念	ส่วย
悼念	บรรณาการ
悼念	ส่วย
悼念	บรรณาการ
辣椒	พริก
辣椒	พริก
悲劇	สลด
悲劇	โศกนาฏกรรม
鎖定	ล็อก
鎖定	ล็อค
鎖定	ล็อก
鎖定	ล็อค
租金	เช่า
租金	เช่า
租金	เช่า
彎曲	โค้ง
彎曲	ย่อ
溫暖	อบอุ่น
溫暖	อุ่น
解剖	กายวิภาค
解剖	กายวิภาคศาสตร์
解剖	ชำแหละ
解剖	ชันสูตร
手套	ถุงมือ
手套	ถุงมือ
硬幣	เหรียญ
硬幣	เหรียญ
硬幣	coin
硬幣	คลัง
朝代	ราชวงศ์
你好	สวัสดี
你好	hello
皂	สบู่
鉛	นำ
鉛	ตะกั่ว
鞭	แส้
鞭	แสด
鞭	หวด
錐	กรวย
錐	โคน
界定	กำหนด
界定	นิยาม
氣溫	อุณหภูมิ
氣溫	อุณหภูมิ
彈性	ยืดหยุ่น
彈性	flex
野牛	ควาย
特許	concession
紀念館	อนุสรณ์
戒指	แหวน
戒指	วงแหวน
戒指	ring
戒指	ริง
戒指	วงแหวน
戒指	แหวน
祭司	นักบวช
乘法	คูณ
繪圖	กราฟิก
食堂	กระติก
專長	niche
專長	ชำนาญ
基底	ใต้ถุน
骨架	โครง
更正	แก้
特種部隊	สวาท
特種部隊	swat
音速	โซนิค
叻	ลาด
照射	exposures
標語	สโลแกน
標語	คำขวัญ
標語	สโลแกน
標語	slogan
摩天大樓	ตึกระฟ้า
摩天大樓	ตึกระฟ้า
迷失	หลง
迷失	แพ้
迷失	เสีย
警務	ตำรวจ
仙女座	andromedae
橘子	ส้ม
橘子	ส้ม
歌聲	ร้อง
散射	ลวดลาย
散射	กระจาย
散射	โปรย
布加勒斯特	บูคาเรสต์
存款	มัดจำ
獨裁	เผด็จการ
宮廷	วัง
宮廷	ราชวัง
宮廷	พระราชวัง
想象	จินตนาการ
想象	จินตนาการ
祈禱	ภาวนา
祈禱	สวด
祈禱	อธิษฐาน
祈禱	ภาวนา
廚師	เชฟ
廚師	ปรุง
廚師	ครัว
廚師	หุง
王冠	crown
王冠	มงกุฎ
王冠	มงกุฎ
營養	โภชนาการ
橡膠	ยาง
教義	ลัทธิ
扳機	ไก
區塊	บล็อก
區塊	บล็อก
區塊	บล็อค
地道	อุโมงค์
地道	อุโมงค์
所羅門	โซโลมอน
附上	แนบ
附上	ล้อม
機長	กัปตัน
聲援	สามัคคี
核子	นิวเคลียร์
莖	ก้าน
雨林	ป่าดิบ
廢棄	ร้าง
檢視	ดู
學說	ลัทธิ
加熱	ร้อน
暴風	พายุ
掃描	สแกน
壺	กระถาง
壺	หม้อ
壺	กัญชา
壺	หม้อ
壺	เหยือก
電報	โทรเลข
電報	โทรเลข
蒸	นึ่ง
升降機	เหิร
升降機	ลิฟท์
城牆	ผนัง
城牆	กำแพง
散布	กระจาย
散布	โปรย
斐濟	ฟิจิ
潛在	ศักยภาพ
呼叫	โทร
烤	อบต
烤	อบ
烤	ย่าง
口腔	ปาก
時鐘	นาฬิกา
論點	อาร์กิวเมนต์
左邊	ซ้าย
左邊	เหลือ
勇氣	กล้า
喵	เมี้ยว
喵	เหมียว
喵	เมี๊ยว
摩納哥	โมนาโก
格言	คติพจน์
格言	คำขวัญ
腐	เน่า
出處	ต้นทาง
出處	ที่มา
出處	กำเนิด
瘋	บ้า
瘋	เพี้ยน
金子	ทอง
金子	โกลด์
金子	ทองคำ
贏	win
贏	ชนะ
災害	หายนะ
持久	ทนทาน
持久	ยั่งยืน
晚餐	ดินเนอร์
豆腐	เต้าหู้
濕地	wetland
東正教	orthodoxy
燕子	กลืน
追逐	เชด
追逐	เชส
美式足球	ฟุตบอล
天然氣	แก๊ส
天然氣	ก๊าซ
天然氣	น้ำมัน
方塊	ลูกบาศก์
方塊	ตาราง
均衡	สมดุล
均衡	สมดุล
均衡	สมดุล
掃	กวาด
叢林	ป่า
慶典	ฉลอง
膝	เข่า
膝	เข่า
粗糙	ขรุขระ
粗糙	ลำบาก
粗糙	หยาบ
粗糙	หยาบ
激情	กิเลส
激情	ตัณหา
珍貴	ล้ำค่า
門票	ตั๋ว
門票	บัตร
門票	ตั๋ว
門票	ใบสั่ง
門票	บัตร
長春	changchun
獅子座	สิงห์
獅子座	leo
愛心	ห่วงใย
約旦	จอร์แดน
約旦	jordan
性行為	เพศ
性行為	เซ็กซ์
性行為	sex
地下室	ใต้ถุน
佛法	ธรรมะ
生殖	สืบพันธุ์
十個	ten
十個	สิบ
冰球	ฮอกกี้
投射	ทิพย์
漢城	โซล
酸性	กรด
展望	outlook
展望	นิมิตร
多明尼加	โดมินิกัน
猴子	ลิง
抬	ยก
俄文	รัสเซีย
揭示	เผย
揭示	เผย
前景	ฝึกงาน
妄想	หวาดระแวง
妄想	ระแวง
妄想	หวาดระแวง
妄想	ประสาทหลอน
成年人	ผู้ใหญ่
成年人	ผู้ใหญ่
冬青	ฮอล
明智	ฉลาด
抽籤	วาด
椅	เก้าอี้
椅	เก้าอี้
聖人	นักบุญ
聖人	นักบุญ
聖人	เซนต์
蒜	กระเทียม
居所	ที่พัก
優點	ข้อดี
思維	คิด
計程車	taxi
計程車	แท็กซี่
布魯塞爾	บรัสเซลส์
昂貴	แพงๆ
昂貴	แพง
大麻	กัญชา
大麻	วัชพืช
大麻	กัญชา
小丑	joker
小丑	โจ๊ก
關島	กวม
大通	เชด
大通	เชส
破碎	แตก
破碎	แตกหัก
破碎	พัง
破碎	ชำรุด
破碎	สลาย
破碎	หัก
破碎	แตก
語氣	โทน
隔離	แยก
砸	ทุบ
生病	ป่วย
生病	ป่วย
摔跤	ปล้ำ
高爾夫球	กอล์ฟ
惡作劇	วิปริต
佈局	แผนผัง
佈局	layout
拳擊	boxing
拳擊	มวย
拳擊	ชกมวย
青蛙	กบ
青蛙	กบ
探險家	สำรวจ
拖延	ล่าช้า
安息	ฉีก
安息	rip
震撼	เขย่า
商家	พ่อค้า
煩惱	รำคาญ
脊椎動物	vertebrates
粉紅色	pink
粉紅色	ชมพู
粉紅色	สีชมพู
頸部	คอร์
頸部	คอ
頸部	คอง
頸部	ต้นคอ
脆弱	บอบบาง
脈衝	ชีพจร
客房	ห้อง
協和	คอร์ด
亞馬遜	amazon
眼淚	ฉีก
眼淚	น้ำตา
眼淚	น้ำตา
休假	ทิ้ง
口音	สำเนียง
領導者	ผู้นำ
領導者	ผู้นำ
言語	คำ
言語	ลมปาก
王座	บัลลังก์
核糖	ribose
糖果	ลูกอม
糖果	candy
糖果	ขนม
山寨	กระท่อม
利潤	กำไร
利潤	กำไร
範例	ตัวอย่าง
範例	ตัวอย่าง
弊	cons
切換	สลับ
切換	สลับ
琮	cong
蚜	aphid
海邊	ชายทะเล
括號	วงเล็บ
括號	วงเล็บ
震驚	ตกใจ
震驚	ช็อค
震驚	ช๊อค
震驚	ช็อก
震驚	ช็อต
震驚	ช็อก
震驚	ตกใจ
郵件	จดหมาย
代理人	ตัวแทน
代理人	เอเย่นต์
材質	วัสดุ
美味	อร่อย
美味	อร่อย
美味	อร่อย
熔	ละลาย
蜜蜂	ผึ้ง
蜜蜂	บี
蜜蜂	ผึ้ง
瑜伽	โยคะ
茉莉	molly
療法	บำบัด
注意力	ใส่ใจ
注意力	สนใจ
石灰岩	หินปูน
站立	ยืน
站立	ยืน
站立	stand
站立	ทน
鼓吹	เทศนา
鼓吹	ประกาศ
鍋	กระถาง
鍋	หม้อ
鍋	กัญชา
鍋	หม้อ
鍋	กระทะ
職責	duty
職責	หน้าที่
職責	หน้าที่
大連	เหลียน
忠誠	ซื่อสัตย์
忠誠	ภักดี
忠誠	ศรัทธา
祖國	มาตุภูมิ
供電	ไฟฟ้า
老化	ริ้ว
經紀人	โบรกเกอร์
經紀人	broker
發育	พัฒนาการ
槍口	ตะกร้อ
仇恨	เกลียด
矮人	แคระ
穩定性	เสถียรภาพ
混沌	วุ่นวาย
鑰匙	กุญแจ
鑰匙	คีย์
世襲	กรรมพันธุ์
摩托車	มอเตอร์ไซค์
地雷	ตะเข็บ
地雷	เหมือง
安慰	สบาย
安慰	สบายใจ
安慰	ปลอบ
空手道	คาราเต้
乾燥	แห้ง
乾燥	แล้ง
乾燥	แห้งๆ
點數	เครดิต
點數	ชี้
點數	แต้ม
點數	คะแนน
點數	จุด
警示	เตือน
警示	แจง
潛力	ศักยภาพ
潛力	ศักยภาพ
班級	ห้องเรียน
班級	คลาส
班級	ห้องเรียน
班級	คลาส
班級	เรียน
送出	ส่ง
聚焦	โฟกัส
佐賀	saga
佛羅里達	ฟลอริดา
工地	ไซต์
腎	ไต
腎	ไต
波恩	bonn
觸發	ไก
觸發	กระตุ้น
香水	น้ำหอม
香水	น้ำหอม
美式	อเมริกัน
診所	คลินิก
診所	คลินิก
大膽	หนา
鈣	แคลเซียม
民主化	democratization
淡出	จาง
煤礦	ถ่าน
煤礦	ถ่านหิน
宣揚	เทศนา
宣揚	ประกาศ
學期	เทอม
學期	วาระ
固體	ทึบ
固體	ของแข็ง
固體	มั่นคง
固體	solid
固體	แข็ง
寄宿	ประจำ
鼻子	จมูก
芝麻	งา
諜	สปาย
訂單	ลำดับ
特權	เอกสิทธิ์
特權	อภิสิทธิ์
水解	hydrolysis
猩猩	อุรังอุตัง
猩猩	ลิง
證人	พยาน
本體	ontology
女巫	แม่มด
擁抱	hug
擁抱	กอด
擁抱	กอด
西邊	เวสต์
陣列	อาร์เรย์
耐心	อดทน
竇	ไซนัส
竇	หมา
竇	หมาก
竇	สุนัข
吸引力	แรงดึงดูด
吸引力	อุทธรณ์
甘蔗	อ้อย
甘蔗	เฆี่ยน
哭泣	ร้องไห้
哭泣	ร้องไห้
紀律	วินัย
酷刑	ทรมาน
三叉戟	สามง่าม
展品	นิทรรศการ
展品	นิทรรศการ
仰光	ย่างกุ้ง
豁免	ภูมิคุ้มกัน
南昌市	nanchang
推斷	อนุมาน
花絮	เบ็ดเตล็ด
暹羅	สยาม
暹羅	สยาม
鑄造	casting
刪去	ลบ
礦物	แร่
礦物	แร่
麻醉	ยาสลบ
加深	กระชับ
芳香	หอม
服務業	บริการ
守衛	ยาม
守衛	รักษ์
守衛	องครักษ์
氣球	บอลลูน
氣球	ลูกโป่ง
氣球	บอลลูน
倫理	จริยธรรม
倫理	จริยธรรม
一幕	ฉาก
摸	touch
摸	แตะ
摸	ทัช
摸	สัมผัส
憲政	รัฐธรรมนูญ
艾瑪	emma
艾瑪	เอ็มม่า
雅加達	จาการ์ตา
營利	กำไร
良心	สำนึก
良心	จิตสำนึก
良心	มโนธรรม
招標	นุ่ม
傳道	เทศนา
傳道	ประกาศ
雨傘	ร่ม
雨傘	ร่ม
閃光	flash
閃光	แฟลช
和弦	คอร์ด
和弦	คอร์ด
子爵	vicomte
削減	ตัด
削減	กรีด
削減	คัท
削減	ตัด
削減	ตัด
髮型	ขน
髮型	เส้นผม
殘酷	โหด
單身	single
單身	โสด
大自然	สันดาน
大自然	ธรรมชาติ
犀	แรด
九個	เก้า
雇用	จ้าง
悲傷	เศร้าๆ
悲傷	เศร้า
僧侶	บวช
僧侶	พระ
粉紅	pink
粉紅	ชมพู
粉紅	สีชมพู
原油	หยาบ
浴	อ่างอาบน้ำ
浴	อาบ
感恩	กตัญญู
感恩	กตัญญู
感恩	กตัญญู
生氣	โมโห
生氣	โกรธ
星期天	อาทิตย์
塵埃	ฝุ่น
塵埃	fallout
平滑	เรียบ
薄弱	อ่อนแอ
薄弱	อ่อน
指明	ระบุ
謊言	โกหก
宙斯	ซุส
宙斯	ซุซุ
野獸	อสูร
野獸	สู
填充	กรอก
填充	เติม
起因	สาเหตุ
水分	ความชื้น
縫	เย็บ
敲	เคาะ
敲	ก๊อก
頂端	ท็อป
角落	มุม
角落	มุม
燈光	ไฟ
燈光	แสง
燈光	สว่าง
燈光	เบา
燈光	ไลท์
燈光	แสง
瑪利亞	maria
太陽能	สุริยะ
太陽能	สุ
儲備	สำรอง
反對派	ค้าน
舵	นำร่อง
池塘	สระ
池塘	บ่อ
講話	สุนทรพจน์
假說	hypotheses
假說	สมมติฐาน
假說	สมมุติฐาน
邪教	ลัทธิ
醚	ether
醚	ethers
榮耀	รุ่งโรจน์
鳩	พิราบ
叛軍	rebels
叛軍	กบฏ
家園	มาตุภูมิ
波動	ผันผวน
層次	ระดับ
層次	เลเวล
矽	ซิลิคอน
繡	ปัก
笨	โง่
少了	น้อย
康復	รักษา
大院	สารประกอบ
布希	bush
布希	บุช
莊園	คฤหาสน์
欺騙	cheat
欺騙	โกง
欺騙	โกง
欺騙	นอกใจ
花朵	ดอกไม้
花朵	ดอกไม้
花朵	flower
皮革	หนัง
徒弟	สาวก
徒弟	ศิษย์
徒弟	ศิษย์
下限	พื้น
牛仔	คาวบอย
牛仔	cowboys
牛仔	คาวบอย
親戚	สัมพันธ์
親戚	ญาติ
親戚	ญาติๆ
親戚	ญาติ
上學	โรงเรียน
窯	แวร์
紅十字會	icrc
乳房	อก
乳房	ทรวงอก
乳房	หน้าอก
正宗	authentic
感興趣	สนใจ
偷偷	แอบ
毫克	มิลลิกรัม
骨折	แตกหัก
史學	historiography
泳池	สระ
泳池	pool
泳池	พูล
舉例	ตัวอย่าง
黏	หนึบ
黏	เหนียว
偏差	อคติ
陰影	เงามืด
陰影	เงา
陰影	shadow
陰影	เงา
鱷魚	จระเข้
殘骸	ซาก
籽	ธัญพืช
籽	เมล็ด
付款	จ่าย
付款	ชำระ
白銀	ซิลเวอร์
白銀	เงิน
水牛	ควาย
孫子	หลาน
孫子	หลานๆ
孫子	หลาน
孫子	หลาน
黑幫	มาเฟีย
黑幫	นักเลง
黑幫	แก๊ง
師父	อาจารย์
寶寶	ลูก
寶寶	ทารก
寶寶	เบบี้
寶寶	ที่รัก
線索	เงื่อนงำ
線索	เงื่อนงำ
線索	เบาะแส
車庫	อู่
車庫	โรงรถ
綠黨	เขียว
蟒	ไพธอน
力學	กลศาสตร์
力學	กลไก
處罰	ลงโทษ
代理商	ตัวแทน
代理商	เอเย่นต์
舒適	สบาย
舒適	สบายใจ
舒適	อบอุ่น
舒適	สบาย
舒適	สบาย
舒適	สะดวก
舒適	สบาย
舒適	สบายใจ
充電	ประจุ
充電	ชาร์ต
充電	ชาร์จ
充電	ชาร์จ
鎳	นิกเกิล
飛翔	ฟลาย
飛翔	บิน
飛翔	ฟลาย
飛翔	บิน
礦業	เหมือง
地勢	ภูมิประเทศ
谷地	หุบเขา
桃子	ท้อ
桃子	พีช
電纜	เคเบิล
電纜	เคเบิ้ล
電纜	เบิ้ล
蝨	เหา
田野	ฟิลด์
田野	ช่อง
腐敗	ทุจริต
腐敗	คอรัปชั่น
腐敗	บ่อน
無聊	เบื่อ
女朋友	แฟน
顎	กราม
顎	ราม
顎	โหว่
酒館	ผับ
政治學	การเมือง
飛碟	ufo
飛碟	ufo
供給	จัดหา
請願	คำร้อง
鹿特丹	rotterdam
好奇	สงสัย
盎司	ออนซ์
盎司	ออนซ์
放逐	เนรเทศ
利息	ดอกเบี้ย
利息	สนใจ
物料	วัสดุ
物料	วัตถุดิบ
物料	วัสดุ
蟻	มด
蟻	มด
砂岩	หินทราย
鏢	โผ
辯護	ป้องกัน
波浪	คลื่น
波浪	คลื่น
波浪	เวฟ
波浪	โบกมือ
波浪	โบก
猶太教	ยิว
凜	ริน
愛人	คู่รัก
愛人	lover
各區	เขต
瓶子	ขวด
瓶子	ขวด
演示	สาธิต
演示	สาธิต
倡議	ริเริ่ม
倡議	initiative
盒子	box
盒子	กล่อง
盒子	ช่อง
液態	ของเหลว
液態	เหลว
博弈	เกม
博弈	เกมส์
百分比	เปอร์เซนต์
百分比	เปอร์เซ็นต์
百分比	เปอร์เซ็นต์
製造業	ผลิต
妥協	ประนีประนอม
動議	เคลื่อนไหว
評判	ตัดสิน
經文	คัมภีร์
奉獻	ทุ่มเท
藥品	เวชศาสตร์
藥品	ยา
藥品	ยา
清新	สด
清新	สดๆ
清新	สดชื่น
地基	รากฐาน
雇主	นายจ้าง
雇主	นายจ้าง
吃了	ทาน
吃了	กิน
詐騙	ฉ้อโกง
任用	นัด
階梯	บันได
階梯	บันได
煙火	พลุ
煙火	พลุ
反彈	เด้ง
反彈	กระเด้ง
屏障	อุปสรรค
屏障	กั้น
姿勢	โพส
姿勢	ท่า
孤兒	กำพร้า
週四	พฤหัส
週四	พฤหัส
週四	พฤหัสฯ
週四	พฤหัสบดี
船塢	อู่
船塢	ท่าเรือ
碉堡	บังเกอร์
魔術師	มายากล
寶座	บัลลังก์
電子郵件	อีเมล
電子郵件	อีเมล์
加速度	เร่ง
加速度	ความเร่ง
喇叭	แตร
晶體	ใส
晶體	ผลึก
開花	ดอก
開花	บลูม
廉價	ถูกๆ
空心	โพรง
音訊	เสียง
叛逆	กบฏ
密封	ผนึก
快車	express
警衛	องครักษ์
信賴	ไว้ใจ
彌撒	มวล
彌撒	ก้อน
撞球	บิลเลียด
撞球	สระ
撞球	pool
撞球	พูล
後援	สำรอง
關稅	ศุลกากร
