the	die
photography	fotografie
knights	knights
roll	rol
progressive	progressiewe
contrast	kontras
processes	prosesse
terminal	terminaal
executed	uitgevoerde
executed	uitgevoer
shall	shall
svg	svg
spouse	gade
spouse	eggenoot
infrastructure	infrastruktuur
principle	beginsel
painters	skilders
painted	painted
painted	gekleur
painted	ingekleur
painted	geverf
frequency	frekwensie
shaped	gevormde
shaped	shaped
robinson	robinson
waters	waters
ridge	rif
bridges	bridges
bridges	brûe
ceo	ceo
ceo	hub
monument	monument
mental	mental
carter	carter
karl	karl
mac	mac
orleans	orleans
portal	portal
parallel	parallel
parallel	parallelle
thirty	dertig
giant	reus
qualifying	kwalifiserende
murray	murray
afghanistan	afghanistan
assessment	beoordeling
counter	teller
counter	toonbank
purchase	aankoop
purchase	aankope
expression	uitdrukking
uefa	uefa
madrid	madrid
wheel	wiel
ambassador	ambassador
desert	woestyn
iranian	irannese
reign	reign
uncle	oom
severe	severe
rain	reën
fishing	visvang
raise	lig
broadway	broadway
principles	beginsels
grow	blou
tests	toetse
roughly	rofweg
tech	tech
trouble	sukkel
rico	rico
paragraph	paragraaf
bat	vlermuis
prepared	bereid
prepared	prepared
robin	robin
fear	vrees
merit	merit
participation	deelname
massive	massiewe
massive	massive
designs	ontwerpe
agencies	agentskappe
technique	technique
technique	tegniek
alberta	alberta
egyptian	egiptiese
clerk	klerk
clerk	clerk
knew	knew
knew	geweet
narrow	smal
adapted	adapted
commissioner	kommissaris
rapid	rapid
dating	dating
businesses	besighede
bomb	bomb
bomb	bom
capable	bekwame
poem	gediggie
poem	gedig
stages	stages
honorary	honorary
dragon	draak
dragon	dragon
charged	gehef
charged	volgelaai
propose	propose
modified	gewysig
fired	gidse
fired	afgedank
mlb	mlb
send	stuur
proof	proeflees
proof	bewys
practices	praktyke
practices	reguleer
arabic	arabies
arabic	arabiese
arabic	arabic
attractions	attraksies
mouth	mond
fix	regmaak
licensed	gelisensieerde
licensed	gelisensieer
symbol	simbool
organ	orrel
damaged	beskadig
warren	warren
exception	uitsondering
costa	costa
unfortunately	ongelukkig
jerusalem	jerusalem
replacement	plaasvervanger
indians	indians
indians	indiane
soundtrack	klankbaan
virgin	virgin
virgin	maagd
thousand	duisend
vancouver	vancouver
legislation	wetgewing
beauty	skoonheid
credits	krediete
credits	loubser
buy	koop
serbia	serwies
serbia	serwië
christianity	christendom
christianity	christianity
opinions	opinies
cavalry	kavallerie
tribe	tribe
richmond	richmond
chess	skaak
channels	kanale
exact	presiese
exact	presies
baker	baker
baker	bakker
allied	allied
anime	anime
donald	donald
sisters	susters
willing	gewillig
willing	bereid
requests	versoeke
impossible	onmoontlik
cook	cook
drawing	skets
drawing	tekening
wikimedia	wikimedia
jonathan	jonathan
removal	verwydering
moves	skuiwe
ownership	eienaarskap
shore	shore
monitored	gemonitor
nebraska	nebraska
regulations	regulasies
crash	omval
crash	insident
crash	crash
abbey	abdy
abbey	abbey
nevada	nevada
nevada	noorweë
barry	barry
tone	skakering
tone	tone
personality	persoonlikheid
reception	ontvangs
transit	transit
buffalo	buffalo
flowers	blomme
bond	bind
jay	jay
adventure	avontuur
definitely	beslis
guinea	guinee
horror	gruwel
horror	riller
horror	horror
rangers	rangers
apple	appel
apple	apple
popularity	gewildheid
coalition	koalisie
franchise	franchise
critic	kritici
rolling	rolling
percentage	persentasie
silent	stil
laboratory	laboratorium
microsoft	microsoft
movements	movements
alternate	afwissel
alternate	alternatiewe
missions	missions
hlist	hlist
experimental	eksperimentele
experimental	eksperimenteel
rooms	kamers
rooms	rooms
reputation	reputasie
accurate	akkurate
accurate	akkuraat
versus	versus
websites	webwerwe
tagged	gemerk
chemistry	chemie
manga	manga
journalists	joernaliste
cbs	cbs
comprehensive	omvattende
symphony	simfonie
electrical	elektriese
tags	merkers
tags	etiket
meters	meter
jerry	jerry
tigers	tigers
addressed	aangespreek
phil	phil
automatic	outomatiese
automatic	outomaties
gang	bende
printed	printed
oak	oak
warner	warner
tend	tend
separated	geskeide
separated	geskei
bishops	bishops
glasgow	glasgow
wait	wag
wait	wait
battery	battery
favor	verkies
benjamin	benjamin
shopping	inkopies
shopping	shopping
patrol	patrollie
eagle	eagle
eagle	arend
mainstream	hoofstroom
mainstream	mainstream
angel	engel
angel	angel
martial	martial
restoration	restourasie
delhi	delhi
hans	hans
indicated	aangedui
morris	morris
railways	railways
centers	sentrums
mills	mills
helpful	nuttige
helpful	gehelp
helpful	hulpvaardig
helpful	behulpsaam
helpful	nuttig
delivered	afgelewer
components	komponente
victorian	victoriaanse
legislature	wetgewer
tourism	toerisme
treated	behandel
kids	kinders
barbara	barbara
essay	opstel
circumstances	omstandighede
repeated	herhaalde
plain	gewoon
plain	eenvoudig
superior	superior
similarly	insgelyks
duties	pligte
grammar	grammatika
grammar	grammar
alleged	beweerde
relation	betrekking
relation	verwantskap
habitat	habitat
spoken	gesproke
shell	tolk
shell	dop
mounted	gekoppelde
mounted	gemonteer
mounted	geheg
entries	inskrywings
conflicts	teenstrydighede
conflicts	botsings
philippine	filippynse
montana	montana
triple	drievoudige
triple	triple
hosts	aanbieders
hosts	gashere
signs	tekens
seriously	erg
bristol	bristol
mitchell	mitchell
industries	industries
colombia	colombia
eleven	elf
pradesh	pradesh
charity	liefdadigheid
output	afvoer
dna	dna
dna	dns
carbon	koolstof
boats	boats
boats	bote
representation	verteenwoordiging
commentary	commentary
rising	toeneem
visitors	besoekers
markets	markte
plate	plate
plate	plaat
giants	giants
landscape	landskap
dick	dick
hunt	hunt
summit	summit
psychology	sielkunde
ride	rit
ride	ride
greatly	bemoedig
greatly	greatly
guardian	guardian
guardian	voog
terminus	terminus
balance	saldo
balance	balans
democracy	demokrasie
submarine	duikboot
nicholas	nikolaas
nicholas	nicolaas
peru	peru
eighth	eighth
instrumental	instrumenteel
hindu	hindu
evans	evans
turning	turning
imply	imply
prose	prosa
hidden	versteek
hidden	weggesteek
hidden	verberg
volunteer	volunteer
volunteer	vrywilliger
bio	bio
bio	biografie
sugar	suiker
daughters	daughters
wildlife	natuurlewe
fun	pret
integrated	geïntegreerde
partners	vennote
rates	tariewe
grace	grace
feed	voed
feed	stroom
feed	toevoer
childhood	childhood
accompanied	vergesel
milan	milaan
milan	milan
honour	honour
honour	gestand
honour	eer
soil	grond
server	bediener
manual	handleiding
manual	handmatige
manual	hand
manual	manual
manual	januarie
concrete	beton
possibility	moontlikheid
ghost	spook
confused	confused
confused	verward
tunnel	tonnel
larry	larry
styles	styles
styles	uitsonderings
styles	style
elevation	vergelyking
muhammad	mohammed
considerable	considerable
inter	inter
phoenix	phoenix
sweet	lieflike
sweet	soet
waste	afval
operational	operasionele
tall	tall
tall	lank
tall	hoog
qualify	qualify
qualify	kwalifiseer
constitutional	ingryping
constitutional	konstitusionele
constitutional	grondwetlike
sporting	sporting
peoples	peoples
acceptable	aanvaarbare
acceptable	aanvaarbaar
fruit	vrug
fruit	vrugte
decisions	besluite
depression	depressie
perspective	perspektief
crystal	kristal
crystal	crystal
monastery	klooster
resident	inwoner
resident	woonagtig
cincinnati	cincinnati
surgery	chirurgie
steps	stappe
carrier	draer
carrier	diensverskaffer
stream	stroom
alice	alice
kick	skop
strange	vreemd
predecessor	voorganger
bernard	bernard
nigeria	nigerië
nigeria	nigeria
pain	pyn
influential	invloedryke
punk	punk
wooden	wooden
suggestion	voorstel
interaction	wisselwerking
achievement	behaal
mechanical	mechanical
mechanical	meganiese
drugs	medisyne
drugs	drugs
drugs	dwelms
missed	misgekyk
missed	misgeloop
missed	gemis
trinity	trinity
classified	geklassifiseer
minority	minority
grown	grown
coat	jas
powered	aangedryf
alive	lewendig
nbc	nbc
keith	kees
keith	keith
bobby	bobby
harbor	hawe
behaviour	gedrag
behaviour	optrede
croatian	kroatiese
maritime	maritieme
terry	terry
virtual	virtuele
indoor	indoor
periods	tydperke
periods	periods
periods	periodes
spiritual	geestelik
croatia	kroasië
lions	lions
archbishop	archbishop
luis	luis
merchant	handelaar
azerbaijan	azerbeidjan
editorial	redaksie
initiative	inisiatief
charlotte	charlotte
pure	suiwer
borders	grense
persian	persies
persian	persiese
marks	merke
armenian	armeense
romantic	romantiese
romantic	romanties
talent	talent
unlikely	onwaarskynlik
panel	paneel
panel	panel
jump	spring
animation	animasie
agents	agente
employment	employment
employment	indiensneming
trading	trading
parker	parker
statue	standbeeld
wonder	wonder
friday	vrydag
jobs	jobs
jobs	werksgeleenthede
jobs	werke
jobs	betrekkings
jobs	poste
cuba	cuba
cuba	kuba
aside	eenkant
são	são
scientist	wetenskaplike
schedule	skedule
schedule	bylae
waiting	gewag
suspect	vermoed
disagree	verskil
suggestions	voorstelle
turner	turner
locomotives	locomotives
barcelona	kaapstad
barcelona	barcelona
consistent	konsekwent
recommended	aanbevole
recommended	aanbeveel
desire	begeerte
happens	ontvou
patient	geduldig
patient	patient
bulgaria	bulgaria
vincent	vincent
texts	tekste
belief	belief
belief	gewete
visitor	besoeker
vessels	vaartuie
continental	kontinentale
continental	continental
hole	gat
fail	vaal
fail	faal
fail	fail
passage	passage
wedding	troue
archaeological	argeologiese
designation	aanwysing
clan	clan
revenue	inkomste
couples	paartjies
suit	kleed
soft	sagte
soft	sag
weekend	naweek
approval	goedkeuring
democrats	demokrate
crimes	misdade
crimes	misdrywe
collins	collins
horses	perde
wear	wear
supporters	ondersteuners
cash	kontant
dennis	dennis
resource	hulpbron
sculpture	sculpture
sculpture	beeldhouwerk
practical	praktiese
harrison	harrison
pink	pienk
oliver	oliver
limits	limiet
limits	limiete
limits	beperkings
cooper	cooper
illustrated	uitgebeeld
sur	sur
hell	hell
statistical	statistiese
wolf	wolf
warriors	warriors
incidents	insidente
fresh	vars
editions	uitgawes
roots	wortels
signature	handtekening
clinical	kliniese
volumes	volumes
worst	swakste
worst	ergste
worst	slegste
adults	volwassenes
contribute	dra
necessarily	noodwendig
immediate	onmiddellike
feeling	voel
theories	teorieë
essential	noodsaaklike
essential	essential
completion	voltooiïng
conclusion	aangaan
technologies	tegnologieë
strip	strook
strip	strip
bound	gebind
hull	hull
diamond	diamond
diamond	diamant
empty	leeg
empty	leë
empty	egipte
eliminated	verminder
valuable	kosbare
valuable	waardevol
cite	cite
doubles	dubbels
branches	takke
brick	baksteen
experiences	ervaringe
experiences	ervarings
beijing	beijing
tie	gelykop
tie	das
lgbt	lgbt
liberty	vryheid
liberty	liberty
repeatedly	herhaaldelik
baptist	baptist
ron	ron
hebrew	hebreeus
affect	uitwerking
affect	affekteer
affect	beïnvloed
decline	weier
coaching	afrigting
equipped	toegerus
identical	identiese
identical	identies
submitted	ingedien
submitted	ingestuur
enterprise	onderneming
touch	touch
touch	aanraking
transmission	ratkas
platforms	platforms
cave	cave
cave	grot
inch	duim
cool	koel
cool	afkoel
cool	cool
bulgarian	bulgaars
liga	liga
manhattan	manhattan
destruction	vernietiging
activist	activist
weapon	wapen
clay	clay
keyboards	sleutelborde
dangerous	gevaarlike
dangerous	gevaarlik
viewed	bekyk
viewed	gekyk
biology	biologie
bold	vet
bold	vetdruk
bowling	rolbal
bowling	gloei
compare	vergelyk
treaties	verdrae
affiliated	geaffilieer
assault	assault
monthly	maandelikse
monthly	maandeliks
foster	foster
cousin	niggie
cousin	neef
urls	urls
logic	logika
craig	craig
trivial	onbeduidend
pioneer	pioneer
pioneer	pionier
lay	lay
rated	gekeurde
rated	rated
rated	gegradeer
absence	afwesigheid
amsterdam	amsterdam
publishers	uitgewers
tribes	tribes
themes	temas
#the	#die
benefits	voordele
guards	guards
guards	wagte
stubs	stubs
athens	athene
herbert	herbert
celebrated	gevier
sponsored	geborg
sponsored	geborgde
raf	raf
delaware	delaware
delaware	del
neil	neil
pole	pool
ref	ref
tail	stert
tours	toere
tours	tours
stable	stabiel
stable	stable
stable	stabiele
decides	besluit
vessel	vaartuig
identification	identifikasie
telling	vertel
mediterranean	mediterreense
volunteers	volunteers
reply	antwoord
stuart	stuart
marvel	marvel
luke	luke
luke	lukas
grave	grave
grave	graf
odd	onewe
hearing	verhoor
hearing	hoor
hearing	gehoor
hearing	aanhoor
hearing	hearing
uss	uss
mall	mall
penalty	penalty
penalty	strafskop
solutions	oplossings
secure	beveilig
hugh	hugh
steven	steven
sole	sole
architects	argitekte
falling	falling
falling	vallende
clinton	clinton
villa	villa
select	kies
metric	metriek
roberts	roberts
standings	range
standings	ranglys
standings	stand
biological	biologiese
lloyd	lloyd
munich	münchen
munich	munich
belongs	behoort
belongs	hoort
adelaide	adelaide
belong	behoort
belong	hoort
harold	harold
norfolk	norfolk
acoustic	akoesties
posts	plasings
adaptation	aanpassing
greg	greg
reporter	verslaggewer
url	url
absolutely	absoluut
nobody	niemand
scholarship	beurs
vast	vast
exit	verlaat
dual	dual
belt	gordel
belt	belt
patent	patent
mathematical	wiskundige
rarely	selde
submission	instuur
demographics	demografie
crowd	skare
rick	rick
governments	regerings
bonus	bonus
tourist	toeriste
mystery	mystery
mystery	geheimsinnig
click	kliek
click	klik
settlements	nedersettings
walking	loop
voters	stemmers
voters	kiesers
rifle	geweer
component	komponent
partial	gedeeltelik
partial	gedeeltelike
birthday	vakansie
birthday	agterstallig
birthday	verjaar
birthday	verjaarsdag
eddie	eddie
denver	denver
petersburg	petersburg
researchers	navorsers
photographer	fotograaf
jon	jon
obama	obama
clock	horlosie
violin	viool
highways	highways
holiday	vakansie
distinction	distinction
artwork	kunswerk
makeup	grimering
catherine	katharina
catherine	catharina
catherine	catherine
font	font
farmers	boere
occasions	geleenthede
photograph	photograph
struggle	stryd
struggle	struggle
struggle	sukkel
produces	produseer
yale	yale
options	opsies
pen	pen
procedure	prosedure
jacob	jakob
jacob	jacob
touring	touring
transition	oorgang
anglo	anglo
legacy	legacy
relationships	relationships
relationships	verhoudings
ottawa	ottawa
derby	derby
surrounded	omring
libraries	biblioteke
competing	meeding
speakers	speakers
speakers	luidsprekers
citizen	burger
citizen	citizen
dogs	hondjies
dogs	honde
annually	jaarliks
nepal	nepal
disputes	geskille
disputes	dispute
beam	beam
beam	straal
beam	lewendige
overseas	overseas
overseas	oorsese
perry	perry
nickname	bynaam
ruling	beslissing
ruling	regerende
syria	sirië
wells	wells
ultimate	ultimate
danny	danny
retail	retail
favorite	gunsteling
vermont	vermont
begun	begun
download	aflaai
trusted	vertroude
trusted	vertrou
trusted	vertroud
appointment	afspraak
ballet	ballet
jefferson	jefferson
sand	sand
angle	angle
angle	hoek
sessions	sessies
recreation	ontspanning
wearing	geklee
kenya	kenia
kenya	kenya
accessible	toeganklike
accessible	toeganklik
ralph	ralph
thread	draad
spend	spandeer
spend	besteding
ninth	ninth
arrest	arrest
choir	koor
trials	probeerslae
mines	myne
injuries	beserings
rounds	rondtes
rounds	rond
competitive	mededingende
meetings	meetings
meetings	vergaderings
wang	wang
woods	woods
jacques	jacques
objective	oogmerk
objective	doelwit
resort	gevalle
resort	oord
pedro	pedro
venezuela	venezuela
studying	studying
studying	opstaan
edwards	edwards
aim	verwesenlik
dancing	dans
eagles	eagles
tribute	tribute
tribute	hulde
continuous	aaneenlopende
encourage	moedig
spider	spinnekop
acted	gereageer
convinced	oortuig
heroes	heroes
heroes	helde
rocks	klippe
rocks	rotse
bed	bed
gap	gap
reflect	herhaal
reflect	reflekteer
mars	mars
cooperation	samewerking
gothic	gotiese
protest	betoging
protest	protes
hunting	jag
conversion	omskakeling
stress	stres
stress	stress
jose	jose
adventures	avonture
adventures	adventures
tiger	tier
tiger	tiger
voyage	vaart
concentration	konsentrasie
concentration	studierigting
sing	eer
rocket	vuurpyl
rocket	rocket
electricity	elektrisiteit
shadow	skadu
shadow	skaduwee
boxing	boks
senators	senators
doc	dok
doc	doc
stanford	stanford
machines	masjiene
vegas	vegas
saved	gestoor
saved	geberg
jury	jury
calendar	kalender
noble	noble
noble	edel
tommy	tommy
guilty	skuldig
leo	leeu
affair	affair
handle	handvatsel
handle	hanteer
extinct	uitgestorwe
responded	geantwoord
responded	gereageer
shares	gedeel
scotia	scotia
manufacturer	vervaardiger
implementation	implementering
truck	trok
truck	vragmotor
spelling	spelling
item	item
load	laai
load	las
customers	klante
adds	byvoegings
adds	adds
adds	advertensies
spaces	ruimtes
spaces	spasies
cap	cap
ferry	ferry
push	deurstuur
push	stoot
lie	lie
lie	jok
lie	leuen
lebanon	libanon
madison	madison
throne	throne
lion	lion
lion	leeu
manor	manor
saudi	saudi
serial	serie
rogers	rogers
grandfather	oupa
gauge	gauge
concerts	konserte
elder	elder
renaissance	renaissance
uniform	eenvormige
uniform	uniform
chase	chase
computers	rekenaars
brisbane	brisbane
susan	susan
raymond	raymond
flower	blom
col	col
thai	thai
disaster	ramp
disaster	disaster
survive	oorleef
involves	behels
clothing	klerasie
clothing	klere
clothing	kleredrag
murphy	murphy
sharp	skerp
yugoslavia	yugoslavia
buddhist	boeddhistiese
publicly	openlik
publicly	openbaar
meat	vleis
literally	literally
spam	gemorspos
telephone	telefoon
moral	moral
sung	sung
partially	gedeeltelik
lawyers	prokureurs
citing	citing
interviews	interviews
brunswick	brunswick
radar	radar
grove	grove
tea	tee
elite	elite
bright	helder
improving	verbetering
sierra	sierra
heaven	hemel
heaven	heaven
athlete	atleet
aspect	aspek
answers	antwoorde
ted	ted
consumer	openbaring
consumer	verbruiker
exclusive	eksklusiewe
ibn	ibn
manuel	manuel
allies	allies
mechanism	waartoe
helen	helen
withdrawn	teruggetrokke
intention	voorneme
intention	bedoeling
mini	mini
casualties	casualties
diseases	siektes
pat	patric
catch	vang
poll	meningspeiling
listclass	listclass
newcastle	newcastle
leeds	leeds
ranges	reekse
ordinary	gewoon
insects	insekte
flash	flits
flash	flash
worship	aanbidding
worship	worship
blind	blind
interstate	interstate
arrangement	indeling
globe	aardbol
globe	globe
gross	walglik
gross	bruto
gilbert	gilbert
experiment	eksperimenteer
experiment	eksperiment
radical	radikale
gov	gov
opponent	teenstander
diameter	deursnee
supplies	voorrade
pitch	toon
cleanup	skoonmaak
opponents	teenstanders
regime	regime
revised	revised
plenty	plenty
genera	genera
diplomatic	diplomatieke
germans	duitsers
seal	seal
seal	seël
gregory	gregory
gregory	gregorius
corresponding	ooreenstemmend
concepts	konsepte
sword	swaard
purple	pers
pending	hangende
pending	uitstaande
virus	virus
bull	bull
presents	presents
holland	holland
bias	bias
merger	samesmelting
remote	afgeleë
remote	remote
sean	sean
rebellion	opstand
premiere	premiere
victim	slagoffer
victim	victim
con	con
cloud	wolk
angels	angels
noise	geraas
duo	duet
duo	duo
beer	bier
palestinian	palestynse
us$	us$
copper	copper
copper	koper
jurisdiction	jurisdiksie
improvements	verbeterings
hms	hms
loop	lus
drum	drum
drum	drom
dramatic	dramatiese
saskatchewan	saskatchewan
earthquake	aardbewing
rhode	rhode
hat	hoed
tanks	tenks
presidents	presidente
societies	bybelgenootskappe
min	min
alcohol	alkohol
graphics	grafika
asp	asp
coffee	koffie
chancellor	chancellor
destroy	verwoes
destroy	vernietig
cruz	cruz
warsaw	warskou
exclusively	eksklusief
connections	verbindings
rush	rush
rush	stormloop
heights	hoogtes
heights	heights
playstation	sony
playstation	playstation
outcome	uitkoms
apartment	woonstel
cardinals	kardinale
fill	silwer
fill	volmaak
traditions	tradisies
fundamental	fundamentele
thin	maer
thin	dun
chan	chan
resolved	opgelos
mario	mario
departments	departemente
shield	skild
shield	skuld
fighters	vegters
ivan	ivan
ivan	iwan
writings	writings
bosnia	bosnië
sentenced	gevonnis
violent	geweldadig
violent	geweldadige
violent	violent
violent	gewelddadig
harbour	harbour
auckland	auckland
pirates	pirates
collective	collective
diesel	diesel
liberation	bevryding
confederate	gekonfedereerde
devil	duiwel
sultan	sultan
rider	rider
amazon	amazon
florence	florence
marc	marc
arnold	arnold
shah	shah
contents	kommentaar
genetic	genetiese
somerset	somerset
milk	melk
romance	romanse
intellectual	intellektuele
latino	latino
failing	vaal
failing	failing
mason	mason
pete	pete
arbitration	arbitrasie
interface	koppelvlak
hitler	hitler
accessed	ingegaan
lifetime	leeftyd
lifetime	lewensduur
sheffield	sheffield
departure	vertrek
hindi	hindi
mistake	fout
embassy	ambassade
embassy	embassy
murdered	vermoor
murdered	vermoorde
sleep	slaap
suspended	afgestel
suspended	uitgesit
sum	sum
sum	som
mythology	mitologie
bengal	bengaalse
confusion	verwarring
therapy	therapy
exposed	blootgestel
exposed	kaak
assisted	bygestaan
possession	besit
defend	verdedig
devoted	toegewyde
warfare	warfare
milwaukee	milwaukee
informed	ingelig
anonymous	anoniem
reverse	omgekeer
reverse	reverse
reverse	agteruit
soap	seep
lisa	lisa
paulo	paulo
northwestern	noordwestelike
boss	baas
nasa	nasa
quoted	aangehaal
byzantine	bisantynse
idaho	idaho
poster	poster
congo	kongo
venture	venture
worse	erger
worse	slegter
hoax	hoax
hoax	poets
restricted	beperk
doors	deure
doors	doors
situations	situasies
instructions	instruksies
sullivan	sullivan
tables	waardes
tables	tafels
leaf	blaar
shoot	skiet
restaurants	restaurante
contributor	bydraer
errors	foute
rocky	rocky
kerala	kerala
shakespeare	shakespeare
quantum	quantum
immigration	immigrasie
mirror	weerspieël
mirror	spieël
mirror	spieëlbeeld
mirror	dupliseer
assets	bates
presentation	voorlegging
presentation	presentation
cotton	katoen
sitting	sitting
sitting	sit
syndrome	sindroom
checked	gemerk
forty	veertig
journalism	joernalistiek
unsuccessful	onsuksesvol
towers	torings
conductor	geleier
hospitals	hospitale
bone	been
essex	essex
wellington	wellington
ideal	ideaal
raw	rou
leonard	leonard
watson	watson
harvey	harvey
bases	basisse
hello	hallo
hello	hello
rabbi	rabbi
hardware	hardeware
ensemble	ensemble
monster	monster
pitcher	pitcher
emphasis	beklemtoning
emphasis	benadruk
respond	reageer
aaron	aaron
organic	organiese
exposure	blootstelling
exposure	exposure
palestine	palestina
thoughts	gedagtes
maurice	maurice
variant	variant
lap	rondte
autonomous	outonome
wallace	wallace
succession	aanspraakmakers
throw	gooi
monday	maandag
donated	geskenk
donated	skenkings
kid	kinder
kid	kind
guidance	leiding
delivery	aflewering
delivery	aflewer
delivery	lewering
joan	johanna
joan	joan
fifty	vyftig
slave	slaaf
slave	den
feedback	terugvoer
columbus	columbus
stones	klippe
manage	bestuur
cgi	cgi
favour	verkies
favour	gunste
variable	veranderlikes
theology	teologie
todd	todd
parameters	parameters
canton	canton
han	han
reed	riet
reed	reed
celtic	celtic
celtic	smelt
characteristic	characteristic
inappropriate	onvanpas
switch	skakelaar
switch	wissel
ties	bande
tube	tube
tube	buis
otto	otto
debt	skuld
outdoor	outdoor
outdoor	buite
outdoor	buitelug
navigation	navigasie
eligible	geskik
eligible	kwalifiseer
experts	deskundiges
experts	kundiges
experts	kenners
experts	experts
gospel	evangelie
newton	newton
essays	essays
shanghai	shanghai
campaigns	veldtogte
formations	formasies
feelings	feelings
feelings	gevoelens
bath	bad
bath	bath
venice	venesië
venice	venice
#aaa	#aaa
cats	katte
cats	cats
variations	variasies
socks	sokkies
flood	vloed
documented	documented
custom	aangepas
touchdown	doellyn
profession	beroep
layout	uitleg
settlers	settlers
merging	saamvoeg
sony	sony
competitors	mededingers
phillips	phillips
grass	gras
reservoir	reservoir
tip	wenk
prague	prague
prague	praag
abu	aboe
abu	abu
faces	gesigte
aspx	aspx
laura	laura
fellows	fellows
johann	johann
dreams	drome
hughes	hughes
suburb	voorstad
specialized	specialized
warned	gewaarsku
pearl	pearl
chorus	chorus
dependent	afhanklik
restrictions	beperkinge
restrictions	beperkings
killer	moordenaar
killer	killer
oakland	oakland
trio	trio
influences	invloede
blocking	blokkering
blocking	blokkeer
mtv	mtv
wikipedians	wikipedians
cattle	beeste
cattle	bees
gear	toerusting
gear	gear
gabriel	gabriel
skating	skating
fifteen	vyftien
fifteen	vyftiende
palm	palm
wikis	wikis
demonstrate	demonstreer
liquid	vloeistof
cycling	fietsry
princeton	princeton
friedrich	friedrich
horn	horing
erected	opgerig
burning	skryfwerk
worker	worker
worker	werker
worker	arbeider
atmosphere	atmosfeer
welfare	welvaart
welfare	welfare
java	java
monitor	monitor
columns	kolomme
repair	herstelwerk
bin	blik
stick	stick
stick	stok
organised	georganiseerde
parameter	parameter
truly	werklik
truly	voorwaar
parade	parade
awareness	bewusmaking
awareness	gewaarwording
awareness	bewustheid
define	definieer
spencer	spencer
conspiracy	conspiracy
dies	dies
clarke	clarke
rough	rof
equation	vergelyking
feels	feels
feels	voel
button	knoppie
brands	brands
queens	queens
abraham	abraham
neck	nek
forever	verewig
est	skatting
est	est
drink	drank
drink	drankie
sheriff	balju
miguel	miguel
aires	aires
irrelevant	irrelevant
montgomery	montgomery
vanity	vanity
gift	geskenk
riders	ryers
riders	riders
functional	funksioneel
functional	funksionele
crossed	gekruis
diverse	uiteenlopende
diverse	diverse
numbered	genommerde
quotes	aanhalings
slowly	stadig
attitude	houding
mouse	muis
justin	justin
amounts	amounts
variation	variasie
smart	luukse
smart	slim
smart	smart
prices	pryse
prayer	gebed
terrorism	terrorisme
beta	beta
iraqi	iraqi
detective	speurder
josh	josh
compositions	samestellings
compositions	komposisies
oval	oval
oval	ovaal
perfectly	perfectly
indianapolis	indianapolis
funeral	funeral
funeral	begrafnis
farmer	boere
farmer	farmer
protestant	protestantse
cameron	cameron
indonesian	indonesiese
mumbai	mumbai
nashville	nashville
danger	gevaar
rally	rally
rally	saamtrek
narrative	narratief
camps	kampe
surprise	verrassing
kate	kate
molecular	molekulêre
unnecessary	onnodig
colonies	colonies
cyprus	cyprus
winds	winds
magnetic	magnetiese
conversation	gesprek
sussex	sussex
gates	gates
gates	hekke
ram	ram
plastic	plastiek
electronics	elektronika
stockholm	stockholm
inn	inn
inn	herberg
buses	busse
connect	verbind
connect	koppel
wmflabs	wmflabs
forth	forth
guests	gaste
radiation	straling
lancashire	lancashire
cork	cork
intermediate	intermediate
cheers	cheers
cheers	hoera
filipino	filippynse
hamburg	hamburg
orbit	wentelbaan
massacre	knee
massacre	slagting
illness	illness
dress	rok
codes	kodes
dawn	dawn
isolated	geïsoleerde
nancy	nancy
violations	grondwetlike
perth	perth
ladies	dames
autumn	herfs
ratings	aanslae
incorrect	verkeerd
scout	scout
scout	verkenner
difficulty	moeilikheidsgraad
difficulty	moeilikheid
pupils	leerders
wealth	rykdom
allegations	bewerings
regulation	regulering
regulation	regulasie
watching	kyk
lodge	gastehuis
eggs	eiers
disputed	betwis
citizenship	burgerskap
specialist	specialist
specialist	deskundige
tasks	take
instruction	instruksie
pride	pride
pride	trots
banner	banier
friendship	vriendskap
panama	panama
corruption	korrupsie
harm	leed
harm	harm
ernest	ernest
pursue	streef
tape	tape
cancelled	gekanselleer
revenge	wraak
revenge	revenge
revision	hersiening
fee	fee
fee	fooi
computing	uitwerk
chen	chen
matrix	matrix
biographical	biographical
kiss	kiss
kiss	soen
valign	valign
nationalist	nationalist
crosses	kruise
bid	aanbod
bid	bod
appreciate	waardeer
enemies	vyande
mercury	mercury
mercury	kwik
interactive	interaktiewe
math	wiskunde
nobel	nobel
grande	grande
keeps	keeps
structural	strukturele
airports	lughawens
veterans	veterane
airline	lugredery
airline	lugdiens
axis	axis
execution	aksie
execution	uitvoering
cult	cult
colin	colin
chester	chester
ticket	kaartjie
entity	entiteit
judicial	geregtelike
explicitly	uitdruklik
explicitly	pertinent
bombing	bomaanval
recognised	herken
recognised	erkende
applicable	toepaslik
applicable	toepaslike
wilhelm	wilhelm
suddenly	suddenly
parking	parkering
absolute	absolute
françois	françois
locomotive	lokomotief
preparation	voorbereiding
nintendo	nintendo
declaration	verklaring
presumably	vermoedelik
burial	burial
governing	governing
jamaica	jamaika
vladimir	wladimir
avg	gem
methodist	metodiste
utf	utf
challenges	uitdagings
kenneth	kenneth
celebration	viering
discipline	dissipline
bearing	bearing
fauna	fauna
manuscript	manuscript
experiments	eksperimente
chiefs	chiefs
compound	saamgestelde
