неопходни	जरुरी
почетен	आरंभिक
чук	नॉक
чук	दस्तक
најниската	निम्नतम
најниската	न्यूनतम
мјузикл	संगीतमय
мјузикл	musical
лин	लीन
лин	लिन
навара	नावारा
навигација	संचरण
навигација	नेविगेशन
седмица	हफ्ते
седмица	सप्ताह
невообичаено	असामान्य
обожаватели	फ़ैन
обожаватели	प्रशंसकों
обожаватели	प्रशंसक
трупот	हल
битие	होने
виртуелна	आभासी
ментална	मानसिक
ментална	दिमागी
