като	soos
катарина	catarina
редактиране	wysig
редактиране	redigeer
редактиране	verstrek
редактиране	redigering
редактиране	wysiging
ток	tok
ток	elektrisiteit
режисьори	direkteure
режисьори	filmmakers
телевизията	televisie
заболяване	illness
заболяване	siekte
ценни	kosbare
ценни	waardevol
стокхолм	stockholm
папата	pous
мандат	termyn
мандат	mandaat
гласове	stemme
родители	ouers
музеи	museums
гней	gnaeus
сара	sarah
сара	sara
обиколки	laps
обиколки	toere
обиколки	tours
монако	monaco
спътник	satelliet
спътник	companion
легендата	legende
технология	tegnologie
арена	arena
поток	vloei
поток	flow
поток	stroom
комбинация	kombinasie
филология	filologie
брака	huwelik
градуса	grade
регистър	registreer
лято	somer
спорове	geskille
спорове	dispute
спорове	controversy
спорове	argumente
крака	voete
мисли	dink
мисли	gedagtes
определяне	bepaling
определяне	vasberadenheid
определяне	aanwysing
миг	oomblik
саудитска	saudi
къп	koppie
къп	beker
библиотеката	biblioteek
изкуствата	kunste
балкански	balkan
електронни	elektronies
електронни	elektroniese
претор	praetor
звук	klank
звук	oudio
украински	oekraïens
съставен	saamgestelde
събота	saterdag
увеличаване	verhoog
увеличаване	vermeerder
увеличаване	zoem
троица	trinity
работници	werkers
работници	workers
дует	duet
дует	duet
дует	duo
колония	colony
колония	kolonie
симон	simone
симон	simon
огромен	huge
публично	openbare
публично	openbaar
публично	publieke
публично	publiek
публично	openlik
публично	openbaar
гана	ghana
административна	administratiewe
административна	verrig
бнт	fet
императрица	empress
редовно	gereelde
промените	verander
истински	regte
истински	egte
истински	genuine
резерват	bespreking
алберт	albert
статистическа	statistiese
времетраене	duur
времетраене	tydperk
времетраене	tydsduur
записи	rekords
записи	records
записи	inskrywings
чад	chad
резиденция	woonplek
густав	gustav
густав	gustave
разнообразни	uiteenlopende
разнообразни	diverse
разнообразни	allerlei
разнообразни	diverse
разнообразни	verskeie
водещи	flagship
водещи	voorste
водещи	leidende
водещи	aanbieders
водещи	gashere
възраждане	renaissance
възраждане	herlewing
възраждане	revival
завършен	voltooi
завършен	afgehandel
завършен	voltooi
завършен	afgehandel
завършен	klaar
завършен	afgehandel
замбия	zambië
замбия	zambia
разнообразие	verskeidenheid
разнообразие	verskeidenheid
мишел	michelle
мишел	michel
възможни	moontlik
шахмат	skaak
шахмат	skaakmat
колекция	versameling
планове	reëlings
планове	planne
болест	illness
болест	siekte
болест	siekte
запазена	gereserveer
сол	sout
сол	tafelsout
сол	sol
сол	saul
комедия	komedie
белгийски	belgiese
очевидно	apparently
очевидно	duidelik
очевидно	obviously
професия	beroep
професия	besetting
класическа	klassieke
класическа	klassiek
класическа	klassieke
птиците	voëls
медали	medals
вила	vila
вила	villa
чети	lees
чети	gelees
редки	skaars
параметри	parameter
параметри	parameters
маргарета	margareta
корона	kroon
корона	corona
критично	kritieke
критично	krities
критично	kritiese
критично	kritiek
бивша	former
бивша	voormalige
роби	robbie
роби	slawe
роби	robby
будапеща	budapest
дипломатически	diplomatieke
максимална	maksimum
колежа	kollege
огромна	huge
плочи	rekords
плочи	records
милиарда	biljoen
легион	legioen
крайно	uiters
крайно	extreme
близко	toemaak
близко	sluit
близко	naby
хижа	gastehuis
хижа	chalet
хижа	hut
хижа	kajuit
хижа	cabin
животът	lewe
арсенал	arsenal
ювентус	juventus
тейлър	taylor
реално	regte
реално	egte
варианти	variasies
варианти	variante
копие	kopieer
копие	bokant
копие	kopiereg
копие	spear
истината	waarheid
палестина	palestina
корпуса	hull
зограф	zograf
джорджия	georgië
джорджия	georgia
ситуация	situasie
сталин	stalin
ефекти	effekte
свободни	gratis
свободни	vry
свободни	free
валентин	valentin
валентин	valentyn
валентин	valentine
синовете	seuns
кон	horse
кон	perd
периоди	tydperke
периоди	periods
периоди	periodes
рей	bestraling
рей	ray
яйца	eiers
яйца	eier
компютри	rekenaars
пристанището	hawe
пристанището	port
пристанището	poort
вътре	binne
молба	aansoek
молба	toepassings
молба	toepassing
молба	versoek
боя	verf
боя	dye
максимилиан	maksimiliaan
постоянен	permanente
постоянен	permanent
постоянен	konstante
щаба	hoofkwartier
спор	controversy
спор	betoog
спор	argument
спор	dispuut
спор	geskil
форд	ford
юрий	joeri
сиера	sierra
земеделие	boerdery
земеделие	landbou
бен	ben
жертва	sacrifice
жертва	opoffering
жертва	slagoffer
жертва	victim
изисквания	vereistes
ирина	irina
тиберий	tiberius
дъното	bodem
дъното	onder
дъното	onderkant
дъното	bottom
цифри	syfers
цифри	figure
цифри	getalle
цифри	nommers
спортове	sportsoorte
спортове	sport
кралски	koninklike
кралски	royal
присъствие	bywoning
присъствие	teenwoordigheid
музикално	musical
изучаване	studying
изучаване	opstaan
изучаване	studeer
изучаване	bestudeer
изучаване	studie
писма	briewe
писма	letters
сестри	susters
сестри	verpleegsters
разликата	verskil
независими	independent
независими	onafhanklike
независими	onafhanklik
независими	selfstandige
личността	persoonlikheid
комнин	komnenos
образ	prent
образ	beelde
небето	hemel
небето	heaven
небето	lug
огромни	huge
ирландски	ierse
ирландски	irish
ирландски	iers
характеристика	characteristic
характеристика	eienskap
характеристика	kenmerk
звука	klank
емигрира	geëmigreer
магдалена	magdalene
магдалена	magdalena
магдалена	río
допълнителна	addisionele
допълнителна	bykomende
струма	struma
млада	jonk
млада	jong
някъде	iewers
някъде	heen
камера	camera
камера	kamera
токио	tokyo
токио	tokio
завършил	gegradueer
завършил	klaargemaak
рила	rila
нейни	hers
нидерландски	nederlande
нидерландски	netherlands
нидерландски	nederland
нидерландски	hollandse
нидерландски	nederlands
фактор	factor
фактор	faktor
бъдещето	toekomstige
бъдещето	toekoms
стената	muur
домакин	gasheer
домакин	bediener
масата	veranderlike
масата	tafel
масата	tabel
лед	ys
стойности	waardes
основание	grondslag
основание	gronde
джърси	jersey
производители	producers
производители	vervaardigers
аудио	oudio
светилище	shrine
тясно	smal
четвърта	vierde
франческо	francesco
боб	bob
сатурн	saturnus
демокрация	demokrasie
моя	myne
моя	moya
артилерия	artillery
полето	terrein
полето	veld
масло	botter
масло	olie
сложни	komplekse
сложни	kompleks
сложни	complicated
сложни	ingewikkeld
познати	kennisse
познати	kennis
съвременна	kontemporêre
умения	vaardighede
умения	vaardigheid
реформи	hervorm
феновете	fans
феновете	bewonderaars
феновете	aanhangers
компютър	rekenaar
ливърпул	liverpool
лева	leva
сърце	hart
сърце	hartjie
чуждестранни	buitelandse
чуждестранни	foreign
частен	privaat
таблица	veranderlike
таблица	tafel
таблица	tabel
опасност	hazard
опасност	gevaar
купи	koop
назад	rug
назад	agterkant
назад	terug
роберт	robert
фройд	freud
тирол	tyrol
завърши	einde
завърши	voltooi
завърши	gegradueer
завърши	klaargemaak
реклама	kommersiële
реклама	kommersieel
реклама	reklame
реклама	advertering
реклама	advertensies
реклама	advertensie
намибия	namibia
намибия	namibië
мехмед	mehmet
кули	torings
фирми	maatskappye
фирми	companies
търговци	traders
търговци	verskaffer
търговци	handelaars
подразделения	subdivisions
синове	seuns
дрехи	klerasie
дрехи	klere
дрехи	kleredrag
дрехи	klere
сайтове	webwerwe
сайтове	tuistes
сайтове	werwe
сайтове	sites
сайтове	terreine
сайтове	webwerwe
събрани	versamelde
рид	riet
рид	reed
кулата	tower
кулата	toring
исляма	islam
дълбока	diep
кралят	heer
кралят	king
кралят	koning
върхове	pieke
заплаха	menace
заплаха	bedreiging
етаж	vloer
етаж	floor
рак	kreef
рак	kanker
рак	rak
прости	eenvoudige
прости	eenvoudig
прости	vergewe
интересни	interessant
лична	persoonlik
лична	persoonlike
джонсън	johnson
велес	weles
механизъм	waartoe
израз	uitdrukking
тела	bodies
йемен	jemen
владение	besit
владение	domain
владение	domein
ливан	libanon
плен	gevangenskap
териториите	gebiede
подобряване	verbetering
строеж	oprigting
строеж	konstruksie
диего	diego
медичи	medici
снимката	foto
политическо	politieke
войниците	soldiers
общности	gemeenskappe
същество	wesen
същество	diertjie
задачата	taak
хълм	mount
хълм	monteer
хълм	heuwel
хълм	hill
естествен	natuurlike
виден	prominent
европейско	europees
европейско	europese
катастрофа	omval
катастрофа	insident
катастрофа	crash
катастрофа	ramp
катастрофа	disaster
гражданите	landsburgers
гражданите	burgers
гражданите	citizens
регистрирани	geregistreer
континента	mainland
континента	kontinent
врати	deure
врати	doors
философията	filosofie
натиск	druk
натиск	swig
двойка	paartjie
хит	getref
хит	tref
техники	techniques
мохамед	mohammad
мохамед	mohammed
мохамед	muhammed
мохамед	mohamed
действителност	realiteit
действителност	werklikheid
файлове	lêers
пещерата	cave
пещерата	grot
самоа	samoa
убийство	sluipmoord
убийство	moord
губернатор	goewerneur
мед	copper
мед	koper
буквално	literally
буквално	literal
карло	carlo
фернандо	fernando
бази	basisse
харесва	likes
джими	jimmy
джей	jay
знамето	vlaggie
знамето	vlag
знамето	rapporteer
квартали	distrikte
квартали	woonbuurte
народите	peoples
еврейски	joodse
еврейски	joods
еврейски	hebreeus
средни	medium
младежи	jeug
младежи	verseker
младежи	juniors
знаци	karakters
знаци	tekens
нации	nasies
стилове	styles
стилове	uitsonderings
стилове	style
въглища	kole
въглища	steenkool
германците	duitsers
непал	nepal
индийски	indiër
индийски	indiese
сидни	sydney
допринася	contributes
лекари	dokters
сладководни	freshwater
мина	mina
форт	fort
коса	hare
стая	kamer
изпратени	gestuur
страх	vrees
дървени	wooden
дървени	hout
исландия	ysland
корени	stam
корени	root
корени	wortels
предложения	voorstelle
предложения	aanbiedinge
предложения	offers
предложения	aanbiedings
растенията	plants
растенията	plante
създател	skepper
създател	stigter
жив	regstreekse
жив	lewendige
жив	gepubliseer
жив	regstreeks
жив	lewendig
епир	epirus
измерване	meting
измерване	mate
измерване	mates
измерване	maatreëls
венера	venus
тайно	geheim
тайно	geheime
тайно	sekuriteit
сто	wto
стандарти	standaarde
престъпления	oortredings
престъпления	misdrywe
престъпления	misdade
престъпления	misdrywe
престъпления	misdaad
жаба	padda
дроб	long
дроб	lewer
провеждане	optrede
класификация	klassifikasie
сметки	rekeninge
кристина	christina
кристина	cristina
кристина	kristina
черти	kenmerke
черти	eienskappe
челси	chelsea
присъствието	bywoning
последва	gevolg
младеж	jeug
кутия	boks
джоузеф	joseph
блус	blues
хамбург	hamburg
живял	geleef
живял	gebly
ферари	ferrari
следващ	volgende
позната	kennis
леон	léon
леон	león
леон	leon
совалката	shuttle
потоци	strome
торино	torino
торино	turyn
крепости	forts
волейбол	volleyball
фолклор	folklore
атаки	aanvalle
честота	frekwensies
честота	frekwensie
навсякъде	oral
навсякъде	orals
педро	pedro
тайна	geheim
тайна	geheime
тайна	sekuriteit
ломбардия	lombardy
стъпка	step
стъпка	stap
запази	manlik
запази	aanhou
запази	hou
запази	behou
лов	hunt
лов	jag
списъци	lyste
кампанията	veldtog
добавен	bygevoeg
икономическо	ekonomiese
астронавт	astronaut
церемония	ceremony
церемония	seremonie
електронна	elektronies
електронна	elektroniese
взето	geneem
наследници	afstammelinge
леки	mild
леки	leckie
леки	liggewig
синьо	blou
затворен	geslote
затворен	gesluit
затворен	toegemaak
растителност	plantegroei
ивоар	ivoire
принудени	geforseer
принудени	gedwing
стив	steve
ким	kim
компоненти	komponente
графството	shire
продуценти	producers
продуценти	vervaardigers
орегон	oregon
вход	ingang
вход	aanteken
университети	universiteite
зип	poskode
зип	zip
опазване	bewaring
опазване	bewaring
почетни	honorary
отношението	attitudes
майк	mike
общините	commons
съюзниците	allies
възрастни	volwassenes
възрастни	bejaardes
възрастни	volwassene
мали	malley
мали	mali
героите	heroes
героите	helde
равни	gelyk
равни	gelyke
африкански	afrikaanse
африкански	afrikaan
африкански	afrika
африкански	african
осигуряване	verskaffing
осигуряване	voorsiening
расте	vergroting
расте	groeiende
расте	blou
цивилизация	beskawing
публика	gehoor
удари	getref
удари	tref
новини	nuus
патрик	patrick
охрана	guards
охрана	wagte
охрана	sekuriteit
тест	toets
островът	island
островът	eiland
охайо	ohio
джаксън	jackson
посланици	ambassadeurs
актьорите	akteurs
фредерик	frederik
фредерик	frederick
фредерик	frederik
фредерик	frédéric
бвп	bbp
знания	kennis
съобщение	aankondiging
съобщение	boodskap
дисертация	dissertation
дисертация	thesis
тоскана	tuscany
тоскана	toskaanse
богати	ryk
бунт	mutiny
бунт	oproer
бунт	opstand
учените	scientists
кога	wanneer
око	oog
уотсън	watson
леоне	leone
получаване	ontvang
получаване	kwitansie
получаване	ontvang
основи	fondament
основи	basiese
основи	fundamentals
основи	basisse
основи	foundations
събиране	versamel
събиране	byeenkoms
събиране	versameling
събиране	reunion
икона	yster
икона	ikoon
ман	mann
слънце	son
слънце	sonskyn
нашата	ons
нашата	ours
вълни	golwe
базирана	gebaseer
базирана	gebasseer
покрити	gedek
покрити	bedek
дмитрий	dmitri
дмитрий	dmitri
дмитрий	dimitri
норвежки	no
библията	bybel
опашката	queue
опашката	tou
опашката	stert
икономист	ekonoom
лекции	lectures
лекции	lesings
лекции	lesing
способност	lancelot
способност	kapasiteit
способност	vermoë
способност	vermoeë
копа	copa
колорадо	colorado
разкопки	grou
постоянна	permanente
постоянна	permanent
постоянна	konstante
топка	bal
порта	hek
порта	porta
петер	petrus
петер	peter
кенеди	kennedy
разработка	ontwikkeling
разработка	ontwikkelaar
уест	wes
катрин	katherine
катрин	katharina
катрин	catharina
катрин	catherine
картинки	prente
картинки	prentjies
херцогиня	hertogin
нашите	ons
нашите	ours
италианска	italiaanse
италианска	italiaans
престол	throne
разпространението	sprei
авторски	copyrighted
момче	seun
момче	seuntjie
западни	westerse
западни	western
западни	westelike
императори	keisers
царица	queen
царица	dame
градини	tuine
есте	este
александрия	alexandrië
александрия	alexandria
отговорност	aanspreeklikheid
отговорност	verantwoordelikheid
ракетата	vuurpyl
ракетата	rocket
барбара	barbara
бангладеш	bangladesj
съдии	regters
сената	senate
обикновен	gewoon
краката	voete
байерн	bayern
обединена	vereenselwig
обединена	vereenigde
обединена	united
обединена	verenigde
марина	marina
последствие	consequence
андреа	andrea
майстори	masters
коне	perde
споменат	genoem
говор	dialek
говор	spraak
говор	toespraak
говор	speech
вътрешен	interior
вътрешен	binneste
вътрешен	intern
вътрешен	interne
вътрешен	innerlike
бракът	huwelik
медиите	media
бела	bela
бела	bella
малави	malawi
съвременно	modern
съвременно	moderne
съвременно	kontemporêre
латинска	latyns
александра	alexandra
доказателство	bewyse
доказателство	getuienis
доказателство	proeflees
доказателство	bewys
критик	kritici
домашни	domestic
домашни	huishoudelike
домашни	huiswerk
изделия	artikels
медицинска	mediese
медицинска	medies
набор	gestel
набор	instel
набор	stel
вярва	trusts
порт	hawe
порт	port
порт	poort
наказание	penalty
наказание	strafskop
наказание	punishment
момичета	meisies
момичета	mishandel
дивисион	división
френско	frans
френско	franse
автономна	outonome
започна	aanvang
гонзага	gonzaga
военноморски	naval
парите	geld
танци	dance
танци	dans
танци	dans
бюро	bureau
бюро	lessenaar
легенди	legends
контакти	kontak
малта	malta
дирекция	direktoraat
смяна	verskuiwende
смяна	veranderings
смяна	verander
смяна	wysig
ландграф	landgraaf
ривър	rivier
студент	student
моли	molly
комунистически	kommunistiese
подходящи	geskikte
подходящи	gepas
подходящи	toepaslike
кметове	burgemeesters
електронно	elektronies
електронно	elektroniese
монах	monk
критерии	kriteria
спаси	manlik
монголия	angola
монголия	mongolia
задължения	laste
задължения	verpligtinge
задължения	verbintenisse
задължения	swyg
задължения	verpligting
задължения	pligte
чувство	voel
преводи	vertalings
начини	wyses
начини	maniere
комуникация	kommunikasie
авиация	lugvaart
пенсилвания	pennsilvanië
твърдо	soliede
твърдо	solied
твърдо	vas
твърдо	hard
твърдо	harde
твърдо	moeilik
собствено	eie
статуя	standbeeld
успешен	suksesvol
успешен	suksesvolle
специфични	spesifiek
специфични	spesifieke
стадиона	stadion
кук	cook
животински	dier
паркове	parke
лист	blaar
лист	staat
широки	wyd
широки	breed
широки	broad
гости	gaste
среди	omgewings
управители	bestuurders
полезни	bruikbare
полезни	nuttig
полезни	nuttige
полезни	gehelp
полезни	hulpvaardig
полезни	behulpsaam
полезни	nuttig
насилие	geweld
скулптор	beeldhouer
сенегал	senegal
замъкът	kasteel
връщане	omkeer
връщане	terugkeer
връщане	opgelewer
катедрала	katedraal
аполо	apollo
роза	roos
роза	rosa
духовна	geestelik
тропически	tropiese
стрелба	skiet
стрелба	verskietende
замяна	ruil
замяна	oordra
замяна	spasie
замяна	ruil
замяна	uitruil
замяна	swap
замяна	vervanging
замяна	plaasvervanging
замяна	plaasvervanger
защитена	beskerm
франкфурт	frankfurt
техният	hul
религията	religie
религията	godsdiens
термини	bepalings
термини	voorwaardes
годишнината	herdenking
кларк	clarke
кларк	clark
волфганг	wolfgang
депутати	wetgewers
базиликата	minor
съюзници	allies
отгоре	bo
валтер	walther
валтер	walter
женева	geneva
предназначени	bedoel
габон	gaboen
предавания	uitsendings
философски	philosophical
писателите	skrywers
сантяго	santiago
сражения	slag
сражения	battles
оригинал	oorspronklik
оригинал	oorspronklike
швейцарски	swiss
швейцарски	switserse
швейцарски	sweedse
съгласен	ooreengekom
квартала	woonbuurt
илинойс	illinois
женитба	huwelik
товар	laai
товар	las
сферата	sfeer
смесени	gemeng
смесени	gemengde
смесени	vermeng
аспекти	aspekte
немска	duits
дадени	gegee
бохемия	boheme
равенство	gelykop
равенство	das
равенство	gelykheid
артър	arthur
австралийски	australiese
племенник	neef
жертвите	slagoffers
магистър	magister
змия	snake
змия	slang
обявено	verklaar
обявено	aangekondig
обявено	aangekondig
заселници	settlers
уилсън	wilson
теодора	theodora
амстердам	amsterdam
наблюдения	observations
обикновена	gewoon
богдан	bogdan
морис	morris
морис	maurice
направено	gemaak
направено	voltooi
направено	gedoen
направено	klaar
явление	phenomenon
лацио	latium
вина	wyn
вина	skuldgevoelens
вина	skuld
алекс	alex
елеонора	eleonora
душата	siel
предназначение	aspris
президенти	presidente
атлас	atlas
каталог	katalogus
каталог	katalogus
историческо	historiese
историческо	geskiedkundige
историческо	historiese
специализирани	specialized
организирани	georganiseerde
организирани	georganiseerd
организирани	georganiseer
артисти	kunstenaars
котка	kat
фен	waaier
фен	aanhanger
фен	bewonderaar
джейн	jane
характерен	characteristic
сочи	sochi
разузнаване	intelligensie
библиотеки	biblioteke
масачузетс	massachusetts
клетка	sel
клетка	boks
клетка	hok
рене	rené
рене	rene
градско	urban
градско	stedelike
параклис	kapel
параклис	chapel
повишен	bevorder
повишен	toegeneem
повишен	verhoogde
повишен	verhoogde
организми	organismes
атакува	aanvalle
отвъд	verby
орел	eagle
орел	arend
същият	dieselfde
същият	selfde
породи	rasse
записани	opgeneem
лаос	laos
българин	bulgaars
риск	risk
риск	risiko
процедура	prosedure
кралицата	queen
кралицата	dame
същества	beings
същества	wesens
същества	skepsels
пънк	punk
испанска	spaanse
испанска	spaans
йордания	jordan
йордания	jordaan
архитектурата	argitektuur
съгласие	toestemming
съгласие	ooreenkoms
разбиране	verdraagsaamheid
разбиране	begrip
филмова	fliek
филмова	rolprent
намеса	steuring
намеса	inmenging
намеса	intervensie
намеса	broodnodige
арменски	armeense
мисъл	dog
мисъл	gedink
финансова	finansiële
финансова	finansieel
танкове	tenks
бари	bari
бари	barry
буш	bush
премиер	premier
известност	gewildheid
известност	publisiteit
купува	buys
апарати	toebehore
апарати	toestelle
апарати	apparaat
мениджър	bestuurder
механика	mechanics
овце	skaap
ръката	hand
коли	motors
коли	karre
коли	cars
стъпки	footsteps
стъпки	stappe
възел	node
възел	junction
възел	knoop
инж	eng
роджър	roger
улрих	ulrich
редовен	gereelde
заседание	sessie
заседание	ontmoeting
заседание	besigheid
заседание	vergadering
математически	wiskundige
математически	wiskundig
калабрия	calabria
критици	critics
електрическа	elektriese
електрическа	elektriese
записан	opgeneem
марио	mario
почви	grond
чарлс	karel
чарлс	charles
пожар	brand
пожар	vuur
войник	soldier
войник	soldate
преводачи	vertalers
командващ	commander
наличие	teenwoordigheid
разработен	ontwikkel
поддържаща	ondersteun
зимбабве	zimbabwe
гари	garry
гари	gary
гърците	grieke
дружества	maatskappye
дружества	companies
архангел	aartsengel
птолемей	ptolemeus
реформа	hervorm
нормално	gewoonlik
нормално	normaalweg
нормално	normale
нормално	normal
нормално	normaal
връзките	relationships
връзките	verhoudings
условие	voorwaarde
условие	kondisie
леви	levy
леви	levi
регент	regent
мнения	opinies
мнения	opmerkings
мнения	aansigte
мнения	kykers
кислород	suurstof
отглеждане	vergroting
отглеждане	groeiende
отглеждане	boerdery
горни	boonste
пауло	paulo
пауло	paolo
огромно	huge
успешни	suksesvol
успешни	suksesvolle
човечеството	humanity
човечеството	mensdom
разходи	koste
разходи	kos
анонимни	anoniem
андре	andre
андре	andré
загреб	zagreb
съзнание	bewussyn
съзнание	consciousness
смесено	gemeng
смесено	gemengde
абатство	abdy
абатство	abbey
следствие	consequence
изгнание	exile
изабела	isabella
спътници	satelliete
спътници	companions
спътници	moons
въздействие	impact
въздействие	impak
въздействие	effekte
въздействие	effek
авъл	aulus
нацистка	nazi
здравето	gesondheid
изрази	uitdrukkings
пролет	lente
мнозинството	meerderheid
преминаване	passage
преминаване	deurkom
преминаване	aangee
преминаване	verbygaan
продадени	sold
продадени	verkoop
катерина	katerina
катерина	katharina
катерина	catharina
катерина	catherine
катерина	caterina
взаимно	wedersydse
взаимно	mutual
взаимно	onderlinge
вътрешно	interior
вътрешно	binneste
вътрешно	binne
вътрешно	intern
вътрешно	interne
вътрешно	innerlike
кадри	beeldmateriaal
станции	stasies
развита	ontwikkel
практики	praktyke
практики	reguleer
улици	strate
химн	hymn
химн	anthem
завет	testament
завет	covenant
завет	legacy
зевс	zeus
жълто	yellow
обувки	skoen
обувки	skoene
обувки	skoene
посещение	besoek
шекспир	shakespeare
равен	gelyk
равен	gelyke
дисциплини	disciplines
бах	bach
забелязва	kennisgewings
датски	deens
датски	deense
милион	miljoen
мисисипи	mississippi
логика	logika
нейна	hers
броня	armor
нисък	lae
аврелий	aurelius
мкс	iss
невъзможно	onmoontlik
съединение	saamgestelde
съединение	compound
данък	belasting
галия	cisalpina
комисар	kommissaris
коментари	opmerkings
животно	dier
ивица	streep
биология	bio
биология	biografie
биология	biologie
люнебург	lüneburg
фифа	fifa
южни	suidelike
юта	utah
юта	jute
противник	teenstander
вселената	heelal
парчета	bisse
парчета	bits
парчета	stukke
уволнен	gidse
уволнен	afgedank
председатели	presidente
заслуга	merit
днк	dna
днк	dns
феликс	felix
северни	noordelike
северни	northern
юний	junius
реакции	reaksies
детайли	besonderhede
дитрих	dietrich
шанс	kans
колеги	kollegas
колеги	kollegas
богато	ryk
проза	prosa
керамика	keramiek
приемане	aanvaarding
приемане	aanneem
приемане	ontvangs
чарли	charlie
адриан	adrienne
адриан	adrian
свидетелства	getuig
кореспондент	correspondent
предшественик	voorganger
поета	digter
улиците	strate
кафе	koffie
служител	werknemer
независим	independent
независим	onafhanklike
независим	onafhanklik
независим	selfstandige
запазен	gereserveer
палеолог	paleologus
композиция	samestelling
композиция	komposisie
айрес	aires
одеса	odessa
артист	kunstenaar
масив	skikking
масив	massiewe
масив	massive
изчезнал	ontbreek
изчезнал	vermis
изчезнал	afwesig
зелени	groen
разговори	gesprekke
разговори	gesprek
формално	formele
формално	formal
селяните	villagers
шлезвиг	sleeswyk
организирана	georganiseerde
организирана	georganiseerd
организирана	georganiseer
жаби	paddas
кирилица	cyrillies
председателят	chairman
клод	claude
нил	nyl
централно	sentrale
централно	sentraal
камара	chamber
киселини	acids
крива	curve
ливий	livius
четене	lees
четене	gelees
четене	lees
пекин	beijing
пекин	peking
сама	alleen
гама	gama
гама	gambië
гама	gamma
завършена	voltooi
завършена	afgehandel
обсъждане	bespreking
почва	grond
валежи	neerslag
цицерон	cicero
частна	privaat
тежък	swaar
алфонсо	alfonso
метали	metaal
метали	metale
посмъртно	postuum
съвети	wenke
съвети	leidrade
съвети	advies
съвети	raad
убийства	moord
убийства	slagting
убийства	moorde
съхранение	berging
съхранение	bewaring
съхранение	stoor
съхранение	winkel
метро	subway
метро	metro
буенос	buenos
бар	balk
бар	bar
бар	kroeg
данъци	belasting
данъци	belastings
преброяване	sensus
преброяване	konfigurasie
лили	lili
лили	lilly
лили	lily
акции	gedeel
кеш	kas
кеш	cache
кеш	kontant
филипините	filippyne
филипините	philippines
магистрала	hoofweg
магистрала	grootpad
магистрала	highway
риболов	visvang
фестивали	festivals
религии	gelowe
приети	aanvaarde
приети	aanvaar
еди	eddie
еди	eddy
храмове	tempels
актрисата	aktrise
актрисата	actress
ерих	erich
кости	bones
кости	bene
кости	been
постоянни	permanente
постоянни	permanent
постоянни	konstante
ограничения	beperkings
ограничения	beperkinge
ограничения	beperkings
ограничения	limiet
ограничения	limiete
ограничения	beperkings
ограничения	beperkings
бел	belle
бел	klok
бел	klokkie
отвори	ope
отвори	oopmaak
отвори	oop
харис	harris
амалия	amalia
избегне	vermy
избегне	ontwyk
котки	katte
котки	cats
експерименти	eksperimente
съветът	raad
влечуго	reptiel
юпитер	jupiter
помещения	perseel
помещения	ruimtes
помещения	spasies
денят	dag
артур	artur
детството	childhood
гдр	ddr
дена	dae
операцията	operasie
операцията	bewerking
нерон	nero
бонд	bind
мануел	manuel
освобождава	vrystellings
ценности	waardes
каледония	caledonia
мека	mekka
мека	mecca
мека	sagte
мека	sag
клаус	claus
клаус	klaus
диалекти	dialekte
анастасия	anastasia
обяснение	verduideliking
антъни	anthony
доротея	dorothea
маршрут	roete
маршрут	reisplan
инфраструктура	infrastruktuur
препоръчва	aanbevole
препоръчва	aanbeveel
препоръчва	beveel
диви	wildernis
диви	wild
диви	wilde
проведе	behou
инженери	engineers
оглед	aansig
оглед	besigtig
оглед	bekyk
почивка	breek
почивка	blaaskans
почивка	vakansie
почивка	vakansie
почивка	rus
почивка	res
документален	dokumentêr
документален	documentary
религиозна	godsdienstige
религиозна	religieuse
религиозна	gelowige
взаимодействие	wisselwerking
армейски	weermag
армейски	leër
армейски	army
игор	igor
балкан	balkan
лайпциг	leipzig
анди	andy
разпределение	toewysing
разпределение	verspreiding
разпределение	toewysing
извършени	aangegaan
извършени	begaan
гробница	kripte
еритрея	eritrea
жана	jeanne
освобождение	bevryding
интерфейс	koppelvlak
магазин	winkel
магазин	stoor
магазин	winkel
последователни	agtereenvolgende
последователни	konsekwent
последователни	sekwensiële
повишаване	verhoog
повишаване	vermeerder
впечатление	indruk
впечатление	besoek
растеж	growth
растеж	groei
античността	antiquity
традицията	tradisie
джим	jim
бернхард	bernhard
мозък	brain
мозък	brein
вдовица	weduwee
вдовица	wewenaar
вдовица	weduwee
валута	geldeenheid
рифове	reefs
рифове	reef
маркс	marx
маркс	merke
двойно	dubbel
двойно	dubbele
заливи	baaie
унищожени	vernietig
тон	ton
тон	tuna
тон	skakering
тон	tone
продажба	verkoop
различия	verskille
звездите	sterre
гарсия	garcia
гарсия	garcía
прост	eenvoudige
прост	eenvoudig
наскоро	onlangs
коефициент	koëffisiënt
коефициент	kwosiënt
коефициент	ratio
коефициент	verhouding
коефициент	factor
коефициент	faktor
подробно	gedetailleerde
подробно	gedetaileerde
слоеве	lae
ремонт	herstelwerk
убежище	asylum
убежище	refuge
явления	phenomena
надписи	krediete
надписи	loubser
надписи	inscriptions
надписи	onderskrifte
надписи	byskrifte
дама	checkers
дама	dame
дама	lady
суринам	suriname
сдружение	vereniging
сдружение	assosiasie
класирането	wêreldranglys
нападения	aanvalle
нападения	aanrandings
мекленбург	mecklenburg
предназначен	bedoel
балканска	balkan
рус	blonde
рус	blond
отчасти	gedeeltelik
изпълнения	optredes
ядрени	nuclear
площи	gebiede
ахмед	ahmed
нийл	neil
нийл	neal
соло	solo
преговорите	onderhandeling
преговорите	onderhandelings
преговорите	waartoe
преговорите	onderhandelinge
ядрото	kern
ядрото	kernel
ориентация	oriëntasie
погребана	begrawe
нужди	verlang
