পেল	ஆப்பிள்
প্রসেসিং	செயலாக்கம்
এয়ারলাইন	ஏர்லைன்
অসুখ	நோய்
স্তবক	குழுமங்கள்
টমি	டாமி
অনাথ	அநாதை
অনাথ	அனாதை
আবর্জনা	தூசு
আবর্জনা	குப்பை
আবর্জনা	தூசு
শাশ্বত	நித்திய
ঝুলে	தொங்கும்
শূণ্য	எதுவும்
শূণ্য	ஒன்றும்
শূণ্য	ஒன்றுமில்லை
শূণ্য	எதுவுமில்லை
শূণ্য	எவருமில்லை
শূণ্য	எவரும்
শূণ্য	ஒன்றுமில்லை
শূণ্য	எதுவுமில்லை
শূণ্য	ஏதுமில்லை
পেটে	வயிறு
পেটে	இரைப்பை
পেটে	வயிற்று
পেটে	வயிற்றில்
ক্রিসমাস	கிறிஸ்துமஸ்
আরিফ	ஆரிப்
অটল	அடல்
ডোমিনিকান	டொமினிக்கன்
ক্যাফে	கஃபே
ক্যাফে	அருந்தகம்
শাসকগণ	shambhala
আমস্টারডাম	ஆம்ஸ்டர்டாம்
ডাকোটা	டகோட்டா
লবন	உப்பு
মনু	மனு
কাতালোনিয়া	காத்தலோனியா
হিউজ	ஹியூக்ஸ்
পারবো	முடியும்
জন্তু	மிருகம்
তাজিক	தாஜிக்
ওয়াং	வோங்
ওয়াং	வாங்
সিমন	சிமோன்
অথরিটি	அதிகாரமும்
মর্গান	மோர்கன்
লিসা	லிசா
উৎকর্ষ	சிறப்பை
ফিন	ஃபின்
গুণের	நற்பண்புகள்
মনোযোগী	கவனத்துடன்
জলি	ஜாலி
ফেরদৌসী	ferdowsi
চকোলেট	சாக்கலேட்
চকোলেট	சாக்லெட்
চকোলেট	சாக்லேட்
সিগন্যাল	சிக்னல்
সিগন্যাল	சைகை
দ্রবণ	பரு
দ্রবণ	திடமான
দ্রবণ	திடம்
দ্রবণ	சாலிட்
দ্রবণ	திடமான
দ্রবণ	சிலிக்கான்
দ্রবণ	கரைப்பான்
দ্রবণ	திடமான
দ্রবণ	கரைசல்
দ্রবণ	தீர்வு
শেখানো	கற்றுக்
সহজতর	எளிதானது
অধিবিদ্যা	மீவியற்பியல்
ট্রেডিং	வர்த்தகம்
বিলাল	பிலால்
সন্দেহের	சந்தேகங்கள்
স্তূপ	குவியல்
হোলি	ஹோலி
পঙ্কজ	பங்கஜ்
অ্যারন	ஆரோன்
ভুবনেশ্বর	புவனேஸ்வர்
রাজিয়া	ரசியா
রাউল	ராவுல்
ডাকাতি	கொள்ளை
সলিল	சலீல்
সক	soc
সক	காலுறை
স্ফটিক	கிரிஸ்டல்
টাস্ক	தந்தம்
গাঙ্গুলি	கங்குலி
পরিসীমা	வரம்
পরিসীমা	வீச்சு
পরিসীমা	எல்லை
পরিসীমা	வரம்பு
ফার্মেসি	மருந்தகம்
দুষ্প্রাপ্য	அரிய
দুষ্প্রাপ্য	அரிதான
সিনেটর	செனட்டர்
আইফেল	ஈபெல்
চো	சோ
কুষাণ	குசான்
ইয়ন	இயோன்
মেয়েটি	பெண்ணின்
মেয়েটি	பெண்
মেয়েটি	பெண்ணுக்கு
মেয়েটি	பெண்ணே
মেয়েটি	பெண்ணை
বিশ্বাসঘাতকতা	துரோகம்
বিশ্বাসঘাতকতা	துரோகம்
মশা	கொசு
জিয়ান	கிறிஸ்தவன்
হাসির	புன்னகை
হাসির	சிரிப்பும்
হাসির	சிரிப்பு
বেকারত্ব	வேலைவாய்ப்பின்மை
যৌতুক	வரதட்சணை
মরিয়ম	மரியே
মরিয়ম	மேரி
মরিয়ম	மரியா
ইলিয়ট	எலியட்
তালা	பூட்டுகள்
ক্রাউন	கிரீடம்
প্লট	சதி
প্লট	சூழ்ச்சி
অস্বীকৃত	மறுக்கப்பட்டது
নাজির	நசீர்
রণবীর	ரன்வீர்
রণবীর	ரன்பீர்
লেভি	லேவி
লেভি	லெவி
বিশ্লেষক	ஆய்வாளர்
সামোয়া	சமோவா
টাইটানিক	டைட்டானிக்
কুলকার্নি	குல்கர்னி
বিপর্যস্ত	வருத்தம்
ললিত	லலித்
শেঠ	சேத்
তানজানিয়া	தான்சானியா
কসোভো	கொசோவோ
ডু	டூ
ভাস্কো	vasco
প্লেস্টেশন	பிளேஸ்டேசன்
দারুচিনি	இலவங்கப்பட்டை
বিবেক	மனசாட்சி
বিবেক	விவேக்
হাস্যরসাত্মক	நகைச்சுவையான
উইকিমিডিয়ার	wikimedia
এঞ্জেলস	ஏஞ்சல்ஸ்
গণপতি	கணபதி
গণপতি	கணபதி
গণপতি	கணபதி
নিরপেক্ষতা	சமத்துவம்
কুয়াশা	மூடுபனி
কুয়াশা	பனி
কুয়াশা	கான்கிரீட்
খমের	கெமர்
লাসিথ	லசித்
ফটোশপ	photoshop
ভোক্তা	நுகர்வோர்
অ্যাস্টন	ஆஷ்டன்
ভবানী	பவானி
দলিত	தலித்
বাজ	buzz
কর্মক্ষমতা	செயல்திறன்
ক্যাথিড্রাল	பெருங்கோவில்
ক্যাথিড্রাল	பேராலயம்
রোম্যান্টিক	காதல்
মামার	மாமா
স্যুট	சாதிகள்
স্যুট	சூட்
কোহেন	கோஹன்
পুঁজিবাদী	முதலாளித்துவ
এমবিবিএস	mbbs
ছুরি	கத்திகள்
ছুরি	கத்தி
ইঙ্ক	inc
সাব্বির	சபீர்
ধমনী	தமனி
ধমনী	அடைப்பு
পলিসি	கொள்கை
বরিস	போரிஸ்
মমি	மம்மி
দিমিত্রি	திமித்ரி
মরা	இறந்து
মরা	dead
মরা	இறந்த
গোড়ায়	ஊக்கிகள்
পরিচর্যা	நர்சிங்
বর্মা	வர்மா
বর্মা	வர்ம
ঝাঁপ	ஜம்ப்
ঝাঁপ	தாவு
নিপীড়ন	துன்புறுத்தல்
জামাই	மணமகன்
ভোপাল	போபால்
থিসিস	ஆய்வறிக்கை
প্রত্যাখ্যাত	நிராகரிக்கப்பட்டது
ইকো	எதிரொலி
কংক্রিট	கான்கிரீட்
কাঞ্জি	kanji
শখের	அமெச்சூர்
ক্লদ	கிளாட்
ধাওয়া	தவான்
সুইট	இனிமை
সুইট	இனிமையான
সুইট	இனிப்பு
সুইট	இனிமையாக
আবেগের	மோகம்
গোলাগুলি	நடிப்பது
গোলাগুলি	படப்பிடிப்பு
গ্রাহকদের	வாடிக்கையாளர்கள்
গ্রাহকদের	சந்தாதாரர்கள்
দোস্ত	நண்பா
ইনজুরি	காயம்
ড্রসোফিলা	drosophila
বেরি	பெர்ரி
আজকে	இன்று
আজকে	இன்றும்
রক্তপাত	இரத்தம்
লুপ	சுழற்சி
লুপ	கண்ணி
লুপ	மடக்கு
লুপ	லூப்
চট্রগ্রাম	சிட்டகாங்
ওমেগা	ஒமேகா
সাউন্ডট্র্যাক	ஒலிப்பதிவு
শেফার্ড	மேய்ப்பர்கள்
শহিদ	ஷாஹித்
গুঁড়া	பொடி
জানত	தெரியும்
অমর্ত্য	அமர்த்தியா
গ্যাব্রিয়েল	கேப்ரியல்
ধোঁয়া	புகை
পুষ্প	மலரும்
আইনত	சட்டபூர்வமாக
দারিদ্র্য	வறுமை
দারিদ্র্য	ஏழ்மை
সংশয়	ஐயம்
সংশয়	சந்தேகம்
সংশয়	doubt
কোণায়	மூலை
কোণায়	மூலையில்
কোণায়	கார்னர்
বিড়লা	பிர்லா
অযৌন	கலவியற்ற
খাদিজা	கதீஜா
সেকশন	பிரிவு
ট্রেভর	டிரெவர்
অংশগ্রহনের	பங்கேற்பு
নরওয়েজিয়ান	நார்வேஜியன்
বিলম্ব	தாமதம்
ক্লেয়ার	கிளயார்
নার্স	செவிலியர்கள்
নার্স	செவிலியர்
নার্স	நர்ஸ்
ডেভেলপার	டெவலப்பர்
ডেভেলপার	உருவாக்குநர்
ডেভেলপার	உருவாக்கி
ডেভেলপার	உருவாக்கியோர்
পড়ছে	விழுவது
মোনাকো	மொனாக்கோ
সোনিয়া	சோனியா
সস	சாஸ்
হ্যাট	தொப்பி
ওনার	அவளை
ওনার	அவர்
ওনার	அவளின்
ওনার	அவளது
ওনার	அவரது
কারিগর	மெக்கானிக்
মাখন	வெண்ணை
মাখন	பட்டர்
মাখন	வெண்ணெய்
বিলাসপুর	பிலாஸ்பூர்
রু	rue
সোডা	சோடா
মুসলমানের	முஸ்லிம்
মুসলমানের	முஸ்லீம்
পেঁচা	ஆந்தை
ময়দা	மாவு
ময়দা	மைதா
শুয়ে	லே
শুয়ে	படுக்க
শুয়ে	பொய்
বিসিসিআই	bcci
হিলারি	ஹில்லாரி
হিলারি	ஹிலாரி
আটলান্টা	அட்லாண்டா
কিউব	கியூப்
পুকুরে	குளம்
পুনরুজ্জীবিত	உயிர்
স্থূলতা	பருமன்
অন্তর্বাস	உள்ளாடை
বন্ধুত্বের	நட்பு
শিশ্ন	ஆண்குறி
রসুল	ரசூல்
চাওলা	சாவ்லா
সামুরাই	சாமுராய்
মগ	கோப்பை
মগ	குவளை
ভদ্র	சுமாராக
ভদ্র	ஒழுக்கமான
ভদ্র	நாகரீகமாக
ভদ্র	கண்ணியமாக
ইভ	ஈவ்
ইভ	மாலை
অনির্দিষ্ট	ஏதாவது
অনির্দিষ্ট	ஏதேனும்
অনির্দিষ্ট	எந்த
জেসি	ஜெஸ்ஸி
জেসি	ஜெஸ்ஸி
লুডভিগ	லுட்விக்
জোসে	ஜோஸ்
আশি	எண்பது
বিশেষজ্ঞরা	நிபுணர்கள்
দায়িত্বের	பொறுப்புகள்
দায়িত্বের	பொறுப்பு
উমা	உமா
ডেভি	டேவி
নিশ্চিতভাবে	கண்டிப்பாக
নিশ্চিতভাবে	நிச்சயமாக
ম্যাট্রিকুলেশন	மெட்ரிகுலேஷன்
ইতালিয়	இத்தாலிய
ইতালিয়	இத்தாலியன்
দীপক	தீபக்
যোদ্ধারা	போராளிகள்
রেন	ரென்
ইয়াসিন	யாசின்
ইয়াসিন	யாசின்
বোনা	நெய்த
পিচ	பிட்ச்
কপাল	நெற்றியில்
কপাল	நெற்றி
কেও	also
কেও	அத்துடன்
কেও	கூட
কেও	கூட
ব্যাগ	bag
ব্যাগ	பை
ব্যাগ	பைகள்
ব্যাগ	பைகளை
মরে	இறந்து
মরে	இறக்க
মরে	செத்து
মরে	எழும்
আশ্বাস	உத்தரவாதம்
মুরগি	சிக்கன்
মুরগি	கோழி
মুরগি	கோழிகள்
পরিসমাপ্তি	முடிகிறது
রোমা	ரோமா
ছড়ানো	பரப்புகிறது
ছড়ানো	நீட்சி
অ্যালিস	ஆலிஸ்
চিনা	சீன
চিনা	சீனம்
কাশ্মীরে	காஷ்மீர்
যন্ত্রণা	வலியை
যন্ত্রণা	வலி
যন্ত্রণা	வலிகள்
এন্টি	anti
সিরামিক	செராமிக்
স্লোভাক	ஸ்லோவாக்
সাইফ	சைப்
ভূতের	திகில்
ভূতের	பயம்
সোফি	சோபி
মালহোত্রা	மல்ஹோத்ரா
তালিবান	தாலிபான்
নিম	வேம்பு
নিম	வேப்ப
কীটপতঙ্গ	பூச்சி
কাক	காகம்
কাক	காகங்கள்
প্রমানিত	நிரூபித்தது
ধর্মযাজক	பாஸ்டர்
যক্ষ্মা	காசநோய்
অয়েল	எண்ணெய்
অয়েল	ஆயில்
কলিন্স	காலின்ஸ்
কারিনা	கரீனா
কারিনা	கரினா
এমনি	இவ்வாறே
ঊষা	உஷா
ফ্রেজার	ஃப்ரேசர்
খুলি	மண்டை
বর্ণালী	ஸ்பெக்ட்ரம்
পাঙ্ক	பங்க்
স্পর্শকাতর	முக்கியமானவை
স্পর্শকাতর	உணர்வுள்ள
সোয়াহিলি	சுவாகிலி
বারমুডা	பெர்முடா
ক্রোধ	கோபம்
চেস্টার	செஸ்டர்
পুরা	புரா
বেল্ট	பெல்ட்
আসলাম	அஸ்லம்
চুম্বক	காந்தம்
চুম্বক	காந்தங்கள்
লস্কর	லஷ்கர்
রুজভেল্ট	ரூஸ்வெல்ட்
মুবারক	முபாரக்
ফেরেশতা	தேவதைகள்
ফেরেশতা	மலக்குகள்
মূর্ধন্য	retroflex
কোয়া	koa
ডার	டெர்
সেশন	சீசன்
সেশন	காலம்
সেশন	பருவம்
সেশন	பருவத்தில்
সেশন	அமர்வு
সেশন	அமர்வுகள்
যোগী	யோகி
কাশি	இருமல்
শখ	பொழுதுபோக்கு
শখ	பொழுதுபோக்குகள்
তাইপে	தாய்பெய்
কই	koi
প্রতিবেদক	செய்தியாளர்
প্রতিবেদক	நிருபர்
মেকানিক্যাল	மெக்கானிக்கல்
শা	ஷா
মজনু	மஜ்னு
গার্সিয়া	கார்சியா
গার্সিয়া	கார்சியா
ক্রেতাদের	வாங்குபவர்கள்
কারাগারের	கைதி
কারাগারের	சிறைச்சாலை
কারাগারের	சிறை
হ্যালো	ஹலோ
হ্যালো	வணக்கம்
হ্যালো	hello
হ্যালো	ஹல்லோ
অভূতপূর্ব	அதிர்ச்சியூட்டும்
হাইতি	ஹெய்டி
অ্যান্টি	anti
ফার্নান্দো	பெர்னான்டோ
লিবার্টি	லிபர்டி
নিশান	குறிகள்
নিশান	கொடியை
নিশান	கொடி
অপ্রত্যাশিত	எதிர்பாராத
ক্লোরিন	குளோரின்
আসিয়ান	ஆசியான்
হং	ஹாங்
হীরক	வைரம்
হীরক	டயமண்ட்
মুজাফফর	முசாபர்
রম	ரோம்
রম	rom
হার্ডি	ஹார்டி
পুনর্বাসন	மறுவாழ்வு
টলেমি	தொலெமி
নীরব	அமைதியாக
নীরব	அமைதி
নীরব	முடக்கு
ট্রাঙ্ক	ட்ரங்க்
প্যারেড	அணிவகுப்பு
প্যারেড	அணிவகுப்பில்
গার্হস্থ্য	உள்நாட்டு
কর্মশালা	பட்டறைகள்
কর্মশালা	பட்டறை
ফ্রিকোয়েন্সি	அதிர்வெண்
ফ্রিকোয়েন্সি	எண்ணிக்கை
স্ট্যাম্প	தட்டும்
স্ট্যাম্প	முத்திரை
ডার্বি	டார்பி
ডার্বি	derby
বার্টন	பர்ட்டன்
সুন্দরভাবে	அழகாக
জাম্বিয়া	கம்பியா
জাম্বিয়া	சாம்பியா
চৌ	சோய்
বেলে	பெல்லி
মন্টি	மான்டி
আর্মস্ট্রং	ஆம்ஸ்ட்ராங்
সিড	சித்
পাপড়ি	இதழும்
পাপড়ি	இதழ்கள்
সালিম	சலீம்
সালিম	சலீம்
সানরাইজার্স	சன்ரைசர்ஸ்
হ্যান্ডবল	handball
হজম	செரிமானத்தை
হজম	கொத்து
নারীবাদ	பெண்ணியம்
বিঘ্ন	நுழை
বিঘ্ন	தடை
বিঘ্ন	குறுக்கீடு
হরতাল	வேலைநிறுத்தம்
হ্যামিলটন	ஹாமில்டன்
নিকিতা	நிகிதா
ব্যঙ্গ	கிண்டல்
জেনি	ஜென்னி
শিকারি	வேட்டைக்காரன்
শিকারি	வேட்டையாடி
লোপ	இழப்பு
ঝগড়া	அடைந்தனர்
ঝগড়া	சண்டை
আউয়াল	அவல்
রুমি	ரூமி
পাচ্ছে	பெறுகிறார்
পাচ্ছে	பெறுதல்
পাচ্ছে	பெறுகிறது
ধাওয়ান	தவான்
মেধার	மெரிட்
মার্কোস	மார்கோஸ்
উচিৎ	வேண்டும்
হাজারিকা	hazarika
রিয়ার	பின்புறம்
আদনান	அத்னான்
সালভাদোর	சல்வடோர்
ন্যাটো	nato
ন্যাটো	நேட்டோ
ফিল্ডার	ஃபீல்டர்
কমিক্স	காமி
কমিক্স	காமிக்ஸ்
বিজয়া	விஜயா
বিজয়া	விஜய
লিন্ডসে	லின்ட்சே
শর্তাবলী	விதிமுறைகளை
শর্তাবলী	விதிகள்
শর্তাবলী	விதிமுறைகள்
কবুতর	புறா
তাজা	புதிதாக
তাজা	புதிய
কিলো	கிலோ
ইউরিয়া	யூரியா
ঝি	மருமகளே
ঝি	மருமகள்
ভক্তরা	ரசிகர்கள்
পরিবেশক	விநியோகஸ்தர்கள்
মাছি	பறந்து
মাছি	பறக்க
পেরি	பெர்ரி
চাকার	வீலர்
ফারাহ	ஃபாரா
ভিজে	தோய்த்து
ভিজে	ஈரமான
ভিজে	ஈர
ভিজে	ஈரம்
ভিজে	ஈரமாக
শিমলা	சிம்லா
গিরি	கிரி
বিসমিল্লাহ	பிஸ்மில்லாஹ்
দৃঢ়ভাবে	உறுதியாக
জাং	ஜங்
জুতো	காலணி
জুতো	காலணிகள்
জুতো	ஷூ
অচেনা	அந்நியர்கள்
অচেনা	அந்நியன்
শুমচা	கபம்
পেন্সিল	பென்சில்
আন্তঃ	இண்டர்
চ্যাট	அரட்டை
গার্ডিয়ান	கார்டியன்
ব্যানার	பதாகை
ব্যানার	பேனர்
হাজারো	ஆயிரக்கணக்கான
হাজারো	ஆயிரங்கள்
এমএসসি	msc
ওয়্যারলেস	வயர்லெஸ்
নওয়াজ	நவாஸ்
চোয়াল	தாடை
প্রতিবাদী	ஆர்ப்பாட்டத்தில்
স্টোকস	ஸ்டோக்ஸ்
আসামী	தீர்ப்பளித்து
অঞ্জলি	அஞ்சலி
ওয়াজ	நவாஸ்
সার্জারি	அறுவை
প্রতিবন্ধকতা	தடைகள்
কার্টিস	கர்டிஸ்
ডিএসসি	dsc
প্রেমিকা	காதலியே
প্রেমিকা	காதலி
প্রেমিকা	காதலர்
প্রেমিকা	காதலன்
রসুন	பூண்டு
বেলিজ	பெலிஸ்
ক্যালকুলেটর	கணி
ক্যালকুলেটর	கணக்கிடுகிறது
ক্যালকুলেটর	கணிப்பான்
গ্রিড	கட்டம்
বিজেপির	bjp
বিজেপির	பிஜேபி
বিজেপির	பாஜக
ডিরেক্টরি	அடைவு
দ্বারকা	துவாரகா
সহস্রাব্দ	ஆயிரமாண்டு
ব্যবসায়ীরা	வர்த்தகர்கள்
ব্যবসায়ীরা	வணிகர்
ব্যবসায়ীরা	வர்த்தகர்கள்
ওসাকা	ஒசாகா
দীপিকা	தீபிகா
ইথানল	எத்தனால்
অবয়ব	தோற்றம்
কামড়ে	கடித்து
কামড়ে	கடி
উল্কা	meteor
বেলুচিস্তান	பலுசிஸ்தான்
লিংকন	லிங்கன்
ক্লান্ত	சோர்வு
ক্লান্ত	சோர்வாக
সাজ্জাদ	சஜாத்
