चिंतित	satraukti
पूर्वाग्रह	aizspriedumiem
पूर्वाग्रह	aizspriedumus
जैकेट	žakete
जैकेट	jaka
आयतें	dzejas
आयतें	baušļus
अफवाह	baumas
प्रिंटिंग	iespiešanas
प्रिंटिंग	iespiešana
प्रिंटिंग	drukāšana
टैबलेट	tabletes
टैबलेट	tablešu
टैबलेट	tabletes
टैबलेट	tableti
चैरिटी	labdarības
शिविरों	nometnes
शिविरों	nometnēs
शिविरों	nometnēm
शिविरों	nometņu
तुला	svari
टैंगो	tango
न्यूकैसल	ņūkāslas
केट	keita
केट	kate
पांचवां	piektā
पांचवां	piektajā
पांचवां	piektais
प्रयोगकर्ता	izmantotāji
प्रयोगकर्ता	lietotāji
रोनाल्ड	ronalds
कटु	rūgta
कटु	rūgts
ब्रेकिंग	pārkāpj
मोनिका	monika
मोनिका	monika
राधाकृष्णन	rādhakrišnans
ग्रेस	greisa
चोटों	ievainojumi
चोटों	traumas
मैजिक	maģija
मैजिक	burvība
भुट्टो	bhutto
रॉकी	rokijs
चुम्बक	magnētu
रयान	raiens
एडिडास	adidas
फास्फोरस	fosforu
फास्फोरस	fosfora
फास्फोरस	fosfors
एथलेटिक	athletic
नेविगेशन	navigation
नेविगेशन	navigācija
नेविगेशन	navigācijas
शिश्न	dzimumlocekļa
अधूरी	nepilnīgas
अधूरी	nepabeigta
अधूरी	nepilnīgs
अधूरी	nepilnīgi
अधूरी	nepilnīga
फ़ौज	armijas
फ़ौज	armija
पागलपन	ārprāts
पागलपन	neprāts
ओड़िया	oriju
युआन	juaņ
सूख	sausa
सूख	sausā
सूख	sauss
सूख	sausi
सूख	sausais
दिग्गज	giganti
दिग्गज	veterāns
इजाजत	atļauja
सगाई	iesaistīšanās
सगाई	iesaiste
सगाई	iesaistījās
अन्तराल	atstarpes
अन्तराल	atstatums
अन्तराल	atstarpe
मोनोऑक्साइड	monoksīds
मोनोऑक्साइड	monoksīda
अटलांटा	atlantu
मैडिसन	medisona
चमकीले	glazētas
अविवाहित	neprecējies
खरगोश	truši
खरगोश	trušiem
खरगोश	truši
खरगोश	trušu
मेज़बान	uzņēmēja
मेज़बान	dators
तकलीफ	diskomforts
तकलीफ	nelaime
मृतक	mirusi
मृतक	mirušais
मृतक	miris
मृतक	mirušā
कैट	kaķi
कैट	kaķis
वीरों	varoņi
वीरों	varoņiem
काका	kaka
लिफ्ट	pacelt
लिफ्ट	lifts
लिफ्ट	lifts
लिफ्ट	liftu
गाँठ	cistu
सिंथेटिक	sintētisks
सिंथेटिक	sintētiskais
सिंथेटिक	sintētiski
सिंथेटिक	sintētisko
सिंथेटिक	sintētiska
सिंथेटिक	sintētiskie
समझौतों	vienošanās
समझौतों	līgumi
बैरल	barelu
खुजली	niezi
अन्वेषक	pētnieka
अन्वेषक	pētnieks
मूर्ख	muļķis
मूर्ख	muļķi
मूर्ख	idioti
मूर्ख	stulba
मूर्ख	stulbs
मूर्ख	stulbi
कोडिंग	kodēšana
कोडिंग	kodēšanas
कोडिंग	kodi
अविश्वसनीय	neticami
अविश्वसनीय	neuzticamu
अविश्वसनीय	neticami
पट्ट	uzvilkts
शीन	šīns
कर्षण	vilces
इम्पीरियल	imperial
वहा	tur
घोषणापत्र	manifests
रेट	likme
सत्रह	seventeen
सत्रह	septiņpadsmit
सोया	sojas
मक्खी	lido
मक्खी	lidot
उद्यमों	uzņēmumi
कॉन्सर्ट	koncerts
कॉन्सर्ट	koncertā
कॉन्सर्ट	koncerti
छायांकन	ēnojums
छायांकन	photography
छायांकन	fotogrāfija
छायांकन	taupīšanas
छायांकन	ekonomija
छायांकन	saglabāšana
कॉर्नेल	kornela
वानिकी	mežsaimniecība
वानिकी	mežsaimniecības
टेनेसी	tenesī
नजारा	skatus
मधुमक्खी	bite
मधुमक्खी	bišu
टिप्पणियां	piezīmes
टिप्पणियां	komentāri
टिप्पणियां	apsvērumi
टिप्पणियां	atsauksmes
गुलामी	verdzības
गुलामी	verdzība
सरलीकृत	vienkāršots
सरलीकृत	vienkāršota
सरलीकृत	vienkāršoti
सरलीकृत	vienkāršotu
सरलीकृत	vienkāršotā
सरलीकृत	vienkāršot
गोआ	av
प्रलेखन	dokumenti
प्रलेखन	dokumentācija
संकेतन	pieraksts
संकेतन	pieraksta
घटी	samazinājums
घटी	samazināt
पक्षपात	diskriminācijas
पक्षपात	diskriminācija
इजरायल	izraēla
इजरायल	izraēlieši
पकाया	vārīti
गेंदबाज़ी	boulinga
आबू	abu
डीलर	izplatītājs
डीलर	tirgotājs
डीलर	izplatītāji
डीलर	tirgotājiem
डीलर	tirgotāji
मीठी	saldais
मीठी	salds
मीठी	saldā
ब्रॉडवे	brodvejas
जिगर	aknu
जिगर	aknas
अंगोला	angolas
अंगोला	mongolijas
एक्सटेंशन	paplašinājumi
एक्सटेंशन	pagarinājumu
एक्सटेंशन	pagarināšana
एक्सटेंशन	paplašināšana
एक्सटेंशन	paplašinājums
एक्सटेंशन	pagarinājums
संस्थापकों	dibinātāji
गोथिक	gotiskais
बहुपद	polinoma
घुलनशील	šķīst
दस्ते	squad
दस्ते	vadu
आयोडीन	joda
आयोडीन	jodu
परावर्तन	atspoguļot
परावर्तन	atspoguļo
परावर्तन	pārdomas
छानबीन	izmeklēšana
छानबीन	izmeklēšanā
छानबीन	izpēte
नीतियां	politiski
नीतियां	politiskā
नीतियां	politika
नीतियां	politikas
तेरहवीं	trīspadsmitais
लेस	les
विन्स	uzvar
विन्स	uzvaras
विन्स	uzvarēs
मॉरिस	maurīcija
मॉरिस	maurīcijas
मॉरिस	morris
नारे	saukļiem
त्रासदी	traģēdija
सीन	skatuves
सीन	skatuve
कैफे	kofeīnu
नींबू	citronu
नींबू	citroni
ओपल	opal
गिग्स	koncerti
हडसन	hadsona
धावक	stīgas
मार्क्सवाद	marksisms
बर्न	bernē
बर्न	dedzināt
इंडेक्स	rādītājs
इंडेक्स	indekss
तेंदुआ	leopards
अनुशंसा	iesaku
अनुशंसा	ieteikt
अनुशंसा	iesaka
अनुशंसा	ieteikumu
अनुशंसा	ieteikums
जोखिमों	riski
जोखिमों	bīstamība
जोखिमों	apdraudējumi
निरर्थक	nulles
अमान्य	nederīgs
अमान्य	nepareizs
अमान्य	nederīga
झगड़े	cīnās
होड़	steigas
होड़	konkurējoši
होड़	konkurē
होड़	sacenšas
निरोधक	kontracepcija
निरोधक	kontracepciju
निरोधक	kontracepcijas
घिरी	ieskauj
कतार	rinda
कतार	rindā
बाल्टिक	baltic
बाल्टिक	baltijas
देयता	atbildība
देयता	atbildības
शकीरा	shakira
अमेज़न	amazon
एसएमएस	īsziņu
एसएमएस	sms
वैंकूवर	vankūveras
खेलकूद	sporta
खेलकूद	sports
प्यास	slāpes
मार्टिना	martina
दृष्टांत	instances
काराकोरम	karakorums
पीलिया	dzelte
खलीफा	kalifs
खलीफा	khalifa
कीथ	kīts
एडमंड	edmund
प्रकाशिकी	optikas
प्रकाशिकी	optika
छुट्टियों	brīvdienas
छुट्टियों	brīvdienām
किंडरगार्टन	bērnudārzs
किंडरगार्टन	bērnudārza
किंडरगार्टन	bērnudārzu
जबतक	līdz
डिप्टी	vietnieks
डेटिंग	iepazīšanās
कमरा	istaba
कमरा	istabā
कमरा	istabas
कमरा	telpa
कमरा	istabu
माइनर	maznozīmīgi
माइनर	nelielas
गड्ढे	bedres
गड्ढे	pit
गड्ढे	bedre
कपडे	apģērbi
कपडे	apģērbs
कपडे	apģērbi
कपडे	apģērbs
कपडे	drēbes
एनबीए	nbc
एनबीए	nba
असत्य	meliem
चर्चिल	churchill
सन्यास	atteikšanās
खजाना	dārgumi
खजाना	dārgums
आइंस्टीन	einšteins
गिब्सन	gibsons
सुझाया	ieteikts
सुझाया	ierosināja
सुझाया	ieteica
सुझाया	ierosināts
निर्वासन	trimdā
निर्वासन	deportēt
नोटिस	paziņojums
रू	roo
महोदय	kungs
महोदय	ser
कटाव	konusveida
सीनेटर	senators
सुरक्षात्मक	aizsardzības
दलाल	starpnieks
दलाल	brokeri
स्पिरिट	spirti
स्पिरिट	gari
स्पिरिट	gars
मेलों	gadatirgus
बारबरा	barbara
एटीएम	atm
प्रायोजन	sponsoru
ड्राइंग	zīmējums
ड्राइंग	zīmēšanas
ड्राइंग	rasējums
चुप	kluss
चुप	klusē
दिवालिया	bankrotējusi
दिवालिया	bankrots
दिवालिया	bankrota
बाल्यकाल	bērnība
बाल्यकाल	bērnībā
बाल्यकाल	bērnības
द्रुत	ātra
द्रुत	ātrs
द्रुत	straujš
ज़िम्मेदारी	atbildība
ज़िम्मेदारी	atbildības
सावन	musonu
छोड़ो	iziet
स्क्वाड्रन	eskadriļā
यूनानियों	grieķi
यूनानियों	grieķijā
यूनानियों	grieķija
वाचक	runātāja
सौम्य	maigs
सौम्य	maiga
मालदीव	maldivu
डिस्कवरी	atklājums
डिस्कवरी	atradums
डिस्कवरी	atklāšana
सत्यापित	pārbaudīts
सत्यापित	pārbaudīta
सत्यापित	pārbaudīja
सत्यापित	sertificēta
सत्यापित	sertificēti
सत्यापित	sertificēts
सत्यापित	pārbaudīt
सत्यापित	pārbauda
बाइक	velo
बाइक	velosipēdi
बाइक	velosipēdus
बाइक	velosipēds
बाइक	riteni
राबर्ट	roberts
अवर	sliktāki
डीज़ल	dīzeļdegviela
डीज़ल	dīzeļdegvielas
बाज़ारों	tirgus
बाज़ारों	tirgi
फिशर	fišers
गुस्सा	dusmu
गुस्सा	dusmas
गुस्सा	dusmīgs
गुस्सा	dusmīga
गुस्सा	sašutumu
यूरिया	urīnvielas
यूरिया	urīnviela
यूरिया	urīnvielu
सीढ़ियों	kāpnes
सीढ़ियों	trepes
रस्म	ceremonija
रस्म	ceremonijā
मऊ	mau
खरीदे	iepirkumi
खरीदे	pērkot
खरीदे	pērk
त्वरक	paātrinātāji
धात्विक	metāla
मिंग	minu
घाना	gana
कैप	cap
कैप	klp
कैप	cokols
कैप	vāciņš
जनम	dzimšanas
जनम	dzemdības
रोनाल्डो	ronaldo
विंडसर	vindzoras
ऑफ़िस	birojs
ऑफ़िस	biroja
ऑफ़िस	biroju
तुर्कों	turciju
तुर्कों	turcijā
तुर्कों	tītara
तुर्कों	turcija
तुर्कों	turcijas
प्लेस्टेशन	playstation
माइक्रोसॉफ़्ट	microsoft
ट्रिगर	sprūda
हत्यारे	slepkavas
ध्वनिक	akustisko
ध्वनिक	iznīcinātāju
एडगर	edgars
एडगर	edgar
करुण	karuns
मशीनरी	iekārtas
मशीनरी	mehānismi
मशीनरी	tehnika
मशीनरी	mašīnas
इलेक्ट्रानिक	elektroniskais
इलेक्ट्रानिक	elektroniskie
इलेक्ट्रानिक	elektroniski
पौष्टिक	uzturvielām
पौष्टिक	barojošs
मिनियापोलिस	mineapolisā
कट्टरपंथी	radikāli
कट्टरपंथी	radikālas
डायना	diana
डायना	daiena
टॉमी	tomijs
मिल्क	piens
नामी	nami
व्हील	ritenis
ग्रेनाइट	granīta
माथे	pieres
डुनेडिन	danīdina
इस्तांबुल	stambulas
इस्तांबुल	stambulā
जार	burkas
जार	jar
लैरी	lerijs
सिंडरेला	pelnrušķīte
अफीम	opija
स्वीट	saldais
स्वीट	salds
स्वीट	saldā
स्मैकडाउन	smackdown
बागान	stādījumi
खूनी	asiņainā
नफरत	ienīst
नफरत	naids
त्रैमासिक	ceturksnis
त्रैमासिक	ceturkšņa
त्रैमासिक	ceturksnī
त्रैमासिक	ceturksni
एंटोनियो	antonio
नाई	barber
लम्बवत	perpendikulāra
हलचल	maisa
ऑडिशन	skati
बाधक	novērš
मेसोपोटामिया	mezopotāmijā
सिलाई	šūšanas
प्रचुरता	pārpilnība
असहमति	domstarpības
असहमति	nesaskaņas
हिप्पोकैम्पस	hippocampus
ब्लैकबेरी	kazeņu
खरपतवार	zālīte
लैन	apriņķis
लैन	apgabals
कारा	karas
टाइटन	titan
अव्यवस्था	haoss
कोको	kokos
निवारक	preventīvi
मदीना	medina
गोरी	gori
हटाएँ	izmest
हटाएँ	aizvākt
हटाएँ	izņemt
हटाएँ	noņemt
हटाएँ	izdzēst
हटाएँ	dzēst
खमीर	rauga
खमीर	raugs
विच्छेद	atlaišanas
नाच	dejas
नाच	dejo
नाच	deju
नाच	dejot
नाच	deja
बाल्टीमोर	baltimoras
लचीलापन	elastīgums
लचीलापन	elastība
लचीलापन	elastību
स्केटिंग	slidošanas
कलेक्टर	kolekcijas
चित्रकारों	gleznu
चित्रकारों	krāsošana
चित्रकारों	zīmēšana
चित्रकारों	glezna
शैलियाँ	stili
शैलियाँ	žanru
लालच	alkatība
मेरु	meru
पुलों	tilti
मिडिया	media
मिडिया	mediji
मिडिया	mediju
केयर	rūp
केयर	kopšana
केयर	aprūpe
केयर	aprūpi
कर्ट	kurts
छतरी	lietussargu
छतरी	jumta
फीस	nodevas
फीस	maksa
फीस	maksas
कतर	katara
लकी	laimīgā
लकी	laimīgais
धातुकर्म	metālapstrādes
जाम	jam
रैम	ram
अभिनेत्रियों	aktrises
वांछनीय	vēlama
वांछनीय	vēlams
मकानों	mājas
मकानों	mājiņas
भेजना	sūta
भेजना	nosūta
फ़िल्टर	filtrē
फ़िल्टर	filtru
फ़िल्टर	filtrs
फ़िल्टर	filtrēt
फ़िल्टर	filtrus
फ़िल्टर	filtri
कीड़ों	tārpu
स्कैनर	skenera
प्रतिशोध	atriebība
पार्किंग	stāvvieta
पार्किंग	stāvvietas
नशा	mantu
नशा	nasha
लचीला	elastīga
लचीला	elastīgi
लचीला	elastīgs
लचीला	elastīgas
लचीला	elastīgā
सफ़ाई	tīrīšanas
सफ़ाई	tīrīšana
कोलेजन	kolagēna
ऊनी	vilnas
बर्टन	burton
पुतिन	putin
पुतिन	putina
प्रोपेन	propāna
प्रोपेन	propāns
ज़िम्मेदार	atbildīgais
ज़िम्मेदार	atbildīgs
ज़िम्मेदार	atbildīga
ज़िम्मेदार	atbildīgā
ज़िम्मेदार	atbildīgās
कार्यस्थल	darbavietā
कार्यस्थल	darbavieta
कार्यस्थल	darbavietas
अवहेलना	ignorēšanu
नर्सरी	bērnudārzu
अविश्वास	neuzticību
पर्दा	aizkari
टच	pieskarties
तोपों	lielgabalu
सिल्क	zīda
सिल्क	zīds
झूठा	melis
अक्षमता	nespēja
अक्षमता	nespēju
अक्षमता	invaliditāte
अक्षमता	invaliditātes
ईगल	ērglis
वारंटी	garantija
वारंटी	garantijas
होमर	homērs
मुबारक	priecīgs
मुबारक	laimīga
मुबारक	laimīgs
एकांत	vientulībā
विंड	vēju
विंड	vēja
विंड	vējš
आश्वस्त	pārliecināti
आश्वस्त	pārliecināta
हैंक्स	henkss
सोरोस	soross
आकृतियाँ	formas
सुलतान	sultāns
बदतर	sliktāk
बदतर	sliktāka
लोपेज़	lópez
लोपेज़	lopesa
पशुधन	lopkopības
पशुधन	lopi
आदी	atkarīgi
लार्वा	kāpurs
