tillväxt	növekedés
bog	mocsár
bog	láp
torpet	croft
kara	kara
arboga	kuvait
marine	tengerész
marine	tengeri
marine	tengerészgyalogos
meuse	meuse
cork	dugó
cork	parafa
flowers	virágok
flowers	virág
flowers	virágot
sas	sas
fysiskt	fizikailag
fysiskt	fizikai
fysiskt	fizikai
moment	pillanat
dominerar	uralni
utgrävningar	ásatások
elfte	tizenegyedik
connor	connor
graz	graz
princess	királylány
princess	hercegnő
grote	grote
hannibal	hannibal
darwin	darwin
irwin	irwin
tillräcklig	elégséges
tillräcklig	elegendő
positioner	pozíciók
positioner	pozíció
besegrat	legyőzte
besegrat	legyőzött
höjder	heights
duett	duett
wii	wii
leonardo	leonardo
femma	ötödik
draken	sárkány
draken	dragon
industriella	ipari
barker	barker
kärna	kernel
kärna	mag
segovia	segovia
översätta	fordít
översätta	fordítás
översätta	lefordítani
norton	norton
hector	hector
dorothy	dorothy
