beta	beta
jalo	edelt
salomon	salomon
mir	mir
putin	putin
kersantti	sersjant
mitattu	målt
mitattu	måles
metropolitan	metropolitan
cox	cox
aivot	brain
aivot	hjernens
aivot	hjerne
aivot	hjernen
aivot	hjerner
aivot	hjerne
aivot	hjernen
prost	prost
munkki	monk
munkki	munk
block	blokkering
block	blokker
block	blokk
block	blokkere
yhdistyneet	forent
yhdistyneet	united
olentoja	vesener
olentoja	skapninger
olentoja	vesener
olentoja	skapningene
vaikeuttaa	komplisere
filippiineillä	philippines
filippiineillä	filippinene
filippiineillä	filippinenes
göteborgissa	göteborg
göteborgissa	gøteborg
göteborgissa	göteborg
havainto	observasjon
lin	lin
vesillä	waters
vesillä	farvann
nacional	nacional
vince	vince
markkinointi	markedsføring
markkinointi	promotering
markkinointi	kampanje
markkinointi	opprykk
markkinointi	forfremmelse
freud	freud
kaasua	bensin
kaasua	gass
desibeli	decibel
batmanin	batman
valeri	valerij
zeus	zevs
syyn	årsak
syyn	fornuft
syyn	grunn
piquet	piquet
sarjakuvia	tegneserier
sarjakuvia	tegneserie
hank	hank
osoittautunut	beviste
osoittautunut	bevist
lennot	flyreiser
lennot	flyvninger
liikkeiden	bevegelser
keittiö	kjøkken
keittiö	kjøkken
konsuli	konsul
ilmailu	aviation
ilmailu	luftfart
sora	grus
noel	noel
useimmilla	most
useimmilla	meste
useimmilla	mest
todisti	beviste
todisti	bevist
solo	solo
keksittiin	oppfant
keksittiin	oppfunnet
ohjeen	instruksjon
amadeus	amadeus
kaupallista	reklamefilm
kaupallista	kommersielt
kaupallista	kommersiell
työntekijän	arbeider
työntekijän	arbeideren
waltari	waltari
vaarallista	dangerous
vaarallista	farlig
vaarallista	farlige
vaarallista	livsfarlig
vaarallista	farlig
linnea	linnea
logiikan	logikk
eteneminen	progresjon
eteneminen	forskudd
eteneminen	forhånd
viholliset	fiende
viholliset	uvenner
viholliset	fiender
innokas	ivrig
innokas	ivrige
innokas	entusiastisk
innokas	entusiastiske
innokas	avid
innokas	keen
madame	madame
kap	cape
kap	kapp
sähköinen	elektroniske
sähköinen	elektronisk
sähköinen	elektrisk
mona	mona
melbourne	melbourne
fabian	fabian
tehtaiden	fabrikkene
tehtaiden	fabrikker
luonnetta	karakter
luonnetta	rollefigur
tilaisuus	anledning
tilaisuus	anledningen
tilaisuus	mulighet
simone	simone
orion	orion
määrät	beløpene
määrät	mengder
määrät	mengder
romaniassa	romania
romaniassa	romanias
olemassaoloa	tilværelse
olemassaoloa	eksistens
vallankumousta	revolusjon
vihan	vrede
vihan	sinne
vihan	raseriet
vihan	hat
vihan	hate
vihan	hat
vihan	hater
vuosikirja	årboken
vuosikirja	årboka
lex	lex
maxwell	maxwell
vähenee	avslår
vähenee	fallende
kati	kati
kati	kate
iskee	fulltreffere
iskee	hits
selitti	forklares
selitti	forklarte
selitti	forklart
käsittelyä	håndtering
käsittelyä	håndterer
käsittelyä	behandler
käsittelyä	behandle
käsittelyä	behandles
lange	lange
canadiens	canadiens
teräsmies	supermann
teräsmies	superman
juhlat	parti
juhlat	fest
juhlat	feste
juhlat	party
veroja	moms
veroja	skatt
veroja	skatt
veroja	selvangivelsen
veroja	skatter
arkiston	arkiv
arkiston	arkivere
arkiston	arkiver
arkiston	arkivet
autoilija	bilist
kopioi	kopierte
kopioi	kopiert
kopioi	kopi
kopioi	kopier
tuttuja	velkjent
tuttuja	kjenner
tuttuja	kjent
tuttuja	bekjente
tuttuja	bekjentskaper
conrad	conrad
conrad	konrad
urpo	dust
yksinäinen	ensomt
yksinäinen	lonely
yksinäinen	ensom
yksinäinen	ensomt
yksinäinen	ensom
nostettu	oppdratt
nostettu	hevet
nostettu	oppvokst
nostettu	fostret
nostettu	oppfostret
koch	koch
neuvoja	råd
extra	ekstra
extra	extra
poikkeuksellisesti	eksepsjonelt
kantava	peiling
kivestä	stone
agnes	agnes
doo	doo
seksiä	sex
esseitä	essay
esseitä	stilene
fanny	fanny
matkoilla	reiser
matkoilla	reise
matkoilla	reising
kirjattu	registrerte
kirjattu	registrert
kirjattu	innspilt
kirjattu	registrert
raketti	rakett
raketti	rocket
sheffield	sheffield
ajettu	kjørt
ajettu	drevet
ajettu	kjøring
ajettu	kjører
lena	lena
murhaa	myrde
murhaa	drap
murhaa	mord
ulf	ulf
freddie	freddie
bayer	bayer
vuosisata	århundre
periaatteita	prinsipper
periaatteita	prinsipp
sisarukset	søstre
sisarukset	søsken
sally	sally
sisäiset	intern
sisäiset	internt
todellisuutta	virkeligheten
todellisuutta	realitet
todellisuutta	reality
todellisuutta	realiteten
todellisuutta	virkelighet
piirrokset	skisser
piirrokset	tegningene
piirrokset	tegninger
ellis	ellis
loistava	genial
loistava	brilliant
loistava	briljant
loistava	genialt
loistava	superb
lahjakas	begavede
lahjakas	begavet
lahjakas	talentfulle
lahjakas	begavet
lahjakas	talentfull
pyrkimys	quest
pyrkimys	søken
pyrkimys	tokt
andersen	andersen
riita	krangel
riita	strides
riita	tvist
riita	tvisten
tavalliset	alminnelig
tavalliset	ordinær
tavalliset	ordinært
tavalliset	vanlig
suoritin	prosessor
vastakohta	motsatte
vastakohta	motsatt
flanderin	flandern
flanderin	flamsk
arvokas	verdifull
arvokas	verdifulle
arvokas	verdifullt
arvokas	precious
arvokas	dyrebar
arvokas	dyrebare
matkustajia	passasjerene
matkustajia	passasjerer
tulkintaa	tolkning
welcome	velkommen
kemia	kjemi
tiukka	trangt
tiukka	trang
tiukka	stram
tiukka	stramt
tiukka	stramme
tiukka	streng
tiukka	strenge
laurent	laurent
alppien	alpin
alppien	alpine
arttu	vorte
autio	øde
autio	forlatt
autio	øde
sademäärä	nedbør
loki	loke
loki	logg
loki	logge
javier	javier
rms	rms
kgb	kgb
jarrut	bremse
jarrut	brems
jarrut	bremser
ozzy	ozzy
omar	omar
viiniä	vin
weimarin	weimar
trevor	trevor
lupaava	lovende
suurmestari	stormester
joão	joão
yksikköä	enheter
yksikköä	unit
yksikköä	enhet
yksikköä	automat
kristitty	christian
kristitty	kristen
patriarkka	patriark
turkkilaiset	tyrkere
turkkilaiset	turks
minerva	minerva
vakuutti	forsikret
savage	savage
savage	villmann
evan	evan
harkita	betrakt
harkita	vurdere
harkita	vurder
valencian	valencia
biologinen	biologisk
ming	ming
riskiä	risiko
riskiä	risikere
räjähdys	blast
räjähdys	eksplosjon
välttämätön	nødvendig
välttämätön	nødvendige
välttämätön	uunnværlig
kreivitär	grevinnen
kreivitär	grevinne
swift	snar
swift	swift
pysyvää	permanente
pysyvää	permanent
gif	gif
ihastunut	knuse
ihastunut	forelskelse
ihastunut	knus
ihastunut	betatt
kampanja	kampanje
kampanja	kampanjen
