वैभव	grandeza
फिल्मफेयर	filmfare
वीजा	visados
वीजा	visado
वीजा	visas
वीजा	visados
वीजा	visado
वीजा	visa
बैनर	banners
बैनर	banderas
बैनर	pancartas
बैनर	pancarta
बैनर	estandarte
बैनर	bandera
बैनर	banner
याहू	yahoo
बुजुर्ग	ancianos
बुजुर्ग	anciano
बुजुर्ग	anciana
वेदी	altar
वेदी	vedi
उत्साहित	emocionada
उत्साहित	entusiasmado
उत्साहित	emocionados
उत्साहित	emocionado
उत्साहित	entusiasmada
प्रलय	catástrofe
घटती	disminuyendo
रिले	riley
रिले	relevo
रिले	relé
रिले	retransmisión
चुनौतियों	desafíos
चुनौतियों	retos
खासी	khasi
बर्मन	burman
अनवर	anwar
फर्ग्यूसन	ferguson
हालात	situacion
हालात	situación
हालात	probabilidades
हालात	impares
हालात	circunstancias
भैंस	búfalos
भैंस	búfalo
भैंस	buffalo
महाद्वीपों	continentes
इस्लामाबाद	islamabad
लेनिन	lenin
डैविल	davila
समाचारपत्र	periódico
समाचारपत्र	periodico
समाचारपत्र	periódicos
साम्य	parecido
साम्य	semejanza
संतोषजनक	satisfactorio
संतोषजनक	satisfactorios
संतोषजनक	satisfactorias
संतोषजनक	satisfactoria
संतोषजनक	satisfactorio
संतोषजनक	satisfactoria
रनवे	pista
रनवे	pasarela
सफ़र	travesía
सफ़र	viaje
सफ़र	trayecto
विवेचना	deliberaciones
विवेचना	deliberación
मनोरोग	psiquiátricos
मनोरोग	psiquiátrica
मनोरोग	psiquiátrico
मनोरोग	psiquiatría
खींचा	drew
सल्फर	azufre
सल्फर	sulfuro
सल्फर	azufre
सल्फर	sulfuro
स्क्वैश	squash
लॉक	lock
लॉक	bloqueo
लॉक	cerradura
लॉक	candado
एबीसी	abc
वाल्टर	walter
डाकू	forajido
डाकू	asaltante
डाकू	ladrón
पीएचडी	doctorado
पीएचडी	doctorados
फ़ुटबॉल	fútbol
फ़ुटबॉल	futbol
गॉर्डन	gordon
बांस	bambú
वाटसन	watson
सहिष्णुता	tolerancia
लूथर	luther
लूथर	lutero
परिपक्वता	vencimientos
परिपक्वता	vencimiento
परिपक्वता	madurez
पूज्य	venerable
निरंतरता	continuidad
निरंतरता	sostenibilidad
निरंतरता	sustentabilidad
पनामा	panamá
पनामा	panama
लॉरेंस	lorenzo
लॉरेंस	lawrence
हिरासत	custodia
सांप्रदायिक	comunal
सांप्रदायिक	comunales
लड़	combates
लड़	peleas
लड़	lucha
लड़	fighting
लड़	luchando
गुणात्मक	cualitativa
गुणात्मक	cualitativos
गुणात्मक	cualitativas
गुणात्मक	cualitativo
बौना	enanos
बौना	enano
बौना	enana
रेखाचित्र	gráficas
रेखाचित्र	gráficos
रेखाचित्र	dibujar
रेखाचित्र	dibujando
रेखाचित्र	dibujo
स्वदेश	nación
स्वदेश	nacion
स्वदेश	nation
सुपरमैन	supermán
सुपरमैन	superman
फलित	astrólogos
बुल	bulldog
बुल	toro
बुल	bull
धब्बे	parches
धब्बे	manchas
अमूल्य	invaluable
अमूल्य	inestimable
अमूल्य	incalculable
विकिस्रोत	wikisource
निक	nick
पीढी	generación
माउस	ratón
माउस	mouse
क्राउन	corona
साड़ी	sari
बहुमुखी	múltiple
बहुमुखी	múltiples
बहुमुखी	multiples
बहुमुखी	versátil
पहियों	wta
पहियों	ruedas
स्पीयर्स	lanzas
स्पीयर्स	spears
बहू	novia
वेबसाइटों	webs
वेबसाइटों	sitios
छठा	sexto
छठा	sexta
संभाला	manejado
संभाला	manejada
स्पा	balnearios
स्पा	spa
स्पा	balneario
स्पा	balnearios
स्पा	spas
स्पा	balneario
मातृभूमि	patria
मातृभूमि	patria
मशीनें	maquinaria
मशीनें	máquinas
मशीनें	maquinas
पनडुब्बी	submarino
पनडुब्बी	submarinos
मुखर	vocales
मुखर	vocal
काउंटर	contrarrestar
काउंटर	contra
काउंटर	contador
काउंटर	mostrador
पूर्णांक	enteras
पूर्णांक	entero
पूर्णांक	entera
पूर्णांक	enteros
बचना	evasión
शौक	pasatiempos
शौक	hobby
शौक	pasatiempo
शौक	aficiones
शौक	afición
शौक	pasatiempos
शौक	aficiones
निचला	bajar
निचला	inferior
वानर	simio
वानर	simios
नौकर	criado
नौकर	siervo
नौकर	sirviente
नौकर	sirvienta
बोवी	bowie
अफगान	afganistán
अफगान	afgana
अफगान	afganos
अफगान	afganas
अफगान	afgano
दोहा	doha
टार्ज़न	tarzán
उदासीन	nostalgia
उदासीन	nostálgico
राजमहल	palacio
राजमहल	palace
बसों	ómnibus
बसों	autobuses
बसों	buses
मॉर्गन	morgana
मॉर्गन	morgan
सतहों	superficies
रसेल	russell
संगीतमय	musicales
संगीतमय	musical
टिक	tic
टिक	tic
क्राइस्ट	cristo
अनुप्रस्थ	transversal
अनुप्रस्थ	transversales
प्रायोजक	patrocinio
प्रायोजक	patrocinador
प्रायोजक	patrocina
प्रायोजक	patrocinadores
ब्रिगेड	brigada
पॉलिसी	políticas
पॉलिसी	póliza
पॉलिसी	politica
पॉलिसी	política
दस्त	diarrea
कलाई	muñeca
संभोग	coito
जोरदार	vehementemente
अल्फ्रेड	alfredo
अल्फ्रेड	alfred
परित्याग	repudiar
वेल्श	welsh
वेल्श	galés
वेल्श	braille
कराटे	karate
ग्रंथियों	glándulas
ट्रैफिक	tránsito
ट्रैफिक	tráfico
ट्रैफिक	trafico
सिखाया	enseñado
सिखाया	enseñaba
सिखाया	enseñó
लिबरल	liberal
लिबरल	liberales
वाल	franquiciado
खंडहर	escombros
खंडहर	desechos
खंडहर	ruinas
कर्क	cancer
कर्क	cáncer
प्रेरण	inducción
लामा	lama
लेज़र	laser
लेज़र	láser
लेज़र	láseres
बाइबल	biblia
क्रमांक	número
क्रमांक	numero
झाँसी	jhansi
धक्का	push
धक्का	empujar
धक्का	empuja
धक्का	empuje
धक्का	sacudida
आविष्कारक	inventores
आविष्कारक	inventores
आविष्कारक	inventor
गोपनीय	encriptado
गोपनीय	cifrado
गोपनीय	secreta
गोपनीय	secret
गोपनीय	secreto
गोपनीय	secretos
गोपनीय	confidenciales
गोपनीय	confidencial
प्रेत	zombie
प्रेत	zombi
प्रेत	zombis
स्थलीय	terrestre
स्थलीय	terrenal
स्थलीय	terrestres
सप्ताहांत	finde
कब्रिस्तान	cementerios
कब्रिस्तान	cementerio
बुल्गारिया	bulgaria
पासपोर्ट	pasaporte
प्रज्ञा	inteligencia
बेशक	ciertamente
बेशक	efectivamente
बेशक	seguramente
आइसलैंड	islandia
लोप	lop
प्रमाणीकरण	autenticación
प्रमाणीकरण	autentificación
टोयोटा	toyota
ब्लाक	bloque
ब्लाक	bloqueo
ब्लाक	bloquear
ब्लाक	cuadra
सत्यापन	verificación
सत्यापन	verificar
सत्यापन	verifica
सत्यापन	verifique
सत्यापन	autenticación
सत्यापन	autentificación
सत्यापन	verificación
रेशों	seda
प्रत्यावर्ती	alternar
प्रत्यावर्ती	alternando
प्रत्यावर्ती	alterna
प्रत्यावर्ती	alternancia
ग्रैमी	grammy
लॉन्च	lanzamientos
लॉन्च	lanzamiento
लॉन्च	lanza
लॉन्च	lanzamiento
लॉन्च	lanzar
बीट	beat
लटका	hung
लटका	colgado
कैटरीना	katrina
डिस्ट्रिक्ट	distrito
काठमांडू	katmandú
अरोड़ा	arora
सीखना	aprender
सीखना	aprendizaje
सीखना	aprendiendo
वेश	vestida
वेश	vestidos
वेश	vestido
डॉक्टरों	doctores
डॉक्टरों	medicos
डॉक्टरों	médicos
पक्का	claro
पक्का	seguro
गला	garganta
गला	cuello
हैदर	haider
सुगमता	accesibilidad
स्ट्रॉस	strauss
गार्सिया	garcia
गार्सिया	garcía
निद्रा	duerma
निद्रा	duerme
निद्रा	dormir
निद्रा	sueño
बहाने	pretextos
बहाने	excusas
एक्सप्लोरर	exploradora
एक्सप्लोरर	explorer
एक्सप्लोरर	explorador
छल	acoso
छल	hostigamiento
छल	astucia
आलम	alam
बिज़नेस	empresa
बिज़नेस	negocio
बिज़नेस	negocios
प्रतिबद्ध	comprometido
प्रतिबद्ध	comprometidos
प्रतिबद्ध	cometido
प्रतिबद्ध	comprometida
कॉलोनी	colonia
आवंटन	asignación
आवंटन	adjudicación
बाला	bala
कार्लोस	carlos
हुमायूँ	humayun
अनीता	alicia
अनीता	alice
अनीता	anita
अनोखा	pintoresco
अनोखा	pintoresca
अनोखा	únicos
अनोखा	único
अनोखा	unica
अनोखा	única
अनोखा	únicas
अनोखा	novela
रिएक्टर	reactores
रिएक्टर	reactor
करीना	karina
कपाल	calavera
कपाल	cráneo
कपाल	skull
श्रोता	oyentes
श्रोता	oyente
श्रोता	público
श्रोता	publico
श्रोता	audiencia
श्रोता	auditorio
कॉमन	comunes
कॉमन	frecuente
कॉमन	común
कॉमन	frecuentes
कॉमन	common
आपेक्षिकता	relatividad
लेम्बोर्गिनी	lamborghini
प्याज	cebolla
प्याज	cebollas
प्याज	cebolla
प्याज	cebollas
असीमित	infinita
असीमित	infinito
असीमित	infinitos
असीमित	infinitas
असीमित	unbound
असीमित	ilimitada
असीमित	ilimitado
असीमित	ilimitadas
असीमित	ilimitados
असीमित	ilimitada
असीमित	ilimitado
असीमित	ilimitadas
असीमित	ilimitados
माउंटबेटन	mountbatten
बग	bicho
बग	insecto
बग	bug
बग	insectos
बग	bugs
बग	bichos
बग	errores
मॉस्को	moscú
बूटी	botín
सोम	soma
सोम	som
सोम	mon
सोम	lun
पानीपत	panipat
चन्द्रशेखर	chandrasekhar
टर्नर	turner
हिमानी	glaciar
हिमानी	himalaya
ट्रांस	trans
मेहमान	huéspedes
मेहमान	invitados
मेहमान	invitada
मेहमान	invitado
मेहमान	invitados
मेहमान	huésped
नियमन	reglamentación
नियमन	reglamento
नियमन	regulación
जहर	veneno
मगरमच्छ	cocodrilo
मगरमच्छ	cocodrilos
गतिज	cinética
तन	tan
तन	bronceado
यूटीसी	utc
वेनिस	venecia
खांसी	tos
खांसी	toser
आईएसओ	iso
पिंडों	lingotes
युगांडा	uganda
संख्याएँ	numeros
संख्याएँ	números
जब्त	confiscado
जब्त	incautados
जब्त	incautado
सुगंध	fragancias
सुगंध	aroma
जस्टिन	justin
सरकारें	gobiernos
अहंकार	ego
ज़ाहिर	divulgar
ज़ाहिर	revelar
अंबेडकर	ambedkar
ठेठ	típico
ठेठ	típicas
ठेठ	típica
ठेठ	típicos
चिंताओं	ansiedades
फ़ोर्स	fuerza
फ़ोर्स	force
फ़ोर्स	forzar
उलट	invertida
उलट	invertidos
उलट	invertido
मोरक्को	marruecos
सुमात्रा	sumatra
छड़ी	stick
छड़ी	palo
सीरम	suero
नतीजतन	consecuentemente
दाम	precios
दाम	precio
दाम	price
नहरें	canal
नहरें	rios
नहरें	rivers
नहरें	ríos
हमलावर	atacantes
हमलावर	agresores
नॉर्मन	normandos
नॉर्मन	norman
सराहा	apreciada
सराहा	apreciados
सराहा	apreciadas
सराहा	apreciado
लैंडिंग	desembarco
लैंडिंग	desembarque
लैंडिंग	aterrizando
लैंडिंग	aterrizar
लैंडिंग	aterrizaje
माँगा	manga
नाविक	marinero
नाविक	marinera
नाविक	marino
नाविक	navegante
नाविक	navegador
प्रमाणों	yok
स्थायित्व	aguante
स्थायित्व	resistencia
कावेरी	kaveri
इन्दौर	indore
हावर्ड	howard
साम्यवाद	comunismo
पैमाना	alcance
पैमाना	ámbito
पैमाना	alcances
पैमाना	balanza
पैमाना	baremo
पैमाना	escalar
पैमाना	escala
तंबाकू	tabaco
चिड़िया	pajaro
चिड़िया	aves
चिड़िया	pájaro
चिड़िया	ave
पराग	polen
सूर	sur
उमा	uma
प्री	pre
कफ	puño
कफ	gemelos
मैथुन	coito
मैथुन	sexuales
मैथुन	sex
मैथुन	sexos
मैथुन	sexo
ग्राफिक्स	gráfica
ग्राफिक्स	gráfico
ग्राफिक्स	gráficos
ग्राफिक्स	gráficas
संचारित	transmita
संचारित	transmitir
संचारित	transmite
संचारित	transmitan
पराबैंगनी	ultravioleta
पराबैंगनी	uv
ताम्र	cobre
योजनाएं	esquemas
केल्विन	kelvin
अल्पकालिक	efímera
अल्पकालिक	efímero
अनुपस्थित	ausente
अनुपस्थित	ausentes
अनुपस्थित	desaparecido
अनुपस्थित	desaparecidos
अनुपस्थित	ausente
अनुपस्थित	falta
अनुपस्थित	desaparecida
फाई	fi
फाई	phi
मर्सिडीज	mercedes
कीटनाशक	pesticidas
कीटनाशक	plaguicida
कीटनाशक	plaguicidas
लार	saliva
सुनहरे	rubios
सुनहरे	rubio
सुनहरे	rubia
सुनहरे	rubias
आगंतुक	visitante
आगंतुक	visitantes
फ़ॉर्मूला	formula
फ़ॉर्मूला	fórmula
चीज़ें	cosas
चीज़ें	things
ग्राफिक	gráficos
ग्राफिक	gráfico
ग्राफिक	gráfica
ग्राफिक	gráficas
लूप	loop
लूप	bucle
पेरी	peri
पेरी	perry
फिल्माया	rodado
फिल्माया	filmado
फिल्माया	filmada
सम्मिश्रण	mezcla
चम्मच	dipper
चम्मच	cuchara
ग्रा	gras
दुकानें	tiendas
दुकानें	comercios
दुकानें	almacenes
दुकानें	tiendas
दुकानें	comercios
दुकानें	puestos
अनुपयुक्त	incongruente
नरेंद्र	narendra
विरोधाभास	paradoja
विरोधाभास	paradojas
जैम	zam
जैम	mermeladas
जैम	jam
जैम	atasco
जैम	mermelada
चेयरमैन	presidenta
चेयरमैन	presidente
रिश्तेदार	relativa
रिश्तेदार	pariente
रिश्तेदार	relativo
रिश्तेदार	parientes
रिश्तेदार	familiares
कचरा	basura
कचरा	papelera
कचरा	basura
थैली	valija
प्रतियोगियों	competidores
प्रतियोगियों	competencia
प्रतियोगियों	competidoras
असिमोव	asimov
स्प्रिंग	manantial
स्प्रिंग	primavera
स्प्रिंग	resorte
पिज़्ज़ा	pizzas
पिज़्ज़ा	pizza
त्रावणकोर	travancore
जाली	entramado
दैवी	oracle
दैवी	oráculo
दैवी	divino
दैवी	divinas
दैवी	divinos
दैवी	divina
साइबर	cibernética
साइबर	cibernético
साइबर	cyber
साइबर	ciber
ग़रीब	pobrecito
ग़रीब	pobre
ग़रीब	pobres
छात्रवृत्ति	becas
छात्रवृत्ति	beca
विषैले	venenosa
विषैले	venenosas
विषैले	venenoso
लिखें	escribe
लिखें	escribo
लिखें	escribir
लिखें	escriba
लिखें	escritura
लिखें	compone
लिखें	componer
लिखें	arde
लिखें	burn
लिखें	quema
लिखें	quemadura
लिखें	quemar
देवों	devon
सोडा	refresco
सोडा	refrescos
सोडा	sosa
सोडा	soda
हुकूमत	reino
हुकूमत	kingdom
हुकूमत	dominio
हुकूमत	dominación
डॉक्टरेट	doctorado
डॉक्टरेट	doctorado
विला	chalets
विला	villas
विला	villa
सटीकता	precisión
सटीकता	exactitud
कोला	kola
कोला	colombo
कोला	cola
धमनियों	arterias
प्रतिजन	antígeno
प्रतिजन	antígenos
अदालतों	tribunales
अदालतों	cortes
अदालतों	juzgados
ग्राहम	graham
सर्वोपरि	paramount
प्लेटों	planchas
प्लेटों	placas
प्लेटों	chapas
प्लेटों	platos
रंजीत	ranjit
सिरा	sira
प्रमाणन	certificaciones
प्रमाणन	titulación
प्रमाणन	certificación
खरीदी	adquiridos
खरीदी	comprados
खरीदी	adquiridas
खरीदी	comprada
खरीदी	adquirido
खरीदी	comprado
खरीदी	compró
खरीदी	comprado
खरीदी	comprados
मिटा	borrar
दुखी	miserable
दुखी	miserables
दुखी	tristes
दुखी	triste
दुखी	sad
न्यूट्रॉन	neutrones
इमरान	imran
निरीक्षक	topógrafo
निरीक्षक	supervisora
निरीक्षक	supervisor
निरीक्षक	observador
निरीक्षक	observadora
अल्फ़ा	alpha
अल्फ़ा	alfa
हैरिस	harris
सावधान	discreto
सावधान	discreta
सावधान	discretos
गियर	engranajes
गियर	engranaje
गियर	artes
राजतंत्र	monarquía
अंडाकार	elíptica
सर्कस	circus
सर्कस	circo
अल्बानिया	albania
हीलियम	helio
बादाम	almendra
बादाम	almendras
बादाम	almendras
कगार	cornisa
निष्कर्षों	hallazgos
निष्कर्षों	conclusiones
निष्कर्षों	descubrimientos
नागा	naga
प्राचल	parámetro
प्राचल	parámetros
कामकाज	quehaceres
कामकाज	funcionamiento
मिनेसोटा	minnesota
पृथक्करण	indemnización
पृथक्करण	segregación
अंडा	huevo
अंडा	óvulo
परवेज़	pervez
एलर्जी	alergia
एलर्जी	alérgico
एलर्जी	alergias
माइक्रो	micro
वर्दी	uniformes
वर्दी	uniforme
वर्दी	uniforme
वर्दी	uniformes
उत्कृष्टता	perfección
सूर्यास्त	sunset
सूर्यास्त	ocaso
सूर्यास्त	atardecer
ताँबा	cobre
ऐश	cenizas
ऐश	ceniza
ऐश	ash
कैलोरी	calorías
कैलोरी	calorías
कैलोरी	cal
ईमानदारी	honradez
ईमानदारी	sinceridad
ईमानदारी	honestidad
ईमानदारी	sinceridad
मताधिकार	franquicias
मताधिकार	franquicia
वृत्ताकार	circulares
वृत्ताकार	circular
निर्वासित	forajido
निर्वासित	deportar
सरस	jugosa
सरस	jugoso
स्ट्रिंग	cadena
स्ट्रिंग	cuerda
स्ट्रिंग	string
स्फटिक	cuarzo
बुनाई	tejiendo
बुनाई	tejer
बुनाई	tejido
बुनाई	tejiendo
बुनाई	tejer
बुनाई	tejido
विवाहित	casadas
विवाहित	casada
विवाहित	casado
विवाहित	casados
आभा	aura
ईद	eid
मांसाहारी	carnívoro
मांसाहारी	carnívoros
बॉन	bonn
बॉन	bon
पाँव	pies
केश	kesh
द्वेष	odio
द्वेष	odios
द्वेष	malicia
रेखांकित	subrayó
रेखांकित	subrayado
रेखांकित	subrayado
रेखांकित	subrayar
कॉलम	columna
कॉलम	columnas
समस्थानिक	isótopo
चट्टोपाध्याय	chatterjee
कहावत	proverbio
कहावत	dictum
कहावत	maxim
कहावत	máxima
कहावत	adagio
टेड	ted
समष्टि	espaciales
समष्टि	space
समष्टि	espacial
समष्टि	espacio
दुर्घटनाओं	accidentes
दुर्घटनाओं	accidente
शायरी	poesía
टेलीग्राफ	telégrafo
टेलीग्राफ	telegraph
प्रत्याशी	candidata
प्रत्याशी	candidato
प्रत्याशी	candidatos
आवेग	ímpetu
आवेग	impulso
आवेग	impulsos
आवेग	impulso
आवेग	impulse
मुंडा	munda
बर्नार्ड	bernard
बर्नार्ड	bernardo
बर्नार्ड	barnard
अध्यात्म	espiritualidad
सचेत	consciente
सचेत	conciente
सचेत	conscientes
एमिनेम	eminem
सुनी	escuchado
सुनी	escuchaba
सुनी	escuché
किशोरों	adolescentes
किशोरों	adolescencia
धर्मार्थ	beneficencia
धर्मार्थ	caridad
धर्मार्थ	beneficencia
धर्मार्थ	caridad
डेव	dave
पारा	mercury
पारा	mercurio
धोखे	engañado
धोखे	engañados
धोखे	engañada
हार्ले	harley
पेंट	pintar
पेंट	pintura
पेंट	pinta
निदेशालय	dirección
सोन	hijo
नीलामी	subasta
नीलामी	lonja
नीलामी	remate
नीलामी	subastas
नीलामी	subasta
नीलामी	subastas
पट्टे	arrendamiento
पट्टे	leasing
पट्टे	arriendo
पट्टे	arrendamiento
नाटो	nato
नाटो	otan
ब्रह्मचर्य	castidad
ब्रह्मचर्य	celibato
ग्लेन	glen
ग्लेन	cañada
ग्लेन	glenn
विरल	esporádicos
विरल	esporádica
विरल	raros
विरल	rara
विरल	raras
विरल	raro
पिया	bebía
पिया	bebió
आयामी	dimensional
पोर्टफोलियो	portafolio
पोर्टफोलियो	portafolios
पोर्टफोलियो	cartera
नवाचार	innovación
नवाचार	innovaciones
डायमंड	diamond
डायमंड	diamante
डायमंड	diamantes
महंगी	costoso
महंगी	caras
महंगी	caro
महंगी	caros
फ्रायड	freud
तर्कसंगत	racional
तर्कसंगत	racionales
पीना	beber
पीना	bebida
पीना	bebiendo
पीना	bebe
पीना	beber
पीना	bebida
पीना	beba
आप्रवासी	expatriados
स्ट्रिप	franja
स्ट्रिप	tira
स्ट्रिप	tiras
स्ट्रिप	striptease
स्ट्रिप	strip
संलयन	fusion
संलयन	fusión
अब्दुल्ला	abdullah
वर्जिन	virgin
वर्जिन	virgen
अय्यर	iyer
डेप	depp
चक्रों	chakra
सिन्धी	sindhi
मानकीकृत	estandarizados
मानकीकृत	estandarizado
मानकीकृत	normalizado
मुहाफ़ज़ाह	gobernación
प्रोसेसिंग	procesamiento
प्रोसेसिंग	procesando
प्रोसेसिंग	tramitación
प्रोसेसिंग	transformación
प्रोसेसिंग	procesado
अवस्थिति	colocación
अवस्थिति	ubicación
अवस्थिति	lugar
अवस्थिति	ubicacion
अवस्थिति	ubicación
अवस्थिति	emplazamiento
अवस्थिति	localización
अवस्थिति	localizaciones
अवस्थिति	ubicaciones
अवस्थिति	lugares
अवस्थिति	localidades
वार्मिंग	calentamiento
वार्मिंग	calentando
मार्गदर्शक	guía
मार्गदर्शक	guia
विभिन्नता	variación
ढोल	tambor
क्वार्क	quark
अवकल	diferencial
अवकल	diferenciales
राजसी	majestic
राजसी	majestuosa
राजसी	majestuoso
राजसी	regal
राजसी	regia
टिकाऊ	sostenible
टिकाऊ	sustentable
टिकाऊ	sostenibles
टिकाऊ	duradera
टिकाऊ	duraderos
टिकाऊ	duraderas
टिकाऊ	duradero
जबरदस्त	tremendos
जबरदस्त	tremendo
जबरदस्त	tremenda
जबरदस्त	tremendas
क्रोमियम	cromo
कूप	coupe
एकरूपता	uniformidad
एकरूपता	homogeneidad
कीन	keane
स्टेनली	stanley
सिन्ध	sindh
साहेब	saheb
लेखनी	bolígrafo
लेखनी	boli
लेखनी	pen
लेखनी	pluma
वक्ष	tórax
अखबारों	diarios
अखबारों	prensa
अखबारों	periódicos
मध्यस्थता	arbitraje
मध्यस्थता	mediación
सोल	sol
किक	patear
किक	patea
किक	kick
किक	patada
आयोडाइड	yoduro
धड़कन	beat
धड़कन	latidos
धड़कन	latido
धड़कन	latiendo
धड़कन	paliza
धड़कन	golpiza
छल्ले	anillos
क्रेन	grúa
क्रेन	crane
क्रेन	grulla
आखरी	último
आखरी	last
आखरी	últimos
आखरी	última
क्षेत्ररक्षण	capitana
क्षेत्ररक्षण	capitán
क्षेत्ररक्षण	capitan
क्षेत्ररक्षण	fielding
लिली	lili
लिली	lilly
लिली	lirio
लिली	lirios
लिली	lily
बेली	bailey
बेली	tripa
बेली	panza
बेली	vientre
बेली	barriga
ग्रहीय	planetaria
ग्रहीय	planetario
ग्रहीय	planetarios
मॉनिटर	monitorear
मॉनिटर	monitor
मॉनिटर	supervisar
नायडू	naidu
कोक	coque
कोक	coca
मेलबोर्न	melbourne
करुणा	bondad
करुणा	gentileza
करुणा	amabilidad
मुठभेड़	scrimmage
मुठभेड़	encuentro
अकसर	menudo
अकसर	frecuentemente
मशरूम	hongos
मशरूम	setas
मशरूम	champiñones
मशरूम	hongo
मशरूम	hongos
मशरूम	seta
मशरूम	setas
मशरूम	champiñones
शांतिपूर्ण	pacífico
शांतिपूर्ण	pacíficos
शांतिपूर्ण	pacífica
गरुड़	garuda
फ्लू	gripe
नरक	hell
नरक	infierno
ट्री	árboles
ट्री	árbol
ट्री	arbol
बेलन	cilindro
बेलन	cilindros
बोलना	hablando
अवरोधित	bloqueada
अवरोधित	bloqueadas
अवरोधित	bloqueados
अवरोधित	bloqueado
आत्मविश्वास	confiados
आत्मविश्वास	confiado
आत्मविश्वास	confiada
आत्मविश्वास	confianza
कुपोषण	desnutrición
कुपोषण	malnutrición
लापता	desaparecido
लापता	desaparecidos
लापता	ausente
लापता	falta
लापता	desaparecida
नूर	noor
कंटेनर	recipiente
कंटेनर	contenedores
कंटेनर	envase
कंटेनर	contenedor
राई	rai
दुश्मनों	enemigos
दुश्मनों	enemigas
वाइड	wide
वाइड	amplio
वाइड	ancho
वाइड	amplia
फर्नीचर	mobiliario
फर्नीचर	muebles
फर्नीचर	mueble
वारिस	heredera
वारिस	heredero
वारिस	herederos
वारिस	waris
आधुनिकीकरण	modernizado
आधुनिकीकरण	modernización
परिवर्तनशील	variable
परिवर्तनशील	variables
मच्छर	mosquito
मच्छर	mosquitos
अनजान	desconocida
अनजान	desconocidos
अनजान	desconocidas
अनजान	desconocido
ग्रांट	subvención
ग्रांट	subsidio
ग्रांट	grant
मैग्नीशियम	magnesio
सनी	soleado
सनी	sunny
सनी	soleada
प्लेटफॉर्म	andén
प्लेटफॉर्म	plataforma
प्लेटफॉर्म	plataformas
घुस	penetrar
भावुक	emocional
भावुक	emocionales
भावुक	emotivo
भावुक	sentimentales
भावुक	sentimental
कैन	cain
कैन	caín
कैन	cannes
घोटाला	escándalo
घोटाला	estafa
रक्षात्मक	defensiva
रक्षात्मक	defensivo
रक्षात्मक	defensivos
मिस्री	egipcia
मिस्री	egipcio
मिस्री	egipto
मिस्री	egipcios
चार्टर्ड	fletado
ईर्ष्या	celosos
ईर्ष्या	celoso
ईर्ष्या	celos
ईर्ष्या	celosa
ईर्ष्या	envidia
ईर्ष्या	celos
ईर्ष्या	celosa
ईर्ष्या	envidia
अमल	amal
मेडल	medalla
मेडल	medallas
समरूप	homogéneos
समरूप	homogéneo
समरूप	homogénea
समरूप	homogéneas
गायों	vacas
जैज़	jazz
गायकों	cantantes
गायकों	canto
गायकों	cantos
गायकों	cantando
गायकों	cantar
ओक	roble
बैच	lotes
बैच	tanda
बैच	lote
उड़ा	soplar
उड़ा	sopla
किनारा	fronteras
किनारा	bordes
किनारा	edge
किनारा	filo
किनारा	borde
किनारा	arista
किनारा	fronterizo
किनारा	fronteriza
किनारा	frontera
किनारा	fronteras
किनारा	borde
किनारा	lados
किनारा	laterales
किनारा	bandos
किनारा	costados
कौल	kaul
फ्रेड	fred
बुर्ज	torre
बुर्ज	tower
बुर्ज	cúspide
बुर्ज	pináculo
बुर्ज	atalaya
पियरे	pierre
वुड	maderas
वुड	madera
वुड	leña
वुड	wood
बंदरगाहों	puerto
बंदरगाहों	puertos
बंदरगाहों	babor
बंदरगाहों	oporto
