xbox	xbox
amo	guru
cadáver	body
cadáver	bodi
cadáver	buh
cadáver	tubuh
cadáver	badan
cadáver	mayat
cadáver	jenasah
cadáver	jenazah
cadáver	mayat
cadáver	jenazah
inter	inter
obligación	kewajiban
soccer	sepakbola
soccer	soccer
sweet	sweet
sweet	manis
distancias	kejauhan
distancias	jarak
pensó	pikir
pensó	pemikiran
pensó	berpikir
bordes	perbatasan
bordes	pinggir
bordes	tepi
bordes	pinggiran
fracción	pecahan
fracción	fraksi
cintas	pita
cintas	kaset
cintas	kaset
kenia	kenya
homosexualidad	lgbt
homosexualidad	homoseksualitas
homosexualidad	homoseksual
allende	allende
joão	joão
picos	paku
picos	spike
picos	puncak
picos	paruh
aníbal	hannibal
aníbal	aníbal
defensas	fender
defensas	defense
defensas	pembela
defensas	pertahanan
orquídeas	anggrek
orquídeas	anggrek
agrega	tambah
agrega	add
agrega	tambahkan
agrega	menambahkan
agrega	penambahan
invitación	undangan
invitación	invite
invitación	undang
invitación	undangan
invitación	kondangan
patagonia	patagonia
cívica	sipil
cívica	kewarganegaraan
cívica	civic
terra	terra
presentando	memperkenalkan
presentando	menyajikan
mágico	sihir
mágico	ajaib
mágico	magic
mágico	sulap
mágico	ajaib
mágico	magis
richter	richter
ritual	ritual
corpus	corpus
exclusivo	ekslusif
exclusivo	exclusive
exclusivo	eksklusif
príncipes	pangeran
round	ronde
round	bulat
round	round
pete	pete
muerta	tewas
muerta	dead
muerta	mati
ritmos	mengalahkan
ritmos	beats
ritmos	berdetak
ritmos	irama
ritmos	ketukan
nombrar	penamaan
menéndez	menéndez
bebidas	minuman
bebidas	minum
llanos	plains
llanos	dataran
stanford	stanford
tallo	tangkai
tallo	stalk
tallo	batang
newton	newton
dell	dell
cartago	carthage
wikipedistas	wikipedians
expuesto	terekspos
expuesto	terpapar
expuesto	terkena
expuesto	diungkap
ion	ion
aparatos	aparat
aparatos	perangkat
aparatos	gadget
aparatos	peralatan
leon	leon
greg	greg
arañas	laba
arañas	spider
bush	semak
bush	bush
automática	automatic
automática	otomatis
consciente	menyadari
consciente	sadar
consciente	sadar
lola	lola
honores	kehormatan
monje	biksu
monje	rahib
monje	biarawan
monje	monk
monje	biksu
monje	biarawan
aragonés	aragon
esencialmente	dasarnya
fragmento	fragmen
fragmento	snippet
químicas	kimiawi
químicas	kimia
anales	annals
claustro	cloister
claustro	fani
claustro	fakultas
choque	kaget
choque	terkejut
choque	shock
choque	mengejutkan
choque	tabrakan
choque	crash
choque	kecelakaan
choque	bentrokan
choque	clash
azerbaiyán	azerbaijan
azerbaiyán	azerbaijan
comprender	pahamilah
comprender	mengerti
comprender	memahami
comprender	pahami
comprender	mengertilah
comprender	pengertian
comprender	pemahaman
comprender	memahami
exacta	akurat
exacta	persis
legislativa	legislatif
romeo	romeo
auditorio	pemirsa
auditorio	penonton
auditorio	auditorium
transmitido	disiarkan
transmitido	ditransmisikan
transmitido	dipancarkan
transmitido	ditularkan
eslovaquia	slowakia
afectado	terpengaruh
afectado	terdampak
círculos	circle
círculos	lingkaran
entierro	pemakaman
entierro	penguburan
entierro	pemakaman
entierro	mengubur
entierro	kuburkan
trayecto	journey
interesado	tertarik
interesado	berminat
interesado	minat
claves	keys
claves	kunci
claves	key
claves	kunci
claves	key
fragata	frigate
narrador	narator
narrador	pendongeng
unir	bergabung
unir	gabung
unir	bergabunglah
unir	join
unir	menyatukan
unir	bersatu
intermedio	istirahatnya
intermedio	perantara
intermedio	menengah
luke	luke
luke	lukas
hermann	hermann
mayormente	kebanyakan
colocado	ditempatkan
colocado	diposisikan
remo	mendayung
remo	dayung
remo	kayuh
remo	remo
computadoras	komputer
computadoras	komputer
computadoras	computer
sacrificio	kurban
sacrificio	pengorbanan
sacrificio	pengorbanannya
intenciones	niat
intenciones	niat
intenciones	intent
promesa	berjanji
promesa	promise
promesa	janji
promesa	berjanjilah
promesa	ikrar
promesa	ikrarkan
promesa	berikrar
ejecutados	eksekusi
ejecutados	dieksekusi
consultar	konsultasi
consultar	berkonsultasi
consultar	konsultan
consultar	pertanyaan
consultar	kueri
cilindros	silinder
cilindros	cylinder
cilindros	silinder
walt	walt
belgrado	belgrade
raro	langka
raro	rare
raro	jarang
raro	aneh
raro	weird
baterías	battery
baterías	baterai
baterías	baterai
abuso	pelecehan
abuso	penyalahgunaan
receptores	penerima
estrategias	strategi
intersección	perempatan
intersección	perpotongan
intersección	persimpangan
intersección	berpotongan
intersección	perpotongan
aumentando	meningkat
aumentando	meningkatkan
conquistar	taklukkan
conquistar	menaklukkan
conquistar	menaklukkan
stuart	stuart
superficies	permukaan
fila	dayung
fila	baris
fila	row
natalia	natasha
natalia	natalie
natalia	natalya
natalia	natalia
toque	touch
toque	sentuhan
toque	sentuh
deseos	keinginan
deseos	hasrat
brujas	damar
brujas	bruges
continentales	continental
continentales	kontinental
continentales	benua
match	korek
match	cocok
match	pertandingan
match	kecocokan
transmite	mentransmisikan
incorporado	dimasukkan
incorporado	incorporated
fiables	diandalkan
enfermo	ill
enfermo	sakit
enfermo	sick
polar	kutub
polar	polar
avanzado	maju
avanzado	canggih
avanzado	lanjutan
llamas	nyala
llamas	flame
llamas	api
ortografía	mengeja
ortografía	ejaan
ortografía	eja
ortografía	spelling
away	jauh
away	away
away	menjauh
caro	caro
caro	mahalnya
caro	mahal
esgrima	anggar
equipamiento	perlengkapan
equipamiento	peralatan
óptica	optis
óptica	optik
óptica	optik
ingredientes	bahan
párrafo	paragraf
pizarro	pizarro
reconocen	kenali
reconocen	mengenali
mago	penyihir
mago	wizard
mago	penyihir
mago	pesulap
mago	penyihir
mago	mage
sustituir	pengganti
sustituir	gantikan
sustituir	replace
sustituir	ganti
sustituir	mengganti
sustituir	menggantikan
sustituir	gantikan
montero	montero
eliminados	terhapus
eliminados	dihapus
eliminados	dieliminasi
eliminados	dihilangkan
eliminados	dibuang
eliminados	dihapus
eliminados	dibuang
extraña	asing
extraña	stranger
extraña	meleset
extraña	aneh
extraña	strange
wolfgang	wolfgang
amarillas	kuning
rompió	pecah
rompió	bangkrut
asiento	kursi
asiento	seat
presos	tahanan
presos	narapidana
presos	narapidana
vice	vice
slam	slam
slam	banting
computación	komputasi
computación	komputasi
computación	komputer
quebrada	pecah
quebrada	bangkrut
citada	dikutip
alerta	siaga
alerta	peringatan
alerta	waspada
alerta	alert
levantar	angkat
levantar	lift
naturalista	naturalis
jujuy	jujuy
osorio	osorio
hawái	hawaii
wide	lebar
wide	wide
wide	luas
amenazada	mengancam
amenazada	terancam
amenazada	diancam
superado	melampaui
superado	dilampaui
superado	terlampaui
submarinos	subs
submarinos	selam
susan	susan
turca	turk
turca	turki
turca	turkish
bailarina	balerina
bailarina	dancer
bailarina	penari
preparado	persiapan
preparado	dipersiapkan
preparado	disiapkan
expresó	diungkapkan
borja	borgia
borja	borja
nido	sarang
nido	nest
reemplazar	replace
reemplazar	ganti
reemplazar	mengganti
reemplazar	menggantikan
reemplazar	gantikan
aprendió	dipelajari
fibra	serat
fibra	serat
fibra	fiber
colaboraciones	kolaborasi
colaboraciones	kemitraan
defendió	dipertahankan
secuencias	rekaman
secuencias	cuplikan
secuencias	urutan
donación	donasi
donación	sumbangan
donación	sumbang
donación	donasi
donación	menyumbang
donación	sumbangkan
acontecimiento	peristiwa
acontecimiento	acara
acompaña	menemani
olga	olga
cohete	rocket
cohete	roket
vancouver	vancouver
pontevedra	pontevedra
horizonte	cakrawala
horizonte	ufuk
horizonte	horizon
correos	surel
correos	email
prevenir	mencegah
prevenir	mencegah
prevenir	cegah
boliviano	bolivia
cano	cano
romántica	romantis
romántica	romantic
designar	mencalonkan
designar	mencalonkan
derrotados	mengalahkan
derrotados	terkalahkan
derrotados	kalah
derrotados	dikalahkan
compartido	berbagi
compartido	dibagikan
compartido	shared
fan	fan
fan	penggemar
fan	kipas
cineasta	filmmaker
malas	buruk
malas	jahat
malas	bad
afirmación	penegasan
afirmación	afirmasi
afirmación	pernyataan
sombras	shadows
sombras	bayangan
sombras	bayang
sombras	membayangi
sombras	bayangan
sombras	shadow
sombras	bayang
sombras	nuansa
sombras	shades
violeta	purple
violeta	ungu
violeta	violet
itunes	itunes
poblada	dihuni
ácidos	asam
ácidos	acid
nicholas	nicholas
inflorescencia	inflorescence
osvaldo	oswaldo
osvaldo	osvaldo
guayana	guyana
guayana	guyana
inspirada	terinspirasi
inspirada	menginspirasi
inspirada	inspirasi
inspirada	inspired
respaldo	cadangan
respaldo	backup
respaldo	dukungan
respaldo	endorsement
retirar	withdraw
ejes	axles
ejes	poros
ejes	sumbu
ejes	axle
ejes	sumbu
ejes	axis
militantes	militan
militantes	militan
militantes	aktivis
oculta	tersembunyi
oculta	bathin
oculta	disembunyikan
oculta	hidden
oculta	menyembunyikan
oculta	sembunyikan
oculta	sembunyi
oculta	menyembunyikan
alejandra	alexandra
alejandra	alejandra
helicóptero	helikopter
helicóptero	helicopter
helicóptero	helikopter
helicóptero	chopper
circunscripción	konstituensi
aplicada	terapan
aplicada	diaplikasikan
aplicada	diterapkan
sindicatos	perserikatan
testimonios	testimonial
testimonios	testimoni
testimonios	kesaksian
testimonios	testimoni
testimonios	kesaksian
keith	keith
liberar	memerdekakan
femeninos	feminim
femeninos	feminin
femeninos	kewanitaan
determina	menentukan
determina	menentukan
incidentes	insiden
incidentes	kejadian
incidentes	insiden
