gorovje	bergen
nagrajen	beloond
nagrajen	beloont
spusti	drop
connecticut	connecticut
vodilna	leidende
vodilna	leidend
vodilna	leidend
vodilna	leidende
stanford	stanford
pakistan	pakistan
srečen	vrolijk
srečen	happy
srečen	blij
srečen	tevreden
srečen	gelukkig
pionir	pioneer
pionir	pionier
pionir	pioniers
demo	demo
zdravko	zdravko
württemberg	württemberg
natančen	precieze
natančen	nauwkeurig
natančen	nauwkeurigheid
natančen	accuraat
natančen	accurate
natančen	exacte
natančen	exact
natančen	precies
emma	emma
balet	ballet
aparat	apparaat
warwick	warwick
mrk	verduistering
mrk	zonsverduistering
mrk	eclips
ekonomija	econ
ekonomija	economie
ekonomija	economie
trpljenje	leed
trpljenje	lijdende
trpljenje	lijden
bello	bello
bello	bella
bogastva	rijkdommen
bogastva	rijkdom
bogastva	rijkdom
gole	bare
gole	blote
zvest	trouwe
zvest	loyaal
zvest	trouw
zvest	loyale
zvest	trouwe
zvest	trouw
zvest	getrouwe
predelavo	verwerking
predelavo	verwerken
lažji	eenvoudiger
lažji	gemakkelijker
lažji	makkelijker
lažji	lichter
lažji	aansteker
lažji	lichtere
ano	ana
povprečje	gemiddelde
povprečje	gemiddeld
gozdarstvo	bosbouw
depresija	depressie
depresija	depressies
sosednji	naburige
sosednji	aangrenzende
hud	hud
hud	stoer
hud	bikkel
hud	stoere
vpogled	inzicht
vpogled	opzoeken
vpogled	inzichten
vpogled	statistieken
športnik	sporter
športnik	atlete
športnik	atleet
športnik	sportman
kirurg	chirurg
škrat	kabouter
škrat	elfen
škrat	elf
škrat	elfje
škrat	dwerg
aluminijev	aluminium
perspektive	perspectieven
perspektive	vooruitzichten
perspektive	perspectief
mlajša	younger
mlajša	jonger
mlajša	jongere
rjava	brown
rjava	bruine
rjava	bruin
prazno	leeg
prazno	leegmaken
prazno	lege
prazno	ledig
prazno	leeg
prazno	blanco
poklicna	professioneel
poklicna	professionele
poklicna	professional
poklicna	beroepsmatige
pomočnika	assistente
pomočnika	assistent
pomočnika	hulpje
pomočnika	helper
protein	eiwitten
protein	proteïnen
protein	eiwit
protein	proteïne
pričakovali	verwachtte
pričakovali	verwacht
pričakovali	verwachte
pričakovali	verwacht
pričakovali	verwachten
galaksija	sterrenstelsel
galaksija	melkwegstelsel
galaksija	galaxy
galaksija	melkweg
brooklyn	brooklyn
temple	tempel
večno	forever
večno	eeuwige
večno	eeuwig
španci	spanjaarden
osmi	achtste
tokov	stromen
tokov	stroomt
tokov	stromen
lokomotiva	locomotief
sonda	sonde
maša	masha
maša	masa
kuge	plaag
kuge	pest
jakost	sterkte
jakost	kracht
jakost	potentie
pennetta	pennetta
vaščani	dorpelingen
vaščani	dorpsbewoners
sončna	zonnige
sončna	sunny
sončna	zonnig
sončna	zonne
sončna	solar
nositi	carry
nositi	draag
nositi	wear
nositi	dragen
nositi	slijtage
jezuit	jezuïet
znamka	brand
znamka	merk
znamka	brandmerk
newcombe	newcombe
moss	mos
moss	moss
rodov	geslachten
štajerska	stiermarken
naravnost	rechtdoor
naravnost	straight
naravnost	recht
informacija	gegevens
informacija	informatie
tedne	weeks
tedne	weken
sektor	sector
izdeluje	maakt
oklahoma	oklahoma
listine	handvest
listine	documenten
dušik	stikstof
prostorsko	ruimtelijk
walsh	walsh
mio	mia
mio	mio
sliši	hoort
poimenovanja	denominaties
poimenovanja	coupures
črpalka	pomp
črpalka	pompen
torpedo	torpedo
luther	luther
lane	laan
lane	lane
fifa	fifa
zaseda	hinderlaag
zaseda	surveillance
preliv	helling
preliv	verloop
preliv	gradiënt
preliv	glazuur
preliv	aankleden
preliv	dressing
vladavina	regeren
vladavina	heerschappij
vladavina	regeerperiode
bolgari	bulgaren
steffi	steffi
luke	luke
kritični	kritiek
kritični	kritische
kritični	kritisch
planeti	planeten
dušika	stikstof
združi	samenvoeging
združi	samenvoegen
združi	combineren
združi	verenigen
združi	verenigt
patton	patton
neposredne	rechtstreeks
neposredne	directe
neposredne	direct
neposredne	rechtstreekse
prejemnik	begunstigde
prejemnik	geadresseerde
prejemnik	ontvanger
prejemnik	ontvanger
obiskovalci	bezoekers
pink	pink
pink	roze
čaščenje	aanbidding
čaščenje	aanbidding
čaščenje	verering
čaščenje	aanbidden
omejeni	limited
omejeni	beperkt
omejeni	gelimiteerd
omejeni	beperkte
omejeni	beperkt
omejeni	beperkte
fletcher	fletcher
peters	peters
filippo	filippo
pojasnilo	verklaring
pojasnilo	uitleg
pojasnilo	toelichting
pojasnilo	verduidelijking
porušili	afgebroken
porušili	gesloopt
ivančna	ivančna
ionizacijski	ionisatie
tisočletje	millennia
tisočletje	millennium
plače	salaris
plače	loon
plače	salarissen
plače	lonen
plače	lonen
plače	salarissen
ocenjevanje	evaluatie
ocenjevanje	beoordeling
ocenjevanje	evaluatie
ocenjevanje	beoordeling
rex	rex
vladislav	vladislav
božo	bozo
komunistov	communisten
nadvojvoda	aartshertog
astronomijo	astronomie
sergejevič	sergejevitsj
ciper	cyprus
roza	pink
roza	roze
diplomo	diploma
češkoslovaško	tsjechoslowakije
dodaten	extra
konzul	consul
sten	muren
sten	wanden
kapital	kapitaal
kapital	hoofdstad
kapital	hoofdletter
eksplozija	explosie
eksplozija	ontploffing
vrtenje	rotatie
banja	banja
ugotovitev	bevindingen
ugotovitev	conclusie
glukoze	glucose
naročila	bevolen
naročila	geordend
naročila	besteld
naročila	bestelde
naročila	contracten
naročila	orde
naročila	bestellen
naročila	order
naročila	bestelling
naročila	bevelen
naročila	bestellingen
naročila	orders
objavljene	gepubliceerd
objavljene	verschenen
objavljene	gepubliceerde
objavljene	uitgegeven
kleti	kelders
kleti	souterrain
kleti	kelder
oblikovana	geformuleerd
oblikovana	geformuleerde
podružnice	bijkantoren
podružnice	takken
podružnice	branches
podružnice	filialen
karta	ticket
karta	kaartje
poslanstvo	missie
poslanstvo	mission
amon	amon
lendava	lendava
venera	venus
budizem	boeddhisme
kršitev	schending
kršitev	inbreuk
kršitev	overtreding
kršitev	inbreuken
kršitev	schending
kršitev	overtreding
kršitev	overtredingen
kršitev	inbreuken
kršitev	bres
kršitev	schending
kršitev	inbreuk
poskuse	experimenten
poskuse	proefnemingen
poskuse	proeven
ilija	ilya
ilija	ilija
sloni	olifanten
sloni	olifant
pečat	verzegelen
pečat	zegel
pečat	zeehond
pečat	verzegeling
matra	matra
irsko	ierse
irsko	ieren
irsko	iers
irsko	ierland
spodbujanje	aanmoediging
spodbujanje	aanmoedigen
spodbujanje	stimulering
spodbujanje	stimulatie
spodbujanje	promoten
spodbujanje	bevorderen
spodbujanje	bevordering
spodbujanje	promoten
spodbujanje	promotie
spodbujanje	promoten
spodbujanje	promoot
spodbujanje	bevorderen
kmeta	boer
kmeta	landbouwer
pripadala	behoord
pripadala	behoorde
basist	bassist
pivo	bieren
pivo	biertje
pivo	bier
pivo	biertjes
pivo	bieren
pivo	beers
