দৌড়বাজী	kergejõustik
রেনে	rene
স্টুডেন্ট	tudeng
স্টুডেন্ট	õpilane
স্টুডেন্ট	üliõpilane
নব্বই	üheksakümmend
কার্বি	kirby
মোম	vaha
যুদ্ধক্ষেত্র	lahinguväljal
যুদ্ধক্ষেত্র	lõhkepea
যথেষ্ঠ	soo
স্কেটিং	uisutama
ইচ্ছাকৃতভাবে	tahtlikult
ইচ্ছাকৃতভাবে	meelega
ইচ্ছাকৃতভাবে	tahtlikult
তৃষ্ণা	janu
জোশ	joshi
জোশ	josh
ভগ্নাংশ	suund
ভগ্নাংশ	hõljuvad
ভগ্নাংশ	murdosa
ভগ্নাংশ	fraktsioon
সেক্রেটারী	sekretär
নিরক্ষীয়	ekvatoriaal
আদা	ingver
আদা	ginger
হিউ	toon
হিউ	tooni
হিউ	hugh
সিগমা	sigma
লাও	paigutus
অবিশ্বাস্য	uskumatu
তুষারপাত	lumesadu
তুষারপাত	lumi
আতঙ্ক	paanika
মোরগ	kukk
মোরগ	riist
ইলা	ila
ওয়েলশ	walesi
বালু	liiv
বালু	liiva
নৈপুণ্য	käsitöö
কিল	kiel
মাইলস	miles
মাইলস	miili
জীবনকাল	eluaegne
জীবনকাল	eluaeg
কার্পেট	vaipa
কার্পেট	vaip
বিচ্ছিন্নতাবাদী	äärmuslaste
ব্রিস্টল	bristol
এগার	üksteist
সার্কুলার	ringkirja
আরউইন	irwin
রেস্তোরাঁ	restoranid
রেস্তোরাঁ	restoran
ইউনূস	yunus
দেউলিয়া	pankrotis
দেউলিয়া	pankrotti
দেউলিয়া	pankrot
রমন	raman
আকর্ষনীয়	atraktiivne
অচল	katkised
অচল	katki
অচল	murtud
অচল	murdunud
জুলি	julie
ঘাড়ে	kaela
ঘাড়ে	kael
টোগো	togo
পর্যায়ক্রমিক	perioodiline
পর্যায়ক্রমিক	perioodilised
রুনি	rooney
থেরাপি	teraapia
থেরাপি	ravi
থেরাপি	ravile
সৌন্দর্য্য	ilu
সৌন্দর্য্য	iludus
সৌন্দর্য্য	kaunitar
আইটেম	kirje
আইটেম	element
আইটেম	kirjed
আইটেম	elemendid
আইটেম	esemed
পাইপ	toru
পাইপ	piip
পিক	tipp
ক্ষমতাশালী	võimas
দাহ্য	põlevate
পরিমার্জন	läbivaatamine
থর	thor
রুস্তম	rustam
নই	uudsete
উইলার্ড	willard
বোতল	pudelid
বোতল	pudel
বোতল	pudelis
বিষয়গুলি	teemad
বিষয়গুলি	küsimused
ডুব	sukelduda
ডেনভার	denver
কেইন	kane
বিনিয়োগকারী	investorid
কার্ডিফ	cardiff
প্রুশিয়া	preisimaa
স্ক্যান	skannerid
ফেসবুকের	facebooki
ফেসবুকের	facebook
মির	mir
পালনকর্তা	issand
ব্লেড	blade
ব্লেড	tera
ব্রুনো	bruno
ম্যাগনেসিয়াম	volfram
ম্যাগনেসিয়াম	magneesiumi
ম্যাগনেসিয়াম	magneesium
কসাই	lihunik
মোহামেদ	mohamed
বেতনের	palk
বেতনের	töötasu
লোভ	ahnus
নাইজার	niger
নাইজার	nigeri
নেভিগেশন	navigatsiooni
আখড়া	fanaatikud
ত্রুটিপূর্ণ	korrumpeerunud
স্পন্সর	sponsor
নিযুক্তি	kihlus
সকালের	hommik
খামারে	põllumajandusettevõtete
লাজুক	häbelik
নাকের	nina
নাকের	ninna
হিথ	heath
খালা	tädi
খালা	tädi
যৌনাঙ্গ	genitaalid
গুয়াতেমালার	guatemala
জাগরণের	ärkamine
কর্মচারীরা	töötajad
অনুকূলে	teene
ওয়ার্কশপ	töökoda
ওয়ার্কশপ	seminar
লাক্স	lux
হপ	hop
সর্পিল	spiraal
সুসান	susan
স্টার্স	staarid
স্টার্স	tähed
স্টার্স	tähtede
তাকিয়ে	vaadates
বিলম্বিত	hilinenud
রিমিক্স	remix
তালেবান	talibani
তালেবান	taliban
অহংকার	põlguse
অহংকার	uhkus
স্যামি	sammy
বাট	tagumik
কাই	chi
কাই	kai
কাই	cai
সুনিশ্চিত	absoluutne
সুনিশ্চিত	absoluutse
নান্দনিক	esteetiline
কোলন	käärsoole
ছত্রভঙ্গ	laiali
ট্রেক	treki
আইসিসির	icc
নেশন	rahvus
বর্ষণ	dušš
তিউনিসিয়ার	tuneesia
চরমপন্থী	äärmuslased
জাগরণ	ärkamine
গনোম	gnome
আকিরা	akira
উলম্ব	vertikaalne
উইন্ডো	aknad
উইন্ডো	windows
উইন্ডো	aken
উইন্ডো	akna
মশার	sääsk
রুমে	tuppa
রুমে	ruum
রুমে	tuba
নিও	neo
গাল	põsed
দুষ্ট	üleannetu
দুষ্ট	üleannetu
কাঠঠোকরা	rähn
সহিংস	vägivaldsed
সহিংস	vägivaldne
ন্যু	nou
দুগ্ধ	dairy
বার্মিজ	birma
পলাতক	tagaotsitav
পলাতক	põgenik
বংশধরদের	järglased
অস্ত্রোপচার	kirurgia
অস্ত্রোপচার	lõikus
অস্ত্রোপচার	operatsioon
অস্ত্রোপচার	kirurgilise
স্কলারশিপ	stipendiumi
স্কলারশিপ	stipendium
মর্টার	miinipilduja
চাদ	tšaadi
চাদ	chad
গ্রানাডা	grenada
গ্রানাডা	granada
তিক্ত	mõru
তিক্ত	kibestunud
তিক্ত	kibe
ডায়েরি	päevik
সোনি	sonny
পিক্সেল	pikslite
ব্যবহারযোগ্য	ligipääsetav
ব্যবহারযোগ্য	juurdepääsetav
ব্যবহারযোগ্য	kättesaadav
ভিয়েতনামী	vietnami
গর্ভধারণ	rasedus
হোল্ডার	omanikud
হোল্ডার	valdaja
হোল্ডার	omanik
কক্স	cox
তরবারি	mõõk
কার্ট	vanker
কার্ট	käru
পরিপূরক	täiendav
রিকা	rica
উদ্বৃত্ত	ülejääk
বাচ্চারা	lapsed
পপি	poppy
পপি	mooni
সঙ্কট	kriis
ফুজি	fuji
ললিতা	lolita
ট্রাফোর্ড	trafford
প্রফেশনাল	professionaal
প্রফেশনাল	professionaalne
প্রফেশনাল	ametialane
সেমিস্টার	poolaasta
সেমিস্টার	semestri
