레니	லென்னி
조회수	வெற்றிகள்
조회수	பார்வைகள்
밸런타인	வேலண்டைன்
집단살해	இனப்படுகொலை
거주자	குடியேறியவர்கள்
허큘리스	ஹெர்குலஸ்
녹조류	பாசி
타밀어	தமிழ்
길러	வளர்த்தது
재킷	ஜாக்கெட்
좌절	ஆத்திரமடைந்த
유황	கந்தக
바누아투	வனுவாட்டு
사용함	பயன்படுத்தப்பட்டது
사용함	பயன்படுத்திய
사용함	பயன்படுத்தியது
로리타	lolita
피쉬	மீன்
피쉬	மீன்கள்
아몬드	பாதாம்
아몬드	பாதாம்
바뀌기	மாற்றும்
바뀌기	மாறுகிறது
바뀌기	மாற்று
바뀌기	மாற்றம்
마일즈	மைல்கள்
마일즈	மைல்
콩코드	கான்கோர்டு
히카르두	ரிக்கார்டோ
페르세폴리스	persepolis
초현실주의	igor
노화	ageing
디저트	இனிப்புகள்
디저트	இனிப்புகள்
디저트	இனிப்பு
발생합니다	நிகழும்
수사학	சொல்லாட்சி
시연	ஆர்ப்பாட்டம்
부엌	சமையலறை
팔라비	pahlavi
런닝	இயங்கும்
런닝	ஓட்டம்
런닝	ஓடும்
런닝	இயங்குகிறது
런닝	ரன்னிங்
런닝	ஓட்டம்
셸리	ஷெல்லி
셸리	ஷெல்லி
비키	விக்கி
뷰어	காட்டி
표정	பார்
표정	தோற்றம்
입증	நிரூபிக்கப்பட்ட
모뎀	மோடம்
모뎀	மோடம்கள்
보조금	மானியங்கள்
세실리아	சிசிலியா
미네랄	கனிமங்கள்
미네랄	தாதுக்கள்
미네랄	தாது
스페인인	ஸ்பெயின்
플레밍	ஃபிளெமிங்
홍차	தேநீர்
홍차	தேயிலை
홍차	டீ
빨라	வேகம்
빨라	விரைவாக
빨라	வேகமாக
빨라	விரைவான
빨라	வேகமானது
빨라	விரைவானது
쿠마	குமார்
해치	பிறப்பு
키키	விசைகள்
키키	சாவிகள்
키키	கிகி
키키	சாவி
키키	விசை
키키	சாவியை
키키	துருப்பு
연결하기	இணை
연결하기	இணைக்கவும்
연결하기	இணைக்க
서머싯	சமர்செட்
레거시	மரபை
레거시	மரபு
러쉬	ரஷ்
러쉬	அவசரத்தில்
비닐	வினைல்
비닐	பிளாஸ்டிக்
대마초	கஞ்சா
멀린	மெர்லின்
신랑	மணமகன்
신랑	மணமகன்
유로로	யூரோ
세관	சுங்க
당나귀	கழுதை
콥트	கோப்திய
스타크	ஸ்டார்க்
농담	ஜோக்
농담	ஜோக்ஸ்
다람쥐	அணில்
특이점	singularity
호프먼	hoffmann
운전사	ஓட்டுநர்கள்
운전사	இயக்கிகள்
운전사	டிரைவர்கள்
운전사	டிரைவர்
운전사	இயக்கி
예고편	டிரெய்லர்
예고편	முன்னோட்டங்கள்
젤리	ஜெல்லி
곤살로	gonzalo
프라다	பிராடா
루비듐	ருபீடியம்
살아남기	பிழைக்க
수확	அறுவடை
더미	போலி
더미	ஒப்பு
트랜스포트	trans
리츠	ரிட்ஸ்
싱가폴	சிங்கப்பூர்
항소	முறையீடு
항소	மேல்முறையீடு
동물학	விலங்கு
복부	வயிற்று
복부	வயிறு
늑대인간	werewolf
차이와	வேறுபாடுகள்
엄지	பெருவிரல்
크레딧	credits
크레딧	கிரெடிட்
크레딧	கடன்
다윗	டேவிட்
세분화	வரையறு
응시	ஆபிரிக்க
파이프라인	பைப்லைன்
티탄	டைட்டன்
식민지화	குடியேற்றவாத
노스럽	northrop
두껍게	தடித்த
두껍게	தடிமனான
두껍게	அழுத்தமான
나이오븀	நையோபியம்
테크네튬	டெக்னீசியம்
샴푸	ஷாம்பு
바로가기	குறுக்குவழிகள்
바로가기	குறுக்குவழி
주사위	டைஸ்
브레이킹	breaking
브레이킹	உடைப்பு
전보	தந்தி
반역죄	துரோகம்
몽골어	மங்கோலிய
플루오린	புளோரின்
폴로늄	பொலோனியம்
안티모니	ஆண்டிமனி
