and	un
ask	lūgt
ask	jautā
fighting	cīņa
fighting	cīnās
jackson	jackson
widely	plaši
rose	roze
operating	darbojas
treatment	terapija
treatment	ārstēšana
treatment	apstrāde
andrew	endrū
trial	izmēģinājums
trial	pētījums
trial	prāva
trial	pētījumā
expanded	vilktas
expanded	paplašināta
expanded	paplašinātas
expanded	paplašināts
daniel	daniels
info	info
sciences	zinātnes
fame	slava
fame	slavas
fame	fame
everything	viss
everything	visam
everything	visu
avenue	avenue
travel	braucieni
travel	ceļošana
travel	ceļot
travel	ceļojumi
scale	mērogs
scale	skala
break	pārrāvums
break	lauzt
break	pārtraukums
break	salauzt
oregon	oregona
housing	mājoklis
housing	mājokļi
produce	ražot
produce	produkcija
capacity	jauda
capacity	ietilpība
capacity	spēja
capacity	kapacitāte
#efefef	#efefef
fictional	izdomāts
exchange	apmaiņa
exchange	apmaiņas
exchange	birža
actions	darbības
cited	minēts
typically	tipiski
typically	parasti
settlement	norēķini
settlement	norēķinu
agreement	vienošanās
agreement	nolīgumu
agreement	nolīgums
translation	tulkošana
translation	tulkojums
males	tēviņi
males	vīrieši
kansas	kanzasa
managed	pārvaldīts
managed	izdevās
managed	izdevies
bring	atved
charge	uzlādes
fails	neizdodas
dedicated	veltīta
dedicated	veltīts
nearby	netālu
nearby	tuvumā
residents	rezidenti
residents	iedzīvotāji
piece	gabaliņš
piece	gabals
piece	gab
growth	pieaugums
growth	augšana
growth	izaugsme
trust	uzticēties
trust	uzticēšanās
trust	uzticība
trust	uzticību
trust	ticu
applied	piemēro
applied	piemērotās
drums	bungas
drums	spoles
issued	izdota
issued	izsniegta
issued	izdots
issued	izsniegts
murder	slepkavības
murder	slepkavība
murder	slepkavību
normal	normāla
normal	normāli
normal	normāls
twenty	twenty
twenty	divdesmit
avoid	izvairīties
avoid	nepieļaut
tony	tony
tony	tonijs
norwegian	norvēģu
norwegian	norvēģijas
criteria	kritēriji
context	konteksts
context	konteksta
suggested	ieteikts
suggested	ierosināja
suggested	ieteica
suggested	ierosināts
revolution	revolūcija
fully	pilnībā
fully	pilnīgi
wars	kariem
wars	kari
leaves	lapas
advanced	paplašināti
advanced	progresējošu
distribution	sadalījums
distribution	sadale
distribution	izplatība
distribution	izplatīšanās
distribution	sadales
distribution	izplatīšana
medicine	zāles
medicine	medicīna
garden	dārzs
garden	dārziņš
garden	dārzā
garden	dārza
garden	dārzam
reach	reach
reach	aizsniegt
turkey	turciju
turkey	turcijā
turkey	tītara
turkey	turcija
turkey	turcijas
females	mātītes
publications	publikācijas
impact	trieciens
impact	ietekme
households	mājsaimniecību
households	mājsaimniecībām
households	mājsaimniecības
survey	apskate
survey	aptauja
height	augumu
height	augums
height	augstums
morning	rīts
honor	godība
honor	gods
deep	dziļa
deep	dziļā
deep	dziļi
deep	deep
deep	dziļš
argument	arguments
publication	publicēšana
publication	publikācija
publication	publicēšanas
arthur	arturs
arthur	artūrs
elizabeth	elizabete
elizabeth	elizabetes
worth	vērta
worth	vērts
colorado	kolorado
median	mediāna
median	vidējais
median	vidēji
maryland	maryland
falls	nokrīt
falls	krīt
falls	iekrīt
zone	zona
solo	solo
learning	mācīšanās
pay	maksāt
pay	atalgojums
pay	maksā
pay	samaksa
pay	samaksāt
choice	izvēle
flag	karogs
flag	karoga
engineer	inženieris
cars	automašīnas
cars	cars
cars	automobiļi
cars	automašīnām
farm	saimniecība
farm	audzētava
farm	ferma
farm	saimniecības
wilson	vilsons
acquired	iegādāti
acquired	iegūta
acquired	iegūto
acquired	iegūtā
acquired	ieguva
acquired	ieguvis
secret	secret
secret	slepeni
secret	slepens
secret	noslēpums
poet	dzejnieks
build	būvēt
build	veidot
remain	paliek
orchestra	orķestris
orchestra	orķestra
versions	versijas
versions	redakcijas
fixed	fiksēti
fixed	fiksēta
fixed	noteikta
fixed	fiksēts
efforts	pūles
efforts	centieni
efforts	pūliņi
equipment	iekārtas
equipment	inventārs
equipment	aprīkojums
equipment	iekārta
ray	stars
ray	ray
yellow	dzeltens
yellow	dzeltena
yellow	dzeltenas
yellow	dzeltenais
guard	aizsargs
guard	sargs
pressure	spiediena
pressure	spiediens
grant	piešķirt
prison	cietuma
prison	cietums
freedom	brīvība
freedom	brīvības
norway	norvēģija
store	veikals
store	glabāt
store	uzglabāt
taylor	teilors
quarter	ceturksnis
quarter	ceturtdaļa
designated	norādītā
independence	neatkarība
platform	perona
platform	platforma
platform	platformai
rome	romas
rome	romā
rome	roma
teacher	pasniedzēja
teacher	skolotāju
teacher	skolotāja
teacher	skolotājs
copy	kopēt
copy	kopiju
copy	eksemplārs
copy	kopija
effort	pūles
effort	piepūle
effort	centieni
effort	pūliņi
effort	piepūles
nuclear	kodolenerģijas
nuclear	kodolenerģija
pictures	attēli
pictures	bildes
models	modeļus
models	modeļi
models	paraugi
models	modeles
sep	sep
everyone	ikviens
everyone	visi
everyone	visiem
easily	viegli
description	apraksts
agreed	piekritu
agreed	piekrita
institutions	institūcijas
institutions	iestādes
covers	sedz
covers	vāki
covers	ietilpst
covers	aptver
target	mērķa
target	target
target	mērķis
stack	steks
rationale	pamatojums
stat	stat
combined	kombinēts
combined	kombinētā
combined	apvienots
combined	kombinēt
bronze	bronzas
bronze	bronza
hosted	uzņēma
hosted	rīkoja
programming	plānošana
programming	plānošanas
programming	programmēšanas
sri	šrī
railroad	dzelzceļš
unique	unikāla
unique	unikālais
unique	unikāli
unique	unikāls
defined	definēta
defined	definētas
defined	definē
defined	definēti
defined	definēts
ocean	okeānā
ocean	okeāns
ocean	okeāna
cell	šūna
missouri	misūri
concert	koncerts
concert	koncertā
improve	uzlabo
improve	uzlabot
improve	uzlabotu
biography	biogrāfijā
loan	kredīts
loan	aizņēmums
loan	aizdevums
contact	saskarē
contact	sazināties
contact	kontakti
contact	kontakts
holy	svēto
holy	svētais
tennessee	tenesī
sub	apakš
safety	drošums
safety	drošība
safety	drošības
competed	konkurēja
stephen	stīvens
policies	politika
policies	politikas
painting	gleznu
painting	krāsošana
painting	zīmēšana
painting	glezna
price	cenas
price	cena
price	cenu
mexican	meksikas
leadership	vadība
flying	peld
flying	lido
message	ziņojums
message	vēstule
message	ziņu
message	vēstījums
message	ziņa
serious	nopietna
serious	nopietni
serious	nopietns
serious	nopietnas
headquarters	mītnes
headquarters	mītne
officially	oficiāli
cemetery	kapi
memory	atmiņa
memory	atmiņas
fields	lauki
fields	laukiem
fields	laukus
generation	paaudze
generation	paaudzes
join	pievienojies
join	pievienoties
join	pievienojos
copies	kopijas
copies	eksemplāri
fox	fox
fox	lapsa
continues	turpinās
continues	turpina
representative	pārstāvis
destroyed	iznīcināta
destroyed	iznīcināts
destroyed	iznīcināti
destroyed	iznīcina
feet	kājas
feet	pēdas
feet	kājām
guy	puisis
guy	čalis
philippines	filipīnas
revealed	atklājās
revealed	atklāja
organized	organizēti
organized	organizēta
organized	organizēts
serves	kalpo
conservative	konservatīvā
conservative	konservatīvo
share	akcija
share	dalies
share	dalīties
share	share
share	daļa
maria	marija
disease	slimības
disease	slimība
sections	iedaļas
sections	nodaļas
sections	sekcijas
sections	sadaļas
philosophy	filozofijas
philosophy	filozofija
ways	veidi
arrived	ieradušies
arrived	ieradies
divided	dalīts
divided	dala
floor	stāvs
floor	grīdas
floor	grīda
latd	latd
longd	longd
labour	darbaspēks
logo	logo
logo	logotips
meets	sanāk
yard	pagalms
yard	būvētava
yard	būvētavas
cancer	vēzis
offer	piedāvājums
tax	nodokļi
tax	nodoklis
expected	paredzamais
expected	gaidīts
expected	paredzamo
traffic	satiksme
traffic	satiksmes
concerns	bažas
guest	viesis
guest	viesu
jews	ebreji
jews	ebrejiem
formation	veidošanos
formation	dibināšana
formation	veidošanās
formation	dibināšanas
formation	veidošana
meant	nozīmēja
economy	ekonomika
storm	vētra
storm	vētras
storm	vētru
storm	negaiss
mile	jūdžu
protected	aizsargāta
protected	aizsargāti
protected	aizsargāts
protected	aizsargātas
bowl	trauks
bowl	bļodu
letters	vēstulēs
letters	vēstules
letters	burti
providing	nodrošināšana
begins	sākas
classic	klasika
classic	klasiska
classic	klasisks
damage	bojājums
harry	harijs
offers	piedāvājums
offers	piedāvājumus
offers	piedāvājumi
davis	davis
challenge	challenge
challenge	izaicinājums
views	viedokļi
views	viedoklis
views	uzskati
views	skati
marked	atzīmēti
marked	atzīmēts
marked	marķēts
allows	atļauj
density	blīvums
literary	literatūras
htm	htm
ben	bens
ben	ben
transportation	transportēšana
transportation	transports
transportation	pārvadāšana
kentucky	kentuki
sales	noiets
sales	pārdošana
fleet	flote
fleet	flotes
supporting	atbalstīšana
extra	ārējs
extra	ekstra
extra	papildu
extra	extra
recognized	atzītas
recognized	atzīta
recognized	atzīti
recognized	atzīts
arizona	arizona
compared	salīdzināja
theme	tēma
francis	francis
moscow	maskava
moscow	maskavas
moscow	maskavā
interested	ieinteresēts
interested	interesē
interested	interesenti
interested	ieinteresēti
interested	ieinteresēta
heard	sadzirdēt
heard	dzirdēts
heard	dzirdēju
behavior	uzvedība
behavior	izturēšanās
behavior	uzvedību
transferred	nodots
transferred	nodoto
transferred	nodoti
transferred	nodota
environmental	vides
blank	tukšā
blank	tukšu
blank	tukšs
blank	tukša
musician	mūziķis
assigned	piešķirtie
assigned	piešķirts
assigned	piešķirti
seats	sēdekļi
seats	sēdvietas
tennis	tenisa
percent	procenti
percent	procents
percent	procentuālais
logs	žurnāli
display	rādīt
display	displejs
display	displeja
convention	konvents
convention	konvencija
convention	konventa
convention	konvenciju
ring	gredzens
joint	kopīga
joint	locītavu
joint	kopīgais
brian	braiens
deputy	vietnieks
planned	plānotais
planned	plānota
planned	plānoto
planned	plānots
planned	plānotie
planned	plānotās
universities	augstskolas
universities	universitātes
yards	būvētavas
communist	komunistu
communist	komunistiskā
agent	aģents
agent	aģente
difference	starpība
difference	atšķirība
animal	dzīvnieku
animal	dzīvnieks
animal	dzīvniekam
czech	čehu
czech	čehijas
positions	pozīcijas
positions	nostājas
exactly	tieši
stay	uzturēties
stay	paliec
stay	palikt
combat	apkarotu
palace	pils
palace	pilij
palace	palace
ordered	sakārtots
ordered	lika
opposition	opozīcijas
opposition	iebildumi
opposition	opozīcija
attempts	mēģinājumi
understanding	sapratne
understanding	izpratni
understanding	izpratne
understanding	saprašanās
wrestling	cīņas
critics	kritiķi
growing	aug
growing	audzēšanas
growing	audzēšana
hands	rokām
hands	rokas
latm	latm
longm	longm
participated	piedalījās
participated	piedalījušies
participated	piedalījusies
participated	piedalījies
revert	atgriezt
poetry	dzeja
poetry	dzejas
materials	materiāli
turkish	turku
turkish	turcijas
paid	maksā
paid	maksāja
paid	samaksāts
promotion	veicināšana
promotion	popularizēšana
promotion	veicināšanas
apparently	acīmredzot
battalion	bataljona
mobile	mob
mobile	mobilo
mobile	mobilais
additions	papildinājumi
row	rinda
row	rindā
shortsummary	shortsummary
merged	apvienotais
merged	apvienots
merged	apvienotas
metropolitan	lielpilsētu
figures	skaitļi
existence	esamība
existence	pastāvēšana
existence	esība
eye	acs
eye	acī
eye	acu
louisiana	luiziāna
lewis	luiss
lewis	lūiss
melbourne	melburnas
austria	austrija
austria	austrijas
austria	austrijā
austria	austriju
brigade	brigāde
screen	ekrāns
risk	risks
lats	lats
ban	aizliegums
ban	aizliegt
labor	darbaspēks
legislative	likumdošanas
definition	definēšana
definition	definīcija
indeed	patiešām
draw	zīmēt
application	piemērošana
application	piemērošanu
application	pieteikums
steel	steel
steel	tērauds
steel	tērauda
presence	esamība
presence	klātbūtni
presence	esība
presence	klātbūtne
expansion	paplašināšana
expansion	izplešanās
expansion	paplašināšanās
earl	grāfs
max	max
max	maks
max	makss
wild	wild
wild	savvaļas
wild	savvaļā
planning	plānošana
planning	plānošanas
adopted	pieņemts
adopted	pieņemta
adopted	pieņemtais
easy	viegli
easy	viegla
easy	viegls
easy	mierīgi
plus	plus
plus	pluss
happy	priecīgs
happy	laimīga
happy	laimīgs
acts	akti
classes	nodarbības
classes	klases
iowa	aiovas
grew	pieauga
save	saglabāt
wins	uzvar
wins	uzvaras
wins	uzvarēs
theater	teātrī
exists	pastāv
exists	eksistē
roles	lomas
chance	iespēja
chance	izdevība
prevent	novērš
prevent	novērstu
prevent	nepieļaut
prevent	novērst
linecolor	linecolor
candidates	kandidāti
candidates	kandidātus
candidates	kandidātiem
object	objekts
object	iebilst
felt	jūtama
felt	filcs
felt	jūtams
powers	pilnvaras
birds	putni
birds	putniem
spread	izplatību
spread	izplatīties
spread	izplatīšanās
defeat	sakāvi
cape	renāra
identified	identificēti
identified	identificēts
identified	identificēta
regions	reģioni
mine	raktuves
teaching	mācīšana
teaching	mācību
guidelines	pamatnostādnes
guidelines	vadlīnijas
simon	simons
depth	dziļums
lyrics	teksti
lyrics	lyrics
christmas	ziemassvētkos
christmas	ziemassvētku
christmas	ziemassvētkus
christmas	ziemassvētki
declined	samazinājās
declined	samazinājies
greece	grieķijā
greece	grieķija
express	express
express	ekspress
federation	federācija
federation	federācijas
voivodeship	vojevodiste
journalist	žurnālists
journalist	žurnāliste
intelligence	izlūkošanas
occurred	radās
occurred	notika
connection	pieslēgums
connection	savienojums
displayed	rādīts
portuguese	portugāles
portuguese	portugāļu
declared	deklarēts
constitution	konstitūcija
constitution	konstitūcijas
constitution	konstitūcijā
presidential	prezidenta
sons	dēli
dates	datumi
firm	firma
ends	noslēdzas
ends	galus
ends	beidzas
pilot	pilotam
pilot	pilota
pilot	pilots
pilot	izmēģinājuma
relatively	salīdzinoši
relatively	relatīvi
relatively	samērā
receive	saņemt
receive	saņem
educated	izglītoti
manchester	manchester
queensland	kvīnslenda
americans	amerikāņi
introduction	ievešana
introduction	ieviešanu
introduction	ievads
directors	direktori
vehicle	transportlīdzeklis
stock	krājums
stock	krājumi
stock	krājumu
vehicles	transportlīdzekļi
israeli	izraēlas
hills	pakalni
northwest	ziemeļrietumu
visit	apmeklējuma
visit	vizīte
visit	apmeklējums
visit	apmeklēt
residence	rezidence
residence	uzturēšanās
residence	dzīvesvieta
residence	dzīvesvietu
residence	dzīvesvietas
walter	valters
interesting	interesanti
interesting	interesants
interesting	interesantas
interesting	interesanta
moon	mēness
moon	pavadonis
limit	ierobežot
limit	robeža
limit	limits
limit	ierobežojums
minute	minūte
minute	minūti
bell	zvans
athletics	vieglatlētika
athletics	vieglatlētikas
reduced	samazinātas
reduced	samazināta
reduced	samazināts
reduced	samazināti
wind	vēju
wind	vēja
wind	vējš
oklahoma	oklahoma
architect	arhitekts
ideas	idejas
electronic	elektroniskais
electronic	elektroniskie
electronic	elektroniski
crown	vainaga
crown	vainags
younger	jaunāka
younger	jaunāki
younger	jaunāks
younger	jaunākā
younger	jaunākiem
anderson	andersone
anderson	andersons
step	step
step	posms
step	soli
step	solis
weapons	ieročus
weapons	ieroči
unable	nevar
neutral	neitrāls
neutral	neitrāla
neutral	neitrāli
connected	pieslēdzies
connected	savienota
switzerland	šveice
switzerland	šveicē
armed	bruņots
armed	bruņota
armed	bruņotajiem
armed	bruņoti
weekly	nedēļas
weekly	nedēļā
rating	reitingu
rating	novērtējums
rating	vērtējums
rating	reitings
programme	programmā
programme	programma
programme	programmu
squad	squad
squad	vadu
dynasty	dinastija
cold	saaukstēšanās
cold	auksts
cold	auksti
cold	aukstā
cold	aukstums
granted	piešķirts
alliance	alianse
alliance	alianses
methods	metodes
sam	sems
sam	sem
sam	sam
alabama	alabama
albert	alberts
albert	albert
tropical	tropu
vietnam	vjetnama
dvd	dvd
refers	atsaucas
heat	karstums
heat	siltuma
heat	siltums
fans	fani
fans	faniem
fans	līdzjutējiem
fans	ventilatori
surrounding	apkārtējo
purposes	nolūki
credit	kredīta
credit	kredīts
credit	credit
boat	laiva
boat	laivā
boat	laivu
boxes	kārbas
boxes	kastes
ethnic	etnisko
ethnic	etniskā
speaking	uzstāšanās
speaking	runājot
fell	krita
fell	nokrita
fell	iekrita
arena	arena
arena	arēnā
arena	arēna
roads	ceļi
core	kodola
core	kodols
dog	suns
dog	suņi
kill	nogalināt
kill	nokaut
kill	novākt
kill	nogalina
wikiproject	wikiproject
athletic	athletic
negative	negatīvā
negative	negatīvs
negative	negatīvi
negative	negatīvas
negative	negatīva
confirmed	apstiprināts
confirmed	apstiprināja
confirmed	apstiprinātas
confirmed	apstiprināta
confirmed	apstiprināti
sixth	sestais
sixth	sestā
edge	malas
edge	malu
edge	mala
jesus	jēzus
tools	rīki
tools	instrumenti
tools	darbarīki
colonel	pulkvedis
weak	vājš
weak	vājā
weak	vāji
weak	vāja
weak	vājas
brand	zīmols
brand	zīmola
nfl	nfl
rise	celšanās
supply	piegāde
supply	piedāvājums
supply	apgāde
tradition	tradīcijas
tradition	tradīcija
tradition	tradīciju
elementary	elementāri
elementary	vienkāršā
household	mājsaimniecībā
spirit	gars
task	uzdevumu
task	uzdevums
slightly	nedaudz
howard	hovards
incident	starpgadījums
incident	incidentu
incident	incidents
incident	negadījums
incident	atgadījums
develop	attīstīt
southeast	dienvidaustrumu
sunday	svētdien
sunday	svētdienā
sunday	svētdienu
sunday	sunday
sunday	svētdiena
discuss	pārrunāt
discuss	apspriestu
discuss	apspriest
stats	statistika
climate	klimats
topics	temati
topics	tēmas
purchased	iepirka
purchased	iegādāts
purchased	pirkta
purchased	nopirkts
communications	komunikācija
communications	sakari
communications	paziņojumi
communications	saziņa
communications	komunikāciju
communications	komunikācijas
chapter	nodaļā
chapter	nodaļa
broken	šķeltiem
singapore	singapūrā
singapore	singapūra
license	licences
license	licence
passing	tuvo
citizens	pilsoņus
citizens	pilsoņi
citizens	iedzīvotāji
guns	ieročiem
guns	šautenes
trees	kokiem
trees	kokus
trees	koki
gone	prom
greatest	vislielākais
greatest	lielākais
improved	uzlaboti
improved	uzlabota
improved	uzlabots
improved	uzlabojies
visual	redzes
visual	vizuālā
pope	pāvests
officials	ierēdņi
officials	amatpersonas
sat	sēdēja
sat	sat
glass	stikls
glass	stikla
glass	glāze
glass	stikli
miller	millere
posted	ievietoja
posted	norīkots
estimated	aprēķināts
contain	saturēt
brazilian	brazīlijas
sexual	seksuālās
sexual	seksuālā
sexual	seksuāla
defence	aizstāvība
defence	aizsardzība
defence	aizsardzības
rich	bagāta
rich	bagātas
rich	bagāti
rich	bagātīgs
rich	bagāts
fast	ātri
fast	ātra
fast	ātrs
fast	strauji
fast	fast
properties	īpašības
taught	iemācīja
taught	mācīja
extensive	plašas
extensive	plašs
extensive	plaša
exhibition	izstāde
exhibition	izstādē
exhibition	izstādes
speech	runā
speech	runu
speech	runas
speech	runa
les	les
proposal	priekšlikums
straight	taisni
straight	taisna
internal	iekšēji
internal	iekšējā
internal	iekšējais
internal	iekšēja
internal	iekšējs
internal	iekšējie
effective	efektīvi
effective	efektīvā
effective	efektīva
effective	efektīvas
effective	efektīvs
solution	atrisinājums
solution	šķīdums
solution	risinājums
fashion	fashion
fashion	mode
fashion	modes
foot	pēda
foot	pēdu
foot	kāja
orange	oranžas
orange	oranža
orange	apelsīnu
orange	oranžā
argentina	argentīna
brief	īsi
performances	izpildījums
performances	izrādes
adult	pieaugušo
adult	pieaugušie
adult	pieauguši
adult	pieaugušais
allowing	ļaujot
identity	personība
identity	identitāti
identity	identitāte
identity	identitātes
singers	dziedātāji
inspired	iedvesmoja
discussed	diskutēts
discussed	apspriests
discussed	apspriesta
require	pieprasīt
require	prasīt
transfer	pārvietošana
transfer	nodošana
transfer	nodošanas
transfer	pārsūtīšana
egypt	ēģipte
cells	šūnām
cells	elementi
cells	šūnas
patrick	patriks
quebec	kvebekā
anthony	anthony
permanent	pastāvīgu
permanent	pastāvīgs
permanent	pastāvīgās
permanent	pastāvīgā
permanent	pastāvīga
phase	fāze
phase	posms
phase	etaps
audience	skatītāju
audience	auditorija
audience	skatītājiem
audience	auditorijas
audience	publika
audience	skatītāji
motion	kustība
motion	priekšlikumu
motion	priekšlikums
blues	blues
hungarian	ungāru
hungarian	ungārijas
arab	arābu
trains	vilcieni
trains	vilcienus
sets	komplekti
ranked	ierindojās
begin	sākam
begin	sākt
eyes	acīm
eyes	actiņas
eyes	acis
studios	studijas
gmina	gmina
criminal	noziedzīgu
criminal	noziedznieks
commonwealth	sadraudzības
finish	pabeigt
finish	finišs
finish	pabeidz
communication	komunikācija
communication	paziņojums
communication	saziņa
communication	komunikācijas
scope	joma
accused	apsūdzēto
accused	apsūdzēti
accused	apsūdzēts
accused	apsūdzēta
accused	apsūdzēja
divisions	iedalījums
divisions	nodaļas
divisions	rajoni
accept	pieņemam
accept	pieņem
accept	akceptēt
accept	pieņemu
accept	pieņemt
warning	brīdinājums
alan	alan
objects	objekti
objects	priekšmeti
diego	djego
contest	konkurss
fighter	cīnītājs
finds	atrod
coaches	treneru
coaches	vagoni
beat	pārspēt
extremely	ārkārtīgi
ford	fords
ford	ford
swiss	šveices
sorry	piedodiet
sorry	žēl
sorry	piedod
sorry	atvainojiet
houston	hjūstona
worldwide	vispasaules
worldwide	pasaulē
showed	rādīja
showed	parādīja
cathedral	katedrāle
losing	zaudē
losing	zaudēt
reality	realitāte
reality	īstenība
broadcasting	apraides
broadcasting	apraide
adam	adam
vandalism	vandālisma
enemy	pretinieks
enemy	ienaidnieks
youtube	youtube
assessed	novērtētas
assessed	novērtēta
assessed	novērtēti
assessed	novērtēts
billion	miljardos
billion	miljardi
billion	miljards
buried	aprakts
belgium	beļģija
belgium	beļģijā
respect	sakarā
respect	cieņā
respect	cieņa
rare	reti
rare	retas
detroit	detroitas
graduate	absolventu
graduate	absolvents
colleges	kolēģijas
colleges	koledžas
explain	paskaidrot
explain	izskaidrot
explain	izskaidro
explain	paskaidro
authorities	iestādes
killing	nonāvēšana
killing	nogalināšana
killing	nonāvēšanas
killing	nogalināšanas
maximum	maksimālais
maximum	maksimums
maximum	maksimālā
maximum	maksimāli
fan	ventilatora
fan	fans
fan	fanu
fan	ventilators
notify	paziņot
painter	gleznotājs
hamilton	hamiltons
attempted	mēģināts
attempted	mēģinājusi
attempted	mēģinājis
attempted	mēģinājums
universe	visums
passes	iztur
obvious	acīmredzama
obvious	acīmredzams
obvious	acīmredzami
suffered	cietuši
suffered	cietusi
suffered	cieta
suffered	cietis
pieces	gabali
apply	piemēro
apply	piemērot
apply	pielietot
actresses	aktrises
competitions	sacensības
competitions	sacensībās
competitions	konkursi
aid	palīdzība
aid	atbalsts
driver	vadītājs
driver	autovadītājs
driver	vadītāja
driver	šoferis
folk	tautas
dan	dens
dan	dan
khan	khan
baby	mazulis
baby	bērns
baby	mazā
denmark	dānijā
denmark	dānija
tokyo	tokijas
billboard	stendu
calling	aicina
calling	zvanot
anne	anne
anne	anna
happened	gadījās
happened	notika
danish	dāņu
danish	dānijas
wants	grib
wants	vēlas
formula	formula
formula	formulas
interior	interjera
interior	iekšlietu
interior	iekšējais
interior	iekšējie
kevin	kevins
weather	laikapstākļi
weather	laika
powerful	spēcīgi
powerful	spēcīgs
muslim	musulmaņi
muslim	musulmaņu
registered	reģistrētie
registered	reģistrēta
registered	reģistrētas
registered	reģistrētā
registered	reģistrēti
registered	reģistrēts
publisher	izdevējs
sounds	izklausās
sounds	skaņas
sounds	skan
eric	eric
eric	ēriks
approved	apstiprināts
approved	apstiprināta
approved	apstiprinātas
approved	apstiprināti
approved	apstiprinātais
achieved	sasniegti
achieved	sasniegta
achieved	sasniegts
douglas	douglas
fund	fonda
fund	fonds
portugal	portugālē
portugal	portugāle
athletes	sportistiem
athletes	sportisti
bird	putns
bird	putnu
bands	joslas
audio	audio
cat	kaķi
cat	kaķis
bureau	birojs
bureau	prezidijs
centuries	gadsimtiem
valid	derīgs
valid	derīga
valid	derīgi
valid	spēkā
chemical	ķīmiskais
chemical	ķīmiskā
items	priekšmeti
items	posteņi
holding	saimniecība
holding	turēšana
holding	holding
holding	saimniecības
counties	apgabali
counties	novados
update	atjaunināt
update	atjauninājums
update	atjaunot
update	update
update	atjaunināšana
ncaa	ncaa
speak	runā
speak	izrunāt
speak	runāt
domestic	iekšzemes
ali	ali
false	aplams
false	viltus
false	kļūdaini
equivalent	ekvivalents
equivalent	līdzvērtīgs
equivalent	līdzvērtīga
equivalent	līdzvērtīgi
caught	nozvejotas
christ	kristus
christ	kristu
ending	beidzas
puerto	puerto
perform	pildīt
partner	partnera
partner	partneri
partner	partneris
partner	partnerim
romania	rumānija
aviation	aviācija
failure	neveiksme
failure	defekts
failure	neveiksmes
strength	stiprums
strength	stiprība
strength	spēka
strength	izturība
strength	spēks
knight	zirdziņš
nominations	kandidatūras
nominations	nominācijas
hungary	ungārija
concern	bažas
keeping	turēšana
functions	funkcijas
mississippi	misisipi
calls	zvaniem
criticism	kritika
criticism	kritiku
involving	iesaistot
magic	maģija
magic	burvība
gordon	gordon
treaty	līgums
antonio	antonio
selection	atlases
selection	izvēle
selection	atlase
selection	izlase
rear	aizmugure
rear	aizmugures
rear	aizmugurē
rear	aizmugurējā
colonial	koloniālās
motor	mehānisko
obtained	iegūtie
obtained	iegūti
obtained	iegūta
obtained	iegūts
obtained	iegūtā
circuit	ķēde
circuit	trase
wish	vēlme
wish	vēlos
compilation	apkopošana
compilation	apkopošanas
compilation	apkopojums
harvard	hārvardas
islamic	islāma
determined	noteiktais
geography	ģeogrāfija
arkansas	arkanzasa
fuel	kurināmais
fuel	degviela
fuel	degvielas
artillery	artilērijas
medieval	viduslaiku
locations	vietas
inclusion	iekļaušana
recognition	atzīšana
recognition	atzinība
northeast	ziemeļaustrumu
chamber	kamera
chamber	palāta
moment	moments
moment	brīdis
moment	mirklis
succeeded	izdevās
succeeded	izdevies
historian	vēsturnieks
condition	nosacījums
condition	stāvoklis
physics	fizikas
newspapers	avīzes
newspapers	laikraksti
represent	pārstāvēt
represent	pārstāv
allen	alens
watch	skatīties
watch	pulkstenis
watch	skaties
protect	aizsargātu
protect	sargāt
protect	pasargāt
protect	aizsargāt
grey	pelēkā
grey	pelēks
grey	pelēkas
grey	pelēkais
grey	pelēkās
launch	palaist
dave	deivs
philip	philip
philip	filips
iraq	irāka
iraq	irākā
iraq	irāku
changing	maina
changing	mainās
ukraine	ukraina
municipalities	pašvaldībām
municipalities	pašvaldības
municipalities	municipalitātes
mix	samaisa
mix	maisījums
mix	mix
tamil	tamilu
shift	maiņa
shift	maiņu
shared	dalīta
shared	kopīga
shared	koplietošanas
shared	kopīgs
shared	kopīgas
austrian	austrijas
door	durvju
door	durvis
investigation	izmeklēšana
investigation	izmeklēšanā
institution	iestāde
institution	institūcija
princess	princeses
princess	princese
princess	princesei
trail	taka
trail	liecības
parks	parkos
parks	parki
applications	lietojumprogrammas
applications	pieteikumus
applications	pieteikumi
applications	lietojumi
applications	lietotnes
hundred	simti
hundred	simtu
hundred	simtus
hundred	simts
requirements	prasības
talking	runā
kim	kim
ltd	sia
ltd	ltd
metres	metri
metres	metrus
gray	pelēks
sector	nozare
sector	sektors
dean	dean
agricultural	lauksaimniecības
incorporated	incorporated
escape	evakuācijas
escape	izbēgt
escape	aizbēgt
orders	rīkojumi
orders	pasūtījumu
orders	pavēle
orders	pasūtījumi
orders	pasūtījumus
corner	stūrī
corner	stūris
corner	stūri
commissioned	pasūtīja
founding	dibināšanas
mill	dzirnavu
mill	dzirnavas
subjects	temati
subjects	subjekti
subjects	tēmas
subjects	priekšmeti
temperature	temperatūras
temperature	temperatūra
remember	atceries
remember	atceros
remember	atcerieties
remember	atcerēties
miami	maiami
promote	veicināt
promote	veicinātu
promote	popularizēt
values	vērtības
spot	vietas
progress	progress
learn	mācies
learn	mācīties
planet	planēta
planet	planētas
planet	planētu
occupied	aizņem
occupied	aizņemtas
usage	lietošana
usage	izmantošana
usage	lietojums
southwest	dienvidrietumu
refused	noraidīts
refused	atteikta
refused	atteikts
refused	atteicās
truth	patiesība
truth	patiesību
truth	patiesības
