பெல்லா	벨라
விற்கவும்	판매하기
விற்கவும்	팔아
விற்கவும்	판매
அவா	아바
அவா	ava
அவா	에바
இனவெறி	인종차별
வருந்துகிறேன்	미안
தாய்நாடு	조국
அபாயங்கள்	위험
அபாயங்கள்	리스크
குவிப்பு	집중
குவிப்பு	초점
குவிப்பு	집중하기
குவிப்பு	포커스
நண்பரே	친구
திகழ்ந்தனர்	선불
டிரக்	트럭
அழுது	울음
சூது	도박
கூந்தலில்	머리카락
கூந்தலில்	머리
கூந்தலில்	머리카락이
ருசி	맛있는
குறுக்கீடுகள்	인터럽트
ஜீன்ஸ்	청바지
விடைகள்	결과
சாகி	사키
சாகி	사사키
ஏமி	에이미
டால்பின்	돌고래
அர்த்தங்கள்	의미
நோர்டிக்	노르딕
நோர்டிக்	스칸디나비아
சௌ	차우
சௌ	초우
ரஹீம்	라힘
ரஹீம்	라힘
பசியின்மை	식욕
போர்ட்டர்	포터
மூக்கில்	코코
காப்பர்	구리
நீந்தி	수영
வலிகள்	통증
வலிகள்	통증이
வலிகள்	고통
வலிகள்	통증
கேக்	케이크
நிற்கிறார்	standing
நிற்கிறார்	스탠딩
ஹரே	토끼
ஹரே	산토끼
சுயவிவரம்	프로파일
சுயவிவரம்	프로필
ஸ்விஸ்	스위스
ஆட்டோகேட்	오토캐드
எதிர்பாராதவிதமாக	불행히도
போர்ச்சுகல்	포르투갈
ரமலான்	라마단
திருடர்கள்	도둑들
திருடர்கள்	도둑놈
திருடர்கள்	도둑
கிரெய்க்	크레이그
சிறந்தவை	최고
சிறந்தவை	베스트
துடிக்கும்	뛰고
லிஞ்ச்	린치
டிரம்மர்	드러머
சாகசம்	어드벤처
சாகசம்	모험
அகற்றப்பட்டது	삭제됨
அகற்றப்பட்டது	삭제되었습니다
அச்சுகள்	좌표
அச்சுகள்	좌표계
பழச்சாறு	주스
பழச்சாறு	쥬스
சரம்	필터링
சரம்	문자열
கார்சன்	카슨
பகடி	패러디
பிரண்டன்	브렌던
முடக்கு	비활성화
முடக்கு	비활성화
முடக்கு	끄기
பொருத்துதல்	매칭
பொருத்துதல்	일치하는
பொருத்துதல்	일치
ஸ்பைக்	스파이크
குதிக்கும்	장애물
குதிக்கும்	점핑
குதிக்கும்	점프
குதிக்கும்	바운스
உதடுகள்	입술이
உதடுகள்	입술
குளோரியா	글로리아
இயல்புநிலை	기본값
இயல்புநிலை	기본
பூட்	부트
பூட்	부츠
பூட்	부팅
ரீஸ்	리스
தடங்கல்	중단됨
பெய்ரூட்	베이루트
குளியலறை	욕실
குளியலறை	화장실
படைப்பாற்றல்	창의력
படைப்பாற்றல்	창의
படைப்பாற்றல்	창의성
மியா	mia
மியா	미아
கீறல்	스크래치
நன்கொடைகள்	기부
நன்கொடைகள்	기부금
மெத்தை	매트리스
லியு	레우
வறுத்த	튀김
வறுத்த	볶음
அழுக்கு	더러운
ஊமை	벙어리
பச்சையம்	엽록소
ஊரடங்கு	통행금지
இத்தாலியா	이탈리아
முட்டி	무릎
மேலோடு	크러스트
வகுப்பறை	교실
படிப்பினை	도덕
பணிக்குழு	워크그룹
மகலன்	마젤란
அழைத்தல்	calling
ரிமோட்	리모콘
ரிமோட்	원격
ரிமோட்	리모컨
டெங்கு	댕기
ஏசு	예수
கிளியோபாட்ரா	클레오파트라
சீஸ்	치즈
உள்ளமை	내부
நல்லிணக்க	화해
இசுப்புட்னிக்	스푸트니크
நிக்கோலா	니콜라
நிக்கோலா	니컬라
வழங்குவோர்	공급자
வழங்குவோர்	제공자
வழங்குவோர்	공급자
சக்ரா	샤크라
வில்லியம்சன்	윌리엄슨
செங்கற்கள்	벽돌
கண்புரை	백내장
பிக்சர்	픽사
மார்க்கெட்டிங்	마케팅
பதிலடி	보복
ராண்டி	랜디
வீரமரணம்	순교
அழுத்தமாக	우울
ஒஸ்லோ	오슬로
மயானம்	묘지
ஃபிஷர்	피셔
வடித்த	조각가
வடித்த	조각가자리
கவனி	시계
கவனி	듣기
ஒன்றுமில்லை	아무것도
ஒன்றுமில்லை	없음
உருவாக்குநர்கள்	개발자
ஊறுகாய்	피클
உள்ளங்கை	손바닥
உள்ளங்கை	palm
கம்யூனிஸ்டுகள்	공산주의자
பேரழிவுகள்	재난
பேரழிவுகள்	재해
கவிஞன்	시인
கோமா	혼수
விபத்துக்குள்ளானது	오키나와
பரவியிருக்கும்	광범위한
கோமாளி	광대
கோமாளி	광대가
கிர்கிஸ்தான்	키르기스스탄
துணையை	짝꿍
துணையை	메이트
சுருக்கப்பட்ட	단축
அழுத்தவும்	프레스
அழுத்தவும்	누르기
பாதிக்கப்பட்டவர்	희생자
பாதிக்கப்பட்டவர்	피해자
தொலைநிலை	리모콘
தொலைநிலை	원격
தொலைநிலை	리모컨
கண்ணியம்	위엄
கண்ணியம்	존엄
கண்ணியம்	품위
கிடங்குகள்	웨어하우스
கிடங்குகள்	창고
உண்ணிகள்	사마귀
வாளி	버킷
வாளி	양동이
பியா	pia
கொழுந்து	블레이즈
ஃபால்	떨어지지
ஃபால்	떨어지는
ஃபால்	떨어짐
அடோல்ஃப்	아돌프
குறிச்சொல்	용어
குறிச்சொல்	키워드
இறந்தவரின்	사망
ஜேமி	제이미
சிரி	웃어라
சிரி	웃음
சிரி	웃어
மொசில்லா	모질라
சுகர்	설탕
சுகர்	슈가
சுகர்	설탕
சுகர்	슈슈
பூத்து	부스
கிமி	키미
துடிப்பான	활기찬
வாழ்க்கைமுறை	생활
வாழ்க்கைமுறை	라이프스타일
சுவரொட்டிகள்	포스터
பலாவு	팔라우
விட்டும்	출신
டையர்	다이어
மாயம்	마술
மாயம்	마법
மாயம்	magic
மாயம்	매직
கிரெடிட்	크레딧
கிரெடிட்	신용
கிரெடிட்	신용카드
சுருக்கமாகவும்	간결
பிரச்சாரங்கள்	캠페인
மின்ஸ்க்	민스크
பெலருசிய	벨라루스어
பெலருசிய	벨라루스
