apg	apg
czeskie	cehi
czeskie	ceha
czeskie	cehia
czeskie	ceh
ashley	ashley
obywatele	cetatenii
obywatele	cetateni
obywatele	cetateni
obywatele	nationale
obywatele	cetatean
obywatele	cetatean
piętro	etajul
piętro	etaj
piętro	podea
salon	lounge
salon	salon
salon	salonul
ekspozycji	expunerile
ekspozycji	expuneri
ain	ain
mięsa	carne
mięsa	carnea
czynnik	factorul
czynnik	factor
speedway	speedway
mechaniczne	mecanice
mechaniczne	mecanic
mechaniczne	mecanica
nbc	nbc
wasilij	vasili
podłoże	substrat
podłoże	sol
mauzoleum	mausoleu
butler	butler
butler	majordom
butler	majordomul
butler	valet
obserwuje	observare
obserwuje	observarea
obserwuje	privind
obserwuje	vizionarea
obserwuje	privesc
tunezji	tunisian
samuela	samuel
paliwo	combustibili
paliwo	combustibilul
paliwo	combustibil
paliwo	carburant
paliwo	benzina
paliwo	petrol
paliwo	benzina
piłsudski	piłsudski
skuteczności	eficacitate
skuteczności	eficacitatea
skuteczności	eficacitate
skuteczności	eficacitatea
zatrudnienia	angajare
ren	ren
ren	rin
grey	grey
grey	gri
tokyo	tokio
tokyo	tokyo
pruszków	pruszków
okno	fereastra
okno	fereastra
okno	geam
uroczyście	solemn
odzyskać	recupereaza
odzyskać	recupera
kolumbia	columbia
kolumbia	columbia
cameron	cameron
piw	beri
piw	berile
motorsport	motorsport
germain	germain
glenn	glenn
treningi	antrenamente
treningi	antrenamente
treningi	antrenament
treningi	pregatire
treningi	formare
leeds	leeds
kwiat	blossom
kwiat	floarea
kwiat	floare
kwiat	florii
kwiat	floricica
wieki	varstele
wieki	secolele
wieki	secole
aaron	aaron
operacyjnych	operare
operacyjnych	operationala
operacyjnych	operationale
operacyjnych	operational
council	consiliului
council	consiliu
council	consiliul
camp	tabara
camp	camp
camp	tabara
camp	lagar
camp	tabara
fabio	fabio
fabio	fábio
okrążenie	poala
okrążenie	poala
wojciechowski	wojciechowski
komiksów	comics
mann	mann
zwykły	regulata
zwykły	regulate
zwykły	regulat
zwykły	obisnuit
zwykły	ordinar
zwykły	obisnuit
zwykły	ordinare
zwykły	obisnuita
misje	misiuni
misje	misiunile
misje	misiunea
misje	misiune
wytwarza	produce
rycerzy	cavalerilor
rycerzy	cavaleri
rycerzy	cavalerii
demokratów	democrat
demokratów	democrat
demokratów	democrata
pokonany	batut
pokonany	batut
pokonany	batuta
pokonany	invinsa
pokonany	invins
pokonany	invins
pokonany	infrant
charków	harkiv
norm	standarde
norm	standardele
norm	norma
norm	norm
peugeot	peugeot
standardy	standarde
standardy	standardele
poprosił	intrebat
poprosił	intrebat
poprosił	intrebata
węgiel	carbune
węgiel	carbune
węgiel	carbune
węgiel	carbune
węgiel	carbon
węgiel	carbonul
bass	bas
bass	bass
zamość	zamość
automatyczna	automata
automatyczna	automatic
automatyczna	automate
automatyczna	automat
aspekty	aspecte
aspekty	aspect
prosto	drepte
prosto	direct
prosto	drept
prezentacji	prezentare
prezentacji	prezentarea
prezentacji	prezentari
stefano	stefano
domeny	domenii
domeny	domeniu
domeny	domeniul
dame	dama
dame	dama
dame	dame
pracujący	muncind
pracujący	lucrand
ostrowski	ostrowski
wzory	modelele
wzory	manechine
wzory	modele
wzory	tipare
wzory	tiparele
wzory	formulele
wzory	formule
podlaski	podlaski
zatonął	scufundate
zatonął	scufundat
zatonął	scufundata
strunowce	cordate
joel	joel
porównanie	comparatia
porównanie	comparatie
porównanie	comparatie
porównanie	comparatie
porównanie	compararea
porównanie	compara
porównanie	compara
dell	dell
ewy	eva
ewy	eve
ewy	ajunul
fra	fra
osobisty	personal
osobisty	personala
osobisty	personala
osobisty	personale
carmen	carmen
montgomery	montgomery
kompozytorów	compozitori
oun	snc
jądro	nucleu
jądro	testicul
jądro	nucleul
jądro	core
jądro	miezul
jądro	miez
jądro	nucleu
następcę	succesorul
następcę	succesor
salomona	solomon
pearl	pearl
pearl	perla
pearl	perla
wywołało	declansat
wiktoria	viktoria
wiktoria	victoriei
wiktoria	victoria
przodków	stramosii
chińskie	chineza
chińskie	chineza
chińskie	chinezesc
chińskie	chinez
chińskie	chinezi
kielicha	potir
lodu	gheata
lodu	gheata
lodu	gheata
lodu	ice
lodu	gheata
przydatne	util
przydatne	folositor
przydatne	utila
przydatne	utile
przydatne	folositoare
jowisza	jupiter
zaangażowanie	angajament
zaangażowanie	logodna
zaangażowanie	logodna
zaangażowanie	interactiuni
zaangażowanie	angajamentul
zaangażowanie	implicare
zaangażowanie	implicarea
zaangażowanie	angajament
zaangażowanie	angajamentul
wer	wer
rzemiosła	meserii
kompetencji	competenta
kompetencji	competenta
kompetencji	competenta
kompetencji	competenta
zapach	parfum
zapach	miros
zapach	miroase
zapach	parfum
żyjący	living
żyjący	traind
rozszerzenie	extinderea
rozszerzenie	extindere
rozszerzenie	expansiune
rozszerzenie	extinderea
rozszerzenie	expansiunea
rozszerzenie	extindere
rozszerzenie	extensie
rozszerzenie	prelungirea
rozszerzenie	extindere
rozszerzenie	prelungire
rozszerzenie	extensia
mercury	mercury
mercury	mercur
mercury	mercurul
konsulat	consulatul
konsulat	consulat
turków	turcii
turków	turci
turków	turcilor
prezentowane	recomandate
prezentowane	prezentat
prezentowane	prezentata
prezentowane	prezentate
kazań	predicile
kazań	predici
kazań	kazan
uroczyste	solemn
uroczyste	solemna
uroczyste	festiv
uroczyste	festiva
greckie	greci
greckie	grecesc
greckie	grec
greckie	greaca
greckie	greaca
venus	venus
armata	cannon
armata	tun
armata	tunul
homo	homo
herbie	herbie
wien	wien
bergen	bergen
produkuje	produce
estádio	estádio
ciemne	dark
ciemne	intuneric
ciemne	intuneric
ciemne	intunecat
lokalnie	local
wymagane	solicitate
wymagane	solicitat
wymagane	cerut
wymagane	solicitata
wymagane	obligatoriu
wymagane	necesare
wymagane	necesara
wymagane	necesar
metry	metri
metry	contoare
metry	metri
bit	bit
toma	toma
bomba	bomba
bomba	bomba
tunelu	tunelul
tunelu	tunel
ekspertów	experti
ekspertów	expertii
ekspertów	experti
ekspertów	expertul
ekspertów	experta
ekspertów	expert
sparta	sparta
misjonarz	misionar
beskid	beskid
ziemskiego	pamantesc
dorosłe	adulti
dorosłe	adulti
ściana	peretele
ściana	wall
ściana	zid
ściana	zidul
ściana	perete
konstytucyjnego	constitutionale
newton	newton
pzl	pzl
pliki	fisiere
pliki	fisiere
pliki	dosare
personelu	personal
personelu	personalul
personelu	personal
personelu	personalul
personelu	staff
con	con
kandydaturę	candidatura
tylny	posterior
tylny	spate
wiązanie	legare
wiązanie	legarea
wiązanie	legarea
wiązanie	bond
liverpool	liverpool
emanuel	emanuel
dublin	dublin
przeglądu	recenzie
przeglądu	revizuirea
przeglądu	revizuire
teoretyk	teoretician
andre	andre
andre	andré
andre	andré
tymczasowego	provizorii
tymczasowego	provizoriu
tymczasowego	provizorie
niebie	ceruri
niebie	rai
niebie	raiul
niebie	cerul
niebie	sky
niebie	cer
nocny	nocturna
nocny	nocturne
nocny	nocturn
nocny	noapte
nocny	noaptea
gleb	soluri
umysłu	minte
umysłu	mintea
josh	josh
gwatemali	guatemala
gwatemali	guatemalez
odpowiadał	corespondat
zastrzeżenia	rezervari
zastrzeżenia	obiectii
sądy	judiciar
sądy	instante
sądy	instantele
sądy	tribunalele
sądy	tribunale
jasności	claritatea
jasności	claritate
jasności	stralucire
jasności	luminozitate
traktowane	tratat
traktowane	tratate
traktowane	tratata
sobota	sambata
sobota	sambata
sobota	sambata
sobota	sambata
zajęte	ocupat
zajęte	ocupate
zajęte	ocupata
zajęte	ocupata
zajęte	ocupat
zajęte	ocupate
zajęte	ocupata
wrogów	dusmani
wrogów	inamici
wrogów	dusmani
wrogów	inamicii
zaleca	recomanda
chirurgii	operatie
chirurgii	chirurgie
chirurgii	chirurgia
chirurgii	chirurgical
chirurgii	chirurgicale
chirurgii	chirurgicala
uczucia	sentimente
uczucia	sentimentele
rolnej	agrara
elektronów	electron
nintendo	nintendo
filozoficzne	filozofice
armstrong	armstrong
cezar	caesar
cezar	cezar
zainteresowań	interesele
zainteresowań	interese
klasycznego	clasica
klasycznego	clasic
klasycznego	clasica
podłogi	podele
podłogi	etaje
podłogi	podele
podłogi	parchet
komety	cometa
komety	cometa
komety	comete
otoczona	inconjurat
otoczona	inconjurata
otoczona	inconjurat
lahti	lahti
boca	boca
piasku	nisip
piasku	sand
piasku	nisipul
oznaczone	etichetate
oznaczone	etichetat
oznaczone	etichetata
oznaczone	marcata
oznaczone	marcat
oznaczone	marcate
kota	kota
nestor	nestor
sodu	sodiu
sodu	sodica
leśnictwa	forestiere
leśnictwa	silvicultura
tempo	tempo
językowej	lingvistic
językowej	lingvistice
językowej	lingvistica
konfrontacji	confruntare
konfrontacji	confruntarea
konfrontacji	confruntari
volkswagen	volkswagen
zrozumienia	intelegerea
zrozumienia	intelegere
zrozumienia	intelegere
ronnie	ronnie
wiśniewski	wiśniewski
przeznaczenie	destinatia
przeznaczenie	destinatie
przeznaczenie	destinatie
przeznaczenie	destinatia
przeznaczenie	destiny
przeznaczenie	destinul
przeznaczenie	destin
przeznaczenie	soarta
przeznaczenie	soarta
przeznaczenie	destin
przeznaczenie	scopul
przeznaczenie	scop
biblia	biblia
biblia	biblie
naród	natiune
naród	natiune
naród	neam
soczi	soci
liderów	conducatori
liderów	lideri
liderów	liderii
sonda	sonda
sonda	sonda
warta	worth
zmienione	revizuit
zmienione	revizuita
zmienione	revizuite
zmienione	schimbat
zmienione	schimbata
zmienione	modificat
zmienione	modificata
zmienione	modificate
zmienione	modificat
zmienione	modificata
zmienione	modificat
sin	pacatul
sin	sin
paryskiej	parizian
meyer	meyer
postawa	atitudinea
postawa	atitudine
postawa	postura
postawa	postura
rozpoznanie	recunoasterea
rozpoznanie	recunoastere
rozpoznanie	recunoastere
rozpoznanie	diagnosticare
rozpoznanie	diagnosticarea
rozpoznanie	diagnosticul
rozpoznanie	diagnostic
uzasadnienia	justificari
scalemajor	scalemajor
timeaxis	timeaxis
ciekawy	curioasa
ciekawy	curios
dale	dale
potrzebuje	nevoie
potrzebuje	nevoile
potrzebuje	nevoi
forever	forever
cat	pisica
cat	pisica
cat	cat
zwykłych	ordinar
zwykłych	obisnuit
zwykłych	ordinare
zwykłych	obisnuita
wydawcy	editorii
wydawcy	editori
wydawcy	editorii
wydawcy	editori
wydawcy	editor
wydawcy	editura
biuletyn	newsletter
biuletyn	buletinul
episkopatu	episcopala
freedom	libertate
freedom	libertatea
freedom	freedom
adaptacji	adaptari
adaptacji	adaptarile
imagesize	imagesize
yang	yang
fabrykę	fabrica
fabrykę	fabrica
ekran	ecran
ekran	ecranul
burbon	bourbon
sal	sal
lucy	lucy
sebastiana	sebastian
allan	allan
walczyli	luptat
ostry	sharp
ostry	acute
ostry	acut
ostry	acuta
berger	berger
równoległy	paralel
równoległy	paralela
równoległy	paralele
równoległy	paralela
edytuj	editare
edytuj	editeaza
bronić	apara
bronić	apara
wells	fantani
wells	wells
organizacyjnych	organizationale
fizyczna	fizice
fizyczna	fizica
fizyczna	fizic
aut	aut
możliwy	posibile
możliwy	posibil
możliwy	posibila
możliwy	posibila
oświetlenie	iluminare
oświetlenie	iluminarea
oświetlenie	iluminare
oświetlenie	iluminat
ekspozycja	expunere
ekspozycja	expunerea
konsul	consul
konsul	consulul
rebelianci	rebelilor
rebelianci	rebelii
rebelianci	rebeli
clarke	clarke
ograniczeń	restrictii
protokół	protocol
protokół	protocolul
krążek	pucul
krążek	puck
zabezpieczenie	garantii
zabezpieczenie	colaterale
alain	alain
astronomii	astronomie
protesty	protest
protesty	protestul
protesty	protesteaza
protesty	protestele
protesty	proteste
siedliska	habitatelor
siedliska	habitate
siedliska	habitat
siedliska	habitatul
ciemności	intunericul
ciemności	intuneric
ciemności	intuneric
ahmed	ahmed
ahmed	ahmad
anatolij	anatoli
płótnie	panza
płótnie	panza
gerhard	gerhard
generacja	generatie
generacja	generatie
generacja	generarea
generacja	generatie
modyfikacji	modificarea
modyfikacji	modificare
modyfikacji	modificari
współautorem	coautor
karate	karate
kapitału	capitala
kapitału	capitala
kapitału	capital
foster	foster
harvey	harvey
płatki	petalele
płatki	petale
płatki	fulgi
płatki	cereale
krytykę	critica
krytykę	critici
krytykę	critica
krytykę	criticile
krytykę	critica
olympique	olympique
eugene	eugene
wspomniany	mentionat
druk	imprimare
druk	amprenta
druk	tiparire
druk	imprimare
druk	imprimarea
druk	tiparire
burza	furtuna
burza	furtuna
burza	furtuna
burza	storm
tragedii	tragedii
tragedii	tragedie
tragedii	tragedia
wystawę	expozitia
wystawę	expozitie
wystawę	expozitie
edwards	edwards
nowoczesny	moderni
nowoczesny	moderna
nowoczesny	modern
nowoczesny	moderne
nowoczesny	moderna
nowoczesny	contemporana
nowoczesny	contemporane
nowoczesny	contemporan
posterunek	statie
posterunek	gara
posterunek	statia
posterunek	statie
posterunek	statie
posterunek	gara
grobie	mormant
grobie	mormant
grobie	mormantul
grobie	mormant
grobie	mormant
louisa	louisa
utah	utah
guillermo	guillermo
dochody	venitul
dochody	venituri
dochody	veniturile
dochody	veniturile
dochody	venituri
ruth	ruth
ruth	rut
piętra	podele
piętra	etaje
tango	tango
zorganizowane	organizat
zorganizowane	organizata
zorganizowane	organizate
zorganizowane	organizat
zorganizowane	organizata
zorganizowane	organizate
bukareszcie	bucuresti
bukareszcie	bucuresti
bukareszcie	bucuresti
wykorzystany	exploatata
wykorzystany	exploatate
wykorzystany	exploatat
skłodowskiej	skłodowska
przyjaźń	prietenia
przyjaźń	prietenie
gotowy	pregatit
gotowy	gata
franków	franci
cywilów	civili
cywilów	civilii
cywilów	civililor
med	med
body	body
body	organism
body	corp
body	corpul
body	trup
higgins	higgins
archeologii	arheologie
archeologii	arheologie
zarejestrowane	inregistrate
zarejestrowane	inregistrata
zarejestrowane	inregistrat
zarejestrowane	inregistrat
zarejestrowane	inregistrate
zarejestrowane	inregistrata
zarejestrowane	inregistrat
zarejestrowane	inregistrat
crystal	cristalul
crystal	cristal
crystal	cristale
crystal	crystal
dzwon	clopot
dzwon	clopotul
dzwon	bell
rozmowa	interviu
rozmowa	interviul
rozmowa	conversatie
rozmowa	conversatie
marcelo	marcelo
uzupełnienia	completari
toro	toro
lampy	lampa
lampy	lampa
lampy	lampi
lampy	lampile
dzwony	clopote
dzwony	clopotele
wad	defecte
wad	vicii
wad	viciile
zakup	cumparare
zakup	achizitie
zakup	achizitiile
zakup	achizitii
curtis	curtis
spirit	spiritul
spirit	spirit
leicester	leicester
zorganizowany	organizat
zorganizowany	organizata
zorganizowany	organizate
zorganizowany	organizat
zorganizowany	organizata
zorganizowany	organizate
gazet	ziarele
gazet	ziare
arabski	arab
arabski	araba
arabski	arabe
arabski	araba
arabski	araba
kocha	iubeste
kocha	iubeste
kocha	iubirile
kocha	iubiri
lin	lin
lin	corzi
lin	franghii
lin	funii
leslie	leslie
lima	lima
kujawski	kujawski
generałowie	generali
generałowie	generalii
generałowie	generalilor
naprzeciw	opus
naprzeciw	opusul
naprzeciw	opusa
procesor	procesorul
procesor	procesor
procesor	procesor
procesor	cpu
garcia	garcia
garcia	garcía
cmentarze	cimitire
cmentarze	cimitire
zimbabwe	zimbabwe
bach	bach
rhein	rhein
bird	pasare
bird	pasare
bird	pasarea
bird	bird
pokolenie	generatie
pokolenie	generatie
pokolenie	generarea
pokolenie	generatie
pokolenie	generatii
pokolenie	generatii
uzbrojony	armat
uzbrojony	inarmat
gun	pistol
gun	arma
gun	arma
przybywa	sosind
przybywa	vine
botanik	botanist
samantha	samantha
wydać	cheltuie
brody	barbi
brody	brody
spożywczy	bacanie
palma	palma
zimy	iarna
zimy	iarna
zimy	winters
zimy	ierni
six	sase
six	six
six	sase
six	sase
poziomy	orizontal
poziomy	orizontale
poziomy	orizontala
poziomy	nivelurile
poziomy	niveluri
poziomy	nivele
wyrażenie	fraza
wyrażenie	fraza
wyrażenie	expresia
wyrażenie	exprimare
wyrażenie	expresie
legion	legiune
legion	legiunea
męczennika	martir
ustalenie	determinarea
ustalenie	determinare
wyjazd	plecarea
wyjazd	iesirea
wyjazd	iesire
wyjazd	iesire
wyjazd	iesire
wyjazd	plecare
wyjazd	plecarea
wyjazd	plecari
wyjazd	excursie
wyjazd	trip
wyjazd	calatorie
chana	chan
discovery	descoperire
discovery	descoperiri
discovery	descoperirea
discovery	discovery
rozdzielczości	rezolutia
rozdzielczości	rezolutie
zera	zerouri
zera	zerouri
dekady	decenii
dekady	decade
dekady	decada
dekady	deceniu
zmniejszenia	reduce
pełen	plina
pełen	full
pełen	plin
pełen	plina
wodoru	hidrogen
wodoru	hidrogenul
weekend	weekendul
weekend	weekend
mika	mike
mika	mica
mika	mica
mika	mika
niebezpieczne	periculoasa
niebezpieczne	periculoasa
niebezpieczne	periculos
niebezpieczne	periculoase
niebezpieczne	periculoase
zorganizowana	organizat
zorganizowana	organizata
zorganizowana	organizate
zorganizowana	organizat
zorganizowana	organizata
zorganizowana	organizate
otoczenie	mediul
otoczenie	mediu
otoczenie	imprejurimi
otoczenie	imprejurimi
otoczenie	imprejurimile
otoczenie	ambianta
restauracja	restaurantul
restauracja	restaurant
wizji	viziunile
wizji	viziuni
wizji	viziune
wizji	viziunea
bojowników	luptatori
bojowników	luptatori
