sandra	सैंड्रा
tīģeri	टाइगर्स
harta	चार्टर
identificēt	पहचानें
identificēt	पहचानो
čaplins	चैपलिन
prezidijs	ब्यूरो
prezidijs	presidium
paātrinājums	त्वरण
pasažierus	यात्रियों
pasažierus	यात्री
noņemt	निकालें
noņemt	हटाएँ
angeles	एंजिल्स
fast	तीव्र
fast	फास्ट
fast	फ़ास्ट
fast	तेज
fast	तेज़
plaukstas	हथेली
plaukstas	खजूर
plaukstas	ताड़
plaukstas	हथेलियों
plaukstas	हथेलियां
sapratu	रोजर
drudzis	बुखार
drudzis	ज्वर
zemnieks	किसान
pozitīvs	सकारात्मक
pozitīvs	धनात्मक
portretu	पोर्ट्रेट
direktori	निर्देशकों
vērtēts	रेटेड
gvineja	लीनियर
gvineja	गिनी
kenijas	केन्या
kenijas	कीनिया
kenijas	केन्याई
produkcija	उपज
produkcija	उत्पादन
produkcija	आउटपुट
simfonijas	सिंफनी
sulavesi	सुलावेसी
kiprā	साइप्रस
bagāti	रिच
bagāti	अमीर
bagāti	समृद्ध
stafete	रिले
jack	जैक
jack	जोकर
kolonnu	स्तंभ
kolonnu	कॉलम
kolonnu	स्तम्भ
kolonnu	कालम
koncepcijas	अवधारणाओं
raganu	डायन
izlaupīja	लूटा
sūta	भेजना
atkarība	निर्भरता
atkarība	लत
atkarība	व्यसन
marina	मरीना
govis	गायें
govis	गायों
gluda	चिकनी
gluda	चिकना
sveces	मोमबत्तियाँ
kolēģi	साथियों
kolēģi	सहयोगियों
zemākais	निम्नतम
zemākais	न्यूनतम
šiītu	शिया
senna	senna
algoritmu	एल्गोरिदम
algoritmu	एल्गोरिथ्म
matiass	मैथियास
lampa	बत्ती
lampa	बल्ब
sodīt	सजा
armēnija	अर्मेनिया
noklusējuma	मूलभूत
noklusējuma	डिफ़ॉल्ट
noklusējuma	डिफॉल्ट
virsmām	सतहों
quercus	quercus
ēnu	परछाई
ēnu	छाया
mišela	मिशेल
pazemē	भूमिगत
ginesa	गिनीज
betmens	बैटमैन
atļaut	परमिट
dzīvniekam	जानवर
dzīvniekam	पशु
dzīvniekam	प्राणी
dzīvniekam	एनिमल
logs	खिडकी
logs	विंडो
logs	खिड़की
adrians	एड्रियन
kombinācija	संयोजन
analogs	एनॉलॉग
analogs	एनालॉग
viesnīcu	होटल
āboliņš	क्लोवर
ierakstīšanas	रिकार्डिंग
ierakstīšanas	रिकॉर्डिंग
būtisks	अनिवार्य
sekotāju	अनुयायी
sekotāju	अनुसरणकर्ता
maroka	मोरक्को
maroka	मोरक्कन
dei	देई
leader	नेता
vīruss	वाइरस
vīruss	विषाणु
vīruss	वायरस
kurdu	कुर्द
rietumi	पश्चिम
rietumi	वेस्ट
lēdija	लेडी
lēdija	महिला
sakšu	शेखी
apavu	जूता
madride	madrid
madride	मैड्रिड
rediģēt	संपादन
bārija	बेरियम
sargi	गार्ड
burundi	बुरुंडी
skrien	चला
skrien	चलाएँ
skrien	चलेगी
skrien	चलाएं
douglas	डगलस
kolektīvi	सामूहिक
avārija	accident
avārija	दुर्घटना
avārija	क्रेश
avārija	क्रैश
visualeditor	visualeditor
imigrantu	अप्रवासी
jūtu	महसूस
likās	सोचा
likās	विचार
likās	लगा
pakalpojums	उपकार
pakalpojums	एहसान
pakalpojums	सेवा
līdzenumi	मैदान
dateformat	dateformat
mierīgi	शांत
mierīgi	आसान
arestēti	गिरफ्तार
pienākumi	दायित्वों
pienākumi	जिम्मेदारियां
pienākumi	जिम्मेदारियों
pienākumi	कर्तव्य
astronomi	खगोलशास्त्रियों
pārvaldīt	प्रबंधन
pārvaldīt	प्रबंध
pārvaldīt	मैनेज
automašīnām	कार
automašīnām	कारों
automašīnām	कारें
automašīnām	गाड़ियाँ
finanses	वित्त
lēnāk	धीमा
ēnas	शैडो
ēnas	छाया
ēnas	साए
ēnas	परछाई
ēnas	छाया
draudzība	मित्रता
draudzība	दोस्ती
cietumu	जेलों
que	que
que	कुए
dioksīds	डाइऑक्साइड
saskarnes	अंतरफलक
reālisms	यथार्थवाद
bosnija	बोस्निया
peļņa	लाभ
peļņa	कमाई
peļņa	आय
karbonātu	कार्बोनेट
jāmaksā	देय
novērtējums	दर्जा
novērtējums	रेटिंग
novērtējums	दरजा
novērtējums	मूल्यांकन
novērtējums	मूल्यांकन
ich	ich
supersonics	सुपरसोनिक्स
verdzība	गुलामी
chordata	chordata
ugandas	कैंडल
ugandas	युगांडा
aspektiem	पहलुओं
ghz	ghz
pārraide	प्रसारण
pārraide	ब्रॉडकास्ट
pārraide	संचरण
pārraide	प्रेषण
pārraide	हस्तांतरण
pārraide	ट्रांसमिशन
litija	लिथियम
atbrīvošanās	मुक्ति
ģeologs	भूवैज्ञानिक
vadošie	अग्रणी
sēde	बैठा
sēde	बैठे
ruta	रूथ
ruta	रुथ
posmus	स्टेज
posmus	चरण
rūta	रूथ
rūta	रुथ
uzlabots	उन्नत
istabā	कक्ष
istabā	कमरा
istabā	कमरे
istabā	रूम
ūdeņradis	हाइड्रोजन
atlase	चयन
apstiprināti	पुष्टि
apstiprināti	अनुमोदित
apstiprināti	स्वीकृत
smaržas	इत्र
smaržas	महक
smaržas	इत्र
smaržas	परफ्यूम
atbildība	देयता
atbildība	जिम्मेदारियां
atbildība	जिम्मेदारियों
atbildība	उत्तरदायित्व
atbildība	ज़िम्मेदारी
atbildība	जिम्मेदारी
atbildība	उत्तरदायित्व
atbildība	जवाबदेही
palermo	पलेर्मो
vienkāršākais	सरलतम
skala	पैमाना
skala	मापक
skala	स्केल
riekstu	नट
redzējis	देखा
redzējis	देखी
glāzgovas	ग्लासगो
noslēpums	गोपनीय
noslēpums	गुप्त
noslēpums	भेद
noslēpums	रहस्य
pārzinis	क्यूरेटर
bobijs	बॉबी
bobijs	bobby
tom	फटे
tom	फटा
tom	टॉम
tom	tom
mušas	उड़ता
zirņu	मटर
modelēšana	मॉडलिंग
modelēšana	मॉडलिंग
konservatīvo	रूढ़िवादी
acteku	एज़टेक
plānoto	नियोजित
evaņģēlijs	इंजील
evaņģēlijs	सुसमाचार
evaņģēlijs	इन्जील
tēju	चाय
abs	abs
abs	एबीएस
cerība	उम्मीद
cerība	होप
cerība	आशा
nāc	आईये
nāc	आइये
tnt	टीएनटी
mača	माचिस
mača	मिलाएँ
mača	मिलान
mača	मैच
apaļa	दौर
apaļa	गोल
apaļa	राउंड
apaļa	गोलाकार
apaļa	परिपत्र
apaļa	वृत्ताकार
apaļa	गोलाकार
python	पायथन
python	पाइथन
alkoholu	शराब
alkoholu	दारू
saņemti	प्राप्त
pioneer	अग्रगामी
pioneer	पायोनियर
katalogs	सूचीपत्र
katalogs	कैटलॉग
nomināciju	नामांकन
korejā	कोरिया
korejā	कोरियाई
darījums	लेनदेन
darījums	डील
darījums	सौदा
darījums	सौदे
noraidīts	खारिज
noraidīts	बर्खास्त
noraidīts	अस्वीकृत
noraidīts	झुठलाया
noraidīts	अस्वीकृत
ikonu	चिह्न
ikonu	आइकन
ikonu	प्रतीक
pirmizrādi	डेब्यू
pastāvīgās	स्थायी
pastāvīgās	स्थाई
inženierijas	इंजीनियरी
inženierijas	इंजीनियरिंग
inženierijas	अभियान्त्रिकी
parādu	ऋण
parādu	कर्ज
parādu	कर्ज़
atbildēt	उत्तर
atbildēt	जवाब
atbildēt	जवाब
celšanas	उठाने
ūsas	मूंछ
ūsas	मूंछ
polar	ध्रुवीय
vasks	मोम
nosūtīti	भेजी
nosūtīti	प्रेषित
nosūtīti	भेजा
publiska	सार्वजनिक
publiska	जनता
publiska	लोक
publiska	पब्लिक
troglodytes	troglodytes
izmeklēšanu	पूछताछ
upurus	बलिदान
zebra	जेब्रा
horizonta	क्षैतिज
horizonta	क्षितिज
žestu	भाव
slava	प्रसिद्धि
slava	शोहरत
slava	ख्याति
slava	कीर्ति
slava	महिमा
ķieģeļi	ईंटें
sprints	स्प्रिंट
dvēseli	आत्मा
habarovskas	ख़ाबारोव्स्क
studē	अध्ययन
iznīcinātāju	ध्वनिक
iznīcinātāju	विनाशक
pārraudzībā	पर्यवेक्षित
kāzu	शादी
kāzu	विवाह
žūrija	जूरी
žūrija	पैनल
žūrija	पटल
žūrija	फलक
teherānas	तेहरान
piesārņojuma	प्रदूषक
piesārņojuma	प्रदूषण
haizivis	शार्क
haizivis	शार्क
sap	अर्क
sap	sap
pārvērst	रूपांतरित
pārvērst	बदलें
miglas	धुंध
miglas	कोहरा
ceturksnī	त्रैमासिक
dzīvs	जिन्दा
dzīvs	जीवित
dzīvs	जिंदा
patronas	कारतूस
stariem	किरणें
radīšana	बनाने
radīšana	बनाना
radīšana	रचना
radīšana	सृजन
radīšana	निर्माण
radīšana	सृष्टि
ārvalstīs	विदेश
forbes	फोर्ब्स
līmeņi	टियर
līmeņi	स्तर
vidējie	मध्य
avarēja	क्रैश
rauls	राउल
hāgas	हेग
nost	बन्द
nost	बंद
iecelt	नियुक्त
cietās	हार्ड
cietās	कड़ा
cietās	कठिन
cietās	कठोर
cietās	मेहनत
cietās	मुश्किल
bažas	चिंताएं
bažas	चिंता
rumbas	हब
orientācijas	दिशा
orientācijas	अभिविन्यास
