gerais	gerais
trene	влака
trene	влакът
trene	влак
hindrer	предотвратява
łódź	лодз
łódź	łódź
joão	жоао
kald	студ
kald	студен
kald	студено
kald	студена
underground	подземен
underground	подземно
underground	подземни
polynesia	полинезия
reagerte	реагира
reagerte	реагирал
diskuterer	обсъждаме
sønnesønn	внук
sønnesønn	внука
sønnesønn	внуче
sønnesønn	внукът
underart	подвид
johannesburg	йоханесбург
ground	земя
adolph	адолф
kalenderen	календар
kalenderen	календара
nekter	отказва
nekter	отказ
nekter	отказвам
willem	вилем
demonstrasjoner	демонстрации
gravid	бременна
gravid	бременни
xbox	xbox
binder	обвързва
seil	плават
seil	платна
half	наполовина
half	половината
belte	колан
belte	колана
lama	лама
lama	лама
våpenhvile	примирие
våpenhvile	примирие
brenne	изгори
brenne	гори
brenne	изгаряне
helter	героите
helter	герои
fjern	далечно
fjern	далечен
fjern	далечни
fjern	далечна
fjern	премахнете
fjern	премахване
fjern	махнете
mandolin	мандолина
vegger	стени
vegger	стените
fader	баща
fader	татко
stevens	стивънс
lovende	обещаваща
lovende	обещаващи
lovende	обещаващо
lovende	обещаващ
avgjørelser	решения
severin	северин
formatet	формат
felter	фийлдс
felter	поля
felter	полетата
felter	полета
fbi	фбр
fbi	федералните
fbi	федерални
leiligheter	апартаменти
