άστρο	astro
επισημαίνει	sorotan
αυτόνομες	autonomi
βελτιωμένη	dipertingkatkan
ήρα	hera
συμβάλει	menyumbang
προορίζεται	reserved
παραγουάη	paraguay
εκτελεστικό	executive
εκτελεστικό	eksekutif
βάρκα	sampan
βάρκα	bot
βάρκα	perahu
βάρκα	boat
αυθεντική	sahih
ρόλοι	peranan
παχύ	tebal
άγχος	stres
άγχος	stress
άγχος	kebimbangan
άγχος	kecemasan
άγχος	kegelisahan
βέρα	vera
πάουελ	powell
ιστός	web
ιστός	sesawang
ιστός	tisu
ντικ	dick
αιμορραγία	pendarahan
αιμορραγία	berdarah
αιμορραγία	berdarah
υπουργεία	ministries
καράβι	kapal
καράβι	ship
καράβι	sampan
καράβι	bot
καράβι	perahu
καράβι	boat
φινάλε	finale
πέμπτος	kelima
οχι	tidak
οχι	bukan
οχι	tak
ονδούρα	honduras
δανεισμού	lending
δανεισμού	meminjam
δανεισμού	meminjam
ορισμοί	takrifan
ελάχιστοι	few
ιερώνυμος	hieronymus
πνεύμονα	paru
πνεύμονα	lung
πολυώνυμο	polinomial
αντισώματα	antibodi
μαγνήσιο	magnesium
μέι	may
μέι	mei
μέι	mei
μέι	mae
υπόμνημα	memo
υπόμνημα	memorandum
θαύματα	keajaiban
θαύματα	mukjizat
θαύματα	keajaiban
καθολικός	katolik
σινεμά	pawagam
σινεμά	cinema
κενού	vakum
κενού	hampa
κενού	vacuum
