フランチェスコ	francesco
数量	mängd
数量	kvantitet
倍率	förstoring
江蘇省	jiangsu
中級	mellannivå
中級	mellanliggande
パンドラ	pandoras
パンドラ	pandora
チャイコフスキー	tjajkovskij
カナリア	kanarieöarna
テンプル	templet
テンプル	tempel
テンプル	temple
偽造	förfalskning
偽造	förfalskningar
偽造	förfalskning
偽造	förfalskade
エメラルド	emerald
テレサ	teresa
テレサ	theresa
マッカートニー	mccartney
パタゴニア	patagonien
太い	tjock
太い	tjocka
太い	tjockt
アニー	annie
ベルン	bern
コックピット	cockpit
匂い	lukt
匂い	lukta
匂い	luktar
精神病	psykos
ゴメス	gomes
ゴメス	gomez
ゴメス	gómez
ナラ	nala
ゲーテ	goethe
無条件	ovillkorligen
無条件	villkorslöst
無条件	ovillkorlig
無条件	villkorslöst
オスカル	oscar
リハーサル	repetition
リハーサル	repeterar
ケニー	kenny
アスファルト	asfalt
祝う	fira
サラダ	sallader
サラダ	sallad
エクアドル	ecuadorianska
エクアドル	ecuador
制動	bromsar
制動	bromsning
和尚	osho
河北省	hebei
ルワンダ	rwanda
ドーピング	doping
ドーピング	dopning
シューマン	schumann
シューマン	schuman
パラリンピック	paralympiska
十字路	vägskäl
島嶼	islet
レナード	leonard
グライダー	segelflygplan
グライダー	segelflygplan
ベルナール	bernard
ベルナール	bernhard
エンリケ	enrique
ひどい	fruktansvärd
ひどい	fruktansvärt
ひどい	förskräckligt
ひどい	hemskt
ひどい	hemsk
ババ	baba
ババ	bubba
野手	fielder
ポーツマス	portsmouth
オスロ	oslo
ヴァンガード	vanguard
モニカ	monica
モニカ	monika
スペシャリスト	specialist
リガ	riga
軍備	försvarsmateriel
ロコ	loco
パワフル	kraftfull
パワフル	mäktiga
パワフル	mäktig
パワフル	mäktigt
ジョシュ	josh
スカーレット	scarlet
スカーレット	scarlett
放射能	radioaktivitet
放射能	radioaktiviteten
ギニー	guineas
ペレス	perez
ペレス	pérez
泣く	gråt
泣く	gråta
泣く	gråter
泣く	gråta
泣く	gråtande
泣く	gråt
泣く	gråter
インディー	indie
坂城	sakaki
ペガサス	pegasus
ディエゴ	diego
観念	idé
中澤	nakazawa
叫ぶ	skrika
叫ぶ	ropa
ケネス	kenneth
バタ	bata
シャドウ	skugga
シャドウ	shadow
シャドウ	skuggan
マンガン	mangan
教訓	lärdom
教訓	lektion
教訓	lektionen
教訓	läxa
ポッター	potter
ハト	duvor
ハト	duva
スモール	small
スモール	små
スモール	litet
スモール	liten
パルコ	parco
給料	lön
打楽器	slagverk
伝播	förökning
エドワーズ	edwards
スズ	tin
スズ	tenn
ベネット	bennett
ミミ	mimi
洗脳	hjärntvätt
肩書	avd
肩書	avdelning
肩書	titel
肩書	rubrik
ダライ	dalai
コンペティション	tävling
コンペティション	konkurrens
役立つ	hjälpsam
世俗	sekulära
成虫	imago
ドリンク	dryck
ドリンク	drick
ドリンク	dricker
ドリンク	supa
ドリンク	dricka
ドリンク	dryck
ドリンク	drycker
ドリンク	drinkar
子宮	livmodern
子宮	livmoder
子宮	sköte
子宮	livmodern
子宮	livmoder
グラスゴー	glasgow
ワタナベ	watanabe
航法	navigering
航法	navigation
航法	sjöfart
みやこ	miyako
下水道	avlopp
下水道	kloak
下水道	avlopp
下水道	kloakerna
カザン	kazan
シアン	turkos
シェパード	shepherd
シェパード	herden
シェパード	herde
シェパード	shepard
贈り物	gåvor
贈り物	presenter
贈り物	present
贈り物	gåva
退位	abdikation
退位	abdikerade
退位	abdikera
ラグナ	laguna
ノヴゴロド	novgorod
オビ	obi
ベネディクト	benedict
検閲	censurera
検閲	censureras
検閲	censur
オペレーション	transaktioner
オペレーション	verksamhet
オペレーション	operationer
オペレーション	insats
オペレーション	operation
オペレーション	drift
ガーディアン	väktare
ガーディアン	guardian
ガーディアン	vårdnadshavare
ガーディアン	förmyndare
小麦	vete
物事	saker
ブイ	boj
描画	dragning
描画	teckning
描画	ritning
描画	rita
描画	ritar
ノンストップ	nonstop
パレット	pall
パレット	palett
マギー	maggie
フューチャー	framtiden
フューチャー	framtid
フューチャー	future
フューチャー	framtida
フューチャー	blivande
狂気	galen
狂気	sinnessjuk
狂気	sinnessjuka
狂気	galenskap
狂気	vanvett
狂気	vansinne
狂気	dårskap
狂気	galenskap
狂気	vansinne
リマ	lima
懸賞	priser
ストーカー	förföljd
ストーカー	förföljer
ストーカー	förfölja
ストーカー	förföljare
ストーカー	stalker
ロバ	åsnor
ロバ	åsna
ロバ	åsnan
ジュリー	julie
大麻	cannabis
村落	byar
村落	byarna
村落	byn
村落	by
村落	village
